,CMI
2001-07-12,1566000000
2001-07-13,1561500000
2001-07-16,1549500000
2001-07-17,1603500000
2001-07-18,1587000000
2001-07-19,1579500000
2001-07-20,1587000000
2001-07-23,1555500000
2001-07-24,1516500000
2001-07-25,1521000000
2001-07-26,1531500000
2001-07-27,1539000000
2001-07-30,1515000000
2001-07-31,1527000000
2001-08-01,1525500000
2001-08-02,1540500000
2001-08-03,1552500000
2001-08-06,1527000000
2001-08-07,1507500000
2001-08-08,1497000000
2001-08-09,1505999999
2001-08-10,1539000000
2001-08-13,1570500000
2001-08-14,1566000000
2001-08-15,1548000000
2001-08-16,1555500000
2001-08-17,1539000000
2001-08-20,1504500000
2001-08-21,1482000000
2001-08-22,1492500000
2001-08-23,1482000000
2001-08-24,1498500000
2001-08-27,1486500000
2001-08-28,1488000000
2001-08-29,1470000000
2001-08-30,1414500000
2001-08-31,1416000000
2001-09-04,1437000000
2001-09-05,1410000000
2001-09-06,1386000000
2001-09-07,1335000000
2001-09-10,1327500000
2001-09-17,1207500000
2001-09-18,1180500000
2001-09-19,1099500000
2001-09-20,1099500000
2001-09-21,1125000000
2001-09-24,1207141175
2001-09-25,1225203137
2001-09-26,1186068885
2001-09-27,1210151502
2001-09-28,1241759937
2001-10-01,1208646338
2001-10-02,1259821899
2001-10-03,1265842553
2001-10-04,1276378698
2001-10-05,1298956152
2001-10-08,1256811572
2001-10-09,1240254773
2001-10-10,1279389026
2001-10-11,1333574914
2001-10-12,1276378698
2001-10-15,1270358044
2001-10-16,1279389026
2001-10-17,1232728955
2001-10-18,1201120520
2001-10-19,1174027576
2001-10-22,1205636011
2001-10-23,1207141175
2001-10-24,1219182483
2001-10-25,1213161829
2001-10-26,1235739282
2001-10-29,1186068885
2001-10-30,1166501759
2001-10-31,1178543067
2001-11-01,1208646338
2001-11-02,1235739282
2001-11-05,1273368371
2001-11-06,1298956152
2001-11-07,1303471642
2001-11-08,1306481970
2001-11-09,1289925170
2001-11-12,1268852881
2001-11-13,1327554259
2001-11-14,1329059423
2001-11-15,1333574914
2001-11-16,1345616222
2001-11-19,1351636876
2001-11-20,1336585241
2001-11-21,1318523278
2001-11-23,1342605895
2001-11-26,1369698839
2001-11-27,1380234984
2001-11-28,1345616222
2001-11-29,1324543932
2001-11-30,1365183348
2001-12-03,1357657531
2001-12-04,1393781456
2001-12-05,1435926036
2001-12-06,1482586106
2001-12-07,1463018980
2001-12-10,1438936363
2001-12-11,1437431199
2001-12-12,1455493162
2001-12-13,1440441526
2001-12-14,1434420872
2001-12-17,1428400218
2001-12-18,1475060288
2001-12-19,1470544798
2001-12-20,1438936363
2001-12-21,1437431199
2001-12-24,1456998326
2001-12-26,1450977671
2001-12-27,1469039634
2001-12-28,1473555125
2001-12-31,1617032253
2002-01-02,1633806446
2002-01-03,1650580640
2002-01-04,1665677414
2002-01-07,1657290317
2002-01-08,1625419350
2002-01-09,1632129027
2002-01-10,1601935479
2002-01-11,1575096769
2002-01-14,1548258060
2002-01-15,1502967737
2002-01-16,1474451608
2002-01-17,1507999995
2002-01-18,1474451608
2002-01-22,1467741931
2002-01-23,1479483866
2002-01-24,1511354834
2002-01-25,1543225802
2002-01-28,1559999995
2002-01-29,1526451608
2002-01-30,1539870963
2002-01-31,1580129027
2002-02-01,1553290318
2002-02-04,1561677414
2002-02-05,1591870963
2002-02-06,1581806447
2002-02-07,1588516124
2002-02-08,1613677414
2002-02-11,1640516124
2002-02-12,1633806446
2002-02-13,1637161285
2002-02-14,1632129027
2002-02-15,1611999995
2002-02-19,1583483866
2002-02-20,1601935479
2002-02-21,1662322575
2002-02-22,1682451608
2002-02-25,1749548382
2002-02-26,1786451607
2002-02-27,1764645156
2002-02-28,1744516124
2002-03-01,1767999994
2002-03-04,1898838704
2002-03-05,1843483865
2002-03-06,1892129026
2002-03-07,1848516123
2002-03-08,1851870962
2002-03-11,1964258058
2002-03-12,1950838704
2002-03-13,1915612897
2002-03-14,1944129026
2002-03-15,1962580639
2002-03-18,1960903220
2002-03-19,2011225800
2002-03-20,1992774187
2002-03-21,1905548381
2002-03-22,1918967736
2002-03-25,1887096768
2002-03-26,1917290317
2002-03-27,1944129026
2002-03-28,1981032252
2002-04-01,1834146341
2002-04-02,1795121951
2002-04-03,1781073171
2002-04-04,1834146341
2002-04-05,1848195122
2002-04-08,1865365853
2002-04-09,1898146341
2002-04-10,1959024390
2002-04-11,1901268292
2002-04-12,1907512195
2002-04-15,1879414634
2002-04-16,1944975610
2002-04-17,1856000000
2002-04-18,1831024390
2002-04-19,1802926829
2002-04-22,1723317073
2002-04-23,1692097561
2002-04-24,1693658536
2002-04-25,1693658536
2002-04-26,1696780488
2002-04-29,1632780488
2002-04-30,1660878049
2002-05-01,1621853658
2002-05-02,1643707317
2002-05-03,1631219512
2002-05-06,1565658536
2002-05-07,1603121951
2002-05-08,1648390244
2002-05-09,1607804878
2002-05-10,1593756097
2002-05-13,1567219512
2002-05-14,1628097561
2002-05-15,1676487805
2002-05-16,1649951219
2002-05-17,1642146341
2002-05-20,1623414634
2002-05-21,1576585366
2002-05-22,1575024390
2002-05-23,1578146341
2002-05-24,1573463414
2002-05-28,1550048780
2002-05-29,1479804878
2002-05-30,1429853658
2002-05-31,1436097561
2002-06-03,1389268292
2002-06-04,1350243902
2002-06-05,1373658536
2002-06-06,1325268292
2002-06-07,1334634146
2002-06-10,1333073170
2002-06-11,1320585366
2002-06-12,1322146341
2002-06-13,1295609756
2002-06-14,1264390244
2002-06-17,1287804878
2002-06-18,1283121951
2002-06-19,1261268292
2002-06-20,1226926829
2002-06-21,1195707317
2002-06-24,1212878048
2002-06-25,1247219512
2002-06-26,1247219512
2002-06-27,1265951219
2002-06-28,1292487805
2002-07-01,1228310682
2002-07-02,1198019420
