,VZ
2002-06-27,98463120000
2002-06-28,100780220000
2002-07-01,96193720000
2002-07-02,93516359999
2002-07-03,94527200000
2002-07-05,97832920000
2002-07-08,96986000000
2002-07-09,93980800000
2002-07-10,90811680000
2002-07-11,94581840000
2002-07-12,88817320000
2002-07-15,88434840000
2002-07-16,88052359999
2002-07-17,88953920000
2002-07-18,85648200000
2002-07-19,81768760000
2002-07-22,72070160000
2002-07-23,69010320000
2002-07-24,70075800000
2002-07-25,69420120000
2002-07-26,72398000000
2002-07-29,76550640000
2002-07-30,75976920000
2002-07-31,83025480000
2002-08-01,78900160000
2002-08-02,80457400000
2002-08-05,75840320000
2002-08-06,75157320000
2002-08-07,74146480000
2002-08-08,74720200000
2002-08-09,76113520000
2002-08-12,75731040000
2002-08-13,73955240000
2002-08-14,77862000000
2002-08-15,76605280000
2002-08-16,79719760000
2002-08-19,84500760000
2002-08-20,79992960000
2002-08-21,81386280000
2002-08-22,82479080000
2002-08-23,79610480000
2002-08-26,81495560000
2002-08-27,80184200000
2002-08-28,77889320000
2002-08-29,77725400000
2002-08-30,77998600000
2002-09-03,73873280000
2002-09-04,75457840000
2002-09-05,74009880000
2002-09-06,75048040000
2002-09-09,75102680000
2002-09-10,76823840000
2002-09-11,79911000000
2002-09-12,78080560000
2002-09-13,76359400000
2002-09-16,77998600000
2002-09-17,76823840000
2002-09-18,75922280000
2002-09-19,74037200000
2002-09-20,74610920000
2002-09-23,74747520000
2002-09-24,72316040000
2002-09-25,73818640000
2002-09-26,74610920000
2002-09-27,70676840000
2002-09-30,69441960000
2002-10-01,74855520000
2002-10-02,76806600000
2002-10-03,83264400000
2002-10-04,85023120000
2002-10-07,81972840000
2002-10-08,81945360000
2002-10-09,81340800000
2002-10-10,83374320000
2002-10-11,89035200000
2002-10-14,87826080000
2002-10-15,88815360000
2002-10-16,87936000000
2002-10-17,90491640000
2002-10-18,88485600000
2002-10-21,90299280000
2002-10-22,95520480000
2002-10-23,92937360000
2002-10-24,93349560000
2002-10-25,92525160000
2002-10-28,95163240000
2002-10-29,92607600000
2002-10-30,96757080000
2002-10-31,95547960000
2002-11-01,97636440000
2002-11-04,99230280000
2002-11-05,100466880000
2002-11-06,98680679999
2002-11-07,96427320000
2002-11-08,97883760000
2002-11-11,94915920000
2002-11-12,97114320000
2002-11-13,95410560000
2002-11-14,96921960000
2002-11-15,99477600000
2002-11-18,97718880000
2002-11-19,96125039999
2002-11-20,98818080000
2002-11-21,102830160000
2002-11-22,101208840000
2002-11-25,103737000000
2002-11-26,100824120000
2002-11-27,105193440000
2002-11-29,105962880000
2002-12-02,104643840000
2002-12-03,102060720000
2002-12-04,101016480000
2002-12-05,98873039999
2002-12-06,101703480000
2002-12-09,96921960000
2002-12-10,97031880000
2002-12-11,97801320000
2002-12-12,97169280000
2002-12-13,97938720000
2002-12-16,101071440000
2002-12-17,99092880000
2002-12-18,99312720000
2002-12-19,98158560000
2002-12-20,101208840000
2002-12-23,100961520000
2002-12-24,99944760000
2002-12-26,100439399999
2002-12-27,98433360000
2002-12-30,98625720000
2002-12-31,98048640000
2003-01-02,101648520000
2003-01-03,102363000000
2003-01-06,111513840000
2003-01-07,110387160000
2003-01-08,103517160000
2003-01-09,102390480000
2003-01-10,101566080000
2003-01-13,102857640000
2003-01-14,104204160000
2003-01-15,101703480000
2003-01-16,99999720000
2003-01-17,97416600000
2003-01-21,94558679999
2003-01-22,93596880000
2003-01-23,90848880000
2003-01-24,88568039999
2003-01-27,89694720000
2003-01-28,91233600000
2003-01-29,95273160000
2003-01-30,94064039999
2003-01-31,96867000000
2003-02-03,97993679999
2003-02-04,97801320000
2003-02-05,97416600000
2003-02-06,96207480000
2003-02-07,94091520000
2003-02-10,94476240000
2003-02-11,93459480000
2003-02-12,91151160000
2003-02-13,91893120000
2003-02-14,94476240000
2003-02-18,95905200000
2003-02-19,92607600000
2003-02-20,87963480000
2003-02-21,90189360000
2003-02-24,89694720000
2003-02-25,90051960000
2003-02-26,88513080000
2003-02-27,88183320000
2003-02-28,87496320000
2003-03-03,88073399999
2003-03-04,87084120000
2003-03-05,87633720000
2003-03-06,84528480000
2003-03-07,86177280000
2003-03-10,82879680000
2003-03-11,82000320000
2003-03-12,84693360000
2003-03-13,87936000000
2003-03-14,88705440000
2003-03-17,91096200000
2003-03-18,90848880000
2003-03-19,92277840000
2003-03-20,91728240000
2003-03-21,94970880000
2003-03-24,90711480000
2003-03-25,91783200000
2003-03-26,91261080000
2003-03-27,91865640000
2003-03-28,91480920000
2003-03-31,89642699999
2003-04-01,91432800000
2003-04-02,95040540000
2003-04-03,91515419999
2003-04-04,90992160000
2003-04-07,89725320000
2003-04-08,87439500000
2003-04-09,85704480000
2003-04-10,86861160000
2003-04-11,86172660000
2003-04-14,88045380000
2003-04-15,87604740000
2003-04-16,84520260000
2003-04-17,85291380000
2003-04-21,84107160000
2003-04-22,86200200000
2003-04-23,91377720000
2003-04-24,92066220000
2003-04-25,91460340000
2003-04-28,94049100000
2003-04-29,93663540000
2003-04-30,94792680000
2003-05-01,94847760000
2003-05-02,96775560000
2003-05-05,94324500000
2003-05-06,95839199999
2003-05-07,95315940000
2003-05-08,92121300000
2003-05-09,93994020000
2003-05-12,95095620000
2003-05-13,94820220000
2003-05-14,94902840000
2003-05-15,94076639999
2003-05-16,91680660000
2003-05-19,90661680000
2003-05-20,90771840000
2003-05-21,90661680000
2003-05-22,91680660000
2003-05-23,93112740000
2003-05-27,95013000000
2003-05-28,94544820000
2003-05-29,93938940000
2003-05-30,95976900000
2003-06-02,97656840000
2003-06-03,98648280000
2003-06-04,100355760000
2003-06-05,100796400000
2003-06-06,99474480000
2003-06-09,98730900000
2003-06-10,100300680000
2003-06-11,101374740000
2003-06-12,100906560000
2003-06-13,100052820000
2003-06-16,101071800000
2003-06-17,101374740000
2003-06-18,102035699999
2003-06-19,101705220000
2003-06-20,104514300000
2003-06-23,103054680000
2003-06-24,103219919999
2003-06-25,101071800000
2003-06-26,101760300000
2003-06-27,100576080000
2003-06-30,100234470000
2003-07-01,100344830000
2003-07-02,102165770000
2003-07-03,101255300000
2003-07-07,101751920000
2003-07-08,100372420000
2003-07-09,98606660000
2003-07-10,96785720000
2003-07-11,98496300000
2003-07-14,95268270000
2003-07-15,93861180000
2003-07-16,92040240000
2003-07-17,91019410000
2003-07-18,91460850000
2003-07-21,88343180000
2003-07-22,90633150000
2003-07-23,89750270000
2003-07-24,88122460000
2003-07-25,89032930000
2003-07-28,91405670000
2003-07-29,89943400000
2003-07-30,89501960000
2003-07-31,88922569999
2003-08-01,87349940000
2003-08-04,91047000000
2003-08-05,89060520000
2003-08-06,91598800000
2003-08-07,89805449999
2003-08-08,88922569999
2003-08-11,89419189999
2003-08-12,91653980000
2003-08-13,90495199999
2003-08-14,90826280000
2003-08-15,90991819999
2003-08-18,91074590000
2003-08-19,90909050000
2003-08-20,90964230000
2003-08-21,91598800000
2003-08-22,89474370000
2003-08-25,88398360000
2003-08-26,88950160000
2003-08-27,89088110000
2003-08-28,90440020000
2003-08-29,89722680000
2003-09-02,90329660000
2003-09-03,92095420000
2003-09-04,93116250000
2003-09-05,92233370000
2003-09-08,90936640000
2003-09-09,89308830000
2003-09-10,90853870000
2003-09-11,89667500000
2003-09-12,90522790000
2003-09-15,89005340000
2003-09-16,90219300000
2003-09-17,90329660000
2003-09-18,91184949999
2003-09-19,89557140000
2003-09-22,88177640000
2003-09-23,84177090000
2003-09-24,82825180000
2003-09-25,82963130000
2003-09-26,82797590000
2003-09-29,83018310000
2003-09-30,82739900000
2003-10-01,84124900000
2003-10-02,84900500000
2003-10-03,86063900000
2003-10-06,86202400000
2003-10-07,85454500000
2003-10-08,83349300000
2003-10-09,82546000000
2003-10-10,82518300000
2003-10-13,81327200000
2003-10-14,80357700000
2003-10-15,82047400000
2003-10-16,82185900000
2003-10-17,81936600000
2003-10-20,83432400000
2003-10-21,82019700000
2003-10-22,82823000000
2003-10-23,84789700000
2003-10-24,84789700000
2003-10-27,84762000000
2003-10-28,84374200000
2003-10-29,83681700000
2003-10-30,83654000000
2003-10-31,85703800000
2003-11-03,84734300000
2003-11-04,83903300000
2003-11-05,83903300000
2003-11-06,82767600000
2003-11-07,82047400000
2003-11-10,82823000000
2003-11-11,82739900000
2003-11-12,82739900000
2003-11-13,81438000000
2003-11-14,83183100000
2003-11-17,83515500000
2003-11-18,82795300000
2003-11-19,82158200000
2003-11-20,81188700000
2003-11-21,82130500000
2003-11-24,82906100000
2003-11-25,84235700000
2003-11-26,83570900000
2003-11-28,83764800000
2003-12-01,83598600000
2003-12-02,83072300000
2003-12-03,82241300000
2003-12-04,84817400000
2003-12-05,85205200000
2003-12-08,84208000000
2003-12-09,83127700000
2003-12-10,85122100000
2003-12-11,85039000000
2003-12-12,85260600000
2003-12-15,85509900000
2003-12-16,86507100000
2003-12-17,87227300000
2003-12-18,87753600000
2003-12-19,87116500000
2003-12-22,87061100000
2003-12-23,87144200000
2003-12-24,86617900000
2003-12-26,86507100000
2003-12-29,87532000000
2003-12-30,89277099999
2003-12-31,89470999999
2004-01-02,89914200000
2004-01-05,92518000000
2004-01-06,94041500000
2004-01-07,93265900000
2004-01-08,94678600000
2004-01-09,91936300000
2004-01-12,93681400000
2004-01-13,93293600000
2004-01-14,94013800000
2004-01-15,94069200000
2004-01-16,94235400000
2004-01-20,94872500000
2004-01-21,94429300000
2004-01-22,95620400000
2004-01-23,95897400000
2004-01-26,96340600000
2004-01-27,94567800000
2004-01-28,93764500000
2004-01-29,94595500000
2004-01-30,94013800000
2004-02-02,95648100000
2004-02-03,94955600000
2004-02-04,93598300000
2004-02-05,94096900000
2004-02-06,94761700000
2004-02-09,94235400000
2004-02-10,95897400000
2004-02-11,97448600000
2004-02-12,95925100000
2004-02-13,96035900000
2004-02-17,99997000000
2004-02-18,97199300000
2004-02-19,95260300000
2004-02-20,94844800000
2004-02-23,94401600000
2004-02-24,97143900000
2004-02-25,96977700000
2004-02-26,97780999999
2004-02-27,97780999999
2004-03-01,98722800000
2004-03-02,100661800000
2004-03-03,99470699999
2004-03-04,100107800000
2004-03-05,99415300000
2004-03-08,100246300000
2004-03-09,99997000000
2004-03-10,97614800000
2004-03-11,95842000000
2004-03-12,96700699999
2004-03-15,95149500000
2004-03-16,95010999999
2004-03-17,95232600000
2004-03-18,95315699999
2004-03-19,95565000000
2004-03-22,93321300000
2004-03-23,91991700000
2004-03-24,91936300000
2004-03-25,92822700000
2004-03-26,91880900000
2004-03-29,92545699999
2004-03-30,92628800000
2004-03-31,93210500000
2004-04-01,94124599999
2004-04-02,94983300000
2004-04-05,96035900000
2004-04-06,95952800000
2004-04-07,95177200000
2004-04-08,95177200000
2004-04-12,95842000000
2004-04-13,94734000000
2004-04-14,94567800000
2004-04-15,94540100000
2004-04-16,93736800000
2004-04-19,94789400000
2004-04-20,95038700000
2004-04-21,96146700000
2004-04-22,96312900000
2004-04-23,95758900000
2004-04-26,96257500000
2004-04-27,95648100000
2004-04-28,96063600000
2004-04-29,96395999999
2004-04-30,96257500000
2004-05-03,96146700000
2004-05-04,96645300000
2004-05-05,96479100000
2004-05-06,95814300000
2004-05-07,93819900000
2004-05-10,92711900000
2004-05-11,92240999999
2004-05-12,92545699999
2004-05-13,92462600000
2004-05-14,92739599999
2004-05-17,91271500000
2004-05-18,92102500000
2004-05-19,92047099999
2004-05-20,91326900000
2004-05-21,91243800000
2004-05-24,90191200000
2004-05-25,90412800000
2004-05-26,87753600000
2004-05-27,89470999999
2004-05-28,88196800000
2004-06-01,88944700000
2004-06-02,89720300000
2004-06-03,89083199999
2004-06-04,89166300000
2004-06-07,90385100000
2004-06-08,90689800000
2004-06-09,91465400000
2004-06-10,92490300000
2004-06-14,91853199999
2004-06-15,91659300000
2004-06-16,91160699999
2004-06-17,91520800000
2004-06-18,92268700000
2004-06-21,91133000000
2004-06-22,90218900000
2004-06-23,90412800000
2004-06-24,90606700000
2004-06-25,91243800000
2004-06-28,91714700000
2004-06-29,91936300000
2004-06-30,92263080000
2004-07-01,91930800000
2004-07-02,91958490000
2004-07-06,91958490000
2004-07-07,91958490000
2004-07-08,90463230000
2004-07-09,90352470000
2004-07-12,91155480000
2004-07-13,90269400000
2004-07-14,89660220000
2004-07-15,88746449999
2004-07-16,88220340000
2004-07-19,87915750000
2004-07-20,88552620000
2004-07-21,87029670000
2004-07-22,88248030000
2004-07-23,90047880000
2004-07-26,93066090000
2004-07-27,96527340000
2004-07-28,98687160000
2004-07-29,99102510000
2004-07-30,98271810000
2004-08-02,98687160000
2004-08-03,99545550000
2004-08-04,99877830000
2004-08-05,98521020000
2004-08-06,97773390000
2004-08-09,97745699999
2004-08-10,99684000000
2004-08-11,100459320000
2004-08-12,99434789999
2004-08-13,99628619999
2004-08-16,99850140000
2004-08-17,99240960000
2004-08-18,99767070000
2004-08-19,100071660000
2004-08-20,100957740000
2004-08-23,100625460000
