,PLD
2000-11-03,1945959179
2000-11-06,1966883471
2000-11-07,1987807763
2000-11-08,1982785933
2000-11-09,1971905301
2000-11-10,1961861641
2000-11-13,1961861641
2000-11-14,1987807763
2000-11-15,1977764103
2000-11-16,1977764103
2000-11-17,1950981009
2000-11-20,1956839811
2000-11-21,1971905301
2000-11-22,1971905301
2000-11-24,1945959179
2000-11-27,1950981009
2000-11-28,1956839811
2000-11-29,1982785933
2000-11-30,1992829593
2000-12-01,1961861641
2000-12-04,2003710225
2000-12-05,2092429225
2000-12-06,2103309856
2000-12-07,2061461272
2000-12-08,2050580640
2000-12-11,2076526762
2000-12-12,2076526762
2000-12-13,2097451055
2000-12-14,2092429225
2000-12-15,2103309856
2000-12-18,2129255979
2000-12-19,2134277809
2000-12-20,2129255979
2000-12-21,2124234149
2000-12-22,2129255979
2000-12-26,2124234149
2000-12-27,2150180271
2000-12-28,2181148224
2000-12-29,2160223931
2001-01-02,2144381555
2001-01-03,2139347796
2001-01-04,2108306278
2001-01-05,2081459561
2001-01-08,2071392042
2001-01-09,2076425802
2001-01-10,2076425802
2001-01-11,2076425802
2001-01-12,2071392042
2001-01-16,2076425802
2001-01-17,2066358282
2001-01-18,2071392042
2001-01-19,2034477806
2001-01-22,2045384284
2001-01-23,2034477806
2001-01-24,2024410286
2001-01-25,2024410286
2001-01-26,2018537567
2001-01-29,2033638846
2001-01-30,2051257004
2001-01-31,2068036202
2001-02-01,2059646603
2001-02-02,2051257004
2001-02-05,2049579084
2001-02-06,2047062204
2001-02-07,2047062204
2001-02-08,2044545325
2001-02-09,2014342767
2001-02-12,2020215487
2001-02-13,2001758369
2001-02-14,2000919409
2001-02-15,2017698607
2001-02-16,2002597329
2001-02-20,2011825888
2001-02-21,2009309008
2001-02-22,1989173970
2001-02-23,2009309008
2001-02-26,2039511565
2001-02-27,2063841403
2001-02-28,2073069962
2001-03-01,2066358282
2001-03-02,2105789399
2001-03-05,2070553082
2001-03-06,2097399800
2001-03-07,2104950439
2001-03-08,2093205000
2001-03-09,2093205000
2001-03-12,2089010200
2001-03-13,2066358282
2001-03-14,2033638846
2001-03-15,2051257004
2001-03-16,2025249246
2001-03-19,2047901164
2001-03-20,2063841403
2001-03-21,2017698607
2001-03-22,2030283006
2001-03-23,2015181727
2001-03-26,2047062204
2001-03-27,2038672605
2001-03-28,2024410286
2001-03-29,2021893407
2001-03-30,2063841403
2001-04-02,2069307803
2001-04-03,2019475493
2001-04-04,2022853954
2001-04-05,2052415494
2001-04-06,2011873954
2001-04-09,2025387801
2001-04-10,1984001645
2001-04-11,1942615489
2001-04-12,1940926258
2001-04-16,1934169334
2001-04-17,1938392411
2001-04-18,1967953951
2001-04-19,2010184723
2001-04-20,1987380106
2001-04-23,1992447799
2001-04-24,2011873954
2001-04-25,2022853954
2001-04-26,2078598573
2001-04-27,2114917036
2001-04-30,2103092420
2001-05-01,2116606267
2001-05-02,2088733958
2001-05-03,2081132419
2001-05-04,2048192417
2001-05-07,2051570879
2001-05-08,2049881648
2001-05-09,2048192417
2001-05-10,2047347802
2001-05-11,2028766262
2001-05-14,2027077032
2001-05-15,2034678570
2001-05-16,2043969340
2001-05-17,2066773957
2001-05-18,2081977034
2001-05-21,2093801650
2001-05-22,2085355496
2001-05-23,2092957035
2001-05-24,2081977034
2001-05-25,2089578573
2001-05-29,2081132419
2001-05-30,2073530880
2001-05-31,2086200112
2001-06-01,2081132419
2001-06-04,2069307803
2001-06-05,2078598573
2001-06-06,2072686265
2001-06-07,2086200112
2001-06-08,2081977034
2001-06-11,2111538575
2001-06-12,2107315497
2001-06-13,2110693959
2001-06-14,2109849344
2001-06-15,2094646266
2001-06-18,2111538575
2001-06-19,2109849344
2001-06-20,2116606267
2001-06-21,2136032422
2001-06-22,2128430883
2001-06-25,2145323192
2001-06-26,2145323192
2001-06-27,2145323192
2001-06-28,2148701653
2001-06-29,2175729347
2001-07-02,2143635717
2001-07-03,2150387326
2001-07-05,2175705858
2001-07-06,2158826837
2001-07-09,2122536941
2001-07-10,2118317185
2001-07-11,2103970017
2001-07-12,2130132500
2001-07-13,2152075228
2001-07-16,2153763130
2001-07-17,2177393760
2001-07-18,2174861907
2001-07-19,2174861907
2001-07-20,2175705858
2001-07-23,2177393760
2001-07-24,2151231277
2001-07-25,2139415962
2001-07-26,2166422396
2001-07-27,2158826837
2001-07-30,2114097430
2001-07-31,2109877675
2001-08-01,2123380892
2001-08-02,2147011522
2001-08-03,2162202641
2001-08-06,2180769564
2001-08-07,2190053026
2001-08-08,2190896977
2001-08-09,2189209075
2001-08-10,2198492537
2001-08-13,2189209075
2001-08-14,2202712292
2001-08-15,2239002188
2001-08-16,2248285650
2001-08-17,2239846139
2001-08-20,2236470335
2001-08-21,2248285650
2001-08-22,2232250580
2001-08-23,2223811069
2001-08-24,2221279216
2001-08-27,2214527607
2001-08-28,2211151803
2001-08-29,2195960684
2001-08-30,2181613515
2001-08-31,2163046592
2001-09-04,2133508304
2001-09-05,2146167571
2001-09-06,2109877675
2001-09-07,2111565577
2001-09-10,2097218408
2001-09-17,2043205540
2001-09-18,2047425295
2001-09-19,2025482568
2001-09-20,2009447497
2001-09-21,1991724525
2001-09-24,1970625748
2001-09-25,1995944280
2001-09-26,2005227742
2001-09-27,2025482568
2001-09-28,2067680121
2001-10-01,2101840835
2001-10-02,2037868107
2001-10-03,1971370139
2001-10-04,1982312842
2001-10-05,1987363321
2001-10-08,1987363321
2001-10-09,1986521574
2001-10-10,1994939039
2001-10-11,2018507939
2001-10-12,2020191432
2001-10-15,2029450642
2001-10-16,2028608896
2001-10-17,2021874924
2001-10-18,1999989517
2001-10-19,2001673010
2001-10-22,1964636167
2001-10-23,1963794421
2001-10-24,1961269181
2001-10-25,1990730306
2001-10-26,2021033178
2001-10-29,2025241910
2001-10-30,2024400164
2001-10-31,2046285571
2001-11-01,2062278753
2001-11-02,2053019542
2001-11-05,2031134135
2001-11-06,2062278753
2001-11-07,2058070021
2001-11-08,2062278753
2001-11-09,2059753514
2001-11-12,2062278753
2001-11-13,2086689399
2001-11-14,2123726242
2001-11-15,2154870860
2001-11-16,2165813564
2001-11-19,2132985453
2001-11-20,2138035932
2001-11-21,2138035932
2001-11-23,2144769903
2001-11-26,2144769903
2001-11-27,2137194185
2001-11-28,2145611650
2001-11-29,2159921339
2001-11-30,2146453396
2001-12-03,2137194185
2001-12-04,2146453396
2001-12-05,2158237846
2001-12-06,2188540718
2001-12-07,2196958182
2001-12-10,2186857225
2001-12-11,2206217393
2001-12-12,2151503875
2001-12-13,2155712607
2001-12-14,2185173732
2001-12-17,2186857225
2001-12-18,2188540718
2001-12-19,2178439760
2001-12-20,2180123253
2001-12-21,2192749450
2001-12-24,2191907703
2001-12-26,2191907703
2001-12-27,2198641675
2001-12-28,2192749450
2001-12-31,2166295222
2002-01-02,2170461174
2002-01-03,2191290936
2002-01-04,2188791364
2002-01-07,2182125840
2002-01-08,2167128412
2002-01-09,2172127555
2002-01-10,2153797364
2002-01-11,2170461174
2002-01-14,2191290936
2002-01-15,2187124983
2002-01-16,2187958174
2002-01-17,2187124983
2002-01-18,2174627126
2002-01-22,2165462031
2002-01-23,2153797364
2002-01-24,2144632269
2002-01-25,2149631412
2002-01-28,2127135269
2002-01-29,2104639127
2002-01-30,2109638270
2002-01-31,2133800793
2002-02-01,2122136127
2002-02-04,2137133555
2002-02-05,2167128412
2002-02-06,2168794793
2002-02-07,2162129269
2002-02-08,2145465460
2002-02-11,2166295222
2002-02-12,2167128412
2002-02-13,2168794793
2002-02-14,2192124126
2002-02-15,2170461174
2002-02-19,2170461174
2002-02-20,2187124983
2002-02-21,2166295222
2002-02-22,2174627126
2002-02-25,2178793079
2002-02-26,2190457745
2002-02-27,2164628841
2002-02-28,2170461174
2002-03-01,2191290936
2002-03-04,2207121555
2002-03-05,2253780221
2002-03-06,2280442316
2002-03-07,2281275506
2002-03-08,2291273792
2002-03-11,2248781078
2002-03-12,2247114697
2002-03-13,2247947888
2002-03-14,2262112126
2002-03-15,2282108697
2002-03-18,2299605697
2002-03-19,2295439744
2002-03-20,2292106982
2002-03-21,2299605697
2002-03-22,2296272935
2002-03-25,2272943602
2002-03-26,2291273792
2002-03-27,2295439744
2002-03-28,2291273792
2002-04-01,2294606554
2002-04-02,2287941030
2002-04-03,2289607411
2002-04-04,2299605697
2002-04-05,2320435458
2002-04-08,2329600554
2002-04-09,2395422601
2002-04-10,2433749362
2002-04-11,2416252363
2002-04-12,2416252363
2002-04-15,2405420886
2002-04-16,2391256648
2002-04-17,2332100125
2002-04-18,2355429458
2002-04-19,2347930744
2002-04-22,2320435458
2002-04-23,2300438887
2002-04-24,2334599696
2002-04-25,2336266077
2002-04-26,2326267792
2002-04-29,2327100982
2002-04-30,2336266077
2002-05-01,2364594553
2002-05-02,2392089839
2002-05-03,2417918743
2002-05-06,2388757077
2002-05-07,2383757934
2002-05-08,2345431173
2002-05-09,2332933316
2002-05-10,2320435458
2002-05-13,2316269506
2002-05-14,2320435458
2002-05-15,2352929887
2002-05-16,2337099268
2002-05-17,2352929887
2002-05-20,2341265220
2002-05-21,2332933316
2002-05-22,2342098411
2002-05-23,2391256648
2002-05-24,2391256648
2002-05-28,2406254077
2002-05-29,2431249791
2002-05-30,2436248934
2002-05-31,2428750220
2002-06-03,2424584267
2002-06-04,2427917029
2002-06-05,2422917886
2002-06-06,2432916172
2002-06-07,2437082124
2002-06-10,2445414029
2002-06-11,2462077838
2002-06-12,2469576553
2002-06-13,2482907600
2002-06-14,2472909314
2002-06-17,2465410600
2002-06-18,2462077838
2002-06-19,2462077838
2002-06-20,2491239505
2002-06-21,2541230933
2002-06-24,2541230933
2002-06-25,2557894742
2002-06-26,2541230933
2002-06-27,2573725361
2002-06-28,2582890457
2002-07-01,2581207744
2002-07-02,2505018998
2002-07-03,2462319810
2002-07-05,2464831527
2002-07-08,2461482571
2002-07-09,2377758674
2002-07-10,2377758674
2002-07-11,2340082921
2002-07-12,2337571204
2002-07-15,2325012619
2002-07-16,2352641505
2002-07-17,2350967027
2002-07-18,2306593362
2002-07-19,2291523060
2002-07-22,2244637678
2002-07-23,2217846031
2002-07-24,2206124685
2002-07-25,2295709255
2002-07-26,2314128513
2002-07-29,2394503454
2002-07-30,2477390112
2002-07-31,2474041156
2002-08-01,2448086748
2002-08-02,2436365402
2002-08-05,2415434428
2002-08-06,2440551597
2002-08-07,2444737792
2002-08-08,2458970854
2002-08-09,2432179207
2002-08-12,2458970854
2002-08-13,2398689649
2002-08-14,2411248233
2002-08-15,2427993013
2002-08-16,2473203917
2002-08-19,2432179207
2002-08-20,2453110182
2002-08-21,2469854961
2002-08-22,2460645332
2002-08-23,2482413546
2002-08-26,2484925262
2002-08-27,2480739068
2002-08-28,2488274218
2002-08-29,2485762501
2002-08-30,2490785935
2002-09-03,2448923987
2002-09-04,2434690924
2002-09-05,2427155774
2002-09-06,2432179207
2002-09-09,2460645332
2002-09-10,2444737792
2002-09-11,2453110182
2002-09-12,2437202641
2002-09-13,2440551597
2002-09-16,2434690924
2002-09-17,2436365402
2002-09-18,2461482571
2002-09-19,2444737792
2002-09-20,2461482571
2002-09-23,2448923987
2002-09-24,2427993013
2002-09-25,2398689649
2002-09-26,2429667490
2002-09-27,2407062038
2002-09-30,2407684547
2002-10-01,2409350765
2002-10-02,2349366928
2002-10-03,2366029105
2002-10-04,2327706098
2002-10-07,2228566147
2002-10-08,2174414072
2002-10-09,2081938991
2002-10-10,2158585004
2002-10-11,2188576922
2002-10-14,2188576922
2002-10-15,2209404643
2002-10-16,2191076249
2002-10-17,2241062779
2002-10-18,2266056044
2002-10-21,2261890500
2002-10-22,2199407337
2002-10-23,2199407337
2002-10-24,2256891847
2002-10-25,2256891847
2002-10-28,2256891847
2002-10-29,2236064126
2002-10-30,2232731691
2002-10-31,2232731691
2002-11-01,2252726303
2002-11-04,2300213507
2002-11-05,2333537860
2002-11-06,2291049310
2002-11-07,2289383092
2002-11-08,2249393868
2002-11-11,2249393868
2002-11-12,2229399255
2002-11-13,2219401949
2002-11-14,2249393868
2002-11-15,2236897235
2002-11-18,2232731691
2002-11-19,2216069514
2002-11-20,2214403296
2002-11-21,2219401949
2002-11-22,2219401949
2002-11-25,2231065473
2002-11-26,2276053350
2002-11-27,2303545942
2002-11-29,2303545942
2002-12-02,2336870296
2002-12-03,2325206772
2002-12-04,2321041228
2002-12-05,2332704752
2002-12-06,2324373663
2002-12-09,2361863561
2002-12-10,2352699364
2002-12-11,2356864908
2002-12-12,2361863561
2002-12-13,2332704752
2002-12-16,2345201384
2002-12-17,2326872990
2002-12-18,2286883765
2002-12-19,2256058738
2002-12-20,2266056044
2002-12-23,2264389827
2002-12-24,2251060085
2002-12-26,2249393868
2002-12-27,2249393868
2002-12-30,2262723609
2002-12-31,2218833756
2003-01-02,2200992256
2003-01-03,2243974050
2003-01-06,2268303368
2003-01-07,2241541119
2003-01-08,2230998414
2003-01-09,2218022778
2003-01-10,2203425188
2003-01-13,2205047142
2003-01-14,2198559324
2003-01-15,2165309257
2003-01-16,2116650622
2003-01-17,2108540850
2003-01-21,2116650622
2003-01-22,2115028667
2003-01-23,2128815281
2003-01-24,2177473916
2003-01-27,2177473916
2003-01-28,2177473916
2003-01-29,2198559324
2003-01-30,2189638575
2003-01-31,2242352096
2003-02-03,2218833756
2003-02-04,2203425188
2003-02-05,2210723983
2003-02-06,2226132551
2003-02-07,2212345938
2003-02-10,2230187437
2003-02-11,2204236165
2003-02-12,2197748347
2003-02-13,2199370302
2003-02-14,2182339779
2003-02-18,2205858120
2003-02-19,2226132551
2003-02-20,2239108187
2003-02-21,2266681413
2003-02-24,2228565483
2003-02-25,2270736300
2003-02-26,2243974050
2003-02-27,2265870436
2003-02-28,2270736300
2003-03-03,2269114345
2003-03-04,2252083823
2003-03-05,2270736300
2003-03-06,2253705777
2003-03-07,2266681413
2003-03-10,2235053301
2003-03-11,2243974050
2003-03-12,2222888642
2003-03-13,2262626527
2003-03-14,2262626527
2003-03-17,2282900958
2003-03-18,2281279004
2003-03-19,2301553435
2003-03-20,2291010731
2003-03-21,2331559593
2003-03-24,2279657049
2003-03-25,2301553435
2003-03-26,2314529071
2003-03-27,2291010731
2003-03-28,2299931481
2003-03-31,2288688044
2003-04-01,2328385642
2003-04-02,2320284091
2003-04-03,2312992696
2003-04-04,2283016959
2003-04-07,2295169284
2003-04-08,2270054478
2003-04-09,2216584244
2003-04-10,2192279592
2003-04-11,2185798351
2003-04-14,2227926415
2003-04-15,2237648275
2003-04-16,2235217810
2003-04-17,2236027965
2003-04-21,2269244323
2003-04-22,2288688044
2003-04-23,2304891145
2003-04-24,2245749826
2003-04-25,2236027965
2003-04-28,2223875639
2003-04-29,2236027965
2003-04-30,2211723313
2003-05-01,2232787345
2003-05-02,2233597500
2003-05-05,2231977190
2003-05-06,2229546725
2003-05-07,2218204554
2003-05-08,2256281842
2003-05-09,2267624012
2003-05-12,2268434168
2003-05-13,2255471687
2003-05-14,2235217810
2003-05-15,2243319361
2003-05-16,2230356880
2003-05-19,2227926415
2003-05-20,2248990446
2003-05-21,2258712307
2003-05-22,2279776338
2003-05-23,2291118509
2003-05-27,2284637269
2003-05-28,2238458430
2003-05-29,2183367886
2003-05-30,2220635019
2003-06-02,2263573237
2003-06-03,2289363708
2003-06-04,2324235348
2003-06-05,2314503727
2003-06-06,2360728925
2003-06-09,2313692759
2003-06-10,2323424380
2003-06-11,2355863114
2003-06-12,2329101158
2003-06-13,2290985645
2003-06-16,2336399873
2003-06-17,2318558569
2003-06-18,2278821119
2003-06-19,2282875961
2003-06-20,2282064993
2003-06-23,2247193353
2003-06-24,2242327543
2003-06-25,2262601752
2003-06-26,2310448886
2003-06-27,2323424380
2003-06-30,2284497898
2003-07-01,2299095328
2003-07-02,2308826949
2003-07-03,2313692759
2003-07-07,2317747601
2003-07-08,2278821119
2003-07-09,2245571416
2003-07-10,2188803630
2003-07-11,2189614599
2003-07-14,2213943650
2003-07-15,2234217859
2003-07-16,2243138511
2003-07-17,2213943650
2003-07-18,2232595922
2003-07-21,2226919144
2003-07-22,2228541080
2003-07-23,2217187523
2003-07-24,2240705606
2003-07-25,2250437226
2003-07-28,2209888808
2003-07-29,2257735942
2003-07-30,2301528234
2003-07-31,2278821119
2003-08-01,2270711436
2003-08-04,2250437226
2003-08-05,2259357878
2003-08-06,2256114005
2003-08-07,2260979815
2003-08-08,2240705606
2003-08-11,2258546910
2003-08-12,2269900467
2003-08-13,2256924973
2003-08-14,2259357878
2003-08-15,2266656594
2003-08-18,2282875961
2003-08-19,2286930803
2003-08-20,2295040487
2003-08-21,2304772107
2003-08-22,2266656594
2003-08-25,2248004321
2003-08-26,2252059163
2003-08-27,2299095328
2003-08-28,2291796613
2003-08-29,2311259854
2003-09-02,2351808273
2003-09-03,2385057976
2003-09-04,2396411533
2003-09-05,2384247007
2003-09-08,2400466375
2003-09-09,2412630900
2003-09-10,2358296019
2003-09-11,2381003134
2003-09-12,2383436039
2003-09-15,2381814102
2003-09-16,2381814102
2003-09-17,2376137324
2003-09-18,2416685742
2003-09-19,2449124477
2003-09-22,2456423192
2003-09-23,2485618054
2003-09-24,2453179319
2003-09-25,2444258667
2003-09-26,2462099971
2003-09-29,2481563212
2003-09-30,2498569639
2003-10-01,2465320254
2003-10-02,2479917545
2003-10-03,2494514836
2003-10-06,2509923087
2003-10-07,2483161387
2003-10-08,2480728505
2003-10-09,2470996978
2003-10-10,2489649072
2003-10-13,2500191560
2003-10-14,2544794394
2003-10-15,2530197103
2003-10-16,2549660157
2003-10-17,2554525921
2003-10-20,2549660157
2003-10-21,2545605354
2003-10-22,2506679245
2003-10-23,2457210648
2003-10-24,2449101042
2003-10-27,2497758678
2003-10-28,2457210648
2003-10-29,2475051781
2003-10-30,2482350427
2003-10-31,2432070869
2003-11-03,2467753136
2003-11-04,2481539466
2003-11-05,2474240821
2003-11-06,2483972348
2003-11-07,2530197103
2003-11-10,2528575181
2003-11-11,2518843654
2003-11-12,2564257448
2003-11-13,2538306709
2003-11-14,2595073952
2003-11-17,2582098582
2003-11-18,2573988976
2003-11-19,2548038236
2003-11-20,2518032694
2003-11-21,2492892915
2003-11-24,2507490206
2003-11-25,2538306709
2003-11-26,2530197103
2003-11-28,2551282079
2003-12-01,2594262991
2003-12-02,2583720503
2003-12-03,2582909542
2003-12-04,2575610897
2003-12-05,2585342424
2003-12-08,2621024691
2003-12-09,2605616439
2003-12-10,2595073952
2003-12-11,2619402770
2003-12-12,2643731588
2003-12-15,2624268533
2003-12-16,2662383682
2003-12-17,2659950800
2003-12-18,2664005603
2003-12-19,2659950800
2003-12-22,2676170013
2003-12-23,2672926170
2003-12-24,2685901540
2003-12-26,2688334422
2003-12-29,2685901540
2003-12-30,2712663240
2003-12-31,2686014317
2004-01-02,2695000374
2004-01-05,2703169517
2004-01-06,2709704832
2004-01-07,2702352603
2004-01-08,2702352603
2004-01-09,2716240147
2004-01-12,2720324718
2004-01-13,2695817289
2004-01-14,2760353521
2004-01-15,2765255007
2004-01-16,2751367463
2004-01-20,2781593293
2004-01-21,2780776379
2004-01-22,2807734552
2004-01-23,2849397183
2004-01-26,2866552383
2004-01-27,2880439927
2004-01-28,2875538441
2004-01-29,2848580268
2004-01-30,2855115583
2004-02-02,2883707584
2004-02-03,2924553301
2004-02-04,2829791239
2004-02-05,2866552383
2004-02-06,2900045871
2004-02-09,2883707584
2004-02-10,2928637873
2004-02-11,2961314446
2004-02-12,2953962217
2004-02-13,2928637873
2004-02-17,2891876728
2004-02-18,2877172270
2004-02-19,2861650897
2004-02-20,2859200155
2004-02-23,2857566326
2004-02-24,2851031011
2004-02-25,2861650897
2004-02-26,2875538441
2004-02-27,2893510556
2004-03-01,2953962217
2004-03-02,2986638790
2004-03-03,2981737304
2004-03-04,2987455704
2004-03-05,2989906447
2004-03-08,2985821876
2004-03-09,2980920390
2004-03-10,2924553301
2004-03-11,2904947357
2004-03-12,2932722444
2004-03-15,2878806098
2004-03-16,2870636955
2004-03-17,2946609988
2004-03-18,2940891588
2004-03-19,2955596045
2004-03-22,2954779131
2004-03-23,2975201989
2004-03-24,2943342330
2004-03-25,3010329306
2004-03-26,2961314446
2004-03-29,2977652732
2004-03-30,3011146220
2004-03-31,3050601520
2004-04-01,3044856508
2004-04-02,3007924286
2004-04-05,2909438361
2004-04-06,2782227375
2004-04-07,2851167522
2004-04-08,2765813054
2004-04-12,2634498488
2004-04-13,2646809229
2004-04-14,2632857056
2004-04-15,2693590043
2004-04-16,2676355006
2004-04-19,2675534290
2004-04-20,2541757575
2004-04-21,2560634044
2004-04-22,2593462686
2004-04-23,2548323304
2004-04-26,2557351180
2004-04-27,2582793377
2004-04-28,2559813328
2004-04-29,2519598242
2004-04-30,2486769601
2004-05-03,2519598242
2004-05-04,2556530464
2004-05-05,2536012563
2004-05-06,2544219724
2004-05-07,2426857330
2004-05-10,2404697997
2004-05-11,2435885206
2004-05-12,2428498762
2004-05-13,2400594417
2004-05-14,2431781626
2004-05-17,2462148120
2004-05-18,2517956810
2004-05-19,2471175996
2004-05-20,2528626119
2004-05-21,2529446835
2004-05-24,2556530464
2004-05-25,2613980587
2004-05-26,2655837105
2004-05-27,2660761401
2004-05-28,2712466512
2004-06-01,2674713574
2004-06-02,2723956536
2004-06-03,2710004364
2004-06-04,2715749376
2004-06-07,2749398734
2004-06-08,2764171622
2004-06-09,2754323030
2004-06-10,2757605894
2004-06-14,2703438635
2004-06-15,2775661647
2004-06-16,2775661647
2004-06-17,2810952437
2004-06-18,2831470338
2004-06-21,2880713300
2004-06-22,2874968288
2004-06-23,2927494114
2004-06-24,2894665473
2004-06-25,2946370583
2004-06-28,2986585669
2004-06-29,2863478263
2004-06-30,2846359969
2004-07-01,2854579317
2004-07-02,2911292813
2004-07-06,2864442534
2004-07-07,2909648944
2004-07-08,2856223186
2004-07-09,2856223186
2004-07-12,2884990902
2004-07-13,2833209014
2004-07-14,2871839946
2004-07-15,2925265704
2004-07-16,2944170202
2004-07-19,2935950855
2004-07-20,2966362440
2004-07-21,2908005074
2004-07-22,2864442534
2004-07-23,2838140622
2004-07-26,2810194841
2004-07-27,2815126450
2004-07-28,2838140622
2004-07-29,2839784492
2004-07-30,2888278641
2004-08-02,2926087638
2004-08-03,2935950855
2004-08-04,2937594725
2004-08-05,2853757382
2004-08-06,2837318687
2004-08-09,2868552207
2004-08-10,2882525098
2004-08-11,2872661881
2004-08-12,2852113513
2004-08-13,2834852883
2004-08-16,2864442534
2004-08-17,2903073466
2004-08-18,2934306986
2004-08-19,2884990902
2004-08-20,2980335330
2004-08-23,2988554678
