,MCO
2002-12-11,6288326000
2002-12-12,6252782000
2002-12-13,6125416000
2002-12-16,6237972000
2002-12-17,6113568000
2002-12-18,5956582000
2002-12-19,5950658000
2002-12-20,6294250000
2002-12-23,6193542000
2002-12-24,6214276000
2002-12-26,6205390000
2002-12-27,6166884000
2002-12-30,6066176000
2002-12-31,6116530000
2003-01-02,6471970000
2003-01-03,6483818000
2003-01-06,6350528000
2003-01-07,6300174000
2003-01-08,6196504000
2003-01-09,6018784000
2003-01-10,5962506000
2003-01-13,6193542000
2003-01-14,6199466000
2003-01-15,6202428000
2003-01-16,6294250000
2003-01-17,6264630000
2003-01-21,6249820000
2003-01-22,6193542000
2003-01-23,6252782000
2003-01-24,6072100000
2003-01-27,6036556000
2003-01-28,6125416000
2003-01-29,6131340000
2003-01-30,6072100000
2003-01-31,6202428000
2003-02-03,6353490000
2003-02-04,6220200000
2003-02-05,6377186000
2003-02-06,6323870000
2003-02-07,6270554000
2003-02-10,6258706000
2003-02-11,6184656000
2003-02-12,6116530000
2003-02-13,6119492000
2003-02-14,6291288000
2003-02-18,6347566000
2003-02-19,6359414000
2003-02-20,6237972000
2003-02-21,6433464000
2003-02-24,6294250000
2003-02-25,6323870000
2003-02-26,6309060000
2003-02-27,6483818000
2003-02-28,6531210000
2003-03-03,6563792000
2003-03-04,6480856000
2003-03-05,6548982000
2003-03-06,6507514000
2003-03-07,6602298000
2003-03-10,6483818000
2003-03-11,6368300000
2003-03-12,6590450000
2003-03-13,6679310000
2003-03-14,6845182000
2003-03-17,7019940000
2003-03-18,6999206000
2003-03-19,7102876000
2003-03-20,7176926000
2003-03-21,7286520000
2003-03-24,7028826000
2003-03-25,7002168000
2003-03-26,6898498000
2003-03-27,6827410000
2003-03-28,6892574000
2003-03-31,6880512000
2003-04-01,6996576000
2003-04-02,7038240000
2003-04-03,6835872000
2003-04-04,6931104000
2003-04-07,6972768000
2003-04-08,7085856000
2003-04-09,7017407999
2003-04-10,7065024000
2003-04-11,7005504000
2003-04-14,7139424000
2003-04-15,7249536000
2003-04-16,7204896000
2003-04-17,7374528000
2003-04-21,7306080000
2003-04-22,7252512000
2003-04-23,7088832000
2003-04-24,7082880000
2003-04-25,7062048000
2003-04-28,7166207999
2003-04-29,7240607999
2003-04-30,7187040000
2003-05-01,7237632000
2003-05-02,7365600000
2003-05-05,7249536000
2003-05-06,7267392000
2003-05-07,7288224000
2003-05-08,7198944000
2003-05-09,7291200000
2003-05-12,7323936000
2003-05-13,7365600000
2003-05-14,7416192000
2003-05-15,7547136000
2003-05-16,7615584000
2003-05-19,7615584000
2003-05-20,7707840000
2003-05-21,7737600000
2003-05-22,7704864000
2003-05-23,7710816000
2003-05-27,7797120000
2003-05-28,7862592000
2003-05-29,7737600000
2003-05-30,7761407999
2003-06-02,7797120000
2003-06-03,7758432000
2003-06-04,7758432000
2003-06-05,7764384000
2003-06-06,7812000000
2003-06-09,7865568000
2003-06-10,7931040000
2003-06-11,7797120000
2003-06-12,7844736000
2003-06-13,7936992000
2003-06-16,8133407999
2003-06-17,8056032000
2003-06-18,8073888000
2003-06-19,7886400000
2003-06-20,7963776000
2003-06-23,7856640000
2003-06-24,7910207999
2003-06-25,7832832000
2003-06-26,7936992000
2003-06-27,7856640000
2003-06-30,7876368000
2003-07-01,7891308000
2003-07-02,7966008000
2003-07-03,8061624000
2003-07-07,8217000000
2003-07-08,8441100000
2003-07-09,8354448000
2003-07-10,8306640000
2003-07-11,8306640000
2003-07-14,8333532000
2003-07-15,8234928000
2003-07-16,8055648000
2003-07-17,7918200000
2003-07-18,7915212000
2003-07-21,7894296000
2003-07-22,7885332000
2003-07-23,7918200000
2003-07-24,7801668000
