,SSP
2002-04-25,5575787779
2002-04-26,5590560815
2002-04-29,5562421634
2002-04-30,5606037613
2002-05-01,5684123835
2002-05-02,5599002897
2002-05-03,5545538315
2002-05-06,5437905546
2002-05-07,5395696879
2002-05-08,5449864696
2002-05-09,5501219101
2002-05-10,5522323619
2002-05-13,5538503599
2002-05-14,5553979974
2002-05-15,5469562324
2002-05-16,5508253764
2002-05-17,5526544396
2002-05-20,5462527607
2002-05-21,5385144620
2002-05-22,5339418463
2002-05-23,5392179336
2002-05-24,5346453126
2002-05-28,5240930957
2002-05-29,5291581653
2002-05-30,5342936006
2002-05-31,5394993223
2002-06-03,5312686172
2002-06-04,5293692253
2002-06-05,5331680090
2002-06-06,5292285310
2002-06-07,5274698335
2002-06-10,5239524014
2002-06-11,5217012975
2002-06-12,5255000760
2002-06-13,5273291392
2002-06-14,5335197633
2002-06-17,5473079867
2002-06-18,5525840740
2002-06-19,5596892298
2002-06-20,5542724428
2002-06-21,5446347575
2002-06-24,5451975348
2002-06-25,5355598442
2002-06-26,5332383747
2002-06-27,5423836114
2002-06-28,5416801398
2002-07-01,5465290631
2002-07-02,5336645521
2002-07-03,5341593526
2002-07-05,5507700830
2002-07-08,5460342625
2002-07-09,5470945281
2002-07-10,5305544570
2002-07-11,5248290301
2002-07-12,5403088357
2002-07-15,5345127497
2002-07-16,5297062594
2002-07-17,5250411034
2002-07-18,5277270944
2002-07-19,5211534753
2002-07-22,5008671422
2002-07-23,4895576974
2002-07-24,5105508565
2002-07-25,5265961271
2002-07-26,5247583709
2002-07-29,5425707332
2002-07-30,5460342625
2002-07-31,5386124458
2002-08-01,5299889919
2002-08-02,5159935507
2002-08-05,4913247943
2002-08-06,5085716915
2002-08-07,5142971183
2002-08-08,5188209133
2002-08-09,5248290301
2002-08-12,5198811417
2002-08-13,5123179534
2002-08-14,5236273983
2002-08-15,5283632612
2002-08-16,5282219003
2002-08-19,5294234896
2002-08-20,5258892957
2002-08-21,5306958232
2002-08-22,5299182902
2002-08-23,5263133946
2002-08-26,5264547608
2002-08-27,5152866822
2002-08-28,5089251311
2002-08-29,5056736697
2002-08-30,5025635746
2002-09-03,4882146992
2002-09-04,4916782286
2002-09-05,4929505250
2002-09-06,5018567433
2002-09-09,4987466110
2002-09-10,5058150360
2002-09-11,5040479391
2002-09-12,5077942009
2002-09-13,5103388309
2002-09-16,5087130578
2002-09-17,5089251311
2002-09-18,5090664974
2002-09-19,4969088549
2002-09-20,4983225122
2002-09-23,5032704060
2002-09-24,4998775784
2002-09-25,5050375029
2002-09-26,5080769335
2002-09-27,5055323035
2002-09-30,4908908045
2002-10-01,4963451697
2002-10-02,4938658992
2002-10-03,4891907717
2002-10-04,4781404145
2002-10-07,4696401439
2002-10-08,4696401439
2002-10-09,4657441794
2002-10-10,5077496817
2002-10-11,5333921683
2002-10-14,5348088996
2002-10-15,5407590837
2002-10-16,5344547075
2002-10-17,5424591538
2002-10-18,5383506666
2002-10-21,5507469070
2002-10-22,5443717094
2002-10-23,5474176202
2002-10-24,5436633624
2002-10-25,5586096467
2002-10-28,5467092732
2002-10-29,5454342485
2002-10-30,5475592896
2002-10-31,5467801265
2002-11-01,5528011267
2002-11-04,5490468316
2002-11-05,5490468316
2002-11-06,5603805701
2002-11-07,5497552212
2002-11-08,5483384899
2002-11-11,5369339779
2002-11-12,5483384899
2002-11-13,5447258643
2002-11-14,5523761185
2002-11-15,5581846385
2002-11-18,5472051347
2002-11-19,5413257613
2002-11-20,5475592896
2002-11-21,5518094462
2002-11-22,5543595274
2002-11-25,5539345245
2002-11-26,5451509097
2002-11-27,5618681175
2002-11-29,5615847361
2002-12-02,5634973343
2002-12-03,5630722835
2002-12-04,5560596028
2002-12-05,5552095438
2002-12-06,5595305165
2002-12-09,5532261775
2002-12-10,5496843679
2002-12-11,5511010992
2002-12-12,5461425955
2002-12-13,5348797157
2002-12-16,5433091702
2002-12-17,5418924389
2002-12-18,5369339779
2002-12-19,5333213522
2002-12-20,5376423249
2002-12-23,5438758478
2002-12-24,5414674307
2002-12-26,5435216930
2002-12-27,5356589160
2002-12-30,5370756473
2002-12-31,5450800564
2003-01-02,5624347951
2003-01-03,5617264481
2003-01-06,5653390312
2003-01-07,5666849091
2003-01-08,5653390312
2003-01-09,5773102634
2003-01-10,5766019164
2003-01-13,5768143965
2003-01-14,5815604200
2003-01-15,5816312308
2003-01-16,5870147426
2003-01-17,5881480978
2003-01-21,5917607181
2003-01-22,5741934993
2003-01-23,5870855959
2003-01-24,5725642825
2003-01-27,5590346922
2003-01-28,5630014727
2003-01-29,5783019439
2003-01-30,5666849091
2003-01-31,5807103610
2003-02-03,5737684911
2003-02-04,5637098144
2003-02-05,5615139254
2003-02-06,5574762915
2003-02-07,5491176903
2003-02-10,5537928551
2003-02-11,5507469070
2003-02-12,5503218988
2003-02-13,5489760209
2003-02-14,5525177879
2003-02-18,5571220994
2003-02-19,5558470747
2003-02-20,5568387606
2003-02-21,5672516293
2003-02-24,5607347250
2003-02-25,5702975348
2003-02-26,5654098898
2003-02-27,5666849091
2003-02-28,5673932987
2003-03-03,5627181339
2003-03-04,5442300400
2003-03-05,5472051347
2003-03-06,5471342814
2003-03-07,5522344491
2003-03-10,5337463604
2003-03-11,5340296993
2003-03-12,5320462904
2003-03-13,5453633952
2003-03-14,5468509426
2003-03-17,5525177879
2003-03-18,5518094462
2003-03-19,5525177879
2003-03-20,5620097869
2003-03-21,5776644555
2003-03-24,5618681175
2003-03-25,5521636383
2003-03-26,5399090726
2003-03-27,5421049617
2003-03-28,5450800564
2003-03-31,5370832977
2003-04-01,5414089389
2003-04-02,5653060956
2003-04-03,5602713544
2003-04-04,5680007332
2003-04-07,5720426843
2003-04-08,5695607597
2003-04-09,5629659920
2003-04-10,5566549038
2003-04-11,5655188032
2003-04-14,5633205633
2003-04-15,5670788776
2003-04-16,5559457558
2003-04-17,5625405288
2003-04-21,5497055594
2003-04-22,5587113226
2003-04-23,5638878476
2003-04-24,5501310226
2003-04-25,5531092971
2003-04-28,5638878476
2003-04-29,5647387687
2003-04-30,5619732445
2003-05-01,5679297987
2003-05-02,5661570220
2003-05-05,5689225462
2003-05-06,5755173192
2003-05-07,5765101040
2003-05-08,5732481448
2003-05-09,5831048344
2003-05-12,5960816674
2003-05-13,6026763925
2003-05-14,6112566978
2003-05-15,6097675579
2003-05-16,5962234832
2003-05-19,5822539080
2003-05-20,5885650388
2003-05-21,5999108683
2003-05-22,6045201090
2003-05-23,6070020337
2003-05-27,6155113618
2003-05-28,6122494452
2003-05-29,6060092436
2003-05-30,6245171303
2003-06-02,6302609769
2003-06-03,6197660685
2003-06-04,6271408761
2003-06-05,6264317334
2003-06-06,6148022618
2003-06-09,6105475924
2003-06-10,6240916671
2003-06-11,6282754446
2003-06-12,6262190205
2003-06-13,6279918025
2003-06-16,6372102786
2003-06-17,6357211387
2003-06-18,6261480913
2003-06-19,6197660685
2003-06-20,6193406106
2003-06-23,6121076242
2003-06-24,6201206452
2003-06-25,6175678286
2003-06-26,6238789542
2003-06-27,6229570985
2003-06-30,6280698670
2003-07-01,6169554838
2003-07-02,6282822600
2003-07-03,6275035354
2003-07-07,6325298217
2003-07-08,6342996266
2003-07-09,6288485916
2003-07-10,6241055084
2003-07-11,6293441504
2003-07-14,6010979801
2003-07-15,5989034264
2003-07-16,5876474230
2003-07-17,5865147598
2003-07-18,5824795911
2003-07-21,5794355453
2003-07-22,5773825320
2003-07-23,5741260932
2003-07-24,5855236794
2003-07-25,5895588481
2003-07-28,5897004311
2003-07-29,5868687357
2003-07-30,5862315940
2003-07-31,5872934844
2003-08-01,5795063128
2003-08-04,5798602940
2003-08-05,5751171682
2003-08-06,5756127323
2003-08-07,5787984036
2003-08-08,5892048723
2003-08-11,5910454873
2003-08-12,5916118189
2003-08-13,5998945068
2003-08-14,6010979801
2003-08-15,5992574023
2003-08-18,6003192555
2003-08-19,6030801780
2003-08-20,6039296702
2003-08-21,6058410580
2003-08-22,6032925285
2003-08-25,6048499777
2003-08-26,6027970122
2003-08-27,6042836514
2003-08-28,6099470368
2003-08-29,6129910879
2003-09-02,6251673988
2003-09-03,6250965887
2003-09-04,6242470913
2003-09-05,6169554838
2003-09-08,6194331980
2003-09-09,6158935934
2003-09-10,6876496554
2003-09-11,6928355502
2003-09-12,6989788410
2003-09-15,6880485704
2003-09-16,7002553690
2003-09-17,7036860379
2003-09-18,6983405771
2003-09-19,6939525122
2003-09-22,6801500536
2003-09-23,6776767807
2003-09-24,6791926577
2003-09-25,6795915727
2003-09-26,6781554787
2003-09-29,6861337785
2003-09-30,6897886109
2003-10-01,7057566903
2003-10-02,7053514091
2003-10-03,7069725340
2003-10-06,7092421087
2003-10-07,7121601334
2003-10-08,7060809153
2003-10-09,7056756341
2003-10-10,7072157027
2003-10-13,7132138645
2003-10-14,7528503664
2003-10-15,7443394611
2003-10-16,7538230413
2003-10-17,7577137408
2003-10-20,7571463471
2003-10-21,7556873348
2003-10-22,7546336037
2003-10-23,7562547285
2003-10-24,7469332608
2003-10-27,7518776915
2003-10-28,7524450852
2003-10-29,7560115598
2003-10-30,7499323417
2003-10-31,7530935351
2003-11-03,7586864157
2003-11-04,7619286654
2003-11-05,7629823965
2003-11-06,7661435899
2003-11-07,7631445090
2003-11-10,7602264843
2003-11-11,7536609288
2003-11-12,7524450852
2003-11-13,7545525474
2003-11-14,7557683910
2003-11-17,7489596668
2003-11-18,7460416421
2003-11-19,7392329179
2003-11-20,7327484186
2003-11-21,7396381991
2003-11-24,7513102978
2003-11-25,7536609288
2003-11-26,7479869919
2003-11-28,7462037546
2003-12-01,7488786105
2003-12-02,7469332608
2003-12-03,7477438232
2003-12-04,7509860728
2003-12-05,7497702292
2003-12-08,7556873348
2003-12-09,7457174172
2003-12-10,7372065118
2003-12-11,7509050166
2003-12-12,7568221222
2003-12-15,7688184458
2003-12-16,7619286654
2003-12-17,7629823965
2003-12-18,7620907778
2003-12-19,7591727532
2003-12-22,7633876777
2003-12-23,7611181029
2003-12-24,7578758533
2003-12-26,7614423279
2003-12-29,7617665529
2003-12-30,7619286654
2003-12-31,7630634527
2004-01-02,7687373896
2004-01-05,7732765391
2004-01-06,7721417517
2004-01-07,7696290082
2004-01-08,7702774582
2004-01-09,7629013402
2004-01-12,7579569095
2004-01-13,7558494473
2004-01-14,7546336037
2004-01-15,7513913540
2004-01-16,7515534665
2004-01-20,7530124788
2004-01-21,7552009973
2004-01-22,7473385420
2004-01-23,7619286654
2004-01-26,7617665529
2004-01-27,7708448519
2004-01-28,7635497902
2004-01-29,7649277463
2004-01-30,7709259081
2004-02-02,7756271701
2004-02-03,7684942209
2004-02-04,7603075405
2004-02-05,7523640289
2004-02-06,7555252223
2004-02-09,7700342895
2004-02-10,7781399136
2004-02-11,7985660863
2004-02-12,7992955925
2004-02-13,8064285417
2004-02-17,8053748105
2004-02-18,8146152220
2004-02-19,8108055787
2004-02-20,8086981164
2004-02-23,8030241795
2004-02-24,8022136171
2004-02-25,7942701055
2004-02-26,7923247557
2004-02-27,7891635623
2004-03-01,7927300369
2004-03-02,7878666625
2004-03-03,7861644814
2004-03-04,7919194745
2004-03-05,8016462234
2004-03-08,8052937543
2004-03-09,7984850300
2004-03-10,7895688435
2004-03-11,7826790630
2004-03-12,7901362372
2004-03-15,7852728628
2004-03-16,7836517379
2004-03-17,7959722866
2004-03-18,7985660863
2004-03-19,7977555239
2004-03-22,7863265939
2004-03-23,7894877873
2004-03-24,7895688435
2004-03-25,7905415184
2004-03-26,7883529999
2004-03-29,8016462234
2004-03-30,8127509285
2004-03-31,8166655963
2004-04-01,8262772278
2004-04-02,8319311287
2004-04-05,8365350194
2004-04-06,8409773701
2004-04-07,8298311084
2004-04-08,8403312100
2004-04-12,8383927297
2004-04-13,8333042189
2004-04-14,8533351820
2004-04-15,8541428821
2004-04-16,8768392557
2004-04-19,8724776750
2004-04-20,8619775734
2004-04-21,8600390931
2004-04-22,8668237741
2004-04-23,8638352836
2004-04-26,8561621325
2004-04-27,8602006331
2004-04-28,8642391337
2004-04-29,8602006331
2004-04-30,8525274819
2004-05-03,8468735810
2004-05-04,8458235709
2004-05-05,8411389101
2004-05-06,8328195988
2004-05-07,8320118987
2004-05-10,8263579978
2004-05-11,8327388288
2004-05-12,8278926281
2004-05-13,8366965594
2004-05-14,8311234286
2004-05-17,8078616650
2004-05-18,8096386053
2004-05-19,8077001250
2004-05-20,8119001656
2004-05-21,8080232050
2004-05-24,8171502164
2004-05-25,8342734591
2004-05-26,8400889000
2004-05-27,8481659012
2004-05-28,8590698529
2004-06-01,8556775124
2004-06-02,8648852938
2004-06-03,8623006534
2004-06-04,8674699342
2004-06-07,8761123255
2004-06-08,8742546153
2004-06-09,8736084552
2004-06-10,8733661451
2004-06-14,8719122849
2004-06-15,8675507042
2004-06-16,8595544730
2004-06-17,8698930346
2004-06-18,8666622341
2004-06-21,8697314946
2004-06-22,8585852328
2004-06-23,8529313320
2004-06-24,8492159114
2004-06-25,8426735404
2004-06-28,8497005315
2004-06-29,8480851312
2004-06-30,8584359052
2004-07-01,8702087405
2004-07-02,8692276709
2004-07-06,8620331604
2004-07-07,8495245229
2004-07-08,8503420810
2004-07-09,8527947550
2004-07-12,8505055926
2004-07-13,8447009307
2004-07-14,8420847451
2004-07-15,8633412532
2004-07-16,8627689626
2004-07-19,8563920102
2004-07-20,8532852898
2004-07-21,8514866622
2004-07-22,8502603252
2004-07-23,8420847451
2004-07-26,8420847451
2004-07-27,8406948965
2004-07-28,8404496291
2004-07-29,8314564910
2004-07-30,8373429087
2004-08-02,8522224644
2004-08-03,8482164301
2004-08-04,8406948965
2004-08-05,8446191749
2004-08-06,8283497706
2004-08-09,8253248060
2004-08-10,8205829696
2004-08-11,8101999829
2004-08-12,8032507399
2004-08-13,8014521123
2004-08-16,8146965519
2004-08-17,8187843420
2004-08-18,8269599220
2004-08-19,8282680148
2004-08-20,8385692457
2004-08-23,8360348159
