,UCL
2021-01-22,293460225
2021-01-25,293460225
2021-01-26,300245432
2021-01-27,305334338
2021-01-28,299962715
2021-01-29,297135545
2021-02-01,291198489
2021-02-02,288936753
2021-02-03,294025659
2021-02-04,300528149
2021-02-05,299679998
2021-02-08,310140527
2021-02-09,307878791
2021-02-10,316077583
2021-02-11,339825809
2021-02-12,360464149
2021-02-16,367532074
2021-02-17,391563017
2021-02-18,373751847
2021-02-19,383081507
2021-02-22,367249357
2021-02-23,340391243
2021-02-24,339543092
2021-02-25,344631998
2021-02-26,333606036
2021-03-01,311836828
2021-03-02,321166489
2021-03-03,316077583
2021-03-04,309575093
2021-03-05,294025659
2021-03-08,294025659
2021-03-09,303920753
2021-03-10,315794866
2021-03-11,305334338
2021-03-12,294025659
2021-03-15,301093583
2021-03-16,301941734
2021-03-17,293177508
2021-03-18,296570112
2021-03-19,299679998
2021-03-22,285826866
2021-03-23,283847847
2021-03-24,284413281
2021-03-25,307878791
2021-03-26,342087545
2021-03-29,344349281
2021-03-30,326255394
2021-03-31,298266413
2021-04-01,306891549
2021-04-05,297600337
2021-04-06,305483789
2021-04-07,296474129
2021-04-08,295347922
2021-04-09,290279988
2021-04-12,289998436
2021-04-13,289998436
2021-04-14,276765498
2021-04-15,294221714
2021-04-16,290279988
2021-04-19,277610153
2021-04-20,280707224
2021-04-21,286056710
2021-04-22,343493293
2021-04-23,374182448
2021-04-26,376153311
2021-04-27,339270015
2021-04-28,357007783
2021-04-29,330823459
2021-04-30,299852752
2021-05-03,303794478
2021-05-04,298444992
2021-05-05,298444992
2021-05-06,301260511
2021-05-07,301260511
2021-05-10,365735892
2021-05-11,326600180
2021-05-12,311114827
2021-05-13,296192577
2021-05-14,299571200
2021-05-17,322658454
2021-05-18,310270171
2021-05-19,296474129
2021-05-20,298444992
2021-05-21,308580860
2021-05-24,313648794
2021-05-25,292813955
2021-05-26,357570887
2021-05-27,334483633
2021-05-28,328007940
2021-06-01,309707068
2021-06-02,318716728
2021-06-03,320687591
2021-06-04,324629317
2021-06-07,318153624
2021-06-08,308862412
2021-06-09,308299308
2021-06-10,309425516
2021-06-11,321813798
2021-06-14,311677931
2021-06-15,314775001
2021-06-16,306328445
2021-06-17,309707068
2021-06-18,306046893
2021-06-21,309425516
2021-06-22,308299308
2021-06-23,304357582
2021-06-24,304076030
2021-06-25,304076030
2021-06-28,297600337
2021-06-29,295911025
2021-06-30,281551880
2021-07-01,286779591
2021-07-02,292174455
2021-07-06,275138044
2021-07-07,262644675
2021-07-08,274570163
2021-07-09,270027120
2021-07-12,274286223
2021-07-13,266903778
2021-07-14,261224974
2021-07-15,255546171
2021-07-16,262360735
2021-07-19,258101632
2021-07-20,265200137
2021-07-21,267187718
2021-07-22,252706769
2021-07-23,222325168
2021-07-26,213523022
2021-07-27,187116585
2021-07-28,204436936
2021-07-29,202733295
2021-07-30,206992398
2021-08-02,202165415
2021-08-03,208128159
2021-08-04,200177833
2021-08-05,206424518
2021-08-06,217214245
2021-08-09,218633946
2021-08-10,212387262
2021-08-11,204436936
2021-08-12,195634790
2021-08-13,175475037
2021-08-16,180018080
2021-08-17,185129003
2021-08-18,177462618
2021-08-19,170364114
2021-08-20,170931994
2021-08-23,178030499
2021-08-24,181437781
2021-08-25,191943568
2021-08-26,181721721
2021-08-27,180585960
2021-08-30,180585960
2021-08-31,190523867
2021-09-01,190239927
2021-09-02,208412099
2021-09-03,208979979
2021-09-07,209831800
2021-09-08,210967561
2021-09-09,215794544
2021-09-10,212671202
2021-09-13,207276338
2021-09-14,184561123
2021-09-15,178030499
2021-09-16,167524712
2021-09-17,153043762
2021-09-20,174623216
2021-09-21,144241616
2021-09-22,145093437
2021-09-23,137143111
2021-09-24,141118274
2021-09-27,137143111
2021-09-28,129192786
2021-09-29,113860016
2021-09-30,123513982
2021-10-01,132903399
2021-10-04,130319964
2021-10-05,124291948
2021-10-06,121134416
2021-10-07,128884722
2021-10-08,121995561
2021-10-11,117402787
2021-10-12,110226577
2021-10-13,113958206
2021-10-14,110513626
2021-10-15,113958206
2021-10-18,111374771
2021-10-19,108791336
2021-10-20,106494948
2021-10-21,89559094
2021-10-22,79225352
2021-10-25,84392223
2021-10-26,84679272
2021-10-27,86114514
2021-10-28,91281384
2021-10-29,89846142
2021-11-01,90994336
2021-11-02,86114514
2021-11-03,87549755
2021-11-04,84966320
2021-11-05,79512401
2021-11-08,85540417
2021-11-09,83531078
2021-11-10,82669933
2021-11-11,80086498
2021-11-12,81521739
2021-11-15,85253368
2021-11-16,83818126
2021-11-17,80373546
2021-11-18,72049143
2021-11-19,78938304
2021-11-22,76928965
2021-11-23,81234691
2021-11-24,82956981
2021-11-26,80660594
2021-11-29,71187998
2021-11-30,76354869
2021-12-01,76354869
2021-12-02,68891611
2021-12-03,80373546
2021-12-06,66308175
2021-12-07,67743417
2021-12-08,74632578
2021-12-09,77503062
2021-12-10,76641917
2021-12-13,74919627
2021-12-14,71475046
2021-12-15,66021127
2021-12-16,71187998
2021-12-17,70900949
2021-12-20,76641917
2021-12-21,80660594
2021-12-22,86975659
2021-12-23,94725965
2021-12-27,100753981
2021-12-28,109365432
2021-12-29,126301287
2021-12-30,146394673
2021-12-31,189164882
2022-01-03,109880173
2022-01-04,89639088
2022-01-05,82120971
2022-01-06,69687162
2022-01-07,65060628
2022-01-10,60723253
2022-01-11,63614837
2022-01-12,66506420
2022-01-13,61012411
2022-01-14,63325678
2022-01-18,58988303
2022-01-19,60434095
2022-01-20,61012411
2022-01-21,57253353
2022-01-24,53494294
2022-01-25,54940086
2022-01-26,55807561
2022-01-27,50891869
2022-01-28,47421969
2022-01-31,52915978
2022-02-01,53205136
2022-02-02,52337661
2022-02-03,50313552
2022-02-04,44819544
2022-02-07,42506277
2022-02-08,58699145
2022-02-09,54072611
2022-02-10,49735236
2022-02-11,49735236
2022-02-14,50891869
2022-02-15,51181027
2022-02-16,50024394
2022-02-17,50313552
2022-02-18,49446077
2022-02-22,49156919
2022-02-23,47711127
2022-02-24,46554494
2022-02-25,47711127
2022-02-28,48289444
2022-03-01,47711127
2022-03-02,50024394
2022-03-03,49156919
2022-03-04,46554494
2022-03-07,42506277
2022-03-08,43373752
2022-03-09,45976177
2022-03-10,45976177
2022-03-11,44530385
2022-03-14,44530385
2022-03-15,44530385
2022-03-16,46265336
2022-03-17,46265336
2022-03-18,47132811
2022-03-21,46554494
2022-03-22,50024394
2022-03-23,48000286
2022-03-24,56964194
2022-03-25,56675036
2022-03-28,55229244
2022-03-29,51470186
2022-03-30,54650928
2022-03-31,50891869
2022-04-01,55252259
2022-04-04,53115431
2022-04-05,52810170
2022-04-06,50978603
2022-04-07,49452298
2022-04-08,48841776
2022-04-11,45178642
2022-04-12,47010209
2022-04-13,45483903
2022-04-14,43957598
2022-04-18,45178642
2022-04-19,45483903
2022-04-20,45789165
2022-04-21,42736554
2022-04-22,43652337
2022-04-25,38462898
2022-04-26,34189243
2022-04-27,34799765
2022-04-28,33883982
2022-04-29,33883982
2022-05-02,31747154
2022-05-03,31747154
2022-05-04,34494504
2022-05-05,33578721
2022-05-06,31441893
2022-05-09,28389282
2022-05-10,25947193
2022-05-11,24390361
2022-05-12,26252454
2022-05-13,26557715
2022-05-16,28389282
2022-05-17,30465057
2022-05-18,30831371
2022-05-19,34189243
2022-05-20,33273459
2022-05-23,33578721
2022-05-24,32662937
2022-05-25,35105026
2022-05-26,35715548
2022-05-27,35715548
2022-05-31,35410287
2022-06-01,35105026
2022-06-02,34799765
2022-06-03,34799765
2022-06-06,32968198
2022-06-07,32357676
2022-06-08,33578721
2022-06-09,34494504
2022-06-10,35105026
2022-06-13,31747154
2022-06-14,30831371
2022-06-15,30831371
2022-06-16,28999804
2022-06-17,30220848
2022-06-21,30526110
2022-06-22,32968198
2022-06-23,32052415
2022-06-24,32662937
2022-06-27,32052415
2022-06-28,34494504
2022-06-29,35715548
2022-06-30,34494504
2022-07-01,36326069
2022-07-05,38157636
2022-07-06,42126030
2022-07-07,44568119
2022-07-08,39683941
2022-07-11,36631330
2022-07-12,36631330
2022-07-13,36326069
2022-07-14,36020808
2022-07-15,34189242
2022-07-18,36631330
2022-07-19,36326069
2022-07-20,36020808
2022-07-21,35105025
2022-07-22,32662936
2022-07-25,31441892
2022-07-26,31136631
2022-07-27,30831370
2022-07-28,27137710
2022-07-29,28999803
2022-08-01,28999803
2022-08-02,28084020
2022-08-03,27473498
2022-08-04,26496662
2022-08-05,26924028
2022-08-08,28175598
2022-08-09,24726148
2022-08-10,24726148
2022-08-11,23077738
2022-08-12,25031409
2022-08-15,22650372
2022-08-16,21063015
2022-08-17,22406164
2022-08-18,21612485
2022-08-19,21093541
2022-08-22,18926187
2022-08-23,18926187
2022-08-24,18926187
2022-08-25,19750392
2022-08-26,18529348
2022-08-29,17796721
2022-08-30,18407243
2022-08-31,17705143
2022-09-01,16484098
2022-09-02,16758833
2022-09-06,18071456
2022-09-07,16423046
2022-09-08,16484098
2022-09-09,18010404
2022-09-12,19170396
2022-09-13,19017765
2022-09-14,17399882
2022-09-15,16209363
2022-09-16,16789359
2022-09-19,18315665
2022-09-20,17918825
2022-09-21,17521986
2022-09-22,17705143
2022-09-23,18376717
2022-09-26,16331468
2022-09-27,18498822
2022-09-28,17033568
2022-09-29,16636729
2022-09-30,17216725
2022-10-03,21461779
2022-10-04,22088670
2022-10-05,23416202
2022-10-06,20281750
2022-10-07,19912991
2022-10-10,18069195
2022-10-11,19138597
2022-10-12,18216699
2022-10-13,20798013
2022-10-14,21498655
2022-10-17,21978042
2022-10-18,20687385
2022-10-19,21609283
2022-10-20,22014918
2022-10-21,25444377
2022-10-24,29758859
2022-10-25,33815209
2022-10-26,31418275
2022-10-27,30975764
2022-10-28,32708932
2022-10-31,29242596
2022-11-01,28910713
2022-11-02,31123268
2022-11-03,31049516
2022-11-04,33188319
2022-11-07,35400873
2022-11-08,37613428
2022-11-09,41669778
2022-11-10,47938683
2022-11-11,70064229
2022-11-14,72276783
2022-11-15,76333133
2022-11-16,70801747
2022-11-17,82602038
2022-11-18,97721161
2022-11-21,127959407
2022-11-22,132384516
2022-11-23,127959407
2022-11-25,125009334
2022-11-28,118740430
2022-11-29,144184808
2022-11-30,140865976
2022-12-01,139759698
2022-12-02,138653421
2022-12-05,127221889
2022-12-06,127590648
2022-12-07,131646998
2022-12-08,132384516
2022-12-09,130909480
2022-12-12,136440867
2022-12-13,140128458
2022-12-14,143816049
2022-12-15,167785390
2022-12-16,159672690
2022-12-19,144922326
2022-12-20,153035026
2022-12-21,148241158
2022-12-22,138284662
2022-12-23,146397362
2022-12-27,132753276
2022-12-28,113577802
2022-12-29,110258970
2022-12-30,123165539
2023-01-03,117850776
2023-01-04,116003585
2023-01-05,127456168
2023-01-06,134475493
2023-01-09,132997741
2023-01-10,119328528
2023-01-11,125608977
2023-01-12,131889426
2023-01-13,131519988
2023-01-17,133367179
2023-01-18,147036391
2023-01-19,160705603
2023-01-20,176222007
2023-01-23,182502455
2023-01-24,214274138
2023-01-25,197649420
2023-01-26,194324477
2023-01-27,200235488
2023-01-30,206885375
2023-01-31,210579756
2023-02-01,212057509
2023-02-02,220185149
2023-02-03,195802230
2023-02-06,179177512
2023-02-07,182133017
2023-02-08,182871894
2023-02-09,171788749
2023-02-10,178808074
2023-02-13,192107848
2023-02-14,181394141
2023-02-15,193216162
2023-02-16,172897063
2023-02-17,172158187
2023-02-21,187674590
2023-02-22,176222007
2023-02-23,188413466
2023-02-24,177699759
2023-02-27,176222007
2023-02-28,161075042
2023-03-01,167355491
2023-03-02,152577964
2023-03-03,156272345
2023-03-06,161075042
2023-03-07,148514144
2023-03-08,144080886
2023-03-09,140386504
2023-03-10,157011222
2023-03-13,149991897
2023-03-14,150361335
2023-03-15,153316840
2023-03-16,145928077
2023-03-17,133367179
2023-03-20,125978415
2023-03-21,133367179
2023-03-22,144450324
2023-03-23,153316840
2023-03-24,149253020
2023-03-27,139647628
2023-03-28,148514144
2023-03-29,147036391
2023-03-30,146666953
2023-03-31,147036391
2023-04-03,147863470
2023-04-04,146010545
2023-04-05,144528204
2023-04-06,140822353
2023-04-10,147492885
2023-04-11,143416449
2023-04-12,138969427
2023-04-13,137487086
2023-04-14,137487086
2023-04-17,135634161
2023-04-18,131187139
2023-04-19,134151820
2023-04-20,137857672
2023-04-21,142675278
2023-04-24,164169217
2023-04-25,149345811
2023-04-26,148604641
2023-04-27,148604641
2023-04-28,161575121
2023-05-01,159351610
2023-05-02,152310492
2023-05-03,157498684
2023-05-04,152310492
2023-05-05,153051662
2023-05-08,156016343
2023-05-09,154163418
2023-05-10,152681077
2023-05-11,154534003
2023-05-12,145269374
2023-05-15,142675278
2023-05-16,135634161
2023-05-17,141192938
2023-05-18,148604641
2023-05-19,145639960
2023-05-22,145269374
2023-05-23,144898789
2023-05-24,141192938
2023-05-25,139340012
2023-05-26,137116501
2023-05-30,132298894
2023-05-31,130445969
2023-06-01,134892990
2023-06-02,128222458
2023-06-05,131187139
2023-06-06,135263576
2023-06-07,133410650
2023-06-08,132298894
2023-06-09,132298894
2023-06-12,124887192
2023-06-13,125257777
2023-06-14,119328415
2023-06-15,123775436
2023-06-16,119699000
2023-06-20,119328415
2023-06-21,117104904
2023-06-22,123775436
2023-06-23,117104904
2023-06-26,105616764
2023-06-27,102281498
2023-06-28,90422774
2023-06-29,90793359
2023-06-30,94128625
2023-07-03,101274877
2023-07-05,99413207
2023-07-06,99413207
2023-07-07,99413207
2023-07-10,97551536
2023-07-11,96434534
2023-07-12,94200529
2023-07-13,95689866
2023-07-14,96806868
2023-07-17,102764214
2023-07-18,100530209
2023-07-19,96806868
2023-07-20,102391880
2023-07-21,102391880
2023-07-24,102764214
2023-07-25,106487555
2023-07-26,122497922
2023-07-27,121008585
2023-07-28,121753253
2023-07-31,116912910
2023-08-01,114678905
2023-08-02,114678905
2023-08-03,119891583
2023-08-04,119146915
2023-08-07,117285244
2023-08-08,113934237
2023-08-09,115051239
2023-08-10,116540576
2023-08-11,110210896
2023-08-14,111327898
2023-08-15,115051239
2023-08-16,102019546
2023-08-17,95689866
2023-08-18,96806868
2023-08-21,98296205
2023-08-22,93083527
2023-08-23,89732520
2023-08-24,85264511
2023-08-25,83775174
2023-08-28,80424167
2023-08-29,81168835
2023-08-30,83030506
2023-08-31,85264511
2023-09-01,85264511
2023-09-05,90477188
2023-09-06,91594191
2023-09-07,89732520
2023-09-08,80051833
2023-09-11,84147508
2023-09-12,83775174
2023-09-13,82844339
2023-09-14,80424167
2023-09-15,80796501
2023-09-18,80051833
2023-09-19,80796501
2023-09-20,79679499
2023-09-21,80051833
2023-09-22,84519842
2023-09-25,81913504
2023-09-26,84892177
2023-09-27,79307165
2023-09-28,78190163
2023-09-29,78934831
2023-10-02,80139939
2023-10-03,70777797
2023-10-04,78080268
2023-10-05,75271625
2023-10-06,71152283
2023-10-09,71526768
2023-10-10,79765454
2023-10-11,79765454
2023-10-12,72275740
2023-10-13,74897140
2023-10-16,78267511
2023-10-17,76395082
2023-10-18,72650225
2023-10-19,71152283
2023-10-20,71152283
2023-10-23,61790140
2023-10-24,65534997
2023-10-25,63288083
2023-10-26,61790140
2023-10-27,59168740
2023-10-30,59168740
2023-10-31,43814826
2023-11-01,44938284
2023-11-02,48683141
2023-11-03,56921826
2023-11-06,65340264
2023-11-07,67032940
2023-11-08,63662569
2023-11-09,73024711
2023-11-10,85008253
2023-11-13,98748134
2023-11-14,101669122
2023-11-15,95868339
2023-11-16,86131711
2023-11-17,81637882
2023-11-20,83135825
2023-11-21,81637882
2023-11-22,92872453
2023-11-24,93355540
2023-11-27,82012368
2023-11-28,85382739
2023-11-29,85382739
2023-11-30,85008253
2023-12-01,89876568
2023-12-04,88004139
2023-12-05,87629653
2023-12-06,95119367
2023-12-07,94744882
2023-12-08,94744882
2023-12-11,85008253
2023-12-12,80139939
2023-12-13,85757225
2023-12-14,85757225
2023-12-15,88753110
2023-12-18,87255168
2023-12-19,82761339
2023-12-20,81637882
2023-12-21,74897140
2023-12-22,73399197
2023-12-26,64786026
2023-12-27,67032940
2023-12-28,67781911
2023-12-29,65534997
2024-01-02,69279854
2024-01-03,68530883
2024-01-04,71152283
2024-01-05,70777797
2024-01-08,64037054
2024-01-09,60292197
2024-01-10,58794254
2024-01-11,60666683
2024-01-12,58419769
2024-01-16,56547340
2024-01-17,55798369
2024-01-18,61041169
2024-01-19,54674912
2024-01-22,52802483
2024-01-23,54300426
2024-01-24,53176969
2024-01-25,49432112
2024-01-26,49057626
2024-01-29,52427998
2024-01-30,55798369
2024-01-31,50930055
2024-02-01,50555569
2024-02-02,49432112
2024-02-05,49432112
2024-02-06,49806598
2024-02-07,51304540
2024-02-08,49432112
2024-02-09,53551455
2024-02-12,64037054
2024-02-13,66658454
2024-02-14,63662569
2024-02-15,66658454
2024-02-16,67032940
2024-02-20,66283968
2024-02-21,67407426
2024-02-22,65534997
2024-02-23,65909483
2024-02-26,57296312
2024-02-27,60666683
2024-02-28,55423883
2024-02-29,55049397
2024-03-01,55423883
2024-03-04,57296312
2024-03-05,56172855
2024-03-06,56172855
2024-03-07,58794254
2024-03-08,56547340
2024-03-11,59168740
2024-03-12,62913597
2024-03-13,58419769
2024-03-14,54300426
2024-03-15,53176969
2024-03-18,58794254
2024-03-19,62164626
2024-03-20,65160511
2024-03-21,60666683
2024-03-22,60292197
2024-03-25,56921826
2024-03-26,56547340
2024-03-27,59917712
2024-03-28,58794254
2024-04-01,56172855
2024-04-02,56172855
2024-04-03,57670797
2024-04-04,57670797
2024-04-05,56921826
2024-04-08,58419769
2024-04-09,59917712
2024-04-10,54300426
2024-04-11,59543226
2024-04-12,58045283
2024-04-15,54674912
2024-04-16,56547340
2024-04-17,52802483
2024-04-18,51679026
2024-04-19,49432112
2024-04-22,51304540
2024-04-23,53925940
2024-04-24,51304540
2024-04-25,52802483
2024-04-26,51304540
2024-04-29,57670797
2024-04-30,56172855
2024-05-01,56921826
2024-05-02,57296312
2024-05-03,53551455
2024-05-06,52427998
2024-05-07,50555569
2024-05-08,50555569
2024-05-09,51304540
2024-05-10,51304540
2024-05-13,57296312
2024-05-14,61462576
2024-05-15,59588717
2024-05-16,54716684
2024-05-17,58464400
2024-05-20,54716682
2024-05-21,55466226
2024-05-22,58089629
2024-05-23,60713031
2024-05-24,60338259
2024-05-28,61462575
2024-05-29,63711206
2024-05-30,68208467
2024-05-31,70082326
2024-06-03,72705729
2024-06-04,65210293
2024-06-05,65210293
2024-06-06,64085977
2024-06-07,60338259
2024-06-10,59963488
2024-06-11,64085977
2024-06-12,63711206
2024-06-13,65585065
2024-06-14,66709380
2024-06-17,61837347
2024-06-18,61837347
2024-06-20,70457098
2024-06-21,70082326
2024-06-24,70457098
2024-06-25,70457098
2024-06-26,70082326
2024-06-27,70082326
2024-06-28,69707554
2024-07-01,65959836
2024-07-02,66334608
2024-07-03,65959836
2024-07-05,61462575
2024-07-08,61837347
2024-07-09,60338259
2024-07-10,59963488
2024-07-11,59963488
2024-07-12,58839172
2024-07-15,59963488
2024-07-16,58089629
2024-07-17,58839172
2024-07-18,59963488
2024-07-19,61462575
2024-07-22,58839172
2024-07-23,58839172
2024-07-24,58089629
2024-07-25,61462575
2024-07-26,60713031
2024-07-29,61837347
2024-07-30,59588716
2024-08-01,59588716
2024-08-02,55466226
2024-08-05,52842823
2024-08-06,52842823
2024-08-07,55091454
2024-08-08,52468052
2024-08-09,53217595
