,HUM
2003-01-27,1530269980
2003-01-28,1559938480
2003-01-29,1545884980
2003-01-30,1486547980
2003-01-31,1552130980
2003-02-03,1464686981
2003-02-04,1411595981
2003-02-05,1389734982
2003-02-06,1381927482
2003-02-07,1419403481
2003-02-10,1410034481
2003-02-11,1405349982
2003-02-12,1355381982
2003-02-13,1395980982
2003-02-14,1395980982
2003-02-18,1439702981
2003-02-19,1447510481
2003-02-20,1452194981
2003-02-21,1524023980
2003-02-24,1453756481
2003-02-25,1477178981
2003-02-26,1492793980
2003-02-27,1524023980
2003-02-28,1530269980
2003-03-03,1486547980
2003-03-04,1442825981
2003-03-05,1464686981
2003-03-06,1442825981
2003-03-07,1483424981
2003-03-10,1460002481
2003-03-11,1428772481
2003-03-12,1456879481
2003-03-13,1445948981
2003-03-14,1405349982
2003-03-17,1458440981
2003-03-18,1472494481
2003-03-19,1481863481
2003-03-20,1484986480
2003-03-21,1567745979
2003-03-24,1522462480
2003-03-25,1475617481
2003-03-26,1436579981
2003-03-27,1436579981
2003-03-28,1463125481
2003-03-31,1511476348
2003-04-01,1470540531
2003-04-02,1483136167
2003-04-03,1472114985
2003-04-04,1479987258
2003-04-07,1484710621
2003-04-08,1459519349
2003-04-09,1453221531
2003-04-10,1431179167
2003-04-11,1442200349
2003-04-14,1506752985
2003-04-15,1509901894
2003-04-16,1453221531
2003-04-17,1552412166
2003-04-21,1513050803
2003-04-22,1587050166
2003-04-23,1621688165
2003-04-24,1668921801
2003-04-25,1653177256
2003-04-28,1605943620
2003-04-29,1686240801
2003-04-30,1739772255
2003-05-01,1744495619
2003-05-02,1766537982
2003-05-05,1846835163
2003-05-06,1842111800
2003-05-07,1849984072
2003-05-08,1813771618
2003-05-09,1843686254
2003-05-12,1875175345
2003-05-13,1938153526
2003-05-14,1963344798
2003-05-15,1991684980
2003-05-16,2084577797
2003-05-19,1991684980
2003-05-20,2027897434
2003-05-21,2064109888
2003-05-22,2059386525
2003-05-23,2038918616
2003-05-27,2024748525
2003-05-28,2038918616
2003-05-29,2031046343
2003-05-30,2045216434
2003-06-02,2040493070
2003-06-03,2084577797
2003-06-04,2075131070
2003-06-05,2136534797
2003-06-06,2204236342
2003-06-09,2160151615
2003-06-10,2197938523
2003-06-11,2314448159
2003-06-12,2372702976
2003-06-13,2393170885
2003-06-16,2446702339
2003-06-17,2519127248
2003-06-18,2468744703
2003-06-19,2363256249
2003-06-20,2421511067
2003-06-23,2330192704
2003-06-24,2316022613
2003-06-25,2312873704
2003-06-26,2363256249
2003-06-27,2377426340
2003-06-30,2405120238
2003-07-01,2436976135
2003-07-02,2486352776
2003-07-03,2459275263
2003-07-07,2492723955
2003-07-08,2545286186
2003-07-09,2644039467
2003-07-10,2616961954
2003-07-11,2680673749
2003-07-14,2659967416
2003-07-15,2578734878
2003-07-16,2515023083
2003-07-17,2505466314
2003-07-18,2502280725
2003-07-21,2575549288
2003-07-22,2565992519
2003-07-23,2559621340
2003-07-24,2589884442
2003-07-25,2680673749
2003-07-28,2816061312
2003-07-29,2793762184
2003-07-30,2847917209
2003-07-31,2790576594
2003-08-01,2781019825
2003-08-04,2738014364
2003-08-05,2688637723
2003-08-06,2538915006
2003-08-07,2586698852
2003-08-08,2559621340
2003-08-11,2588291647
2003-08-12,2616961954
2003-08-13,2632889903
2003-08-14,2663153005
2003-08-15,2653596236
2003-08-18,2667931390
2003-08-19,2745978338
2003-08-20,2702972877
2003-08-21,2726864800
2003-08-22,2745978338
2003-08-25,2741199954
2003-08-26,2742792748
2003-08-27,2742792748
2003-08-28,2808097338
2003-08-29,2801726158
2003-09-02,2886144286
2003-09-03,2862252363
2003-09-04,2902072234
2003-09-05,2849510004
2003-09-08,2946670491
2003-09-09,2868623542
2003-09-10,2827210876
2003-09-11,2857473978
2003-09-12,2859066773
2003-09-15,2851102799
2003-09-16,2879773106
2003-09-17,2905257824
2003-09-18,2897293850
2003-09-19,2849510004
2003-09-22,2865437953
2003-09-23,2819246902
2003-09-24,2771463056
2003-09-25,2768277466
2003-09-26,2769870261
2003-09-29,2847917209
2003-09-30,2907052081
2003-10-01,2966642623
2003-10-02,2990800950
2003-10-03,3032675385
2003-10-06,3013348723
2003-10-07,3050391491
2003-10-08,3058444267
2003-10-09,3090655371
2003-10-10,3127698140
2003-10-13,3097097591
2003-10-14,3085823705
2003-10-15,3116424253
2003-10-16,3179235905
2003-10-17,3118034809
2003-10-20,3106760922
2003-10-21,3145414247
2003-10-22,3053612602
2003-10-23,3061665378
2003-10-24,3182457015
2003-10-27,3163130353
2003-10-28,3135750915
2003-10-29,3174404240
2003-10-30,3122866474
2003-10-31,3267816439
2003-11-03,3180846460
2003-11-04,3177625350
2003-11-05,3190509791
2003-11-06,3180846460
2003-11-07,3192120346
2003-11-10,3174404240
2003-11-11,3159909243
2003-11-12,3300027543
2003-11-13,3406324184
2003-11-14,3329017536
2003-11-17,3290364212
2003-11-18,3291974767
2003-11-19,3398271408
2003-11-20,3311301429
2003-11-21,3317743650
2003-11-24,3543221374
2003-11-25,3494904718
2003-11-26,3551274149
2003-11-28,3596369694
2003-12-01,3641465239
2003-12-02,3728435218
2003-12-03,3723603553
2003-12-04,3660791901
2003-12-05,3593148584
2003-12-08,3655960235
2003-12-09,3631801908
2003-12-10,3543221374
2003-12-11,3646296904
2003-12-12,3622138577
2003-12-15,3633412463
2003-12-16,3662402456
2003-12-17,3623749132
2003-12-18,3684950228
2003-12-19,3647907460
2003-12-22,3668844677
2003-12-23,3651128570
2003-12-24,3655960235
2003-12-26,3654349680
2003-12-29,3750982990
2003-12-30,3730045773
2003-12-31,3690274954
2004-01-02,3703194954
2004-01-05,3454484957
2004-01-06,3491629956
2004-01-07,3459329957
2004-01-08,3373734958
2004-01-09,3289754959
2004-01-12,3351124958
2004-01-13,3456099957
2004-01-14,3567534955
2004-01-15,3588529955
2004-01-16,3651514954
2004-01-20,3829164952
2004-01-21,3801709952
2004-01-22,3816244952
2004-01-23,3800094952
2004-01-26,3861464952
2004-01-27,3795249953
2004-01-28,3774254953
2004-01-29,3762949953
2004-01-30,3767794953
2004-02-02,3708039954
2004-02-03,3504549956
2004-02-04,3583684955
2004-02-05,3519084956
2004-02-06,3624059955
2004-02-09,3599834955
2004-02-10,3554614955
2004-02-11,3501319956
2004-02-12,3525544956
2004-02-13,3499704956
2004-02-17,3536849956
2004-02-18,3498089956
2004-02-19,3412494957
2004-02-20,3490014956
2004-02-23,3464174957
2004-02-24,3422184957
2004-02-25,3462559957
2004-02-26,3454484957
2004-02-27,3540079956
2004-03-01,3472249957
2004-03-02,3525544956
2004-03-03,3536849956
2004-03-04,3535234956
2004-03-05,3551384956
2004-03-08,3477094956
2004-03-09,3409264957
2004-03-10,3375349958
2004-03-11,3312364958
2004-03-12,3364044958
2004-03-15,3312364958
2004-03-16,3473864956
2004-03-17,3385039958
2004-03-18,3397959957
2004-03-19,3396344957
2004-03-22,3260684959
2004-03-23,3197699960
2004-03-24,3115334961
2004-03-25,3163784960
2004-03-26,3126639961
2004-03-29,3152479960
2004-03-30,3076574961
2004-03-31,3071844081
2004-04-01,3025007342
2004-04-02,3057308542
2004-04-05,3126756121
2004-04-06,3107375401
2004-04-07,3078304321
2004-04-08,3066998902
2004-04-12,3094454921
2004-04-13,3094454921
2004-04-14,3005626622
2004-04-15,2869961584
2004-04-16,2923258563
2004-04-19,2971710363
2004-04-20,2903877844
2004-04-21,2918413383
2004-04-22,2949099523
2004-04-23,3070229021
2004-04-26,2860271224
2004-04-27,2818279665
2004-04-28,2782748345
2004-04-29,2693920046
2004-04-30,2630932707
2004-05-03,2745601966
2004-05-04,2642238127
2004-05-05,2672924266
2004-05-06,2600246567
2004-05-07,2558255008
2004-05-10,2527568868
2004-05-11,2511418268
2004-05-12,2600246567
2004-05-13,2587326087
2004-05-14,2689074866
2004-05-17,2609936927
2004-05-18,2637392947
2004-05-19,2605091747
2004-05-20,2546949588
2004-05-21,2556639948
2004-05-24,2527568868
2004-05-25,2774673045
2004-05-26,2703610406
2004-05-27,2705225466
2004-05-28,2756907385
2004-06-01,2735911606
2004-06-02,2763367625
2004-06-03,2693920046
2004-06-04,2674539326
2004-06-07,2729451366
2004-06-08,2700380286
2004-06-09,2624472467
2004-06-10,2616397167
2004-06-14,2603476687
2004-06-15,2585711027
2004-06-16,2606706807
2004-06-17,2632547767
2004-06-18,2648698367
2004-06-21,2648698367
2004-06-22,2618012227
2004-06-23,2606706807
2004-06-24,2624472467
2004-06-25,2684229686
2004-06-28,2642238127
2004-06-29,2632547767
2004-06-30,2688152244
2004-07-01,2610211735
2004-07-02,2570446170
2004-07-06,2560902434
2004-07-07,2524318113
2004-07-08,2497277529
2004-07-09,2505230642
2004-07-12,2560902434
2004-07-13,2753367772
2004-07-14,2743824036
2004-07-15,2737461546
2004-07-16,2758139640
2004-07-19,2735870923
2004-07-20,2799495828
2004-07-21,2788361470
2004-07-22,2781998979
2004-07-23,2712011584
2004-07-26,2850395752
2004-07-27,2809039564
2004-07-28,2872664469
2004-07-29,2929926884
2004-07-30,2880617582
2004-08-02,2840852017
2004-08-03,2851986375
2004-08-04,2826536413
2004-08-05,2818583300
2004-08-06,2826536413
2004-08-09,2848805130
2004-08-10,2947423733
2004-08-11,3006276770
2004-08-12,2964920582
2004-08-13,2969692450
2004-08-16,2991961167
2004-08-17,2974464318
2004-08-18,3042861091
2004-08-19,2999914280
2004-08-20,2998323657
2004-08-23,2952195601
2004-08-24,2977645563
2004-08-25,3020592374
2004-08-26,2991961167
2004-08-27,3020592374
2004-08-30,3014229883
2004-08-31,3022182997
2004-09-01,2984008053
2004-09-02,3050814204
