,STI
2024-02-13,51247000
2024-02-14,59300100
2024-02-15,51247000
2024-02-16,49782800
2024-02-20,45902670
2024-02-21,36605000
2024-02-22,29723260
2024-02-23,35140800
2024-02-26,49050700
2024-02-27,46561560
2024-02-28,43486740
2024-02-29,36605000
2024-03-01,34628330
2024-03-04,38801300
2024-03-05,39899450
2024-03-06,39606610
2024-03-07,54102190
2024-03-08,56737750
2024-03-11,128117500
2024-03-12,105422400
2024-03-13,91512500
2024-03-14,95173000
2024-03-15,127385400
2024-03-18,199131200
2024-03-19,214505300
2024-03-20,197667000
2024-03-21,225486800
2024-03-22,236468300
2024-03-25,213041100
2024-03-26,211576900
2024-03-27,213773200
2024-03-28,201327500
2024-04-01,178632400
2024-04-02,191810200
2024-04-03,196934900
2024-04-04,215969500
2024-04-05,245253500
2024-04-08,285519000
2024-04-09,232807800
2024-04-10,235736200
2024-04-11,219630000
2024-04-12,202791700
2024-04-15,178632400
2024-04-16,161062000
2024-04-17,144955800
2024-04-18,109815000
2024-04-19,102494000
2024-04-22,100297700
2024-04-23,111279200
2024-04-24,144955800
2024-04-25,178632400
2024-04-26,168383000
2024-04-29,176436100
2024-04-30,153741000
2024-05-01,158133600
2024-05-02,178632400
2024-05-03,175704000
2024-05-06,174239800
2024-05-07,169847200
2024-05-08,177168200
2024-05-09,169847200
2024-05-10,163258300
2024-05-13,175704000
2024-05-14,172775600
2024-05-15,158133600
2024-05-16,161062000
2024-05-17,155937300
2024-05-20,155937300
2024-05-21,159597800
2024-05-22,156669400
2024-05-23,150812600
2024-05-24,177168200
2024-05-28,162526200
2024-05-29,157401500
2024-05-30,163990400
2024-05-31,153008900
2024-06-03,146420000
2024-06-04,150812600
2024-06-05,144955800
2024-06-06,147013025
2024-06-07,136065247
2024-06-10,110259769
2024-06-11,139193184
2024-06-12,141539136
2024-06-13,147795010
2024-06-14,165780646
2024-06-17,150922946
2024-06-18,53800511
2024-06-20,44580918
2024-06-21,41445161
2024-06-24,40670997
2024-06-25,38090449
2024-06-26,37058230
2024-06-27,34407303
2024-06-28,43009129
2024-07-01,39099209
2024-07-02,36886193
2024-07-03,35040711
2024-07-05,36354444
2024-07-08,35345684
2024-07-09,35111089
2024-07-10,33171768
2024-07-11,33554941
2024-07-12,35572460
2024-07-15,34407303
2024-07-16,36463922
2024-07-17,34735737
2024-07-18,35189288
2024-07-19,33249967
2024-07-22,33985032
2024-07-23,34720097
2024-07-24,33601860
2024-07-25,31983152
2024-07-26,33625319
2024-07-29,32100450
2024-07-30,31295006
2024-07-31,32295946
2024-08-01,32710398
2024-08-02,31365385
2024-08-05,30544302
2024-08-06,29707578
2024-08-07,29293127
2024-08-08,29308767
2024-08-09,28714459
