,PEG
2000-09-11,8705108880
2000-09-12,8717986260
2000-09-13,8825297760
2000-09-14,8975533860
2000-09-15,9241666380
2000-09-18,9228789000
2000-09-19,8717986260
2000-09-20,8490485880
2000-09-21,8464731119
2000-09-22,8855344980
2000-09-25,8855344980
2000-09-26,9228789000
2000-09-27,9404779860
2000-09-28,9469166760
2000-09-29,9589355640
2000-10-02,9429250967
2000-10-03,9068659831
2000-10-04,8886291900
2000-10-05,8600305827
2000-10-06,8703923970
2000-10-09,8728792324
2000-10-10,8861423546
2000-10-11,8911160255
2000-10-12,8873857723
2000-10-13,9027212574
2000-10-16,9246883036
2000-10-17,9130830717
2000-10-18,8679055615
2000-10-19,8533990216
2000-10-20,8533990216
2000-10-23,8666621438
2000-10-24,8600305827
2000-10-25,8496687685
2000-10-26,8264583045
2000-10-27,8393069542
2000-10-30,8654187261
2000-10-31,8600305827
2000-11-01,8625174181
2000-11-02,8459385153
2000-11-03,8289451400
2000-11-06,8264583045
2000-11-07,8173399080
2000-11-08,8210701611
2000-11-09,8252148868
2000-11-10,8277017222
2000-11-13,8277017222
2000-11-14,8107083469
2000-11-15,8185833257
2000-11-16,8239714691
2000-11-17,8484253507
2000-11-20,8575437473
2000-11-21,8471819330
2000-11-22,8533990216
2000-11-24,8496687685
2000-11-27,8430372073
2000-11-28,8625174181
2000-11-29,8741226501
2000-11-30,8861423546
2000-12-01,8757805404
2000-12-04,8819976289
2000-12-05,8936028609
2000-12-06,9300764470
2000-12-07,9325632825
2000-12-08,9288330293
2000-12-11,9259317213
2000-12-12,9362935356
2000-12-13,9520434932
2000-12-14,9520434932
2000-12-15,9508000755
2000-12-18,9520434932
2000-12-19,9545303287
2000-12-20,10013657291
2000-12-21,10001223114
2000-12-22,10208459399
2000-12-26,10336945895
2000-12-27,10283064461
2000-12-28,10154577965
2000-12-29,10075828176
2001-01-02,19416202248
2001-01-03,17935446464
2001-01-04,16504603796
2001-01-05,16820720199
2001-01-08,17261619394
2001-01-09,17394721037
2001-01-10,17261619394
2001-01-11,15880689842
2001-01-12,16271675920
2001-01-16,16246719362
2001-01-17,16221762804
2001-01-18,16479647238
2001-01-19,16637705440
2001-01-22,16920546432
2001-01-23,17053648076
2001-01-24,17444634153
2001-01-25,17602692355
2001-01-26,17602692355
2001-01-29,17735793999
2001-01-30,17444634153
2001-01-31,17012053812
2001-02-01,17061966928
2001-02-02,16970459548
2001-02-05,17070285781
2001-02-06,17161793161
2001-02-07,17378083332
2001-02-08,17927127611
2001-02-09,18326432542
2001-02-12,18209968604
2001-02-13,18176693193
2001-02-14,18110142371
2001-02-15,17968721875
2001-02-16,18326432542
2001-02-20,18584316976
2001-02-21,18609273534
2001-02-22,18334751394
2001-02-23,18234925162
2001-02-26,18301475984
2001-02-27,18650867798
2001-02-28,18642548945
2001-03-01,18642548945
2001-03-02,18700780914
2001-03-05,18659186650
2001-03-06,18667505503
2001-03-07,18243244014
2001-03-08,17660924324
2001-03-09,17311532510
2001-03-12,17619330060
2001-03-13,17394721037
2001-03-14,17070285781
2001-03-15,17461271859
2001-03-16,17286575952
2001-03-19,17186749719
2001-03-20,17178430866
2001-03-21,17195068572
2001-03-22,16554516912
2001-03-23,16521241501
2001-03-26,17037010370
2001-03-27,17411358742
2001-03-28,17452953006
2001-03-29,17852257937
2001-03-30,17952084169
2001-04-02,18382384080
2001-04-03,18440820360
2001-04-04,18399080160
2001-04-05,18365688000
2001-04-06,17798021280
2001-04-09,18182031120
2001-04-10,18766393920
2001-04-11,18574389000
2001-04-12,18540996840
2001-04-16,18858222360
2001-04-17,19233884160
2001-04-18,18883266480
2001-04-19,18682913520
2001-04-20,18741349800
2001-04-23,19142055720
2001-04-24,19300668480
2001-04-25,19375800840
2001-04-26,19567805760
2001-04-27,19517717520
2001-04-30,19384148880
2001-05-01,19409193000
2001-05-02,18958398840
2001-05-03,18749697840
2001-05-04,19117011600
2001-05-07,19016835120
2001-05-08,18833178240
2001-05-09,19283972400
2001-05-10,19467629280
2001-05-11,19718070480
2001-05-14,20285737200
2001-05-15,20035296000
2001-05-16,20369217600
2001-05-17,20661399000
2001-05-18,20653050960
2001-05-21,20911840200
2001-05-22,20895144120
2001-05-23,21204021600
2001-05-24,21245761800
2001-05-25,21020364720
2001-05-29,20828359800
2001-05-30,21037060800
2001-05-31,21462810840
2001-06-01,21312546120
2001-06-04,21429418680
2001-06-05,21112193160
2001-06-06,20769923520
2001-06-07,20252345040
2001-06-08,20410957800
2001-06-11,20644702920
2001-06-12,20719835280
2001-06-13,20344173480
2001-06-14,19876683240
2001-06-15,20319129360
2001-06-18,20277389160
2001-06-19,20628006840
2001-06-20,20511134280
2001-06-21,19726418520
2001-06-22,19734766560
2001-06-25,19584501840
2001-06-26,19993555800
2001-06-27,20327477400
2001-06-28,20294085240
2001-06-29,20410957800
2001-07-02,10353911360
2001-07-03,10295532480
2001-07-05,10328891840
2001-07-06,10299702400
2001-07-09,10358081280
2001-07-10,10408120320
2001-07-11,10232983680
2001-07-12,10066186880
2001-07-13,9978618560
2001-07-16,9961938880
2001-07-17,9941089280
2001-07-18,9857690880
2001-07-19,9899390080
2001-07-20,9628345280
2001-07-23,9278072000
2001-07-24,8936138560
2001-07-25,9432359040
2001-07-26,9636685120
2001-07-27,9590816000
2001-07-30,9724253440
2001-07-31,9757612800
2001-08-01,9841011200
2001-08-02,9936919360
2001-08-03,9949429120
2001-08-06,9720083520
2001-08-07,9753442880
2001-08-08,9528267200
2001-08-09,9603325760
2001-08-10,9632515200
2001-08-13,9494907840
2001-08-14,9578306240
2001-08-15,9494907840
2001-08-16,9670044480
2001-08-17,9590816000
2001-08-20,9711743680
2001-08-21,9636685120
2001-08-22,9736763200
2001-08-23,9811821760
2001-08-24,9882710400
2001-08-27,9957768960
2001-08-28,9903560000
2001-08-29,9878540480
2001-08-30,9761782720
2001-08-31,9653364800
2001-09-04,9736763200
2001-09-05,9582476160
2001-09-06,9670044480
2001-09-07,9544946880
2001-09-10,9440698880
2001-09-17,9440698880
2001-09-18,9444868800
2001-09-19,9278072000
2001-09-20,9173824000
2001-09-21,8965328000
2001-09-24,8786021440
2001-09-25,8744322240
2001-09-26,8640074240
2001-09-27,8577525440
2001-09-28,8873589760
2001-10-01,8847859200
2001-10-02,8872620000
2001-10-03,8996424000
2001-10-04,9025311600
2001-10-05,9103720800
2001-10-08,8996424000
2001-10-09,8785957200
2001-10-10,8769450000
2001-10-11,8645646000
2001-10-12,8625012000
2001-10-15,8563110000
2001-10-16,8724055200
2001-10-17,8666280000
2001-10-18,8480574000
2001-10-19,8583744000
2001-10-22,8521841999
2001-10-23,8253600000
2001-10-24,8146303199
2001-10-25,8253600000
2001-10-26,8179317600
2001-10-29,8232966000
2001-10-30,7985358000
2001-10-31,8121542400
2001-11-01,8199951600
2001-11-02,8142176400
2001-11-05,8484700799
2001-11-06,8538349200
2001-11-07,8521841999
2001-11-08,8666280000
2001-11-09,8707548000
2001-11-12,8641519200
2001-11-13,8517715200
2001-11-14,8307248400
2001-11-15,8158683600
2001-11-16,8253600000
2001-11-19,8138049600
2001-11-20,8418671999
2001-11-21,8298994800
2001-11-23,8459940000
2001-11-26,8365023600
2001-11-27,8414545200
2001-11-28,8253600000
2001-11-29,8315501999
2001-11-30,8365023600
2001-12-03,8410418400
2001-12-04,8525968800
2001-12-05,8480574000
2001-12-06,8365023600
2001-12-07,8554856400
2001-12-10,8431052400
2001-12-11,8261853600
2001-12-12,8414545200
2001-12-13,8398038000
2001-12-14,8373277200
2001-12-17,8232966000
2001-12-18,8414545200
2001-12-19,8658026400
2001-12-20,8678660400
2001-12-21,8521841999
2001-12-24,8521841999
2001-12-26,8645646000
2001-12-27,8699294400
2001-12-28,8740562400
2001-12-31,8707548000
2002-01-02,8889127200
2002-01-03,8794210800
2002-01-04,8653899600
2002-01-07,8653899600
2002-01-08,8435179200
2002-01-09,8414545200
2002-01-10,8426925600
2002-01-11,8352643199
2002-01-14,8464066800
2002-01-15,8542476000
2002-01-16,8497081200
2002-01-17,8480574000
2002-01-18,8459940000
2002-01-22,8439306000
2002-01-23,8546602800
2002-01-24,8653899600
2002-01-25,8752942800
2002-01-28,8740562400
2002-01-29,8567236800
2002-01-30,8641519200
2002-01-31,8682787200
2002-02-01,8769450000
2002-02-04,8666280000
2002-02-05,8769450000
2002-02-06,8732308800
2002-02-07,8645646000
2002-02-08,8459940000
2002-02-11,8534222400
2002-02-12,8686914000
2002-02-13,8781830400
2002-02-14,8802464400
2002-02-15,8740562400
2002-02-19,8629138800
2002-02-20,8678660400
2002-02-21,8649772800
2002-02-22,8744689200
2002-02-25,8707548000
2002-02-26,8744689200
2002-02-27,8777703600
2002-02-28,8703421200
2002-03-01,8769450000
2002-03-04,8996424000
2002-03-05,9058326000
2002-03-06,9091340400
2002-03-07,9074833200
2002-03-08,9058326000
2002-03-11,9128481600
2002-03-12,9054199200
2002-03-13,9041818800
2002-03-14,9099594000
2002-03-15,9128481600
2002-03-18,9153242400
2002-03-19,9211017600
2002-03-20,9256412400
2002-03-21,9433864800
2002-03-22,9570049200
2002-03-25,9532908000
2002-03-26,9371962800
2002-03-27,9429738000
2002-03-28,9450372000
2002-04-01,9355318560
2002-04-02,9404817600
2002-04-03,9297569680
2002-04-04,9305819520
2002-04-05,9231570960
2002-04-08,9256320480
2002-04-09,9177947000
2002-04-10,9363568400
2002-04-11,9219196200
2002-04-12,9206821440
2002-04-15,9116073200
2002-04-16,9264570320
2002-04-17,9441941880
2002-04-18,9557439640
2002-04-19,9557439640
2002-04-22,9586314080
2002-04-23,9648187880
2002-04-24,9639938040
2002-04-25,9487316000
2002-04-26,9359443480
2002-04-29,9450191720
2002-04-30,9561564560
2002-05-01,9602813760
2002-05-02,9487316000
2002-05-03,9520315360
2002-05-06,9528565200
2002-05-07,9470816320
2002-05-08,9569814400
2002-05-09,9470816320
2002-05-10,9441941880
2002-05-13,9528565200
2002-05-14,9582189160
2002-05-15,9470816320
2002-05-16,9281070000
2002-05-17,9186196840
2002-05-20,9351193640
2002-05-21,9396567760
2002-05-22,9586314080
2002-05-23,9672937400
2002-05-24,9656437720
2002-05-28,9594563920
2002-05-29,9487316000
2002-05-30,9437816960
2002-05-31,9338818880
2002-06-03,9153197480
2002-06-04,9194446680
2002-06-05,9021200040
2002-06-06,8847953400
2002-06-07,8843828480
2002-06-10,8852078320
2002-06-11,8893327520
2002-06-12,8963451160
2002-06-13,9008825280
2002-06-14,8909827200
2002-06-17,9054199400
2002-06-18,9054199400
2002-06-19,8893327520
2002-06-20,8860328160
2002-06-21,8827328800
2002-06-24,8736580560
2002-06-25,8662332000
2002-06-26,8711831040
2002-06-27,8777829760
2002-06-28,8930451800
2002-07-01,8813048840
2002-07-02,8622809400
2002-07-03,8577317359
2002-07-05,8635216320
2002-07-08,8490468920
2002-07-09,8093447480
2002-07-10,7473101480
2002-07-11,7692290400
2002-07-12,7473101480
2002-07-15,7754325000
2002-07-16,7477237119
2002-07-17,7262183839
2002-07-18,6985095960
2002-07-19,6459869680
2002-07-22,6344071760
2002-07-23,5955321600
2002-07-24,6368885600
2002-07-25,6550853760
2002-07-26,6600481440
2002-07-29,6563260680
2002-07-30,7080215680
2002-07-31,7142250280
2002-08-01,6923061359
2002-08-02,6761771400
2002-08-05,6720415000
2002-08-06,6952010839
2002-08-07,7088486960
2002-08-08,7084351320
2002-08-09,7088486960
2002-08-12,7258048200
2002-08-13,6997502880
2002-08-14,7270455119
2002-08-15,7158792839
2002-08-16,7129843359
2002-08-19,7229098720
2002-08-20,7224963080
2002-08-21,7489644040
2002-08-22,7613713240
2002-08-23,7464830200
2002-08-26,7568221200
2002-08-27,7526864800
2002-08-28,7502050960
2002-08-29,7332489720
2002-08-30,7278726400
2002-09-03,6943739560
2002-09-04,6964417760
2002-09-05,6935468280
2002-09-06,7084351320
2002-09-09,7076080040
2002-09-10,6906518800
2002-09-11,6848619839
2002-09-12,6679058599
2002-09-13,6774178320
2002-09-16,6761771400
2002-09-17,6426784560
2002-09-18,6583938880
2002-09-19,6426784560
2002-09-20,6294444080
2002-09-23,6224138200
2002-09-24,6046305680
2002-09-25,6232409480
2002-09-26,6435055840
2002-09-27,6215866920
2002-09-30,6884277000
2002-10-01,7028733960
2002-10-02,6902334120
2002-10-03,6861705600
2002-10-04,6496048920
2002-10-07,6496048920
2002-10-08,6053649480
2002-10-09,5561592960
2002-10-10,5529993000
2002-10-11,5674449960
2002-10-14,5493878760
2002-10-15,5412621720
2002-10-16,5173364880
2002-10-17,4911536640
2002-10-18,5101136400
2002-10-21,5489364480
2002-10-22,5493878760
2002-10-23,5408107440
2002-10-24,5543535840
2002-10-25,5520964440
2002-10-28,5818906920
2002-10-29,6198106440
2002-10-30,6387706200
2002-10-31,6464448960
2002-11-01,6482506080
2002-11-04,6798505680
2002-11-05,6726277200
2002-11-06,6739820040
2002-11-07,6410277600
2002-11-08,6189077880
2002-11-11,6171020760
2002-11-12,5994963840
2002-11-13,6157477920
2002-11-14,6333534840
2002-11-15,6568277400
2002-11-18,6446391840
2002-11-19,6378677640
2002-11-20,6523134600
2002-11-21,6491534640
2002-11-22,6590848800
2002-11-25,6663077280
2002-11-26,6496048920
2002-11-27,6672105840
2002-11-29,6757877160
2002-12-02,6667591560
2002-12-03,6717248640
2002-12-04,6613420200
2002-12-05,6428334720
2002-12-06,6455420400
2002-12-09,6487020360
2002-12-10,6568277400
2002-12-11,6613420200
2002-12-12,6730791480
2002-12-13,6861705600
2002-12-16,6992619720
2002-12-17,7091933880
2002-12-18,7132562400
2002-12-19,7109991000
2002-12-20,7281533640
2002-12-23,7173190920
2002-12-24,7227362280
2002-12-26,7168676640
2002-12-27,7155133800
2002-12-30,7222848000
2002-12-31,7233478200
2003-01-02,7431779159
2003-01-03,7548957000
2003-01-06,8139353039
2003-01-07,8080764120
2003-01-08,8193435120
2003-01-09,8143859880
2003-01-10,8143859880
2003-01-13,8121325680
2003-01-14,8202448800
2003-01-15,8175407760
2003-01-16,8166394080
2003-01-17,8175407760
2003-01-21,8035695719
2003-01-22,8080764120
2003-01-23,8058229920
2003-01-24,7886970000
2003-01-27,7706696400
2003-01-28,8067243599
2003-01-29,7977106800
2003-01-30,7895983680
2003-01-31,7950065760
2003-02-03,7954572599
2003-02-04,7733737440
2003-02-05,7666134840
2003-02-06,7805846880
2003-02-07,7657121159
2003-02-10,7792326360
2003-02-11,7661628000
2003-02-12,7377697080
2003-02-13,7454313360
2003-02-14,7603039080
2003-02-18,7693175880
2003-02-19,7657121159
2003-02-20,7634586960
2003-02-21,7769792159
2003-02-24,7796833200
2003-02-25,7886970000
2003-02-26,7774299000
2003-02-27,7850915280
2003-02-28,7805846880
2003-03-03,7823874240
2003-03-04,7747257960
2003-03-05,7706696400
2003-03-06,7693175880
2003-03-07,7679655360
2003-03-10,7499381760
2003-03-11,7544450159
2003-03-12,7553463840
2003-03-13,7702189560
2003-03-14,7724723760
2003-03-17,7850915280
2003-03-18,7936545240
2003-03-19,8013161520
2003-03-20,8247517200
2003-03-21,8315119800
2003-03-24,8143859880
2003-03-25,8247517200
2003-03-26,8148366719
2003-03-27,8211462479
2003-03-28,8274558240
2003-03-31,8290897000
2003-04-01,8412888400
2003-04-02,8444515800
2003-04-03,8327042600
2003-04-04,8394815599
2003-04-07,8408370200
2003-04-08,8381261000
2003-04-09,8286378800
2003-04-10,8390297400
2003-04-11,8308969800
2003-04-14,8390297400
2003-04-15,8561989000
2003-04-16,8516807000
2003-04-17,8552952600
2003-04-21,8593616400
2003-04-22,8683980400
2003-04-23,8665907600
2003-04-24,8742717000
2003-04-25,8679462200
2003-04-28,8869226600
2003-04-29,8810490000
2003-04-30,8693016800
2003-05-01,8616207400
2003-05-02,8679462200
2003-05-05,8738198800
2003-05-06,8824044600
2003-05-07,8765308000
2003-05-08,8792417200
2003-05-09,8891817600
2003-05-12,8887299400
2003-05-13,8833081000
2003-05-14,8778862600
2003-05-15,9040918200
2003-05-16,9004772600
2003-05-19,8887299400
2003-05-20,8896335800
2003-05-21,8864708400
2003-05-22,9036400000
2003-05-23,9479183600
2003-05-27,9759312000
2003-05-28,9664429800
2003-05-29,9443038000
2003-05-30,9655393400
2003-06-02,9741239200
2003-06-03,9854194200
2003-06-04,9903894400
2003-06-05,9714130000
2003-06-06,9682502600
2003-06-09,9578584000
2003-06-10,9682502600
2003-06-11,9831603200
2003-06-12,9962631000
2003-06-13,9917449000
2003-06-16,10030404000
2003-06-17,9786421200
2003-06-18,9714130000
2003-06-19,9677984400
2003-06-20,9578584000
2003-06-23,9479183600
2003-06-24,9438519800
2003-06-25,9465629000
2003-06-26,9533402000
2003-06-27,9438519800
2003-06-30,9568255640
2003-07-01,9636179840
2003-07-02,9618066720
2003-07-03,9536557680
2003-07-07,9541085960
2003-07-08,9541085960
2003-07-09,9532029400
2003-07-10,9414294120
2003-07-11,9400709280
2003-07-14,9473161760
2003-07-15,9337313360
2003-07-16,9187880120
2003-07-17,9138069040
2003-07-18,9246747760
2003-07-21,9178823560
2003-07-22,9355426480
2003-07-23,9183351840
2003-07-24,9260332600
2003-07-25,9323728520
2003-07-28,9233162920
2003-07-29,9169767000
2003-07-30,9210521520
2003-07-31,9228634640
2003-08-01,9215049800
2003-08-04,9160710440
2003-08-05,9079201400
2003-08-06,9169767000
2003-08-07,9215049800
2003-08-08,9296558840
2003-08-11,9350898200
2003-08-12,9414294120
2003-08-13,9396181000
2003-08-14,9414294120
2003-08-15,9486746600
2003-08-18,9486746600
2003-08-19,9491274880
2003-08-20,9613538440
2003-08-21,9613538440
2003-08-22,9545614240
2003-08-25,9631651560
2003-08-26,9609010160
2003-08-27,9640708120
2003-08-28,9599953600
2003-08-29,9586368760
2003-09-02,9790141360
2003-09-03,9907876640
2003-09-04,9654292960
2003-09-05,9618066720
2003-09-08,9672406080
2003-09-09,9640708120
2003-09-10,9622595000
2003-09-11,9636179840
2003-09-12,9599953600
2003-09-15,9550142520
2003-09-16,9604481880
2003-09-17,9396181000
2003-09-18,9509388000
2003-09-19,9500331440
2003-09-22,9414294120
2003-09-23,9387124440
2003-09-24,9314671960
2003-09-25,9396181000
2003-09-26,9541085960
2003-09-29,9640708120
2003-09-30,9899686734
2003-10-01,9932685689
2003-10-02,9838402958
2003-10-03,9843117095
2003-10-06,9847831232
2003-10-07,9772405047
2003-10-08,9616838541
2003-10-09,9602696131
2003-10-10,9564983039
2003-10-13,9593267858
2003-10-14,9645123360
2003-10-15,9588553722
2003-10-16,9616838541
2003-10-17,9612124405
2003-10-20,9593267858
2003-10-21,9607410268
2003-10-22,9711121272
2003-10-23,9678122316
2003-10-24,9673408180
2003-10-27,9635695087
2003-10-28,9630980951
2003-10-29,9654551633
2003-10-30,9654551633
2003-10-31,9630980951
2003-11-03,9729977818
2003-11-04,9640409224
2003-11-05,9739406091
2003-11-06,9711121272
2003-11-07,9682836453
2003-11-10,9654551633
2003-11-11,9640409224
2003-11-12,9621552678
2003-11-13,9645123360
2003-11-14,9555554766
2003-11-17,9442415489
2003-11-18,9300991393
2003-11-19,9489556855
2003-11-20,9428273080
2003-11-21,9404702397
2003-11-24,9480128581
2003-11-25,9536698220
2003-11-26,9616838541
2003-11-28,9668694043
2003-12-01,9762976774
2003-12-02,9777119183
2003-12-03,9715835408
2003-12-04,9706407135
2003-12-05,9715835408
2003-12-08,9706407135
2003-12-09,9616838541
2003-12-10,9640409224
2003-12-11,9701692999
2003-12-12,9715835408
2003-12-15,9781833320
2003-12-16,9824260549
2003-12-17,9965684645
2003-12-18,10177820789
2003-12-19,10243818701
2003-12-22,10356957978
2003-12-23,10253246974
2003-12-24,10281531793
2003-12-26,10272103520
2003-12-29,10347529705
2003-12-30,10399385207
2003-12-31,10345253400
2004-01-02,10345253400
2004-01-05,10250776200
2004-01-06,10269671640
2004-01-07,10298014800
2004-01-08,10449178320
2004-01-09,10392492000
2004-01-12,10335805680
2004-01-13,10246052340
2004-01-14,10298014800
2004-01-15,10170470580
2004-01-16,10217709180
2004-01-20,10203537600
2004-01-21,10453902180
2004-01-22,10491693060
2004-01-23,10562550960
2004-01-26,10543655520
2004-01-27,10501140780
2004-01-28,10652304300
2004-01-29,10812915540
2004-01-30,10732609920
2004-02-02,10685371320
2004-02-03,10718438340
2004-02-04,10628685000
2004-02-05,10614513420
2004-02-06,10704266760
2004-02-09,10727886060
2004-02-10,10746781500
2004-02-11,10916840460
2004-02-12,10822363260
2004-02-13,10779848520
2004-02-17,10883773440
2004-02-18,10973526780
2004-02-19,10959355200
2004-02-20,10845982560
2004-02-23,10836534840
2004-02-24,10888497300
2004-02-25,10931012040
2004-02-26,10949907480
2004-02-27,11134138020
2004-03-01,11181376620
2004-03-02,11219167500
2004-03-03,11119966440
2004-03-04,10949907480
2004-03-05,10997146080
2004-03-08,10954631340
2004-03-09,10879049580
2004-03-10,10864878000
2004-03-11,10690095180
2004-03-12,10652304300
2004-03-15,10713714480
2004-03-16,10742057640
2004-03-17,11016041520
2004-03-18,10973526780
2004-03-19,11001869940
2004-03-22,10855430280
2004-03-23,10912116600
2004-03-24,10931012040
2004-03-25,10949907480
2004-03-26,10982974500
2004-03-29,11030213100
2004-03-30,11134138020
2004-03-31,11120400900
2004-04-01,11224551100
2004-04-02,11172476000
2004-04-05,11158273700
2004-04-06,11134603200
2004-04-07,11101464500
2004-04-08,11030453000
2004-04-12,10888430000
2004-04-13,10675395500
2004-04-14,10557043000
2004-04-15,10727470600
2004-04-16,10755875200
2004-04-19,10665927300
2004-04-20,10580713500
2004-04-21,10533372500
2004-04-22,10675395500
2004-04-23,10623320400
2004-04-26,10609118100
2004-04-27,10542840700
2004-04-28,10561777100
2004-04-29,10149910400
2004-04-30,10154644500
2004-05-03,10121505800
2004-05-04,10007887400
2004-05-05,9960546400
2004-05-06,9899003100
2004-05-07,9600754800
2004-05-10,9506072800
2004-05-11,9501338700
2004-05-12,9553413800
2004-05-13,9605488900
2004-05-14,9671766300
2004-05-17,9548679700
2004-05-18,9619691200
2004-05-19,9562882000
2004-05-20,9562882000
2004-05-21,9534477400
2004-05-24,9671766300
2004-05-25,9865864400
2004-05-26,9908471300
2004-05-27,9870598500
2004-05-28,9979482800
2004-06-01,9861130300
2004-06-02,9922673600
2004-06-03,9861130300
2004-06-04,9695436800
2004-06-07,9785384700
2004-06-08,9704905000
2004-06-09,9685968600
2004-06-10,9648095800
2004-06-14,9605488900
2004-06-15,9605488900
2004-06-16,9629159400
2004-06-17,9577084300
2004-06-18,9596020700
2004-06-21,9638627600
2004-06-22,9586552500
2004-06-23,9610223000
2004-06-24,9633893500
2004-06-25,9520275100
2004-06-28,9562882000
2004-06-29,9534477400
2004-06-30,9500250760
2004-07-01,9262981760
2004-07-02,9405343160
2004-07-06,9433815440
2004-07-07,9410088540
2004-07-08,9348398600
2004-07-09,9296199420
2004-07-12,9281963280
2004-07-13,9229764100
2004-07-14,9262981760
2004-07-15,9248745620
2004-07-16,9367380120
2004-07-19,9414833920
2004-07-20,9633121400
2004-07-21,9576176840
2004-07-22,9595158360
2004-07-23,9500250760
2004-07-26,9533468420
2004-07-27,9481269240
2004-07-28,9462287720
2004-07-29,9457542340
2004-07-30,9253491000
2004-08-02,9509741520
2004-08-03,9561940700
2004-08-04,9566686080
2004-08-05,9481269240
2004-08-06,9637866780
2004-08-09,9618885260
2004-08-10,9652102920
2004-08-11,9732774380
2004-08-12,9637866780
2004-08-13,9552449940
2004-08-16,9618885260
2004-08-17,9604649120
2004-08-18,9780228180
2004-08-19,9737519760
2004-08-20,9756501280
2004-08-23,9728029000
