,MTD
2000-11-15,1980947773
2000-11-16,1971104554
2000-11-17,2003095015
2000-11-20,1884976390
2000-11-21,1892358804
2000-11-22,1875133171
2000-11-24,1968643750
2000-11-27,1971104554
2000-11-28,1914506046
2000-11-29,1912045242
2000-11-30,1848064320
2000-12-01,1816073859
2000-12-04,1862829148
2000-12-05,1980947773
2000-12-06,1929270875
2000-12-07,1897280414
2000-12-08,1934192484
2000-12-11,1862829148
2000-12-12,1835760296
2000-12-13,1820995468
2000-12-14,1798848226
2000-12-15,1862829148
2000-12-18,1897280414
2000-12-19,1897280414
2000-12-20,1899741218
2000-12-21,1909584437
2000-12-22,1944035703
2000-12-26,2008016625
2000-12-27,2126135250
2000-12-28,2190116171
2000-12-29,2140900078
2001-01-02,2065280672
2001-01-03,2102515299
2001-01-04,2065280672
2001-01-05,2077692214
2001-01-08,2015634502
2001-01-09,2010669885
2001-01-10,2005705268
2001-01-11,2107479916
2001-01-12,2047904512
2001-01-16,1975917566
2001-01-17,1866695992
2001-01-18,1938682938
2001-01-19,1933718321
2001-01-22,1946129864
2001-01-23,1995776034
2001-01-24,2052869129
2001-01-25,2037975278
2001-01-26,2037975278
2001-01-29,2049393818
2001-01-30,2094671284
2001-01-31,2057337245
2001-02-01,2106983415
2001-02-02,2071238291
2001-02-05,2042244769
2001-02-06,2012059977
2001-02-07,1991407131
2001-02-08,2013648694
2001-02-09,1961619429
2001-02-12,1914356354
2001-02-13,1965988332
2001-02-14,1987832607
2001-02-15,1984655331
2001-02-16,1983860992
2001-02-20,1981875185
2001-02-21,1946129864
2001-02-22,1873050701
2001-02-23,1895292225
2001-02-26,1799971539
2001-02-27,1767403652
2001-02-28,1802354595
2001-03-01,1797191354
2001-03-02,1834922482
2001-03-05,1894100638
2001-03-06,1896483694
2001-03-07,1886554460
2001-03-08,1870667606
2001-03-09,1823404531
2001-03-12,1734835764
2001-03-13,1691941394
2001-03-14,1723715101
2001-03-15,1772963983
2001-03-16,1699487731
2001-03-19,1680820731
2001-03-20,1652224458
2001-03-21,1678834884
2001-03-22,1509243568
2001-03-23,1592649054
2001-03-26,1601386859
2001-03-27,1616479334
2001-03-28,1640309417
2001-03-29,1655799022
2001-03-30,1634749085
2001-04-02,1588677440
2001-04-03,1603769915
2001-04-04,1631968900
2001-04-05,1719743289
2001-04-06,1668508401
2001-04-09,1723715101
2001-04-10,1628394376
2001-04-11,1546974696
2001-04-12,1526718980
2001-04-16,1582034514
2001-04-17,1642604376
2001-04-18,1731252824
2001-04-19,1740879889
2001-04-20,1707185401
2001-04-23,1654638067
2001-04-24,1654638067
2001-04-25,1740879889
2001-04-26,1735665192
2001-04-27,1736467481
2001-04-30,1774975381
2001-05-01,1760936108
2001-05-02,1813082237
2001-05-03,1813082237
2001-05-04,1833138456
2001-05-07,1885284586
2001-05-08,1858008128
2001-05-09,1868036237
2001-05-10,1862019291
2001-05-11,1827522715
2001-05-14,1833138456
2001-05-15,1831132874
2001-05-16,1860815958
2001-05-17,1901329641
2001-05-18,2005621900
2001-05-21,2039717392
2001-05-22,2057768029
2001-05-23,1945453243
2001-05-24,1934221800
2001-05-25,1945453243
2001-05-29,1883279004
2001-05-30,1776980963
2001-05-31,1801048546
2001-06-01,1853194675
2001-06-04,1917775700
2001-06-05,1893708157
2001-06-06,1843968814
2001-06-07,1849985600
2001-06-08,1805059710
2001-06-11,1806263043
2001-06-12,1705981948
2001-06-13,1729648286
2001-06-14,1692744923
2001-06-15,1701168495
2001-06-18,1643807709
2001-06-19,1588452464
2001-06-20,1648621121
2001-06-21,1686326933
2001-06-22,1716812306
2001-06-25,1716812306
2001-06-26,1675496535
2001-06-27,1720021381
2001-06-28,1734862943
2001-06-29,1734862943
2001-07-02,1720360708
2001-07-03,1751282265
2001-07-05,1750880566
2001-07-06,1741644309
2001-07-09,1740841113
2001-07-10,1765337419
2001-07-11,1734014365
2001-07-12,1770557975
2001-07-13,1739234921
2001-07-16,1750880566
2001-07-17,1785014828
2001-07-18,1693856552
2001-07-19,1732408012
2001-07-20,1726785959
2001-07-23,1726785959
2001-07-24,1676187194
2001-07-25,1647675027
2001-07-26,1678596543
2001-07-27,1750880566
2001-07-30,1714738655
2001-07-31,1710722753
2001-08-01,1702289652
2001-08-02,1666950737
2001-08-03,1734817561
2001-08-06,1728793809
2001-08-07,1735219059
2001-08-08,1739234921
2001-08-09,1746864865
2001-08-10,1746864865
2001-08-13,1783006977
2001-08-14,1787424176
2001-08-15,1787424176
2001-08-16,1789432187
2001-08-17,1783006977
2001-08-20,1783006977
2001-08-21,1787825834
2001-08-22,1822763091
2001-08-23,1828786844
2001-08-24,1872960358
2001-08-27,1879385608
2001-08-28,1844046692
2001-08-29,1845251547
2001-08-30,1836015250
2001-08-31,1838023101
2001-09-04,1836818446
2001-09-05,1823566288
2001-09-06,1847259398
2001-09-07,1777384723
2001-09-10,1738833262
2001-09-17,1656509786
2001-09-18,1696667599
2001-09-19,1566154707
2001-09-20,1521981193
2001-09-21,1542060099
2001-09-24,1612336272
2001-09-25,1623580379
2001-09-26,1631210323
2001-09-27,1676588692
2001-09-28,1692250199
2001-10-01,1782121400
2001-10-02,1768112431
2001-10-03,1719292918
2001-10-04,1751980709
2001-10-05,1738820647
2001-10-08,1710378108
2001-10-09,1711651616
2001-10-10,1821177028
2001-10-11,1889099626
2001-10-12,1909476431
2001-10-15,1905655738
2001-10-16,1999473901
2001-10-17,2004568230
2001-10-18,1953201573
2001-10-19,1945560441
2001-10-22,1950654600
2001-10-23,1974002980
2001-10-24,2012209574
2001-10-25,2009237957
2001-10-26,2016454657
2001-10-29,1978672707
2001-10-30,1933673844
2001-10-31,1948956491
2001-11-01,1961267519
2001-11-02,2072066396
2001-11-05,2048293415
2001-11-06,2007115246
2001-11-07,1995228819
2001-11-08,1991408168
2001-11-09,1952777142
2001-11-12,1944286764
2001-11-13,1984615899
2001-11-14,2003719196
2001-11-15,2013483040
2001-11-16,2056359191
2001-11-19,2064425094
2001-11-20,2064000493
2001-11-21,2052963142
2001-11-23,2069519253
2001-11-26,2072490871
2001-11-27,2088622550
2001-11-28,2069943685
2001-11-29,2090745092
2001-11-30,2091594125
2001-12-03,2090745092
2001-12-04,2103905154
2001-12-05,2196874284
2001-12-06,2142960654
2001-12-07,2111121897
2001-12-10,2086924441
2001-12-11,2091169524
2001-12-12,2040227639
2001-12-13,2046170873
2001-12-14,2039378605
2001-12-17,2037680496
2001-12-18,2122583850
2001-12-19,2092867633
2001-12-20,2120461308
2001-12-21,2122583850
2001-12-24,2134045802
2001-12-26,2186261365
2001-12-27,2156545149
2001-12-28,2171403363
2001-12-31,2290414034
2002-01-02,2252866350
2002-01-03,2208692500
2002-01-04,2191022871
2002-01-07,2134038737
2002-01-08,2172469943
2002-01-09,2131388262
2002-01-10,2162751651
2002-01-11,2119019628
2002-01-14,2096049226
2002-01-15,2005051007
2002-01-16,1975012789
2002-01-17,2102675171
2002-01-18,2034205748
2002-01-22,2014327471
2002-01-23,2048341380
2002-01-24,2040831914
2002-01-25,2031997100
2002-01-28,2084122243
2002-01-29,2076170950
2002-01-30,2087214412
2002-01-31,2080588246
2002-02-01,2142431725
2002-02-04,2076170950
2002-02-05,2021837114
2002-02-06,2014769342
2002-02-07,2018744989
2002-02-08,2025812805
2002-02-11,2102675171
2002-02-12,2121228277
2002-02-13,2133596910
2002-02-14,2113718634
2002-02-15,2115043982
2002-02-19,2082797115
2002-02-20,2080588246
2002-02-21,2066010964
2002-02-22,2056734500
2002-02-25,2065127487
2002-02-26,2111068335
2002-02-27,2110184814
2002-02-28,2140223076
2002-03-01,2009910175
2002-03-04,1990031898
2002-03-05,2007701526
2002-03-06,1998425062
2002-03-07,1999750189
2002-03-08,2005934528
2002-03-11,1945858048
2002-03-12,1918911999
2002-03-13,1953367691
2002-03-14,1938348582
2002-03-15,1925979771
2002-03-18,1938790232
2002-03-19,1948066696
2002-03-20,1916261657
2002-03-21,1987381599
2002-03-22,1998425062
2002-03-25,1977221437
2002-03-26,2005492878
2002-03-27,1982964082
2002-03-28,1999308362
2002-04-01,2014129007
2002-04-02,1998214029
2002-04-03,1962847454
2002-04-04,1980530630
2002-04-05,1938974941
2002-04-08,1878851645
2002-04-09,1841716694
2002-04-10,1823591302
2002-04-11,1768330960
2002-04-12,1796624211
2002-04-15,1791761301
2002-04-16,1865589207
2002-04-17,1825801671
2002-04-18,1816959972
2002-04-19,1770541329
2002-04-22,1760373470
2002-04-23,1751531771
2002-04-24,1790435097
2002-04-25,1709976038
2002-04-26,1707323497
2002-04-29,1715723158
2002-04-30,1699808179
2002-05-01,1689640276
2002-05-02,1693619021
2002-05-03,1707323497
2002-05-06,1758605095
2002-05-07,1768330960
2002-05-08,1786014358
2002-05-09,1759047266
2002-05-10,1748437192
2002-05-13,1770099335
2002-05-14,1773193914
2002-05-15,1834643371
2002-05-16,1810328864
2002-05-17,1815191774
2002-05-20,1835969575
2002-05-21,1870009945
2002-05-22,1844811274
2002-05-23,1833317166
2002-05-24,1795298051
2002-05-28,1803697534
2002-05-29,1801929159
2002-05-30,1786456352
2002-05-31,1797066426
2002-06-03,1773193914
2002-06-04,1766120590
2002-06-05,1745784828
2002-06-06,1721470145
2002-06-07,1675493673
2002-06-10,1726333055
2002-06-11,1671072712
2002-06-12,1677704042
2002-06-13,1680356406
2002-06-14,1675493673
2002-06-17,1754626350
2002-06-18,1747995198
2002-06-19,1772751698
2002-06-20,1737385123
2002-06-21,1723680691
2002-06-24,1684777366
2002-06-25,1679914412
2002-06-26,1635706138
2002-06-27,1653389536
2002-06-28,1629959018
2002-07-01,1568409640
2002-07-02,1508086150
2002-07-03,1530263887
2002-07-05,1548449632
2002-07-08,1508086150
2002-07-09,1495666661
2002-07-10,1469053287
2002-07-11,1476593807
2002-07-12,1477037273
2002-07-15,1437117478
2002-07-16,1425584922
2002-07-17,1197597825
2002-07-18,1242396854
2002-07-19,1189613839
2002-07-22,1152355240
2002-07-23,1159895671
2002-07-24,1184734692
2002-07-25,1143040590
2002-07-26,1195380095
2002-07-29,1275219906
2002-07-30,1275219906
2002-07-31,1261913308
2002-08-01,1253042168
2002-08-02,1229090167
2002-08-05,1148806802
2002-08-06,1214452861
2002-08-07,1233082160
2002-08-08,1310260775
2002-08-09,1304938074
2002-08-12,1325341548
2002-08-13,1300058927
2002-08-14,1312922060
2002-08-15,1326228702
2002-08-16,1324898082
2002-08-19,1330664250
2002-08-20,1321793110
2002-08-21,1350624258
2002-08-22,1359495308
2002-08-23,1320906089
2002-08-26,1350624258
2002-08-27,1363487301
2002-08-28,1320018936
2002-08-29,1332881979
2002-08-30,1311147796
2002-09-03,1248163022
2002-09-04,1264574592
2002-09-05,1255259898
2002-09-06,1331107804
2002-09-09,1321793110
2002-09-10,1348406440
2002-09-11,1349293549
2002-09-12,1320018936
2002-09-13,1330664250
2002-09-16,1331551359
2002-09-17,1313365659
2002-09-18,1282316782
2002-09-19,1274776351
2002-09-20,1264131037
2002-09-23,1248606621
2002-09-24,1229090167
2002-09-25,1225098263
2002-09-26,1235299978
2002-09-27,1182516963
2002-09-30,1154005372
2002-10-01,1189513185
2002-10-02,1200609390
2002-10-03,1209486399
2002-10-04,1193507819
2002-10-07,1161994639
2002-10-08,1198390194
2002-10-09,1196170997
2002-10-10,1202828676
2002-10-11,1238780382
2002-10-14,1280502114
2002-10-15,1294261409
2002-10-16,1264967427
2002-10-17,1284052900
2002-10-18,1290710623
2002-10-21,1278282829
2002-10-22,1261416641
2002-10-23,1296036846
2002-10-24,1280502114
2002-10-25,1310683838
2002-10-28,1331988508
2002-10-29,1328881615
2002-10-30,1334651597
2002-10-31,1329325463
2002-11-01,1426528134
2002-11-04,1487779233
2002-11-05,1484228403
2002-11-06,1502426135
2002-11-07,1474907635
2002-11-08,1517073215
2002-11-11,1450052045
2002-11-12,1490886170
2002-11-13,1508640188
2002-11-14,1510859385
2002-11-15,1509083948
2002-11-18,1513522341
2002-11-19,1515297778
2002-11-20,1547698698
2002-11-21,1574773484
2002-11-22,1601404466
2002-11-25,1636024583
2002-11-26,1597409832
2002-11-27,1605398922
2002-11-29,1622265199
2002-12-02,1600072788
2002-12-03,1537934171
2002-12-04,1498431501
2002-12-05,1493993108
2002-12-06,1495324608
2002-12-09,1440287518
2002-12-10,1449164527
2002-12-11,1482453143
2002-12-12,1455378357
2002-12-13,1421202000
2002-12-16,1461148251
2002-12-17,1442506715
2002-12-18,1430079009
2002-12-19,1446945108
2002-12-20,1478014528
2002-12-23,1466030626
2002-12-24,1464699126
2002-12-26,1486891537
2002-12-27,1443838215
2002-12-30,1426084375
2002-12-31,1423249627
2003-01-02,1449441725
2003-01-03,1478297245
2003-01-06,1474745869
2003-01-07,1479185155
2003-01-08,1437011465
2003-01-09,1469418538
2003-01-10,1498274280
2003-01-13,1514699761
2003-01-14,1489395573
2003-01-15,1447221882
2003-01-16,1436123554
2003-01-17,1416146652
2003-01-21,1415702675
2003-01-22,1380632003
2003-01-23,1397945394
2003-01-24,1373973050
2003-01-27,1377080538
2003-01-28,1391730331
2003-01-29,1380188070
2003-01-30,1353108149
2003-01-31,1353108149
2003-02-03,1362430789
2003-02-04,1350444551
2003-02-05,1359767102
2003-02-06,1330467516
2003-02-07,1327803961
2003-02-10,1320701032
2003-02-11,1307383082
2003-02-12,1289625669
2003-02-13,1301167930
2003-02-14,1300723997
2003-02-18,1310046637
2003-02-19,1297616509
2003-02-20,1287406048
2003-02-21,1310934547
2003-02-24,1287406048
2003-02-25,1282966716
2003-02-26,1294065044
2003-02-27,1307383082
2003-02-28,1325584340
2003-03-03,1308714837
2003-03-04,1296284754
2003-03-05,1298948309
2003-03-06,1311822325
2003-03-07,1316261700
2003-03-10,1317593500
2003-03-11,1298948309
2003-03-12,1296284754
2003-03-13,1329579738
2003-03-14,1322920653
2003-03-17,1365094344
2003-03-18,1367313965
2003-03-19,1366870120
2003-03-20,1362874722
2003-03-21,1398389328
2003-03-24,1381519913
2003-03-25,1355327859
2003-03-26,1352220239
2003-03-27,1329135805
2003-03-28,1332687226
2003-03-31,1323707135
2003-04-01,1325040129
2003-04-02,1355255666
2003-04-03,1373029510
2003-04-04,1341925326
2003-04-07,1378806054
2003-04-08,1377472972
2003-04-09,1425906699
2003-04-10,1453011856
2003-04-11,1464120509
2003-04-14,1460121394
2003-04-15,1488115244
2003-04-16,1501889841
2003-04-17,1519219339
2003-04-21,1525440318
2003-04-22,1530327992
2003-04-23,1523662889
2003-04-24,1508555121
2003-04-25,1473007476
2003-04-28,1514331665
2003-04-29,1562765215
2003-04-30,1577428726
2003-05-01,1581427841
2003-05-02,1591203500
2003-05-05,1589426071
2003-05-06,1592536494
2003-05-07,1574762604
2003-05-08,1564098386
2003-05-09,1560987963
2003-05-12,1568541759
2003-05-13,1581872098
2003-05-14,1575207039
2003-05-15,1593869488
2003-05-16,1577428726
2003-05-19,1564098386
2003-05-20,1571652182
2003-05-21,1577428726
2003-05-22,1602312153
2003-05-23,1596979910
2003-05-27,1601867718
2003-05-28,1596091174
2003-05-29,1590314807
2003-05-30,1592092236
2003-06-02,1616975486
2003-06-03,1633416248
2003-06-04,1650745924
2003-06-05,1668519636
2003-06-06,1661854577
2003-06-09,1619197216
2003-06-10,1610310427
2003-06-11,1624973760
2003-06-12,1631194562
2003-06-13,1626306710
2003-06-16,1638304100
2003-06-17,1669852807
2003-06-18,1688515256
2003-06-19,1673407487
2003-06-20,1683627404
2003-06-23,1643636386
2003-06-24,1626306710
2003-06-25,1637415363
2003-06-26,1668519636
2003-06-27,1642303215
2003-06-30,1630401433
2003-07-01,1630401433
2003-07-02,1645081629
2003-07-03,1644191871
2003-07-07,1670438441
2003-07-08,1688232814
2003-07-09,1710475670
2003-07-10,1694460770
2003-07-11,1675776682
2003-07-14,1657537540
2003-07-15,1665989958
2003-07-16,1657982486
2003-07-17,1651309584
2003-07-18,1660206771
2003-07-21,1643747102
2003-07-22,1653533826
2003-07-23,1655313299
2003-07-24,1706026966
2003-07-25,1565897106
2003-07-28,1583691258
2003-07-29,1563672865
2003-07-30,1558779392
2003-07-31,1552551437
2003-08-01,1552551437
2003-08-04,1556110205
2003-08-05,1543654250
2003-08-06,1539205546
2003-08-07,1545878492
2003-08-08,1544988777
2003-08-11,1576573588
2003-08-12,1594812686
2003-08-13,1610827587
2003-08-14,1621949015
2003-08-15,1621949015
2003-08-18,1627287433
2003-08-19,1645081629
2003-08-20,1672662682
2003-08-21,1688232814
2003-08-22,1721597098
2003-08-25,1703802725
2003-08-26,1687787868
2003-08-27,1670883387
2003-08-28,1689567341
2003-08-29,1713144680
2003-09-02,1721597098
2003-09-03,1727380285
2003-09-04,1732273580
2003-09-05,1761634106
2003-09-08,1766082810
2003-09-09,1768307052
2003-09-10,1742950196
2003-09-11,1746064196
2003-09-12,1732718482
2003-09-15,1712699912
2003-09-16,1711365340
2003-09-17,1701133626
2003-09-18,1690901913
2003-09-19,1687343056
2003-09-22,1668214200
2003-09-23,1637074201
2003-09-24,1654423629
2003-09-25,1633515344
2003-09-26,1616165916
2003-09-29,1621504202
2003-09-30,1601840075
2003-10-01,1619663053
2003-10-02,1608523692
2003-10-03,1627237818
2003-10-06,1630802413
2003-10-07,1667339517
2003-10-08,1668676240
2003-10-09,1645506369
2003-10-10,1678033303
2003-10-13,1675805431
2003-10-14,1702539897
2003-10-15,1717689427
2003-10-16,1718135002
2003-10-17,1671795261
2003-10-20,1699866450
2003-10-21,1655309007
2003-10-22,1643278497
2003-10-23,1606741394
2003-10-24,1620999776
2003-10-27,1637486030
2003-10-28,1693182834
2003-10-29,1698084152
2003-10-30,1678478877
2003-10-31,1708332364
2003-11-03,1719026150
2003-11-04,1743978319
2003-11-05,1731056660
2003-11-06,1760464572
2003-11-07,1804576441
2003-11-10,1791209208
2003-11-11,1787199038
2003-11-12,1797892825
2003-11-13,1825518439
2003-11-14,1780069847
2003-11-17,1768484912
2003-11-18,1761355721
2003-11-19,1760464572
2003-11-20,1759127849
2003-11-21,1746651765
2003-11-24,1780069847
2003-11-25,1773386231
2003-11-26,1775168529
2003-11-28,1747542914
2003-12-01,1766702614
2003-12-02,1759573424
2003-12-03,1760910147
2003-12-04,1757791126
2003-12-05,1756008828
2003-12-08,1762692445
2003-12-09,1751553084
2003-12-10,1737740277
2003-12-11,1772495082
2003-12-12,1758682275
2003-12-15,1809032185
2003-12-16,1782297720
2003-12-17,1782297720
2003-12-18,1805913164
2003-12-19,1890572306
2003-12-22,1903939539
2003-12-23,1888344434
2003-12-24,1878096222
2003-12-26,1876313924
2003-12-29,1886562136
2003-12-30,1884779838
2003-12-31,1880769669
2004-01-02,1873640478
2004-01-05,1900374943
2004-01-06,1922653665
2004-01-07,1928000558
2004-01-08,1997510169
2004-01-09,2007758381
2004-01-12,1976122597
2004-01-13,1953843875
2004-01-14,1964983236
2004-01-15,1973894724
2004-01-16,2017115444
2004-01-20,2004639360
2004-01-21,2005084935
2004-01-22,2005084935
2004-01-23,2008649530
2004-01-26,2016669870
2004-01-27,2028254805
2004-01-28,2036720719
2004-01-29,2028254805
2004-01-30,2040730889
2004-02-02,2043404335
2004-02-03,2070138801
2004-02-04,2027363656
2004-02-05,2026472507
2004-02-06,1951616003
2004-02-09,1919534644
2004-02-10,1931565154
2004-02-11,1949388131
2004-02-12,1955180598
2004-02-13,1951616003
2004-02-17,1951616003
2004-02-18,1936020898
2004-02-19,1924881537
2004-02-20,1896364774
2004-02-23,1881660817
2004-02-24,1912851027
2004-02-25,1889235583
2004-02-26,1898147071
2004-02-27,1960527492
2004-03-01,1962755364
2004-03-02,1962755364
2004-03-03,1942258940
2004-03-04,1930228430
2004-03-05,1934238600
2004-03-08,1904830688
2004-03-09,1812151206
2004-03-10,1844232565
2004-03-11,1840222395
2004-03-12,1872303754
2004-03-15,1851361756
2004-03-16,1853589628
2004-03-17,1884779838
2004-03-18,1893691327
2004-03-19,1906612985
2004-03-22,1860273245
2004-03-23,1871412606
2004-03-24,1871412606
2004-03-25,1905276262
2004-03-26,1918197921
2004-03-29,1946269110
2004-03-30,1960527492
2004-03-31,1974452371
2004-04-01,1975786460
2004-04-02,1992240230
2004-04-05,1992240230
2004-04-06,1998021284
2004-04-07,1998021284
2004-04-08,2000244767
2004-04-12,2000689463
2004-04-13,1972228888
2004-04-14,1968226620
2004-04-15,1943323617
2004-04-16,1965113745
2004-04-19,1975786460
2004-04-20,1954441029
2004-04-21,1996687195
2004-04-22,2033152306
2004-04-23,2041601539
2004-04-26,2021145501
2004-04-27,2001578856
2004-04-28,1971784192
2004-04-29,1978899336
2004-04-30,1993129623
2004-05-03,1999355374
2004-05-04,1998910677
2004-05-05,1998021284
2004-05-06,1982012211
2004-05-07,1978899336
2004-05-10,1964669048
2004-05-11,1992240230
2004-05-12,2003357642
2004-05-13,2012251572
2004-05-14,2001134160
2004-05-17,1985569783
2004-05-18,1983346300
2004-05-19,1992240230
2004-05-20,1987793265
2004-05-21,1996687195
2004-05-24,2018032626
2004-05-25,2021145501
2004-05-26,2018032626
2004-05-27,2036709878
2004-05-28,2062502274
2004-06-01,2066059846
2004-06-02,2068728024
2004-06-03,2046493200
2004-06-04,2103859046
2004-06-07,2144326426
2004-06-08,2139434765
2004-06-09,2138545372
2004-06-10,2139434765
2004-06-14,2142102944
2004-06-15,2163003678
2004-06-16,2183459716
2004-06-17,2176789269
2004-06-18,2192353646
2004-06-21,2183015020
2004-06-22,2185683199
2004-06-23,2204805147
2004-06-24,2204805147
2004-06-25,2182570323
2004-06-28,2171452911
2004-06-29,2193243039
2004-06-30,2177908239
2004-07-01,2178351444
2004-07-02,2143338267
2004-07-06,2075527937
2004-07-07,2083062419
2004-07-08,2083948828
2004-07-09,2087494466
2004-07-12,2068879866
2004-07-13,2069766275
2004-07-14,2052038085
2004-07-15,2039628351
2004-07-16,2025445798
2004-07-19,2015252089
2004-07-20,2021013751
2004-07-21,1989989417
2004-07-22,2007717608
2004-07-23,1817139557
2004-07-26,1804286618
2004-07-27,1794979318
2004-07-28,1829549290
2004-07-29,1855698371
2004-07-30,1848163890
2004-08-02,1873426562
2004-08-03,1881404248
2004-08-04,1869437719
2004-08-05,1876972200
2004-08-06,1828662881
2004-08-09,1828219676
2004-08-10,1936804844
2004-08-11,1912428582
2004-08-12,1857914395
2004-08-13,1910212558
2004-08-16,1939907278
2004-08-17,1968272383
2004-08-18,2003285560
2004-08-19,1995307874
2004-08-20,2029877846
2004-08-23,2020570546
