,BHF
2019-07-10,4077743862
2019-07-11,4131283372
2019-07-12,4189193453
2019-07-15,4158599448
2019-07-16,4146580374
2019-07-17,4067910075
2019-07-18,4074465933
2019-07-19,4103967295
2019-07-22,4064632146
2019-07-23,4190286096
2019-07-24,4272234325
2019-07-25,4213231600
2019-07-26,4294087186
2019-07-29,4246010892
2019-07-30,4287531328
2019-07-31,4279882826
2019-08-01,3908384189
2019-08-02,3780544953
2019-08-05,3697504081
2019-08-06,3909476832
2019-08-07,3816602173
2019-08-08,3924773835
2019-08-09,3798027241
2019-08-12,3686577650
2019-08-13,3840640320
2019-08-14,3739024517
2019-08-15,3695318795
2019-08-16,3850474108
2019-08-19,3889809258
2019-08-20,3807861029
2019-08-21,3866863753
2019-08-22,3889809258
2019-08-23,3745580375
2019-08-26,3851566751
2019-08-27,3782730239
2019-08-28,3786008168
2019-08-29,3796934598
2019-08-30,3852659394
2019-09-03,3777267023
2019-09-04,3831899176
2019-09-05,3976128058
2019-09-06,3985961846
2019-09-09,4133468658
2019-09-10,4272234325
2019-09-11,4294087186
2019-09-12,4314847404
2019-09-13,4439408712
2019-09-16,4350904625
2019-09-17,4374942772
2019-09-18,4376035415
2019-09-19,4452520428
2019-09-20,4404444134
2019-09-23,4438316069
2019-09-24,4367294270
2019-09-25,4409907349
2019-09-26,4447057213
2019-09-27,4427389638
2019-09-30,4290924871
2019-10-01,4137185285
2019-10-02,3921949863
2019-10-03,3868936213
2019-10-04,3941564914
2019-10-07,3914527952
2019-10-08,3727919903
2019-10-09,3737462360
2019-10-10,3788355464
2019-10-11,3886960854
2019-10-14,3869996486
2019-10-15,3953758054
2019-10-16,3955878600
2019-10-17,3923010137
2019-10-18,3918238908
2019-10-21,3996168974
2019-10-22,4047062079
2019-10-23,4046001806
2019-10-24,4068267539
2019-10-25,4051303171
2019-10-28,4140366104
2019-10-29,4183837297
2019-10-30,4080990815
2019-10-31,4003590885
2019-11-01,4140366104
2019-11-04,4248513951
2019-11-05,4352420706
2019-11-06,4381048077
2019-11-07,4455267188
2019-11-08,4349239887
2019-11-11,4337576883
2019-11-12,4371505620
2019-11-13,4243212586
2019-11-14,4245333132
2019-11-15,4286683779
2019-11-18,4264418046
2019-11-19,4284563233
2019-11-20,4251694770
2019-11-21,4201861938
2019-11-22,4253815316
2019-11-25,4322733061
2019-11-26,4304708420
2019-11-27,4377867258
2019-11-29,4364083709
2019-12-02,4304708420
2019-12-03,4039640168
2019-12-04,4065086720
2019-12-05,4088412726
2019-12-06,4231549582
2019-12-09,4174294840
2019-12-10,4178535932
2019-12-11,4224127671
2019-12-12,4419217905
2019-12-13,4473291829
2019-12-16,4488135651
2019-12-17,4533727390
2019-12-18,4489195924
2019-12-19,4455267188
2019-12-20,4378927531
2019-12-23,4331215245
2019-12-24,4294105690
2019-12-26,4247453678
2019-12-27,4187018116
2019-12-30,4119160643
2019-12-31,4109708868
2020-01-02,4108661275
2020-01-03,4084566627
2020-01-06,3976664508
2020-01-07,3970378948
2020-01-08,4029044177
2020-01-09,4126470363
2020-01-10,4097137748
2020-01-13,4172564472
2020-01-14,4179897626
2020-01-15,4208182647
2020-01-16,4261609910
2020-01-17,4294085305
2020-01-21,4268943064
2020-01-22,4294085305
2020-01-23,4347512568
2020-01-24,4268943064
2020-01-27,4119137209
2020-01-28,4170469285
2020-01-29,4171516878
2020-01-30,4142184264
2020-01-31,4075138287
2020-02-03,4139041483
2020-02-04,4233324888
2020-02-05,4456462281
2020-02-06,4427129666
2020-02-07,4421891699
2020-02-10,4411415765
2020-02-11,4881785197
2020-02-12,4822072374
2020-02-13,4816834407
2020-02-14,4887023164
2020-02-18,4927879306
2020-02-19,4913212999
2020-02-20,4962449888
2020-02-21,4829405527
2020-02-24,4517222697
2020-02-25,4359036095
2020-02-26,4275228624
2020-02-27,3971426541
2020-02-28,3754574709
2020-03-02,3924284838
2020-03-03,3578579020
2020-03-04,3671814831
2020-03-05,3349156067
2020-03-06,3118685522
2020-03-09,2479653554
2020-03-10,2835835306
2020-03-11,2517366916
2020-03-12,2088901219
2020-03-13,2436702225
2020-03-16,1897191629
2020-03-17,2036521550
2020-03-18,1749480961
2020-03-19,1807098597
2020-03-20,1691863324
2020-03-23,1748433367
2020-03-24,2260706535
2020-03-25,2559270651
2020-03-26,2780312857
2020-03-27,2648316089
2020-03-30,2673458331
2020-03-31,2247323071
2020-04-01,1971172904
2020-04-02,1895859223
2020-04-03,1831703123
2020-04-06,2107853290
2020-04-07,2129238656
2020-04-08,2370056478
2020-04-09,2558805582
2020-04-13,2382143859
2020-04-14,2360758493
2020-04-15,2027890615
2020-04-16,1956296128
2020-04-17,2101344700
2020-04-20,1998137062
2020-04-21,1853088490
2020-04-22,1910735999
2020-04-23,1909806201
2020-04-24,2080889132
2020-04-27,2198973547
2020-04-28,2355179701
2020-04-29,2531841424
2020-04-30,2390512046
2020-05-01,2297532192
2020-05-04,2344951917
2020-05-05,2358898895
2020-05-06,2240814481
2020-05-07,2507666662
2020-05-08,2671311205
2020-05-11,2611804098
2020-05-12,2506736863
2020-05-13,2317987760
2020-05-14,2447229757
2020-05-15,2480702504
2020-05-18,2756852671
2020-05-19,2648996040
2020-05-20,2722450125
2020-05-21,2768940052
2020-05-22,2682468787
2020-05-26,2936303789
2020-05-27,2949320968
2020-05-28,2865639100
2020-05-29,2762431462
2020-06-01,2853551719
2020-06-02,2844253733
2020-06-03,3007898276
2020-06-04,3137140273
2020-06-05,3308223205
2020-06-08,3585303170
2020-06-09,3444903590
2020-06-10,3230120127
2020-06-11,2761501663
2020-06-12,2981863917
2020-06-15,3073913973
2020-06-16,3067405383
2020-06-17,2966057342
2020-06-18,2941882580
2020-06-19,2911199228
2020-06-22,2902831041
2020-06-23,2849832525
2020-06-24,2628540472
2020-06-25,2646206644
2020-06-26,2438861570
2020-06-29,2507666662
2020-06-30,2536041349
2020-07-01,2389275476
2020-07-02,2438501297
2020-07-06,2510516849
2020-07-07,2359193030
2020-07-08,2442147654
2020-07-09,2309055620
2020-07-10,2450351957
2020-07-13,2474964868
2020-07-14,2531483402
2020-07-15,2663663846
2020-07-16,2677337685
2020-07-17,2660929079
2020-07-20,2595294651
2020-07-21,2666398614
2020-07-22,2679616659
2020-07-23,2690555730
2020-07-24,2657282722
2020-07-27,2629935043
2020-07-28,2557919491
2020-07-29,2654547954
2020-07-30,2580709223
2020-07-31,2583443991
2020-08-03,2617172794
2020-08-04,2567946973
2020-08-05,2705596953
2020-08-06,2614438026
2020-08-07,2801313826
2020-08-10,2892472753
2020-08-11,2932582681
2020-08-12,2897030700
2020-08-13,2884268450
2020-08-14,2933494270
2020-08-17,2825926737
2020-08-18,2739325756
2020-08-19,2721093970
2020-08-20,2677337685
2020-08-21,2594383062
2020-08-24,2828661504
2020-08-25,2863301897
2020-08-26,2836865808
2020-08-27,2907058182
2020-08-28,2898853878
2020-08-31,2767585023
2020-09-01,2778524094
2020-09-02,2807694951
2020-09-03,2784905219
2020-09-04,2956284002
2020-09-08,2788551576
2020-09-09,2772598764
2020-09-10,2694657882
2020-09-11,2690099935
2020-09-14,2707420131
2020-09-15,2607145312
2020-09-16,2673691328
2020-09-17,2624465508
2020-09-18,2578886044
2020-09-21,2416623154
2020-09-22,2423004279
2020-09-23,2374690048
2020-09-24,2338226477
2020-09-25,2352811905
2020-09-28,2486815528
2020-09-29,2416623154
2020-09-30,2373774640
2020-10-01,2448754515
2020-10-02,2530791320
2020-10-05,2621649286
2020-10-06,2627824100
2020-10-07,2717799950
2020-10-08,2734560158
2020-10-09,2700157626
2020-10-12,2767198456
2020-10-13,2683397419
2020-10-14,2713389369
2020-10-15,2848353145
2020-10-16,2799836755
2020-10-19,2822771776
2020-10-20,2847471029
2020-10-21,2764552108
2020-10-22,2858938539
2020-10-23,2908337045
2020-10-26,2779548083
2020-10-27,2613710241
2020-10-28,2655169701
2020-10-29,2806011568
2020-10-30,2919804555
2020-11-02,2873934514
2020-11-03,2903044348
2020-11-04,2762787875
2020-11-05,2929507833
2020-11-06,2780430199
2020-11-09,3238248496
2020-11-10,3288529119
2020-11-11,3091817210
2020-11-12,2969203061
2020-11-13,2990373850
2020-11-16,3060943144
2020-11-17,3042418704
2020-11-18,2995666547
2020-11-19,3008898289
2020-11-20,3000077128
2020-11-23,3257655052
2020-11-24,3379387085
2020-11-25,3317638952
2020-11-27,3277943724
2020-11-30,3096227791
2020-12-01,3210020779
2020-12-02,3227663102
2020-12-03,3179146712
2020-12-04,3306171442
2020-12-07,3156211692
2020-12-08,3095345675
2020-12-09,3060943144
2020-12-10,3046829285
2020-12-11,2970967294
2020-12-14,2940975344
2020-12-15,3068882190
2020-12-16,3052121982
2020-12-17,3064471609
2020-12-18,3003605592
2020-12-21,2964792480
2020-12-22,2966556713
2020-12-23,3125337625
2020-12-24,3126219741
2020-12-28,3121809161
2020-12-29,3101520488
2020-12-30,3155329575
2020-12-31,3170596540
2021-01-04,3084336697
2021-01-05,3147389577
2021-01-06,3403979768
2021-01-07,3408796307
2021-01-08,3380334938
2021-01-11,3363258116
2021-01-12,3520452448
2021-01-13,3567742108
2021-01-14,3703480946
2021-01-15,3692972133
2021-01-19,3735007386
2021-01-20,3723622838
2021-01-21,3624664847
2021-01-22,3551978888
2021-01-25,3463529710
2021-01-26,3349684233
2021-01-27,3155271187
2021-01-28,3245471834
2021-01-29,3096596979
2021-02-01,3159649859
2021-02-02,3255104913
2021-02-03,3254229179
2021-02-04,3439009145
2021-02-05,3506440697
2021-02-08,3649185411
2021-02-09,3675457444
2021-02-10,3671078772
2021-02-11,3549351685
2021-02-12,3502937760
2021-02-16,3629919253
2021-02-17,3630794988
2021-02-18,3481920133
2021-02-19,3543221544
2021-02-22,3626416316
2021-02-23,3544973013
2021-02-24,3702605212
2021-02-25,3526582589
2021-02-26,3493304681
2021-03-01,3613280299
2021-03-02,3589635469
2021-03-03,3636925129
2021-03-04,3566866374
2021-03-05,3683776921
2021-03-08,3813823486
2021-03-09,3754273544
2021-03-10,3849728598
2021-03-11,3882130772
2021-03-12,3907964938
2021-03-15,3996851984
2021-03-16,3824332299
2021-03-17,3977585826
2021-03-18,4056401926
2021-03-19,3992473311
2021-03-22,3890012382
2021-03-23,3721871370
2021-03-24,3631670722
2021-03-25,3737634589
2021-03-26,3786675718
2021-03-29,3746391934
2021-03-30,3856734473
2021-03-31,3785558737
2021-04-01,3887362464
2021-04-05,3940403061
2021-04-06,3946391515
2021-04-07,4001143099
2021-04-08,3938692074
2021-04-09,3942969541
2021-04-12,3990877177
2021-04-13,3967778853
2021-04-14,4017397476
2021-04-15,3989166190
2021-04-16,4055039190
2021-04-19,4028518891
2021-04-20,3840310321
2021-04-21,3905327827
2021-04-22,3818067490
2021-04-23,3887362464
2021-04-26,3907894308
2021-04-27,3965212372
2021-04-28,3979755762
2021-04-29,4029374385
2021-04-30,4002854086
2021-05-03,4043917774
2021-05-04,4053328203
2021-05-05,4100380345
2021-05-06,4190207162
2021-05-07,4185929695
2021-05-10,4185074202
2021-05-11,4146576994
2021-05-12,4129467124
2021-05-13,4182507721
2021-05-14,4227848877
2021-05-17,4218438448
2021-05-18,4185929695
2021-05-19,4219293942
2021-05-20,4152565449
2021-05-21,4164542358
2021-05-24,4144010514
2021-05-25,3999432112
2021-05-26,4061883137
2021-05-27,4151709955
2021-05-28,4162831370
2021-06-01,4222715916
2021-06-02,4160264890
2021-06-03,4155987423
2021-06-04,4163686864
2021-06-07,4137166566
2021-06-08,4144866007
2021-06-09,3958368424
2021-06-10,3904472334
2021-06-11,3990877177
2021-06-14,3954946450
2021-06-15,4055894683
2021-06-16,4049050735
2021-06-17,3880518516
2021-06-18,3723107712
2021-06-21,3824055945
2021-06-22,3768448867
2021-06-23,3787269724
2021-06-24,3826622425
2021-06-25,3982322242
2021-06-28,3859131178
2021-06-29,3833466373
2021-06-30,3766204997
2021-07-01,3800112420
2021-07-02,3753799842
2021-07-06,3611554067
2021-07-07,3571030561
2021-07-08,3443670972
2021-07-09,3612381077
2021-07-12,3652904583
2021-07-13,3590051799
2021-07-14,3561106437
2021-07-15,3585089737
2021-07-16,3485021488
2021-07-19,3351045816
2021-07-20,3469308292
2021-07-21,3561106437
2021-07-22,3471789323
2021-07-23,3450287055
2021-07-26,3525544994
2021-07-27,3491637571
2021-07-28,3538777159
2021-07-29,3599975922
2021-07-30,3561106437
2021-08-02,3523063963
2021-08-03,3517274890
2021-08-04,3429611797
2021-08-05,3639672418
2021-08-06,3896045617
2021-08-09,3859657163
2021-08-10,3851387060
2021-08-11,3958898401
2021-08-12,3974611597
2021-08-13,3991151804
2021-08-16,3885294483
2021-08-17,3901007679
2021-08-18,3856349122
2021-08-19,3786880255
2021-08-20,3830711802
2021-08-23,3863792215
2021-08-24,3947320257
2021-08-25,4031675310
2021-08-26,3972130566
2021-08-27,4056485619
2021-08-30,3991151804
2021-08-31,4049042526
2021-09-01,4057312629
2021-09-02,4030848299
2021-09-03,4023405206
2021-09-07,4020097165
2021-09-08,3964687474
2021-09-09,3905969741
2021-09-10,3784399224
2021-09-13,3842289946
2021-09-14,3696736130
2021-09-15,3715757367
2021-09-16,3689293037
2021-09-17,3658693655
2021-09-20,3441189941
2021-09-21,3394877363
2021-09-22,3432092828
2021-09-23,3581781695
2021-09-24,3662828707
2021-09-27,3828230771
2021-09-28,3808382523
2021-09-29,3804247472
2021-09-30,3522063356
2021-10-01,3599933428
2021-10-04,3595261224
2021-10-05,3687147909
2021-10-06,3681697004
2021-10-07,3781370696
2021-10-08,3842888053
2021-10-11,3900511906
2021-10-12,3881823089
2021-10-13,3822641834
2021-10-14,3881044388
2021-10-15,3842888053
2021-10-18,3892724899
2021-10-19,3944897847
2021-10-20,4036784532
2021-10-21,4057030751
2021-10-22,4083506575
2021-10-25,4080391772
2021-10-26,4075719568
2021-10-27,3963586664
2021-10-28,4005636503
2021-10-29,3911413716
2021-11-01,4057030751
2021-11-02,4027440123
2021-11-03,4153589640
2021-11-04,4097523188
2021-11-05,4201869085
2021-11-08,4164491450
2021-11-09,4059366853
2021-11-10,4142687830
2021-11-11,4205762588
2021-11-12,4248591128
2021-11-15,4311665886
2021-11-16,4275845653
2021-11-17,4184737669
2021-11-18,4151253538
2021-11-19,4078834371
2021-11-22,4122441611
2021-11-23,4172278457
2021-11-24,4132564721
2021-11-26,3943340446
2021-11-29,3918422023
2021-11-30,3785264199
2021-12-01,3659114683
2021-12-02,3837437148
2021-12-03,3813297425
2021-12-06,3957357059
2021-12-07,3965922766
2021-12-08,3955799657
2021-12-09,3991619890
2021-12-10,4003300401
2021-12-13,3858462067
2021-12-14,3926209030
2021-12-15,3947233949
2021-12-16,3944119146
2021-12-17,3935553438
2021-12-20,3709730230
2021-12-21,3947233949
2021-12-22,4023546620
2021-12-23,4067153860
2021-12-27,4115433305
2021-12-28,4114654604
2021-12-29,4121662910
2021-12-30,4054694649
2021-12-31,3981031502
2022-01-03,4092469642
2022-01-04,4357615563
2022-01-05,4127053893
2022-01-06,4246945961
2022-01-07,4316883001
2022-01-10,4283067289
2022-01-11,4392199813
2022-01-12,4361458257
2022-01-13,4398348124
2022-01-14,4471359320
2022-01-18,4299975145
2022-01-19,4279993134
2022-01-20,4246177422
2022-01-21,4041746075
2022-01-24,4043283152
2022-01-25,4117062887
2022-01-26,4130896587
2022-01-27,4057885392
2022-01-28,4032523608
2022-01-31,4184694310
2022-02-01,4315345923
2022-02-02,4388357119
2022-02-03,4300743684
2022-02-04,4442154842
2022-02-07,4534379510
2022-02-08,4586640155
2022-02-09,4568195221
