,CAH
2000-08-23,16335858000
2000-08-24,16704534000
2000-08-25,16691367000
2000-08-28,16770369000
2000-08-29,16757202000
2000-08-30,16849371000
2000-08-31,17187324000
2000-09-01,17700837000
2000-09-05,17740338000
2000-09-06,17397996000
2000-09-07,17266326000
2000-09-08,17384829000
2000-09-11,17437497000
2000-09-12,17727171000
2000-09-13,17951010000
2000-09-14,18214350000
2000-09-15,18490857000
2000-09-18,18776142000
2000-09-19,19394991000
2000-09-20,19434492000
2000-09-21,19223820000
2000-09-22,19408158000
2000-09-25,19473993000
2000-09-26,19974339000
2000-09-27,19539828000
2000-09-28,19105317000
2000-09-29,18530358000
2000-10-02,18249462000
2000-10-03,18613948500
2000-10-04,18299736000
2000-10-05,18350010000
2000-10-06,18312304500
2000-10-09,18086071500
2000-10-10,18324873000
2000-10-11,17884975500
2000-10-12,17759290500
2000-10-13,17884975500
2000-10-16,18035797500
2000-10-17,18664222500
2000-10-18,18877887000
2000-10-19,18601380000
2000-10-20,18777339000
2000-10-23,19028709000
2000-10-24,17998092000
2000-10-25,18048366000
2000-10-26,17935249500
2000-10-27,18299736000
2000-10-30,19104120000
2000-10-31,19003572000
2000-11-01,18802476000
2000-11-02,18400284000
2000-11-03,18752202000
2000-11-06,19041277500
2000-11-07,19053846000
2000-11-08,19192099500
2000-11-09,18425421000
2000-11-10,18437989500
2000-11-13,18186619500
2000-11-14,18463126500
2000-11-15,18840181500
2000-11-16,19627807500
2000-11-17,19514691000
2000-11-20,19879177500
2000-11-21,19414143000
2000-11-22,20193390000
2000-11-24,20042568000
2000-11-27,20281369500
2000-11-28,20193390000
2000-11-29,20130547500
2000-11-30,20042568000
2000-12-01,19954588500
2000-12-04,18965866500
2000-12-05,19154394000
2000-12-06,19351300500
2000-12-07,19179531000
2000-12-08,18639085500
2000-12-11,18350010000
2000-12-12,18538537500
2000-12-13,19053846000
2000-12-14,19104120000
2000-12-15,18940729500
2000-12-18,18450558000
2000-12-19,18877887000
2000-12-20,18299736000
2000-12-21,18827613000
2000-12-22,18865318500
2000-12-26,19791198000
2000-12-27,20331643500
2000-12-28,20830194000
2000-12-29,19979725500
2001-01-02,20682165000
2001-01-03,20153448000
2001-01-04,18718359000
2001-01-05,19620288000
2001-01-08,19780236000
2001-01-09,20126790000
2001-01-10,19953513000
2001-01-11,20166777000
2001-01-12,20260080000
2001-01-16,19900197000
2001-01-17,19940184000
2001-01-18,20113461000
2001-01-19,19940184000
2001-01-22,19940184000
2001-01-23,20615520000
2001-01-24,20602191000
2001-01-25,21268641000
2001-01-26,21201996000
2001-01-29,21277527000
2001-01-30,20522217000
2001-01-31,20268966000
2001-02-01,20313396000
2001-02-02,20388927000
2001-02-05,20628849000
2001-02-06,20451129000
2001-02-07,20788797000
2001-02-08,21108693000
2001-02-09,20904315000
2001-02-12,21393045000
2001-02-13,21184224000
2001-02-14,21277527000
2001-02-15,21415260000
2001-02-16,21375273000
2001-02-20,21344172000
2001-02-21,21219768000
2001-02-22,21064263000
2001-02-23,21446361000
2001-02-26,20926530000
2001-02-27,20842113000
2001-02-28,21588537000
2001-03-01,21290856000
2001-03-02,20842113000
2001-03-05,20682165000
2001-03-06,20993175000
2001-03-07,21144237000
2001-03-08,21806244000
2001-03-09,21504120000
2001-03-12,21113136000
2001-03-13,21428589000
2001-03-14,21162009000
2001-03-15,20260080000
2001-03-16,18927180000
2001-03-19,19478112000
2001-03-20,20046816000
2001-03-21,19664718000
2001-03-22,18833877000
2001-03-23,19016040000
2001-03-26,19389252000
2001-03-27,19544757000
2001-03-28,19664718000
2001-03-29,19913526000
2001-03-30,20575533000
2001-04-02,20492768000
2001-04-03,20007200000
2001-04-04,20043168000
2001-04-05,20600672000
2001-04-06,20641136000
2001-04-09,20663616000
2001-04-10,20708576000
2001-04-11,19944256000
2001-04-12,20434320000
2001-04-16,20425328000
2001-04-17,20357888000
2001-04-18,20704080000
2001-04-19,20555712000
2001-04-20,20681600000
2001-04-23,21005312000
2001-04-24,20820976000
2001-04-25,21549328000
2001-04-26,21036784000
2001-04-27,20906400000
2001-04-30,21760640000
2001-05-01,21953968000
2001-05-02,21711184000
2001-05-03,21329024000
2001-05-04,21324528000
2001-05-07,21481888000
2001-05-08,21841568000
2001-05-09,22183264000
2001-05-10,22277680000
2001-05-11,22758752000
2001-05-14,22596896000
2001-05-15,22331632000
2001-05-16,22596896000
2001-05-17,22628368000
2001-05-18,22515968000
2001-05-21,22259696000
2001-05-22,21953968000
2001-05-23,22030400000
2001-05-24,23248816000
2001-05-25,23244320000
2001-05-29,23338736000
2001-05-30,23163392000
2001-05-31,23239824000
2001-06-01,23275792000
2001-06-04,23473616000
2001-06-05,23338736000
2001-06-06,23244320000
2001-06-07,23428656000
2001-06-08,23747872000
2001-06-11,23442144000
2001-06-12,24085072000
2001-06-13,24166000000
2001-06-14,24085072000
2001-06-15,24179488000
2001-06-18,24503200000
2001-06-19,24323360000
2001-06-20,24858384000
2001-06-21,24633584000
2001-06-22,23927712000
2001-06-25,23846784000
2001-06-26,23720896000
2001-06-27,22920608000
2001-06-28,22147296000
2001-06-29,22277680000
2001-07-02,22196752000
2001-07-03,22291168000
2001-07-05,22129312000
2001-07-06,21962960000
2001-07-09,21944976000
2001-07-10,21720176000
2001-07-11,21855056000
2001-07-12,22147296000
2001-07-13,21953968000
2001-07-16,22907120000
2001-07-17,23082464000
2001-07-18,23559040000
2001-07-19,23428656000
2001-07-20,23572528000
2001-07-23,23104944000
2001-07-24,22862160000
2001-07-25,23230832000
2001-07-26,22920608000
2001-07-27,22740768000
2001-07-30,23500592000
2001-07-31,23770352000
2001-08-01,24004144000
2001-08-02,23496096000
2001-08-03,23140912000
2001-08-06,23810816000
2001-08-07,23568032000
2001-08-08,23532064000
2001-08-09,23612992000
2001-08-10,23977168000
2001-08-13,24188480000
2001-08-14,23986160000
2001-08-15,23869264000
2001-08-16,23752368000
2001-08-17,23455632000
2001-08-20,23500592000
2001-08-21,23923216000
2001-08-22,24242432000
2001-08-23,24148016000
2001-08-24,24309872000
2001-08-27,24067088000
2001-08-28,23599504000
2001-08-29,23568032000
2001-08-30,23581520000
2001-08-31,23545552000
2001-09-04,23792832000
2001-09-05,23833296000
2001-09-06,23671440000
2001-09-07,22709296000
2001-09-10,22596896000
2001-09-17,22920608000
2001-09-18,22403568000
2001-09-19,22439536000
2001-09-20,22520464000
2001-09-21,21958464000
2001-09-24,22192256000
2001-09-25,22502480000
2001-09-26,22677824000
2001-09-27,23293776000
2001-09-28,23873760000
2001-10-01,23745722000
2001-10-02,23727726000
2001-10-03,23709730000
2001-10-04,24015662000
2001-10-05,24110141000
2001-10-08,23889690000
2001-10-09,23745722000
2001-10-10,23984169000
2001-10-11,23858197000
2001-10-12,23808708000
2001-10-15,24227115000
2001-10-16,24182125000
2001-10-17,23997666000
2001-10-18,24227115000
2001-10-19,24227115000
2001-10-22,24744500000
2001-10-23,22935902000
2001-10-24,22985391000
2001-10-25,23160852000
2001-10-26,23228337000
2001-10-29,22949399000
2001-10-30,22031603000
2001-10-31,21680681000
2001-11-01,21208286000
2001-11-02,21019328000
2001-11-05,21923627000
2001-11-06,21158797000
2001-11-07,20641412000
2001-11-08,19867584000
2001-11-09,20447955000
2001-11-12,20366973000
2001-11-13,21014829000
2001-11-14,21194789000
2001-11-15,21464729000
2001-11-16,21532214000
2001-11-19,22000110000
2001-11-20,22301543000
2001-11-21,22598477000
2001-11-23,22580481000
2001-11-26,22566984000
2001-11-27,22225060000
2001-11-28,21833647000
2001-11-29,21950621000
2001-11-30,22072094000
2001-12-03,22135080000
2001-12-04,22247555000
2001-12-05,21811152000
2001-12-06,21307264000
2001-12-07,21365751000
2001-12-10,20924849000
2001-12-11,20578426000
2001-12-12,20992334000
2001-12-13,20560430000
2001-12-14,21221783000
2001-12-17,21145300000
2001-12-18,20519939000
2001-12-19,20578426000
2001-12-20,20447955000
2001-12-21,20492945000
2001-12-24,20695400000
2001-12-26,20686402000
2001-12-27,20470450000
2001-12-28,20996833000
2001-12-31,20888857000
2002-01-02,20695400000
2002-01-03,20659408000
2002-01-04,20434458000
2002-01-07,20263496000
2002-01-08,20137524000
2002-01-09,19903576000
2002-01-10,19674127000
2002-01-11,19642634000
2002-01-14,20146522000
2002-01-15,20447955000
2002-01-16,20335480000
2002-01-17,20196011000
2002-01-18,20002554000
2002-01-22,21707675000
2002-01-23,22049599000
2002-01-24,21545711000
2002-01-25,21545711000
2002-01-28,21451232000
2002-01-29,20951843000
2002-01-30,21190290000
2002-01-31,21293767000
2002-02-01,21298266000
2002-02-04,21046322000
2002-02-05,21064318000
2002-02-06,20465951000
2002-02-07,20834869000
2002-02-08,20866362000
2002-02-11,21320761000
2002-02-12,21563707000
2002-02-13,21658186000
2002-02-14,21320761000
2002-02-15,21352254000
2002-02-19,20911352000
2002-02-20,21064318000
2002-02-21,20969839000
2002-02-22,21172294000
2002-02-25,21185791000
2002-02-26,21181292000
2002-02-27,21419739000
2002-02-28,21352254000
2002-03-01,21419739000
2002-03-04,21338757000
2002-03-05,20803376000
2002-03-06,21208286000
2002-03-07,21289268000
2002-03-08,21077815000
2002-03-11,21311763000
2002-03-12,21428737000
2002-03-13,21559208000
2002-03-14,21649188000
2002-03-15,22310541000
2002-03-18,22580481000
2002-03-19,22468006000
2002-03-20,22292545000
2002-03-21,22566984000
2002-03-22,22629970000
2002-03-25,22198066000
2002-03-26,22378026000
2002-03-27,22805431000
2002-03-28,22899910000
2002-04-01,22345283033
2002-04-02,22232646864
2002-04-03,22180660940
2002-04-04,21803762991
2002-04-05,21240582147
2002-04-08,21270907269
2002-04-09,21309896712
2002-04-10,21652137379
2002-04-11,21357550476
2002-04-12,21331557514
2002-04-15,21617480096
2002-04-16,21760441387
2002-04-17,21604483615
2002-04-18,21851416754
2002-04-19,22453587042
2002-04-22,22709184502
2002-04-23,21617480096
2002-04-24,21582822813
2002-04-25,21647805218
2002-04-26,21730116265
2002-04-29,21340221834
2002-04-30,21556829851
2002-05-01,21868745396
2002-05-02,22037699649
2002-05-03,22068024771
2002-05-06,22072356932
2002-05-07,21621812256
2002-05-08,21812427311
2002-05-09,21266575109
2002-05-10,21010977649
2002-05-13,20911337961
2002-05-14,20872348518
2002-05-15,20967656045
2002-05-16,21036970611
2002-05-17,21396539919
2002-05-20,21054299252
2002-05-21,21132278138
2002-05-22,21023974130
2002-05-23,20950327404
2002-05-24,20794369632
2002-05-28,20816030433
2002-05-29,20742383707
2002-05-30,20894009319
2002-05-31,20673069142
2002-06-03,20205195825
2002-06-04,19797972753
2002-06-05,19754651150
2002-06-06,19607357698
2002-06-07,19875951639
2002-06-10,20404475201
2002-06-11,20170538543
2002-06-12,19286777833
2002-06-13,19395081842
2002-06-14,19269449192
2002-06-17,20079563175
2002-06-18,19888948120
2002-06-19,20005916450
2002-06-20,20270178230
2002-06-21,19784976272
2002-06-24,19486057209
2002-06-25,19148148702
2002-06-26,19178473825
2002-06-27,19598693378
2002-06-28,19104827099
2002-07-01,18356668000
2002-07-02,17433034000
2002-07-03,18312048000
2002-07-05,18950114000
2002-07-08,18691318000
2002-07-09,16879746000
2002-07-10,16826202000
2002-07-11,16629874000
2002-07-12,16754809999
2002-07-15,16625412000
2002-07-16,16848512000
2002-07-17,17584742000
2002-07-18,16991296000
2002-07-19,16902056000
2002-07-22,16094434000
2002-07-23,15724088000
2002-07-24,16420159999
2002-07-25,16603102000
2002-07-26,16821740000
2002-07-29,18312048000
2002-07-30,18436984000
2002-07-31,18454832000
2002-08-01,17928316000
2002-08-02,17361642000
2002-08-05,16670032000
2002-08-06,17848000000
2002-08-07,18548534000
2002-08-08,19695268000
2002-08-09,19409700000
2002-08-12,19896058000
2002-08-13,19597104000
2002-08-14,20409188000
2002-08-15,20444884000
2002-08-16,20855388000
2002-08-19,21118646000
2002-08-20,21118646000
2002-08-21,21707630000
2002-08-22,21845952000
2002-08-23,21011558000
2002-08-26,21524688000
2002-08-27,21306050000
2002-08-28,20761686000
2002-08-29,20797382000
2002-08-30,20775072000
2002-09-03,19878210000
2002-09-04,20480580000
2002-09-05,20922318000
2002-09-06,20725990000
2002-09-09,20966938000
2002-09-10,21243582000
2002-09-11,21404214000
2002-09-12,20993710000
2002-09-13,21225734000
2002-09-16,21337284000
2002-09-17,20471656000
2002-09-18,20074538000
2002-09-19,19735426000
2002-09-20,19864824000
2002-09-23,19503402000
2002-09-24,19391852000
2002-09-25,20333334000
2002-09-26,21190038000
2002-09-27,20520738000
2002-09-30,19739720000
2002-10-01,20424820000
2002-10-02,19996080000
2002-10-03,20725380000
2002-10-04,19739720000
2002-10-07,19598280000
2002-10-08,20278960000
2002-10-09,19571760000
2002-10-10,20225920000
2002-10-11,21127600000
2002-10-14,21578440000
2002-10-15,21538660000
2002-10-16,21551920000
2002-10-17,21459100000
2002-10-18,21140860000
2002-10-21,22095580000
2002-10-22,22263540000
2002-10-23,21901100000
2002-10-24,21711040000
2002-10-25,22329840000
2002-10-28,22077900000
2002-10-29,22117680000
2002-10-30,22153040000
2002-10-31,21967400000
2002-11-01,22586200000
2002-11-04,22484540000
2002-11-05,21989500000
2002-11-06,22219340000
2002-11-07,21812700000
2002-11-08,21132020000
2002-11-11,21211580000
2002-11-12,21264620000
2002-11-13,21520980000
2002-11-14,21498880000
2002-11-15,21985080000
2002-11-18,21551920000
2002-11-19,20535320000
2002-11-20,20628140000
2002-11-21,19691100000
2002-11-22,19770660000
2002-11-25,19501040000
2002-11-26,19372860000
2002-11-27,19757400000
2002-11-29,19531980000
2002-12-02,19673420000
2002-12-03,19757400000
2002-12-04,20309900000
2002-12-05,19996080000
2002-12-06,20278960000
2002-12-09,19912100000
2002-12-10,20018180000
2002-12-11,19611540000
2002-12-12,19456840000
2002-12-13,19788340000
2002-12-16,19814860000
2002-12-17,19403800000
2002-12-18,18904340000
2002-12-19,18727540000
2002-12-20,18577260000
2002-12-23,18643560000
2002-12-24,18807100000
2002-12-26,18789420000
2002-12-27,18404880000
2002-12-30,18497700000
2002-12-31,19086750000
2003-01-02,19944531000
2003-01-03,20205009000
2003-01-06,20469978000
2003-01-07,19931058000
2003-01-08,20146626000
2003-01-09,20245428000
2003-01-10,19922076000
2003-01-13,19558305000
2003-01-14,19481958000
2003-01-15,19333755000
2003-01-16,19428066000
2003-01-17,19347228000
2003-01-21,19284354000
2003-01-22,19203516000
2003-01-23,18705015000
2003-01-24,18386154000
2003-01-27,17905617000
2003-01-28,18314298000
2003-01-29,18624177000
2003-01-30,18341244000
2003-01-31,18808308000
2003-02-03,18440046000
2003-02-04,18493938000
2003-02-05,18300825000
2003-02-06,18323280000
2003-02-07,18206514000
2003-02-10,18377172000
2003-02-11,18440046000
2003-02-12,17573283000
2003-02-13,17389152000
2003-02-14,18134658000
2003-02-18,18758907000
2003-02-19,18736452000
2003-02-20,18705015000
2003-02-21,19333755000
2003-02-24,18965493000
2003-02-25,19266390000
2003-02-26,18794835000
2003-02-27,18767889000
2003-02-28,18475974000
2003-03-03,18466992000
2003-03-04,18148131000
2003-03-05,18363699000
2003-03-06,17999928000
2003-03-07,17981964000
2003-03-10,17344242000
2003-03-11,17532864000
2003-03-12,17380170000
2003-03-13,16962507000
2003-03-14,16221491999
2003-03-17,17335260000
2003-03-18,17946036000
2003-03-19,18031365000
2003-03-20,18157113000
2003-03-21,18628668000
2003-03-24,18197532000
2003-03-25,18772380000
2003-03-26,18525375000
2003-03-27,18368190000
2003-03-28,18610704000
2003-03-31,18020855000
2003-04-01,18223485000
2003-04-02,18716845000
2003-04-03,18567075000
2003-04-04,18514215000
2003-04-07,18593505000
2003-04-08,18395280000
2003-04-09,17888705000
2003-04-10,17774175000
2003-04-11,17853465000
2003-04-14,18241105000
2003-04-15,18448140000
2003-04-16,18003235000
2003-04-17,17937160000
2003-04-21,17633215000
2003-04-22,18232295000
2003-04-23,16501130000
2003-04-24,16853530000
2003-04-25,16976870000
2003-04-28,17034135000
2003-04-29,17382130000
2003-04-30,17483445000
2003-05-01,17430585000
2003-05-02,17827035000
2003-05-05,17664050000
2003-05-06,17734530000
2003-05-07,18029665000
2003-05-08,17998830000
2003-05-09,18249915000
2003-05-12,18474570000
2003-05-13,18355635000
2003-05-14,18329205000
2003-05-15,18505405000
2003-05-16,18558265000
2003-05-19,17959185000
2003-05-20,17796200000
2003-05-21,17998830000
2003-05-22,18034070000
2003-05-23,18042880000
2003-05-27,18293965000
2003-05-28,17875490000
2003-05-29,17738935000
2003-05-30,18254320000
2003-06-02,18329205000
2003-06-03,18360040000
2003-06-04,18835780000
2003-06-05,18994360000
2003-06-06,20390745000
2003-06-09,19672730000
2003-06-10,20086800000
2003-06-11,20117635000
2003-06-12,19840120000
2003-06-13,19769640000
2003-06-16,20610995000
2003-06-17,20694690000
2003-06-18,20932560000
2003-06-19,20619805000
2003-06-20,20936965000
2003-06-23,20130850000
2003-06-24,20487655000
2003-06-25,20456820000
2003-06-26,20813625000
2003-06-27,20496465000
2003-06-30,20337885000
2003-07-01,20240975000
2003-07-02,20981015000
2003-07-03,20884105000
2003-07-07,21161620000
2003-07-08,21496400000
2003-07-09,21161620000
2003-07-10,20390745000
2003-07-11,20496465000
2003-07-14,20699095000
2003-07-15,20610995000
2003-07-16,20487655000
2003-07-17,20562540000
2003-07-18,20624210000
2003-07-21,20368720000
2003-07-22,20315860000
2003-07-23,20602185000
2003-07-24,20337885000
2003-07-25,20624210000
2003-07-28,20496465000
2003-07-29,20558135000
2003-07-30,20390745000
2003-07-31,17316055000
2003-08-01,17743340000
2003-08-04,18091335000
2003-08-05,17871085000
2003-08-06,17813820000
2003-08-07,18219080000
2003-08-08,18646365000
2003-08-11,18875425000
2003-08-12,19025195000
2003-08-13,18866615000
2003-08-14,18884235000
2003-08-15,18985550000
2003-08-18,18976740000
2003-08-19,18875425000
2003-08-20,18628745000
2003-08-21,18580290000
2003-08-22,18293965000
2003-08-25,18311585000
2003-08-26,18267535000
2003-08-27,17941565000
2003-08-28,18064905000
2003-08-29,18007640000
2003-09-02,18249915000
2003-09-03,18060500000
2003-09-04,17932755000
2003-09-05,17827035000
2003-09-08,18042880000
2003-09-09,17818225000
2003-09-10,18100145000
2003-09-11,18130980000
2003-09-12,18188245000
2003-09-15,18161815000
2003-09-16,18496595000
2003-09-17,18461355000
2003-09-18,18584695000
2003-09-19,18536240000
2003-09-22,18567075000
2003-09-23,18478975000
2003-09-24,18355635000
2003-09-25,18311585000
2003-09-26,18236700000
2003-09-29,18390875000
2003-09-30,18164076000
2003-10-01,18120756000
2003-10-02,18034116000
2003-10-03,18055776000
2003-10-06,18129420000
2003-10-07,18155412000
2003-10-08,18155412000
2003-10-09,18198732000
2003-10-10,18120756000
2003-10-13,18146748000
2003-10-14,18255048000
2003-10-15,18133752000
2003-10-16,18220392000
2003-10-17,18203064000
2003-10-20,18094764000
2003-10-21,18120756000
2003-10-22,17414640000
2003-10-23,18038448000
2003-10-24,18198732000
2003-10-27,18220392000
2003-10-28,18298368000
2003-10-29,18263712000
2003-10-30,18423996000
2003-10-31,18458652000
2003-11-03,18350352000
2003-11-04,18198732000
2003-11-05,18350352000
2003-11-06,18337356000
2003-11-07,17726544000
2003-11-10,17717880000
2003-11-11,17973468000
2003-11-12,18164076000
2003-11-13,18471648000
2003-11-14,18974160000
2003-11-17,19091124000
2003-11-18,18891852000
2003-11-19,19082460000
2003-11-20,18956832000
2003-11-21,18961164000
2003-11-24,19134444000
2003-11-25,19112784000
2003-11-26,19039140000
2003-11-28,19017480000
2003-12-01,19528656000
2003-12-02,19632624000
2003-12-03,19654284000
2003-12-04,19628292000
2003-12-05,19550316000
2003-12-08,19710600000
2003-12-09,19571976000
2003-12-10,19377036000
2003-12-11,19597968000
2003-12-12,19823232000
2003-12-15,19762584000
2003-12-16,19766916000
2003-12-17,19567644000
2003-12-18,19303392000
2003-12-19,19199424000
2003-12-22,19186428000
2003-12-23,19316388000
2003-12-24,19364040000
2003-12-26,19424688000
2003-12-29,19619628000
2003-12-30,19528656000
2003-12-31,19034928000
2004-01-02,18571190000
2004-01-05,18835564000
2004-01-06,18766220000
2004-01-07,18904908000
2004-01-08,18878904000
2004-01-09,18688208000
2004-01-12,18415166000
2004-01-13,18402164000
2004-01-14,18562522000
2004-01-15,18670872000
2004-01-16,18662204000
2004-01-20,18484510000
2004-01-21,18627532000
2004-01-22,19650356000
2004-01-23,19784710000
2004-01-26,20040416000
2004-01-27,19914730000
2004-01-28,19685028000
2004-01-29,19914730000
2004-01-30,19949402000
2004-02-02,20248448000
2004-02-03,20447812000
2004-02-04,20213776000
2004-02-05,19953736000
2004-02-06,20079422000
2004-02-09,19802046000
2004-02-10,20105426000
2004-02-11,20460814000
2004-02-12,20226778000
2004-02-13,20352464000
2004-02-17,20378468000
2004-02-18,20222444000
2004-02-19,20075088000
2004-02-20,20157434000
2004-02-23,19914730000
2004-02-24,20005744000
2004-02-25,20170436000
2004-02-26,20166102000
2004-02-27,20300456000
2004-03-01,20434810000
2004-03-02,20538826000
2004-03-03,20699184000
2004-03-04,20837872000
2004-03-05,20963558000
2004-03-08,20976560000
2004-03-09,20777196000
2004-03-10,20712186000
2004-03-11,20742524000
2004-03-12,20772862000
2004-03-15,20504154000
2004-03-16,20447812000
2004-03-17,20447812000
2004-03-18,20413140000
2004-03-19,20291788000
2004-03-22,20226778000
2004-03-23,20053418000
2004-03-24,19914730000
2004-03-25,19901728000
2004-03-26,20959224000
2004-03-29,21362286000
2004-03-30,21184592000
2004-03-31,21356199000
2004-04-01,21433905000
2004-04-02,21667023000
2004-04-05,22025334000
2004-04-06,21904458000
2004-04-07,21869922000
2004-04-08,21727461000
2004-04-12,22046919000
2004-04-13,21960579000
2004-04-14,21900141000
2004-04-15,21917409000
2004-04-16,22055553000
2004-04-19,22180746000
2004-04-20,21938994000
2004-04-21,22379328000
2004-04-22,22396596000
2004-04-23,22267086000
2004-04-26,22258452000
2004-04-27,22292988000
2004-04-28,22107357000
2004-04-29,22008066000
2004-04-30,22707420000
2004-05-03,23471529000
2004-05-04,23272947000
2004-05-05,23436993000
2004-05-06,23553552000
2004-05-07,23415408000
2004-05-10,23000976000
2004-05-11,23095950000
2004-05-12,23160705000
2004-05-13,23165022000
2004-05-14,22763541000
2004-05-17,21451173000
2004-05-18,20928816000
2004-05-19,20829525000
2004-05-20,20617992000
2004-05-21,20674113000
2004-05-24,20337387000
2004-05-25,20820891000
2004-05-26,20984937000
2004-05-27,21153300000
2004-05-28,20989254000
2004-06-01,21265542000
2004-06-02,21157617000
2004-06-03,21101496000
2004-06-04,21196470000
2004-06-07,21343248000
2004-06-08,21425271000
2004-06-09,21170568000
2004-06-10,21338931000
2004-06-14,21218055000
2004-06-15,21520245000
2004-06-16,21343248000
2004-06-17,21403686000
2004-06-18,21192153000
2004-06-21,20894280000
2004-06-22,21200787000
2004-06-23,21654072000
2004-06-24,21744729000
2004-06-25,21373467000
2004-06-28,21179202000
2004-06-29,21541830000
2004-06-30,21714510000
2004-07-01,16387332000
2004-07-02,16046289000
2004-07-06,16119678000
2004-07-07,16011753000
2004-07-08,15532565999
2004-07-09,15169938000
2004-07-12,14725287000
2004-07-13,14988624000
2004-07-14,15562784999
2004-07-15,15644808000
2004-07-16,15640490999
2004-07-19,15588687000
2004-07-20,15571419000
2004-07-21,15515297999
2004-07-22,15826121999
2004-07-23,15774318000
2004-07-26,15644808000
2004-07-27,13637403000
2004-07-28,13792815000
2004-07-29,13874838000
2004-07-30,13792815000
2004-08-02,13784181000
2004-08-03,13792815000
2004-08-04,13689207000
2004-08-05,13546746000
2004-08-06,13641720000
2004-08-09,13581282000
2004-08-10,13667622000
2004-08-11,13680573000
2004-08-12,13589916000
2004-08-13,13119363000
2004-08-16,13257507000
2004-08-17,13499259000
2004-08-18,13671939000
2004-08-19,13745328000
2004-08-20,13801449000
2004-08-23,13684890000
