,MRNA
2019-04-23,8130649842
2019-04-24,8479576516
2019-04-25,8472992994
2019-04-26,8644164569
2019-04-29,8275487329
2019-04-30,8568454065
2019-05-01,8690249224
2019-05-02,9328850872
2019-05-03,8953590110
2019-05-06,8920672499
2019-05-07,8081273426
2019-05-08,7748805558
2019-05-09,7656636248
2019-05-10,8203068586
2019-05-13,8041772294
2019-05-14,7765264364
2019-05-15,7610551593
2019-05-16,7722471470
2019-05-17,7597384549
2019-05-20,7439380018
2019-05-21,7472297628
2019-05-22,7241874354
2019-05-23,7037785167
2019-05-24,7185914415
2019-05-28,7090453344
2019-05-29,7143121521
2019-05-30,7073994539
2019-05-31,6840279503
2019-06-03,6534145723
2019-06-04,6409058803
2019-06-05,5826417093
2019-06-06,5905419359
2019-06-07,5767165394
2019-06-10,5158189596
2019-06-11,5266817712
2019-06-12,5365570544
2019-06-13,5319485889
2019-06-14,5069312047
2019-06-17,5191107207
2019-06-18,5181231924
2019-06-19,5102229658
2019-06-20,4996893304
2019-06-21,4838888772
2019-06-24,4621632542
2019-06-25,4532754993
2019-06-26,4509712665
2019-06-27,4720385374
2019-06-28,4819138206
2019-07-01,4872232392
2019-07-02,4763078510
2019-07-03,5064078610
2019-07-05,4948309341
2019-07-08,4726693882
2019-07-09,4911924713
2019-07-10,4789540057
2019-07-11,4776309284
2019-07-12,4696924642
2019-07-15,4736616963
2019-07-16,4677078481
2019-07-17,4640693854
2019-07-18,4716770802
2019-07-19,4667155401
2019-07-22,4647309241
2019-07-23,4498463037
2019-07-24,4786232364
2019-07-25,4468693796
2019-07-26,4670463094
2019-07-29,4528232278
2019-07-30,4432309169
2019-07-31,4333078367
2019-08-01,4303309126
2019-08-02,4210693710
2019-08-05,4055232120
2019-08-06,4065155200
2019-08-07,4250386031
2019-08-08,4362847607
2019-08-09,4409155315
2019-08-12,4306616819
2019-08-13,4399232235
2019-08-14,4214001404
2019-08-15,4190847550
2019-08-16,4352924527
2019-08-19,4432309169
2019-08-20,4680386175
2019-08-21,4726693882
2019-08-22,4683693868
2019-08-23,4591078453
2019-08-26,4951617034
2019-08-27,4799463137
2019-08-28,4902001633
2019-08-29,5021078596
2019-08-30,5203001733
2019-09-03,4921847794
2019-09-04,5100463238
2019-09-05,5136847865
2019-09-06,5252617135
2019-09-09,5302232536
2019-09-10,5652848037
2019-09-11,5265847908
2019-09-12,5424617192
2019-09-13,5527155688
2019-09-16,5639617264
2019-09-17,5841386562
2019-09-18,5881078882
2019-09-19,5920771203
2019-09-20,5977001991
2019-09-23,5897617350
2019-09-24,5894309656
2019-09-25,5682617278
2019-09-26,5404771031
2019-09-27,5259232521
2019-09-30,5323522677
2019-10-01,4952347415
2019-10-02,4969067022
2019-10-03,5039289368
2019-10-04,5186421905
2019-10-07,5173046220
2019-10-08,5119543479
2019-10-09,4748368217
2019-10-10,4734992532
2019-10-11,4699881359
2019-10-14,4658082343
2019-10-15,4791839194
2019-10-16,4731648611
2019-10-17,4862061541
2019-10-18,4952347415
2019-10-21,5183077984
2019-10-22,5323522677
2019-10-23,5651226963
2019-10-24,5547565403
2019-10-25,5688010097
2019-10-28,5694697939
2019-10-29,5681322254
2019-10-30,5731481073
2019-10-31,5601068144
2019-11-01,5236580724
2019-11-04,5617787750
2019-11-05,5647883041
2019-11-06,5393745024
2019-11-07,5851862240
2019-11-08,5848518318
2019-11-11,5818423027
2019-11-12,6015714382
2019-11-13,6102656336
2019-11-14,6132751627
2019-11-15,6477175519
2019-11-18,6503926889
2019-11-19,6473831598
2019-11-20,6748033143
2019-11-21,6754720985
2019-11-22,6918573128
2019-11-25,6687842560
2019-11-26,6798191962
2019-11-27,6811567647
2019-11-29,6808223726
2019-12-02,6607588449
2019-12-03,7115864483
2019-12-04,7112520562
2019-12-05,6901853521
2019-12-06,6333386904
2019-12-09,6279884163
2019-12-10,6309979455
2019-12-11,6236413187
2019-12-12,6169534761
2019-12-13,6226381423
2019-12-16,6192942210
2019-12-17,6166190840
2019-12-18,6233069265
2019-12-19,6490551204
2019-12-20,6630995898
2019-12-23,6587524921
2019-12-24,6604244528
2019-12-26,6641027662
2019-12-27,6527334338
2019-12-30,6370170038
2019-12-31,6904680000
2020-01-02,6788190000
2020-01-03,6668170000
2020-01-06,6399890000
2020-01-07,6276340000
2020-01-08,6346940000
2020-01-09,6495199999
2020-01-10,6756420000
2020-01-13,7151780000
2020-01-14,7060000000
2020-01-15,7144719999
2020-01-16,7416530000
2020-01-17,7278860000
2020-01-21,7391820000
2020-01-22,7755410000
2020-01-23,7578910000
2020-01-24,7455360000
2020-01-27,8027219999
2020-01-28,7893080000
2020-01-29,7254150000
2020-01-30,7409469999
2020-01-31,7240030000
2020-02-03,7194140000
2020-02-04,7367110000
2020-02-05,7077650000
2020-02-06,7017640000
2020-02-07,8203719999
2020-02-10,8348449999
2020-02-11,7536550000
2020-02-12,6710530000
2020-02-13,6722885000
2020-02-14,6707000000
2020-02-18,6675230000
2020-02-19,6678760000
2020-02-20,6544620000
2020-02-21,6435190000
2020-02-24,6562270000
2020-02-25,8387280000
2020-02-26,10293480000
2020-02-27,9234480000
2020-02-28,9153290000
2020-03-02,10547640000
2020-03-03,9852230000
2020-03-04,9703970000
2020-03-05,9887530000
2020-03-06,10452330000
2020-03-09,8574370000
2020-03-10,7886020000
2020-03-11,8334330000
2020-03-12,7871900000
2020-03-13,7518900000
2020-03-16,9350970000
2020-03-17,9947540000
2020-03-18,11147740000
2020-03-19,9979310000
2020-03-20,9954600000
2020-03-23,9379210000
2020-03-24,9114460000
2020-03-25,9576890000
2020-03-26,9862820000
2020-03-27,10607650000
2020-03-30,10759440000
2020-03-31,11303709652
2020-04-01,11198032233
2020-04-02,12530322552
2020-04-03,13149290293
2020-04-06,13073806422
2020-04-07,12084967715
2020-04-08,12235935456
2020-04-09,12024580618
2020-04-13,12417096746
2020-04-14,13081354809
2020-04-15,14058870936
2020-04-16,15323225772
2020-04-17,17682096734
2020-04-20,19508806408
2020-04-21,18591677378
2020-04-22,19323870924
2020-04-23,17904774153
2020-04-24,19059677377
2020-04-27,18134999959
2020-04-28,18070838669
2020-04-29,17500935444
2020-04-30,17357516090
2020-05-01,18089709637
2020-05-04,19059677377
2020-05-05,18621870926
2020-05-06,18474677378
2020-05-07,20074935439
2020-05-08,22362096724
2020-05-11,25249354782
2020-05-12,23532096721
2020-05-13,24600193493
2020-05-14,24366193494
2020-05-15,25170096718
2020-05-18,30193548320
2020-05-19,27049645101
2020-05-20,27728999938
2020-05-21,25305967685
2020-05-22,26041935426
2020-05-26,21780870919
2020-05-27,19693741891
2020-05-28,20961870921
2020-05-29,23211290271
2020-06-01,23467935431
2020-06-02,22596096723
2020-06-03,22603645111
2020-06-04,22867838658
2020-06-05,21962032209
2020-06-08,22305483821
2020-06-09,21977128983
2020-06-10,22671580594
2020-06-11,22720645110
2020-06-12,23399999948
2020-06-15,25124806395
2020-06-16,24283161236
2020-06-17,23894419301
2020-06-18,24513387042
2020-06-19,25041774137
2020-06-22,24437903171
2020-06-23,23754774140
2020-06-24,24471870913
2020-06-25,23399999948
2020-06-26,23128258013
2020-06-29,23430193496
2020-06-30,25357508459
2020-07-01,24322830493
2020-07-02,23130186426
2020-07-06,23359237274
2020-07-07,24125372866
2020-07-08,24318881341
2020-07-09,25657644052
2020-07-10,24725644052
2020-07-13,28347016932
2020-07-14,29634440660
2020-07-15,31680101675
2020-07-16,32308016929
2020-07-17,37457711841
2020-07-20,32651593200
2020-07-21,31932847438
2020-07-22,32866822014
2020-07-23,29748966083
2020-07-24,28911745745
2020-07-27,31557677947
2020-07-28,32181644048
2020-07-29,31399711845
2020-07-30,30657271168
2020-07-31,29263220321
2020-08-03,30795491506
2020-08-04,30985050828
2020-08-05,29934576253
2020-08-06,29128949135
2020-08-07,29263220321
2020-08-10,28437847440
2020-08-11,27237305068
2020-08-12,27454508458
2020-08-13,26787101678
2020-08-14,27308389814
2020-08-17,27549288119
2020-08-18,26471169475
2020-08-19,26854237272
2020-08-20,26779203373
2020-08-21,26242118628
2020-08-24,25622101679
2020-08-25,26163135577
2020-08-26,27841525407
2020-08-27,26866084729
2020-08-28,26652830492
2020-08-31,25626050832
2020-09-01,25006033883
2020-09-02,25558915238
2020-09-03,25606305069
2020-09-04,24721694900
2020-09-08,21459694902
2020-09-09,22470677952
2020-09-10,22731322020
2020-09-11,23434271172
2020-09-14,25144254222
2020-09-15,26411932187
2020-09-16,27185966085
2020-09-17,26810796594
2020-09-18,27592728796
2020-09-21,27351830492
2020-09-22,27138576254
2020-09-23,26522508458
2020-09-24,25736627103
2020-09-25,27434762695
2020-09-28,27861271169
2020-09-29,27849423712
2020-09-30,28017000000
2020-10-01,27731880000
2020-10-02,27248760000
2020-10-05,28492200000
2020-10-06,28131840000
2020-10-07,28658520000
2020-10-08,28880280000
2020-10-09,28908000000
2020-10-12,29822760000
2020-10-13,31002840000
2020-10-14,30317760000
2020-10-15,29929680000
2020-10-16,29280240000
2020-10-19,28100159999
2020-10-20,28238760000
2020-10-21,27074520000
2020-10-22,28052640000
2020-10-23,27929880000
2020-10-26,27815039999
2020-10-27,27985320000
2020-10-28,26033039999
2020-10-29,28226880000
2020-10-30,26718120000
2020-11-02,26575560000
2020-11-03,27355680000
2020-11-04,27644760000
2020-11-05,28306080000
2020-11-06,28690200000
2020-11-09,30785039999
2020-11-10,30115800000
2020-11-11,32646240000
2020-11-12,34772760000
2020-11-13,35398440000
2020-11-16,38788200000
2020-11-17,36887400000
2020-11-18,35200440000
2020-11-19,36736920000
2020-11-20,38653560000
2020-11-23,40007880000
2020-11-24,39029760000
2020-11-25,43235280000
2020-11-27,50303880000
2020-11-30,60485040000
2020-12-01,55839960000
2020-12-02,56628000000
2020-12-03,62274960000
2020-12-04,60397920000
2020-12-07,63169920000
2020-12-08,67264560000
2020-12-09,62009640000
2020-12-10,61653240000
2020-12-11,62144280000
2020-12-14,61407720000
2020-12-15,58299120000
2020-12-16,54263880000
2020-12-17,57024000000
2020-12-18,55531079999
2020-12-21,54766800000
2020-12-22,49848480000
2020-12-23,51614640000
2020-12-24,48862440000
2020-12-28,44114400000
2020-12-29,45298440000
2020-12-30,44007480000
2020-12-31,41788000000
2021-01-04,44692000000
2021-01-05,43672000000
2021-01-06,46504000000
2021-01-07,46036000000
2021-01-08,45100000000
2021-01-11,46904000000
2021-01-12,49820000000
2021-01-13,49624000000
2021-01-14,51888000000
2021-01-15,51860000000
2021-01-19,50004000000
2021-01-20,50056000000
2021-01-21,53191999999
2021-01-22,52408000000
2021-01-25,58800000000
2021-01-26,60772000000
2021-01-27,62291999999
2021-01-28,63820000000
2021-01-29,69264000000
2021-02-01,62991999999
2021-02-02,63432000000
2021-02-03,66344000000
2021-02-04,69324000000
2021-02-05,70496000000
2021-02-08,74392000000
2021-02-09,71808000000
2021-02-10,71736000000
2021-02-11,73376000000
2021-02-12,73496000000
2021-02-16,71412000000
2021-02-17,70704000000
2021-02-18,67828000000
2021-02-19,69896000000
2021-02-22,63748000000
2021-02-23,60067999999
2021-02-24,57916000000
2021-02-25,59352000000
2021-02-26,61924000000
2021-03-01,62960000000
2021-03-02,58724000000
2021-03-03,52488000000
2021-03-04,52920000000
2021-03-05,52876000000
2021-03-08,49388000000
2021-03-09,52348000000
2021-03-10,51900000000
2021-03-11,56188000000
2021-03-12,54796000000
2021-03-15,57464000000
2021-03-16,62408000000
2021-03-17,59020000000
2021-03-18,56584000000
2021-03-19,57496000000
2021-03-22,58240000000
2021-03-23,54608000000
2021-03-24,52644000000
2021-03-25,53332000000
2021-03-26,53312000000
2021-03-29,49368000000
2021-03-30,47396000000
2021-03-31,52641899999
2021-04-01,53285100000
2021-04-05,52223820000
2021-04-06,53679060000
2021-04-07,52850940000
2021-04-08,53819760000
2021-04-09,56649839999
2021-04-12,56038800000
2021-04-13,60183420000
2021-04-14,64332060000
2021-04-15,64267740000
2021-04-16,68665620000
2021-04-19,65087820000
2021-04-20,63025560000
2021-04-21,68139000000
2021-04-22,67576200000
2021-04-23,69799260000
2021-04-26,71399220000
2021-04-27,73730820000
2021-04-28,71829360000
2021-04-29,70619340000
2021-04-30,71885640000
2021-05-03,74780040000
2021-05-04,69783180000
2021-05-05,65461680000
2021-05-06,64521000000
2021-05-07,65586300000
2021-05-10,63737100000
2021-05-11,63913980000
2021-05-12,61377360000
2021-05-13,60247740000
2021-05-14,64874760000
2021-05-17,64492860000
2021-05-18,64131060000
2021-05-19,63511980000
2021-05-20,66719940000
2021-05-21,64902899999
2021-05-24,65996339999
2021-05-25,68042520000
2021-05-26,70587180000
2021-05-27,72175080000
2021-05-28,74374020000
2021-06-01,74233320000
2021-06-02,77023200000
2021-06-03,78478440000
2021-06-04,82840140000
2021-06-07,88267140000
2021-06-08,85626000000
2021-06-09,87410880000
2021-06-10,87234000000
2021-06-11,87977700000
2021-06-14,83378820000
2021-06-15,81039180000
2021-06-16,79531680000
2021-06-17,81392940000
2021-06-18,80074380000
2021-06-21,83712480000
2021-06-22,88986720000
2021-06-23,85240080000
2021-06-24,88496280000
2021-06-25,88415880000
2021-06-28,89621880000
2021-06-29,94252920000
2021-06-30,94931920000
2021-07-01,94984440000
2021-07-02,94657200000
2021-07-06,94269360000
2021-07-07,89647600000
2021-07-08,94047160000
2021-07-09,94055240000
2021-07-12,96693360000
2021-07-13,95000600000
2021-07-14,99650640000
2021-07-15,104908700000
2021-07-16,115717720000
2021-07-19,126690359999
2021-07-20,124161320000
2021-07-21,129728440000
2021-07-22,130685920000
2021-07-23,140927320000
2021-07-26,135691480000
2021-07-27,132714000000
2021-07-28,141125280000
2021-07-29,139638560000
2021-07-30,142854400000
2021-08-02,140030440000
2021-08-03,156150040000
2021-08-04,169296200000
2021-08-05,168169040000
2021-08-06,167142880000
2021-08-09,195725880000
2021-08-10,184531040000
2021-08-11,155673320000
2021-08-12,158133680000
2021-08-13,157471120000
2021-08-16,151039440000
2021-08-17,162351440000
2021-08-18,161115200000
2021-08-19,151714120000
2021-08-20,154723920000
2021-08-23,166403560000
2021-08-24,159555760000
2021-08-25,160739480000
2021-08-26,161721200000
2021-08-27,154416880000
2021-08-30,149758760000
2021-08-31,152182760000
2021-09-01,157535760000
2021-09-02,160654640000
2021-09-03,168346800000
2021-09-07,176301560000
2021-09-08,170851600000
2021-09-09,184191680000
2021-09-10,181549520000
2021-09-13,169566880000
2021-09-14,172794840000
2021-09-15,175521840000
2021-09-16,178022600000
2021-09-17,173740200000
2021-09-20,171025320000
2021-09-21,175352160000
2021-09-22,178050880000
2021-09-23,183658400000
2021-09-24,173776560000
2021-09-27,165171360000
2021-09-28,155220840000
2021-09-29,153075600000
2021-09-30,155868300000
2021-10-01,138141450000
2021-10-04,131965199999
2021-10-05,134504550000
2021-10-06,122480100000
2021-10-07,125290800000
2021-10-08,123488550000
2021-10-11,123565500000
2021-10-12,126007650000
2021-10-13,130207500000
2021-10-14,134411400000
2021-10-15,131305049999
2021-10-18,135610199999
2021-10-19,135112050000
2021-10-20,134869050000
2021-10-21,137525850000
2021-10-22,132248700000
2021-10-25,141571800000
2021-10-26,140024700000
2021-10-27,138056400000
2021-10-28,140907600000
2021-10-29,139810050000
2021-11-01,136553850000
2021-11-02,141199200000
2021-11-03,140097600000
2021-11-04,115028100000
2021-11-05,95980950000
2021-11-08,99095400000
2021-11-09,95924250000
2021-11-10,92728800000
2021-11-11,91457100000
2021-11-12,93631950000
2021-11-15,95203350000
2021-11-16,94883400000
2021-11-17,98103150000
2021-11-18,101821050000
2021-11-19,106830899999
2021-11-22,114489450000
2021-11-23,111933900000
2021-11-24,110722950000
2021-11-26,133500150000
2021-11-29,149246550000
2021-11-30,142734150000
2021-12-01,125797050000
2021-12-02,122103450000
2021-12-03,124221600000
2021-12-06,107458650000
2021-12-07,114351750000
2021-12-08,114776999999
2021-12-09,110245049999
2021-12-10,104109300000
2021-12-13,110155950000
2021-12-14,112249800000
2021-12-15,114728399999
2021-12-16,114218100000
2021-12-17,119394000000
2021-12-20,111933900000
2021-12-21,108596700000
2021-12-22,101800800000
2021-12-23,101245950000
2021-12-27,99986400000
2021-12-28,97783200000
2021-12-29,100391400000
2021-12-30,101898000000
2021-12-31,108195480000
2022-01-03,100131300000
2022-01-04,99283560000
2022-01-05,91687980000
2022-01-06,92041560000
2022-01-07,91104360000
2022-01-10,99556200000
2022-01-11,94312140000
2022-01-12,94951140000
2022-01-13,89532420000
2022-01-14,87214980000
2022-01-18,79495860000
2022-01-19,74153820000
2022-01-20,71363520000
2022-01-21,68189820000
2022-01-24,67009800000
2022-01-25,64982040000
2022-01-26,66012960000
2022-01-27,63312120000
2022-01-28,67934220000
2022-01-31,72134580000
2022-02-01,73587240000
2022-02-02,72253860000
2022-02-03,69842700000
2022-02-04,69442260000
2022-02-07,68275020000
2022-02-08,65310060000
2022-02-09,69876780000
2022-02-10,68338919999
2022-02-11,68722320000
2022-02-14,60692220000
2022-02-15,64377120000
2022-02-16,64671060000
2022-02-17,62349360000
2022-02-18,62085240000
2022-02-22,61757220000
2022-02-23,57820979999
2022-02-24,66553979999
2022-02-25,64466580000
2022-02-28,65433600000
2022-03-01,63695520000
2022-03-02,62988360000
2022-03-03,60287520000
2022-03-04,58131960000
2022-03-07,53871960000
2022-03-08,55073280000
2022-03-09,60700740000
2022-03-10,59435520000
2022-03-11,58873199999
2022-03-14,63929820000
2022-03-15,63099120000
2022-03-16,72147360000
2022-03-17,71678760000
2022-03-18,76224180000
2022-03-21,74711880000
2022-03-22,79542720000
2022-03-23,76138980000
2022-03-24,76543680000
2022-03-25,70681920000
2022-03-28,73732080000
2022-03-29,76952640000
2022-03-30,74515920000
2022-03-31,72176940000
2022-04-01,73991210000
2022-04-04,72294260000
2022-04-05,67898950000
2022-04-06,64785780000
2022-04-07,66621000000
2022-04-08,67391960000
2022-04-11,67040000000
2022-04-12,66830500000
2022-04-13,71087540000
2022-04-14,69340310000
2022-04-18,64840250000
2022-04-19,63989680000
2022-04-20,62900280000
2022-04-21,60545500000
2022-04-22,58802460000
2022-04-25,63021790000
2022-04-26,61086010000
2022-04-27,59678170000
2022-04-28,59715880000
2022-04-29,56317790000
2022-05-02,59531520000
2022-05-03,61400260000
2022-05-04,64965950000
2022-05-05,59506380000
2022-05-06,56313600000
2022-05-09,56900200000
2022-05-10,55442080000
2022-05-11,51717170000
2022-05-12,54541229999
2022-05-13,57784290000
2022-05-16,57092940000
2022-05-17,59615320000
2022-05-18,57700490000
2022-05-19,60076220000
2022-05-20,57088750000
2022-05-23,57662780000
2022-05-24,55333140000
2022-05-25,54826150000
2022-05-26,56900200000
2022-05-27,61869540000
2022-05-31,60893270000
2022-06-01,60084600000
2022-06-02,58735420000
2022-06-03,57465850000
2022-06-06,58660000000
2022-06-07,60897460000
2022-06-08,62234070000
2022-06-09,56162760000
2022-06-10,53263280000
2022-06-13,49077470000
2022-06-14,50933640000
2022-06-15,53854070000
2022-06-16,50732520000
2022-06-17,53644570000
2022-06-21,54465810000
2022-06-22,57013330000
2022-06-23,60025940000
2022-06-24,60449130000
2022-06-27,60905840000
2022-06-28,59577610000
2022-06-29,59837390000
2022-06-30,58854200000
2022-07-01,61779399999
2022-07-05,64082480000
2022-07-06,65738720000
2022-07-07,71028800000
2022-07-08,72606760000
2022-07-11,72207120000
2022-07-12,71379000000
2022-07-13,70550880000
2022-07-14,65887039999
2022-07-15,68766920000
2022-07-18,67320800000
2022-07-19,68861680000
2022-07-20,68758680000
2022-07-21,69582680000
2022-07-22,67370240000
2022-07-25,68264280000
2022-07-26,66290800000
2022-07-27,65104240000
2022-07-28,65124840000
2022-07-29,67605080000
2022-08-01,66542120000
2022-08-02,66253720000
2022-08-03,76833880000
2022-08-04,80002160000
2022-08-05,76978080000
2022-08-08,75371280000
2022-08-09,70509680000
2022-08-10,71799240000
2022-08-11,70785720000
2022-08-12,70526160000
2022-08-15,72833360000
2022-08-16,69199520000
2022-08-17,65096000000
2022-08-18,61800000000
2022-08-19,60193200000
2022-08-22,58697640000
2022-08-23,59237360000
2022-08-24,58269160000
2022-08-25,58524600000
2022-08-26,56320399999
2022-08-29,56551120000
2022-08-30,56003160000
2022-08-31,54495240000
2022-09-01,57247399999
2022-09-02,57090840000
2022-09-06,53592960000
2022-09-07,55578800000
2022-09-08,58207360000
2022-09-09,58619360000
2022-09-12,57811840000
2022-09-13,54095600000
2022-09-14,57432800000
2022-09-15,55974320000
2022-09-16,56748880000
2022-09-19,52694800000
2022-09-20,53438460000
2022-09-21,51813120000
2022-09-22,51219840000
2022-09-23,50939680000
2022-09-26,49312280000
2022-09-27,50358760000
2022-09-28,50325800000
2022-09-29,48644840000
2022-09-30,45526250000
2022-10-03,46581150000
2022-10-04,48382950000
2022-10-05,48363700000
2022-10-06,48182750000
2022-10-07,45938200000
2022-10-10,47516700000
2022-10-11,46477200000
2022-10-12,50327200000
2022-10-13,51867200000
2022-10-14,51590000000
2022-10-17,53611250000
2022-10-18,51624650000
2022-10-19,47555200000
2022-10-20,45576300000
2022-10-21,49403200000
2022-10-24,51212700000
2022-10-25,52579450000
2022-10-26,54670000000
2022-10-27,55482350000
2022-10-28,58123450000
2022-10-31,57877050000
2022-11-01,59528700000
2022-11-02,57218700000
2022-11-03,56787500000
2022-11-04,60987850000
2022-11-07,63155400000
2022-11-08,63374850000
2022-11-09,62835850000
2022-11-10,64895600000
2022-11-11,65911999999
2022-11-14,68926550000
2022-11-15,71405950000
2022-11-16,71321250000
2022-11-17,70801500000
2022-11-18,69912150000
2022-11-21,68048750000
2022-11-22,69142150000
2022-11-23,68071850000
2022-11-25,67914000000
2022-11-28,67521300000
2022-11-29,66662750000
2022-11-30,67725350000
2022-12-01,69869800000
2022-12-02,70204750000
2022-12-05,67733050000
2022-12-06,66812900000
2022-12-07,68915000000
2022-12-08,71109500000
2022-12-09,68279750000
2022-12-12,63575050000
2022-12-13,76052900000
2022-12-14,80445750000
2022-12-15,79791250000
2022-12-16,74416650000
2022-12-19,73107650000
2022-12-20,77446600000
2022-12-21,80865400000
2022-12-22,80210900000
2022-12-23,76645800000
2022-12-27,69365450000
2022-12-28,67952500000
2022-12-29,68861100000
2022-12-30,69153700000
2023-01-03,69090140000
2023-01-04,68460960000
2023-01-05,66974860000
2023-01-06,69615100000
2023-01-09,71004700000
2023-01-10,73204900000
2023-01-11,72043040000
2023-01-12,72591160000
2023-01-13,74112000000
2023-01-17,73606340000
2023-01-18,76049720000
2023-01-19,73486680000
2023-01-20,74876280000
2023-01-23,76018840000
2023-01-24,75949360000
2023-01-25,74525020000
2023-01-26,74590640000
2023-01-27,73089100000
2023-01-30,69815820000
2023-01-31,67959160000
2023-02-01,67279800000
2023-02-02,68071100000
2023-02-03,66874500000
2023-02-06,65724220000
2023-02-07,66029160000
2023-02-08,63435240000
2023-02-09,63489279999
2023-02-10,65342080000
2023-02-13,66191279999
2023-02-14,67789320000
2023-02-15,68430080000
2023-02-16,66511660000
2023-02-17,64307600000
2023-02-21,61794740000
2023-02-22,61053619999
2023-02-23,56962020000
2023-02-24,53754360000
2023-02-27,53372220000
2023-02-28,53580660000
2023-03-01,52364760000
2023-03-02,53213960000
2023-03-03,55275199999
2023-03-06,55595580000
2023-03-07,54445300000
2023-03-08,54842880000
2023-03-09,53020960000
2023-03-10,53379940000
2023-03-13,57089400000
2023-03-14,58394080000
2023-03-15,57745600000
2023-03-16,58587080000
2023-03-17,57907720000
2023-03-20,59644720000
2023-03-21,58710600000
2023-03-22,57197480000
2023-03-23,57676119999
2023-03-24,58239680000
2023-03-27,57263100000
2023-03-28,56711119999
2023-03-29,57436800000
2023-03-30,56911840000
2023-03-31,58513980000
2023-04-03,60761879999
2023-04-04,59634120000
2023-04-05,58906410000
2023-04-06,60300870000
2023-04-10,61017150000
2023-04-11,59150250000
2023-04-12,59268360000
2023-04-13,61161930000
2023-04-14,59855100000
2023-04-17,54852570000
2023-04-18,54342030000
2023-04-19,54414420000
2023-04-20,53774339999
2023-04-21,53663850000
2023-04-24,52631339999
2023-04-25,51396900000
2023-04-26,49804320000
2023-04-27,49556670000
2023-04-28,50631089999
2023-05-01,50825400000
2023-05-02,50063400000
2023-05-03,49583339999
2023-05-04,51179730000
2023-05-05,52212240000
2023-05-08,50196750000
2023-05-09,50966370000
2023-05-10,49846230000
2023-05-11,48924210000
2023-05-12,49263300000
2023-05-15,49629060000
2023-05-16,47666910000
2023-05-17,47842170000
2023-05-18,47750730000
2023-05-19,48097440000
2023-05-22,48287940000
2023-05-23,52482750000
2023-05-24,50135790000
2023-05-25,48185070000
2023-05-26,48097440000
2023-05-30,47937420000
2023-05-31,48657510000
2023-06-01,48966120000
2023-06-02,49724310000
2023-06-05,49110900000
2023-06-06,48348900000
2023-06-07,47857410000
2023-06-08,47602140000
2023-06-09,46962060000
2023-06-12,47061120000
2023-06-13,48760380000
2023-06-14,48025050000
2023-06-15,49522379999
2023-06-16,49046129999
2023-06-20,47331630000
2023-06-21,46127670000
2023-06-22,45902880000
2023-06-23,45148500000
2023-06-26,45876210000
2023-06-27,45975270000
2023-06-28,46863000000
2023-06-29,46523910000
2023-06-30,46291500000
2023-07-03,46379130000
2023-07-05,47068740000
2023-07-06,45068490000
2023-07-07,45289470000
2023-07-10,46897290000
2023-07-11,46531530000
2023-07-12,47975520000
2023-07-13,48238410000
2023-07-14,46234350000
2023-07-17,46710600000
2023-07-18,46714410000
2023-07-19,47689770000
2023-07-20,47537370000
2023-07-21,48169830000
2023-07-24,46866810000
2023-07-25,46432470000
2023-07-26,45967650000
