,TPR
2001-05-23,1582129680
2001-05-24,1592607359
2001-05-25,1603085040
2001-05-29,1571652000
2001-05-30,1571652000
2001-05-31,1529741280
2001-06-01,1550696640
2001-06-04,1540218960
2001-06-05,1568159440
2001-06-06,1529741280
2001-06-07,1533233840
2001-06-08,1568159440
2001-06-11,1561174320
2001-06-12,1571652000
2001-06-13,1617055280
2001-06-14,1557681760
2001-06-15,1526248720
2001-06-18,1529741280
2001-06-19,1540218960
2001-06-20,1540218960
2001-06-21,1627532960
2001-06-22,1599592480
2001-06-25,1589114800
2001-06-26,1658966000
2001-06-27,1679921359
2001-06-28,1676428800
2001-06-29,1662458560
2001-07-02,1644995760
2001-07-03,1683413920
2001-07-05,1557681760
2001-07-06,1529741280
2001-07-09,1599592480
2001-07-10,1655473440
2001-07-11,1767235359
2001-07-12,1812638640
2001-07-13,1746280000
2001-07-16,1788190720
2001-07-17,1844071680
2001-07-18,1802160960
2001-07-19,1788190720
2001-07-20,1774220480
2001-07-23,1711354400
2001-07-24,1658966000
2001-07-25,1735802320
2001-07-26,1795175840
2001-07-27,1693891599
2001-07-30,1711354400
2001-07-31,1648488320
2001-08-01,1589114800
2001-08-02,1648488320
2001-08-03,1620547840
2001-08-06,1557681760
2001-08-07,1575144560
2001-08-08,1582129680
2001-08-09,1606577599
2001-08-10,1554189200
2001-08-13,1529741280
2001-08-14,1568159440
2001-08-15,1529741280
2001-08-16,1533233840
2001-08-17,1470367760
2001-08-20,1445919840
2001-08-21,1484338000
2001-08-22,1529741280
2001-08-23,1536726400
2001-08-24,1543711520
2001-08-27,1606577599
2001-08-28,1571652000
2001-08-29,1571652000
2001-08-30,1568159440
2001-08-31,1585622240
2001-09-04,1575144560
2001-09-05,1617055280
2001-09-06,1543711520
2001-09-07,1491323119
2001-09-10,1449412400
2001-09-17,1107141520
2001-09-18,1005857280
2001-09-19,1005857280
2001-09-20,981409360
2001-09-21,1005857280
2001-09-24,1117619200
2001-09-25,1089678720
2001-09-26,956961440
2001-09-27,1033797760
2001-09-28,1156037360
2001-10-01,1048560000
2001-10-02,996132000
2001-10-03,1087007200
2001-10-04,1038074400
2001-10-05,1090502400
2001-10-08,1073026400
2001-10-09,1048560000
2001-10-10,1114968800
2001-10-11,1233805600
2001-10-12,1174387200
2001-10-15,1125454400
2001-10-16,1135940000
2001-10-17,1087007200
2001-10-18,1135940000
2001-10-19,1188368000
2001-10-22,1219824800
2001-10-23,1314195200
2001-10-24,1279243200
2001-10-25,1244291200
2001-10-26,1317690400
2001-10-29,1223320000
2001-10-30,1181377600
2001-10-31,1219824800
2001-11-01,1177882400
2001-11-02,1237300800
2001-11-05,1310700000
2001-11-06,1394584800
2001-11-07,1426041600
2001-11-08,1408565600
2001-11-09,1387594400
2001-11-12,1352642400
2001-11-13,1398080000
2001-11-14,1433031999
2001-11-15,1485460000
2001-11-16,1443517600
2001-11-19,1426041600
2001-11-20,1443517600
2001-11-21,1450508000
2001-11-23,1460993600
2001-11-26,1440022400
2001-11-27,1447012800
2001-11-28,1422546400
2001-11-29,1450508000
2001-11-30,1443517600
2001-12-03,1419051199
2001-12-04,1426041600
2001-12-05,1537888000
2001-12-06,1569344800
2001-12-07,1530897600
2001-12-10,1474974400
2001-12-11,1454003200
2001-12-12,1447012800
2001-12-13,1450508000
2001-12-14,1481964800
2001-12-17,1530897600
2001-12-18,1660220000
2001-12-19,1653229600
2001-12-20,1600801600
2001-12-21,1670705600
2001-12-24,1639248800
2001-12-26,1688181600
2001-12-27,1625268000
2001-12-28,1677696000
2001-12-31,1722499520
2002-01-02,1676519040
2002-01-03,1680056000
2002-01-04,1718962560
2002-01-07,1779090880
2002-01-08,1860440960
2002-01-09,1796775680
2002-01-10,1835682240
2002-01-11,1810923520
2002-01-14,1782627840
2002-01-15,1832145280
2002-01-16,1817997440
2002-01-17,1860440960
2002-01-18,1867514880
2002-01-22,1867514880
2002-01-23,1902884480
2002-01-24,1963012800
2002-01-25,1959475840
2002-01-28,2062047680
2002-01-29,2040825919
2002-01-30,2072658560
2002-01-31,2040825919
2002-02-01,2030215040
2002-02-04,1941791040
2002-02-05,1938254080
2002-02-06,1892273599
2002-02-07,1863977919
2002-02-08,1927643200
2002-02-11,2005456320
2002-02-12,1945328000
2002-02-13,1970086720
2002-02-14,1955938880
2002-02-15,1948864960
2002-02-19,1924106240
2002-02-20,1980697599
2002-02-21,1977160640
2002-02-22,1977160640
2002-02-25,1955938880
2002-02-26,2005456320
2002-02-27,2207063040
2002-02-28,2203526080
2002-03-01,2207063040
2002-03-04,2295487040
2002-03-05,2122176000
2002-03-06,2111565120
2002-03-07,2210600000
2002-03-08,2129249919
2002-03-11,2122176000
2002-03-12,2164619520
2002-03-13,2203526080
2002-03-14,2242432640
2002-03-15,2302560960
2002-03-18,2267191360
2002-03-19,2323782720
2002-03-20,2299024000
2002-03-21,2189378240
2002-03-22,2249506560
2002-03-25,2221210880
2002-03-26,2260117440
2002-03-27,2277802240
2002-03-28,2242432640
2002-04-01,2225323320
2002-04-02,2168536760
2002-04-03,2133045160
2002-04-04,2204028360
2002-04-05,2289208200
2002-04-08,2349543920
2002-04-09,2424076280
2002-04-10,2399232160
2002-04-11,2338896440
2002-04-12,2370838880
2002-04-15,2328248960
2002-04-16,2416977960
2002-04-17,2452469560
2002-04-18,2480862840
2002-04-19,2459567880
2002-04-22,2388584680
2002-04-23,2512805280
2002-04-24,2484412000
2002-04-25,2519903600
2002-04-26,2441822080
2002-04-29,2409879640
2002-04-30,2484412000
2002-05-01,2466666200
2002-05-02,2534100240
2002-05-03,2477313680
2002-05-06,2427625440
2002-05-07,2399232160
2002-05-08,2456018720
2002-05-09,2516354440
2002-05-10,2484412000
2002-05-13,2480862840
2002-05-14,2576690160
2002-05-15,2615730920
2002-05-16,2587337640
2002-05-17,2658320840
2002-05-20,2619280080
2002-05-21,2523452760
2002-05-22,2413428800
2002-05-23,2395683000
2002-05-24,2445371240
2002-05-28,2345994760
2002-05-29,2267913240
2002-05-30,2239519960
2002-05-31,2317601480
2002-06-03,2225323320
2002-06-04,2122397680
2002-06-05,2306954000
2002-06-06,2342445600
2002-06-07,2431174600
2002-06-10,2498608640
2002-06-11,2416977960
2002-06-12,2402781320
2002-06-13,2328248960
2002-06-14,2328248960
2002-06-17,2427625440
2002-06-18,2452469560
2002-06-19,2452469560
2002-06-20,2406330480
2002-06-21,2441822080
2002-06-24,2356642240
2002-06-25,2267913240
2002-06-26,2360191400
2002-06-27,2445371240
2002-06-28,2434723760
2002-07-01,2338896440
2002-07-02,2271462400
2002-07-03,2235970800
2002-07-05,2289208200
2002-07-08,2285659040
2002-07-09,2186282560
2002-07-10,2058512800
2002-07-11,2058512800
2002-07-12,2015922880
2002-07-15,1930743040
2002-07-16,1863309000
2002-07-17,1838464880
2002-07-18,1810071599
2002-07-19,1731990080
2002-07-22,1707145959
2002-07-23,1607769480
2002-07-24,1863309000
2002-07-25,1845563200
2002-07-26,1941390520
2002-07-29,2193380880
2002-07-30,2086906080
2002-07-31,2023021200
2002-08-01,1980431280
2002-08-02,1980431280
2002-08-05,1927193880
2002-08-06,2086906080
2002-08-07,2058512800
2002-08-08,2083356920
2002-08-09,2179184240
2002-08-12,2108201040
2002-08-13,2204028360
2002-08-14,2264364080
2002-08-15,2395683000
2002-08-16,2416977960
2002-08-19,2416977960
2002-08-20,2424076280
2002-08-21,2395683000
2002-08-22,2395683000
2002-08-23,2353093080
2002-08-26,2388584680
2002-08-27,2353093080
2002-08-28,2282109880
2002-08-29,2218225000
2002-08-30,2186282560
2002-09-03,2317601480
2002-09-04,2562493520
2002-09-05,2459567880
2002-09-06,2587337640
2002-09-09,2605083440
2002-09-10,2605083440
2002-09-11,2594435960
2002-09-12,2487961160
2002-09-13,2573141000
2002-09-16,2576690160
2002-09-17,2523452760
2002-09-18,2580239320
2002-09-19,2530551080
2002-09-20,2498608640
2002-09-23,2441822080
2002-09-24,2374388040
2002-09-25,2456018720
2002-09-26,2491510320
2002-09-27,2406330480
2002-09-30,2277836800
2002-10-01,2260041200
2002-10-02,2206654400
2002-10-03,2231568240
2002-10-04,2224450000
2002-10-07,2110558160
2002-10-08,2199536160
2002-10-09,2114117280
2002-10-10,2160385840
2002-10-11,2270718560
2002-10-14,2327664480
2002-10-15,2580362000
2002-10-16,2477147520
2002-10-17,2637307920
2002-10-18,2594598480
2002-10-21,2619512320
2002-10-22,2615953200
2002-10-23,2829500400
2002-10-24,2836618640
2002-10-25,2836618640
2002-10-28,2733404160
2002-10-29,2729845040
2002-10-30,2640867040
2002-10-31,2647985280
2002-11-01,2793909200
2002-11-04,2736963280
2002-11-05,2712049440
2002-11-06,2808145680
2002-11-07,2722726800
2002-11-08,2647985280
2002-11-11,2537652560
2002-11-12,2715608560
2002-11-13,2751199760
2002-11-14,2765436240
2002-11-15,2804586560
2002-11-18,2829500400
2002-11-19,2804586560
2002-11-20,2893564560
2002-11-21,3003897280
2002-11-22,2904241920
2002-11-25,2957628720
2002-11-26,2882887200
2002-11-27,3014574640
2002-11-29,3028811120
2002-12-02,3067961439
2002-12-03,3018133760
2002-12-04,3035929360
2002-12-05,2939833120
2002-12-06,3018133760
2002-12-09,2754758880
2002-12-10,2865091600
2002-12-11,2875768960
2002-12-12,2957628720
2002-12-13,2893564560
2002-12-16,2961187840
2002-12-17,2939833120
2002-12-18,2818823040
2002-12-19,2861532479
2002-12-20,2971865200
2002-12-23,2879328080
2002-12-24,2854414240
2002-12-26,2900682800
2002-12-27,2804586560
2002-12-30,2974013760
2002-12-31,2970404520
2003-01-02,3042589320
2003-01-03,2999278440
2003-01-06,3049807799
2003-01-07,3121992600
2003-01-08,3035370840
2003-01-09,3013715400
2003-01-10,3013715400
2003-01-13,2883782760
2003-01-14,2739413160
2003-01-15,2775505560
2003-01-16,2807988720
2003-01-17,2728585440
2003-01-21,2631135960
2003-01-22,2930702879
2003-01-23,2945139840
2003-01-24,2898219720
2003-01-27,2833253400
2003-01-28,2862127320
2003-01-29,2883782760
2003-01-30,2909047440
2003-01-31,2883782760
2003-02-03,2905438200
2003-02-04,2876564280
2003-02-05,2941530600
2003-02-06,2912656680
2003-02-07,2811597960
2003-02-10,2833253400
2003-02-11,2826034920
2003-02-12,2779114800
2003-02-13,2739413160
2003-02-14,2869345800
2003-02-18,2959576799
2003-02-19,2927093640
2003-02-20,2934312120
2003-02-21,2999278440
2003-02-24,2862127320
2003-02-25,3064244760
2003-02-26,3064244760
2003-02-27,3111164879
2003-02-28,3223051320
2003-03-03,3197786640
2003-03-04,3140038799
2003-03-05,3190568160
2003-03-06,3237488280
2003-03-07,3298845360
2003-03-10,3233879040
2003-03-11,3262752959
2003-03-12,3327719280
2003-03-13,3367420920
2003-03-14,3334937760
2003-03-17,3500962799
2003-03-18,3475698120
2003-03-19,3486525840
2003-03-20,3519009000
2003-03-21,3602021520
2003-03-24,3417950280
2003-03-25,3583975320
2003-03-26,3475698120
2003-03-27,3475698120
2003-03-28,3454042680
2003-03-31,3517546080
2003-04-01,3469813199
2003-04-02,3535904880
2003-04-03,3565278960
2003-04-04,3535904880
2003-04-07,3635042400
2003-04-08,3579966000
2003-04-09,3517546080
2003-04-10,3576294240
2003-04-11,3535904880
2003-04-14,3528561360
2003-04-15,3513874320
2003-04-16,3403721520
2003-04-17,3499187280
2003-04-21,3535904880
2003-04-22,3903080880
2003-04-23,3917767920
2003-04-24,3873706800
2003-04-25,3778241039
2003-04-28,3947142000
2003-04-29,3983859600
2003-04-30,3994874880
2003-05-01,3950813760
2003-05-02,4049951280
2003-05-05,4075653600
2003-05-06,4152760560
2003-05-07,4149088800
2003-05-08,4097684160
2003-05-09,4178462880
2003-05-12,4284943920
2003-05-13,4288615680
2003-05-14,4303302720
2003-05-15,4196821680
2003-05-16,4152760560
2003-05-19,3958157280
2003-05-20,3969172560
2003-05-21,4108699440
2003-05-22,4130730000
2003-05-23,4101355920
2003-05-27,4185806400
2003-05-28,4347363840
2003-05-29,4332676800
2003-05-30,4508921280
2003-06-02,4666806960
2003-06-03,4633761120
2003-06-04,4692509280
2003-06-05,4854066720
2003-06-06,4832036160
2003-06-09,4718211600
2003-06-10,4666806960
2003-06-11,4699852800
2003-06-12,4740242160
2003-06-13,4743913920
2003-06-16,4758600960
2003-06-17,4575012960
2003-06-18,4663135200
2003-06-19,4677822240
2003-06-20,4663135200
2003-06-23,4497906000
2003-06-24,4483218960
2003-06-25,4611730560
2003-06-26,4663135200
2003-06-27,4586028240
2003-06-30,4567669440
2003-07-01,4674150480
2003-07-02,4696181040
2003-07-03,4674150480
2003-07-07,4850394960
2003-07-08,5155151040
2003-07-09,5070700560
2003-07-10,4997265360
2003-07-11,5078044080
2003-07-14,5070700560
2003-07-15,5044998240
2003-07-16,4964219520
2003-07-17,4839379680
2003-07-18,4832036160
2003-07-21,4916486640
2003-07-22,4942188960
2003-07-23,4923830160
2003-07-24,4876097280
2003-07-25,4934845440
2003-07-28,5081715840
2003-07-29,4975234800
2003-07-30,4898127840
2003-07-31,4865082000
2003-08-01,4876097280
2003-08-04,4846723200
2003-08-05,4795318560
2003-08-06,4670478720
2003-08-07,4765944480
2003-08-08,4927501920
2003-08-11,4854066720
2003-08-12,4945860720
2003-08-13,5026639440
2003-08-14,4949532480
2003-08-15,5041326480
2003-08-18,5030311200
2003-08-19,5030311200
2003-08-20,5125776960
2003-08-21,5188196880
2003-08-22,5092731120
2003-08-25,5041326480
2003-08-26,5052341760
2003-08-27,5210227440
2003-08-28,5265303840
2003-08-29,5327723760
2003-09-02,5335067280
2003-09-03,5441548320
2003-09-04,5415846000
2003-09-05,5268975600
2003-09-08,5243273280
2003-09-09,5133120480
2003-09-10,5151479280
2003-09-11,5228586240
2003-09-12,5261632080
2003-09-15,5313036720
2003-09-16,5408502480
2003-09-17,5415846000
2003-09-18,5382800160
2003-09-19,5386471920
2003-09-22,5324052000
2003-09-23,5305693200
2003-09-24,5184525120
2003-09-25,5140464000
2003-09-26,4982578320
2003-09-29,5016055480
2003-09-30,5056806300
2003-10-01,5264265020
2003-10-02,5264265020
2003-10-03,5427268300
2003-10-06,5490246840
2003-10-07,5390222100
2003-10-08,5330948180
2003-10-09,5538406900
2003-10-10,5482837600
2003-10-13,5519883800
2003-10-14,5694000940
2003-10-15,5838481120
2003-10-16,5779207200
2003-10-17,5819958020
2003-10-20,5823662640
2003-10-21,6271921660
2003-10-22,6186715400
2003-10-23,6253398560
2003-10-24,6231170840
2003-10-27,6390469500
2003-10-28,6542358920
2003-10-29,6701657580
2003-10-30,6623860560
2003-10-31,6571995879
2003-11-03,6838728520
2003-11-04,6742408400
2003-11-05,6768340740
2003-11-06,6760931500
2003-11-07,6753522260
2003-11-10,6694248340
2003-11-11,6746113020
2003-11-12,7020254900
2003-11-13,7012845660
2003-11-14,6983208700
2003-11-17,6801682320
2003-11-18,6760931500
2003-11-19,6597928220
2003-11-20,6431220320
2003-11-21,6712771440
2003-11-24,7094347299
2003-11-25,7109165780
2003-11-26,7238827480
2003-11-28,7379603040
2003-12-01,7394421520
2003-12-02,7224009000
2003-12-03,7112870400
2003-12-04,6875774720
2003-12-05,6797977700
2003-12-08,6668316000
2003-12-09,6668316000
2003-12-10,6549768160
2003-12-11,6642383660
2003-12-12,6723885299
2003-12-15,6564586640
2003-12-16,6405287980
2003-12-17,6546063540
2003-12-18,6753522260
2003-12-19,6853547000
2003-12-22,6749817640
2003-12-23,6890593200
2003-12-24,6835023900
2003-12-26,6946162500
2003-12-29,6979063920
2003-12-30,6934182480
2003-12-31,7061346560
2004-01-02,6908001640
2004-01-05,7061346560
2004-01-06,7252092680
2004-01-07,7117448360
2004-01-08,6911741760
2004-01-09,6848159719
2004-01-12,6724735760
2004-01-13,6567650719
2004-01-14,6769617200
2004-01-15,6743436360
2004-01-16,6829459120
2004-01-20,6724735760
2004-01-21,6676114200
2004-01-22,6739696240
2004-01-23,6683594440
2004-01-26,6597571680
2004-01-27,6519029160
2004-01-28,6384384840
2004-01-29,6418045920
2004-01-30,6623752520
2004-02-02,6679854320
2004-02-03,6780837560
2004-02-04,6851899840
2004-02-05,7005244760
2004-02-06,7080047160
2004-02-09,7113708240
2004-02-10,7154849560
2004-02-11,7225911840
2004-02-12,7285753760
2004-02-13,7173550160
2004-02-17,7360556160
2004-02-18,7439098680
2004-02-19,7480240000
2004-02-20,7360556160
2004-02-23,7109968120
2004-02-24,7252092680
2004-02-25,7255832799
2004-02-26,7293234000
2004-02-27,7412917840
2004-03-01,7805630440
2004-03-02,7876692719
2004-03-03,7944014879
2004-03-04,8101099920
2004-03-05,8089879560
2004-03-08,8168422080
2004-03-09,7869212480
2004-03-10,7674726240
2004-03-11,7570002879
2004-03-12,7599923840
2004-03-15,7498940600
2004-03-16,7506420840
2004-03-17,7689686719
2004-03-18,7607404080
2004-03-19,7540081920
2004-03-22,7371776520
2004-03-23,7454059160
2004-03-24,7562522640
2004-03-25,7775709480
2004-03-26,7771969360
2004-03-29,7956521100
2004-03-30,7956521100
2004-03-31,7748631000
2004-04-01,7620117120
2004-04-02,7786429200
2004-04-05,7990539480
2004-04-06,8039677140
2004-04-07,7948961460
2004-04-08,7782649380
2004-04-12,7869585240
2004-04-13,7703273160
2004-04-14,7586098740
2004-04-15,7635236400
2004-04-16,7533181260
2004-04-19,7465144500
2004-04-20,7820447580
2004-04-21,7998099120
2004-04-22,8406319679
2004-04-23,8315604000
2004-04-26,8330723280
2004-04-27,8504595000
2004-04-28,8292925080
2004-04-29,8141732280
2004-04-30,8051016600
2004-05-03,8270246160
2004-05-04,8221108500
2004-05-05,8289145260
2004-05-06,7907383440
2004-05-07,7805328299
2004-05-10,7744851179
2004-05-11,7952741280
2004-05-12,7869585240
2004-05-13,7771309919
2004-05-14,7793988840
2004-05-17,7487823419
2004-05-18,7676814419
2004-05-19,7707052980
2004-05-20,7484043600
2004-05-21,7578539100
2004-05-24,7899823799
2004-05-25,8043456960
2004-05-26,8039677140
2004-05-27,8145512100
2004-05-28,8243787419
2004-06-01,8296704900
2004-06-02,8300484720
2004-06-03,8243787419
2004-06-04,8202209400
2004-06-07,8391200400
2004-06-08,8500815179
2004-06-09,8500815179
2004-06-10,8636888700
2004-06-14,8338282919
2004-06-15,8145512100
2004-06-16,8202209400
2004-06-17,8126613000
2004-06-18,8092594620
2004-06-21,8100154260
2004-06-22,8296704900
2004-06-23,8478136260
2004-06-24,8580191400
2004-06-25,8568851940
2004-06-28,8553732660
2004-06-29,8447897700
2004-06-30,8542393200
2004-07-01,8731384200
2004-07-02,8712485100
2004-07-06,8523471550
2004-07-07,8708682240
2004-07-08,8538590790
2004-07-09,8670884140
2004-07-12,8689783190
2004-07-13,8678443760
2004-07-14,8546150410
2004-07-15,8387398390
2004-07-16,8043435680
2004-07-19,7975399100
2004-07-20,8270224280
2004-07-21,8100132830
2004-07-22,7903582710
2004-07-23,7707032590
2004-07-26,7642775820
2004-07-27,7964059670
2004-07-28,8005637580
2004-07-29,8179508840
2004-07-30,8085013590
2004-08-02,8134151120
2004-08-03,7582298859
2004-08-04,7204317859
2004-08-05,7223216910
2004-08-06,7087143750
2004-08-09,6826336859
2004-08-10,7072024510
2004-08-11,7245895770
2004-08-12,7019107170
2004-08-13,7045565840
2004-08-16,7276134250
2004-08-17,7434886270
2004-08-18,7484023800
2004-08-19,7574739240
2004-08-20,7759949930
2004-08-23,7620096960
2004-08-24,7635216200
2004-08-25,7627656580
2004-08-26,7744830689
2004-08-27,7952720240
2004-08-30,7896023090
2004-08-31,7964059670
2004-09-01,7971619290
2004-09-02,8194628080
2004-09-03,8228646370
2004-09-07,8221086750
2004-09-08,8334481050
2004-09-09,8243765609
2004-09-10,8478113830
2004-09-13,8428976300
2004-09-14,8376058960
2004-09-15,8300462760
2004-09-16,8247545420
2004-09-17,8221086750
2004-09-20,8179508840
2004-09-21,8213527130
2004-09-22,8020756820
2004-09-23,8066114540
2004-09-24,8145490550
2004-09-27,8001857770
2004-09-28,8058554920
2004-09-29,8217306939
2004-09-30,8016977010
2004-10-01,8145490550
2004-10-04,8163698080
2004-10-05,8034717720
2004-10-06,8175078700
2004-10-07,8004369400
2004-10-08,7913324440
2004-10-11,7943672760
2004-10-12,7678124959
2004-10-13,7568112300
2004-10-14,7606047700
2004-10-15,7613634780
2004-10-18,7662950800
2004-10-19,7625015400
2004-10-20,7526383360
2004-10-21,7716060360
2004-10-22,7920911520
2004-10-25,7913324440
2004-10-26,8452007120
2004-10-27,8687206600
2004-10-28,8721348460
2004-10-29,8846535280
2004-11-01,8744109700
2004-11-02,8755490320
2004-11-03,8876883600
2004-11-04,8990689800
2004-11-05,9115876620
2004-11-08,8952754400
2004-11-09,8929993160
2004-11-10,8960341480
2004-11-11,8994483340
2004-11-12,9172779720
2004-11-15,9339695480
2004-11-16,9320727780
2004-11-17,9309347160
2004-11-18,9502817700
2004-11-19,9225889280
2004-11-22,9335901940
2004-11-23,9434533980
2004-11-24,9445914600
2004-11-26,9434533980
2004-11-29,9389011500
2004-11-30,9453501680
2004-12-01,9681114080
2004-12-02,9984597280
2004-12-03,9950455420
2004-12-06,9999771440
2004-12-07,9942868340
2004-12-08,10022532680
2004-12-09,10030119760
2004-12-10,10170480740
2004-12-13,10595357220
2004-12-14,10614324920
2004-12-15,10477757480
2004-12-16,10477757480
2004-12-17,10413267300
2004-12-20,10432235000
2004-12-21,10348777120
2004-12-22,10458789780
2004-12-23,10492931640
2004-12-27,10568802440
2004-12-28,10800208380
2004-12-29,10822969620
2004-12-30,10773653600
2004-12-31,10697782800
2005-01-03,10460597250
2005-01-04,10225186350
2005-01-05,10232780250
2005-01-06,10441612500
2005-01-07,10509957600
2005-01-10,10650444750
2005-01-11,10574505750
2005-01-12,10422627750
2005-01-13,10445409450
2005-01-14,10589693550
2005-01-18,10749165450
2005-01-19,10536536250
2005-01-20,10403643000
2005-01-21,10202404650
2005-01-24,10027744950
2005-01-25,10373267400
2005-01-26,10217592450
2005-01-27,10263155850
2005-01-28,10426424700
2005-01-31,10650444750
2005-02-01,10669429500
2005-02-02,10692211200
2005-02-03,10696008150
2005-02-04,10555521000
2005-02-07,10669429500
2005-02-08,10487175900
2005-02-09,10183419900
2005-02-10,10251765000
2005-02-11,10308719250
2005-02-14,10156841250
2005-02-15,10179622950
2005-02-16,10327704000
2005-02-17,10426424700
2005-02-18,10536536250
2005-02-22,10282140600
2005-02-23,10453003350
2005-02-24,10578302700
2005-02-25,10752962400
2005-02-28,10544130150
2005-03-01,10650444750
2005-03-02,10870667850
2005-03-03,11273144550
2005-03-04,11295926250
2005-03-07,11280738450
2005-03-08,11018748900
2005-03-09,10920028200
2005-03-10,11098484850
2005-03-11,11227581150
2005-03-14,11178220800
2005-03-15,11098484850
2005-03-16,10870667850
2005-03-17,10870667850
2005-03-18,10752962400
2005-03-21,10593490500
2005-03-22,10684617300
2005-03-23,10570708800
2005-03-24,10703602050
2005-03-28,10832698350
2005-03-29,10642850850
2005-03-30,10790931900
2005-03-31,10752962400
2005-04-01,10551724050
2005-04-04,10680565140
2005-04-05,10919682270
2005-04-06,10893113700
2005-04-07,10760270850
2005-04-08,10570495350
2005-04-11,10468016580
2005-04-12,10555313310
2005-04-13,10464221070
2005-04-14,10031532930
2005-04-15,9572276220
2005-04-18,9583662750
2005-04-19,9891099060
2005-04-20,9670959480
2005-04-21,9917667630
2005-04-22,9777233760
2005-04-25,9989782320
2005-04-26,10536335760
2005-04-27,10585677390
2005-04-28,10319991690
2005-04-29,10171966800
2005-05-02,10380719850
2005-05-03,10426265970
2005-05-04,10608450450
2005-05-05,10748884320
2005-05-06,10760270850
2005-05-09,10896909210
2005-05-10,10449039030
2005-05-11,10885522680
2005-05-12,10562904330
2005-05-13,10669178610
2005-05-16,10923477780
2005-05-17,11003183490
2005-05-18,11291642250
2005-05-19,11291642250
2005-05-20,11139821850
2005-05-23,11181572460
2005-05-24,11173981440
2005-05-25,11090480220
2005-05-26,11071502670
2005-05-27,11120844300
2005-05-31,11022161040
2005-06-01,11640829170
2005-06-02,12172200570
