,KMI
2013-11-06,36390600000
2013-11-07,35997300000
2013-11-08,36225000000
2013-11-11,35914500000
2013-11-12,35811000000
2013-11-13,35738550000
2013-11-14,36245700000
2013-11-15,36587250000
2013-11-18,36866700000
2013-11-19,36504450000
2013-11-20,36514800000
2013-11-21,36514800000
2013-11-22,36763200000
2013-11-25,37177200000
2013-11-26,37115100000
2013-11-27,37094400000
2013-11-29,36783900000
2013-12-02,36432000000
2013-12-03,36266400000
2013-12-04,34600050000
2013-12-05,34134299999
2013-12-06,34682850000
2013-12-09,34517250000
2013-12-10,34041150000
2013-12-11,33720300000
2013-12-12,34030800000
2013-12-13,33979050000
2013-12-16,33844500000
2013-12-17,34600050000
2013-12-18,35531550000
2013-12-19,35976600000
2013-12-20,36452700000
2013-12-23,36732150000
2013-12-24,36752850000
2013-12-26,36959850000
2013-12-27,37166850000
2013-12-30,37477350000
2013-12-31,37008079200
2014-01-02,36915559002
2014-01-03,36977239134
2014-01-06,36956679090
2014-01-07,37203399618
2014-01-08,37008079200
2014-01-09,36915559002
2014-01-10,36905278980
2014-01-13,36452958012
2014-01-14,36494078100
2014-01-15,36483798078
2014-01-16,36545478210
2014-01-17,36566038254
2014-01-21,36740798628
2014-01-22,37409000058
2014-01-23,37049199288
2014-01-24,36463238034
2014-01-27,36658558452
2014-01-28,36894998958
2014-01-29,35054875020
2014-01-30,35281035504
2014-01-31,34962354822
2014-02-03,34253033304
2014-02-04,34602554052
2014-02-05,34170793128
2014-02-06,34571713986
2014-02-07,34941794778
2014-02-10,34736194338
2014-02-11,34890394668
2014-02-12,34777314426
2014-02-13,34602554052
2014-02-14,34725914316
2014-02-18,34653954162
2014-02-19,34078272930
2014-02-20,34160513105
2014-02-21,33954912666
2014-02-24,32998870620
2014-02-25,33810992358
2014-02-26,33070830774
2014-02-27,32762430114
2014-02-28,32741870070
2014-03-03,32525989608
2014-03-04,32947470509
2014-03-05,33101670840
2014-03-06,33194191038
2014-03-07,32896070400
2014-03-10,32690469960
2014-03-11,32474589498
2014-03-12,32166188838
2014-03-13,31826948112
2014-03-14,32587669740
2014-03-17,32567109696
2014-03-18,32443749432
2014-03-19,31929748332
2014-03-20,32361509256
2014-03-21,32022268530
