,MHK
2000-06-15,1207945250
2000-06-16,1154109250
2000-06-19,1167568250
2000-06-20,1181027250
2000-06-21,1127191250
2000-06-22,1117097000
2000-06-23,1127191250
2000-06-26,1167568250
2000-06-27,1207945250
2000-06-28,1214674750
2000-06-29,1295428750
2000-06-30,1170091812
2000-07-03,1287602250
2000-07-05,1237823812
2000-07-06,1247779500
2000-07-07,1284283687
2000-07-10,1307513625
2000-07-11,1290920812
2000-07-12,1277646562
2000-07-13,1290920812
2000-07-14,1324106437
2000-07-17,1300876500
2000-07-18,1284283687
2000-07-19,1280965125
2000-07-20,1307513625
2000-07-21,1304195062
2000-07-24,1304195062
2000-07-25,1330743562
2000-07-26,1377203437
2000-07-27,1377203437
2000-07-28,1373884875
2000-07-31,1417026187
2000-08-01,1433619000
2000-08-02,1423663312
2000-08-03,1400433375
2000-08-04,1423663312
2000-08-07,1446893250
2000-08-08,1453530375
2000-08-09,1433619000
2000-08-10,1390477687
2000-08-11,1426981875
2000-08-14,1426981875
2000-08-15,1413707625
2000-08-16,1410389062
2000-08-17,1380522000
2000-08-18,1370566312
2000-08-21,1370566312
2000-08-22,1397114812
2000-08-23,1344017812
2000-08-24,1350654937
2000-08-25,1324106437
2000-08-28,1274328000
2000-08-29,1300876500
2000-08-30,1267690875
2000-08-31,1261053750
2000-09-01,1287602250
2000-09-05,1244460937
2000-09-06,1407070500
2000-09-07,1436937562
2000-09-08,1373884875
2000-09-11,1350654937
2000-09-12,1363929187
2000-09-13,1304195062
2000-09-14,1271009437
2000-09-15,1237823812
2000-09-18,1188045375
2000-09-19,1174771125
2000-09-20,1148222625
2000-09-21,1128311250
2000-09-22,1168134000
2000-09-25,1191363937
2000-09-26,1168134000
2000-09-27,1161496875
2000-09-28,1207956750
2000-09-29,1158178312
2000-10-02,1125761500
2000-10-03,1115943812
2000-10-04,1125761500
2000-10-05,1155214562
2000-10-06,1158487125
2000-10-09,1135579187
2000-10-10,1109398687
2000-10-11,1034129750
2000-10-12,1011221812
2000-10-13,1021039500
2000-10-16,1034129750
2000-10-17,1004676687
2000-10-18,1011221812
2000-10-19,1053765125
2000-10-20,1053765125
2000-10-23,1024312062
2000-10-24,1024312062
2000-10-25,1017766937
2000-10-26,1060310250
2000-10-27,1057037687
2000-10-30,1109398687
2000-10-31,1142124312
2000-11-01,1129034062
2000-11-02,1132306625
2000-11-03,1135579187
2000-11-06,1138851750
2000-11-07,1119216375
2000-11-08,1109398687
2000-11-09,1083218187
2000-11-10,1073400500
2000-11-13,1096308437
2000-11-14,1119216375
2000-11-15,1112671250
2000-11-16,1132306625
2000-11-17,1148669437
2000-11-20,1171577375
2000-11-21,1168304812
2000-11-22,1155214562
2000-11-24,1165032250
2000-11-27,1214120687
2000-11-28,1201030437
2000-11-29,1246846312
2000-11-30,1240301187
2000-12-01,1292662187
2000-12-04,1263209125
2000-12-05,1318842687
2000-12-06,1309025000
2000-12-07,1318842687
2000-12-08,1345023187
2000-12-11,1364658562
2000-12-12,1325387812
2000-12-13,1282844500
2000-12-14,1289389625
2000-12-15,1305752437
2000-12-18,1305752437
2000-12-19,1292662187
2000-12-20,1256664000
2000-12-21,1269754250
2000-12-22,1325387812
2000-12-26,1318842687
2000-12-27,1449745187
2000-12-28,1518469000
2000-12-29,1433382375
2001-01-02,1426837250
2001-01-03,1492288500
2001-01-04,1547922062
2001-01-05,1547922062
2001-01-08,1610100750
2001-01-09,1597010500
2001-01-10,1570830000
2001-01-11,1570830000
2001-01-12,1616645875
2001-01-16,1652644062
2001-01-17,1623191000
2001-01-18,1623191000
2001-01-19,1570830000
2001-01-22,1593737937
2001-01-23,1626463562
2001-01-24,1580647687
2001-01-25,1616645875
2001-01-26,1580647687
2001-01-29,1615336850
2001-01-30,1605911870
2001-01-31,1649371500
2001-02-01,1686024252
2001-02-02,1672410392
2001-02-05,1669792237
2001-02-06,1673981117
2001-02-07,1647800617
2001-02-08,1610100750
2001-02-09,1539937010
2001-02-12,1552503650
2001-02-13,1562452240
2001-02-14,1570830000
2001-02-15,1606959142
2001-02-16,1611147970
2001-02-20,1649895110
2001-02-21,1674504780
2001-02-22,1647800617
2001-02-23,1617954900
2001-02-26,1626332607
2001-02-27,1598581382
2001-02-28,1568212002
2001-03-01,1557216140
2001-03-02,1582873030
2001-03-05,1621620117
2001-03-06,1581302252
2001-03-07,1600152107
2001-03-08,1620049392
2001-03-09,1619525730
2001-03-12,1614289630
2001-03-13,1572400882
2001-03-14,1519516220
2001-03-15,1549361990
2001-03-16,1513232900
2001-03-19,1516374507
2001-03-20,1528417642
2001-03-21,1437309502
2001-03-22,1448305260
2001-03-23,1434167737
2001-03-26,1499618987
2001-03-27,1510614850
2001-03-28,1471344100
2001-03-29,1492812110
2001-03-30,1470296880
2001-04-02,1492194247
2001-04-03,1466583907
2001-04-04,1494807600
2001-04-05,1553868180
2001-04-06,1529825820
2001-04-09,1571115907
2001-04-10,1573729312
2001-04-11,1470765187
2001-04-12,1560662812
2001-04-16,1509964687
2001-04-17,1536620400
2001-04-18,1580523840
2001-04-19,1594113000
2001-04-20,1620246000
2001-04-23,1623381907
2001-04-24,1646379000
2001-04-25,1682965252
2001-04-26,1735231252
2001-04-27,1754569620
2001-04-30,1707007559
2001-05-01,1703348940
2001-05-02,1686623820
2001-05-03,1652650972
2001-05-04,1666762687
2001-05-07,1650037620
2001-05-08,1616064720
2001-05-09,1573206600
2001-05-10,1600384972
2001-05-11,1567980000
2001-05-14,1565366752
2001-05-15,1567980000
2001-05-16,1567980000
2001-05-17,1633312500
2001-05-18,1599339600
2001-05-21,1595158320
2001-05-22,1588363687
2001-05-23,1570593247
2001-05-24,1609792747
2001-05-25,1618155307
2001-05-29,1652128312
2001-05-30,1630699252
2001-05-31,1674079927
2001-06-01,1675648012
2001-06-04,1667285400
2001-06-05,1683487807
2001-06-06,1709098252
2001-06-07,1708052880
2001-06-08,1713802192
2001-06-11,1732618004
2001-06-12,1744639132
2001-06-13,1775998679
2001-06-14,1759273559
2001-06-15,1745684504
2001-06-18,1717983367
2001-06-19,1717983367
2001-06-20,1730004495
2001-06-21,1834536495
2001-06-22,1804744927
2001-06-25,1790110500
2001-06-26,1820424884
2001-06-27,1829310000
2001-06-28,1853352307
2001-06-29,1839763252
2001-07-02,1839661095
2001-07-03,1834420000
2001-07-05,1826034080
2001-07-06,1788821612
2001-07-09,1768380984
2001-07-10,1782532015
2001-07-11,1782008000
2001-07-12,1833371759
2001-07-13,1860626000
2001-07-16,1877922064
2001-07-17,2136837240
2001-07-18,2156229627
2001-07-19,2220172372
2001-07-20,2190821547
2001-07-23,2208117612
2001-07-24,2198683452
2001-07-25,2192918080
2001-07-26,2250047160
2001-07-27,2294597307
2001-07-30,2342292227
2001-07-31,2306128000
2001-08-01,2299314387
2001-08-02,2245854095
2001-08-03,2258433080
2001-08-06,2287783904
2001-08-07,2302459160
2001-08-08,2316610452
2001-08-09,2264722467
2001-08-10,2264722467
2001-08-13,2308748547
2001-08-14,2308748547
2001-08-15,2265770760
2001-08-16,2306128000
2001-08-17,2258957095
2001-08-20,2258957095
2001-08-21,2184532160
2001-08-22,2179815080
2001-08-23,2178242772
2001-08-24,2222792920
2001-08-27,2255288307
2001-08-28,2231703064
2001-08-29,2277301452
2001-08-30,2251095452
2001-08-31,2337575095
2001-09-04,2422482692
2001-09-05,2248474904
2001-09-06,2251095452
2001-09-07,2185580452
2001-09-10,2121113692
2001-09-17,1884735467
2001-09-18,1865867095
2001-09-19,1737981919
2001-09-20,1706010547
2001-09-21,1569215332
2001-09-24,1680328772
2001-09-25,1848571240
2001-09-26,1840709387
2001-09-27,1876349547
2001-09-28,1926141000
2001-10-01,2034480112
2001-10-02,2117360056
2001-10-03,2212559888
2001-10-04,2217040000
2001-10-05,2161040000
2001-10-08,2130799944
2001-10-09,2137519888
2001-10-10,2298799944
2001-10-11,2323440112
2001-10-12,2329040000
2001-10-15,2261839944
2001-10-16,2356480112
2001-10-17,2400160056
2001-10-18,2411920000
2001-10-19,2466240056
2001-10-22,2567599888
2001-10-23,2533440112
2001-10-24,2505440112
2001-10-25,2516080000
2001-10-26,2520559888
2001-10-29,2551360056
2001-10-30,2460639944
2001-10-31,2419200056
2001-11-01,2469040000
2001-11-02,2519440112
2001-11-05,2654960000
2001-11-06,2667839944
2001-11-07,2676240056
2001-11-08,2674000000
2001-11-09,2657759944
2001-11-12,2744559888
2001-11-13,2864400112
2001-11-14,2906400112
2001-11-15,2870000000
2001-11-16,2857120000
2001-11-19,2877280056
2001-11-20,2647679944
2001-11-21,2615200056
2001-11-23,2668400112
2001-11-26,2588320056
2001-11-27,2507120000
2001-11-28,2466240056
2001-11-29,2601200056
2001-11-30,2568160056
2001-12-03,2520000000
2001-12-04,2540160056
2001-12-05,2676799944
2001-12-06,2793280056
2001-12-07,2815120000
2001-12-10,2990400112
2001-12-11,2909759944
2001-12-12,2946719944
2001-12-13,2903040000
2001-12-14,2882880000
2001-12-17,2941120000
2001-12-18,2962960000
2001-12-19,2964080000
2001-12-20,2968559888
2001-12-21,2977519888
2001-12-24,3024000000
2001-12-26,3063200056
2001-12-27,3079440112
2001-12-28,3080559888
2001-12-31,2977569334
2002-01-02,2967260585
2002-01-03,2998729120
2002-01-04,3038878451
2002-01-07,3016633491
2002-01-08,3006867411
2002-01-09,3032910508
2002-01-10,2990048214
2002-01-11,2943930451
2002-01-14,2876653120
2002-01-15,2879365920
2002-01-16,2863089120
2002-01-17,2821854451
2002-01-18,2816428960
2002-01-22,2875568000
2002-01-23,2932536745
2002-01-24,2940132585
2002-01-25,2943388000
2002-01-28,2987335414
2002-01-29,2960207414
2002-01-30,2972686294
2002-01-31,2981909705
2002-02-01,2968345705
2002-02-04,2954239254
2002-02-05,2950983785
2002-02-06,2987877920
2002-02-07,2968345705
2002-02-08,3070889491
2002-02-11,3240710880
2002-02-12,3258615414
2002-02-13,3241796000
2002-02-14,3220636214
2002-02-15,3200561548
2002-02-19,3210870080
2002-02-20,3255360000
2002-02-21,3347595254
2002-02-22,3335658880
2002-02-25,3350850451
2002-02-26,3425723785
2002-02-27,3377436000
2002-02-28,3414330080
2002-03-01,3412702508
2002-03-04,3560821117
2002-03-05,3475096962
2002-03-06,3546714882
2002-03-07,3613992214
2002-03-08,3559193491
2002-03-11,3639492588
2002-03-12,3638949919
2002-03-13,3552140374
2002-03-14,3509820748
2002-03-15,3519586882
2002-03-18,3485405331
2002-03-19,3575470508
2002-03-20,3466958508
2002-03-21,3325892745
2002-03-22,3246136588
2002-03-25,3275434665
2002-03-26,3338914294
2002-03-27,3274349491
2002-03-28,3260243040
2002-04-01,4065296534
2002-04-02,3970142684
2002-04-03,4022105865
2002-04-04,4069345432
2002-04-05,4170572932
2002-04-08,4251555000
2002-04-09,4197567067
2002-04-10,3974866634
2002-04-11,3974866634
2002-04-12,4045725817
2002-04-15,3940449082
2002-04-16,4269775950
2002-04-17,4306892700
2002-04-18,4301494034
2002-04-19,4352782500
2002-04-22,4466157300
2002-04-23,4460083380
2002-04-24,4454010000
2002-04-25,4349408047
2002-04-26,4339285702
2002-04-29,4386525000
2002-04-30,4341310184
2002-05-01,4400021797
2002-05-02,4437813734
2002-05-03,4474255702
2002-05-06,4487752500
2002-05-07,4375727130
2002-05-08,4387874497
2002-05-09,4343334667
2002-05-10,4335236265
2002-05-13,4331862284
2002-05-14,4464132884
2002-05-15,4515421619
2002-05-16,4387874497
2002-05-17,4617998550
2002-05-20,4710453202
2002-05-21,4656465000
2002-05-22,4700330384
2002-05-23,4652416034
2002-05-24,4609225702
2002-05-28,4521495000
2002-05-29,4443887115
2002-05-30,4457384452
2002-05-31,4421616997
2002-06-03,4327138402
2002-06-04,4232659267
2002-06-05,4278549134
2002-06-06,4237383217
2002-06-07,4248180817
2002-06-10,4335911250
2002-06-11,4344684097
2002-06-12,4348733534
2002-06-13,4302168750
2002-06-14,4349408047
2002-06-17,4425666434
2002-06-18,4455359497
2002-06-19,4464807869
2002-06-20,4524869452
2002-06-21,4408120200
2002-06-24,4308917115
2002-06-25,4238732917
2002-06-26,4115910284
2002-06-27,4245481350
2002-06-28,4152351982
2002-07-01,4044188480
2002-07-02,3951971293
2002-07-03,3774219520
2002-07-05,3977364480
2002-07-08,4010108106
2002-07-09,3980705680
2002-07-10,3800949186
2002-07-11,3766868813
2002-07-12,3778897133
2002-07-15,3688684866
2002-07-16,3174140000
2002-07-17,3192182480
2002-07-18,3280390160
2002-07-19,3067221733
2002-07-22,3005743520
2002-07-23,2906844000
2002-07-24,3053856866
2002-07-25,2985696320
2002-07-26,2981018706
2002-07-29,3128031506
2002-07-30,3226931026
2002-07-31,3174140000
2002-08-01,3071230973
2002-08-02,2918872320
2002-08-05,2864076706
2002-08-06,2944265506
2002-08-07,2945602053
2002-08-08,3035814320
2002-08-09,3007748106
2002-08-12,2977677506
2002-08-13,2977677506
2002-08-14,3023786000
2002-08-15,3150083293
2002-08-16,3240964000
2002-08-19,3311797506
2002-08-20,3271702973
2002-08-21,3322489346
2002-08-22,3371938973
2002-08-23,3307788000
2002-08-26,3277717133
2002-08-27,3274376000
2002-08-28,3291750106
2002-08-29,3315138706
2002-08-30,3307788000
2002-09-03,3242968653
2002-09-04,3307788000
2002-09-05,3263684160
2002-09-06,3418047733
2002-09-09,3462819680
2002-09-10,3557041520
2002-09-11,3607159520
2002-09-12,3426066480
2002-09-13,3408024000
2002-09-16,3462819680
2002-09-17,3353896493
2002-09-18,3307788000
2002-09-19,3274376000
2002-09-20,3324494000
2002-09-23,3190177893
2002-09-24,3090610000
2002-09-25,3203542493
2002-09-26,3217575733
2002-09-27,3344541133
2002-09-30,3293135682
2002-10-01,3311707110
2002-10-02,3259972182
2002-10-03,3187675686
2002-10-04,3082878960
2002-10-07,2958847536
2002-10-08,3060991182
2002-10-09,2960174076
2002-10-10,3067623750
2002-10-11,3222165792
2002-10-14,3191655173
2002-10-15,3431095710
2002-10-16,3434411993
2002-10-17,3550484243
2002-10-18,3619464390
2002-10-21,3694413966
2002-10-22,3562423103
2002-10-23,3480177756
2002-10-24,3472881786
2002-10-25,3515331000
2002-10-28,3482830637
2002-10-29,3485483783
2002-10-30,3528596466
2002-10-31,3551810783
2002-11-01,3515331000
2002-11-04,3575688570
2002-11-05,3594260063
2002-11-06,3602219436
2002-11-07,3560433360
2002-11-08,3505381817
2002-11-11,3474871463
2002-11-12,3571708817
2002-11-13,3593596860
2002-11-14,3714975137
2002-11-15,3880129500
2002-11-18,3863547750
2002-11-19,3767373533
2002-11-20,3846302862
2002-11-21,3912629862
2002-11-22,3870843786
2002-11-25,4009467216
2002-11-26,3932527896
2002-11-27,4079110500
2002-11-29,4086406536
2002-12-02,4167325542
2002-12-03,3996864887
2002-12-04,3954415673
2002-12-05,4039314432
2002-12-06,3929211612
2002-12-09,3807169932
2002-12-10,3783292146
2002-12-11,3846966000
2002-12-12,3955742213
2002-12-13,3860231466
2002-12-16,4059875603
2002-12-17,4073804207
2002-12-18,3988905713
2002-12-19,3941813610
2002-12-20,3998191493
2002-12-23,3893394966
2002-12-24,3856915182
2002-12-26,3890741820
2002-12-27,3797220750
2002-12-30,3780639000
2002-12-31,3777322716
2003-01-02,3928216066
2003-01-03,3802805116
2003-01-06,3851244266
2003-01-07,3817403083
2003-01-08,3776263050
2003-01-09,3839300366
2003-01-10,3804132282
2003-01-13,3808777132
2003-01-14,3784225583
2003-01-15,3742422132
2003-01-16,3731141650
2003-01-17,3603076433
2003-01-21,3516815000
2003-01-22,3516815000
2003-01-23,3576534632
2003-01-24,3540039117
2003-01-27,3404675116
2003-01-28,3411310550
2003-01-29,3493590882
2003-01-30,3492263716
2003-01-31,3495581400
2003-02-03,3554637350
2003-02-04,3473020700
2003-02-05,3442497466
2003-02-06,3364198566
2003-02-07,3278600550
2003-02-10,3379460150
2003-02-11,3284572500
2003-02-12,3197647383
2003-02-13,3155180183
2003-02-14,3323058532
2003-02-18,3395385217
2003-02-19,3310450883
2003-02-20,3269310850
2003-02-21,3240114782
2003-02-24,3218217500
2003-02-25,3286563083
2003-02-26,3228834300
2003-02-27,3272628600
2003-02-28,3276609966
2003-03-03,3222198866
2003-03-04,3143899966
2003-03-05,3096787717
2003-03-06,3031759883
2003-03-07,3070245850
2003-03-10,2976021617
2003-03-11,2981330150
2003-03-12,2936872167
2003-03-13,3118685000
2003-03-14,3127311216
2003-03-17,2988629266
2003-03-18,3052993417
2003-03-19,3057638532
2003-03-20,3175086617
2003-03-21,3324385367
2003-03-24,3173096100
2003-03-25,3245423050
2003-03-26,3200965332
2003-03-27,3222198866
2003-03-28,3247413633
2003-03-31,3181058633
2003-04-01,3267286740
2003-04-02,3400376525
2003-04-03,3347667725
2003-04-04,3306818274
2003-04-07,3405647274
2003-04-08,3387199260
2003-04-09,3341078994
2003-04-10,3381269520
2003-04-11,3407623985
2003-04-14,3502499760
2003-04-15,3509747220
2003-04-16,3463627020
2003-04-17,3605281985
2003-04-21,3603964265
2003-04-22,3690933720
2003-04-23,3592104720
2003-04-24,3558502728
2003-04-25,3514359240
2003-04-28,3640201500
2003-04-29,3678415511
2003-04-30,3654696485
2003-05-01,3588810485
2003-05-02,3667214760
2003-05-05,3678415511
2003-05-06,3722559000
2003-05-07,3739030500
2003-05-08,3722559000
2003-05-09,3725853234
2003-05-12,3797010245
2003-05-13,3824682234
2003-05-14,3818093765
2003-05-15,3813481745
2003-05-16,3760114020
2003-05-19,3665238245
2003-05-20,3544666734
2003-05-21,3518312531
2003-05-22,3557844000
2003-05-23,3548620025
2003-05-27,3623730000
2003-05-28,3721900271
2003-05-29,3703451994
2003-05-30,3802280994
2003-06-02,3893862468
2003-06-03,3890568234
2003-06-04,4001915771
2003-06-05,4121169234
2003-06-06,4009822025
2003-06-09,3850377774
2003-06-10,3855648720
2003-06-11,3950524494
2003-06-12,4003233228
2003-06-13,3943276968
2003-06-16,4022999225
2003-06-17,4000597985
2003-06-18,3781856531
2003-06-19,3833247480
2003-06-20,3657990720
2003-06-23,3656673000
2003-06-24,3800963274
2003-06-25,3745618968
2003-06-26,3795033468
2003-06-27,3726512225
2003-06-30,3658649514
2003-07-01,3780132933
2003-07-02,3794047467
2003-07-03,3786759132
2003-07-07,3862295466
2003-07-08,3843080000
2003-07-09,3754954067
2003-07-10,3703271333
2003-07-11,3719836333
2003-07-14,3783445867
2003-07-15,3836454132
2003-07-16,3826515000
2003-07-17,4247265867
2003-07-18,4399001333
2003-07-21,4387074533
2003-07-22,4416229132
2003-07-23,4480501398
2003-07-24,4492428198
2003-07-25,4415566333
2003-07-28,4469899533
2003-07-29,4404302266
2003-07-30,4391050001
2003-07-31,4466586865
2003-08-01,4429480867
2003-08-04,4428155932
2003-08-05,4318164067
2003-08-06,4395688134
2003-08-07,4359908198
2003-08-08,4389062267
2003-08-11,4440745001
2003-08-12,4496403666
2003-08-13,4479175867
2003-08-14,4502366801
2003-08-15,4540135001
2003-08-18,4563988601
2003-08-19,4627598134
2003-08-20,4636874998
2003-08-21,4723012733
2003-08-22,4699821800
2003-08-25,4674643198
2003-08-26,4697834132
2003-08-27,4701146801
2003-08-28,4740903198
2003-08-29,4834329533
2003-09-02,4815114067
2003-09-03,4824390467
2003-09-04,4781984067
2003-09-05,4747529132
2003-09-08,4827040867
2003-09-09,4815114067
2003-09-10,4620972400
2003-09-11,4655427600
2003-09-12,4734277000
2003-09-15,4787947600
2003-09-16,4850232000
2003-09-17,4848906800
2003-09-18,4957573200
2003-09-19,4936370000
2003-09-22,4946309000
2003-09-23,4994678800
2003-09-24,4940345600
2003-09-25,4896614000
2003-09-26,4820415000
2003-09-29,4774033000
2003-09-30,4725663200
2003-10-01,4860833600
2003-10-02,4861496200
2003-10-03,4950947200
2003-10-06,4972813000
2003-10-07,4949622000
2003-10-08,4897939200
2003-10-09,4925768400
2003-10-10,4903902600
2003-10-13,4966187000
2003-10-14,4986065000
2003-10-15,4978776400
2003-10-16,4964861800
2003-10-17,4669342200
2003-10-20,4754817600
2003-10-21,4638200000
2003-10-22,4566639200
2003-10-23,4696508800
2003-10-24,4693195800
2003-10-27,4737590000
2003-10-28,4895951400
2003-10-29,4921130200
2003-10-30,4877398600
2003-10-31,4911191200
2003-11-03,4958235800
2003-11-04,4912516400
2003-11-05,4961548800
2003-11-06,4968174800
2003-11-07,4923780600
2003-11-10,4856195400
2003-11-11,4825715800
2003-11-12,4906553000
2003-11-13,4905227800
2003-11-14,4853545000
2003-11-17,4801862200
2003-11-18,4773370400
2003-11-19,4770057400
2003-11-20,4754817600
2003-11-21,4743553400
2003-11-24,4770720000
2003-11-25,4807825600
2003-11-26,4770057400
2003-11-28,4776020800
2003-12-01,4882036800
2003-12-02,4842280800
2003-12-03,4801199600
2003-12-04,4768069600
2003-12-05,4720362400
2003-12-08,4691208000
2003-12-09,4638200000
2003-12-10,4516281600
2003-12-11,4602419600
2003-12-12,4555375000
2003-12-15,4532184000
2003-12-16,4584529400
2003-12-17,4607057800
2003-12-18,4651452000
2003-12-19,4648139000
2003-12-22,4670004800
2003-12-23,4687895000
2003-12-24,4651452000
2003-12-26,4684582000
2003-12-29,4701147000
2003-12-30,4696508800
2003-12-31,4673980400
2004-01-02,4737321900
2004-01-05,4717333200
2004-01-06,4702008530
2004-01-07,4737321900
2004-01-08,4730659000
2004-01-09,4716666910
2004-01-12,4766638660
2004-01-13,4730659000
2004-01-14,4759975760
2004-01-15,4762640920
2004-01-16,4783962200
2004-01-20,4744651090
2004-01-21,4841929430
2004-01-22,4869913610
2004-01-23,4835266530
2004-01-26,4831935080
2004-01-27,4797288000
2004-01-28,4804617190
2004-01-29,4682686120
2004-01-30,4636045820
2004-02-02,4793956550
2004-02-03,4790625100
2004-02-04,4769303820
2004-02-05,4893900050
2004-02-06,5306333560
2004-02-09,5363634500
2004-02-10,5387620940
2004-02-11,5456915100
2004-02-12,5524210390
2004-02-13,5492894760
2004-02-17,5518880070
2004-02-18,5423600600
2004-02-19,5376960300
2004-02-20,5366965950
2004-02-23,5348309830
2004-02-24,5352973860
2004-02-25,5360969340
2004-02-26,5496892500
2004-02-27,5550195700
2004-03-01,5572183270
2004-03-02,5549529410
2004-03-03,5542200220
2004-03-04,5632149370
2004-03-05,5681454830
2004-03-08,5617490990
2004-03-09,5542200220
2004-03-10,5463578000
2004-03-11,5388287230
2004-03-12,5523544100
2004-03-15,5394950130
2004-03-16,5428930920
2004-03-17,5514882330
2004-03-18,5516881200
2004-03-19,5486231860
2004-03-22,5410941090
2004-03-23,5404944480
2004-03-24,5304334690
2004-03-25,5324989680
2004-03-26,5362301920
2004-03-29,5383623200
2004-03-30,5396949000
2004-03-31,5486898150
2004-04-01,5552934400
2004-04-02,5499540800
2004-04-05,5478850780
2004-04-06,5488862080
2004-04-07,5496203700
2004-04-08,5449484300
2004-04-12,5452821400
2004-04-13,5336022900
2004-04-14,5284631560
2004-04-15,5288636080
2004-04-16,5366056800
2004-04-19,5390083920
2004-04-20,5401430060
2004-04-21,5389416500
2004-04-22,5374065840
2004-04-23,5336690320
2004-04-26,5262606700
2004-04-27,5299314800
2004-04-28,5212550200
2004-04-29,5154484660
2004-04-30,5148477880
2004-05-03,5199201800
2004-05-04,5107765260
2004-05-05,5099088800
2004-05-06,5028342280
2004-05-07,4952256400
2004-05-10,4870163740
2004-05-11,4868828900
2004-05-12,4804089160
2004-05-13,4830785960
2004-05-14,4804089160
2004-05-17,4756702340
2004-05-18,4720661660
2004-05-19,4668602900
2004-05-20,4721329080
2004-05-21,4750028140
2004-05-24,4772053000
2004-05-25,4888851500
2004-05-26,4867494060
2004-05-27,4908874100
2004-05-28,4954926080
2004-06-01,4983625140
2004-06-02,4961600280
2004-06-03,4855480500
2004-06-04,4769383320
2004-06-07,4824111760
2004-06-08,4788738500
2004-06-09,4734677480
2004-06-10,4752030400
2004-06-14,4632562220
2004-06-15,4685288400
2004-06-16,4653252240
2004-06-17,4677946780
2004-06-18,4697969380
2004-06-21,4703976160
2004-06-22,4690627760
2004-06-23,4732007800
2004-06-24,4900197640
2004-06-25,4963602540
2004-06-28,4868828900
2004-06-29,4892188600
2004-06-30,4894190860
2004-07-01,4800168000
2004-07-02,4798834620
2004-07-06,4728165480
2004-07-07,4734165690
2004-07-08,4760166600
2004-07-09,4846836300
2004-07-12,4826835600
2004-07-13,4829502360
2004-07-14,4796834550
2004-07-15,4790167650
2004-07-16,4766833500
2004-07-19,4766833500
2004-07-20,4864836930
2004-07-21,4754833080
2004-07-22,4731498930
2004-07-23,4683497250
2004-07-26,4732165620
2004-07-27,4804834830
2004-07-28,4813501800
2004-07-29,4883504250
2004-07-30,4902838260
2004-08-02,4928172480
2004-08-03,4852836510
2004-08-04,4838169330
2004-08-05,4798167930
2004-08-06,4766166810
2004-08-09,4746166110
2004-08-10,4810835040
2004-08-11,4814168490
2004-08-12,4798167930
2004-08-13,4796834550
2004-08-16,4884837630
2004-08-17,4934839380
2004-08-18,4973507400
2004-08-19,4884170940
2004-08-20,4894837980
2004-08-23,4941506280
