,INCY
2000-05-25,1503240375
2000-05-26,1565044687
2000-05-30,1822230375
2000-05-31,1682672250
2000-06-01,1917927375
2000-06-02,2089384500
2000-06-05,2268816375
2000-06-06,2454229312
2000-06-07,2490115687
2000-06-08,2555907375
2000-06-09,2741320312
2000-06-12,2561888437
2000-06-13,2591793750
2000-06-14,2537964187
2000-06-15,2543945250
2000-06-16,2755276125
2000-06-19,3696296625
2000-06-20,3612561750
2000-06-21,3594618562
2000-06-22,2998506000
2000-06-23,2932714312
2000-06-26,2848979437
2000-06-27,2663566500
2000-06-28,2998506000
2000-06-29,2703440250
2000-06-30,2632630000
2000-07-03,2746744000
2000-07-05,3045042000
2000-07-06,2976974000
2000-07-07,3104101000
2000-07-10,3233230000
2000-07-11,3395392000
2000-07-12,3319316000
2000-07-13,2994992000
2000-07-14,2918916000
2000-07-17,3088585532
2000-07-18,3034531532
2000-07-19,2990988000
2000-07-20,3163160000
2000-07-21,3119116000
2000-07-24,3041038000
2000-07-25,2874872000
2000-07-26,2928926000
2000-07-27,2738736000
2000-07-28,2526524000
2000-07-31,2428426000
2000-08-01,2722720000
2000-08-02,2684682000
2000-08-03,2644642000
2000-08-04,2562560000
2000-08-07,2650648000
2000-08-08,2594592000
2000-08-09,2498496000
2000-08-10,2276274000
2000-08-11,2396394000
2000-08-14,2386384000
2000-08-15,2283281000
2000-08-16,2208206000
2000-08-17,2844842000
2000-08-18,2858856000
2000-08-21,2830327532
2000-08-22,2802800000
2000-08-23,2582580000
2000-08-24,2638636000
2000-08-25,2622620000
2000-08-28,2578576000
2000-08-29,2570568000
2000-08-30,2554552000
2000-08-31,2656654000
2000-09-01,2578576000
2000-09-05,2470468000
2000-09-06,2338336000
2000-09-07,2466464000
2000-09-08,2418416000
2000-09-11,2370368000
2000-09-12,2442440000
2000-09-13,2566564000
2000-09-14,2694692000
2000-09-15,2578576000
2000-09-18,2374372000
2000-09-19,2438436000
2000-09-20,2442440000
2000-09-21,2342340000
2000-09-22,2522520000
2000-09-25,2442440000
2000-09-26,2470468000
2000-09-27,2426424000
2000-09-28,2782780000
2000-09-29,2634632000
2000-10-02,2558667750
2000-10-03,2413837500
2000-10-04,2437975875
2000-10-05,2574760000
2000-10-06,2470160375
2000-10-09,2289122562
2000-10-10,2212684375
2000-10-11,1987392875
2000-10-12,1818424250
2000-10-13,1931070000
2000-10-16,1999462062
2000-10-17,1890839375
2000-10-18,1998456296
2000-10-19,2172453750
2000-10-20,2433952812
2000-10-23,2574760000
2000-10-24,2490275687
2000-10-25,2301191750
2000-10-26,2379641468
2000-10-27,2277053375
2000-10-30,2132223125
2000-10-31,2357514625
2000-11-01,2433952812
2000-11-02,2502344875
2000-11-03,2413837500
2000-11-06,2252915000
2000-11-07,2409814437
2000-11-08,2273030312
2000-11-09,2220730500
2000-11-10,2184522937
2000-11-13,2043715750
2000-11-14,2067854125
2000-11-15,2150326906
2000-11-16,2012537015
2000-11-17,1963254500
2000-11-20,1701755437
2000-11-21,1802332000
2000-11-22,1701755437
2000-11-24,1927046937
2000-11-27,2047738812
2000-11-28,1790262812
2000-11-29,1729916875
2000-11-30,1705778500
2000-12-01,1886816312
2000-12-04,1717847687
2000-12-05,1842562625
2000-12-06,1770147500
2000-12-07,1778193625
2000-12-08,2011531250
2000-12-11,2019577375
2000-12-12,1842562625
2000-12-13,1814401187
2000-12-14,1725893812
2000-12-15,1636380671
2000-12-18,1754055250
2000-12-19,1609225000
2000-12-20,1577040500
2000-12-21,1524740687
2000-12-22,1544856000
2000-12-26,1536809875
2000-12-27,1516694562
2000-12-28,1669570937
2000-12-29,1601178875
2001-01-02,1483371562
2001-01-03,1516244062
2001-01-04,1496726015
2001-01-05,1380645000
2001-01-08,1434062812
2001-01-09,1577880000
2001-01-10,1545007500
2001-01-11,1532680312
2001-01-12,1618970625
2001-01-16,1602534375
2001-01-17,1627188750
2001-01-18,1734024375
2001-01-19,1697042812
2001-01-22,1799769375
2001-01-23,1910714062
2001-01-24,1935368437
2001-01-25,1935368437
2001-01-26,2013440625
2001-01-29,1964131875
2001-01-30,1861405312
2001-01-31,1832641875
2001-02-01,1832641875
2001-02-02,1524462187
2001-02-05,1458717187
2001-02-06,1499807812
2001-02-07,1479262500
2001-02-08,1413517500
2001-02-09,1347772500
2001-02-12,1351881562
2001-02-13,1314900000
2001-02-14,1187519062
2001-02-15,1216282500
2001-02-16,1150537500
2001-02-20,1101228750
2001-02-21,1039592812
2001-02-22,1014938437
2001-02-23,1060138125
2001-02-26,1154646562
2001-02-27,1109446875
2001-02-28,1105337812
2001-03-01,1102256015
2001-03-02,1158755625
2001-03-05,1121774062
2001-03-06,1129992187
2001-03-07,1142319375
2001-03-08,1060138125
2001-03-09,1019047500
2001-03-12,949193437
2001-03-13,928648125
2001-03-14,912211875
2001-03-15,887557500
2001-03-16,821812500
2001-03-19,825921562
2001-03-20,842357812
2001-03-21,760176562
2001-03-22,751958437
2001-03-23,850575937
2001-03-26,911883150
2001-03-27,911225700
2001-03-28,944098200
2001-03-29,934893900
2001-03-30,1009185750
2001-04-02,933653880
2001-04-03,833218360
2001-04-04,867577880
2001-04-05,892026000
2001-04-06,915813360
2001-04-09,909205760
2001-04-10,960084280
2001-04-11,936296920
2001-04-12,958102000
2001-04-16,961405800
2001-04-17,927046280
2001-04-18,971977960
2001-04-19,1071091893
2001-04-20,1039375480
2001-04-23,989157720
2001-04-24,901937400
2001-04-25,930350080
2001-04-26,1041357760
2001-04-27,1012945080
2001-04-30,1065805813
2001-05-01,1121309653
2001-05-02,1145097080
2001-05-03,1130560426
2001-05-04,1183421160
2001-05-07,1246193426
2001-05-08,1267998506
2001-05-09,1263373186
2001-05-10,1246193426
2001-05-11,1262051600
2001-05-14,1187385653
2001-05-15,1228352840
2001-05-16,1318876893
2001-05-17,1416669506
2001-05-18,1439796106
2001-05-21,1656525320
2001-05-22,1618862000
2001-05-23,1530320160
2001-05-24,1649256893
2001-05-25,1556089733
2001-05-29,1481423920
2001-05-30,1417330266
2001-05-31,1402132653
2001-06-01,1546178400
2001-06-04,1527016426
2001-06-05,1647935506
2001-06-06,1612254400
2001-06-07,1599039266
2001-06-08,1569305000
2001-06-11,1450368266
2001-06-12,1401471893
2001-06-13,1348611160
2001-06-14,1296411186
2001-06-15,1318876893
2001-06-18,1252140266
2001-06-19,1195975600
2001-06-20,1228352840
2001-06-21,1293107320
2001-06-22,1321520000
2001-06-25,1325484493
2001-06-26,1361165600
2001-06-27,1350593506
2001-06-28,1447064400
2001-06-29,1620183520
2001-07-02,1480714633
2001-07-03,1497307133
2001-07-05,1436246733
2001-07-06,1412353666
2001-07-09,1491333833
2001-07-10,1356602866
2001-07-11,1332709600
2001-07-12,1347974633
2001-07-13,1356602866
2001-07-16,1343328800
2001-07-17,1330718433
2001-07-18,1281604633
2001-07-19,1221871700
2001-07-20,1327400000
2001-07-23,1287578000
2001-07-24,1200633300
2001-07-25,1179394900
2001-07-26,1282932100
2001-07-27,1299524600
2001-07-30,1290232866
2001-07-31,1249747100
2001-08-01,1242446333
2001-08-02,1198642133
2001-08-03,1214570933
2001-08-06,1178731200
2001-08-07,1221871700
2001-08-08,1129617400
2001-08-09,1128290000
2001-08-10,1132935900
2001-08-13,1139572900
2001-08-14,1160147600
2001-08-15,1153510533
2001-08-16,1098423433
2001-08-17,1115015933
2001-08-20,1051300800
2001-08-21,1103733033
2001-08-22,1105060500
2001-08-23,1154838000
2001-08-24,1218553266
2001-08-27,1263021166
2001-08-28,1191341566
2001-08-29,1210588800
2001-08-30,1161475000
2001-08-31,1173421600
2001-09-04,1134263300
2001-09-05,1136918033
2001-09-06,1066565900
2001-09-07,1063911166
2001-09-10,1032053500
2001-09-17,899313500
2001-09-18,809714000
2001-09-19,714141200
2001-09-20,742680300
2001-09-21,794448900
2001-09-24,806395500
2001-09-25,816351000
2001-09-26,783166000
2001-09-27,830288700
2001-09-28,906614200
2001-10-01,912146000
2001-10-02,947433400
2001-10-03,938778000
2001-10-04,898830000
2001-10-05,903490600
2001-10-08,866871600
2001-10-09,844234400
2001-10-10,931454200
2001-10-11,980057600
2001-10-12,974731200
2001-10-15,1014679200
2001-10-16,1057956200
2001-10-17,938778000
2001-10-18,964744200
2001-10-19,998034200
2001-10-22,1045306000
2001-10-23,1041977000
2001-10-24,1054627200
2001-10-25,1081259200
2001-10-26,1081925000
2001-10-29,1017342400
2001-10-30,962081000
2001-10-31,992042000
2001-11-01,979391800
2001-11-02,948765000
2001-11-05,1020005600
2001-11-06,1012016000
2001-11-07,970736400
2001-11-08,938778000
2001-11-09,924130400
2001-11-12,895501000
2001-11-13,943438600
2001-11-14,955423000
2001-11-15,964078400
2001-11-16,986715600
2001-11-19,1045971800
2001-11-20,1045306000
2001-11-21,1050632400
2001-11-23,1075267000
2001-11-26,1077930266
2001-11-27,1264354200
2001-11-28,1221743000
2001-11-29,1272343866
2001-11-30,1266351600
2001-12-03,1250372466
2001-12-04,1316286600
2001-12-05,1372879666
2001-12-06,1368218933
2001-12-07,1332265800
2001-12-10,1265020000
2001-12-11,1274341133
2001-12-12,1279001733
2001-12-13,1286991400
2001-12-14,1267683266
2001-12-17,1309628600
2001-12-18,1330934200
2001-12-19,1305633866
2001-12-20,1262356733
2001-12-21,1412827533
2001-12-24,1376208600
2001-12-26,1344916066
2001-12-27,1320281400
2001-12-28,1347579200
2001-12-31,1299836226
2002-01-02,1297161600
2002-01-03,1301842013
2002-01-04,1316552226
2002-01-07,1247013600
2002-01-08,1221605280
2002-01-09,1183492866
2002-01-10,1184161373
2002-01-11,1183492866
2002-01-14,1116628866
2002-01-15,1115291520
2002-01-16,1073835773
2002-01-17,1070492640
2002-01-18,998948160
2002-01-22,989587200
2002-01-23,1056451200
2002-01-24,1041741120
2002-01-25,1014995520
2002-01-28,1000954080
2002-01-29,969528000
2002-01-30,1000285440
2002-01-31,986244000
2002-02-01,999616800
2002-02-04,922723200
2002-02-05,940776480
2002-02-06,899989440
2002-02-07,897314880
2002-02-08,950806080
2002-02-11,951474720
2002-02-12,1019676000
2002-02-13,1001622720
2002-02-14,796350240
2002-02-15,802368000
2002-02-19,732160800
2002-02-20,772947840
2002-02-21,764924160
2002-02-22,780971520
2002-02-25,730154880
2002-02-26,776291040
2002-02-27,739515840
2002-02-28,734835360
2002-03-01,764924160
2002-03-04,781640160
2002-03-05,754894560
2002-03-06,788995200
2002-03-07,755563200
2002-03-08,821758560
2002-03-11,853853280
2002-03-12,834462720
2002-03-13,834462720
2002-03-14,814403520
2002-03-15,829113600
2002-03-18,859202400
2002-03-19,854521920
2002-03-20,800362080
2002-03-21,860539680
2002-03-22,819084000
2002-03-25,795012960
2002-03-26,775622400
2002-03-27,762249600
2002-03-28,795681600
2002-04-01,801861600
2002-04-02,735770400
2002-04-03,732398400
2002-04-04,701376000
2002-04-05,673051200
2002-04-08,691260000
2002-04-09,662260800
2002-04-10,704073600
2002-04-11,664284000
2002-04-12,689911200
2002-04-15,684516000
2002-04-16,708794400
2002-04-17,678446400
2002-04-18,677772000
2002-04-19,631238400
2002-04-22,623145600
2002-04-23,626517600
2002-04-24,617076000
2002-04-25,557728800
2002-04-26,545589600
2002-04-29,526032000
2002-04-30,553682400
2002-05-01,540194400
2002-05-02,561100800
2002-05-03,555031200
2002-05-06,532101600
2002-05-07,508497600
2002-05-08,540868800
2002-05-09,488940000
2002-05-10,506474400
2002-05-13,523334400
2002-05-14,550310400
2002-05-15,540868800
2002-05-16,529404000
2002-05-17,540194400
2002-05-20,539520000
2002-05-21,505800000
2002-05-22,517264800
2002-05-23,561775200
2002-05-24,519962400
2002-05-28,521311200
2002-05-29,499730400
2002-05-30,512544000
2002-05-31,495009600
2002-06-03,427569600
2002-06-04,449150400
2002-06-05,455894400
2002-06-06,411384000
2002-06-07,424872000
2002-06-10,421500000
2002-06-11,401268000
2002-06-12,421500000
2002-06-13,397221600
2002-06-14,447801600
2002-06-17,471405600
2002-06-18,479498400
2002-06-19,459266400
2002-06-20,452522400
2002-06-21,464661600
2002-06-24,447127200
2002-06-25,428244000
2002-06-26,445104000
2002-06-27,488265600
2002-06-28,490288800
2002-07-01,418633200
2002-07-02,409827000
2002-07-03,402375600
2002-07-05,422697600
2002-07-08,394924200
2002-07-09,399666000
2002-07-10,372570000
2002-07-11,392892000
2002-07-12,405085200
2002-07-15,445729200
2002-07-16,453180600
2002-07-17,431503800
2002-07-18,409827000
2002-07-19,394246800
2002-07-22,415923600
2002-07-23,396279000
2002-07-24,406440000
2002-07-25,386795400
2002-07-26,389505000
2002-07-29,403053000
2002-07-30,414568800
2002-07-31,419310600
2002-08-01,395601600
2002-08-02,396279000
2002-08-05,384085800
2002-08-06,422697600
2002-08-07,377989200
2002-08-08,413214000
2002-08-09,418633200
2002-08-12,432181200
2002-08-13,390859800
2002-08-14,434890800
2002-08-15,424729800
2002-08-16,451825800
2002-08-19,424052400
2002-08-20,442342200
2002-08-21,471470400
2002-08-22,482986200
2002-08-23,448438800
2002-08-26,470793000
2002-08-27,426762000
2002-08-28,411181800
2002-08-29,457245000
2002-08-30,414568800
2002-09-03,381376200
2002-09-04,298056000
2002-09-05,303475200
2002-09-06,338022600
2002-09-09,336667800
2002-09-10,333958200
2002-09-11,336667800
2002-09-12,338700000
2002-09-13,333280800
2002-09-16,318378000
2002-09-17,303475200
2002-09-18,312958800
2002-09-19,269605200
2002-09-20,272992200
2002-09-23,279766200
2002-09-24,291282000
2002-09-25,291282000
2002-09-26,266218200
2002-09-27,260799000
2002-09-30,313515520
2002-10-01,297974880
2002-10-02,272974720
2002-10-03,268920640
2002-10-04,243920480
2002-10-07,235136640
2002-10-08,218244640
2002-10-09,201352640
2002-10-10,209460800
2002-10-11,212839200
2002-10-14,222298720
2002-10-15,226352800
2002-10-16,241217760
2002-10-17,255407040
2002-10-18,252028640
2002-10-21,269596320
2002-10-22,262163840
2002-10-23,280407200
2002-10-24,280407200
2002-10-25,288515360
2002-10-28,292569440
2002-10-29,318920960
2002-10-30,324326400
2002-10-31,333785920
2002-11-01,364867200
2002-11-04,383786240
2002-11-05,381759200
2002-11-06,404732320
2002-11-07,403380960
2002-11-08,392570080
2002-11-11,395272800
2002-11-12,384461920
2002-11-13,354056320
2002-11-14,344596800
2002-11-15,341218400
2002-11-18,338515680
2002-11-19,338515680
2002-11-20,359461760
2002-11-21,360137440
2002-11-22,364867200
2002-11-25,375002400
2002-11-26,351353600
2002-11-27,375002400
2002-11-29,361488800
2002-12-02,369596960
2002-12-03,370948320
2002-12-04,367569920
2002-12-05,361488800
2002-12-06,376353760
2002-12-09,343921120
2002-12-10,358110400
2002-12-11,364867200
2002-12-12,360813120
2002-12-13,335137280
2002-12-16,346623840
2002-12-17,352029280
2002-12-18,335812960
2002-12-19,333110240
2002-12-20,336488640
2002-12-23,347299520
2002-12-24,338515680
2002-12-26,337840000
2002-12-27,310812800
2002-12-30,297299200
2002-12-31,314576160
2003-01-02,338031400
2003-01-03,335961820
2003-01-06,344930000
2003-01-07,327683500
2003-01-08,288361480
2003-01-09,307677560
2003-01-10,326993640
2003-01-13,342860420
2003-01-14,351138740
2003-01-15,366315660
2003-01-16,359417060
2003-01-17,341480700
2003-01-21,351828600
2003-01-22,341480700
2003-01-23,342860420
2003-01-24,314576160
2003-01-27,309057280
2003-01-28,311816720
2003-01-29,313886300
2003-01-30,304228260
2003-01-31,300778960
2003-02-03,298019520
2003-02-04,297329660
2003-02-05,298709380
2003-02-06,289741200
2003-02-07,264216380
2003-02-10,275944000
2003-02-11,278703440
2003-02-12,265596100
2003-02-13,269045400
2003-02-14,262146800
2003-02-18,271114980
2003-02-19,269735260
2003-02-20,259387360
2003-02-21,258697500
2003-02-24,234552400
2003-02-25,247659740
2003-02-26,240761140
2003-02-27,241451000
2003-02-28,233172680
2003-03-03,223514640
2003-03-04,217305900
2003-03-05,215236320
2003-03-06,204198560
2003-03-07,202128980
2003-03-10,206958000
2003-03-11,209717440
2003-03-12,206268140
2003-03-13,216616040
2003-03-14,228343660
2003-03-17,271114980
2003-03-18,238691560
2003-03-19,216616040
2003-03-20,226274080
2003-03-21,212476880
2003-03-24,202128980
2003-03-25,198679680
2003-03-26,188331780
2003-03-27,210407300
2003-03-28,206958000
2003-03-31,214966050
2003-04-01,215685000
2003-04-02,218560800
2003-04-03,232939800
2003-04-04,225750300
2003-04-07,222874500
2003-04-08,217841850
2003-04-09,210652350
2003-04-10,199149150
2003-04-11,191959650
2003-04-14,193397550
2003-04-15,194116500
2003-04-16,193397550
2003-04-17,195554400
2003-04-21,202024950
2003-04-22,212090250
2003-04-23,221436600
2003-04-24,219279750
2003-04-25,230064000
2003-04-28,245161950
2003-04-29,240848250
2003-04-30,246599850
2003-05-01,245880900
2003-05-02,258822000
2003-05-05,271044150
2003-05-06,266011500
2003-05-07,260259900
2003-05-08,253789350
2003-05-09,247318800
2003-05-12,250194600
2003-05-13,241567200
2003-05-14,250913550
2003-05-15,261697800
2003-05-16,280390500
2003-05-19,276795750
2003-05-20,291174750
2003-05-21,296207400
2003-05-22,315619050
2003-05-23,330717000
2003-05-27,381043500
2003-05-28,358756050
2003-05-29,351566550
2003-05-30,360912899
2003-06-02,363788700
2003-06-03,350128650
2003-06-04,370259250
2003-06-05,420585750
2003-06-06,423461550
2003-06-09,408363600
2003-06-10,411239400
2003-06-11,430651050
2003-06-12,423461550
2003-06-13,409801500
2003-06-16,426337350
2003-06-17,402612000
2003-06-18,391827750
2003-06-19,359475000
2003-06-20,340063350
2003-06-23,319213800
2003-06-24,329279100
2003-06-25,348690750
2003-06-26,369540300
2003-06-27,340063350
2003-06-30,350819100
2003-07-01,355872050
2003-07-02,379693100
2003-07-03,378249400
2003-07-07,420838550
2003-07-08,420116700
2003-07-09,437441100
2003-07-10,424447800
2003-07-11,436719250
2003-07-14,450434400
2003-07-15,453321800
2003-07-16,437441100
2003-07-17,433110000
2003-07-18,429500750
2003-07-21,411454500
2003-07-22,415063750
2003-07-23,411454500
2003-07-24,397017500
2003-07-25,399904900
2003-07-28,414341900
2003-07-29,416507449
2003-07-30,381858650
2003-07-31,378971250
2003-08-01,358759450
2003-08-04,355150200
2003-08-05,321223250
2003-08-06,290183699
2003-08-07,290905550
2003-08-08,280799650
2003-08-11,288018150
2003-08-12,299567750
2003-08-13,246150850
2003-08-14,275746700
2003-08-15,274303000
2003-08-18,302455150
2003-08-19,316892150
2003-08-20,307508100
2003-08-21,324110650
2003-08-22,314726600
2003-08-25,285852600
2003-08-26,281521500
2003-08-27,281521500
2003-08-28,282243350
2003-08-29,285852600
2003-09-02,288018150
2003-09-03,283687050
2003-09-04,288740000
2003-09-05,290183699
2003-09-08,360203150
2003-09-09,386189750
2003-09-10,368143500
2003-09-11,353706500
2003-09-12,364534250
2003-09-15,371030900
2003-09-16,364534250
2003-09-17,354428350
2003-09-18,353706500
2003-09-19,371752750
2003-09-22,352984650
2003-09-23,356593900
2003-09-24,377527550
2003-09-25,348581365
2003-09-26,327719900
2003-09-29,345766150
2003-09-30,335258300
2003-10-01,341775200
2003-10-02,352636700
2003-10-03,304122000
2003-10-06,330189600
2003-10-07,373635600
2003-10-08,362050000
2003-10-09,355533100
2003-10-10,362774100
2003-10-13,378704300
2003-10-14,370739200
2003-10-15,378704300
2003-10-16,380876600
2003-10-17,388117600
2003-10-20,388841700
2003-10-21,391738100
2003-10-22,383773000
2003-10-23,389565800
2003-10-24,384497100
2003-10-27,391014000
2003-10-28,388841700
2003-10-29,383773000
2003-10-30,384497100
2003-10-31,382324800
2003-11-03,383048900
2003-11-04,398255000
2003-11-05,382324800
2003-11-06,391738100
2003-11-07,434460000
2003-11-10,416357500
2003-11-11,397530900
2003-11-12,426494900
2003-11-13,416357500
2003-11-14,388117600
2003-11-17,380152500
2003-11-18,373635600
2003-11-19,382324800
2003-11-20,372187400
2003-11-21,375083800
2003-11-24,412737000
2003-11-25,422150300
2003-11-26,446769700
2003-11-28,438080500
2003-12-01,475009600
2003-12-02,493836200
2003-12-03,463424000
2003-12-04,477906000
2003-12-05,452562500
2003-12-08,445321500
2003-12-09,436632300
2003-12-10,425770800
2003-12-11,464872200
2003-12-12,477181900
2003-12-15,448942000
2003-12-16,467768600
2003-12-17,461251700
2003-12-18,461251700
2003-12-19,444597400
2003-12-22,461251700
2003-12-23,481526500
2003-12-24,481526500
2003-12-26,478630100
2003-12-29,494560300
2003-12-30,500353100
2003-12-31,496878120
2004-01-02,495425260
2004-01-05,528841040
2004-01-06,533926050
2004-01-07,552086800
2004-01-08,593493310
2004-01-09,623276940
2004-01-12,616739070
2004-01-13,624003370
2004-01-14,679938480
2004-01-15,645796270
2004-01-16,682117770
2004-01-20,678485620
2004-01-21,687202780
2004-01-22,637079110
2004-01-23,679212050
2004-01-26,719165700
2004-01-27,683570630
2004-01-28,646522700
2004-01-29,630541240
2004-01-30,647975560
2004-02-02,705363530
2004-02-03,684297060
2004-02-04,634899820
2004-02-05,633446960
2004-02-06,644343410
2004-02-09,660324870
2004-02-10,682844200
2004-02-11,669042030
2004-02-12,603663330
2004-02-13,594946170
2004-02-17,606569050
2004-02-18,605842620
2004-02-19,608021910
2004-02-20,600031180
2004-02-23,579691140
2004-02-24,592766880
2004-02-25,601484040
2004-02-26,607295480
2004-02-27,627635520
2004-03-01,634173390
2004-03-02,632720530
2004-03-03,655966290
2004-03-04,679212050
2004-03-05,687202780
2004-03-08,654513430
2004-03-09,630541240
2004-03-10,611654060
2004-03-11,599304750
2004-03-12,631267670
2004-03-15,570247550
2004-03-16,561530390
2004-03-17,620371219
2004-03-18,613833350
2004-03-19,608021910
2004-03-22,584049719
2004-03-23,570973980
2004-03-24,552813230
2004-03-25,581144000
2004-03-26,576058990
2004-03-29,597851890
2004-03-30,614559780
2004-03-31,606039990
2004-04-01,599476380
2004-04-02,625001530
2004-04-05,619167210
2004-04-06,622084370
2004-04-07,613332890
2004-04-08,589995610
2004-04-12,579785550
2004-04-13,552801820
2004-04-14,557906850
2004-04-15,556448270
2004-04-16,585619870
2004-04-19,602393540
2004-04-20,573221940
2004-04-21,589995610
2004-04-22,602393540
2004-04-23,583432000
2004-04-26,600934960
2004-04-27,603122830
2004-04-28,567387620
2004-04-29,564470460
2004-04-30,579785550
2004-05-03,565199750
2004-05-04,532381700
2004-05-05,572492650
2004-05-06,549155370
2004-05-07,532381700
2004-05-10,514878740
2004-05-11,525818090
2004-05-12,545508920
2004-05-13,533840280
2004-05-14,515608030
2004-05-17,495187910
2004-05-18,510503000
2004-05-19,495187910
2004-05-20,489353590
2004-05-21,493729329
2004-05-24,496646490
2004-05-25,511961579
2004-05-26,544779630
2004-05-27,546238210
2004-05-28,522900930
2004-06-01,522900930
2004-06-02,545508920
2004-06-03,528735250
2004-06-04,525088800
2004-06-07,528735250
2004-06-08,531652410
2004-06-09,510503000
2004-06-10,505397970
2004-06-14,481331400
2004-06-15,495917200
2004-06-16,509773710
2004-06-17,491541460
2004-06-18,489353590
2004-06-21,481331400
2004-06-22,484248560
2004-06-23,514149450
2004-06-24,517795900
2004-06-25,507585840
2004-06-28,511961579
2004-06-29,539674600
2004-06-30,560187720
2004-07-01,546989580
2004-07-02,558721260
2004-07-06,529392060
2004-07-07,518393610
2004-07-08,494197020
2004-07-09,498596400
2004-07-12,473666580
2004-07-13,491264100
2004-07-14,495663480
2004-07-15,491264100
2004-07-16,465601050
2004-07-19,459735209
2004-07-20,476599500
2004-07-21,459735209
2004-07-22,453136140
2004-07-23,426739860
2004-07-26,403276500
2004-07-27,422340480
2004-07-28,420874020
2004-07-29,433338930
2004-07-30,449469990
2004-08-02,442870920
2004-08-03,428939550
2004-08-04,445803840
2004-08-05,426006630
2004-08-06,410608800
2004-08-09,410608800
2004-08-10,420140790
2004-08-11,436271850
2004-08-12,399610350
2004-08-13,402543270
2004-08-16,417941100
2004-08-17,434072160
2004-08-18,460468440
2004-08-19,458268750
2004-08-20,490530870
2004-08-23,468533970
2004-08-24,487597950
2004-08-25,511061310
2004-08-26,492730560
2004-08-27,520593300
2004-08-30,496396709
2004-08-31,500796090
2004-09-01,511061310
2004-09-02,514727459
2004-09-03,520593300
2004-09-07,560187720
2004-09-08,566786790
2004-09-09,582184620
2004-09-10,599782140
2004-09-13,620312580
2004-09-14,640843020
2004-09-15,641576250
2004-09-16,618846120
2004-09-17,632777490
2004-09-20,654774390
2004-09-21,704634030
2004-09-22,675304830
2004-09-23,671638680
2004-09-24,663573150
2004-09-27,645975630
2004-09-28,672371910
2004-09-29,687036510
2004-09-30,763870860
2004-10-01,786874240
2004-10-04,869369120
2004-10-05,806704740
2004-10-06,851125060
2004-10-07,809877620
2004-10-08,816223379
2004-10-11,816223379
2004-10-12,826535240
2004-10-13,772596280
2004-10-14,766250520
2004-10-15,785287800
2004-10-18,795599660
2004-10-19,779735260
2004-10-20,793220000
2004-10-21,813050500
2004-10-22,813843720
2004-10-25,825742020
2004-10-26,805911520
2004-10-27,800358980
2004-10-28,797186100
2004-10-29,824948800
2004-11-01,823362360
2004-11-02,773389500
2004-11-03,754352220
2004-11-04,714691220
2004-11-05,760697980
2004-11-08,773389500
2004-11-09,799565760
2004-11-10,805038977
2004-11-11,825742020
2004-11-12,807497960
2004-11-15,802738639
2004-11-16,798772540
2004-11-17,797186100
2004-11-18,798772540
2004-11-19,793220000
2004-11-22,795599660
2004-11-23,798772540
