,JWN
2000-10-02,1924208568
2000-10-03,1931967474
2000-10-04,1963003096
2000-10-05,2118181206
2000-10-06,1916449663
2000-10-09,2027660642
2000-10-10,2027660642
2000-10-11,1890586645
2000-10-12,1851792117
2000-10-13,1924208568
2000-10-16,2019901737
2000-10-17,1955244191
2000-10-18,1924208568
2000-10-19,2019901737
2000-10-20,1955244191
2000-10-23,1939726380
2000-10-24,1973348303
2000-10-25,1931967474
2000-10-26,1898345550
2000-10-27,1939726380
2000-10-30,2045764755
2000-10-31,2178812426
2000-11-01,2136402452
2000-11-02,2276885492
2000-11-03,2237126141
2000-11-06,2361705440
2000-11-07,2427971025
2000-11-08,2518092220
2000-11-09,2443874765
2000-11-10,2335199206
2000-11-13,2369657310
2000-11-14,2427971025
2000-11-15,2401464791
2000-11-16,2287487985
2000-11-17,2303391725
2000-11-20,2237126141
2000-11-21,2128450582
2000-11-22,2062184997
2000-11-24,2088691231
2000-11-27,2186764296
2000-11-28,2170860556
2000-11-29,2154956816
2000-11-30,2128450582
2000-12-01,2120498712
2000-12-04,2268933621
2000-12-05,2245078011
2000-12-06,2221222400
2000-12-07,2178812426
2000-12-08,2210619907
2000-12-11,2154956816
2000-12-12,2194716166
2000-12-13,2144354322
2000-12-14,2070136867
2000-12-15,2070136867
2000-12-18,2144354322
2000-12-19,2046281257
2000-12-20,2096643101
2000-12-21,2104594971
2000-12-22,2210619907
2000-12-26,2162908686
2000-12-27,2427971025
2000-12-28,2486284739
2000-12-29,2409416661
2001-01-02,2427971025
2001-01-03,2618815909
2001-01-04,2700985234
2001-01-05,2502188480
2001-01-08,2459778505
2001-01-09,2467730376
2001-01-10,2451826635
2001-01-11,2435922895
2001-01-12,2502188480
2001-01-16,2486284739
2001-01-17,2494236609
2001-01-18,2393512921
2001-01-19,2319295466
2001-01-22,2443874765
2001-01-23,2443874765
2001-01-24,2451826635
2001-01-25,2518092220
2001-01-26,2526044090
2001-01-29,2597610922
2001-01-30,2589659052
2001-01-31,2805566671
2001-02-01,2800065560
2001-02-02,2745054448
2001-02-05,2657036670
2001-02-06,2681791671
2001-02-07,2775310560
2001-02-08,2613027782
2001-02-09,2522259448
2001-02-12,2640533337
2001-02-13,2665288337
2001-02-14,2681791671
2001-02-15,2775310560
2001-02-16,2819319449
2001-02-20,2896335004
2001-02-21,2679041115
2001-02-22,2602025559
2001-02-23,2599275004
2001-02-26,2635032226
2001-02-27,2613027782
2001-02-28,2538762781
2001-03-01,2464497781
2001-03-02,2442493337
2001-03-05,2439742781
2001-03-06,2464497781
2001-03-07,2505756115
2001-03-08,2525010004
2001-03-09,2514007781
2001-03-12,2428740559
2001-03-13,2379230559
2001-03-14,2357226114
2001-03-15,2442493337
2001-03-16,2337972226
2001-03-19,2395733892
2001-03-20,2436992226
2001-03-21,2373729448
2001-03-22,2241702781
2001-03-23,2255455559
2001-03-26,2258206114
2001-03-27,2236201670
2001-03-28,2208696114
2001-03-29,2249954448
2001-03-30,2238952225
2001-04-02,2263707225
2001-04-03,2181190559
2001-04-04,2203195003
2001-04-05,2310466670
2001-04-06,2285711670
2001-04-09,2321468892
2001-04-10,2373729448
2001-04-11,2324219448
2001-04-12,2282961114
2001-04-16,2255455559
2001-04-17,2277460003
2001-04-18,2434241670
2001-04-19,2464497781
2001-04-20,2401235003
2001-04-23,2450745003
2001-04-24,2362727226
2001-04-25,2343473337
2001-04-26,2414987781
2001-04-27,2500255004
2001-04-30,2455384826
2001-05-01,2463391515
2001-05-02,2482073791
2001-05-03,2463391515
2001-05-04,2508762757
2001-05-07,2436702550
2001-05-08,2402006895
2001-05-09,2391331308
2001-05-10,2442040343
2001-05-11,2442040343
2001-05-14,2402006895
2001-05-15,2399337998
2001-05-16,2428695860
2001-05-17,2476735998
2001-05-18,2487411584
2001-05-21,2530113929
2001-05-22,2546127308
2001-05-23,2455384826
2001-05-24,2476735998
2001-05-25,2476735998
2001-05-29,2487411584
2001-05-30,2455384826
2001-05-31,2474067101
2001-06-01,2415351377
2001-06-04,2394000205
2001-06-05,2463391515
2001-06-06,2450047032
2001-06-07,2410013584
2001-06-08,2450047032
2001-06-11,2463391515
2001-06-12,2455384826
2001-06-13,2455384826
2001-06-14,2410013584
2001-06-15,2391331308
2001-06-18,2402006895
2001-06-19,2396669101
2001-06-20,2410013584
2001-06-21,2442040343
2001-06-22,2418020274
2001-06-25,2402006895
2001-06-26,2402006895
2001-06-27,2367311239
2001-06-28,2420689170
2001-06-29,2476735998
2001-07-02,2415351377
2001-07-03,2412682481
2001-07-05,2364642343
2001-07-06,2268562067
2001-07-09,2295251033
2001-07-10,2369980136
2001-07-11,2428695860
2001-07-12,2519438343
2001-07-13,2570147377
2001-07-16,2570147377
2001-07-17,2570147377
2001-07-18,2666227653
2001-07-19,2732950067
2001-07-20,2807679170
2001-07-23,2823692549
2001-07-24,2898421653
2001-07-25,3002508618
2001-07-26,2882408274
2001-07-27,2890414963
2001-07-30,2925110618
2001-07-31,2951718750
2001-08-01,2930728750
2001-08-02,2962213750
2001-08-03,3009441250
2001-08-06,2935976250
2001-08-07,2873006250
2001-08-08,2833650000
2001-08-09,2807412500
2001-08-10,2781175000
2001-08-13,2789046250
2001-08-14,2786422500
2001-08-15,2825778750
2001-08-16,2807412500
2001-08-17,2733947500
2001-08-20,2754937500
2001-08-21,2623750000
2001-08-22,2647363750
2001-08-23,2600136250
2001-08-24,2741818750
2001-08-27,2673601250
2001-08-28,2618502500
2001-08-29,2597512500
2001-08-30,2492562500
2001-08-31,2631621250
2001-09-04,2723452500
2001-09-05,2684096250
2001-09-06,2600136250
2001-09-07,2510928750
2001-09-10,2495186250
2001-09-17,2140980000
2001-09-18,2106871249
2001-09-19,2054396250
2001-09-20,1952070000
2001-09-21,1949446250
2001-09-24,2125237500
2001-09-25,2099000000
2001-09-26,1959941250
2001-09-27,1894347500
2001-09-28,1896971250
2001-10-01,1870733750
2001-10-02,1965188750
2001-10-03,2009792500
2001-10-04,2057020000
2001-10-05,2096376250
2001-10-08,2028158750
2001-10-09,1991426250
2001-10-10,2078010000
2001-10-11,2146227500
2001-10-12,2083257500
2001-10-15,2075386250
2001-10-16,2122613750
2001-10-17,2007168750
2001-10-18,1967812500
2001-10-19,2057020000
2001-10-22,1988802500
2001-10-23,1962565000
2001-10-24,1915337500
2001-10-25,1965188750
2001-10-26,2038653750
2001-10-29,1954693750
2001-10-30,1849743750
2001-10-31,1895783457
2001-11-01,1963009821
2001-11-02,1971076985
2001-11-05,2086706330
2001-11-06,2121664039
2001-11-07,2148554585
2001-11-08,2102840658
2001-11-09,2121664039
2001-11-12,2110907821
2001-11-13,2188890403
2001-11-14,2334099349
2001-11-15,2395947604
2001-11-16,2670231168
2001-11-19,2699810768
2001-11-20,2710566986
2001-11-21,2702499822
2001-11-23,2721323204
2001-11-26,2699810768
2001-11-27,2689054550
2001-11-28,2619139131
2001-11-29,2570736149
2001-11-30,2543845604
2001-12-03,2503509786
2001-12-04,2543845604
2001-12-05,2654096840
2001-12-06,2648718731
2001-12-07,2613761022
2001-12-10,2594937640
2001-12-11,2559979931
2001-12-12,2543845604
2001-12-13,2498131676
2001-12-14,2506198840
2001-12-17,2527711277
2001-12-18,2543845604
2001-12-19,2546534658
2001-12-20,2597626695
2001-12-21,2605693858
2001-12-24,2629895349
2001-12-26,2678298331
2001-12-27,2686365495
2001-12-28,2740146586
2001-12-31,2721323204
2002-01-02,2678298331
2002-01-03,2772415241
2002-01-04,2831574441
2002-01-07,2799305786
2002-01-08,3009052041
2002-01-09,2906867968
2002-01-10,2947203786
2002-01-11,2879977423
2002-01-14,2823507277
2002-01-15,2812751059
2002-01-16,2777793350
2002-01-17,2799305786
2002-01-18,2888044586
2002-01-22,2928380404
2002-01-23,2984850550
2002-01-24,3261823169
2002-01-25,3234932623
2002-01-28,3374763460
2002-01-29,3345183860
2002-01-30,3369385351
2002-01-31,3453731108
2002-02-01,3410047552
2002-02-04,3347252441
2002-02-05,3319950219
2002-02-06,3287187552
2002-02-07,3218931997
2002-02-08,3147946219
2002-02-11,3194359997
2002-02-12,3224392441
2002-02-13,3453731108
2002-02-14,3369094219
2002-02-15,3401856886
2002-02-19,3333601330
2002-02-20,3426428886
2002-02-21,3464651997
2002-02-22,3423698663
2002-02-25,3461921774
2002-02-26,3524716886
2002-02-27,3491954219
2002-02-28,3475572886
2002-03-01,3538367997
2002-03-04,3582051552
2002-03-05,3461921774
2002-03-06,3530177330
2002-03-07,3470112441
2002-03-08,3467382219
2002-03-11,3508335552
2002-03-12,3576591108
2002-03-13,3513795997
2002-03-14,3535637774
2002-03-15,3546558663
2002-03-18,3538367997
2002-03-19,3500144886
2002-03-20,3442810219
2002-03-21,3382745330
2002-03-22,3380015108
2002-03-25,3262615552
2002-03-26,3344522219
2002-03-27,3309029330
2002-03-28,3344522219
2002-04-01,3218931997
2002-04-02,3055118664
2002-04-03,3071499997
2002-04-04,3202550664
2002-04-05,3218931997
2002-04-08,3278996886
2002-04-09,3333601330
2002-04-10,3440079997
2002-04-11,3309029330
2002-04-12,3339061775
2002-04-15,3295378219
2002-04-16,3341791997
2002-04-17,3349982663
2002-04-18,3393666219
2002-04-19,3401856886
2002-04-22,3314489775
2002-04-23,3330871108
2002-04-24,3251694664
2002-04-25,3218931997
2002-04-26,3210741330
2002-04-29,3177978664
2002-04-30,3157107776
2002-05-01,3162490739
2002-05-02,3157107776
2002-05-03,3084437776
2002-05-06,3027916665
2002-05-07,3095203702
2002-05-08,3105969627
2002-05-09,3192097035
2002-05-10,3262075553
2002-05-13,3291681850
2002-05-14,3466628146
2002-05-15,3550064072
2002-05-16,3525840738
2002-05-17,3509691849
2002-05-20,3463936664
2002-05-21,3364351850
2002-05-22,3340128516
2002-05-23,3412798516
2002-05-24,3377809257
2002-05-28,3305139257
2002-05-29,3262075553
2002-05-30,3181331109
2002-05-31,3313213701
2002-06-03,3248618146
2002-06-04,3151724813
2002-06-05,3267458516
2002-06-06,3229777776
2002-06-07,3286298887
2002-06-10,3299756294
2002-06-11,3256692590
2002-06-12,3313213701
2002-06-13,3167873701
2002-06-14,3151724813
2002-06-17,3270149998
2002-06-18,3197479998
2002-06-19,3197479998
2002-06-20,3130192961
2002-06-21,3068288887
2002-06-24,3076363331
2002-06-25,3014459257
2002-06-26,2995618887
2002-06-27,3027916665
2002-06-28,3046757035
2002-07-01,2955246665
2002-07-02,2831438516
2002-07-03,2839512961
2002-07-05,2992927405
2002-07-08,3009076294
2002-07-09,2960629628
2002-07-10,2869119257
2002-07-11,2796449257
2002-07-12,2661875183
2002-07-15,2559598887
2002-07-16,2532684072
2002-07-17,2516535183
2002-07-18,2527301109
2002-07-19,2416950369
2002-07-22,2328131480
2002-07-23,2368503702
2002-07-24,2543449998
2002-07-25,2462705554
2002-07-26,2478854443
2002-07-29,2672641109
2002-07-30,2634960368
2002-07-31,2487644998
2002-08-01,2369185713
2002-08-02,2245461570
2002-08-05,2200710284
2002-08-06,2334964141
2002-08-07,2277050713
2002-08-08,2292845284
2002-08-09,2311272284
2002-08-12,2287580427
2002-08-13,2269153427
2002-08-14,2427099141
2002-08-15,2714033855
2002-08-16,2721931141
2002-08-19,2761417569
2002-08-20,2740358141
2002-08-21,2711401427
2002-08-22,2740358141
2002-08-23,2656120427
2002-08-26,2650855569
2002-08-27,2524498998
2002-08-28,2498174712
2002-08-29,2492909855
2002-08-30,2542925998
2002-09-03,2527131427
2002-09-04,2621898855
2002-09-05,2540293570
2002-09-06,2782476998
2002-09-09,2808801284
2002-09-10,2848287712
2002-09-11,2819330998
2002-09-12,2753520284
2002-09-13,2795639141
2002-09-16,2764049998
2002-09-17,2758785141
2002-09-18,2706136569
2002-09-19,2692974427
2002-09-20,2711401427
2002-09-23,2574515141
2002-09-24,2529763855
2002-09-25,2585044855
2002-09-26,2658752855
2002-09-27,2548190855
2002-09-30,2361288427
2002-10-01,2340228998
2002-10-02,2342861427
2002-10-03,2237564284
2002-10-04,2237564284
2002-10-07,2069088856
2002-10-08,2137531998
2002-10-09,2040132141
2002-10-10,2234931855
2002-10-11,2450790998
2002-10-14,2416569427
2002-10-15,2540293570
2002-10-16,2408672141
2002-10-17,2487644998
2002-10-18,2529763855
2002-10-21,2563985427
2002-10-22,2566617855
2002-10-23,2637693427
2002-10-24,2650855569
2002-10-25,2761417569
2002-10-28,2621898855
2002-10-29,2661385284
2002-10-30,2642958284
2002-10-31,2621898855
2002-11-01,2721931141
2002-11-04,2621898855
2002-11-05,2764049998
2002-11-06,2803536427
2002-11-07,2879876855
2002-11-08,2895671427
2002-11-11,2814066141
2002-11-12,2900936284
2002-11-13,2516601712
2002-11-14,2656120427
2002-11-15,2648223141
2002-11-18,2561352998
2002-11-19,2519234141
2002-11-20,2661385284
2002-11-21,2632428570
2002-11-22,2608736712
2002-11-25,2621898855
2002-11-26,2566617855
2002-11-27,2661385284
2002-11-29,2632428570
2002-12-02,2632428570
2002-12-03,2571882712
2002-12-04,2666650141
2002-12-05,2616633998
2002-12-06,2600839427
2002-12-09,2524498998
2002-12-10,2577147570
2002-12-11,2571882712
2002-12-12,2516601712
2002-12-13,2461320712
2002-12-16,2540293570
2002-12-17,2471850427
2002-12-18,2408672141
2002-12-19,2369185713
2002-12-20,2490277427
2002-12-23,2471850427
2002-12-24,2471850427
2002-12-26,2487644998
2002-12-27,2471850427
2002-12-30,2500807141
2002-12-31,2498174712
2003-01-02,2566617855
2003-01-03,2511336855
2003-01-06,2500807141
2003-01-07,2513969284
2003-01-08,2474482855
2003-01-09,2558720570
2003-01-10,2529763855
2003-01-13,2477115284
2003-01-14,2513969284
2003-01-15,2524498998
2003-01-16,2508704427
2003-01-17,2471850427
2003-01-21,2400774855
2003-01-22,2398142427
2003-01-23,2453423427
2003-01-24,2395509998
2003-01-27,2379715427
2003-01-28,2419201855
2003-01-29,2398142427
2003-01-30,2369185713
2003-01-31,2445827120
2003-02-03,2472942720
2003-02-04,2407865280
2003-02-05,2380749680
2003-02-06,2350922520
2003-02-07,2285845080
2003-02-10,2334653160
2003-02-11,2342787840
2003-02-12,2337364720
2003-02-13,2312960680
2003-02-14,2345499400
2003-02-18,2399730600
2003-02-19,2340076280
2003-02-20,2329230040
2003-02-21,2337364720
2003-02-24,2256017920
2003-02-25,2304826000
2003-02-26,2245171680
2003-02-27,2280421960
2003-02-28,2304826000
2003-03-03,2299402880
2003-03-04,2266864160
2003-03-05,2258729480
2003-03-06,2274998840
2003-03-07,2299402880
2003-03-10,2285845080
2003-03-11,2226190760
2003-03-12,2218056080
2003-03-13,2291268200
2003-03-14,2329230040
2003-03-17,2464808040
2003-03-18,2453961800
2003-03-19,2459384920
2003-03-20,2472942720
2003-03-21,2502769880
2003-03-24,2405153720
2003-03-25,2424134640
2003-03-26,2421423080
2003-03-27,2372615000
2003-03-28,2348210960
2003-03-31,2196363600
2003-04-01,2169248000
2003-04-02,2201786720
2003-04-03,2234325440
2003-04-04,2242460120
2003-04-07,2245171680
2003-04-08,2220767640
2003-04-09,2182805800
2003-04-10,2239748560
2003-04-11,2226190760
2003-04-14,2280421960
2003-04-15,2304826000
2003-04-16,2253306360
2003-04-17,2321095360
2003-04-21,2288556640
2003-04-22,2340076280
2003-04-23,2331941600
2003-04-24,2304826000
2003-04-25,2283133520
2003-04-28,2323806920
2003-04-29,2342787840
2003-04-30,2348210960
2003-05-01,2291268200
2003-05-02,2342787840
2003-05-05,2348210960
2003-05-06,2399730600
2003-05-07,2388884360
2003-05-08,2182805800
2003-05-09,2171959560
2003-05-12,2228902320
2003-05-13,2310249120
2003-05-14,2299402880
2003-05-15,2247883240
2003-05-16,2190940480
2003-05-19,2150267080
2003-05-20,2340076280
2003-05-21,2315672240
2003-05-22,2372615000
2003-05-23,2350922520
2003-05-27,2426846200
2003-05-28,2467519600
2003-05-29,2432269320
2003-05-30,2527173920
2003-06-02,2553867200
2003-06-03,2581036000
2003-06-04,2591903520
2003-06-05,2676126800
2003-06-06,2659825520
2003-06-09,2581036000
2003-06-10,2624506080
2003-06-11,2638090480
2003-06-12,2648958000
2003-06-13,2594620400
2003-06-16,2667976160
2003-06-17,2657108640
2003-06-18,2635373600
2003-06-19,2608204800
2003-06-20,2624506080
2003-06-23,2608204800
2003-06-24,2619072320
2003-06-25,2638090480
2003-06-26,2662542400
2003-06-27,2635373600
2003-06-30,2651674880
2003-07-01,2686994320
2003-07-02,2676126800
2003-07-03,2648958000
2003-07-07,2706012480
2003-07-08,2779368240
2003-07-09,2771217600
2003-07-10,2828272080
2003-07-11,2850007120
2003-07-14,2879892800
2003-07-15,2936947280
2003-07-16,2904344720
2003-07-17,2852724000
2003-07-18,2879892800
2003-07-21,2858157760
2003-07-22,2890760320
2003-07-23,2907061600
2003-07-24,2850007120
2003-07-25,2890760320
2003-07-28,2907061600
2003-07-29,2871742160
2003-07-30,2871742160
2003-07-31,2869025280
2003-08-01,2858157760
2003-08-04,2935984648
2003-08-05,2903271728
2003-08-06,2968697569
2003-08-07,2982327953
2003-08-08,3001410490
2003-08-11,3061384179
2003-08-12,3132262174
2003-08-13,3132262174
2003-08-14,3175879402
2003-08-15,3192235862
2003-08-18,3238579167
2003-08-19,3233127013
2003-08-20,3227674860
2003-08-21,3271292088
2003-08-22,3418500231
2003-08-25,3372156927
2003-08-26,3374883004
2003-08-27,3399417694
2003-08-28,3503008610
2003-08-29,3554804068
2003-09-02,3579338759
2003-09-03,3571160529
2003-09-04,3494830380
2003-09-05,3475747843
2003-09-08,3440308845
2003-09-09,3421226308
2003-09-10,3421226308
2003-09-11,3456665306
2003-09-12,3393965541
2003-09-15,3418500231
2003-09-16,3511186841
2003-09-17,3560256222
2003-09-18,3535721531
2003-09-19,3519365071
2003-09-22,3459391383
2003-09-23,3519365071
2003-09-24,3492104303
2003-09-25,3475747843
2003-09-26,3391239464
2003-09-29,3426678462
2003-09-30,3383061234
2003-10-01,3532995455
2003-10-02,3524817224
2003-10-03,3595695220
2003-10-06,3614777757
2003-10-07,3680203599
2003-10-08,3685655752
2003-10-09,3846494280
2003-10-10,3835589973
2003-10-13,3931002659
2003-10-14,3901015814
2003-10-15,3892837584
2003-10-16,3895563661
2003-10-17,3920098352
2003-10-20,4015511038
2003-10-21,4061854342
2003-10-22,3974619886
2003-10-23,4089115110
2003-10-24,4048223958
2003-10-27,4061854342
2003-10-28,4135458414
2003-10-29,4209062486
2003-10-30,4165445258
2003-10-31,4157267028
2003-11-03,4251640262
2003-11-04,4210362201
2003-11-05,4141565433
2003-11-06,4213114072
2003-11-07,4202106589
2003-11-10,4204858460
2003-11-11,4290166452
2003-11-12,4372722574
2003-11-13,4347955737
2003-11-14,4290166452
2003-11-17,4119550467
2003-11-18,4108542984
2003-11-19,4199354718
2003-11-20,4378226315
2003-11-21,4804766277
2003-11-24,4802014406
2003-11-25,4851548079
2003-11-26,4735969509
2003-11-28,4746976992
2003-12-01,4746976992
2003-12-02,4713954543
2003-12-03,4746976992
2003-12-04,4708450801
2003-12-05,4636902163
2003-12-08,4672676482
2003-12-09,4672676482
2003-12-10,4634150292
2003-12-11,4689187706
2003-12-12,4653413387
2003-12-15,4499308627
2003-12-16,4394737539
2003-12-17,4430511859
2003-12-18,4510316110
2003-12-19,4502060497
2003-12-22,4526827334
2003-12-23,4581864748
2003-12-24,4576361007
2003-12-26,4656165258
2003-12-29,4700195189
2003-12-30,4694691448
2003-12-31,4719458284
2004-01-02,4576361007
2004-01-05,4658917128
2004-01-06,4796510664
2004-01-07,4813021889
2004-01-08,4961622908
2004-01-09,4939607942
2004-01-12,5000149098
2004-01-13,5016660322
2004-01-14,5110223927
2004-01-15,5187276307
2004-01-16,5278088040
2004-01-20,5190028177
2004-01-21,5209291272
2004-01-22,5278088040
2004-01-23,5454207767
2004-01-26,5553275112
2004-01-27,5434944672
2004-01-28,5316614231
2004-01-29,5421185318
2004-01-30,5407425964
2004-02-02,5564400000
2004-02-03,5564400000
2004-02-04,5561617800
2004-02-05,5558835600
2004-02-06,5586657600
2004-02-09,5597786400
2004-02-10,5564400000
2004-02-11,5564400000
2004-02-12,5558835600
2004-02-13,5492062800
2004-02-17,5581093200
2004-02-18,5653430400
2004-02-19,5533795800
2004-02-20,5436418800
2004-02-23,5394685800
2004-02-24,5469805200
2004-02-25,5441983200
2004-02-26,5403032400
2004-02-27,5444765400
2004-03-01,5486498400
2004-03-02,5528231400
2004-03-03,5503191600
2004-03-04,5550489000
2004-03-05,5511538200
2004-03-08,5492062800
2004-03-09,5408596800
2004-03-10,5311219800
2004-03-11,5255575800
2004-03-12,5383557000
2004-03-15,5213842800
2004-03-16,5213842800
2004-03-17,5244447000
2004-03-18,5236100400
2004-03-19,5194367400
2004-03-22,5152634400
2004-03-23,5211060600
2004-03-24,5205496200
2004-03-25,5355735000
2004-03-26,5241664800
2004-03-29,5380774800
2004-03-30,5550489000
2004-03-31,5550489000
2004-04-01,5533795800
2004-04-02,5544924600
2004-04-05,5589439800
2004-04-06,5575528800
2004-04-07,5564400000
2004-04-08,5458676400
2004-04-12,5464240800
2004-04-13,5277833400
2004-04-14,5174892000
2004-04-15,5244447000
2004-04-16,5208278400
2004-04-19,5247229200
2004-04-20,5194367400
2004-04-21,5255575800
2004-04-22,5330695200
2004-04-23,5325130800
2004-04-26,5291744400
2004-04-27,5386339200
2004-04-28,5211060600
2004-04-29,5027435400
2004-04-30,4957880400
2004-05-03,5072071380
2004-05-04,5150882700
2004-05-05,5263470300
2004-05-06,5156512080
2004-05-07,4996074750
2004-05-10,4987630680
2004-05-11,5080515450
2004-05-12,5117106420
2004-05-13,5153697390
2004-05-14,5105847660
2004-05-17,4996074750
2004-05-18,5193103050
2004-05-19,5243767470
2004-05-20,5238138090
2004-05-21,5615306550
2004-05-24,5606862480
2004-05-25,5646268140
2004-05-26,5657526900
2004-05-27,5719450080
2004-05-28,5705376630
2004-06-01,5767299810
2004-06-02,5823593610
2004-06-03,5730708840
2004-06-04,5722264769
2004-06-07,5761670430
2004-06-08,5809520160
2004-06-09,5767299810
2004-06-10,5823593610
2004-06-14,5727894150
2004-06-15,5806705470
2004-06-16,5798261400
2004-06-17,5826408300
2004-06-18,5868628650
2004-06-21,5947439970
2004-06-22,5972772180
2004-06-23,6161356410
2004-06-24,6226094280
2004-06-25,6228908970
2004-06-28,6228908970
2004-06-29,6000919080
2004-06-30,5998104390
2004-07-01,6060027570
2004-07-02,5972772180
2004-07-06,6009363150
2004-07-07,6096618540
2004-07-08,5809520160
2004-07-09,5857369890
2004-07-12,5941810590
2004-07-13,5981216250
2004-07-14,5868628650
2004-07-15,5857369890
2004-07-16,5758855740
2004-07-19,5716635390
2004-07-20,6014992530
2004-07-21,5941810590
2004-07-22,6085359780
2004-07-23,6031880670
2004-07-26,5978401560
2004-07-27,6181059240
2004-07-28,6333052500
2004-07-29,6389346300
2004-07-30,6178244550
2004-08-02,6190712000
2004-08-03,6117549040
2004-08-04,6041572120
2004-08-05,5729222560
2004-08-06,5622292080
2004-08-09,5717966720
2004-08-10,5836153040
2004-08-11,5748920280
2004-08-12,5506919720
2004-08-13,5563198920
2004-08-16,5675757320
2004-08-17,5734850480
2004-08-18,5712338800
2004-08-19,5706710880
2004-08-20,5180500360
2004-08-23,5124221160
