,NWL
2000-12-11,5512478080
2000-12-12,5728288000
2000-12-13,5762924160
2000-12-14,5944097920
2000-12-15,5661680000
2000-12-18,5696316160
2000-12-19,5744273920
2000-12-20,5744273920
2000-12-21,5778910080
2000-12-22,5778910080
2000-12-26,5762924160
2000-12-27,5829532160
2000-12-28,6077313920
2000-12-29,6061328000
2001-01-02,6233528840
2001-01-03,6332177500
2001-01-04,6414829080
2001-01-05,6366837840
2001-01-08,6665450000
2001-01-09,6849416420
2001-01-10,6881410580
2001-01-11,6948065080
2001-01-12,7033382840
2001-01-16,7033382840
2001-01-17,7065377000
2001-01-18,7198686000
2001-01-19,7233346340
2001-01-22,7081374080
2001-01-23,7132031500
2001-01-24,7065377000
2001-01-25,7214683080
2001-01-26,7214683080
2001-01-29,7121366780
2001-01-30,7225347800
2001-01-31,7252009600
2001-02-01,7625274800
2001-02-02,7454639280
2001-02-05,7433309840
2001-02-06,7433309840
2001-02-07,7393317140
2001-02-08,7483967260
2001-02-09,7294668480
2001-02-12,7172024200
2001-02-13,7052046100
2001-02-14,7137363860
2001-02-15,7065377000
2001-02-16,6964062160
2001-02-20,7033382840
2001-02-21,6868079680
2001-02-22,6793426640
2001-02-23,6724105960
2001-02-26,6836085520
2001-02-27,6881410580
2001-02-28,7014719580
2001-03-01,7041381380
2001-03-02,7070709360
2001-03-05,7292002300
2001-03-06,7385318600
2001-03-07,7651936600
2001-03-08,7787911780
2001-03-09,7774580880
2001-03-12,7625274800
2001-03-13,7617276260
2001-03-14,7459971640
2001-03-15,7443974560
2001-03-16,7313331740
2001-03-19,7411980400
2001-03-20,7553287940
2001-03-21,7294668480
2001-03-22,7126699140
2001-03-23,7196019820
2001-03-26,7217349260
2001-03-27,7025384300
2001-03-28,6897407660
2001-03-29,6977393060
2001-03-30,7065377000
2001-04-02,7228827280
2001-04-03,6999510000
2001-04-04,6932848000
2001-04-05,6940847440
2001-04-06,6802190480
2001-04-09,6879518400
2001-04-10,6884851360
2001-04-11,6748860880
2001-04-12,6740861440
2001-04-16,6868852480
2001-04-17,6916849120
2001-04-18,7151499360
2001-04-19,7119501600
2001-04-20,6930181520
2001-04-23,6914182640
2001-04-24,6876851920
2001-04-25,7020841840
2001-04-26,7042173680
2001-04-27,7175497680
2001-04-30,7188830080
2001-05-01,7282156880
2001-05-02,7290156320
2001-05-03,6892850800
2001-05-04,6610203920
2001-05-07,6578206160
2001-05-08,6479546400
2001-05-09,6399552000
2001-05-10,6476879920
2001-05-11,6490212320
2001-05-14,6506211200
2001-05-15,6482212880
2001-05-16,7012842400
2001-05-17,6852853600
2001-05-18,6698197760
2001-05-21,6668866480
2001-05-22,6700864240
2001-05-23,6746194400
2001-05-24,6735528480
2001-05-25,6615536880
2001-05-29,6775525680
2001-05-30,6799524000
2001-05-31,6738194960
2001-06-01,6839521200
2001-06-04,6930181520
2001-06-05,6994177040
2001-06-06,6988844080
2001-06-07,7063505520
2001-06-08,7050173120
2001-06-11,6980844640
2001-06-12,7012842400
2001-06-13,6994177040
2001-06-14,6911516160
2001-06-15,6692864800
2001-06-18,6634202240
2001-06-19,6628869280
2001-06-20,6538208960
2001-06-21,6588872080
2001-06-22,6575539680
2001-06-25,6514210640
2001-06-26,6519543600
2001-06-27,6418217360
2001-06-28,6602204480
2001-06-29,6692864800
2001-07-02,6693216200
2001-07-03,6773214800
2001-07-05,6671883240
2001-07-06,6541218860
2001-07-09,6578551540
2001-07-10,6498552940
2001-07-11,6053227400
2001-07-12,6103893180
2001-07-13,6079893600
2001-07-16,5919896400
2001-07-17,5973228800
2001-07-18,5986561900
2001-07-19,5951895840
2001-07-20,6021227960
2001-07-23,6002561620
2001-07-24,5941229360
2001-07-25,5930562880
2001-07-26,5999895000
2001-07-27,5871897240
2001-07-30,5839897800
2001-07-31,5781232160
2001-08-01,6013228100
2001-08-02,6319889400
2001-08-03,6138559240
2001-08-06,6151892340
2001-08-07,6181225160
2001-08-08,6231890940
2001-08-09,6269223620
2001-08-10,6311889540
2001-08-13,6349222220
2001-08-14,6399888000
2001-08-15,6389221520
2001-08-16,6397221380
2001-08-17,6370555180
2001-08-20,6394554760
2001-08-21,6282556720
2001-08-22,6386554900
2001-08-23,6357222080
2001-08-24,6354555460
2001-08-27,6415887720
2001-08-28,6370555180
2001-08-29,6229224320
2001-08-30,6194558260
2001-08-31,6106559800
2001-09-04,6103893180
2001-09-05,6058560640
2001-09-06,6194558260
2001-09-07,6279890100
2001-09-10,6263890380
2001-09-17,5877230480
2001-09-18,5903896680
2001-09-19,5805231740
2001-09-20,5863897380
2001-09-21,5653234400
2001-09-24,5759899200
2001-09-25,5813231600
2001-09-26,5879897100
2001-09-27,6026561200
2001-09-28,6055894020
2001-10-01,6099406130
2001-10-02,6184749810
2001-10-03,6360771150
2001-10-04,6363438140
2001-10-05,6430112890
2001-10-08,6288762420
2001-10-09,6315432320
2001-10-10,6558128410
2001-10-11,6614135200
2001-10-12,6582131320
2001-10-15,6491453660
2001-10-16,6611468210
2001-10-17,6595466270
2001-10-18,6638138110
2001-10-19,6664808010
2001-10-22,6640805100
2001-10-23,6686143930
2001-10-24,6830161390
2001-10-25,6907504100
2001-10-26,7000848750
2001-10-29,6904837110
2001-10-30,7240877850
2001-10-31,7371560360
2001-11-01,7448903070
2001-11-02,7256879790
2001-11-05,7347557450
2001-11-06,7320887550
2001-11-07,7320887550
2001-11-08,7235543870
2001-11-09,7147533200
2001-11-12,7160868150
2001-11-13,7168869120
2001-11-14,7158201160
2001-11-15,7152867180
2001-11-16,7187538050
2001-11-19,7214207950
2001-11-20,7136865240
2001-11-21,7080858450
2001-11-23,7086192430
2001-11-26,7006182730
2001-11-27,6942174970
2001-11-28,6875500220
2001-11-29,6867499250
2001-11-30,6840829350
2001-12-03,6835495370
2001-12-04,6966177880
2001-12-05,7104861360
2001-12-06,7131531260
2001-12-07,7152867180
2001-12-10,7238210860
2001-12-11,7259546780
2001-12-12,7320887550
2001-12-13,7246211830
2001-12-14,7262213770
2001-12-17,7331555510
2001-12-18,7334222500
2001-12-19,7350224440
2001-12-20,7414232200
2001-12-21,7374227350
2001-12-24,7366226380
2001-12-26,7502242870
2001-12-27,7467572000
2001-12-28,7419566180
2001-12-31,7356392820
2002-01-02,7287018060
2002-01-03,7292354580
2002-01-04,7281681540
2002-01-07,7289686320
2002-01-08,7300359360
2002-01-09,7335046740
2002-01-10,7279013280
2002-01-11,7319037180
2002-01-14,7204302000
2002-01-15,7273676760
2002-01-16,7233652860
2002-01-17,7297691100
2002-01-18,7292354580
2002-01-22,7254998940
2002-01-23,7281681540
2002-01-24,7337715000
2002-01-25,7351056300
2002-01-28,7345719780
2002-01-29,7204302000
2002-01-30,7254998940
2002-01-31,7367065860
2002-02-01,7351056300
2002-02-04,7311032400
2002-02-05,7284349800
2002-02-06,7177619400
2002-02-07,7070889000
2002-02-08,7105576380
2002-02-11,7337715000
2002-02-12,7359061080
2002-02-13,7351056300
2002-02-14,7577858400
2002-02-15,7599204480
2002-02-19,7727280960
2002-02-20,7737954000
2002-02-21,7657906200
2002-02-22,7748627040
2002-02-25,7911390900
2002-02-26,8207567760
2002-02-27,8167543860
2002-02-28,8306293380
2002-03-01,8450379420
2002-03-04,8621148060
2002-03-05,8405019000
2002-03-06,8698527600
2002-03-07,8565114600
2002-03-08,8538432000
2002-03-11,8799921480
2002-03-12,8789248440
2002-03-13,8741219760
2002-03-14,8685186300
2002-03-15,8741219760
2002-03-18,8802589740
2002-03-19,9032060100
2002-03-20,8984031420
2002-03-21,8647830660
2002-03-22,8634489360
2002-03-25,8324971200
2002-03-26,8535763740
2002-03-27,8551773299
2002-03-28,8527758960
2002-04-01,8507639520
2002-04-02,8502298880
2002-04-03,8392815760
2002-04-04,8366112560
2002-04-05,8371453200
2002-04-08,8411508000
2002-04-09,8173849520
2002-04-10,8232596560
2002-04-11,8208563680
2002-04-12,8585078800
2002-04-15,8512980160
2002-04-16,8491617600
2002-04-17,8558375599
2002-04-18,8358101600
2002-04-19,8384804800
2002-04-22,8424859600
2002-04-23,8507639520
2002-04-24,8499628560
2002-04-25,8491617600
2002-04-26,8395486080
2002-04-29,8339409360
2002-04-30,8384804800
2002-05-01,8593089760
2002-05-02,8836088880
2002-05-03,8881484320
2002-05-06,9020340960
2002-05-07,9372823200
2002-05-08,9399526400
2002-05-09,9436910880
2002-05-10,9434240560
2002-05-13,9372823200
2002-05-14,9578437840
2002-05-15,9533042400
2002-05-16,9514350160
2002-05-17,9474295360
2002-05-20,9364812240
2002-05-21,9266010400
2002-05-22,9295383920
2002-05-23,9284702640
2002-05-24,9282032320
2002-05-28,9172549200
2002-05-29,9121813120
2002-05-30,9079088000
2002-05-31,9119142800
2002-06-03,9220614960
2002-06-04,9103120880
2002-06-05,9148516320
2002-06-06,9164538240
2002-06-07,9055055120
2002-06-10,9025681600
2002-06-11,8902846880
2002-06-12,9012330000
2002-06-13,8924209440
2002-06-14,8812056000
2002-06-17,9079088000
2002-06-18,9068406720
2002-06-19,9025681600
2002-06-20,9060395760
2002-06-21,9081758320
2002-06-24,9001648720
2002-06-25,8646496160
2002-06-26,8838759200
2002-06-27,9111131840
2002-06-28,9362141920
2002-07-01,9306576000
2002-07-02,9026016000
2002-07-03,8766832000
2002-07-05,9071440000
2002-07-08,9392080000
2002-07-09,9221072000
2002-07-10,8879056000
2002-07-11,8550400000
2002-07-12,8582463999
2002-07-15,8638576000
2002-07-16,8277856000
2002-07-17,8176320000
2002-07-18,8146928000
2002-07-19,7428160000
2002-07-22,7283872000
2002-07-23,7428160000
2002-07-24,7609856000
2002-07-25,7657952000
2002-07-26,7823616000
2002-07-29,8245792000
2002-07-30,8013328000
2002-07-31,8037376000
2002-08-01,9124880000
2002-08-02,9111520000
2002-08-05,9031360000
2002-08-06,9018000000
2002-08-07,8951200000
2002-08-08,9071440000
2002-08-09,9400096000
2002-08-12,9306576000
2002-08-13,9343984000
2002-08-14,9482928000
2002-08-15,9579120000
2002-08-16,9285200000
2002-08-19,9352000000
2002-08-20,9461552000
2002-08-21,9389408000
2002-08-22,9616528000
2002-08-23,9410784000
2002-08-26,9352000000
2002-08-27,9346656000
2002-08-28,9311920000
2002-08-29,9306576000
2002-08-30,9245120000
2002-09-03,8924480000
2002-09-04,9124880000
2002-09-05,9076784000
2002-09-06,9271840000
2002-09-09,9432160000
2002-09-10,9512320000
2002-09-11,9565760000
2002-09-12,9095488000
2002-09-13,9052736000
2002-09-16,9349328000
2002-09-17,9076784000
2002-09-18,8817600000
2002-09-19,8609184000
2002-09-20,8692016000
2002-09-23,8537040000
2002-09-24,8382064000
2002-09-25,8611856000
2002-09-26,8684000000
2002-09-27,8272512000
2002-09-30,8254638000
2002-10-01,8318814000
2002-10-02,8190462000
2002-10-03,8169070000
2002-10-04,8022000000
2002-10-07,7770644000
2002-10-08,7845516000
2002-10-09,7741230000
2002-10-10,7874930000
2002-10-11,8289400000
2002-10-14,8332184000
2002-10-15,8637020000
2002-10-16,8436470000
2002-10-17,8690500000
2002-10-18,8693174000
2002-10-21,9022076000
2002-10-22,8941856000
2002-10-23,9019402000
2002-10-24,9016728000
2002-10-25,9142406000
2002-10-28,8663760000
2002-10-29,8757350000
2002-10-30,8784090000
2002-10-31,8669108000
2002-11-01,8677130000
2002-11-04,8391012000
2002-11-05,8505994000
2002-11-06,8650390000
2002-11-07,8455188000
2002-11-08,8369620000
2002-11-11,8120938000
2002-11-12,8123612000
2002-11-13,8163722000
2002-11-14,8241268000
2002-11-15,8281378000
2002-11-18,8177092000
2002-11-19,8051414000
2002-11-20,7976542000
2002-11-21,8070132000
2002-11-22,8230572000
2002-11-25,8377642000
2002-11-26,8329510000
2002-11-27,8489950000
2002-11-29,8481928000
2002-12-02,8548778000
2002-12-03,8444492000
2002-12-04,8465884000
2002-12-05,8318814000
2002-12-06,8423100000
2002-12-09,8350902000
2002-12-10,8436470000
2002-12-11,8294748000
2002-12-12,8302770000
2002-12-13,8337532000
2002-12-16,8479254000
2002-12-17,8463210000
2002-12-18,8441818000
2002-12-19,8289400000
2002-12-20,8382990000
2002-12-23,8412404000
2002-12-24,8382990000
2002-12-26,8366946000
2002-12-27,8268008000
2002-12-30,8088850000
2002-12-31,8298288000
2003-01-02,8593776000
2003-01-03,8325648000
2003-01-06,8369424000
2003-01-07,8290080000
2003-01-08,8246304000
2003-01-09,8325648000
2003-01-10,8314704000
2003-01-13,8224416000
2003-01-14,8057520000
2003-01-15,8024688000
2003-01-16,8093088000
2003-01-17,8087616000
2003-01-21,7871472000
2003-01-22,7830432000
2003-01-23,7967232000
2003-01-24,7846848000
2003-01-27,7649856000
2003-01-28,8002800000
2003-01-29,7882416000
2003-01-30,7614288000
2003-01-31,7619760000
2003-02-03,7740144000
2003-02-04,7712784000
2003-02-05,7759296000
2003-02-06,7731936000
2003-02-07,7647120000
2003-02-10,7715520000
2003-02-11,7663536000
2003-02-12,7767504000
2003-02-13,7742880000
2003-02-14,8090352000
2003-02-18,8079408000
2003-02-19,7811280000
2003-02-20,7994592000
2003-02-21,8035632000
2003-02-24,7917984000
2003-02-25,7945344000
2003-02-26,7808544000
2003-02-27,7860528000
2003-02-28,7715520000
2003-03-03,7400880000
2003-03-04,7239456000
2003-03-05,6908400000
2003-03-06,6916608000
2003-03-07,6990480000
2003-03-10,6864624000
2003-03-11,6883776000
2003-03-12,6938496000
2003-03-13,7201152000
2003-03-14,7296912000
2003-03-17,7575984000
2003-03-18,7559568000
2003-03-19,7885152000
2003-03-20,7917984000
2003-03-21,8125920000
2003-03-24,7792128000
2003-03-25,7751088000
2003-03-26,7660800000
2003-03-27,7789392000
2003-03-28,7770240000
2003-03-31,7773570000
2003-04-01,7877766000
2003-04-02,8198580000
2003-04-03,8124546000
2003-04-04,8176644000
2003-04-07,8236968000
2003-04-08,8247936000
2003-04-09,8132772000
2003-04-10,8206806000
2003-04-11,8297292000
2003-04-14,8390520000
2003-04-15,8459070000
2003-04-16,8220516000
2003-04-17,8368584000
2003-04-21,8321970000
2003-04-22,8541330000
2003-04-23,8560524000
2003-04-24,8445360000
2003-04-25,8442618000
2003-04-28,8500200000
2003-04-29,8239710000
2003-04-30,8357616000
2003-05-01,8047770000
2003-05-02,8080674000
2003-05-05,8066964000
2003-05-06,7987446000
2003-05-07,8058738000
2003-05-08,8045028000
2003-05-09,7905186000
2003-05-12,7836636000
2003-05-13,7724214000
2003-05-14,7718730000
2003-05-15,7759860000
2003-05-16,7743408000
2003-05-19,7551468000
2003-05-20,7630986000
2003-05-21,7606308000
2003-05-22,7672116000
2003-05-23,7584372000
2003-05-27,7836636000
2003-05-28,7680342000
2003-05-29,7614534000
2003-05-30,7814700000
2003-06-02,7787280000
2003-06-03,7674858000
2003-06-04,7773570000
2003-06-05,7773570000
2003-06-06,7647438000
2003-06-09,7639212000
2003-06-10,7658406000
2003-06-11,7663890000
2003-06-12,7883250000
2003-06-13,7792764000
2003-06-16,7924380000
2003-06-17,7949058000
2003-06-18,7979220000
2003-06-19,8025834000
2003-06-20,7965510000
2003-06-23,7896960000
2003-06-24,7899702000
2003-06-25,7790022000
2003-06-26,7702278000
2003-06-27,7644696000
2003-06-30,7683200000
2003-07-01,7680456000
2003-07-02,7683200000
2003-07-03,7674968000
2003-07-07,7683200000
2003-07-08,7672224000
2003-07-09,7655760000
2003-07-10,7677712000
2003-07-11,7694176000
2003-07-14,7650272000
2003-07-15,7633808000
2003-07-16,7705152000
2003-07-17,7653016000
2003-07-18,7757288000
2003-07-21,7727104000
2003-07-22,7845096000
2003-07-23,7949368000
2003-07-24,7902720000
2003-07-25,7996016000
2003-07-28,8064616000
2003-07-29,7891744000
2003-07-30,7798448000
2003-07-31,6484072000
2003-08-01,6338640000
2003-08-04,6407240000
2003-08-05,6486816000
2003-08-06,6470352000
2003-08-07,6399008000
2003-08-08,6437424000
2003-08-11,6462120000
2003-08-12,6486816000
2003-08-13,6305712000
2003-08-14,6311200000
2003-08-15,6215160000
2003-08-18,6264552000
2003-08-19,6379800000
2003-08-20,6462120000
2003-08-21,6604808000
2003-08-22,6448400000
2003-08-25,6399008000
2003-08-26,6486816000
2003-08-27,6404496000
2003-08-28,6423704000
2003-08-29,6517000000
2003-09-02,6684384000
2003-09-03,6654200000
2003-09-04,6684384000
2003-09-05,6613040000
2003-09-08,6667920000
2003-09-09,6560904000
2003-09-10,6525232000
2003-09-11,6514256000
2003-09-12,6558160000
2003-09-15,6665176000
2003-09-16,6687128000
2003-09-17,6654200000
2003-09-18,6585600000
2003-09-19,6154792000
2003-09-22,6036800000
2003-09-23,5998384000
2003-09-24,5946248000
2003-09-25,5877648000
2003-09-26,5852952000
2003-09-29,5902344000
2003-09-30,5946248000
2003-10-01,6077960000
2003-10-02,6091680000
2003-10-03,6075216000
2003-10-06,6135584000
2003-10-07,6174000000
2003-10-08,6267296000
2003-10-09,6256320000
2003-10-10,6270040000
2003-10-13,6368824000
2003-10-14,6374312000
2003-10-15,6335896000
2003-10-16,6311200000
2003-10-17,6291992000
2003-10-20,6237112000
2003-10-21,6141072000
2003-10-22,6135584000
2003-10-23,6154792000
2003-10-24,6127352000
2003-10-27,6066984000
2003-10-28,6094424000
2003-10-29,6091680000
2003-10-30,6256320000
2003-10-31,6256320000
2003-11-03,6278272000
2003-11-04,6245344000
2003-11-05,6226136000
2003-11-06,6201440000
2003-11-07,6253576000
2003-11-10,6245344000
2003-11-11,6206928000
2003-11-12,6283760000
2003-11-13,6281016000
2003-11-14,6237112000
2003-11-17,6242600000
2003-11-18,6105400000
2003-11-19,6113632000
2003-11-20,6105400000
2003-11-21,6270040000
2003-11-24,6278272000
2003-11-25,6281016000
2003-11-26,6286504000
2003-11-28,6275528000
2003-12-01,6355104000
2003-12-02,6409984000
2003-12-03,6431936000
2003-12-04,6371568000
2003-12-05,6316688000
2003-12-08,6302968000
2003-12-09,5762400000
2003-12-10,5803560000
2003-12-11,5965456000
2003-12-12,5954480000
2003-12-15,5850208000
2003-12-16,5940760000
2003-12-17,6031312000
2003-12-18,6058752000
2003-12-19,5995640000
2003-12-22,5995640000
2003-12-23,6110888000
2003-12-24,6064240000
2003-12-26,6154792000
2003-12-29,6190464000
2003-12-30,6223392000
2003-12-31,6248088000
2004-01-02,6212416000
2004-01-05,6228880000
2004-01-06,6267296000
2004-01-07,6379800000
2004-01-08,6399008000
2004-01-09,6399008000
2004-01-12,6420960000
2004-01-13,6379800000
2004-01-14,6453888000
2004-01-15,6404496000
2004-01-16,6481328000
2004-01-20,6519744000
2004-01-21,6580112000
2004-01-22,6555416000
2004-01-23,6489560000
2004-01-26,6333152000
2004-01-27,6311200000
2004-01-28,6195952000
2004-01-29,6645968000
2004-01-30,6703592000
2004-02-02,6681640000
2004-02-03,6624016000
2004-02-04,6695360000
2004-02-05,6676152000
2004-02-06,6634992000
2004-02-09,6678896000
2004-02-10,6629504000
2004-02-11,6673408000
2004-02-12,6969760000
2004-02-13,6942320000
2004-02-17,7093240000
2004-02-18,7148120000
2004-02-19,7117936000
2004-02-20,7071288000
2004-02-23,7178304000
2004-02-24,6939576000
2004-02-25,6947808000
2004-02-26,6972504000
2004-02-27,7021896000
2004-03-01,6969760000
2004-03-02,6972504000
2004-03-03,7035616000
2004-03-04,7065800000
2004-03-05,7035616000
2004-03-08,7041104000
2004-03-09,6884696000
2004-03-10,6774936000
2004-03-11,6599320000
2004-03-12,6829816000
2004-03-15,6527976000
2004-03-16,6503280000
2004-03-17,6423704000
2004-03-18,6264552000
2004-03-19,6242600000
2004-03-22,6201440000
2004-03-23,6248088000
2004-03-24,6261808000
2004-03-25,6333152000
2004-03-26,6366080000
2004-03-29,6346872000
2004-03-30,6341384000
2004-03-31,6366080000
2004-04-01,6464864000
2004-04-02,6517000000
2004-04-05,6522488000
2004-04-06,6522488000
2004-04-07,6484072000
2004-04-08,6495048000
2004-04-12,6555416000
2004-04-13,6453888000
2004-04-14,6519744000
2004-04-15,6552672000
2004-04-16,6720056000
2004-04-19,6673408000
2004-04-20,6613040000
2004-04-21,6670664000
2004-04-22,6788656000
2004-04-23,6816096000
2004-04-26,6829816000
2004-04-27,6794144000
2004-04-28,6807864000
2004-04-29,6489560000
2004-04-30,6486816000
2004-05-03,6489560000
2004-05-04,6530720000
2004-05-05,6456632000
2004-05-06,6283760000
2004-05-07,6209672000
2004-05-10,6226136000
2004-05-11,6250832000
2004-05-12,6286504000
2004-05-13,6305712000
2004-05-14,6407240000
2004-05-17,6223392000
2004-05-18,6261808000
2004-05-19,6319432000
2004-05-20,6242600000
2004-05-21,6275528000
2004-05-24,6385288000
2004-05-25,6393520000
2004-05-26,6366080000
2004-05-27,6377056000
2004-05-28,6467608000
2004-06-01,6448400000
2004-06-02,6459376000
2004-06-03,6396264000
2004-06-04,6451144000
2004-06-07,6453888000
2004-06-08,6420960000
2004-06-09,6366080000
2004-06-10,6396264000
2004-06-14,6393520000
2004-06-15,6420960000
2004-06-16,6366080000
2004-06-17,6360592000
2004-06-18,6360592000
2004-06-21,6338640000
2004-06-22,6313944000
2004-06-23,6481328000
2004-06-24,6412728000
2004-06-25,6311200000
2004-06-28,6390776000
2004-06-29,6335896000
2004-06-30,6448400000
2004-07-01,6396264000
2004-07-02,6357848000
2004-07-06,6366080000
2004-07-07,6302968000
2004-07-08,6146560000
2004-07-09,6220648000
2004-07-12,6201440000
2004-07-13,6132840000
2004-07-14,6091680000
2004-07-15,6047776000
2004-07-16,6006616000
2004-07-19,6058752000
2004-07-20,6056008000
2004-07-21,6009360000
2004-07-22,6025824000
2004-07-23,5916064000
2004-07-26,5855696000
2004-07-27,5973688000
2004-07-28,5951736000
2004-07-29,5896856000
2004-07-30,5927040000
2004-08-02,5946248000
2004-08-03,5984664000
2004-08-04,5940760000
2004-08-05,5811792000
2004-08-06,5710264000
2004-08-09,5762400000
2004-08-10,5858440000
2004-08-11,5872160000
2004-08-12,5732216000
2004-08-13,5729472000
2004-08-16,5803560000
2004-08-17,5798072000
2004-08-18,5877648000
2004-08-19,5872160000
2004-08-20,5951736000
2004-08-23,5990152000
