,RF
2001-01-12,4819578960
2001-01-16,4937758560
2001-01-17,5025856080
2001-01-18,4933461120
2001-01-19,4916271360
2001-01-22,5075276640
2001-01-23,5036599680
2001-01-24,5047343280
2001-01-25,5036599680
2001-01-26,5101061280
2001-01-29,5133292080
2001-01-30,5167671600
2001-01-31,5178415200
2001-02-01,5189158800
2001-02-02,5178415200
2001-02-05,5199902400
2001-02-06,5167671600
2001-02-07,5189158800
2001-02-08,5199902400
2001-02-09,5210646000
2001-02-12,5221389600
2001-02-13,5210646000
2001-02-14,5199902400
2001-02-15,5253620400
2001-02-16,5307338400
2001-02-20,5221389600
2001-02-21,5210646000
2001-02-22,5210646000
2001-02-23,5229984480
2001-02-26,5285851200
2001-02-27,5264364000
2001-02-28,5221389600
2001-03-01,5285851200
2001-03-02,5427666720
2001-03-05,5438410320
2001-03-06,5416923120
2001-03-07,5569482240
2001-03-08,5569482240
2001-03-09,5438410320
2001-03-12,5189158800
2001-03-13,5285851200
2001-03-14,5036599680
2001-03-15,5122548480
2001-03-16,5047343280
2001-03-19,5015112480
2001-03-20,4884040560
2001-03-21,4731481440
2001-03-22,4656276240
2001-03-23,4819578960
2001-03-26,4894784160
2001-03-27,4905527760
2001-03-28,4894784160
2001-03-29,4903379040
2001-03-30,4948502160
2001-04-02,5323634170
2001-04-03,5323634170
2001-04-04,5162036040
2001-04-05,5391915070
2001-04-06,5323634170
2001-04-09,5355498590
2001-04-10,5517096720
2001-04-11,5555789230
2001-04-12,5592205710
2001-04-16,5546685110
2001-04-17,5537580990
2001-04-18,5728767510
2001-04-19,5719663390
2001-04-20,5662762640
2001-04-23,5674142790
2001-04-24,5619518070
2001-04-25,5630898220
2001-04-26,5555789230
2001-04-27,5715111330
2001-04-30,5612689980
2001-05-01,5530752900
2001-05-02,5621794100
2001-05-03,5605861890
2001-05-04,5630898220
2001-05-07,5594481740
2001-05-08,5562617320
2001-05-09,5537580990
2001-05-10,5535304960
2001-05-11,5521648780
2001-05-14,5562617320
2001-05-15,5592205710
2001-05-16,5712835300
2001-05-17,5658210580
2001-05-18,5628622190
2001-05-21,5608137920
2001-05-22,5680970880
2001-05-23,5678694850
2001-05-24,5669590730
2001-05-25,5630898220
2001-05-29,5696903090
2001-05-30,5644554400
2001-05-31,5719663390
2001-06-01,5728767510
2001-06-04,5749251780
2001-06-05,5822084740
2001-06-06,5774288110
2001-06-07,5749251780
2001-06-08,5699179120
2001-06-11,5669590730
2001-06-12,5651382490
2001-06-13,5560341290
2001-06-14,5457919940
2001-06-15,5548961140
2001-06-18,5592205710
2001-06-19,5685522940
2001-06-20,5749251780
2001-06-21,5885813580
2001-06-22,5765183990
2001-06-25,5776564140
2001-06-26,5776564140
2001-06-27,5758355900
2001-06-28,5853949160
2001-06-29,5899469760
2001-07-02,5925911710
2001-07-03,5905422580
2001-07-05,5878103740
2001-07-06,5791594080
2001-07-09,5784764370
2001-07-10,5695978140
2001-07-11,5716467270
2001-07-12,5791594080
2001-07-13,5884933450
2001-07-16,5832572340
2001-07-17,5921358570
2001-07-18,5962336830
2001-07-19,5907699150
2001-07-20,5843955190
2001-07-23,5834848910
2001-07-24,5791594080
2001-07-25,5750615820
2001-07-26,5837125480
2001-07-27,5898592870
2001-07-30,5894039730
2001-07-31,5900869440
2001-08-01,5941847700
2001-08-02,5925911710
2001-08-03,5964613400
2001-08-06,5916805430
2001-08-07,5953230550
2001-08-08,5900869440
2001-08-09,5898592870
2001-08-10,5900869440
2001-08-13,5905422580
2001-08-14,5884933450
2001-08-15,5837125480
2001-08-16,5878103740
2001-08-17,5823466060
2001-08-20,5807530070
2001-08-21,5793870650
2001-08-22,5825742630
2001-08-23,5761998670
2001-08-24,5689148430
2001-08-27,5543447950
2001-08-28,5538894810
2001-08-29,5459214860
2001-08-30,5434172590
2001-08-31,5420513170
2001-09-04,5497916550
2001-09-05,5459214860
2001-09-06,5356769210
2001-09-07,5217898440
2001-09-10,5222451580
2001-09-17,5063091680
2001-09-18,5188303030
2001-09-19,5147324770
2001-09-20,5013007140
2001-09-21,4951539750
2001-09-24,5079027670
2001-09-25,5170090470
2001-09-26,5170090470
2001-09-27,5195132740
2001-09-28,5322620660
2001-10-01,5388641190
2001-10-02,5359045780
2001-10-03,5377258340
2001-10-04,5261153270
2001-10-05,5120005930
2001-10-08,4855923810
2001-10-09,4933327190
2001-10-10,4974305450
2001-10-11,5031219700
2001-10-12,4946986610
2001-10-15,5013007140
2001-10-16,5067644820
2001-10-17,4983411730
2001-10-18,4921944340
2001-10-19,4962922600
2001-10-22,5047155690
2001-10-23,5063091680
2001-10-24,5097240230
2001-10-25,5163260760
2001-10-26,5188303030
2001-10-29,5090410520
2001-10-30,5015283710
2001-10-31,4962922600
2001-11-01,5069921390
2001-11-02,5090410520
2001-11-05,5215621870
2001-11-06,5302131530
2001-11-07,5318067520
2001-11-08,5315790950
2001-11-09,5331726940
2001-11-12,5302131530
2001-11-13,5374981770
2001-11-14,5400024040
2001-11-15,5370428630
2001-11-16,5338556650
2001-11-19,5381811480
2001-11-20,5374981770
2001-11-21,5302131530
2001-11-23,5377258340
2001-11-26,5415960030
2001-11-27,5374981770
2001-11-28,5343109790
2001-11-29,5372705200
2001-11-30,5304408100
2001-12-03,5249770420
2001-12-04,5338556650
2001-12-05,5461491430
2001-12-06,5456938290
2001-12-07,5452385150
2001-12-10,5397747470
2001-12-11,5459214860
2001-12-12,5438725730
2001-12-13,5343109790
2001-12-14,5384088050
2001-12-17,5409130320
2001-12-18,5477427420
2001-12-19,5511575970
2001-12-20,5548001090
2001-12-21,5520682250
2001-12-24,5520682250
2001-12-26,5486533700
2001-12-27,5484257130
2001-12-28,5522958820
2001-12-31,5520682250
2002-01-02,5583380240
2002-01-03,5606376040
2002-01-04,5654667220
2002-01-07,5679962600
2002-01-08,5629371840
2002-01-09,5643169320
2002-01-10,5666165120
2002-01-11,5590278980
2002-01-14,5597177720
2002-01-15,5705257980
2002-01-16,5652367640
2002-01-17,5732852940
2002-01-18,5737452100
2002-01-22,5769646220
2002-01-23,5824836140
2002-01-24,5850131520
2002-01-25,5875426900
2002-01-28,5861629420
2002-01-29,5705257980
2002-01-30,5767346640
2002-01-31,5824836140
2002-02-01,5827135720
2002-02-04,5716755880
2002-02-05,5742051260
2002-02-06,5698359240
2002-02-07,5712156720
2002-02-08,5813338240
2002-02-11,5820236980
2002-02-12,5813338240
2002-02-13,5884625220
2002-02-14,5958211780
2002-02-15,5905321440
2002-02-19,5834034460
2002-02-20,5900722280
2002-02-21,5836334040
2002-02-22,5882325640
2002-02-25,5967410100
2002-02-26,6006502960
2002-02-27,6057093720
2002-02-28,6052494560
2002-03-01,6137579020
2002-03-04,6254857600
2002-03-05,6238760540
2002-03-06,6367537020
2002-03-07,6337642480
2002-03-08,6362937860
2002-03-11,6436524420
2002-03-12,6427326100
2002-03-13,6346840800
2002-03-14,6312347100
2002-03-15,6477916860
2002-03-18,6413528620
2002-03-19,6454921060
2002-03-20,6362937860
2002-03-21,6362937860
2002-03-22,6376735340
2002-03-25,6289351300
2002-03-26,6360638280
2002-03-27,6454921060
2002-03-28,6397431560
2002-04-01,6271847420
2002-04-02,6287588880
2002-04-03,6172901100
2002-04-04,6186393780
2002-04-05,6193140120
2002-04-08,6215627920
2002-04-09,6260603520
2002-04-10,6307827900
2002-04-11,6258354740
2002-04-12,6325818140
2002-04-15,6251608400
2002-04-16,6348305940
2002-04-17,6368544960
2002-04-18,6368544960
2002-04-19,6404525440
2002-04-22,6332564480
2002-04-23,6337062040
2002-04-24,6334813260
2002-04-25,6339310820
2002-04-26,6289837660
2002-04-29,6339310820
2002-04-30,6388783980
2002-05-01,6411271780
2002-05-02,6469740060
2002-05-03,6474237620
2002-05-06,6447252260
2002-05-07,6478735180
2002-05-08,6489979080
2002-05-09,6427013240
2002-05-10,6366296180
2002-05-13,6442754700
2002-05-14,6539452240
2002-05-15,6516964440
2002-05-16,6550696140
2002-05-17,6575432720
2002-05-20,6476486400
2002-05-21,6483232740
2002-05-22,6460744940
2002-05-23,6541701020
2002-05-24,6516964440
2002-05-28,6462993720
2002-05-29,6494476640
2002-05-30,6494476640
2002-05-31,6566437600
2002-06-03,6471988840
2002-06-04,6436008360
2002-06-05,6487730300
2002-06-06,6393281540
2002-06-07,6471988840
2002-06-10,6485481520
2002-06-11,6388783980
2002-06-12,6334813260
2002-06-13,6224623040
2002-06-14,6307827900
2002-06-17,6456247380
2002-06-18,6465242500
2002-06-19,6451749820
2002-06-20,6420266900
2002-06-21,6375291300
2002-06-24,6348305940
2002-06-25,6321320580
2002-06-26,6274096200
2002-06-27,6303330340
2002-06-28,6402276660
2002-07-01,6251216500
2002-07-02,6317601100
2002-07-03,6255642140
2002-07-05,6390624160
2002-07-08,6414965180
2002-07-09,6284408800
2002-07-10,6156065240
2002-07-11,6182619080
2002-07-12,6085255000
2002-07-15,6060913980
2002-07-16,6021083220
2002-07-17,6040998600
2002-07-18,5786524300
2002-07-19,5702437140
2002-07-22,5512134620
2002-07-23,5259873140
2002-07-24,5605073060
2002-07-25,5815290960
2002-07-26,5897165300
2002-07-29,6255642140
2002-07-30,6257854960
2002-07-31,6315388280
2002-08-01,6138362680
2002-08-02,6087467820
2002-08-05,5897165300
2002-08-06,6067552440
2002-08-07,6138362680
2002-08-08,6341942120
2002-08-09,6361857500
2002-08-12,6361857500
2002-08-13,6220237020
2002-08-14,6403901080
2002-08-15,6434880560
2002-08-16,6410539540
2002-08-19,6474711320
2002-08-20,6417178000
2002-08-21,6377347240
2002-08-22,6419390820
2002-08-23,6288834440
2002-08-26,6370708780
2002-08-27,6388411340
2002-08-28,6317601100
2002-08-29,6348580580
2002-08-30,6401688260
2002-09-03,6182619080
2002-09-04,6333090840
2002-09-05,6326452380
2002-09-06,6408326720
2002-09-09,6432667740
2002-09-10,6344154940
2002-09-11,6295472900
2002-09-12,6038785780
2002-09-13,6122872940
2002-09-16,6158278060
2002-09-17,5985678100
2002-09-18,5881675560
2002-09-19,5684734580
2002-09-20,5740055080
2002-09-23,5788737120
2002-09-24,5647116640
2002-09-25,5850696080
2002-09-26,5963549900
2002-09-27,5824142240
2002-09-30,5855121720
2002-10-01,6110234500
2002-10-02,5773972500
2002-10-03,5411163500
2002-10-04,5085962750
2002-10-07,4855888750
2002-10-08,5057203500
2002-10-09,4911195000
2002-10-10,5181089500
2002-10-11,5546110750
2002-10-14,5625751750
2002-10-15,5893434000
2002-10-16,5793882750
2002-10-17,5908919750
2002-10-18,5979711750
2002-10-21,6059352750
2002-10-22,6065989500
2002-10-23,6101385500
2002-10-24,5984136250
2002-10-25,6141206000
2002-10-28,6079263000
2002-10-29,6010683250
2002-10-30,6092536500
2002-10-31,6068201750
2002-11-01,6254030750
2002-11-04,6218634750
2002-11-05,6247394000
2002-11-06,6169965250
2002-11-07,5913344250
2002-11-08,5866887000
2002-11-11,5762911250
2002-11-12,5860250250
2002-11-13,5820429750
2002-11-14,6001834250
2002-11-15,6101385500
2002-11-18,5992985250
2002-11-19,5975287250
2002-11-20,6145630500
2002-11-21,6245181750
2002-11-22,6273941000
2002-11-25,6273941000
2002-11-26,6227483750
2002-11-27,6293851250
2002-11-29,6225271500
2002-12-02,6181026500
2002-12-03,6081475250
2002-12-04,6048291500
2002-12-05,5955377000
2002-12-06,6026169000
2002-12-09,5928830000
2002-12-10,6039442500
2002-12-11,5988560750
2002-12-12,5911132000
2002-12-13,5860250250
2002-12-16,6006258750
2002-12-17,5984136250
2002-12-18,5924405500
2002-12-19,5877948250
2002-12-20,5979711750
2002-12-23,5964226000
2002-12-24,5955377000
2002-12-26,5970862750
2002-12-27,5928830000
2002-12-30,5988560750
2002-12-31,5977499500
2003-01-02,6198263880
2003-01-03,6127350600
2003-01-06,6331226280
2003-01-07,6264745080
2003-01-08,6196047840
2003-01-09,6306849840
2003-01-10,6238152600
2003-01-13,6247016760
2003-01-14,6300201720
2003-01-15,6211560120
2003-01-16,6138430800
2003-01-17,6136214760
2003-01-21,6040925040
2003-01-22,5976659880
2003-01-23,6047573160
2003-01-24,5888018280
2003-01-27,5823753120
2003-01-28,5888018280
2003-01-29,5919042840
2003-01-30,5786080440
2003-01-31,5883586200
2003-02-03,5890234320
2003-02-04,5799376680
2003-02-05,5763920040
2003-02-06,5757271920
2003-02-07,5690790720
2003-02-10,5775000240
2003-02-11,5684142600
2003-02-12,5588852880
2003-02-13,5597717040
2003-02-14,5679710520
2003-02-18,5721815280
2003-02-19,5699654880
2003-02-20,5661982200
2003-02-21,5750623800
2003-02-24,5615445360
2003-02-25,5728463400
2003-02-26,5635389720
2003-02-27,5781648360
2003-02-28,5812672920
2003-03-03,5728463400
2003-03-04,5644253880
2003-03-05,5783864400
2003-03-06,5757271920
2003-03-07,5768352120
2003-03-10,5568908520
2003-03-11,5504643360
2003-03-12,5473618800
2003-03-13,5613229320
2003-03-14,5617661400
2003-03-17,5766136080
2003-03-18,5721815280
2003-03-19,5788296480
2003-03-20,5843697480
2003-03-21,6003252360
2003-03-24,5859209760
2003-03-25,5883586200
2003-03-26,5843697480
2003-03-27,5848129560
2003-03-28,5856993720
2003-03-31,5814888960
2003-04-01,5915310060
2003-04-02,6039749340
2003-04-03,5886422370
2003-04-04,5910865800
2003-04-07,5810869950
2003-04-08,5817536340
2003-04-09,5681986410
2003-04-10,5801981430
2003-04-11,5813092080
2003-04-14,5924198580
2003-04-15,6035305080
2003-04-16,5881978110
2003-04-17,5937531360
2003-04-21,5946419880
2003-04-22,6093080460
2003-04-23,6093080460
2003-04-24,6050859990
2003-04-25,6004195260
2003-04-28,6090858330
2003-04-29,6075303420
2003-04-30,6066414900
2003-05-01,6041971470
2003-05-02,6110857500
2003-05-05,6044193600
2003-05-06,6070859160
2003-05-07,6053082120
2003-05-08,5993084610
2003-05-09,6035305080
2003-05-12,6059748510
2003-05-13,6057526380
2003-05-14,6053082120
2003-05-15,6110857500
2003-05-16,6101968980
2003-05-19,5977529700
2003-05-20,6035305080
2003-05-21,6066414900
2003-05-22,6008639520
2003-05-23,6037527210
2003-05-27,6161966490
2003-05-28,6179743530
2003-05-29,6133078800
2003-05-30,6306404940
2003-06-02,6293072160
2003-06-03,6339736890
2003-06-04,6464176170
2003-06-05,6479731080
2003-06-06,6470842560
2003-06-09,6361958190
2003-06-10,6415289310
2003-06-11,6426399960
2003-06-12,6408622920
2003-06-13,6370846710
2003-06-16,6475286820
2003-06-17,6395290140
2003-06-18,6419733570
2003-06-19,6286405770
2003-06-20,6293072160
2003-06-23,6190854180
2003-06-24,6208631220
2003-06-25,6179743530
2003-06-26,6199742700
2003-06-27,6130856670
2003-06-30,6079747680
2003-07-01,6177377280
2003-07-02,6184053120
2003-07-03,6150673920
2003-07-07,6253036800
2003-07-08,6293091840
2003-07-09,6313119360
2003-07-10,6228558720
2003-07-11,6295317120
2003-07-14,6435509760
2003-07-15,6444410880
2003-07-16,6484465920
2003-07-17,6482240640
2003-07-18,6511169280
2003-07-21,6491141760
2003-07-22,6540097920
2003-07-23,6560125440
2003-07-24,6493367040
2003-07-25,6604631040
2003-07-28,6560125440
2003-07-29,6524520960
2003-07-30,6515619840
2003-07-31,6506718720
2003-08-01,6406581120
2003-08-04,6433284480
2003-08-05,6315344640
2003-08-06,6370976640
2003-08-07,6408806400
2003-08-08,6404355840
2003-08-11,6350949120
2003-08-12,6417707520
2003-08-13,6382103040
2003-08-14,6475564800
2003-08-15,6453312000
2003-08-18,6484465920
2003-08-19,6406581120
2003-08-20,6419932800
2003-08-21,6377652480
2003-08-22,6277514880
2003-08-25,6297542400
2003-08-26,6317569920
2003-08-27,6295317120
2003-08-28,6326471040
2003-08-29,6355399680
2003-09-02,6411031680
2003-09-03,6428833920
2003-09-04,6453312000
2003-09-05,6446636160
2003-09-08,6495592320
2003-09-09,6428833920
2003-09-10,6237459840
2003-09-11,6244135680
2003-09-12,6237459840
2003-09-15,6217432320
2003-09-16,6277514880
2003-09-17,6226333440
2003-09-18,6322020480
2003-09-19,6308668800
2003-09-22,6248586240
2003-09-23,6284190720
2003-09-24,6248586240
2003-09-25,6212981760
2003-09-26,6181827840
2003-09-29,6199630080
2003-09-30,6172926720
2003-10-01,6342319200
2003-10-02,6335657100
2003-10-03,6337877800
2003-10-06,6428926500
2003-10-07,6499988900
2003-10-08,6497768200
2003-10-09,6524416600
2003-10-10,6517754500
2003-10-13,6564389200
2003-10-14,6593258300
2003-10-15,6537740800
2003-10-16,6568830600
2003-10-17,6566609900
2003-10-20,6517754500
2003-10-21,6488885400
2003-10-22,6424485100
2003-10-23,6464457700
2003-10-24,6431147200
2003-10-27,6566609900
2003-10-28,6615465300
2003-10-29,6568830600
2003-10-30,6615465300
2003-10-31,6611023900
2003-11-03,6697631200
2003-11-04,6708734700
2003-11-05,6697631200
2003-11-06,6748707300
2003-11-07,6782017800
2003-11-10,6773135000
2003-11-11,6726500300
2003-11-12,6808666200
2003-11-13,6799783400
2003-11-14,6782017800
2003-11-17,6726500300
2003-11-18,6622127400
2003-11-19,6619906700
2003-11-20,6551065000
2003-11-21,6551065000
2003-11-24,6613244600
2003-11-25,6628789500
2003-11-26,6673203500
2003-11-28,6675424200
2003-12-01,6715396800
2003-12-02,6664320700
2003-12-03,6690969100
2003-12-04,6619906700
2003-12-05,6539961500
2003-12-08,6704293300
2003-12-09,6633230900
2003-12-10,6564389200
2003-12-11,6679865600
2003-12-12,6673203500
2003-12-15,6555506400
2003-12-16,6604361800
2003-12-17,6511092400
2003-12-18,6584375500
2003-12-19,6573272000
2003-12-22,6631010200
2003-12-23,6631010200
2003-12-24,6568830600
2003-12-26,6582154800
2003-12-29,6655437900
2003-12-30,6677644900
2003-12-31,6690969100
2004-01-02,6571673670
2004-01-05,6644716860
2004-01-06,6633649710
2004-01-07,6627009420
2004-01-08,6611515410
2004-01-09,6622582560
2004-01-12,6571673670
2004-01-13,6509697630
2004-01-14,6507484200
2004-01-15,6587167680
2004-01-16,6578313960
2004-01-20,6587167680
2004-01-21,6757601790
2004-01-22,6768668940
2004-01-23,7127244600
2004-01-26,7036493970
2004-01-27,6987798510
2004-01-28,6852779280
2004-01-29,6704479470
2004-01-30,6722186910
2004-02-02,6660210870
2004-02-03,6607088550
2004-02-04,6562819950
2004-02-05,6571673670
2004-02-06,6642503430
2004-02-09,6611515410
2004-02-10,6640290000
2004-02-11,6686772030
2004-02-12,6644716860
2004-02-13,6638076570
2004-02-17,6631436280
2004-02-18,6624795990
2004-02-19,6604875120
2004-02-20,6562819950
2004-02-23,6562819950
2004-02-24,6551752800
2004-02-25,6529618500
2004-02-26,6531831930
2004-02-27,6615942270
2004-03-01,6615942270
2004-03-02,6584954250
2004-03-03,6657997440
2004-03-04,6666851160
2004-03-05,6777522660
2004-03-08,6781949520
2004-03-09,6777522660
2004-03-10,6666851160
2004-03-11,6514124490
2004-03-12,6615942270
2004-03-15,6571673670
2004-03-16,6525191640
2004-03-17,6516337920
2004-03-18,6562819950
2004-03-19,6483136470
2004-03-22,6434441010
2004-03-23,6410093280
2004-03-24,6372464970
2004-03-25,6467642460
2004-03-26,6443294730
2004-03-29,6547325940
2004-03-30,6558393090
2004-03-31,6547325940
2004-04-01,9994688090
2004-04-02,9904344408
2004-04-05,9723657043
2004-04-06,9824038912
2004-04-07,9737041293
2004-04-08,9723657043
2004-04-12,9633313361
2004-04-13,9486086620
2004-04-14,9368974440
2004-04-15,9271938633
2004-04-16,9476048433
2004-04-19,9352244128
2004-04-20,9295361069
2004-04-21,9542969679
2004-04-22,9666773984
2004-04-23,9690196420
2004-04-26,9623275174
2004-04-27,9650043673
2004-04-28,9445933872
2004-04-29,9365628377
2004-04-30,9405781125
2004-05-03,9419165374
2004-05-04,9492778745
2004-05-05,9452625997
2004-05-06,9492778745
2004-05-07,9348898066
2004-05-10,9215055574
2004-05-11,9305399256
2004-05-12,9472702371
2004-05-13,9476048433
2004-05-14,9492778745
2004-05-17,9466010246
2004-05-18,9563046053
2004-05-19,9650043673
2004-05-20,9683504296
2004-05-21,9810654663
2004-05-24,9874229847
2004-05-25,9961227467
2004-05-26,10048225086
2004-05-27,10205490015
2004-05-28,10305871884
2004-06-01,10215528201
2004-06-02,10265719136
2004-06-03,10205490015
2004-06-04,10255680949
2004-06-07,10352716756
2004-06-08,10366101005
2004-06-09,10205490015
2004-06-10,10289141572
2004-06-14,10135222706
2004-06-15,10061609336
2004-06-16,10014764463
2004-06-17,9894306221
2004-06-18,9884268034
2004-06-21,9874229847
2004-06-22,10064955398
2004-06-23,10061609336
2004-06-24,10044879024
2004-06-25,9864191660
2004-06-28,10054917211
2004-06-29,9961227467
2004-06-30,13693137600
2004-07-01,13979953320
2004-07-02,14132613300
2004-07-06,14202004200
2004-07-07,14257516920
2004-07-08,14114109060
2004-07-09,14007709680
2004-07-12,13989205440
2004-07-13,13970701200
2004-07-14,13836545460
2004-07-15,13970701200
2004-07-16,13887432120
2004-07-19,13887432120
2004-07-20,13910562420
2004-07-21,13767154560
2004-07-22,13688511540
2004-07-23,13725520020
2004-07-26,13707015780
2004-07-27,13822667280
2004-07-28,13790284860
2004-07-29,13679259420
2004-07-30,13734772140
2004-08-02,13794910920
2004-08-03,13855049700
2004-08-04,13942944840
2004-08-05,13864301820
2004-08-06,13878180000
2004-08-09,13859675760
2004-08-10,14053970280
2004-08-11,14188126020
2004-08-12,14132613300
2004-08-13,14183499960
2004-08-16,14377794480
2004-08-17,14396298720
2004-08-18,14595219300
2004-08-19,14535080520
2004-08-20,14632227780
2004-08-23,14488819920
2004-08-24,14525828400
