,HON
2000-10-23,38303657156
2000-10-24,40890000014
2000-10-25,40076228585
2000-10-26,40027885728
2000-10-27,39504171442
2000-10-30,41228400014
2000-10-31,41276742871
2000-11-01,41035028585
2000-11-02,39979542871
2000-11-03,39600857156
2000-11-06,40559657157
2000-11-07,41615142871
2000-11-08,41035028585
2000-11-09,41180057157
2000-11-10,40938342871
2000-11-13,38835428585
2000-11-14,39794228585
2000-11-15,39600857156
2000-11-16,39504171442
2000-11-17,39117428585
2000-11-20,37779942870
2000-11-21,38255314299
2000-11-22,37006457155
2000-11-24,37296514298
2000-11-27,37296514298
2000-11-28,37683257156
2000-11-29,37054800013
2000-11-30,37393200013
2000-12-01,38303657156
2000-12-04,38835428585
2000-12-05,40608000014
2000-12-06,40608000014
2000-12-07,40366285728
2000-12-08,41800457157
2000-12-11,42332228586
2000-12-12,39979542871
2000-12-13,39979542871
2000-12-14,38787085728
2000-12-15,36724457155
2000-12-18,38158628584
2000-12-19,37489885727
2000-12-20,35282228583
2000-12-21,35523942869
2000-12-22,36627771441
2000-12-26,36821142870
2000-12-27,36482742870
2000-12-28,36772800013
2000-12-29,36289371441
2001-01-02,34546600000
2001-01-03,37572400000
2001-01-04,37523200000
2001-01-05,36645800000
2001-01-08,35670000000
2001-01-09,34882800000
2001-01-10,35276400000
2001-01-11,36982000000
2001-01-12,36301400000
2001-01-16,37375600000
2001-01-17,37474000000
2001-01-18,38154600000
2001-01-19,37761000000
2001-01-22,36736000000
2001-01-23,37375600000
2001-01-24,36982000000
2001-01-25,36932800000
2001-01-26,36252200000
2001-01-29,35752000000
2001-01-30,36982000000
2001-01-31,36883600000
2001-02-01,37269000000
2001-02-02,37236200000
2001-02-05,38581000000
2001-02-06,38449800000
2001-02-07,37900400000
2001-02-08,38080800000
2001-02-09,36850800000
2001-02-12,38302200000
2001-02-13,38015200000
2001-02-14,37211600000
2001-02-15,37859400000
2001-02-16,37638000000
2001-02-20,38408800000
2001-02-21,37990600000
2001-02-22,37629800000
2001-02-23,36686800000
2001-02-26,37998800000
2001-02-27,37588800000
2001-02-28,36481800000
2001-03-01,35948800000
2001-03-02,34964800000
2001-03-05,35637200000
2001-03-06,36104600000
2001-03-07,36285000000
2001-03-08,36170200000
2001-03-09,34333399999
2001-03-12,31537200000
2001-03-13,32964000000
2001-03-14,31734000000
2001-03-15,31627400000
2001-03-16,30832000000
2001-03-19,31652000000
2001-03-20,30799200000
2001-03-21,29487200000
2001-03-22,28052200000
2001-03-23,29626600000
2001-03-26,30676199999
2001-03-27,32308000000
2001-03-28,31693000000
2001-03-29,31578200000
2001-03-30,31848800000
2001-04-02,32116666653
2001-04-03,30341666654
2001-04-04,30299999987
2001-04-05,32249999987
2001-04-06,31333333320
2001-04-09,31416666654
2001-04-10,33591666653
2001-04-11,32999999986
2001-04-12,34466666652
2001-04-16,34308333319
2001-04-17,35183333319
2001-04-18,37283333318
2001-04-19,37766666651
2001-04-20,37458333318
2001-04-23,36833333318
2001-04-24,36008333318
2001-04-25,37691666651
2001-04-26,39024999984
2001-04-27,39624999984
2001-04-30,38774999984
2001-05-01,38833333317
2001-05-02,38916666651
2001-05-03,38399999984
2001-05-04,39516666650
2001-05-07,39591666650
2001-05-08,39083333317
2001-05-09,39266666650
2001-05-10,39458333317
2001-05-11,39266666650
2001-05-14,39591666650
2001-05-15,39916666650
2001-05-16,41333333316
2001-05-17,41649999983
2001-05-18,42241666649
2001-05-21,42441666649
2001-05-22,41999999983
2001-05-23,40941666650
2001-05-24,40858333316
2001-05-25,39824999984
2001-05-29,39299999984
2001-05-30,38583333317
2001-05-31,38399999984
2001-06-01,38374999984
2001-06-04,38666666651
2001-06-05,38749999984
2001-06-06,38749999984
2001-06-07,38674999984
2001-06-08,36899999985
2001-06-11,35899999985
2001-06-12,34491666652
2001-06-13,33524999986
2001-06-14,29433333321
2001-06-15,30699999987
2001-06-18,31733333320
2001-06-19,30541666654
2001-06-20,29383333321
2001-06-21,29158333321
2001-06-22,29033333321
2001-06-25,28241666655
2001-06-26,28716666655
2001-06-27,29349999988
2001-06-28,30308333321
2001-06-29,27758333322
2001-07-02,26317789480
2001-07-03,27087789480
2001-07-05,28165789481
2001-07-06,27152631586
2001-07-09,26763578954
2001-07-10,26544736849
2001-07-11,27395789480
2001-07-12,27865894744
2001-07-13,28165789481
2001-07-16,27849684217
2001-07-17,27703789480
2001-07-18,28165789481
2001-07-19,28214421059
2001-07-20,28473789481
2001-07-23,27906421059
2001-07-24,27938842112
2001-07-25,28392736849
2001-07-26,28546736849
2001-07-27,28838526323
2001-07-30,28700736849
2001-07-31,28449473691
2001-08-01,28336000007
2001-08-02,28433263165
2001-08-03,28392736849
2001-08-06,28182000007
2001-08-07,28198210533
2001-08-08,28011789480
2001-08-09,27841578954
2001-08-10,28165789481
2001-08-13,27922631586
2001-08-14,28303578954
2001-08-15,28798000007
2001-08-16,28935789481
2001-08-17,28514315796
2001-08-20,29397789481
2001-08-21,28741263165
2001-08-22,28935789481
2001-08-23,29260000007
2001-08-24,30054315797
2001-08-27,30054315797
2001-08-28,28943894744
2001-08-29,28554842112
2001-08-30,28457578954
2001-08-31,28749368428
2001-09-04,28514315796
2001-09-05,28854736849
2001-09-06,28473789481
2001-09-07,27582210533
2001-09-10,27549789480
2001-09-17,22759578953
2001-09-18,21997684216
2001-09-19,20506315794
2001-09-20,18204421057
2001-09-21,19136526320
2001-09-24,21478947374
2001-09-25,21795052637
2001-09-26,20060526321
2001-09-27,19331052636
2001-09-28,20368526321
2001-10-01,20141578952
2001-10-02,19793052636
2001-10-03,20798105268
2001-10-04,20992631584
2001-10-05,21462736847
2001-10-08,22013894742
2001-10-09,21949052637
2001-10-10,22224631584
2001-10-11,22646105269
2001-10-12,22484000005
2001-10-15,21835578953
2001-10-16,21876105268
2001-10-17,21373578952
2001-10-18,21308736847
2001-10-19,21065578952
2001-10-22,21568105268
2001-10-23,21300631584
2001-10-24,21827473689
2001-10-25,22378631584
2001-10-26,23148631584
2001-10-29,23075684216
2001-10-30,22143578953
2001-10-31,22800105269
2001-11-01,23497157900
2001-11-02,24040210532
2001-11-05,24680526322
2001-11-06,24680526322
2001-11-07,24015894743
2001-11-08,24502210532
2001-11-09,24486000006
2001-11-12,23553894742
2001-11-13,24461684216
2001-11-14,24072631585
2001-11-15,23821368427
2001-11-16,24040210532
2001-11-19,24607578953
2001-11-20,24688631585
2001-11-21,24575157901
2001-11-23,25174947374
2001-11-26,25774736848
2001-11-27,25491052638
2001-11-28,25385684217
2001-11-29,25499157901
2001-11-30,25572105269
2001-12-03,25466736848
2001-12-04,25750421059
2001-12-05,26617684217
2001-12-06,26309684217
2001-12-07,26366421059
2001-12-10,26042210533
2001-12-11,26196210533
2001-12-12,26001684217
2001-12-13,25231684217
2001-12-14,24453578953
2001-12-17,24315789480
2001-12-18,24907473690
2001-12-19,25312736848
2001-12-20,25020947374
2001-12-21,25231684217
2001-12-24,25539684217
2001-12-26,25158736848
2001-12-27,25474842111
2001-12-28,26082736848
2001-12-31,26319999988
2002-01-02,25993043467
2002-01-03,26507999988
2002-01-04,26916695640
2002-01-07,26998434771
2002-01-08,26458956510
2002-01-09,26810434771
2002-01-10,26311826075
2002-01-11,25870434771
2002-01-14,24668869554
2002-01-15,23925043468
2002-01-16,22723478251
2002-01-17,22649913033
2002-01-18,22837913033
2002-01-22,22952347816
2002-01-23,22952347816
2002-01-24,24587130424
2002-01-25,25445391293
2002-01-28,24938608685
2002-01-29,24047652163
2002-01-30,25649739119
2002-01-31,26156521728
2002-02-01,26205565206
2002-02-04,24954956511
2002-02-05,25494434771
2002-02-06,25641565206
2002-02-07,26393565206
2002-02-08,25453565206
2002-02-11,25469913032
2002-02-12,25617043467
2002-02-13,25911304336
2002-02-14,26458956510
2002-02-15,26181043467
2002-02-19,25404521728
2002-02-20,26843130423
2002-02-21,26499826075
2002-02-22,27309043466
2002-02-25,28363478248
2002-02-26,28101913031
2002-02-27,28911130422
2002-02-28,29663130422
2002-03-01,30962782595
2002-03-04,30733913030
2002-03-05,29802086943
2002-03-06,30349739117
2002-03-07,30946434769
2002-03-08,31011826073
2002-03-11,31216173899
2002-03-12,31257043464
2002-03-13,31003652160
2002-03-14,31412347812
2002-03-15,31126260856
2002-03-18,31183478247
2002-03-19,31118086943
2002-03-20,30619478247
2002-03-21,30341565204
2002-03-22,30112695639
2002-03-25,29295304335
2002-03-26,29720347813
2002-03-27,29802086943
2002-03-28,29777565204
2002-04-01,30048107137
2002-04-02,29966142851
2002-04-03,29515339280
2002-04-04,29654678566
2002-04-05,29638285709
2002-04-08,29572714280
2002-04-09,29367803566
2002-04-10,31171017851
2002-04-11,31171017851
2002-04-12,31654607137
2002-04-15,31211999994
2002-04-16,31802142851
2002-04-17,31572642851
2002-04-18,29884178566
2002-04-19,29548124994
2002-04-22,29154696423
2002-04-23,29302232137
2002-04-24,29089124994
2002-04-25,29466160709
2002-04-26,28810446423
2002-04-29,28113749995
2002-04-30,28621928566
2002-05-01,28712089280
2002-05-02,28949785709
2002-05-03,28507178566
2002-05-06,28089160709
2002-05-07,29498946423
2002-05-08,30138267851
2002-05-09,29712053566
2002-05-10,29531732137
2002-05-13,29900571423
2002-05-14,30695624994
2002-05-15,30630053566
2002-05-16,30597267851
2002-05-17,30802178566
2002-05-20,30351374994
2002-05-21,29802214280
2002-05-22,29892374994
2002-05-23,30433339280
2002-05-24,29556321423
2002-05-28,29375999994
2002-05-29,29187482137
2002-05-30,29523535709
2002-05-31,30589071423
2002-06-03,29302232137
2002-06-04,28359642852
2002-06-05,28867821423
2002-06-06,28236696423
2002-06-07,28646517852
2002-06-10,28687499995
2002-06-11,28400624995
2002-06-12,28753071423
2002-06-13,28146535709
2002-06-14,27777696423
2002-06-17,28859624994
2002-06-18,29056339280
2002-06-19,28376035709
2002-06-20,28138339280
2002-06-21,27662946423
2002-06-24,27720321423
2002-06-25,27195749995
2002-06-26,27359678566
2002-06-27,27548196423
2002-06-28,27490821423
2002-07-01,26920080000
2002-07-02,26318560000
2002-07-03,26821199999
2002-07-05,28634000000
2002-07-08,28197280000
2002-07-09,27332080000
2002-07-10,26302080000
2002-07-11,25988960000
2002-07-12,25552240000
2002-07-15,25296800000
2002-07-16,25099040000
2002-07-17,24398640000
2002-07-18,25123760000
2002-07-19,23698240000
2002-07-22,23179120000
2002-07-23,22355120000
2002-07-24,24118480000
2002-07-25,24118480000
2002-07-26,24044320000
2002-07-29,25980720000
2002-07-30,25914800000
2002-07-31,25387440000
2002-08-01,24711760000
2002-08-02,23805360000
2002-08-05,22668240000
2002-08-06,23846560000
2002-08-07,24901280000
2002-08-08,26565760000
2002-08-09,25692320000
2002-08-12,25601680000
2002-08-13,23690000000
2002-08-14,24184400000
2002-08-15,25206160000
2002-08-16,24942480000
2002-08-19,25041360000
2002-08-20,24036080000
2002-08-21,24118480000
2002-08-22,24596400000
2002-08-23,23805360000
2002-08-26,23764160000
2002-08-27,23179120000
2002-08-28,23063760000
2002-08-29,22923680000
2002-08-30,23492240000
2002-09-03,22833040000
2002-09-04,23607600000
2002-09-05,23335680000
2002-09-06,23838320000
2002-09-09,23657040000
2002-09-10,23690000000
2002-09-11,22371600000
2002-09-12,22231520000
2002-09-13,18482320000
2002-09-16,19339280000
2002-09-17,19248640000
2002-09-18,18828400000
2002-09-19,17971440000
2002-09-20,18556480000
2002-09-23,18020880000
2002-09-24,17081520000
2002-09-25,18012640000
2002-09-26,18358720000
2002-09-27,17575920000
2002-09-30,16916539476
2002-10-01,17917421056
2002-10-02,17105230266
2002-10-03,16891927634
2002-10-04,15653131581
2002-10-07,15677743424
2002-10-08,15407013160
2002-10-09,14996815792
2002-10-10,15308565792
2002-10-11,16777072371
2002-10-14,16383282897
2002-10-15,17449796055
2002-10-16,16662217108
2002-10-17,17400572371
2002-10-18,17646690792
2002-10-21,18795243424
2002-10-22,18245578950
2002-10-23,18352230266
2002-10-24,18385046056
2002-10-25,18647572372
2002-10-28,18491697371
2002-10-29,18729611845
2002-10-30,18910098687
2002-10-31,18696796056
2002-11-01,19238256582
2002-11-04,19574618424
2002-11-05,20140690793
2002-11-06,21149776319
2002-11-07,20148894740
2002-11-08,20312973688
2002-11-11,19377723687
2002-11-12,19746901319
2002-11-13,19722289477
2002-11-14,18089703950
2002-11-15,18261986845
2002-11-18,17736934213
2002-11-19,17958440792
2002-11-20,17884605266
2002-11-21,19279276319
2002-11-22,18869078951
2002-11-25,19131605266
2002-11-26,18778835529
2002-11-27,19090585529
2002-11-29,20312973688
2002-12-02,20173506582
2002-12-03,19796125003
2002-12-04,19525394740
2002-12-05,19000342108
2002-12-06,19033157898
2002-12-09,18270190792
2002-12-10,18918302635
2002-12-11,19377723687
2002-12-12,19098789477
2002-12-13,18516309214
2002-12-16,19065973687
2002-12-17,18778835529
2002-12-18,18508105266
2002-12-19,18672184214
2002-12-20,18376842108
2002-12-23,17810769740
2002-12-24,17663098687
2002-12-26,17704118424
2002-12-27,17334940792
2002-12-30,17548243424
2002-12-31,19346333340
2003-01-02,20133733341
2003-01-03,19947466674
2003-01-06,20624800008
2003-01-07,20269200007
2003-01-08,19744266674
2003-01-09,20675600008
2003-01-10,20667133341
2003-01-13,20463933341
2003-01-14,20650200008
2003-01-15,20370800008
2003-01-16,20269200007
2003-01-17,20193000007
2003-01-21,19566466674
2003-01-22,19270133340
2003-01-23,19879733341
2003-01-24,18999200007
2003-01-27,18059400007
2003-01-28,18914533340
2003-01-29,18897600007
2003-01-30,18939933340
2003-01-31,19701933341
2003-02-03,19532600007
2003-02-04,19388666674
2003-02-05,19380200007
2003-02-06,19346333340
2003-02-07,19168533340
2003-02-10,19050000007
2003-02-11,18736733340
2003-02-12,18398066673
2003-02-13,18118666673
2003-02-14,18702866674
2003-02-18,19236266674
2003-02-19,18939933340
2003-02-20,19227800007
2003-02-21,19532600007
2003-02-24,18855266674
2003-02-25,18542000007
2003-02-26,18491200007
2003-02-27,18618200007
2003-02-28,18448866673
2003-03-03,18482733340
2003-03-04,17890066673
2003-03-05,17991666673
2003-03-06,17653000006
2003-03-07,17534466673
2003-03-10,17026466673
2003-03-11,16840200006
2003-03-12,16713200006
2003-03-13,17390533340
2003-03-14,18110200007
2003-03-17,18897600007
2003-03-18,19185466674
2003-03-19,19236266674
2003-03-20,19041533340
2003-03-21,19388666674
2003-03-24,18254133340
2003-03-25,18118666673
2003-03-26,17983200007
2003-03-27,17720733340
2003-03-28,17568333340
2003-03-31,17536378375
2003-04-01,18036432429
2003-04-02,18338189185
2003-04-03,18389918915
2003-04-04,18389918915
2003-04-07,18458891888
2003-04-08,18312324320
2003-04-09,18424405401
2003-04-10,18053675672
2003-04-11,17734675672
2003-04-14,18364054050
2003-04-15,18381297293
2003-04-16,18372675672
2003-04-17,18519243239
2003-04-21,18467513510
2003-04-22,19079648645
2003-04-23,18881351347
2003-04-24,19027918915
2003-04-25,18622702699
2003-04-28,18915837834
2003-04-29,19027918915
2003-04-30,19372783780
2003-05-01,19415891888
2003-05-02,19846972969
2003-05-05,19846972969
2003-05-06,20036648644
2003-05-07,19838351347
2003-05-08,19493486482
2003-05-09,19855594590
2003-05-12,20459108104
2003-05-13,20312540536
2003-05-14,20519459455
2003-05-15,20640162158
2003-05-16,20441864861
2003-05-19,19743513509
2003-05-20,19441756753
2003-05-21,19648675671
2003-05-22,20062513509
2003-05-23,20088378374
2003-05-27,20950540536
2003-05-28,21002270266
2003-05-29,21381621617
2003-05-30,21502324320
2003-06-02,21666135131
2003-06-03,21959270266
2003-06-04,22347243239
2003-06-05,22554162157
2003-06-06,22605891887
2003-06-09,22105837833
2003-06-10,22355864860
2003-06-11,22786945941
2003-06-12,22907648644
2003-06-13,22864540536
2003-06-16,23502540536
2003-06-17,23459432428
2003-06-18,23821540536
2003-06-19,23019729725
2003-06-20,23355972968
2003-06-23,22312756752
2003-06-24,22657621617
2003-06-25,22347243239
2003-06-26,22364486482
2003-06-27,21907540536
2003-06-30,21981600000
2003-07-01,22102000000
2003-07-02,22781400000
2003-07-03,22248200000
2003-07-07,22970600000
2003-07-08,22772800000
2003-07-09,22944800000
2003-07-10,22480400000
2003-07-11,22557800000
2003-07-14,23202800000
2003-07-15,22824400000
2003-07-16,22721200000
2003-07-17,22514800000
2003-07-18,22678200000
2003-07-21,22790000000
2003-07-22,23529600000
2003-07-23,23280200000
2003-07-24,23142600000
2003-07-25,23598400000
2003-07-28,23443600000
2003-07-29,23177000000
2003-07-30,23220000000
2003-07-31,23151200000
2003-08-01,22936200000
2003-08-04,23022200000
2003-08-05,22772800000
2003-08-06,22609400000
2003-08-07,22635200000
2003-08-08,22652400000
2003-08-11,22489000000
2003-08-12,22755600000
2003-08-13,22850200000
2003-08-14,23306000000
2003-08-15,23374800000
2003-08-18,24011200000
2003-08-19,24131600000
2003-08-20,23718800000
2003-08-21,23882200000
2003-08-22,23839200000
2003-08-25,23607000000
2003-08-26,23254400000
2003-08-27,23426400000
2003-08-28,23744600000
2003-08-29,23736000000
2003-09-02,24372400000
2003-09-03,24415400000
2003-09-04,24114400000
2003-09-05,24303600000
2003-09-08,24613200000
2003-09-09,23830600000
2003-09-10,22996400000
2003-09-11,23280200000
2003-09-12,23271600000
2003-09-15,23134000000
2003-09-16,23761800000
2003-09-17,23409200000
2003-09-18,23168400000
2003-09-19,22901800000
2003-09-22,22600800000
2003-09-23,22205200000
2003-09-24,21852600000
2003-09-25,21715000000
2003-09-26,21465600000
2003-09-29,21715000000
2003-09-30,21577400000
2003-10-01,21990200000
2003-10-02,21749400000
2003-10-03,22136400000
2003-10-06,22368600000
2003-10-07,22437400000
2003-10-08,22583600000
2003-10-09,22815800000
2003-10-10,22514800000
2003-10-13,23555400000
2003-10-14,23779000000
2003-10-15,23856400000
2003-10-16,24234800000
2003-10-17,23753200000
2003-10-20,23933800000
2003-10-21,23787600000
2003-10-22,23426400000
2003-10-23,23555400000
2003-10-24,23254400000
2003-10-27,23598400000
2003-10-28,24269200000
2003-10-29,24140200000
2003-10-30,24940000000
2003-10-31,25060400000
2003-11-03,25223800000
2003-11-04,25155000000
2003-11-05,24888400000
2003-11-06,24922800000
2003-11-07,24948600000
2003-11-10,24398200000
2003-11-11,24346600000
2003-11-12,24828200000
2003-11-13,24733600000
2003-11-14,24346600000
2003-11-17,24312200000
2003-11-18,23641400000
2003-11-19,23839200000
2003-11-20,23736000000
2003-11-21,23701600000
2003-11-24,24105800000
2003-11-25,24312200000
2003-11-26,24441200000
2003-11-28,24312200000
2003-12-01,24604600000
2003-12-02,23951000000
2003-12-03,24269200000
2003-12-04,24725000000
2003-12-05,24492800000
2003-12-08,24716400000
2003-12-09,24957200000
2003-12-10,24811000000
2003-12-11,25361400000
2003-12-12,25619400000
2003-12-15,25241000000
2003-12-16,24965800000
2003-12-17,24776600000
2003-12-18,25851600000
2003-12-19,26049400000
2003-12-22,26866400000
2003-12-23,26943800000
2003-12-24,26797600000
2003-12-26,26866400000
2003-12-29,27141600000
2003-12-30,27029800000
2003-12-31,27617205887
2004-01-02,27530441182
2004-01-05,27669264711
2004-01-06,28025000005
2004-01-07,27860147064
2004-01-08,29196323535
2004-01-09,28857941182
2004-01-12,28918676476
2004-01-13,28953382358
2004-01-14,29873088241
2004-01-15,30133382359
2004-01-16,30914264712
2004-01-20,29456617653
2004-01-21,29977205888
2004-01-22,29682205888
2004-01-23,29421911770
2004-01-26,30055294123
2004-01-27,29491323535
2004-01-28,29473970594
2004-01-29,29690882358
2004-01-30,29838382359
2004-02-02,29699558829
2004-02-03,29309117653
2004-02-04,28788529417
2004-02-05,29309117653
2004-02-06,29656176476
2004-02-09,29387205888
2004-02-10,29421911770
2004-02-11,29821029417
2004-02-12,30523823535
2004-02-13,30072647064
2004-02-17,30116029417
2004-02-18,29543382358
2004-02-19,29508676476
2004-02-20,29387205888
2004-02-23,28918676476
2004-02-24,28866617652
2004-02-25,28883970594
2004-02-26,28857941182
2004-02-27,28953382358
2004-03-01,29170294123
2004-03-02,28831911770
2004-03-03,28970735300
2004-03-04,29074852947
2004-03-05,28875294123
2004-03-08,28493529417
2004-03-09,28051029417
2004-03-10,27226764711
2004-03-11,26792941181
2004-03-12,27261470593
2004-03-15,26923088240
2004-03-16,26523970593
2004-03-17,27096617652
2004-03-18,27035882358
2004-03-19,26957794123
2004-03-22,26228970593
2004-03-23,26359117652
2004-03-24,26419852946
2004-03-25,27148676476
2004-03-26,27339558829
2004-03-29,27625882358
2004-03-30,27886176476
2004-03-31,27702452396
2004-04-01,27711047634
2004-04-02,28020476206
2004-04-05,28639333349
2004-04-06,28673714301
2004-04-07,28329904777
2004-04-08,28364285730
2004-04-12,28647928587
2004-04-13,28312714301
2004-04-14,28218166682
2004-04-15,28226761920
2004-04-16,28690904777
2004-04-19,28338500015
2004-04-20,27822785729
2004-04-21,27797000015
2004-04-22,28312714301
2004-04-23,28544785730
2004-04-26,28441642872
2004-04-27,29000333349
2004-04-28,28776857158
2004-04-29,28828428587
2004-04-30,28295523825
2004-05-03,28286928587
2004-05-04,28493214301
2004-05-05,28321309539
2004-05-06,28115023825
2004-05-07,27754023824
2004-05-10,27212523824
2004-05-11,27281285729
2004-05-12,27315666681
2004-05-13,27427404777
2004-05-14,27393023824
2004-05-17,26679619062
2004-05-18,27195333348
2004-05-19,27238309538
2004-05-20,27023428586
2004-05-21,27255500015
2004-05-24,27186738110
2004-05-25,27496166681
2004-05-26,27487571443
2004-05-27,27650880967
2004-05-28,27573523824
2004-06-01,27169547634
2004-06-02,27564928586
2004-06-03,27195333348
2004-06-04,27607904777
2004-06-07,28390071444
2004-06-08,28484619063
2004-06-09,28673714301
2004-06-10,28965952397
2004-06-14,29155047635
2004-06-15,29430095254
2004-06-16,29498857159
2004-06-17,29593404778
2004-06-18,29902833349
2004-06-21,29670761921
2004-06-22,30083333350
2004-06-23,30693595255
2004-06-24,30324000016
2004-06-25,30117714302
2004-06-28,29739523826
2004-06-29,29988785730
2004-06-30,30166604648
2004-07-01,29699441858
2004-07-02,29552372090
2004-07-06,29310139532
2004-07-07,29595627904
2004-07-08,29266883718
2004-07-09,29811906974
2004-07-12,29578325579
2004-07-13,29336093020
2004-07-14,29214976741
2004-07-15,29405302323
2004-07-16,29976279067
2004-07-19,29535069765
2004-07-20,29569674416
2004-07-21,30149302323
2004-07-22,30140651160
2004-07-23,29863813951
2004-07-26,30036837206
2004-07-27,30763534881
2004-07-28,31386418602
2004-07-29,31204744183
2004-07-30,30979813950
2004-08-02,30850046509
2004-08-03,30469395346
2004-08-04,30192558137
2004-08-05,29457209299
2004-08-06,28479627904
2004-08-09,28505581393
2004-08-10,29214976741
2004-08-11,29344744183
2004-08-12,28574790695
2004-08-13,28661302323
2004-08-16,29093860462
2004-08-17,28929488369
2004-08-18,29336093020
2004-08-19,28782418602
2004-08-20,29163069765
2004-08-23,29093860462
2004-08-24,29396651160
