,WBA
2000-08-02,31698244000
2000-08-03,31445144000
2000-08-04,32396800000
2000-08-07,32275312000
2000-08-08,33287712000
2000-08-09,32649900000
2000-08-10,32528412000
2000-08-11,34674700000
2000-08-14,34613956000
2000-08-15,32082956000
2000-08-16,33469944000
2000-08-17,33915400000
2000-08-18,34927800000
2000-08-21,34613956000
2000-08-22,34988544000
2000-08-23,35626356000
2000-08-24,36446400000
2000-08-25,35120156000
2000-08-28,34107755999
2000-08-29,34300112000
2000-08-30,33976144000
2000-08-31,33297836000
2000-09-01,33854655999
2000-09-05,34360856000
2000-09-06,33976144000
2000-09-07,34047012000
2000-09-08,35626356000
2000-09-11,36193300000
2000-09-12,38349712000
2000-09-13,38349712000
2000-09-14,38855912000
2000-09-15,38663556000
2000-09-18,38471200000
2000-09-19,37965000000
2000-09-20,38471200000
2000-09-21,39483600000
2000-09-22,40050544000
2000-09-25,38663556000
2000-09-26,38157356000
2000-09-27,38096612000
2000-09-28,38471200000
2000-09-29,38410456000
2000-10-02,37590412000
2000-10-03,37590412000
2000-10-04,38218100000
2000-10-05,39675956000
2000-10-06,38349712000
2000-10-09,38471200000
2000-10-10,39615212000
2000-10-11,40182156000
2000-10-12,40121412000
2000-10-13,39615212000
2000-10-16,40627612000
2000-10-17,40880712000
2000-10-18,42146212000
2000-10-19,40496000000
2000-10-20,39797444000
2000-10-23,40941456000
2000-10-24,42520800000
2000-10-25,40749100000
2000-10-26,42267700000
2000-10-27,43664812000
2000-10-30,44930312000
2000-10-31,46195812000
2000-11-01,44484856000
2000-11-02,44737956000
2000-11-03,44545600000
2000-11-06,44484856000
2000-11-07,43786300000
2000-11-08,43411712000
2000-11-09,43593944000
2000-11-10,43411712000
2000-11-13,43472456000
2000-11-14,43411712000
2000-11-15,42834644000
2000-11-16,42399312000
2000-11-17,41822244000
2000-11-20,41761500000
2000-11-21,42267700000
2000-11-22,44424112000
2000-11-24,43664812000
2000-11-27,45558000000
2000-11-28,45750356000
2000-11-29,45112544000
2000-11-30,45112544000
2000-12-01,43933350000
2000-12-04,43425450000
2000-12-05,40571052000
2000-12-06,38661348000
2000-12-07,40632000000
2000-12-08,40438998000
2000-12-11,37838550000
2000-12-12,39809202000
2000-12-13,40692948000
2000-12-14,41078952000
2000-12-15,40946898000
2000-12-18,40378050000
2000-12-19,39748254000
2000-12-20,41139900000
2000-12-21,42216648000
2000-12-22,41708748000
2000-12-26,41393850000
2000-12-27,42033804000
2000-12-28,43110552000
2000-12-29,42470598000
2001-01-02,41454798000
2001-01-03,39870150000
2001-01-04,37899498000
2001-01-05,38600400000
2001-01-08,38915298000
2001-01-09,38346450000
2001-01-10,39423198000
2001-01-11,37838550000
2001-01-12,38539452000
2001-01-16,39240354000
2001-01-17,39423198000
2001-01-18,38915298000
2001-01-19,37462704000
2001-01-22,38854350000
2001-01-23,38793402000
2001-01-24,39169248000
2001-01-25,40185048000
2001-01-26,39931098000
2001-01-29,39981888000
2001-01-30,40642158000
2001-01-31,41586852000
2001-02-01,42612810000
2001-02-02,42846444000
2001-02-05,41739222000
2001-02-06,41729064000
2001-02-07,43527030000
2001-02-08,42511230000
2001-02-09,42074436000
2001-02-12,42206490000
2001-02-13,42663600000
2001-02-14,43069920000
2001-02-15,43273080000
2001-02-16,44380302000
2001-02-20,44644410000
2001-02-21,43496556000
2001-02-22,43527030000
2001-02-23,43476240000
2001-02-26,44725674000
2001-02-27,44908518000
2001-02-28,45020256000
2001-03-01,44150660000
2001-03-02,45127940000
2001-03-05,44425520000
2001-03-06,44659660000
2001-03-07,45545320000
2001-03-08,46084860000
2001-03-09,45362080000
2001-03-12,45005780000
2001-03-13,43662020000
2001-03-14,42979960000
2001-03-15,42766180000
2001-03-16,42287720000
2001-03-19,42358980000
2001-03-20,41738000000
2001-03-21,41229000000
2001-03-22,40343340000
2001-03-23,41514040000
2001-03-26,40272080000
2001-03-27,40974500000
2001-03-28,40954140000
2001-03-29,41025400000
2001-03-30,41534400000
2001-04-02,41412240000
2001-04-03,40720000000
2001-04-04,40679280000
2001-04-05,40821800000
2001-04-06,40669100000
2001-04-09,39824160000
2001-04-10,40831980000
2001-04-11,40119380000
2001-04-12,40720000000
2001-04-16,40770900000
2001-04-17,41391880000
2001-04-18,41178100000
2001-04-19,41788900000
2001-04-20,41697280000
2001-04-23,41890700000
2001-04-24,41839800000
2001-04-25,42012860000
2001-04-26,42613480000
2001-04-27,43723100000
2001-04-30,43550040000
2001-05-01,45097400000
2001-05-02,43753640000
2001-05-03,43183560000
2001-05-04,43519500000
2001-05-07,42501500000
2001-05-08,42063760000
2001-05-09,42328440000
2001-05-10,41819440000
2001-05-11,41117020000
2001-05-14,41738000000
2001-05-15,41127200000
2001-05-16,41208640000
2001-05-17,41320620000
2001-05-18,41452960000
2001-05-21,41931420000
2001-05-22,41463140000
2001-05-23,41076300000
2001-05-24,41015220000
2001-05-25,41218820000
2001-05-29,40445140000
2001-05-30,40872700000
2001-05-31,40913420000
2001-06-01,40814201000
2001-06-04,41089628000
2001-06-05,41416060000
2001-06-06,41569075000
2001-06-07,41711889000
2001-06-08,41569075000
2001-06-11,41130432000
2001-06-12,41518070000
2001-06-13,41824100000
2001-06-14,41977115000
2001-06-15,40906010000
2001-06-18,42313748000
2001-06-19,42691185000
2001-06-20,42650381000
2001-06-21,42691185000
2001-06-22,41834301000
2001-06-25,37998725000
2001-06-26,37539680000
2001-06-27,35744304000
2001-06-28,35560686000
2001-06-29,35152646000
2001-07-02,34683400000
2001-07-03,34785410000
2001-07-05,34938425000
2001-07-06,34693601000
2001-07-09,34622194000
2001-07-10,33755109000
2001-07-11,33051240000
2001-07-12,32632999000
2001-07-13,32530989000
2001-07-16,32061743000
2001-07-17,32173954000
2001-07-18,32632999000
2001-07-19,33510285000
2001-07-20,34112143999
2001-07-23,33408275000
2001-07-24,33908124000
2001-07-25,33816315000
2001-07-26,33765310000
2001-07-27,33918325000
2001-07-30,34193752000
2001-07-31,34377370000
2001-08-01,34020335000
2001-08-02,36284957000
2001-08-03,36621590000
2001-08-06,36458374000
2001-08-07,36723600000
2001-08-08,36631791000
2001-08-09,37713097000
2001-08-10,38070132000
2001-08-13,37458072000
2001-08-14,36815409000
2001-08-15,37203047000
2001-08-16,37141841000
2001-08-17,36733801000
2001-08-20,37437670000
2001-08-21,36213550000
2001-08-22,36621590000
2001-08-23,35907520000
2001-08-24,36978625000
2001-08-27,36019731000
2001-08-28,35958525000
2001-08-29,35581088000
2001-08-30,35560686000
2001-08-31,35040435000
2001-09-04,35693299000
2001-09-05,36193148000
2001-09-06,35652495000
2001-09-07,35264857000
2001-09-10,34938425000
2001-09-17,33418475999
2001-09-18,33663300000
2001-09-19,33500084000
2001-09-20,32694204999
2001-09-21,32439180000
2001-09-24,33255260000
2001-09-25,33255260000
2001-09-26,33336868000
2001-09-27,34683400000
2001-09-28,35122043000
2001-10-01,35152646000
2001-10-02,36131942000
2001-10-03,36060535000
2001-10-04,35346465000
2001-10-05,35825912000
2001-10-08,35581088000
2001-10-09,34642596000
2001-10-10,35693299000
2001-10-11,35785108000
2001-10-12,35927922000
2001-10-15,35601490000
2001-10-16,36091138000
2001-10-17,35295460000
2001-10-18,35081239000
2001-10-19,34836415000
2001-10-22,35081239000
2001-10-23,35122043000
2001-10-24,34601792000
2001-10-25,34714003000
2001-10-26,34816013000
2001-10-29,33948928000
2001-10-30,33020636999
2001-10-31,33030838000
2001-11-01,32235160000
2001-11-02,31929130000
2001-11-05,32112748000
2001-11-06,32316768000
2001-11-07,32949229999
2001-11-08,32775813000
2001-11-09,32877822999
2001-11-12,33132847999
2001-11-13,33785711999
2001-11-14,35203651000
2001-11-15,34948626000
2001-11-16,34969028000
2001-11-19,35305661000
2001-11-20,35244455000
2001-11-21,35234254000
2001-11-23,35713701000
2001-11-26,35815711000
2001-11-27,35458676000
2001-11-28,34877219000
2001-11-29,33785711999
2001-11-30,33663300000
2001-12-03,33780404999
2001-12-04,33739520999
2001-12-05,33575985000
2001-12-06,33678195000
2001-12-07,33790626000
2001-12-10,32666316000
2001-12-11,32707200000
2001-12-12,31664658000
2001-12-13,31766868000
2001-12-14,32012172000
2001-12-17,32993388000
2001-12-18,33616869000
2001-12-19,33678195000
2001-12-20,34240350000
2001-12-21,34403886000
2001-12-24,34393665000
2001-12-26,34393665000
2001-12-27,34638969000
2001-12-28,34628748000
2001-12-31,34403886000
2002-01-02,33811068000
2002-01-03,35170461000
2002-01-04,35323776000
2002-01-07,35650848000
2002-01-08,35538417000
2002-01-09,35926815000
2002-01-10,35763279000
2002-01-11,35160240000
2002-01-14,36253887000
2002-01-15,35916594000
2002-01-16,36213003000
2002-01-17,36325434000
2002-01-18,36192561000
2002-01-22,37051125000
2002-01-23,36550296000
2002-01-24,37378197000
2002-01-25,37398639000
2002-01-28,37470186000
2002-01-29,36744495000
2002-01-30,37092009000
2002-01-31,37081788000
2002-02-01,36325434000
2002-02-04,37674606000
2002-02-05,38686485000
2002-02-06,37725711000
2002-02-07,37807479000
2002-02-08,37919910000
2002-02-11,38533170000
2002-02-12,38686485000
2002-02-13,38890905000
2002-02-14,38819358000
2002-02-15,38441181000
2002-02-19,38522949000
2002-02-20,39340629000
2002-02-21,39350850000
2002-02-22,38911347000
2002-02-25,39821016000
2002-02-26,40332066000
2002-02-27,40413834000
2002-02-28,41129304000
2002-03-01,40421964000
2002-03-04,40831404000
2002-03-05,40084176000
2002-03-06,40063704000
2002-03-07,39777096000
2002-03-08,40381020000
2002-03-11,40616448000
2002-03-12,40882584000
2002-03-13,40636920000
2002-03-14,40483380000
2002-03-15,40944000000
2002-03-18,40800696000
2002-03-19,40882584000
2002-03-20,40432200000
2002-03-21,40329840000
2002-03-22,40749516000
2002-03-25,40688100000
2002-03-26,40227480000
2002-03-27,40227480000
2002-03-28,40114884000
2002-04-01,40288896000
2002-04-02,40094412000
2002-04-03,39992052000
2002-04-04,40483380000
2002-04-05,40534560000
2002-04-08,40769988000
2002-04-09,40411728000
2002-04-10,40462908000
2002-04-11,39408600000
2002-04-12,40166064000
2002-04-15,39531432000
2002-04-16,39910164000
2002-04-17,39623556000
2002-04-18,39971580000
2002-04-19,40227480000
2002-04-22,40401492000
2002-04-23,40575504000
2002-04-24,39951108000
2002-04-25,39644028000
2002-04-26,38528304000
2002-04-29,38425944000
2002-04-30,38661372000
2002-05-01,37709424000
2002-05-02,38866092000
2002-05-03,39101520000
2002-05-06,38999160000
2002-05-07,38896800000
2002-05-08,39756624000
2002-05-09,39111756000
2002-05-10,38599956000
2002-05-13,39285768000
2002-05-14,39592848000
2002-05-15,38947980000
2002-05-16,38753496000
2002-05-17,39265296000
2002-05-20,38999160000
2002-05-21,38589720000
2002-05-22,38825148000
2002-05-23,39531432000
2002-05-24,38978688000
2002-05-28,38538540000
2002-05-29,38692080000
2002-05-30,38610192000
2002-05-31,39162936000
2002-06-03,38423501000
2002-06-04,37736818000
2002-06-05,38372256000
2002-06-06,38105782000
2002-06-07,38208272000
2002-06-10,38730971000
2002-06-11,38075035000
2002-06-12,38884706000
2002-06-13,38362007000
2002-06-14,38044288000
2002-06-17,39274168000
2002-06-18,39704626000
2002-06-19,39714875000
2002-06-20,39643132000
2002-06-21,39181927000
2002-06-24,37972545000
2002-06-25,38618232000
2002-06-26,38741220000
2002-06-27,39714875000
2002-06-28,39591887000
2002-07-01,39653381000
2002-07-02,37870055000
2002-07-03,38208272000
2002-07-05,38638730000
2002-07-08,38392754000
2002-07-09,38433750000
2002-07-10,36527436000
2002-07-11,35174568000
2002-07-12,35748512000
2002-07-15,35328303000
2002-07-16,34129169999
2002-07-17,34662118000
2002-07-18,34129169999
2002-07-19,32796800000
2002-07-22,32889041000
2002-07-23,32315097000
2002-07-24,34241908999
2002-07-25,34467387000
2002-07-26,35861251000
2002-07-29,36230215000
2002-07-30,35984239000
2002-07-31,36209717000
2002-08-01,34897845000
2002-08-02,34180415000
2002-08-05,33432237999
2002-08-06,34180415000
2002-08-07,35359050000
2002-08-08,36619677000
2002-08-09,36937396000
2002-08-12,36383950000
2002-08-13,35953492000
2002-08-14,38116031000
2002-08-15,38054537000
2002-08-16,37870055000
2002-08-19,38515742000
2002-08-20,37890553000
2002-08-21,37880304000
2002-08-22,37962296000
2002-08-23,36558183000
2002-08-26,36588930000
2002-08-27,36045733000
2002-08-28,36107227000
2002-08-29,36025235000
2002-08-30,35615275000
2002-09-03,34569877000
2002-09-04,34262407000
2002-09-05,33883194000
2002-09-06,35389797000
2002-09-09,35564030000
2002-09-10,35891998000
2002-09-11,36291709000
2002-09-12,35502536000
2002-09-13,35994488000
2002-09-16,36025235000
2002-09-17,34754359000
2002-09-18,34826102000
2002-09-19,33462985000
2002-09-20,33268254000
2002-09-23,34231660000
2002-09-24,33514230000
2002-09-25,34846600000
2002-09-26,35984239000
2002-09-27,34733861000
2002-09-30,31525924000
2002-10-01,32591820000
2002-10-02,31587418000
2002-10-03,32458583000
2002-10-04,32540575000
2002-10-07,31720655000
2002-10-08,33124768000
2002-10-09,33339997000
2002-10-10,33626969000
2002-10-11,34672367000
2002-10-14,33770455000
2002-10-15,34846600000
2002-10-16,35307805000
2002-10-17,34990086000
2002-10-18,35369299000
2002-10-21,35646022000
2002-10-22,35205315000
2002-10-23,36004737000
2002-10-24,35154070000
2002-10-25,36855404000
2002-10-28,35922745000
2002-10-29,36076480000
2002-10-30,35256560000
2002-10-31,34590375000
2002-11-01,34733861000
2002-11-04,32315097000
2002-11-05,33206760000
2002-11-06,32899290000
2002-11-07,32407338000
2002-11-08,31669410000
2002-11-11,31782149000
2002-11-12,32048623000
2002-11-13,32622567000
2002-11-14,32612318000
2002-11-15,32919787999
2002-11-18,32099868000
2002-11-19,32110117000
2002-11-20,32468832000
2002-11-21,30962229000
2002-11-22,30542020000
2002-11-25,29701602000
2002-11-26,29209650000
2002-11-27,29404381000
2002-11-29,29506871000
2002-12-02,29353136000
2002-12-03,29312140000
2002-12-04,30285795000
2002-12-05,29404381000
2002-12-06,30562518000
2002-12-09,30234550000
2002-12-10,31013474000
2002-12-11,30859739000
2002-12-12,30080815000
2002-12-13,29845088000
2002-12-16,29650357000
2002-12-17,29855337000
2002-12-18,29629859000
2002-12-19,29701602000
2002-12-20,30439530000
2002-12-23,29937329000
2002-12-24,29773345000
2002-12-26,29619610000
2002-12-27,29517120000
2002-12-30,29599112000
2002-12-31,29916831000
2003-01-02,30849490000
2003-01-03,32960783999
2003-01-06,32233105000
2003-01-07,32735306000
2003-01-08,32591820000
2003-01-09,32950535000
2003-01-10,33001780000
2003-01-13,33360494999
2003-01-14,33401491000
2003-01-15,32950535000
2003-01-16,33616719999
2003-01-17,33811451000
2003-01-21,32991530999
2003-01-22,32233105000
2003-01-23,32089619000
2003-01-24,31023723000
2003-01-27,30480526000
2003-01-28,30337040000
2003-01-29,30255048000
2003-01-30,29670855000
2003-01-31,29722100000
2003-02-03,29773345000
2003-02-04,29670855000
2003-02-05,29609361000
2003-02-06,29312140000
2003-02-07,29158405000
2003-02-10,29055915000
2003-02-11,29025168000
2003-02-12,28604959000
2003-02-13,28031015000
2003-02-14,28953425000
2003-02-18,29640108000
2003-02-19,29312140000
2003-02-20,29086662000
2003-02-21,29291642000
2003-02-24,28625457000
2003-02-25,29004670000
2003-02-26,28194999000
2003-02-27,28779192000
2003-02-28,28840686000
2003-03-03,28430726000
2003-03-04,28861184000
2003-03-05,29096911000
2003-03-06,28748445000
2003-03-07,29096911000
2003-03-10,28379481000
2003-03-11,28440975000
2003-03-12,28666453000
2003-03-13,29404381000
2003-03-14,29906582000
2003-03-17,31659161000
2003-03-18,31771900000
2003-03-19,31659161000
2003-03-20,31587418000
2003-03-21,32612318000
2003-03-24,31259450000
2003-03-25,31372189000
2003-03-26,31402936000
2003-03-27,31279948000
2003-03-28,30695755000
2003-03-31,30214052000
2003-04-01,30152558000
2003-04-02,31413185000
2003-04-03,32335595000
2003-04-04,32325346000
2003-04-07,32284350000
2003-04-08,32243354000
2003-04-09,31638663000
2003-04-10,31915386000
2003-04-11,31874390000
2003-04-14,32930037000
2003-04-15,32725057000
2003-04-16,31187707000
2003-04-17,31495177000
2003-04-21,31300446000
2003-04-22,31966631000
2003-04-23,31525924000
2003-04-24,30562518000
2003-04-25,30665008000
2003-04-28,31259450000
2003-04-29,32294599000
2003-04-30,31628414000
2003-05-01,31566920000
2003-05-02,33145266000
2003-05-05,33155515000
2003-05-06,33780704000
2003-05-07,33616719999
2003-05-08,33780704000
2003-05-09,34487885000
2003-05-12,33760205999
2003-05-13,33596222000
2003-05-14,33063273999
2003-05-15,33094021000
2003-05-16,32735306000
2003-05-19,31935884000
2003-05-20,31474679000
2003-05-21,30982727000
2003-05-22,31259450000
2003-05-23,30951980000
2003-05-27,31392687000
2003-05-28,31853892000
2003-05-29,31392687000
2003-05-30,31556671000
2003-06-02,31457250000
2003-06-03,33353500000
2003-06-04,33456000000
2003-06-05,33466250000
2003-06-06,33374000000
2003-06-09,33250999999
2003-06-10,33855750000
2003-06-11,33866000000
2003-06-12,33056250000
2003-06-13,32543750000
2003-06-16,33291999999
2003-06-17,33558500000
2003-06-18,33497000000
2003-06-19,32963999999
2003-06-20,33056250000
2003-06-23,30534750000
2003-06-24,30750000000
2003-06-25,31006250000
2003-06-26,31067750000
2003-06-27,31026750000
2003-06-30,30852500000
2003-07-01,30985750000
2003-07-02,30852500000
2003-07-03,30565500000
2003-07-07,30862750000
2003-07-08,31611000000
2003-07-09,31211250000
2003-07-10,31108750000
2003-07-11,31641750000
2003-07-14,31395750000
2003-07-15,32205500000
2003-07-16,31918500000
2003-07-17,31734000000
2003-07-18,30934500000
2003-07-21,30729500000
2003-07-22,30340000000
2003-07-23,30340000000
2003-07-24,29776250000
2003-07-25,30237500000
2003-07-28,30647500000
2003-07-29,30596250000
2003-07-30,30463000000
2003-07-31,30668000000
2003-08-01,30135000000
2003-08-04,31078000000
2003-08-05,30760250000
2003-08-06,30575750000
2003-08-07,30883250000
2003-08-08,30791000000
2003-08-11,30821750000
2003-08-12,31119000000
2003-08-13,31078000000
2003-08-14,31057500000
2003-08-15,31047250000
2003-08-18,31467500000
2003-08-19,31826250000
2003-08-20,31816000000
2003-08-21,32441250000
2003-08-22,32031250000
2003-08-25,32308000000
2003-08-26,32236250000
2003-08-27,32041500000
2003-08-28,32953750000
2003-08-29,33384250000
2003-09-02,33517500000
2003-09-03,33005000000
2003-09-04,32636000000
2003-09-05,32287500000
2003-09-08,31744250000
2003-09-09,31334250000
2003-09-10,32103000000
2003-09-11,32615500000
2003-09-12,32902500000
2003-09-15,32625750000
2003-09-16,32963999999
2003-09-17,33456000000
2003-09-18,33630250000
2003-09-19,33425250000
2003-09-22,32748750000
2003-09-23,33005000000
2003-09-24,32482250000
2003-09-25,32267000000
2003-09-26,32861500000
2003-09-29,31898000000
2003-09-30,31406000000
2003-10-01,32308000000
2003-10-02,32615500000
2003-10-03,32861500000
2003-10-06,33210000000
2003-10-07,33825000000
2003-10-08,33640500000
2003-10-09,33927500000
2003-10-10,33199750000
2003-10-13,33958250000
2003-10-14,33722500000
2003-10-15,33578999999
2003-10-16,33671250000
2003-10-17,33609750000
2003-10-20,34009500000
2003-10-21,33978750000
2003-10-22,33917250000
2003-10-23,34173500000
2003-10-24,34071000000
2003-10-27,34583500000
2003-10-28,35577750000
2003-10-29,35577750000
2003-10-30,35731500000
2003-10-31,35690500000
2003-11-03,36305500000
2003-11-04,36285000000
2003-11-05,36264500000
2003-11-06,36838500000
2003-11-07,37084500000
2003-11-10,36900000000
2003-11-11,36705250000
2003-11-12,37166500000
2003-11-13,36951250000
2003-11-14,36766750000
2003-11-17,36715500000
2003-11-18,36295250000
2003-11-19,36490000000
2003-11-20,36326000000
2003-11-21,36643750000
2003-11-24,37494500000
2003-11-25,37535500000
2003-11-26,37699500000
2003-11-28,37730250000
2003-12-01,37936368000
2003-12-02,37608624000
2003-12-03,37475478000
2003-12-04,37670076000
2003-12-05,36819990000
2003-12-08,37352574000
2003-12-09,37895400000
2003-12-10,37956852000
2003-12-11,38049030000
2003-12-12,37536930000
2003-12-15,37127250000
2003-12-16,37291122000
2003-12-17,37157976000
2003-12-18,36615150000
2003-12-19,36164502000
2003-12-22,35672886000
2003-12-23,36348858000
2003-12-24,36338616000
2003-12-26,36584424000
2003-12-29,36973620000
2003-12-30,37024830000
2003-12-31,37260396000
2004-01-02,36574182000
2004-01-05,36103050000
2004-01-06,35877726000
2004-01-07,35273448000
2004-01-08,35304174000
2004-01-09,34679412000
2004-01-12,35263206000
2004-01-13,35570466000
2004-01-14,35509014000
2004-01-15,35631918000
2004-01-16,35529498000
2004-01-20,35191512000
2004-01-21,35601192000
2004-01-22,35478288000
2004-01-23,35703612000
2004-01-26,35795790000
2004-01-27,35406594000
2004-01-28,35252964000
2004-01-29,35386110000
2004-01-30,35386110000
2004-02-02,35529498000
2004-02-03,35334900000
2004-02-04,35334900000
2004-02-05,34566750000
2004-02-06,35119818000
2004-02-09,34945704000
2004-02-10,35601192000
2004-02-11,35713854000
2004-02-12,35826516000
2004-02-13,35304174000
2004-02-17,35765064000
2004-02-18,35529498000
2004-02-19,35795790000
2004-02-20,36051840000
2004-02-23,36215712000
2004-02-24,36338616000
2004-02-25,36379584000
2004-02-26,36359100000
2004-02-27,36522972000
2004-03-01,36593208000
2004-03-02,36071325000
2004-03-03,35938296000
2004-03-04,35774568000
2004-03-05,35928063000
2004-03-08,35754102000
2004-03-09,35099190000
2004-03-10,35129889000
2004-03-11,34546608000
2004-03-12,34741035000
2004-03-15,34741035000
2004-03-16,34280550000
2004-03-17,34597773000
2004-03-18,34290782999
2004-03-19,34290782999
2004-03-22,33523307999
2004-03-23,33206085000
2004-03-24,33267482999
2004-03-25,34311249000
2004-03-26,33717735000
2004-03-29,33942861000
2004-03-30,33983793000
2004-03-31,33717735000
2004-04-01,33656337000
2004-04-02,33768900000
2004-04-05,34597773000
2004-04-06,34638705000
2004-04-07,34301016000
2004-04-08,33881463000
2004-04-12,34147520999
2004-04-13,33922395000
2004-04-14,33615405000
2004-04-15,33605172000
2004-04-16,33584706000
2004-04-19,33410745000
2004-04-20,33277716000
2004-04-21,33410745000
2004-04-22,33584706000
2004-04-23,33697269000
2004-04-26,34178220000
2004-04-27,35048025000
2004-04-28,34761501000
2004-04-29,34812666000
2004-04-30,35283384000
2004-05-03,35825733000
2004-05-04,35835966000
2004-05-05,35887131000
2004-05-06,35528976000
2004-05-07,35355015000
2004-05-10,35221986000
2004-05-11,34669404000
2004-05-12,34700103000
2004-05-13,34515909000
2004-05-14,34382880000
2004-05-17,34331714999
2004-05-18,34802433000
2004-05-19,34464744000
2004-05-20,34444278000
2004-05-21,34618239000
2004-05-24,34986627000
2004-05-25,35764335000
2004-05-26,35375481000
2004-05-27,36050859000
2004-05-28,35825733000
2004-06-01,35985294000
2004-06-02,35586480000
2004-06-03,35330830000
2004-06-04,35156988000
2004-06-07,35555802000
2004-06-08,35791000000
2004-06-09,35433090000
2004-06-10,35402412000
2004-06-14,35504672000
2004-06-15,35617158000
2004-06-16,35719418000
2004-06-17,35668288000
2004-06-18,35688740000
2004-06-21,36578402000
2004-06-22,36997668000
2004-06-23,37069250000
2004-06-24,36966990000
2004-06-25,36711340000
2004-06-28,37089702000
2004-06-29,37028346000
2004-06-30,37028346000
2004-07-01,36455690000
2004-07-02,36476142000
2004-07-06,36496594000
2004-07-07,37212414000
2004-07-08,37018120000
2004-07-09,37212414000
2004-07-12,37140832000
2004-07-13,37928234000
2004-07-14,37682810000
2004-07-15,38030494000
2004-07-16,38255466000
2004-07-19,38040720000
2004-07-20,37764618000
2004-07-21,37263544000
2004-07-22,37335126000
2004-07-23,37151058000
2004-07-26,36752244000
2004-07-27,38081624000
2004-07-28,37713488000
2004-07-29,37713488000
2004-07-30,37222640000
2004-08-02,37498742000
2004-08-03,37273770000
2004-08-04,37478290000
2004-08-05,36496594000
2004-08-06,35791000000
2004-08-09,36036424000
2004-08-10,36609080000
2004-08-11,37089702000
2004-08-12,36813600000
2004-08-13,36905634000
2004-08-16,37723714000
2004-08-17,37999816000
2004-08-18,38592924000
2004-08-19,37958912000
2004-08-20,37836200000
2004-08-23,37386256000
