,SLG
2001-08-23,908923191
2001-08-24,902828613
2001-08-27,902828613
2001-08-28,893963773
2001-08-29,898673219
2001-08-30,883713801
2001-08-31,861828725
2001-09-04,870693566
2001-09-05,874294908
2001-09-06,864598988
2001-09-07,854349016
2001-09-10,851578753
2001-09-17,898119167
2001-09-18,889808379
2001-09-19,891193510
2001-09-20,852963885
2001-09-21,841328781
2001-09-24,863213857
2001-09-25,882328669
2001-09-26,880943538
2001-09-27,907261034
2001-09-28,927206925
2001-10-01,965977439
2001-10-02,968893157
2001-10-03,965394296
2001-10-04,965977439
2001-10-05,967435298
2001-10-08,958396572
2001-10-09,951981992
2001-10-10,967435298
2001-10-11,971225732
2001-10-12,962770149
2001-10-15,967143726
2001-10-16,961312290
2001-10-17,957521856
2001-10-18,947316843
2001-10-19,941485406
2001-10-22,937111829
2001-10-23,930114105
2001-10-24,922533238
2001-10-25,917868089
2001-10-26,914952371
2001-10-29,917576517
2001-10-30,919325948
2001-10-31,923116382
2001-11-01,933321395
2001-11-02,928656246
2001-11-05,922241666
2001-11-06,930114105
2001-11-07,919325948
2001-11-08,917868089
2001-11-09,914077655
2001-11-12,922533238
2001-11-13,921075379
2001-11-14,928073103
2001-11-15,928656246
2001-11-16,928073103
2001-11-19,928364674
2001-11-20,922533238
2001-11-21,930114105
2001-11-23,934779254
2001-11-26,930114105
2001-11-27,928656246
2001-11-28,926615243
2001-11-29,937986544
2001-11-30,937986544
2001-12-03,932155108
2001-12-04,951981992
2001-12-05,962770149
2001-12-06,969767873
2001-12-07,967143726
2001-12-10,953439851
2001-12-11,954897710
2001-12-12,947316843
2001-12-13,944109553
2001-12-14,945275840
2001-12-17,958105000
2001-12-18,959562859
2001-12-19,958979715
2001-12-20,953439851
2001-12-21,962770149
2001-12-24,963936436
2001-12-26,961603862
2001-12-27,954897710
2001-12-28,961312290
2001-12-31,950308749
2002-01-02,940692010
2002-01-03,952931497
2002-01-04,953222913
2002-01-07,952931497
2002-01-08,957302742
2002-01-09,954388579
2002-01-10,957594158
2002-01-11,959342657
2002-01-14,981490300
2002-01-15,977701887
2002-01-16,974496307
2002-01-17,983821631
2002-01-18,970416478
2002-01-22,974787724
2002-01-23,980907467
2002-01-24,979450385
2002-01-25,977993304
2002-01-28,977993304
2002-01-29,974496307
2002-01-30,980907467
2002-01-31,979158969
2002-02-01,981198884
2002-02-04,983530215
2002-02-05,978284720
2002-02-06,977701887
2002-02-07,967793731
2002-02-08,971582144
2002-02-11,973913475
2002-02-12,977701887
2002-02-13,989649958
2002-02-14,983821631
2002-02-15,987027211
2002-02-19,988484293
2002-02-20,995769702
2002-02-21,978867553
2002-02-22,999558114
2002-02-25,997226783
2002-02-26,997226783
2002-02-27,990524207
2002-02-28,987610044
2002-03-01,989649958
2002-03-04,992272705
2002-03-05,1010340520
2002-03-06,1011506185
2002-03-07,1006843523
2002-03-08,1015003181
2002-03-11,1010340520
2002-03-12,999558114
2002-03-13,1004220776
2002-03-14,1016460263
2002-03-15,1014711765
2002-03-18,1017917345
2002-03-19,1027534085
2002-03-20,1015003181
2002-03-21,1028699750
2002-03-22,1028408334
2002-03-25,1027242669
2002-03-26,1034819494
2002-03-27,1038025074
2002-03-28,1039482156
2002-04-01,1046691170
2002-04-02,1054613979
2002-04-03,1055494291
2002-04-04,1066644912
2002-04-05,1068405536
2002-04-08,1075448034
2002-04-09,1085718343
2002-04-10,1108899896
2002-04-11,1104498335
2002-04-12,1130907701
2002-04-15,1109193334
2002-04-16,1083370843
2002-04-17,1066938350
2002-04-18,1075154596
2002-04-19,1078088970
2002-04-22,1074861159
2002-04-23,1066351475
2002-04-24,1068112099
2002-04-25,1066938350
2002-04-26,1070166161
2002-04-29,1078088970
2002-04-30,1093641152
2002-05-01,1117703018
2002-05-02,1123571766
2002-05-03,1118583330
2002-05-06,1106552397
2002-05-07,1110953958
2002-05-08,1106552397
2002-05-09,1084251156
2002-05-10,1078088970
2002-05-13,1082197094
2002-05-14,1090119903
2002-05-15,1101270524
2002-05-16,1080143032
2002-05-17,1090413341
2002-05-20,1095988651
2002-05-21,1085718343
2002-05-22,1079556157
2002-05-23,1104498335
2002-05-24,1098336150
2002-05-28,1106552397
2002-05-29,1116822706
2002-05-30,1134135512
2002-05-31,1115355519
2002-06-03,1121517704
2002-06-04,1118289893
2002-06-05,1127679889
2002-06-06,1125038953
2002-06-07,1118876768
2002-06-10,1125038953
2002-06-11,1117409581
2002-06-12,1114768644
2002-06-13,1110367083
2002-06-14,1107139272
2002-06-17,1116529268
2002-06-18,1116822706
2002-06-19,1114181769
2002-06-20,1115355519
2002-06-21,1126212702
2002-06-24,1132668325
2002-06-25,1137069886
2002-06-26,1096575526
2002-06-27,1093347715
2002-06-28,1110660521
2002-07-01,1108470465
2002-07-02,1099326616
2002-07-03,1083693584
2002-07-05,1081628844
2002-07-08,1057736851
2002-07-09,1054787223
2002-07-10,1031780119
2002-07-11,1025585898
2002-07-12,1010247829
2002-07-15,1011427681
2002-07-16,1032075082
2002-07-17,1022636270
2002-07-18,1009952866
2002-07-19,999039240
2002-07-22,983111245
2002-07-23,946830812
2002-07-24,915269785
2002-07-25,936507112
2002-07-26,961873919
2002-07-29,1000809017
2002-07-30,1022046344
2002-07-31,1009952866
2002-08-01,992550057
2002-08-02,977211988
2002-08-05,962758807
2002-08-06,977801914
2002-08-07,1003168720
2002-08-08,999039240
2002-08-09,988715540
2002-08-12,998449314
2002-08-13,978686802
2002-08-14,1003168720
2002-08-15,992550057
2002-08-16,1006413312
2002-08-19,1011427681
2002-08-20,1004348572
2002-08-21,994319834
2002-08-22,993139983
2002-08-23,995794649
2002-08-26,1014377309
2002-08-27,1021456418
2002-08-28,1024995973
2002-08-29,1032075082
2002-08-30,1035614636
2002-09-03,1022931233
2002-09-04,1017916864
2002-09-05,1005528423
2002-09-06,1017916864
2002-09-09,1019096715
2002-09-10,1015852124
2002-09-11,1017621901
2002-09-12,1008773015
2002-09-13,1018801752
2002-09-16,1017031975
2002-09-17,1017031975
2002-09-18,1017916864
2002-09-19,1006413312
2002-09-20,1005233460
2002-09-23,1003758646
2002-09-24,1003758646
2002-09-25,1001693906
2002-09-26,999039240
2002-09-27,975442211
2002-09-30,963773683
2002-10-01,954620195
2002-10-02,951962731
2002-10-03,951372183
2002-10-04,928045553
2002-10-07,908262208
2002-10-08,897632352
2002-10-09,866923876
2002-10-10,880801745
2002-10-11,904128375
2002-10-14,890250507
2002-10-15,910624399
2002-10-16,902947280
2002-10-17,918596791
2002-10-18,909738577
2002-10-21,903242554
2002-10-22,874010448
2002-10-23,871648257
2002-10-24,881687566
2002-10-25,903537828
2002-10-28,906195292
2002-10-29,902652006
2002-10-30,909148030
2002-10-31,914758232
2002-11-01,921254256
2002-11-04,940447053
2002-11-05,950486362
2002-11-06,961116218
2002-11-07,960820945
2002-11-08,955801290
2002-11-11,941628148
2002-11-12,947828898
2002-11-13,937494315
2002-11-14,948419445
2002-11-15,943695064
2002-11-18,930703017
2002-11-19,930998291
2002-11-20,939856505
2002-11-21,947828898
2002-11-22,970269706
2002-11-25,967021695
2002-11-26,965545326
2002-11-27,987395587
2002-11-29,994482158
2002-12-02,994777432
2002-12-03,998911265
2002-12-04,989462503
2002-12-05,984442849
2002-12-06,983261753
2002-12-09,991234146
2002-12-10,982080658
2002-12-11,974698813
2002-12-12,974994087
2002-12-13,971746075
2002-12-16,979718468
2002-12-17,974698813
2002-12-18,963183135
2002-12-19,971746075
2002-12-20,979127920
2002-12-23,971746075
2002-12-24,986214492
2002-12-26,993891610
2002-12-27,992119968
2002-12-30,999206539
2002-12-31,1000977401
2003-01-02,1005751064
2003-01-03,1003960940
2003-01-06,1012016496
2003-01-07,996502092
2003-01-08,992026784
2003-01-09,1000380693
2003-01-10,976214026
2003-01-13,972335425
2003-01-14,973528840
2003-01-15,967860116
2003-01-16,950257235
2003-01-17,949958881
2003-01-21,950257235
2003-01-22,959804560
2003-01-23,967860116
2003-01-24,957716083
2003-01-27,958312791
2003-01-28,964279869
2003-01-29,952644066
2003-01-30,950555589
2003-01-31,957417729
2003-02-03,952644066
2003-02-04,958312791
2003-02-05,957417729
2003-02-06,957716083
2003-02-07,950257235
2003-02-10,959804560
2003-02-11,950257235
2003-02-12,947273696
2003-02-13,945483572
2003-02-14,933251061
2003-02-18,954732544
2003-02-19,949660527
2003-02-20,948467111
2003-02-21,951749004
2003-02-24,935936247
2003-02-25,937726370
2003-02-26,932356000
2003-02-27,933847769
2003-02-28,932952707
2003-03-03,942500033
2003-03-04,937726370
2003-03-05,949063819
2003-03-06,935936247
2003-03-07,935637893
2003-03-10,920421843
2003-03-11,920123489
2003-03-12,924897152
2003-03-13,929670814
2003-03-14,932057646
2003-03-17,952644066
2003-03-18,959207852
2003-03-19,969650240
2003-03-20,987551475
2003-03-21,1009032957
2003-03-24,991430076
2003-03-25,995010323
2003-03-26,1010823080
2003-03-27,990535014
2003-03-28,989938306
2003-03-31,980013753
2003-04-01,1017160653
2003-04-02,1025918866
2003-04-03,1025012844
2003-04-04,1009006456
2003-04-07,1019576712
2003-04-08,1021388756
2003-04-09,1022596785
2003-04-10,1023200800
2003-04-11,1022898792
2003-04-14,1030750983
2003-04-15,1039207188
2003-04-16,1038301166
2003-04-17,1044341312
2003-04-21,1058233649
2003-04-22,1054609561
2003-04-23,1054911568
2003-04-24,1048569415
2003-04-25,1038905180
2003-04-28,1038905180
2003-04-29,1037395144
2003-04-30,1033469049
2003-05-01,1034677078
2003-05-02,1048569415
2003-05-05,1054005546
2003-05-06,1069105912
2003-05-07,1072427993
2003-05-08,1068199890
2003-05-09,1080280183
2003-05-12,1088736388
2003-05-13,1090246425
2003-05-14,1068501898
2003-05-15,1076052081
2003-05-16,1087528359
2003-05-19,1086622337
2003-05-20,1090850439
2003-05-21,1098098615
2003-05-22,1112594966
2003-05-23,1125883288
2003-05-27,1127997340
2003-05-28,1110480915
2003-05-29,1080280183
2003-05-30,1107460842
2003-06-02,1115011025
2003-06-03,1102930732
2003-06-04,1120447157
2003-06-05,1118635113
2003-06-06,1120749164
2003-06-09,1118937120
2003-06-10,1154271977
2003-06-11,1154271977
2003-06-12,1130413398
2003-06-13,1118333105
2003-06-16,1133433471
2003-06-17,1118937120
2003-06-18,1106252813
2003-06-19,1097494600
2003-06-20,1099910659
2003-06-23,1090246425
2003-06-24,1113198981
2003-06-25,1122259201
2003-06-26,1128601354
2003-06-27,1129507376
2003-06-30,1125365207
2003-07-01,1149367326
2003-07-02,1163950893
2003-07-03,1174280919
2003-07-07,1200105985
2003-07-08,1207093943
2003-07-09,1194940971
2003-07-10,1158178231
2003-07-11,1167596784
2003-07-14,1178230635
2003-07-15,1178838284
2003-07-16,1175800041
2003-07-17,1162127947
2003-07-18,1163950893
2003-07-21,1159393528
2003-07-22,1154836164
2003-07-23,1156355285
2003-07-24,1153620867
2003-07-25,1157266758
2003-07-28,1158785880
2003-07-29,1156659110
2003-07-30,1158178231
2003-07-31,1155139988
2003-08-01,1143898489
2003-08-04,1137214354
2003-08-05,1120807842
2003-08-06,1113516059
2003-08-07,1118681072
2003-08-08,1116250478
2003-08-11,1129314923
2003-08-12,1120807842
2003-08-13,1120807842
2003-08-14,1141771719
2003-08-15,1137214354
2003-08-18,1137214354
2003-08-19,1135695233
2003-08-20,1134479936
2003-08-21,1139644949
2003-08-22,1115035181
2003-08-25,1115035181
2003-08-26,1114731356
2003-08-27,1138733476
2003-08-28,1137214354
2003-08-29,1134479936
2003-09-02,1170635027
2003-09-03,1182180351
2003-09-04,1173065622
2003-09-05,1169419730
2003-09-08,1185826242
2003-09-09,1191902728
2003-09-10,1174280919
2003-09-11,1175800041
2003-09-12,1167292960
2003-09-15,1159089704
2003-09-16,1159089704
2003-09-17,1154228515
2003-09-18,1163647069
2003-09-19,1157874407
2003-09-22,1164862366
2003-09-23,1169419730
2003-09-24,1156355285
2003-09-25,1164558541
2003-09-26,1153924691
2003-09-29,1154836164
2003-09-30,1164862366
2003-10-01,1200105985
2003-10-02,1201017457
2003-10-03,1209524538
2003-10-06,1232311360
2003-10-07,1230488415
2003-10-08,1222588983
2003-10-09,1228969293
2003-10-10,1222588983
2003-10-13,1219246915
2003-10-14,1224108104
2003-10-15,1238691671
2003-10-16,1242033738
2003-10-17,1242033738
2003-10-20,1249933170
2003-10-21,1235349603
2003-10-22,1205270998
2003-10-23,1170027379
2003-10-24,1165166190
2003-10-27,1172457973
2003-10-28,1179142108
2003-10-29,1187041540
2003-10-30,1177319162
2003-10-31,1166077663
2003-11-03,1198283039
2003-11-04,1196156269
2003-11-05,1197371566
2003-11-06,1193421850
2003-11-07,1196763917
2003-11-10,1187953013
2003-11-11,1179142108
2003-11-12,1198283039
2003-11-13,1213474254
2003-11-14,1197371566
2003-11-17,1197979214
2003-11-18,1202536579
2003-11-19,1201625106
2003-11-20,1205270998
2003-11-21,1209524538
2003-11-24,1216816321
2003-11-25,1224411929
2003-11-26,1215601024
2003-11-28,1205270998
2003-12-01,1238995495
2003-12-02,1238691671
2003-12-03,1225323401
2003-12-04,1222588983
2003-12-05,1211347484
2003-12-08,1233526658
2003-12-09,1231703712
2003-12-10,1242641387
2003-12-11,1261174669
2003-12-12,1270897046
2003-12-15,1262693790
2003-12-16,1287607383
2003-12-17,1292468572
2003-12-18,1286695910
2003-12-19,1280619424
2003-12-22,1306444490
2003-12-23,1314040097
2003-12-24,1321331880
2003-12-26,1323154826
2003-12-29,1321028056
2003-12-30,1321331880
2003-12-31,1608154688
2004-01-02,1612213821
2004-01-05,1622177147
2004-01-06,1622915171
2004-01-07,1632140474
2004-01-08,1649115030
2004-01-09,1647638981
2004-01-12,1658340332
2004-01-13,1652067126
2004-01-14,1655388235
2004-01-15,1652067126
2004-01-16,1636937631
2004-01-20,1620701099
2004-01-21,1611106784
2004-01-22,1618487026
2004-01-23,1657233296
2004-01-26,1664244525
2004-01-27,1664244525
2004-01-28,1674576864
2004-01-29,1677897973
2004-01-30,1683433154
2004-02-02,1700407710
2004-02-03,1705573879
2004-02-04,1677159949
2004-02-05,1680850069
2004-02-06,1725869544
2004-02-09,1735463859
2004-02-10,1743582125
2004-02-11,1735463859
2004-02-12,1719965351
2004-02-13,1697086601
2004-02-17,1701145734
2004-02-18,1684909202
2004-02-19,1678635997
2004-02-20,1686385251
2004-02-23,1695241541
2004-02-24,1712954121
2004-02-25,1735463859
2004-02-26,1733987810
2004-02-27,1724024484
2004-03-01,1762401741
2004-03-02,1763508778
2004-03-03,1786387527
2004-03-04,1806314180
2004-03-05,1813325410
2004-03-08,1796350854
2004-03-09,1782697406
2004-03-10,1771627044
2004-03-11,1751331379
2004-03-12,1772365068
2004-03-15,1752069403
2004-03-16,1760925693
2004-03-17,1801886035
2004-03-18,1802255047
2004-03-19,1804838132
2004-03-22,1806683192
2004-03-23,1833621075
2004-03-24,1843215389
2004-03-25,1871998332
2004-03-26,1862035006
2004-03-29,1860927969
2004-03-30,1866463151
2004-03-31,1901151997
2004-04-01,1919172395
2004-04-02,1921049520
2004-04-05,1856101002
2004-04-06,1782517710
2004-04-07,1797159283
2004-04-08,1787773659
2004-04-12,1674019896
2004-04-13,1625965501
2004-04-14,1610197653
2004-04-15,1658627473
2004-04-16,1666511397
2004-04-19,1684156370
2004-04-20,1624839226
2004-04-21,1638354525
2004-04-22,1669890222
2004-04-23,1640982500
2004-04-26,1660129173
2004-04-27,1660129173
2004-04-28,1660504598
2004-04-29,1636852825
2004-04-30,1626340926
2004-05-03,1677398721
2004-05-04,1696169969
2004-05-05,1684156370
2004-05-06,1676272446
2004-05-07,1628218051
2004-05-10,1603815429
2004-05-11,1614327328
2004-05-12,1642108775
2004-05-13,1636477400
2004-05-14,1645112174
2004-05-17,1659378323
2004-05-18,1692791144
2004-05-19,1699173368
2004-05-20,1716067492
2004-05-21,1722074291
2004-05-24,1732210765
2004-05-25,1760743062
2004-05-26,1767876136
2004-05-27,1778763460
2004-05-28,1813677981
2004-06-01,1773882936
2004-06-02,1793780458
2004-06-03,1769753261
2004-06-04,1772381236
2004-06-07,1784770259
2004-06-08,1775009210
2004-06-09,1755862537
2004-06-10,1739719264
2004-06-14,1702176768
2004-06-15,1735214165
2004-06-16,1729958215
2004-06-17,1769377836
2004-06-18,1794906733
2004-06-21,1836203479
2004-06-22,1829821255
2004-06-23,1827944130
2004-06-24,1842210278
2004-06-25,1859479826
2004-06-28,1865111201
2004-06-29,1832073804
2004-06-30,1901600920
2004-07-01,1917291328
2004-07-02,1963979860
2004-07-06,1963214474
2004-07-07,1982731811
2004-07-08,1964362553
2004-07-09,1952499073
2004-07-12,1958239466
2004-07-13,1954412538
2004-07-14,1970485639
2004-07-15,1993064519
2004-07-16,1972016410
2004-07-19,1993064519
2004-07-20,2003014533
2004-07-21,2026358799
2004-07-22,1993064519
2004-07-23,1970485639
2004-07-26,1945610601
2004-07-27,1948289452
2004-07-28,1948289452
2004-07-29,1962449088
2004-07-30,1994977983
2004-08-02,2007989541
2004-08-03,2009137620
2004-08-04,2018704942
2004-08-05,2007224155
2004-08-06,1998804912
2004-08-09,1998422219
2004-08-10,2005310691
2004-08-11,1990768361
2004-08-12,1958239466
2004-08-13,1960535624
2004-08-16,1976608725
2004-08-17,1997656833
2004-08-18,1970485639
2004-08-19,1953647152
2004-08-20,1977756803
2004-08-23,1988472204
2004-08-24,1999952990
2004-08-25,1965510631
2004-08-26,1980818346
2004-08-27,1982731811
2004-08-30,1990768361
2004-08-31,2031716499
2004-09-01,2015260706
2004-09-02,2019470327
2004-09-03,2051999222
2004-09-07,2082231960
2004-09-08,2082614652
2004-09-09,2027506878
2004-09-10,2059653080
2004-09-13,2034395350
2004-09-14,2017174170
2004-09-15,2052381915
2004-09-16,2089120431
2004-09-17,2084528117
2004-09-20,2082231960
2004-09-21,2081083881
2004-09-22,2086441581
2004-09-23,2072281945
2004-09-24,2068072323
2004-09-27,2078022338
2004-09-28,2060035773
2004-09-29,2055826151
2004-09-30,2105193532
2004-10-01,2132747420
2004-10-04,2139253199
2004-10-05,2148055135
2004-10-06,2172547479
2004-10-07,2144228206
2004-10-08,2166424393
2004-10-11,2125093562
2004-10-12,2172547479
2004-10-13,2161449386
2004-10-14,2173695558
2004-10-15,2190151352
2004-10-18,2183262880
2004-10-19,2190151352
2004-10-20,2171782094
2004-10-21,2202397524
2004-10-22,2196657131
2004-10-25,2163745543
2004-10-26,2204310988
2004-10-27,2229951411
2004-10-28,2230334104
2004-10-29,2227272561
2004-11-01,2270899549
2004-11-02,2240666812
2004-11-03,2255209141
2004-11-04,2279318793
2004-11-05,2188620580
2004-11-08,2181732108
2004-11-09,2184793651
2004-11-10,2196657131
2004-11-11,2238753348
