,CMS
2001-08-29,3145450000
2001-08-30,3125500000
2001-08-31,3120180000
2001-09-04,3105550000
2001-09-05,3078950000
2001-09-06,3057670000
2001-09-07,3126830000
2001-09-10,3120180000
2001-09-17,2977870000
2001-09-18,2904720000
2001-09-19,2832900000
2001-09-20,2811620000
2001-09-21,2793000000
2001-09-24,2793000000
2001-09-25,2757090000
2001-09-26,2683940000
2001-09-27,2645370000
2001-09-28,2660000000
2001-10-01,2600000000
2001-10-02,2615600000
2001-10-03,2678000000
2001-10-04,2730000000
2001-10-05,2789800000
2001-10-08,2753400000
2001-10-09,2735200000
2001-10-10,2700100000
2001-10-11,2723500000
2001-10-12,2780700000
2001-10-15,2823600000
2001-10-16,2899000000
2001-10-17,2834000000
2001-10-18,2766400000
2001-10-19,2761200000
2001-10-22,2754700000
2001-10-23,2698800000
2001-10-24,2602600000
2001-10-25,2732600000
2001-10-26,2670200000
2001-10-29,2776800000
2001-10-30,2710500000
2001-10-31,2796300000
2001-11-01,2827500000
2001-11-02,2860000000
2001-11-05,2923700000
2001-11-06,2876900000
2001-11-07,2957500000
2001-11-08,2991300000
2001-11-09,3006900000
2001-11-12,2990000000
2001-11-13,2961400000
2001-11-14,2938000000
2001-11-15,2927600000
2001-11-16,2934100000
2001-11-19,2905500000
2001-11-20,2928900000
2001-11-21,2909400000
2001-11-23,2944500000
2001-11-26,2953600000
2001-11-27,2964000000
2001-11-28,2938000000
2001-11-29,2961400000
2001-11-30,2993900000
2001-12-03,2960100000
2001-12-04,2988700000
2001-12-05,2999100000
2001-12-06,2966600000
2001-12-07,3027700000
2001-12-10,2965300000
2001-12-11,2957500000
2001-12-12,2938000000
2001-12-13,2977000000
2001-12-14,2954900000
2001-12-17,2949700000
2001-12-18,3042000000
2001-12-19,3117400000
2001-12-20,3100500000
2001-12-21,3118700000
2001-12-24,3160300000
2001-12-26,3139500000
2001-12-27,3117400000
2001-12-28,3113500000
2001-12-31,3203199000
2002-01-02,3236524000
2002-01-03,3225860000
2002-01-04,3239190000
2002-01-07,3281846000
2002-01-08,3132550000
2002-01-09,3132550000
2002-01-10,3185870000
2002-01-11,3143214000
2002-01-14,3149879000
2002-01-15,3193868000
2002-01-16,3176539000
2002-01-17,3179205000
2002-01-18,3215196000
2002-01-22,3160543000
2002-01-23,3140548000
2002-01-24,3137882000
2002-01-25,3144547000
2002-01-28,3137882000
2002-01-29,3084562000
2002-01-30,3044572000
2002-01-31,3043239000
2002-02-01,3076564000
2002-02-04,3032575000
2002-02-05,2899275000
2002-02-06,2845955000
2002-02-07,2896609000
2002-02-08,2835291000
2002-02-11,2885945000
2002-02-12,2947263000
2002-02-13,2989919000
2002-02-14,2973923000
2002-02-15,2991252000
2002-02-19,2896609000
2002-02-20,2892610000
2002-02-21,2892610000
2002-02-22,2959260000
2002-02-25,2933933000
2002-02-26,2925935000
2002-02-27,2925935000
2002-02-28,2905940000
2002-03-01,2919270000
2002-03-04,2944597000
2002-03-05,3005915000
2002-03-06,3089894000
2002-03-07,3088561000
2002-03-08,3063234000
2002-03-11,3084562000
2002-03-12,3013913000
2002-03-13,2991252000
2002-03-14,2977922000
2002-03-15,2975256000
2002-03-18,3008581000
2002-03-19,3055236000
2002-03-20,3061901000
2002-03-21,3127218000
2002-03-22,3103224000
2002-03-25,3033908000
2002-03-26,2996584000
2002-03-27,2949929000
2002-03-28,3016579000
2002-04-01,2987646000
2002-04-02,2995728000
2002-04-03,2976870000
2002-04-04,2968788000
2002-04-05,2937807000
2002-04-08,2914908000
2002-04-09,2886621000
2002-04-10,2948583000
2002-04-11,2879886000
2002-04-12,2894703000
2002-04-15,2863722000
2002-04-16,2894703000
2002-04-17,2933766000
2002-04-18,2927031000
2002-04-19,2865069000
2002-04-22,2835435000
2002-04-23,2850252000
2002-04-24,2808495000
2002-04-25,2747880000
2002-04-26,2696694000
2002-04-29,2680530000
2002-04-30,2607792000
2002-05-01,2730369000
2002-05-02,2769432000
2002-05-03,2727675000
2002-05-06,2714205000
2002-05-07,2692653000
2002-05-08,2718246000
2002-05-09,2656284000
2002-05-10,2598363000
2002-05-13,2161935000
2002-05-14,2293941000
2002-05-15,2320881000
2002-05-16,2054175000
2002-05-17,2062257000
2002-05-20,2222550000
2002-05-21,2285859000
2002-05-22,2365332000
2002-05-23,2384190000
2002-05-24,2374761000
2002-05-28,2497338000
2002-05-29,2431335000
2002-05-30,2443458000
2002-05-31,2432682000
2002-06-03,2388231000
2002-06-04,2386884000
2002-06-05,2357250000
2002-06-06,2276430000
2002-06-07,2312799000
2002-06-10,2261613000
2002-06-11,2035317000
2002-06-12,1752447000
2002-06-13,1796898000
2002-06-14,1705302000
2002-06-17,1791510000
2002-06-18,1823838000
2002-06-19,1815756000
2002-06-20,1718772000
2002-06-21,1787469000
2002-06-24,1771305000
2002-06-25,1717425000
2002-06-26,1481700000
2002-06-27,1408962000
2002-06-28,1479006000
2002-07-01,1575346150
2002-07-02,1519846150
2002-07-03,1444423073
2002-07-05,1501346150
2002-07-08,1428769227
2002-07-09,1398884612
2002-07-10,1421653843
2002-07-11,1458653843
2002-07-12,1458653843
2002-07-15,1542615381
2002-07-16,1479999996
2002-07-17,1465769227
2002-07-18,1437307689
2002-07-19,1242346151
2002-07-22,1255153843
2002-07-23,1075846151
2002-07-24,1081538459
2002-07-25,1156961535
2002-07-26,1090076920
2002-07-29,1065884613
2002-07-30,1109999997
2002-07-31,1155538459
2002-08-01,1134192305
2002-08-02,1121384612
2002-08-05,1091499997
2002-08-06,1128499997
2002-08-07,1285038458
2002-08-08,1334846150
2002-08-09,1357615381
2002-08-12,1364730766
2002-08-13,1250884612
2002-08-14,1381807689
2002-08-15,1386076920
2002-08-16,1285038458
2002-08-19,1370423073
2002-08-20,1418807689
2002-08-21,1442999996
2002-08-22,1568230765
2002-08-23,1565384612
2002-08-26,1592423073
2002-08-27,1605230765
2002-08-28,1536923073
2002-08-29,1479999996
2002-08-30,1502769227
2002-09-03,1440153843
2002-09-04,1472884612
2002-09-05,1478576919
2002-09-06,1450115381
2002-09-09,1433038458
2002-09-10,1359038458
2002-09-11,1433038458
2002-09-12,1380384612
2002-09-13,1391769227
2002-09-16,1413115381
2002-09-17,1387499997
2002-09-18,1420230766
2002-09-19,1265115381
2002-09-20,1211038458
2002-09-23,1186846151
2002-09-24,1095769228
2002-09-25,1128499997
2002-09-26,1162653843
2002-09-27,1119961536
2002-09-30,1157709093
2002-10-01,1189309093
2002-10-02,1118927275
2002-10-03,1120363639
2002-10-04,1042800002
2002-10-07,982472729
2002-10-08,857509093
2002-10-09,831654547
2002-10-10,866127274
2002-10-11,942254547
2002-10-14,942254547
2002-10-15,1062909093
2002-10-16,998272729
2002-10-17,1060036366
2002-10-18,1061472729
2002-10-21,1077272730
2002-10-22,1044236366
2002-10-23,1060036366
2002-10-24,1062909093
2002-10-25,1098818184
2002-10-28,1127545457
2002-10-29,1113181821
2002-10-30,1120363639
2002-10-31,1124672730
2002-11-01,1169200002
2002-11-04,1243890912
2002-11-05,1192181821
2002-11-06,1255381821
2002-11-07,1163454548
2002-11-08,1163454548
2002-11-11,1149090912
2002-11-12,1156272730
2002-11-13,1163454548
2002-11-14,1183563639
2002-11-15,1261127275
2002-11-18,1295600003
2002-11-19,1302781821
2002-11-20,1332945457
2002-11-21,1388963639
2002-11-22,1457909094
2002-11-25,1505309094
2002-11-26,1443545458
2002-11-27,1437800003
2002-11-29,1429181821
2002-12-02,1401890912
2002-12-03,1374600003
2002-12-04,1272618185
2002-12-05,1299909094
2002-12-06,1249636366
2002-12-09,1246763639
2002-12-10,1246763639
2002-12-11,1268309094
2002-12-12,1292727276
2002-12-13,1274054548
2002-12-16,1285545457
2002-12-17,1275490912
2002-12-18,1268309094
2002-12-19,1242454548
2002-12-20,1236709094
2002-12-23,1269745457
2002-12-24,1268309094
2002-12-26,1292727276
2002-12-27,1302781821
2002-12-30,1301345457
2002-12-31,1358035086
2003-01-02,1396877191
2003-01-03,1474561402
2003-01-06,1523473682
2003-01-07,1437157893
2003-01-08,1427087718
2003-01-09,1483192981
2003-01-10,1496140349
2003-01-13,1445789472
2003-01-14,1452982454
2003-01-15,1435719297
2003-01-16,1431403507
2003-01-17,1366666665
2003-01-21,1306245612
2003-01-22,1219929823
2003-01-23,1228561402
2003-01-24,873228069
2003-01-27,791228069
2003-01-28,819999999
2003-01-29,819999999
2003-01-30,807052630
2003-01-31,815684209
2003-02-03,804175437
2003-02-04,689087718
2003-02-05,690526315
2003-02-06,707789473
2003-02-07,697719297
2003-02-10,676140350
2003-02-11,631543859
2003-02-12,627228069
2003-02-13,620035087
2003-02-14,617157894
2003-02-18,637298245
2003-02-19,641614034
2003-02-20,643052631
2003-02-21,651684209
2003-02-24,632982455
2003-02-25,643052631
2003-02-26,618596490
2003-02-27,654561402
2003-02-28,647368420
2003-03-03,618596490
2003-03-04,614280701
2003-03-05,625789473
2003-03-06,611403508
2003-03-07,594140350
2003-03-10,558175438
2003-03-11,502070175
2003-03-12,512140350
2003-03-13,543789473
2003-03-14,506385964
2003-03-17,536596490
2003-03-18,561052631
2003-03-19,558175438
2003-03-20,591263157
2003-03-21,661754385
2003-03-24,602771929
2003-03-25,666070174
2003-03-26,653122806
2003-03-27,658877192
2003-03-28,634421052
2003-03-31,636999998
2003-04-01,740999997
2003-04-02,738111108
2003-04-03,709222220
2003-04-04,709222220
2003-04-07,675999997
2003-04-08,661555553
2003-04-09,688999997
2003-04-10,677444442
2003-04-11,680333331
2003-04-14,707777775
2003-04-15,790111108
2003-04-16,798777775
2003-04-17,816111108
2003-04-21,823333330
2003-04-22,834888886
2003-04-23,886888886
2003-04-24,912888886
2003-04-25,873888886
2003-04-28,934555552
2003-04-29,934555552
2003-04-30,899888886
2003-05-01,875333330
2003-05-02,894111108
2003-05-05,875333330
2003-05-06,878222219
2003-05-07,868111108
2003-05-08,961999997
2003-05-09,956222219
2003-05-12,931666663
2003-05-13,912888886
2003-05-14,956222219
2003-05-15,1011111108
2003-05-16,1003888885
2003-05-19,982222219
2003-05-20,970666663
2003-05-21,989444441
2003-05-22,1065999996
2003-05-23,1099222218
2003-05-27,1126666663
2003-05-28,1149777774
2003-05-29,1123777774
2003-05-30,1143999996
2003-06-02,1177222218
2003-06-03,1136777774
2003-06-04,1191666663
2003-06-05,1227777774
2003-06-06,1188777774
2003-06-09,1206111107
2003-06-10,1178666663
2003-06-11,1185888885
2003-06-12,1198888885
2003-06-13,1178666663
2003-06-16,1213333329
2003-06-17,1220555551
2003-06-18,1203222218
2003-06-19,1226333329
2003-06-20,1204666662
2003-06-23,1162777774
2003-06-24,1149777774
2003-06-25,1133888885
2003-06-26,1148333329
2003-06-27,1164222218
2003-06-30,1215000000
2003-07-01,1180500000
2003-07-02,1198500000
2003-07-03,1165500000
2003-07-07,1165500000
2003-07-08,1158000000
2003-07-09,1081500000
2003-07-10,1092000000
2003-07-11,1090500000
2003-07-14,1084500000
2003-07-15,1065000000
2003-07-16,1020000000
2003-07-17,991500000
2003-07-18,1041000000
2003-07-21,960000000
2003-07-22,1003500000
2003-07-23,988500000
2003-07-24,977999999
2003-07-25,985500000
2003-07-28,1000500000
2003-07-29,984000000
2003-07-30,957000000
2003-07-31,975000000
2003-08-01,961500000
2003-08-04,954000000
2003-08-05,928500000
2003-08-06,916500000
2003-08-07,937500000
2003-08-08,973500000
2003-08-11,969000000
2003-08-12,958500000
2003-08-13,939000000
2003-08-14,949500000
2003-08-15,936000000
2003-08-18,940499999
2003-08-19,952500000
2003-08-20,967500000
2003-08-21,969000000
2003-08-22,952500000
2003-08-25,957000000
2003-08-26,988500000
2003-08-27,1005000000
2003-08-28,991500000
2003-08-29,1000500000
2003-09-02,1006500000
2003-09-03,1023000000
2003-09-04,1056000000
2003-09-05,1066500000
2003-09-08,1080000000
2003-09-09,1062000000
2003-09-10,1095000000
2003-09-11,1108500000
2003-09-12,1134000000
2003-09-15,1135500000
2003-09-16,1131000000
2003-09-17,1134000000
2003-09-18,1144500000
2003-09-19,1162500000
2003-09-22,1150500000
2003-09-23,1168500000
2003-09-24,1153500000
2003-09-25,1119000000
2003-09-26,1101000000
2003-09-29,1137000000
2003-09-30,1158142856
2003-10-01,1209999998
2003-10-02,1233571427
2003-10-03,1211571427
2003-10-06,1241428570
2003-10-07,1255571427
2003-10-08,1263428570
2003-10-09,1271285713
2003-10-10,1241428570
2003-10-13,1241428570
2003-10-14,1255571427
2003-10-15,1222571427
2003-10-16,1233571427
2003-10-17,1209999998
2003-10-20,1220999998
2003-10-21,1224142856
2003-10-22,1216285713
2003-10-23,1211571427
2003-10-24,1231999998
2003-10-27,1268142855
2003-10-28,1257142856
2003-10-29,1264999998
2003-10-30,1283857141
2003-10-31,1275999998
2003-11-03,1269714284
2003-11-04,1296428570
2003-11-05,1283857141
2003-11-06,1263428570
2003-11-07,1258714284
2003-11-10,1257142856
2003-11-11,1261857141
2003-11-12,1241428570
2003-11-13,1228857141
2003-11-14,1214714284
2003-11-17,1183285713
2003-11-18,1169142856
2003-11-19,1209999998
2003-11-20,1192714284
2003-11-21,1191142856
2003-11-24,1227285713
2003-11-25,1242999998
2003-11-26,1266571427
2003-11-28,1239857141
2003-12-01,1195857141
2003-12-02,1211571427
2003-12-03,1213142856
2003-12-04,1219428570
2003-12-05,1219428570
2003-12-08,1219428570
2003-12-09,1214714284
2003-12-10,1213142856
2003-12-11,1230428570
2003-12-12,1249285713
2003-12-15,1244571427
2003-12-16,1255571427
2003-12-17,1258714284
2003-12-18,1285428570
2003-12-19,1288571427
2003-12-22,1308999998
2003-12-23,1319999998
2003-12-24,1308999998
2003-12-26,1316857141
2003-12-29,1343571427
2003-12-30,1356142855
2003-12-31,1278000000
2004-01-02,1288500000
2004-01-05,1288500000
2004-01-06,1290000000
2004-01-07,1317000000
2004-01-08,1347000000
2004-01-09,1355999999
2004-01-12,1347000000
2004-01-13,1329000000
2004-01-14,1345500000
2004-01-15,1341000000
2004-01-16,1360500000
2004-01-20,1374000000
2004-01-21,1390500000
2004-01-22,1374000000
2004-01-23,1387500000
2004-01-26,1380000000
2004-01-27,1365000000
2004-01-28,1341000000
2004-01-29,1314000000
2004-01-30,1317000000
2004-02-02,1287000000
2004-02-03,1302000000
2004-02-04,1254000000
2004-02-05,1276500000
2004-02-06,1312500000
2004-02-09,1329000000
2004-02-10,1362000000
2004-02-11,1362000000
2004-02-12,1347000000
2004-02-13,1335000000
2004-02-17,1357500000
2004-02-18,1357500000
2004-02-19,1341000000
2004-02-20,1333500000
2004-02-23,1315500000
2004-02-24,1320000000
2004-02-25,1353000000
2004-02-26,1360500000
2004-02-27,1380000000
2004-03-01,1401000000
2004-03-02,1416000000
2004-03-03,1398000000
2004-03-04,1426500000
2004-03-05,1369500000
2004-03-08,1378500000
2004-03-09,1357500000
2004-03-10,1350000000
2004-03-11,1332000000
2004-03-12,1362000000
2004-03-15,1344000000
2004-03-16,1335000000
2004-03-17,1353000000
2004-03-18,1354500000
2004-03-19,1330500000
