,ZION
2002-01-03,4826443650
2002-01-04,4866947850
2002-01-07,4864186200
2002-01-08,4855901250
2002-01-09,4833808050
2002-01-10,4827364200
2002-01-11,4773051750
2002-01-14,4715977650
2002-01-15,4761084600
2002-01-16,4763846250
2002-01-17,4782257250
2002-01-18,4760164050
2002-01-22,4742673600
2002-01-23,4767528450
2002-01-24,4715057100
2002-01-25,4705851600
2002-01-28,4639572000
2002-01-29,4507012800
2002-01-30,4553040300
2002-01-31,4634048700
2002-02-01,4636810350
2002-02-04,4591703400
2002-02-05,4614717150
2002-02-06,4692963900
2002-02-07,4775813400
2002-02-08,4791462750
2002-02-11,4827364200
2002-02-12,4805271000
2002-02-13,4868788950
2002-02-14,4940591850
2002-02-15,4922180850
2002-02-19,4850377950
2002-02-20,4877994450
2002-02-21,4912975350
2002-02-22,4880756100
2002-02-25,4889041050
2002-02-26,4864186200
2002-02-27,4877994450
2002-02-28,4865106750
2002-03-01,4871550600
2002-03-04,4946115150
2002-03-05,4884438300
2002-03-06,4941512400
2002-03-07,4932306900
2002-03-08,4943353500
2002-03-11,4957161750
2002-03-12,4977413850
2002-03-13,4963605600
2002-03-14,4969128900
2002-03-15,5058422250
2002-03-18,5134827900
2002-03-19,5160603300
2002-03-20,5116416900
2002-03-21,5063945550
2002-03-22,5067627750
2002-03-25,5123781300
2002-03-26,5287639200
2002-03-27,5449656000
2002-03-28,5456099850
2002-04-01,5425056690
2002-04-02,5409454260
2002-04-03,5316757470
2002-04-04,5245169850
2002-04-05,5261690070
2002-04-08,5305743990
2002-04-09,5355304650
2002-04-10,5353469070
2002-04-11,5291977140
2002-04-12,5369989290
2002-04-15,5391098460
2002-04-16,5415878790
2002-04-17,5423221110
2002-04-18,5451672600
2002-04-19,5146966320
2002-04-22,5011133400
2002-04-23,4985435280
2002-04-24,4978092960
2002-04-25,4986353070
2002-04-26,4930367880
2002-04-29,4910176500
2002-04-30,4963408320
2002-05-01,4981764120
2002-05-02,5112090300
2002-05-03,5116679250
2002-05-06,5108419140
2002-05-07,5141459580
2002-05-08,5126774940
2002-05-09,5056105110
2002-05-10,5024900250
2002-05-13,5085474390
2002-05-14,5161650960
2002-05-15,5193773610
2002-05-16,5172664440
2002-05-17,5188266870
2002-05-20,5131363890
2002-05-21,5168993280
2002-05-22,5203869300
2002-05-23,5253429960
2002-05-24,5195609190
2002-05-28,5141459580
2002-05-29,5101076820
2002-05-30,5078132070
2002-05-31,5054269530
2002-06-03,4989106440
2002-06-04,4923943350
2002-06-05,4941381360
2002-06-06,4899163020
2002-06-07,4919354400
2002-06-10,4887231750
2002-06-11,4819315290
2002-06-12,4797288330
2002-06-13,4739467560
2002-06-14,4758741150
2002-06-17,4981764120
2002-06-18,4956066000
2002-06-19,4927614510
2002-06-20,4837671090
2002-06-21,4844095620
2002-06-24,4778932530
2002-06-25,4681646790
2002-06-26,4617401490
2002-06-27,4714687230
2002-06-28,4781685900
2002-07-01,4751543070
2002-07-02,4695728680
2002-07-03,4604229680
2002-07-05,4786312690
2002-07-08,4740563190
2002-07-09,4647234210
2002-07-10,4560310160
2002-07-11,4563055130
2002-07-12,4525540540
2002-07-15,4466066190
2002-07-16,4482536010
2002-07-17,4426721620
2002-07-18,4258363460
2002-07-19,4205294040
2002-07-22,4100070190
2002-07-23,4028700970
2002-07-24,4197059130
2002-07-25,4259278449
2002-07-26,4337967590
2002-07-29,4611549600
2002-07-30,4504495770
2002-07-31,4621614490
2002-08-01,4555735210
2002-08-02,4470641140
2002-08-05,4357182380
2002-08-06,4482536010
2002-08-07,4561225150
2002-08-08,4737818220
2002-08-09,4770757860
2002-08-12,4786312690
2002-08-13,4714943470
2002-08-14,4851276980
2002-08-15,4906176380
2002-08-16,4880556660
2002-08-19,4942775980
2002-08-20,4871406760
2002-08-21,4931796100
2002-08-22,4969310690
2002-08-23,4898856460
2002-08-26,4953755860
2002-08-27,5013230210
2002-08-28,4930881110
2002-08-29,4959245800
2002-08-30,4997675380
2002-09-03,4836637140
2002-09-04,4872321750
2002-09-05,4815592370
2002-09-06,4821997300
2002-09-09,4889706560
2002-09-10,4845787040
2002-09-11,4843042070
2002-09-12,4642659260
2002-09-13,4666449000
2002-09-16,4656384110
2002-09-17,4550245270
2002-09-18,4395611960
2002-09-19,4240063660
2002-09-20,4183334280
2002-09-23,3942691910
2002-09-24,3914327220
2002-09-25,3985696440
2002-09-26,4075365460
2002-09-27,4067130550
2002-09-30,3940727370
2002-10-01,3992328900
2002-10-02,3731605380
2002-10-03,3458207800
2002-10-04,3421090910
2002-10-07,3118724050
2002-10-08,3315171980
2002-10-09,3173946740
2002-10-10,3312456110
2002-10-11,3415659169
2002-10-14,3409322139
2002-10-15,3530631000
2002-10-16,3536062740
2002-10-17,3531536290
2002-10-18,3626591740
2002-10-21,3666424500
2002-10-22,3570463760
2002-10-23,3565032020
2002-10-24,3516146360
2002-10-25,3608485940
2002-10-28,3605770070
2002-10-29,3588569560
2002-10-30,3639265800
2002-10-31,3640171090
2002-11-01,3865588300
2002-11-04,3893652290
2002-11-05,3861967139
2002-11-06,3796786260
2002-11-07,3663708630
2002-11-08,3592190720
2002-11-11,3566842600
2002-11-12,3616633550
2002-11-13,3554168540
2002-11-14,3650129280
2002-11-15,3600338330
2002-11-18,3504377590
2002-11-19,3463639540
2002-11-20,3594001300
2002-11-21,3658276889
2002-11-22,3729794800
2002-11-25,3776869880
2002-11-26,3707162550
2002-11-27,3814892060
2002-11-29,3725268350
2002-12-02,3750616470
2002-12-03,3711689000
2002-12-04,3700825520
2002-12-05,3695393780
2002-12-06,3730700090
2002-12-09,3679098560
2002-12-10,3734321250
2002-12-11,3721647190
2002-12-12,3706257260
2002-12-13,3626591740
2002-12-16,3705351970
2002-12-17,3652845150
2002-12-18,3596717169
2002-12-19,3547831510
2002-12-20,3589474850
2002-12-23,3640171090
2002-12-24,3617538840
2002-12-26,3627497030
2002-12-27,3538778610
2002-12-30,3569558470
2002-12-31,3561410860
2003-01-02,3679098560
2003-01-03,3645602830
2003-01-06,3746995310
2003-01-07,3765101110
2003-01-08,3804933870
2003-01-09,3873735910
2003-01-10,3865588300
2003-01-13,3881883520
2003-01-14,3892747000
2003-01-15,3810365610
2003-01-16,3819418510
2003-01-17,3850198370
2003-01-21,3849293080
2003-01-22,3802218000
2003-01-23,3844766630
2003-01-24,3806744449
2003-01-27,3699920230
2003-01-28,3781396330
2003-01-29,3813986770
2003-01-30,3693583199
2003-01-31,3749711180
2003-02-03,3796786260
2003-02-04,3706257260
2003-02-05,3717120740
2003-02-06,3689056750
2003-02-07,3637455220
2003-02-10,3664613919
2003-02-11,3641076380
2003-02-12,3615728260
2003-02-13,3631118190
2003-02-14,3693583199
2003-02-18,3760574660
2003-02-19,3798596840
2003-02-20,3775964590
2003-02-21,3871020040
2003-02-24,3796786260
2003-02-25,3832997860
2003-02-26,3804933870
2003-02-27,3844766630
2003-02-28,3871020040
2003-03-03,3851103660
2003-03-04,3794070389
2003-03-05,3835713730
2003-03-06,3794070389
2003-03-07,3852008949
2003-03-10,3751521760
2003-03-11,3705351970
2003-03-12,3674572110
2003-03-13,3809460320
2003-03-14,3808555030
2003-03-17,3871925330
2003-03-18,3842050760
2003-03-19,3919905699
2003-03-20,3952496139
2003-03-21,4024919340
2003-03-24,3907231639
2003-03-25,3945253820
2003-03-26,3938011500
2003-03-27,3918095120
2003-03-28,3938011500
2003-03-31,3850542240
2003-04-01,3882945120
2003-04-02,3927949120
2003-04-03,3848742080
2003-04-04,3865843600
2003-04-07,3848742080
2003-04-08,3864043440
2003-04-09,3823539839
2003-04-10,3891045839
2003-04-11,3896446320
2003-04-14,3993654960
2003-04-15,4053960320
2003-04-16,4007156160
2003-04-17,4073762080
2003-04-21,4275380000
2003-04-22,4399591040
2003-04-23,4396890800
2003-04-24,4364487920
2003-04-25,4322184160
2003-04-28,4399591040
2003-04-29,4393290480
2003-04-30,4431993920
2003-05-01,4413092240
2003-05-02,4494999520
2003-05-05,4449995520
2003-05-06,4442794880
2003-05-07,4419392800
2003-05-08,4367188160
2003-05-09,4410392000
2003-05-12,4425693360
2003-05-13,4471597440
2003-05-14,4409491920
2003-05-15,4454495920
2003-05-16,4457196160
2003-05-19,4363587840
2003-05-20,4354587040
2003-05-21,4392390400
2003-05-22,4395090640
2003-05-23,4381589440
2003-05-27,4437394400
2003-05-28,4461696560
2003-05-29,4474297680
2003-05-30,4594908400
2003-06-02,4523802080
2003-06-03,4580507120
2003-06-04,4720019520
2003-06-05,4754222560
2003-06-06,4736220960
2003-06-09,4645312880
2003-06-10,4694817280
2003-06-11,4750622240
2003-06-12,4772224160
2003-06-13,4733520720
2003-06-16,4803726960
2003-06-17,4788425600
2003-06-18,4771324080
2003-06-19,4632711760
2003-06-20,4653413600
2003-06-23,4592208160
2003-06-24,4576906800
2003-06-25,4532802880
2003-06-26,4612910000
2003-06-27,4556204960
2003-06-30,4541552400
2003-07-01,4595404800
2003-07-02,4661822760
2003-07-03,4656437520
2003-07-07,4733625960
2003-07-08,4756064460
2003-07-09,4692339120
2003-07-10,4648359660
2003-07-11,4678876020
2003-07-14,4724650560
2003-07-15,4617843300
2003-07-16,4662720300
2003-07-17,4631306400
2003-07-18,4882617600
2003-07-21,4894285620
2003-07-22,4926597060
2003-07-23,4923904440
2003-07-24,4981347000
2003-07-25,5131236180
2003-07-28,5116875540
2003-07-29,5082769020
2003-07-30,5110592760
2003-07-31,5016351060
2003-08-01,5034301860
2003-08-04,5046867420
2003-08-05,5009170740
2003-08-06,5044174800
2003-08-07,5082769020
2003-08-08,5095334580
2003-08-11,5083666560
2003-08-12,5115080460
2003-08-13,5063023140
2003-08-14,5101617360
2003-08-15,5095334580
2003-08-18,5170727940
2003-08-19,5139314040
2003-08-20,5159059920
2003-08-21,5142006660
2003-08-22,5059432980
2003-08-25,5030711700
2003-08-26,5072896080
2003-08-27,4982244540
2003-08-28,5018146140
2003-08-29,5005580580
2003-09-02,5055842820
2003-09-03,5075588700
2003-09-04,5113285380
2003-09-05,5054945280
2003-09-08,5108797680
2003-09-09,5148289440
2003-09-10,5036994480
2003-09-11,5008273200
2003-09-12,5050457580
2003-09-15,4997502720
2003-09-16,5046867420
2003-09-17,5070203460
2003-09-18,5138416500
2003-09-19,5208424620
2003-09-22,5121363240
2003-09-23,5143801740
2003-09-24,5054945280
2003-09-25,5007375660
2003-09-26,4993015020
2003-09-29,5044174800
2003-09-30,5023646760
2003-10-01,5180663760
2003-10-02,5183355480
2003-10-03,5182458240
2003-10-06,5248854000
2003-10-07,5292818760
2003-10-08,5322427680
2003-10-09,5341269720
2003-10-10,5352036600
2003-10-13,5428302000
2003-10-14,5417535120
2003-10-15,5375364840
2003-10-16,5411254440
2003-10-17,5276668440
2003-10-20,5242573320
2003-10-21,5247059520
2003-10-22,5207580960
2003-10-23,5237189880
2003-10-24,5243470560
2003-10-27,5312558040
2003-10-28,5404973760
2003-10-29,5444452320
2003-10-30,5473164000
2003-10-31,5500081200
2003-11-03,5581730040
2003-11-04,5577243840
2003-11-05,5558401800
2003-11-06,5679529200
2003-11-07,5663378880
2003-11-10,5623900320
2003-11-11,5647228560
2003-11-12,5697474000
2003-11-13,5666070600
2003-11-14,5666070600
2003-11-17,5618516880
2003-11-18,5526101160
2003-11-19,5477650200
2003-11-20,5470472280
2003-11-21,5450733000
2003-11-24,5432788200
2003-11-25,5472266760
2003-11-26,5539559760
2003-11-28,5545840440
2003-12-01,5573654880
2003-12-02,5569168680
2003-12-03,5551223880
2003-12-04,5544943200
2003-12-05,5491108800
2003-12-08,5554812840
2003-12-09,5532381840
2003-12-10,5479444680
2003-12-11,5552121120
2003-12-12,5550326640
2003-12-15,5511745320
2003-12-16,5579038320
2003-12-17,5548532160
2003-12-18,5559299040
2003-12-19,5535073560
2003-12-22,5498286720
2003-12-23,5500978440
2003-12-24,5486622600
2003-12-26,5483930880
2003-12-29,5500081200
2003-12-30,5512642560
2003-12-31,5503670160
2004-01-02,5401384800
2004-01-05,5389720680
2004-01-06,5464191600
2004-01-07,5426507520
2004-01-08,5455219200
2004-01-09,5386131720
2004-01-12,5336783520
2004-01-13,5278462920
2004-01-14,5292818760
2004-01-15,5342166960
2004-01-16,5402282040
2004-01-20,5474958480
2004-01-21,5537765280
2004-01-22,5419329600
2004-01-23,5475855720
2004-01-26,5509053600
2004-01-27,5462397120
2004-01-28,5319735960
2004-01-29,5300893920
2004-01-30,5261415360
2004-02-02,5285640840
2004-02-03,5229114720
2004-02-04,5252442960
2004-02-05,5243470560
2004-02-06,5316147000
2004-02-09,5239881600
2004-02-10,5203992000
2004-02-11,5282949120
2004-02-12,5285640840
2004-02-13,5240778840
2004-02-17,5287435320
2004-02-18,5248854000
2004-02-19,5214758880
2004-02-20,5238087120
2004-02-23,5175280320
2004-02-24,5160924480
2004-02-25,5170794120
2004-02-26,5221039560
2004-02-27,5228217480
2004-03-01,5243470560
2004-03-02,5206683720
2004-03-03,5267696040
2004-03-04,5301791160
2004-03-05,5311660800
2004-03-08,5305380120
2004-03-09,5248854000
2004-03-10,5190533400
2004-03-11,5127726600
2004-03-12,5124137640
2004-03-15,5056844640
2004-03-16,5101706640
2004-03-17,5187841680
2004-03-18,5212067160
2004-03-19,5154643800
2004-03-22,5085556320
2004-03-23,5077481160
2004-03-24,5047872240
2004-03-25,5110679040
2004-03-26,5091837000
2004-03-29,5114268000
2004-03-30,5116062480
2004-03-31,5115531900
2004-04-01,5158534620
2004-04-02,5101197660
2004-04-05,5102093550
2004-04-06,5137929150
2004-04-07,5163909960
2004-04-08,5134345590
2004-04-12,5160326400
2004-04-13,5042964810
2004-04-14,4950688140
2004-04-15,4904997750
2004-04-16,4896038850
2004-04-19,4896934740
2004-04-20,4887079950
2004-04-21,5029526460
2004-04-22,5104781220
2004-04-23,5188994880
2004-04-26,5152263390
2004-04-27,5138825040
2004-04-28,5055507270
2004-04-29,5013400440
2004-04-30,5069841510
2004-05-03,5101197660
2004-05-04,5157638730
2004-05-05,5193474330
2004-05-06,5127178470
2004-05-07,5020567560
2004-05-10,4960542930
2004-05-11,5067153840
2004-05-12,5099405880
2004-05-13,5162118180
2004-05-14,5249019510
2004-05-17,5231101710
2004-05-18,5292918120
2004-05-19,5338608510
2004-05-20,5354734530
2004-05-21,5409383820
2004-05-24,5352046860
2004-05-25,5415655050
2004-05-26,5468512560
2004-05-27,5465824890
2004-05-28,5491805700
2004-06-01,5442531750
2004-06-02,5482846800
2004-06-03,5488222140
2004-06-04,5501660490
2004-06-07,5552726220
2004-06-08,5554518000
2004-06-09,5490013920
2004-06-10,5491805700
2004-06-14,5417446830
2004-06-15,5396841360
2004-06-16,5384298900
2004-06-17,5395049580
2004-06-18,5429093400
2004-06-21,5450594760
2004-06-22,5499868710
2004-06-23,5538391980
2004-06-24,5509723500
2004-06-25,5501660490
2004-06-28,5527641300
2004-06-29,5494493370
2004-06-30,5506964650
2004-07-01,5495314440
2004-07-02,5540122940
2004-07-06,5521303370
2004-07-07,5540122940
2004-07-08,5544603790
2004-07-09,5537434430
2004-07-12,5623466750
2004-07-13,5623466750
2004-07-14,5599270160
2004-07-15,5627947600
2004-07-16,5623466750
2004-07-19,5659313550
2004-07-20,5750722890
2004-07-21,5661105890
2004-07-22,5538330600
2004-07-23,5399424250
2004-07-26,5285610660
2004-07-27,5398528080
2004-07-28,5359992770
2004-07-29,5426309350
2004-07-30,5421828500
2004-08-02,5504276140
2004-08-03,5477391040
2004-08-04,5471117850
2004-08-05,5384189360
2004-08-06,5295468530
2004-08-09,5242594500
2004-08-10,5270375770
2004-08-11,5257829390
2004-08-12,5296364700
2004-08-13,5307118740
2004-08-16,5339380860
2004-08-17,5359992770
2004-08-18,5420932330
2004-08-19,5433478710
2004-08-20,5508756990
2004-08-23,5480079550
