,APH
2000-09-18,2412558267
2000-09-19,2452545420
2000-09-20,2399229216
2000-09-21,2385900164
2000-09-22,2319254908
2000-09-25,2292596806
2000-09-26,2279267755
2000-09-27,2225951550
2000-09-28,2292596806
2000-09-29,2372571113
2000-10-02,2360864628
2000-10-03,2320849973
2000-10-04,2387541064
2000-10-05,2360864628
2000-10-06,2334188192
2000-10-09,2320849973
2000-10-10,2214144227
2000-10-11,2334188192
2000-10-12,2174129573
2000-10-13,2427555719
2000-10-16,2454232156
2000-10-17,2440893937
2000-10-18,2387541064
2000-10-19,2720996520
2000-10-20,2707658302
2000-10-23,2814364048
2000-10-24,2761011175
2000-10-25,2600952556
2000-10-26,2640967211
2000-10-27,2614290775
2000-10-30,2640967211
2000-10-31,2680981866
2000-11-01,2694320084
2000-11-02,2707658302
2000-11-03,2707658302
2000-11-06,2667643648
2000-11-07,2654305429
2000-11-08,2667643648
2000-11-09,2600952556
2000-11-10,2520923247
2000-11-13,2494246810
2000-11-14,2587614338
2000-11-15,2694320084
2000-11-16,2640967211
2000-11-17,2627628993
2000-11-20,2454232156
2000-11-21,2507585029
2000-11-22,2480908592
2000-11-24,2187467791
2000-11-27,2507585029
2000-11-28,2347526410
2000-11-29,2387541064
2000-11-30,2227482446
2000-12-01,2267497100
2000-12-04,2200806009
2000-12-05,2254158882
2000-12-06,2254158882
2000-12-07,2280835319
2000-12-08,2374202846
2000-12-11,2454232156
2000-12-12,2347526410
2000-12-13,2280835319
2000-12-14,2214144227
2000-12-15,1854012335
2000-12-18,1787321244
2000-12-19,1653939061
2000-12-20,1413851133
2000-12-21,1387174696
2000-12-22,1427189351
2000-12-26,1413851133
2000-12-27,1427189351
2000-12-28,1480542224
2000-12-29,1627262625
2001-01-02,1600777267
2001-01-03,1640796698
2001-01-04,1707495751
2001-01-05,1560757835
2001-01-08,1627456888
2001-01-09,1614117077
2001-01-10,1720835562
2001-01-11,1827554046
2001-01-12,1894253099
2001-01-16,1934272531
2001-01-17,1987631773
2001-01-18,2027651205
2001-01-19,2081010447
2001-01-22,2014311394
2001-01-23,1960952152
2001-01-24,2000971584
2001-01-25,1960952152
2001-01-26,1960952152
2001-01-29,1974291962
2001-01-30,2027651205
2001-01-31,2014311394
2001-02-01,2040991015
2001-02-02,1947612341
2001-02-05,1840893857
2001-02-06,1907592910
2001-02-07,1827554046
2001-02-08,1747515183
2001-02-09,1694155941
2001-02-12,1680816130
2001-02-13,1694155941
2001-02-14,1667476320
2001-02-15,1800874425
2001-02-16,1707495751
2001-02-20,1627456888
2001-02-21,1614117077
2001-02-22,1614117077
2001-02-23,1587437456
2001-02-26,1720835562
2001-02-27,1547418024
2001-02-28,1494058782
2001-03-01,1480718972
2001-03-02,1520738403
2001-03-05,1534078214
2001-03-06,1614117077
2001-03-07,1640796698
2001-03-08,1627456888
2001-03-09,1547418024
2001-03-12,1427359729
2001-03-13,1427359729
2001-03-14,1400680108
2001-03-15,1387340298
2001-03-16,1265200992
2001-03-19,1327724684
2001-03-20,1320227711
2001-03-21,1308968911
2001-03-22,1296042634
2001-03-23,1414019919
2001-03-26,1387340298
2001-03-27,1400680108
2001-03-28,1291040205
2001-03-29,1258944621
2001-03-30,1313144271
2001-04-02,1292353234
2001-04-03,1238164446
2001-04-04,1248169761
2001-04-05,1334042048
2001-04-06,1284015471
2001-04-09,1334042048
2001-04-10,1454105832
2001-04-11,1534148355
2001-04-12,1600850457
2001-04-16,1534148355
2001-04-17,1547488775
2001-04-18,1667552560
2001-04-19,1840978026
2001-04-20,1760935503
2001-04-23,1694233400
2001-04-24,1640871719
2001-04-25,1694233400
2001-04-26,1760935503
2001-04-27,1787616344
2001-04-30,1760935503
2001-05-01,1787616344
2001-05-02,1894339708
2001-05-03,1907680128
2001-05-04,1961041810
2001-05-07,1947701390
2001-05-08,1961041810
2001-05-09,1987722651
2001-05-10,1974382231
2001-05-11,1961041810
2001-05-14,1974382231
2001-05-15,1961041810
2001-05-16,1961041810
2001-05-17,2161148117
2001-05-18,2201169379
2001-05-21,2361254424
2001-05-22,2347914004
2001-05-23,2254531061
2001-05-24,2214509799
2001-05-25,2201169379
2001-05-29,2107786435
2001-05-30,2027743912
2001-05-31,2107786435
2001-06-01,2094446015
2001-06-04,2041084333
2001-06-05,2121126856
2001-06-06,2134467276
2001-06-07,2134467276
2001-06-08,2001063072
2001-06-11,1934360969
2001-06-12,1880999287
2001-06-13,1867658867
2001-06-14,1774275923
2001-06-15,1680892980
2001-06-18,1614190878
2001-06-19,1520807934
2001-06-20,1480786673
2001-06-21,1547488775
2001-06-22,1547488775
2001-06-25,1574169616
2001-06-26,1547488775
2001-06-27,1560829196
2001-06-28,1627531298
2001-06-29,1667552560
2001-07-02,1680012320
2001-07-03,1680012320
2001-07-05,1666572221
2001-07-06,1612811827
2001-07-09,1666572221
2001-07-10,1693452418
2001-07-11,1693452418
2001-07-12,1706892517
2001-07-13,1706892517
2001-07-16,1720332615
2001-07-17,1733772714
2001-07-18,1733772714
2001-07-19,1787533108
2001-07-20,1760652911
2001-07-23,1787533108
2001-07-24,1787533108
2001-07-25,1760652911
2001-07-26,1733772714
2001-07-27,1720332615
2001-07-30,1760652911
2001-07-31,1747212812
2001-08-01,1760652911
2001-08-02,1908493995
2001-08-03,1908493995
2001-08-06,1895053896
2001-08-07,1868173699
2001-08-08,1841293502
2001-08-09,1841293502
2001-08-10,1868173699
2001-08-13,1827853404
2001-08-14,1814413305
2001-08-15,1760652911
2001-08-16,1747212812
2001-08-17,1720332615
2001-08-20,1733772714
2001-08-21,1653132122
2001-08-22,1666572221
2001-08-23,1639692024
2001-08-24,1747212812
2001-08-27,1733772714
2001-08-28,1706892517
2001-08-29,1706892517
2001-08-30,1653132122
2001-08-31,1693452418
2001-09-04,1626251925
2001-09-05,1491850940
2001-09-06,1478410841
2001-09-07,1505291038
2001-09-10,1491850940
2001-09-17,1438090545
2001-09-18,1411210348
2001-09-19,1424650447
2001-09-20,1438090545
2001-09-21,1464970743
2001-09-24,1559051432
2001-09-25,1532171235
2001-09-26,1491850940
2001-09-27,1451530644
2001-09-28,1464970743
2001-10-01,1448454377
2001-10-02,1407843507
2001-10-03,1489065248
2001-10-04,1543213075
2001-10-05,1529676118
2001-10-08,1610897859
2001-10-09,1597360902
2001-10-10,1665045686
2001-10-11,1719193513
2001-10-12,1732730470
2001-10-15,1705656556
2001-10-16,1746267427
2001-10-17,1759804384
2001-10-18,1746267427
2001-10-19,1786878297
2001-10-22,1773341340
2001-10-23,1786878297
2001-10-24,1773341340
2001-10-25,1800415254
2001-10-26,1881636995
2001-10-29,1827489168
2001-10-30,1813952211
2001-10-31,1881636995
2001-11-01,1962858736
2001-11-02,2003469606
2001-11-05,2003469606
2001-11-06,1989932649
2001-11-07,2030543520
2001-11-08,2030543520
2001-11-09,2003469606
2001-11-12,2030543520
2001-11-13,2057617433
2001-11-14,2057617433
2001-11-15,2057617433
2001-11-16,2044080476
2001-11-19,2017006563
2001-11-20,1962858736
2001-11-21,1949321779
2001-11-23,1976395692
2001-11-26,2003469606
2001-11-27,2003469606
2001-11-28,1989932649
2001-11-29,2003469606
2001-11-30,2003469606
2001-12-03,1989932649
2001-12-04,2044080476
2001-12-05,2152376131
2001-12-06,2192987001
2001-12-07,2165913088
2001-12-10,2125302217
2001-12-11,2152376131
2001-12-12,2152376131
2001-12-13,2044080476
2001-12-14,2071154390
2001-12-17,2111765260
2001-12-18,2111765260
2001-12-19,2084691347
2001-12-20,2030543520
2001-12-21,2030543520
2001-12-24,2003469606
2001-12-26,2017006563
2001-12-27,2030543520
2001-12-28,2044080476
2001-12-31,2030464752
2002-01-02,2030464752
2002-01-03,2125219773
2002-01-04,2125219773
2002-01-07,2098146910
2002-01-08,2138756205
2002-01-09,2152292637
2002-01-10,2057537615
2002-01-11,2071074047
2002-01-14,2030464752
2002-01-15,1908636866
2002-01-16,1895100435
2002-01-17,1908636866
2002-01-18,1908636866
2002-01-22,1908636866
2002-01-23,1922173298
2002-01-24,1908636866
2002-01-25,1922173298
2002-01-28,1935709730
2002-01-29,1908636866
2002-01-30,1895100435
2002-01-31,1949246161
2002-02-01,1922173298
2002-02-04,1895100435
2002-02-05,1840954708
2002-02-06,1800345413
2002-02-07,1773272550
2002-02-08,1813881845
2002-02-11,1840954708
2002-02-12,1827418276
2002-02-13,1813881845
2002-02-14,1813881845
2002-02-15,1800345413
2002-02-19,1786808981
2002-02-20,1759736118
2002-02-21,1732663255
2002-02-22,1719126823
2002-02-25,1746199686
2002-02-26,1786808981
2002-02-27,1800345413
2002-02-28,1786808981
2002-03-01,1840954708
2002-03-04,1935709730
2002-03-05,2003391888
2002-03-06,2016928320
2002-03-07,2003391888
2002-03-08,2057537615
2002-03-11,2030464752
2002-03-12,2030464752
2002-03-13,2003391888
2002-03-14,1962782593
2002-03-15,1989855456
2002-03-18,1976319025
2002-03-19,1989855456
2002-03-20,1989855456
2002-03-21,1989855456
2002-03-22,1989855456
2002-03-25,1962782593
2002-03-26,1962782593
2002-03-27,1949246161
2002-03-28,1976319025
2002-04-01,1967093292
2002-04-02,1953527132
2002-04-03,1926394810
2002-04-04,1926394810
2002-04-05,1912828650
2002-04-08,1926394810
2002-04-09,1899262489
2002-04-10,1912828650
2002-04-11,1844997847
2002-04-12,1831431686
2002-04-15,1817865525
2002-04-16,1885696328
2002-04-17,1980659453
2002-04-18,2007791774
2002-04-19,1994225614
2002-04-22,1939960971
2002-04-23,1939960971
2002-04-24,1939960971
2002-04-25,1912828650
2002-04-26,1912828650
2002-04-29,1844997847
2002-04-30,1858564007
2002-05-01,1858564007
2002-05-02,1858564007
2002-05-03,1844997847
2002-05-06,1831431686
2002-05-07,1804299365
2002-05-08,1912828650
2002-05-09,1912828650
2002-05-10,1844997847
2002-05-13,1939960971
2002-05-14,2021357935
2002-05-15,2048490256
2002-05-16,2034924096
2002-05-17,2034924096
2002-05-20,1994225614
2002-05-21,1953527132
2002-05-22,1939960971
2002-05-23,1939960971
2002-05-24,1926394810
2002-05-28,1939960971
2002-05-29,1912828650
2002-05-30,1912828650
2002-05-31,1899262489
2002-06-03,1858564007
2002-06-04,1844997847
2002-06-05,1885696328
2002-06-06,1872130168
2002-06-07,1885696328
2002-06-10,1872130168
2002-06-11,1804299365
2002-06-12,1777167043
2002-06-13,1750034722
2002-06-14,1709336240
2002-06-17,1777167043
2002-06-18,1804299365
2002-06-19,1777167043
2002-06-20,1750034722
2002-06-21,1695770080
2002-06-24,1695770080
2002-06-25,1546542312
2002-06-26,1532976152
2002-06-27,1587240794
2002-06-28,1532976152
2002-07-01,1483293625
2002-07-02,1428860832
2002-07-03,1428860832
2002-07-05,1496901824
2002-07-08,1469685427
2002-07-09,1442469030
2002-07-10,1401644435
2002-07-11,1388036236
2002-07-12,1456077228
2002-07-15,1442469030
2002-07-16,1469685427
2002-07-17,1619375609
2002-07-18,1605767411
2002-07-19,1646592006
2002-07-22,1578551014
2002-07-23,1551334617
2002-07-24,1537726419
2002-07-25,1551334617
2002-07-26,1524118220
2002-07-29,1632983808
2002-07-30,1687416601
2002-07-31,1605767411
2002-08-01,1619375609
2002-08-02,1564942815
2002-08-05,1510510022
2002-08-06,1592159212
2002-08-07,1605767411
2002-08-08,1660200204
2002-08-09,1687416601
2002-08-12,1687416601
2002-08-13,1632983808
2002-08-14,1632983808
2002-08-15,1701024800
2002-08-16,1769065792
2002-08-19,1755457593
2002-08-20,1687416601
2002-08-21,1782673990
2002-08-22,1796282188
2002-08-23,1755457593
2002-08-26,1701024800
2002-08-27,1660200204
2002-08-28,1632983808
2002-08-29,1619375609
2002-08-30,1646592006
2002-09-03,1564942815
2002-09-04,1592159212
2002-09-05,1578551014
2002-09-06,1632983808
2002-09-09,1673808403
2002-09-10,1701024800
2002-09-11,1714632998
2002-09-12,1646592006
2002-09-13,1605767411
2002-09-16,1578551014
2002-09-17,1537726419
2002-09-18,1496901824
2002-09-19,1456077228
2002-09-20,1401644435
2002-09-23,1354437594
2002-09-24,1318294220
2002-09-25,1358696961
2002-09-26,1356995936
2002-09-27,1328500368
2002-09-30,1319351041
2002-10-01,1353398809
2002-10-02,1334250344
2002-10-03,1291690633
2002-10-04,1236356199
2002-10-07,1229968838
2002-10-08,1210820373
2002-10-09,1176772604
2002-10-10,1215083153
2002-10-11,1261892026
2002-10-14,1273808745
2002-10-15,1295517602
2002-10-16,1389148967
2002-10-17,1498101827
2002-10-18,1525340042
2002-10-21,1593435579
2002-10-22,1498101827
2002-10-23,1566197364
2002-10-24,1607054687
2002-10-25,1538959149
2002-10-28,1593435579
2002-10-29,1566197364
2002-10-30,1620673794
2002-10-31,1634292902
2002-11-01,1675150224
2002-11-04,1743245762
2002-11-05,1716007547
2002-11-06,1756864870
2002-11-07,1729626655
2002-11-08,1729626655
2002-11-11,1647912009
2002-11-12,1716007547
2002-11-13,1716007547
2002-11-14,1770483977
2002-11-15,1811341300
2002-11-18,1824960407
2002-11-19,1784103085
2002-11-20,1784103085
2002-11-21,1879436837
2002-11-22,1906675052
2002-11-25,1933913267
2002-11-26,1838579515
2002-11-27,1865817730
2002-11-29,1893055945
2002-12-02,1893055945
2002-12-03,1865817730
2002-12-04,1811341300
2002-12-05,1824960407
2002-12-06,1852198622
2002-12-09,1770483977
2002-12-10,1756864870
2002-12-11,1743245762
2002-12-12,1756864870
2002-12-13,1702388440
2002-12-16,1716007547
2002-12-17,1675150224
2002-12-18,1688769332
2002-12-19,1702388440
2002-12-20,1702388440
2002-12-23,1688769332
2002-12-24,1675150224
2002-12-26,1661531117
2002-12-27,1634292902
2002-12-30,1593435579
2002-12-31,1621167654
2003-01-02,1716530457
2003-01-03,1689283942
2003-01-06,1716530457
2003-01-07,1757400230
2003-01-08,1730153715
2003-01-09,1757400230
2003-01-10,1811893260
2003-01-13,1811893260
2003-01-14,1798270003
2003-01-15,1839139776
2003-01-16,1852763033
2003-01-17,1825516518
2003-01-21,1811893260
2003-01-22,1811893260
2003-01-23,1811893260
2003-01-24,1757400230
2003-01-27,1743776972
2003-01-28,1784646745
2003-01-29,1811893260
2003-01-30,1757400230
2003-01-31,1730153715
2003-02-03,1730153715
2003-02-04,1716530457
2003-02-05,1730153715
2003-02-06,1716530457
2003-02-07,1662037427
2003-02-10,1702907200
2003-02-11,1675660684
2003-02-12,1648414169
2003-02-13,1621167654
2003-02-14,1634790912
2003-02-18,1689283942
2003-02-19,1675660684
2003-02-20,1716530457
2003-02-21,1743776972
2003-02-24,1689283942
2003-02-25,1689283942
2003-02-26,1662037427
2003-02-27,1716530457
2003-02-28,1730153715
2003-03-03,1689283942
2003-03-04,1730153715
2003-03-05,1757400230
2003-03-06,1757400230
2003-03-07,1743776972
2003-03-10,1702907200
2003-03-11,1689283942
2003-03-12,1634790912
2003-03-13,1702907200
2003-03-14,1689283942
2003-03-17,1757400230
2003-03-18,1743776972
2003-03-19,1716530457
2003-03-20,1716530457
2003-03-21,1784646745
2003-03-24,1743776972
2003-03-25,1771023488
2003-03-26,1757400230
2003-03-27,1743776972
2003-03-28,1743776972
2003-03-31,1732250495
2003-04-01,1745890263
2003-04-02,1773169798
2003-04-03,1800449333
2003-04-04,1732250495
2003-04-07,1745890263
2003-04-08,1691331192
2003-04-09,1664051656
2003-04-10,1677691424
2003-04-11,1664051656
2003-04-14,1704970960
2003-04-15,1718610727
2003-04-16,1827728869
2003-04-17,1855008404
2003-04-21,1868648172
2003-04-22,1909567475
2003-04-23,1964126545
2003-04-24,1923207242
2003-04-25,1882287939
2003-04-28,1936847010
2003-04-29,1882287939
2003-04-30,1882287939
2003-05-01,1827728869
2003-05-02,1923207242
2003-05-05,1936847010
2003-05-06,1950486778
2003-05-07,1909567475
2003-05-08,1909567475
2003-05-09,1936847010
2003-05-12,1964126545
2003-05-13,1964126545
2003-05-14,1964126545
2003-05-15,1991406081
2003-05-16,2045965152
2003-05-19,1936847010
2003-05-20,1923207242
2003-05-21,1936847010
2003-05-22,1964126545
2003-05-23,1950486778
2003-05-27,1991406081
2003-05-28,2018685616
2003-05-29,1991406081
2003-05-30,2018685616
2003-06-02,2005045848
2003-06-03,2005045848
2003-06-04,2059604919
2003-06-05,2059604919
2003-06-06,2045965152
2003-06-09,2045965152
2003-06-10,2018685616
2003-06-11,2032325384
2003-06-12,2073244687
2003-06-13,1991406081
2003-06-16,1991406081
2003-06-17,2018685616
2003-06-18,2018685616
2003-06-19,2018685616
2003-06-20,1991406081
2003-06-23,1936847010
2003-06-24,1895927707
2003-06-25,1936847010
2003-06-26,1977766313
2003-06-27,2005045848
2003-06-30,2017845022
2003-07-01,2045486735
2003-07-02,2045486735
2003-07-03,2045486735
2003-07-07,2086949304
2003-07-08,2238978723
2003-07-09,2252799580
2003-07-10,2238978723
2003-07-11,2294262149
2003-07-14,2321903861
2003-07-15,2308083005
2003-07-16,2404828999
2003-07-17,2335724718
2003-07-18,2363366430
2003-07-21,2349545574
2003-07-22,2473933281
2003-07-23,2446291568
2003-07-24,2418649856
2003-07-25,2377187287
2003-07-28,2404828999
2003-07-29,2418649856
2003-07-30,2363366430
2003-07-31,2335724718
2003-08-01,2363366430
2003-08-04,2321903861
2003-08-05,2266620436
2003-08-06,2252799580
2003-08-07,2211337011
2003-08-08,2197516154
2003-08-11,2225157867
2003-08-12,2280441292
2003-08-13,2294262149
2003-08-14,2211337011
2003-08-15,2211337011
2003-08-18,2308083005
2003-08-19,2321903861
2003-08-20,2335724718
2003-08-21,2363366430
2003-08-22,2335724718
2003-08-25,2280441292
2003-08-26,2294262149
2003-08-27,2321903861
2003-08-28,2335724718
2003-08-29,2349545574
2003-09-02,2404828999
2003-09-03,2418649856
2003-09-04,2404828999
2003-09-05,2377187287
2003-09-08,2363366430
2003-09-09,2363366430
2003-09-10,2294262149
2003-09-11,2321903861
2003-09-12,2280441292
2003-09-15,2280441292
2003-09-16,2335724718
2003-09-17,2349545574
2003-09-18,2432470712
2003-09-19,2404828999
2003-09-22,2363366430
2003-09-23,2377187287
2003-09-24,2308083005
2003-09-25,2280441292
2003-09-26,2225157867
2003-09-29,2266620436
2003-09-30,2284997113
2003-10-01,2284997113
2003-10-02,2327052275
2003-10-03,2369107436
2003-10-06,2411162598
2003-10-07,2439199372
2003-10-08,2411162598
2003-10-09,2411162598
2003-10-10,2383125824
2003-10-13,2355089049
2003-10-14,2411162598
2003-10-15,2565364857
2003-10-16,2579383244
2003-10-17,2565364857
2003-10-20,2565364857
2003-10-21,2579383244
2003-10-22,2607420019
2003-10-23,2551346470
2003-10-24,2537328083
2003-10-27,2579383244
2003-10-28,2565364857
2003-10-29,2579383244
2003-10-30,2579383244
2003-10-31,2579383244
2003-11-03,2649475180
2003-11-04,2635456793
2003-11-05,2663493568
2003-11-06,2691530342
2003-11-07,2677511955
2003-11-10,2635456793
2003-11-11,2635456793
2003-11-12,2677511955
2003-11-13,2649475180
2003-11-14,2621438406
2003-11-17,2607420019
2003-11-18,2607420019
2003-11-19,2593401632
2003-11-20,2579383244
2003-11-21,2593401632
2003-11-24,2635456793
2003-11-25,2621438406
2003-11-26,2677511955
2003-11-28,2649475180
2003-12-01,2719567116
2003-12-02,2733585504
2003-12-03,2761622278
2003-12-04,2705548729
2003-12-05,2691530342
2003-12-08,2705548729
2003-12-09,2677511955
2003-12-10,2635456793
2003-12-11,2705548729
2003-12-12,2677511955
2003-12-15,2691530342
2003-12-16,2691530342
2003-12-17,2663493568
2003-12-18,2761622278
2003-12-19,2761622278
2003-12-22,2775640665
2003-12-23,2775640665
2003-12-24,2775640665
2003-12-26,2775640665
2003-12-29,2803677440
2003-12-30,2789659052
2003-12-31,2815289728
2004-01-02,2744907484
2004-01-05,2801213279
2004-01-06,2801213279
2004-01-07,2815289728
2004-01-08,2815289728
2004-01-09,2773060382
2004-01-12,2843442625
2004-01-13,2843442625
2004-01-14,2843442625
2004-01-15,2857519073
2004-01-16,2941977765
2004-01-20,2899748419
2004-01-21,3026436457
2004-01-22,2970130663
2004-01-23,2998283560
2004-01-26,3040512906
2004-01-27,2998283560
2004-01-28,2927901317
2004-01-29,2885671971
2004-01-30,2899748419
2004-02-02,2927901317
2004-02-03,2857519073
2004-02-04,2829366176
2004-02-05,2843442625
2004-02-06,2899748419
2004-02-09,2913824868
2004-02-10,2956054214
2004-02-11,2941977765
2004-02-12,2941977765
2004-02-13,2885671971
2004-02-17,2871595522
2004-02-18,2871595522
2004-02-19,2857519073
2004-02-20,2758983933
2004-02-23,2660448792
2004-02-24,2604142998
2004-02-25,2646372344
2004-02-26,2646372344
2004-02-27,2716754587
2004-03-01,2801213279
2004-03-02,2744907484
2004-03-03,2702678138
2004-03-04,2744907484
2004-03-05,2758983933
2004-03-08,2674525241
2004-03-09,2646372344
2004-03-10,2660448792
2004-03-11,2604142998
2004-03-12,2646372344
2004-03-15,2575990101
2004-03-16,2575990101
2004-03-17,2618219447
2004-03-18,2604142998
2004-03-19,2590066549
2004-03-22,2491531409
2004-03-23,2505607857
2004-03-24,2505607857
2004-03-25,2575990101
2004-03-26,2575990101
2004-03-29,2632295895
2004-03-30,2632295895
2004-03-31,2624076215
2004-04-01,2652292088
2004-04-02,2736939708
2004-04-05,2807479391
2004-04-06,2793371454
2004-04-07,2793371454
2004-04-08,2793371454
2004-04-12,2807479391
2004-04-13,2751047644
2004-04-14,2708723834
2004-04-15,2666400024
2004-04-16,2652292088
2004-04-19,2708723834
2004-04-20,2765155581
2004-04-21,2990882567
2004-04-22,3004990504
2004-04-23,3004990504
2004-04-26,2976774631
2004-04-27,2948558757
2004-04-28,2906234947
2004-04-29,2835695264
2004-04-30,2793371454
2004-05-03,2821587328
2004-05-04,2892127011
2004-05-05,2962666694
2004-05-06,2892127011
2004-05-07,2835695264
2004-05-10,2793371454
2004-05-11,2835695264
2004-05-12,2835695264
2004-05-13,2863911137
2004-05-14,2835695264
2004-05-17,2779263518
2004-05-18,2793371454
2004-05-19,2807479391
2004-05-20,2793371454
2004-05-21,2751047644
2004-05-24,2751047644
2004-05-25,2835695264
2004-05-26,2863911137
2004-05-27,2849803201
2004-05-28,2878019074
2004-06-01,2849803201
2004-06-02,2835695264
2004-06-03,2765155581
2004-06-04,2807479391
2004-06-07,2878019074
2004-06-08,2863911137
2004-06-09,2835695264
2004-06-10,2849803201
2004-06-14,2835695264
2004-06-15,2849803201
2004-06-16,2835695264
2004-06-17,2765155581
2004-06-18,2765155581
2004-06-21,2765155581
2004-06-22,2722831771
2004-06-23,2736939708
2004-06-24,2779263518
2004-06-25,2863911137
2004-06-28,2835695264
2004-06-29,2920342884
2004-06-30,2927342080
2004-07-01,2856973279
2004-07-02,2842899520
2004-07-06,2702161920
2004-07-07,2688088160
2004-07-08,2659940640
2004-07-09,2674014400
2004-07-12,2589571840
2004-07-13,2575498080
2004-07-14,2547350560
2004-07-15,2533276800
2004-07-16,2476981760
2004-07-19,2476981760
2004-07-20,2645866880
2004-07-21,2603645600
2004-07-22,2617719360
2004-07-23,2589571840
2004-07-26,2547350560
2004-07-27,2631793120
2004-07-28,2631793120
2004-07-29,2744383200
2004-07-30,2758456960
2004-08-02,2786604480
2004-08-03,2744383200
2004-08-04,2744383200
2004-08-05,2716235680
2004-08-06,2631793120
2004-08-09,2617719360
2004-08-10,2730309440
2004-08-11,2617719360
2004-08-12,2519203040
2004-08-13,2491055520
2004-08-16,2547350560
2004-08-17,2561424320
2004-08-18,2603645600
2004-08-19,2617719360
2004-08-20,2645866880
2004-08-23,2645866880
2004-08-24,2603645600
