,BR
2009-01-09,1894410000
2009-01-12,1848375000
2009-01-13,1912545000
2009-01-14,1846980000
2009-01-15,1856745000
2009-01-16,1898595000
2009-01-20,1791180000
2009-01-21,1846980000
2009-01-22,1840005000
2009-01-23,1833030000
2009-01-26,1859535000
2009-01-27,1881855000
2009-01-28,1961370000
2009-01-29,1913940000
2009-01-30,1881855000
2009-02-02,1923705000
2009-02-03,2071575000
2009-02-04,2050650000
2009-02-05,2107845000
2009-02-06,2198520000
2009-02-09,2238975000
2009-02-10,2216655000
2009-02-11,2247345000
2009-02-12,2303145000
2009-02-13,2356155000
2009-02-17,2307330000
2009-02-18,2269665000
2009-02-19,2272455000
2009-02-20,2225025000
2009-02-23,2187360000
2009-02-24,2218050000
2009-02-25,2198520000
2009-02-26,2197125000
2009-02-27,2229210000
2009-03-02,2116215000
2009-03-03,2206890000
2009-03-04,2286405000
2009-03-05,2237580000
2009-03-06,2236185000
2009-03-09,2206890000
2009-03-10,2290590000
2009-03-11,2353365000
2009-03-12,2453805000
2009-03-13,2497050000
2009-03-16,2439855000
2009-03-17,2511000000
2009-03-18,2544480000
2009-03-19,2523555000
2009-03-20,2480310000
2009-03-23,2644920000
2009-03-24,2605860000
2009-03-25,2688165000
2009-03-26,2660265000
2009-03-27,2591910000
2009-03-30,2551455000
2009-03-31,2570041000
2009-04-01,2554850000
2009-04-02,2654282000
2009-04-03,2674997000
2009-04-06,2672235000
2009-04-07,2651520000
2009-04-08,2684664000
2009-04-09,2737142000
2009-04-13,2692950000
2009-04-14,2644615000
2009-04-15,2647377000
2009-04-16,2716427000
2009-04-17,2708141000
2009-04-20,2608709000
2009-04-21,2673616000
2009-04-22,2673616000
2009-04-23,2616995000
2009-04-24,2636329000
2009-04-27,2669473000
2009-04-28,2677759000
2009-04-29,2703998000
2009-04-30,2672235000
2009-05-01,2637710000
2009-05-04,2578327000
2009-05-05,2604566000
2009-05-06,2634948000
2009-05-07,2611471000
2009-05-08,2713665000
2009-05-11,2449894000
2009-05-12,2418131000
2009-05-13,2438846000
2009-05-14,2427798000
2009-05-15,2433322000
2009-05-18,2483038000
2009-05-19,2433322000
2009-05-20,2431941000
2009-05-21,2404321000
2009-05-22,2401559000
2009-05-26,2437465000
2009-05-27,2382225000
2009-05-28,2329747000
2009-05-29,2286936000
2009-06-01,2408464000
2009-06-02,2436084000
2009-06-03,2436084000
2009-06-04,2447132000
2009-06-05,2442989000
2009-06-08,2447132000
2009-06-09,2398797000
2009-06-10,2402940000
2009-06-11,2384987000
2009-06-12,2372558000
2009-06-15,2310413000
2009-06-16,2270364000
2009-06-17,2292460000
2009-06-18,2291079000
2009-06-19,2303508000
2009-06-22,2230315000
2009-06-23,2209600000
2009-06-24,2238601000
2009-06-25,2242744000
2009-06-26,2275888000
2009-06-29,2289698000
2009-06-30,2289698000
2009-07-01,2317318000
2009-07-02,2251030000
2009-07-06,2255173000
2009-07-07,2183361000
2009-07-08,2184742000
2009-07-09,2162646000
2009-07-10,2136407000
2009-07-13,2210981000
2009-07-14,2204076000
2009-07-15,2227553000
2009-07-16,2273126000
2009-07-17,2280031000
2009-07-20,2284174000
2009-07-21,2317318000
2009-07-22,2309032000
2009-07-23,2368415000
2009-07-24,2382225000
2009-07-27,2427798000
2009-07-28,2444370000
2009-07-29,2409845000
2009-07-30,2408464000
2009-07-31,2384987000
2009-08-03,2402940000
2009-08-04,2416750000
2009-08-05,2407083000
2009-08-06,2367034000
2009-08-07,2463704000
2009-08-10,2524468000
2009-08-11,2645996000
2009-08-12,2712284000
2009-08-13,2738523000
2009-08-14,2803430000
2009-08-17,2771667000
2009-08-18,2802049000
2009-08-19,2793763000
2009-08-20,2791001000
2009-08-21,2822764000
2009-08-24,2826907000
2009-08-25,2846241000
2009-08-26,2791001000
2009-08-27,2842098000
2009-08-28,2844860000
2009-08-31,2875242000
2009-09-01,2866956000
2009-09-02,2893195000
2009-09-03,2937387000
2009-09-04,2965007000
2009-09-08,2969150000
2009-09-09,3011961000
2009-09-10,2970531000
2009-09-11,2976055000
2009-09-14,2953959000
2009-09-15,2937387000
2009-09-16,2923577000
2009-09-17,2915291000
2009-09-18,2793763000
2009-09-21,2829669000
2009-09-22,2837955000
2009-09-23,2839336000
2009-09-24,2839336000
2009-09-25,2792382000
2009-09-28,2802049000
2009-09-29,2836574000
2009-09-30,2727570000
2009-10-01,2711286000
2009-10-02,2690931000
2009-10-05,2732998000
2009-10-06,2751996000
2009-10-07,2751996000
2009-10-08,2772351000
2009-10-09,2780493000
2009-10-12,2811704000
2009-10-13,2803562000
2009-10-14,2879554000
2009-10-15,2921621000
2009-10-16,2921621000
2009-10-19,2936548000
2009-10-20,2960974000
2009-10-21,2916193000
2009-10-22,2891767000
2009-10-23,2897195000
2009-10-26,2902623000
2009-10-27,2886339000
2009-10-28,2846986000
2009-10-29,2863270000
2009-10-30,2823917000
2009-11-02,2826631000
2009-11-03,2955546000
2009-11-04,2935191000
2009-11-05,3001684000
2009-11-06,3060035000
2009-11-09,3123814000
2009-11-10,3093960000
2009-11-11,3024753000
2009-11-12,3001684000
2009-11-13,3031538000
2009-11-16,3111601000
2009-11-17,3104816000
2009-11-18,3051893000
2009-11-19,3011183000
2009-11-20,3020682000
2009-11-23,3088532000
2009-11-24,3079033000
2009-11-25,3072248000
2009-11-27,2979972000
2009-11-30,2982686000
2009-12-01,3007112000
2009-12-02,3076319000
2009-12-03,3055964000
2009-12-04,3115672000
2009-12-07,3111601000
2009-12-08,3083104000
2009-12-09,3089889000
2009-12-10,3114315000
2009-12-11,3079033000
2009-12-14,3081747000
2009-12-15,3066820000
2009-12-16,3043751000
2009-12-17,2993542000
2009-12-18,3057321000
2009-12-21,3047822000
2009-12-22,3084461000
2009-12-23,3099388000
2009-12-24,3117029000
2009-12-28,3112958000
2009-12-29,3088532000
2009-12-30,3085818000
2009-12-31,3041088000
2010-01-04,3058612000
2010-01-05,3046480000
2010-01-06,3026260000
2010-01-07,3038392000
2010-01-08,3061308000
2010-01-11,3070744000
2010-01-12,3041088000
2010-01-13,3070744000
2010-01-14,3096356000
2010-01-15,3019520000
2010-01-19,3059960000
2010-01-20,3042436000
2010-01-21,2996604000
2010-01-22,2984472000
2010-01-25,2975036000
2010-01-26,2956164000
2010-01-27,2976384000
2010-01-28,2965600000
2010-01-29,2927856000
2010-02-01,2946728000
2010-02-02,2964252000
2010-02-03,2961556000
2010-02-04,2970992000
2010-02-05,2898200000
2010-02-08,2883372000
2010-02-09,2837540000
2010-02-10,2836192000
2010-02-11,2821364000
2010-02-12,2887416000
2010-02-16,2917072000
2010-02-17,2942684000
2010-02-18,2935944000
2010-02-19,2918420000
2010-02-22,2911680000
2010-02-23,2886068000
2010-02-24,2841584000
2010-02-25,2832148000
2010-02-26,2836192000
2010-03-01,2886068000
2010-03-02,2887416000
2010-03-03,2868544000
2010-03-04,2879328000
2010-03-05,2925160000
2010-03-08,2890112000
2010-03-09,2969644000
2010-03-10,3003344000
2010-03-11,2985820000
2010-03-12,2992560000
2010-03-15,2975036000
2010-03-16,2976384000
2010-03-17,3004692000
2010-03-18,2991212000
2010-03-19,2958860000
2010-03-22,2983124000
2010-03-23,2930552000
2010-03-24,2913028000
2010-03-25,2903592000
2010-03-26,2880676000
2010-03-29,2927856000
2010-03-30,2914376000
2010-03-31,2704570000
2010-04-01,2696980000
2010-04-05,2691920000
2010-04-06,2690655000
2010-04-07,2695715000
2010-04-08,2696980000
2010-04-09,2764025000
2010-04-12,2776675000
2010-04-13,2766555000
2010-04-14,2863960000
2010-04-15,2866490000
2010-04-16,2855105000
2010-04-19,2851310000
2010-04-20,2881670000
2010-04-21,2882935000
2010-04-22,2956305000
2010-04-23,2948715000
2010-04-26,2971485000
2010-04-27,2932270000
2010-04-28,2977810000
2010-04-29,3018290000
2010-04-30,3011965000
2010-05-03,3036000000
2010-05-04,2998050000
2010-05-05,2960100000
2010-05-06,2938595000
2010-05-07,2867755000
2010-05-10,2814625000
2010-05-11,2784265000
2010-05-12,2775410000
2010-05-13,2781735000
2010-05-14,2732400000
2010-05-17,2696980000
2010-05-18,2664090000
2010-05-19,2621080000
2010-05-20,2519880000
2010-05-21,2593250000
2010-05-24,2466750000
2010-05-25,2392115000
2010-05-26,2380730000
2010-05-27,2438920000
2010-05-28,2418680000
2010-06-01,2378200000
2010-06-02,2379465000
2010-06-03,2398440000
2010-06-04,2360490000
2010-06-07,2356695000
2010-06-08,2457895000
2010-06-09,2402235000
2010-06-10,2485725000
2010-06-11,2473075000
2010-06-14,2442715000
2010-06-15,2465485000
2010-06-16,2468015000
2010-06-17,2495845000
2010-06-18,2509760000
2010-06-21,2502170000
2010-06-22,2476870000
2010-06-23,2464220000
2010-06-24,2441450000
2010-06-25,2425005000
2010-06-28,2459160000
2010-06-29,2406030000
2010-06-30,2409825000
2010-07-01,2414885000
2010-07-02,2432595000
2010-07-06,2398440000
2010-07-07,2514820000
2010-07-08,2569215000
2010-07-09,2573010000
2010-07-12,2570480000
2010-07-13,2595780000
2010-07-14,2602105000
2010-07-15,2599575000
2010-07-16,2546445000
2010-07-19,2548975000
2010-07-20,2586925000
2010-07-21,2559095000
2010-07-22,2613490000
2010-07-23,2633730000
2010-07-26,2664090000
2010-07-27,2657765000
2010-07-28,2636260000
2010-07-29,2597045000
2010-07-30,2567950000
2010-08-02,2602105000
2010-08-03,2608430000
2010-08-04,2598310000
2010-08-05,2560360000
2010-08-06,2576805000
2010-08-09,2616020000
2010-08-10,2593250000
2010-08-11,2531265000
2010-08-12,2497110000
2010-08-13,2554035000
2010-08-16,2541385000
2010-08-17,2584395000
2010-08-18,2597045000
2010-08-19,2536325000
2010-08-20,2550240000
2010-08-23,2541385000
2010-08-24,2547710000
2010-08-25,2559095000
2010-08-26,2593250000
2010-08-27,2702040000
2010-08-30,2691920000
2010-08-31,2700775000
2010-09-01,2729870000
2010-09-02,2766555000
2010-09-03,2819685000
2010-09-07,2805770000
2010-09-08,2804505000
2010-09-09,2794385000
2010-09-10,2838660000
2010-09-13,2836130000
2010-09-14,2836130000
2010-09-15,2862695000
2010-09-16,2857635000
2010-09-17,2876610000
2010-09-20,2925945000
2010-09-21,2889260000
2010-09-22,2856370000
2010-09-23,2874080000
2010-09-24,2903175000
2010-09-27,2882935000
2010-09-28,2879140000
2010-09-29,2895585000
2010-09-30,2858750000
2010-10-01,2885000000
2010-10-04,2855000000
2010-10-05,2860000000
2010-10-06,2820000000
2010-10-07,2805000000
2010-10-08,2796250000
2010-10-11,2793750000
2010-10-12,2736250000
2010-10-13,2628750000
2010-10-14,2607500000
2010-10-15,2591250000
2010-10-18,2618750000
2010-10-19,2613750000
2010-10-20,2686250000
2010-10-21,2662500000
2010-10-22,2707500000
2010-10-25,2757500000
2010-10-26,2745000000
2010-10-27,2736250000
2010-10-28,2752500000
2010-10-29,2750000000
2010-11-01,2740000000
2010-11-02,2763750000
2010-11-03,2766250000
2010-11-04,2807500000
2010-11-05,2688750000
2010-11-08,2673750000
2010-11-09,2698750000
2010-11-10,2743750000
2010-11-11,2686250000
2010-11-12,2672500000
2010-11-15,2678750000
2010-11-16,2701250000
2010-11-17,2696250000
2010-11-18,2666250000
2010-11-19,2647500000
2010-11-22,2646250000
2010-11-23,2643750000
2010-11-24,2687500000
2010-11-26,2660000000
2010-11-29,2637500000
2010-11-30,2573750000
2010-12-01,2648750000
2010-12-02,2715000000
2010-12-03,2770000000
2010-12-06,2755000000
2010-12-07,2772500000
2010-12-08,2792500000
2010-12-09,2810000000
2010-12-10,2803750000
2010-12-13,2828750000
2010-12-14,2778750000
2010-12-15,2736250000
2010-12-16,2761250000
2010-12-17,2737500000
2010-12-20,2686250000
2010-12-21,2668750000
2010-12-22,2675000000
2010-12-23,2681250000
2010-12-27,2722500000
2010-12-28,2706250000
2010-12-29,2728750000
2010-12-30,2757500000
2010-12-31,2723706000
2011-01-03,2767176000
2011-01-04,2742336000
2011-01-05,2746062000
2011-01-06,2775870000
2011-01-07,2760966000
2011-01-10,2770902000
2011-01-11,2779596000
2011-01-12,2795742000
2011-01-13,2780838000
2011-01-14,2839212000
2011-01-18,2901312000
2011-01-19,2871504000
2011-01-20,2834244000
2011-01-21,2829276000
2011-01-24,2866536000
2011-01-25,2859084000
2011-01-26,2829276000
2011-01-27,2847906000
2011-01-28,2826792000
2011-01-31,2842938000
2011-02-01,2851632000
2011-02-02,2849148000
2011-02-03,2872746000
2011-02-04,2844180000
2011-02-07,2887650000
2011-02-08,2707560000
2011-02-09,2688930000
2011-02-10,2780838000
2011-02-11,2805678000
2011-02-14,2841696000
2011-02-15,2845422000
2011-02-16,2866536000
2011-02-17,2897586000
2011-02-18,2886408000
2011-02-22,2842938000
2011-02-23,2813130000
2011-02-24,2839212000
2011-02-25,2886408000
2011-02-28,2846664000
2011-03-01,2836728000
2011-03-02,2842938000
2011-03-03,2906280000
2011-03-04,2846664000
2011-03-07,2808162000
2011-03-08,2809404000
2011-03-09,2805678000
2011-03-10,2732400000
2011-03-11,2695140000
2011-03-14,2685204000
2011-03-15,2655396000
2011-03-16,2608200000
2011-03-17,2633040000
2011-03-18,2623104000
2011-03-21,2636766000
2011-03-22,2628072000
2011-03-23,2633040000
2011-03-24,2667816000
2011-03-25,2665332000
2011-03-28,2649186000
2011-03-29,2685204000
2011-03-30,2796984000
2011-03-31,2802215000
2011-04-01,2834325000
2011-04-04,2824445000
2011-04-05,2823210000
2011-04-06,2847910000
2011-04-07,2836795000
2011-04-08,2818270000
2011-04-11,2825680000
2011-04-12,2819505000
2011-04-13,2819505000
2011-04-14,2824445000
2011-04-15,2830620000
2011-04-18,2797275000
2011-04-19,2805920000
2011-04-20,2819505000
2011-04-21,2819505000
2011-04-25,2829385000
2011-04-26,2868905000
2011-04-27,2893605000
2011-04-28,2894840000
2011-04-29,2870140000
2011-05-02,2871375000
2011-05-03,2873845000
2011-05-04,2860260000
2011-05-05,2835560000
2011-05-06,2849145000
2011-05-09,2892370000
2011-05-10,2851615000
2011-05-11,2788630000
2011-05-12,2828150000
2011-05-13,2808390000
2011-05-16,2766400000
2011-05-17,2770105000
2011-05-18,2776280000
2011-05-19,2804685000
2011-05-20,2799745000
2011-05-23,2766400000
2011-05-24,2772575000
2011-05-25,2794805000
2011-05-26,2814565000
2011-05-27,2818270000
2011-05-31,2825680000
2011-06-01,2830620000
2011-06-02,2860260000
2011-06-03,2821975000
2011-06-06,2799745000
2011-06-07,2792335000
2011-06-08,2758990000
2011-06-09,2745405000
2011-06-10,2698475000
2011-06-13,2691065000
2011-06-14,2761460000
2011-06-15,2724410000
2011-06-16,2726880000
2011-06-17,2813330000
2011-06-20,2825680000
2011-06-21,2867670000
2011-06-22,2882490000
2011-06-23,2894840000
2011-06-24,2904720000
2011-06-27,2896075000
2011-06-28,2918305000
2011-06-29,2959060000
2011-06-30,2977459000
2011-07-01,3014569000
2011-07-05,3014569000
2011-07-06,3041783000
2011-07-07,3061575000
2011-07-08,3029413000
2011-07-11,2974985000
2011-07-12,2973748000
2011-07-13,2983644000
2011-07-14,2937875000
2011-07-15,2929216000
2011-07-18,2895817000
2011-07-19,2934164000
2011-07-20,2936638000
2011-07-21,2939112000
2011-07-22,2949008000
2011-07-25,2921794000
2011-07-26,2909424000
2011-07-27,2898291000
2011-07-28,2877262000
2011-07-29,2852522000
2011-08-01,2842626000
2011-08-02,2769643000
2011-08-03,2806753000
2011-08-04,2692949000
2011-08-05,2653365000
2011-08-08,2485133000
2011-08-09,2572960000
2011-08-10,2475237000
2011-08-11,2592752000
2011-08-12,2669446000
2011-08-15,2642232000
2011-08-16,2640995000
2011-08-17,2610070000
2011-08-18,2483896000
2011-08-19,2423283000
2011-08-22,2452971000
2011-08-23,2514821000
2011-08-24,2535850000
2011-08-25,2477711000
2011-08-26,2513584000
2011-08-29,2568012000
2011-08-30,2551931000
2011-08-31,2575434000
2011-09-01,2568012000
2011-09-02,2534613000
2011-09-06,2527191000
2011-09-07,2602648000
2011-09-08,2551931000
2011-09-09,2471526000
2011-09-12,2488844000
2011-09-13,2499977000
2011-09-14,2538324000
2011-09-15,2603885000
2011-09-16,2590278000
2011-09-19,2585330000
2011-09-20,2590278000
2011-09-21,2528428000
2011-09-22,2474000000
2011-09-23,2493792000
2011-09-26,2540798000
2011-09-27,2559353000
2011-09-28,2506162000
2011-09-29,2519769000
2011-09-30,2491318000
2011-10-03,2372566000
2011-10-04,2459156000
2011-10-05,2460393000
2011-10-06,2534613000
2011-10-07,2512347000
2011-10-10,2592752000
2011-10-11,2612544000
2011-10-12,2662024000
2011-10-13,2657076000
2011-10-14,2670683000
2011-10-17,2596463000
2011-10-18,2648417000
2011-10-19,2626151000
2011-10-20,2601411000
2011-10-21,2618729000
2011-10-24,2741192000
2011-10-25,2709030000
2011-10-26,2736244000
2011-10-27,2819123000
2011-10-28,2816649000
2011-10-31,2752325000
2011-11-01,2605122000
2011-11-02,2730059000
