,WU
2007-10-08,15471624000
2007-10-09,15613497000
2007-10-10,15187878000
2007-10-11,14993735999
2007-10-12,15031071000
2007-10-15,14702523000
2007-10-16,14508381000
2007-10-17,14418776999
2007-10-18,14247035999
2007-10-19,13761681000
2007-10-22,14172366000
2007-10-23,15150543000
2007-10-24,15971913000
2007-10-25,16195923000
2007-10-26,16292994000
2007-10-29,16487135999
2007-10-30,16606607999
2007-10-31,16457268000
2007-11-01,16263126000
2007-11-02,16524471000
2007-11-05,16502070000
2007-11-06,16636476000
2007-11-07,16942623000
2007-11-08,16897821000
2007-11-09,16427400000
2007-11-12,16733547000
2007-11-13,17211435000
2007-11-14,16972491000
2007-11-15,16419932999
2007-11-16,16905288000
2007-11-19,16442334000
2007-11-20,16076451000
2007-11-21,15755370000
2007-11-23,16188456000
2007-11-26,15322284000
2007-11-27,16113785999
2007-11-28,16800750000
2007-11-29,16800750000
2007-11-30,16875420000
2007-12-03,17263704000
2007-12-04,17121831000
2007-12-05,17144232000
2007-12-06,17017293000
2007-12-07,16957557000
2007-12-10,17681856000
2007-12-11,17248770000
2007-12-12,17375709000
2007-12-13,17465313000
2007-12-14,17666922000
2007-12-17,17151699000
2007-12-18,17144232000
2007-12-19,17569851000
2007-12-20,17637054000
2007-12-21,17995470000
2007-12-24,18167211000
2007-12-26,18458424000
2007-12-27,17913333000
2007-12-28,17883465000
2007-12-31,18129876000
2008-01-02,17196501000
2008-01-03,17360775000
2008-01-04,16382598000
2008-01-07,16322862000
2008-01-08,15956979000
2008-01-09,16688745000
2008-01-10,16651410000
2008-01-11,15934578000
2008-01-14,16188456000
2008-01-15,15994314000
2008-01-16,16330329000
2008-01-17,15844974000
2008-01-18,15710568000
2008-01-22,14941467000
2008-01-23,14747325000
2008-01-24,15538826999
2008-01-25,15284949000
2008-01-28,15703101000
2008-01-29,15620964000
2008-01-30,15576162000
2008-01-31,16726079999
2008-02-01,17203968000
2008-02-04,16867953000
2008-02-05,16285526999
2008-02-06,16449801000
2008-02-07,16263126000
2008-02-08,16180989000
2008-02-11,16397532000
2008-02-12,16083918000
2008-02-13,16300460999
2008-02-14,15747903000
2008-02-15,15956979000
2008-02-19,15979379999
2008-02-20,15897243000
2008-02-21,15673232999
2008-02-22,16009248000
2008-02-25,16315395000
2008-02-26,16121253000
2008-02-27,16151121000
2008-02-28,15897243000
2008-02-29,15531360000
2008-03-03,15770304000
2008-03-04,16106319000
2008-03-05,16569273000
2008-03-06,16248192000
2008-03-07,15889776000
2008-03-10,15658299000
2008-03-11,16263126000
2008-03-12,15785238000
2008-03-13,15740435999
2008-03-14,15396954000
2008-03-17,15240147000
2008-03-18,16203390000
2008-03-19,16382598000
2008-03-20,16390065000
2008-03-24,16479669000
2008-03-25,16278060000
2008-03-26,15815106000
2008-03-27,15598563000
2008-03-28,15665766000
2008-03-31,15665355000
2008-04-01,15834750000
2008-04-02,15761099999
2008-04-03,15495960000
2008-04-04,15297105000
2008-04-07,15510690000
2008-04-08,15466500000
2008-04-09,15333930000
2008-04-10,15164535000
2008-04-11,14936220000
2008-04-14,14744730000
2008-04-15,15127710000
2008-04-16,15547515000
2008-04-17,15562245000
2008-04-18,15142440000
2008-04-21,15584340000
2008-04-22,16203000000
2008-04-23,16571250000
2008-04-24,17130990000
2008-04-25,16983690000
2008-04-28,17108895000
2008-04-29,16946865000
2008-04-30,16939500000
2008-05-01,17410860000
2008-05-02,17197275000
2008-05-05,17160450000
2008-05-06,17013150000
2008-05-07,16748009999
2008-05-08,17101530000
2008-05-09,16917405000
2008-05-12,17013150000
2008-05-13,17602350000
2008-05-14,17374035000
2008-05-15,17234100000
2008-05-16,17248830000
2008-05-19,17499240000
2008-05-20,17396130000
2008-05-21,17160450000
2008-05-22,17123625000
2008-05-23,16733280000
2008-05-27,17042610000
2008-05-28,17197275000
2008-05-29,16865849999
2008-05-30,17410860000
2008-06-02,17175180000
2008-06-03,17639175000
2008-06-04,17197275000
2008-06-05,17506605000
2008-06-06,16887945000
2008-06-09,17035245000
2008-06-10,17462415000
2008-06-11,17079435000
2008-06-12,17499240000
2008-06-13,17698095000
2008-06-16,17322480000
2008-06-17,17042610000
2008-06-18,16865849999
2008-06-19,17057340000
2008-06-20,18486150000
2008-06-23,19067985000
2008-06-24,18530340000
2008-06-25,18876495000
2008-06-26,18228375000
2008-06-27,18552435000
2008-06-30,17919528000
2008-07-01,17999267000
2008-07-02,17317861000
2008-07-03,16911916999
2008-07-07,17143884999
2008-07-08,17600572000
2008-07-09,17049648000
2008-07-10,17448343000
2008-07-11,17426596000
2008-07-14,17528082000
2008-07-15,17883283000
2008-07-16,18202239000
2008-07-17,18354468000
2008-07-18,18745914000
2008-07-21,18173243000
2008-07-22,19739027000
2008-07-23,20137722000
2008-07-24,19978244000
2008-07-25,19869509000
2008-07-28,19804268000
2008-07-29,19565051000
2008-07-30,20318947000
2008-07-31,20036236000
2008-08-01,19985493000
2008-08-04,19775272000
2008-08-05,19746276000
2008-08-06,19536055000
2008-08-07,19369328000
2008-08-08,19456316000
2008-08-11,19521557000
2008-08-12,19543304000
2008-08-13,19818766000
2008-08-14,20130473000
2008-08-15,20550915000
2008-08-18,20442180000
2008-08-19,20405935000
2008-08-20,20369690000
2008-08-21,20304449000
2008-08-22,20442180000
2008-08-25,20231959000
2008-08-26,20311698000
2008-08-27,20442180000
2008-08-28,20231959000
2008-08-29,20021738000
2008-09-02,20413184000
2008-09-03,20050734000
2008-09-04,19086617000
2008-09-05,19470814000
2008-09-08,19746276000
2008-09-09,19035874000
2008-09-10,18637179000
2008-09-11,18310974000
2008-09-12,18492199000
2008-09-15,18528444000
2008-09-16,18463203000
2008-09-17,17810793000
2008-09-18,18223986000
2008-09-19,18644428000
2008-09-22,18216737000
2008-09-23,18013765000
2008-09-24,18738665000
2008-09-25,18390713000
2008-09-26,18289227000
2008-09-29,17078644000
2008-09-30,17444157000
2008-10-01,16192589999
2008-10-02,15471348000
2008-10-03,15018803999
2008-10-06,14226852000
2008-10-07,13024782000
2008-10-08,13180344000
2008-10-09,13152060000
2008-10-10,12819723000
2008-10-13,14460195000
2008-10-14,14962236000
2008-10-15,13498539000
2008-10-16,13569249000
2008-10-17,13583391000
2008-10-20,14410698000
2008-10-21,11843925000
2008-10-22,10571145000
2008-10-23,10613571000
2008-10-24,10274163000
2008-10-27,9517566000
2008-10-28,11518659000
2008-10-29,10564074000
2008-10-30,10832772000
2008-10-31,10790346000
2008-11-03,10429725000
2008-11-04,11037831000
2008-11-05,10952979000
2008-11-06,10422654000
2008-11-07,10952979000
2008-11-10,10853985000
2008-11-11,10316589000
2008-11-12,9142803000
2008-11-13,9630702000
2008-11-14,9538779000
2008-11-17,9100377000
2008-11-18,8520555000
2008-11-19,8075082000
2008-11-20,7686176999
2008-11-21,8428632000
2008-11-24,9220584000
2008-11-25,9291294000
2008-11-26,9263010000
2008-11-28,9383217000
2008-12-01,8676117000
2008-12-02,8817537000
2008-12-03,8958957000
2008-12-04,8697330000
2008-12-05,8944815000
2008-12-08,9460998000
2008-12-09,9199371000
2008-12-10,9552921000
2008-12-11,9574134000
2008-12-12,9694341000
2008-12-15,9687270000
2008-12-16,10033749000
2008-12-17,9941826000
2008-12-18,9864045000
2008-12-19,9779193000
2008-12-22,9651915000
2008-12-23,9729696000
2008-12-24,9729696000
2008-12-26,9906471000
2008-12-29,9899400000
2008-12-30,9970110000
2008-12-31,10139814000
2009-01-02,10747920000
2009-01-05,10267092000
2009-01-06,11143896000
2009-01-07,10443867000
2009-01-08,10839843000
2009-01-09,10627713000
2009-01-12,10373157000
2009-01-13,10677210000
2009-01-14,10175169000
2009-01-15,10323660000
2009-01-16,10422654000
2009-01-20,9496353000
2009-01-21,10054962000
2009-01-22,9814548000
2009-01-23,9736767000
2009-01-26,10203453000
2009-01-27,10528719000
2009-01-28,10634784000
2009-01-29,10422654000
2009-01-30,9658986000
2009-02-02,9757980000
2009-02-03,9793335000
2009-02-04,9729696000
2009-02-05,8859963000
2009-02-06,9079164000
2009-02-09,8958957000
2009-02-10,8789253000
2009-02-11,8859963000
2009-02-12,9100377000
2009-02-13,8895318000
2009-02-17,8386206000
2009-02-18,8492271000
2009-02-19,8117508000
2009-02-20,8075082000
2009-02-23,7778100000
2009-02-24,8258928000
2009-02-25,8032656000
2009-02-26,7905378000
2009-02-27,7891236000
2009-03-02,7608396000
2009-03-03,7573041000
2009-03-04,7933662000
2009-03-05,7516473000
2009-03-06,7375053000
2009-03-09,7452833999
2009-03-10,7947804000
2009-03-11,8089224000
2009-03-12,8548839000
2009-03-13,8485200000
2009-03-16,8471058000
2009-03-17,8768040000
2009-03-18,8789253000
2009-03-19,8449844999
2009-03-20,8499342000
2009-03-23,8852892000
2009-03-24,8845821000
2009-03-25,8746827000
2009-03-26,8958957000
2009-03-27,8944815000
2009-03-30,8485200000
2009-03-31,8806542000
2009-04-01,8883608000
2009-04-02,9423070000
2009-04-03,9682292000
2009-04-06,9381034000
2009-04-07,9353010000
2009-04-08,9605226000
2009-04-09,10095646000
2009-04-13,10130676000
2009-04-14,10004568000
2009-04-15,10368880000
2009-04-16,10565048000
2009-04-17,10452952000
2009-04-20,9997562000
2009-04-21,11335708000
2009-04-22,11615947999
2009-04-23,11826128000
2009-04-24,12239482000
2009-04-27,11840139999
2009-04-28,11510858000
2009-04-29,11931218000
2009-04-30,11735050000
2009-05-01,11917206000
2009-05-04,12358584000
2009-05-05,12281518000
2009-05-06,12351578000
2009-05-07,12421638000
2009-05-08,12540739999
2009-05-11,12190439999
2009-05-12,11952236000
2009-05-13,11629960000
2009-05-14,11615947999
2009-05-15,11461816000
2009-05-18,12183434000
2009-05-19,11657984000
2009-05-20,12127386000
2009-05-21,12043314000
2009-05-22,11566906000
2009-05-26,12218464000
2009-05-27,11664989999
2009-05-28,11868164000
2009-05-29,12351578000
2009-06-01,12701878000
2009-06-02,12015289999
2009-06-03,11987266000
2009-06-04,11994272000
2009-06-05,11861158000
2009-06-08,12015289999
2009-06-09,11931218000
2009-06-10,12491697999
2009-06-11,12113374000
2009-06-12,12085350000
2009-06-15,11756068000
2009-06-16,11573912000
2009-06-17,11524870000
2009-06-18,11461816000
2009-06-19,11307684000
2009-06-22,10978402000
2009-06-23,11167564000
2009-06-24,11195588000
2009-06-25,11482834000
2009-06-26,11510858000
2009-06-29,11664989999
2009-06-30,11453759999
2009-07-01,11621376000
2009-07-02,10741392000
2009-07-06,10888056000
2009-07-07,10657584000
2009-07-08,10881072000
2009-07-09,11516615999
2009-07-10,11307096000
2009-07-13,11795976000
2009-07-14,11684232000
2009-07-15,12138192000
2009-07-16,12557232000
2009-07-17,12571200000
2009-07-20,12745800000
2009-07-21,12249936000
2009-07-22,12382632000
2009-07-23,12745800000
2009-07-24,12892464000
2009-07-27,13053096000
2009-07-28,12871512000
2009-07-29,12606120000
2009-07-30,12731832000
2009-07-31,12208032000
2009-08-03,12403584000
2009-08-04,12515328000
2009-08-05,12235968000
2009-08-06,12305808000
2009-08-07,12620088000
2009-08-10,12592152000
2009-08-11,12305808000
2009-08-12,12592152000
2009-08-13,12606120000
2009-08-14,12529296000
2009-08-17,12187080000
2009-08-18,12375648000
2009-08-19,12508344000
2009-08-20,12599136000
2009-08-21,12976271999
2009-08-24,12941352000
2009-08-25,12913415999
2009-08-26,12983256000
2009-08-27,13192776000
2009-08-28,13108968000
2009-08-31,12599136000
2009-09-01,12368664000
2009-09-02,12452471999
2009-09-03,12745800000
2009-09-04,12696912000
2009-09-08,12710880000
2009-09-09,12892464000
2009-09-10,12969288000
2009-09-11,13178808000
2009-09-14,13311504000
2009-09-15,13095000000
2009-09-16,13409280000
2009-09-17,13604832000
2009-09-18,13660704000
2009-09-21,13611815999
2009-09-22,14359104000
2009-09-23,13681656000
2009-09-24,13548959999
2009-09-25,13325471999
2009-09-28,13779432000
2009-09-29,13451184000
2009-09-30,12901548000
2009-10-01,12581055000
2009-10-02,12390123000
2009-10-05,12383304000
2009-10-06,12799263000
2009-10-07,12724254000
2009-10-08,12928824000
2009-10-09,12997014000
2009-10-12,13072023000
2009-10-13,13092480000
2009-10-14,13522076999
2009-10-15,13542534000
2009-10-16,13487982000
2009-10-19,13419792000
2009-10-20,13372059000
2009-10-21,13065204000
2009-10-22,13174308000
2009-10-23,12812901000
2009-10-26,12840176999
2009-10-27,12731073000
2009-10-28,12417399000
2009-10-29,12703797000
2009-10-30,12390123000
2009-11-02,12676521000
2009-11-03,12628788000
2009-11-04,12553779000
2009-11-05,12928824000
2009-11-06,12826539000
2009-11-09,13303869000
2009-11-10,13392516000
2009-11-11,13351601999
2009-11-12,13174308000
2009-11-13,13256136000
2009-11-16,13651638000
2009-11-17,13515258000
2009-11-18,13412973000
2009-11-19,13147032000
2009-11-20,12840176999
2009-11-23,12942462000
2009-11-24,12901548000
2009-11-25,12894729000
2009-11-27,12615150000
2009-11-30,12581055000
2009-12-01,12608330999
2009-12-02,12546959999
2009-12-03,12165096000
2009-12-04,12369666000
2009-12-07,12437855999
2009-12-08,12308295000
2009-12-09,12403761000
2009-12-10,12956100000
2009-12-11,13003833000
2009-12-14,13099299000
2009-12-15,12935643000
2009-12-16,13112937000
2009-12-17,12976557000
2009-12-18,13044747000
2009-12-21,13119755999
2009-12-22,13222041000
2009-12-23,13256136000
2009-12-24,13126575000
2009-12-28,13024290000
2009-12-29,13003833000
2009-12-30,12969738000
2009-12-31,12853815000
2010-01-04,13017471000
2010-01-05,12962919000
2010-01-06,12956100000
2010-01-07,13372059000
2010-01-08,13501620000
2010-01-11,13617543000
2010-01-12,13535715000
2010-01-13,13726647000
2010-01-14,13556172000
2010-01-15,13317507000
2010-01-19,13542534000
2010-01-20,13297050000
2010-01-21,13249317000
2010-01-22,12819720000
2010-01-25,12703797000
2010-01-26,12485589000
2010-01-27,12512865000
2010-01-28,12444675000
2010-01-29,12642426000
2010-02-01,12669701999
2010-02-02,12853815000
2010-02-03,11708223000
2010-02-04,11278626000
2010-02-05,11251350000
2010-02-08,11019504000
2010-02-09,11005866000
2010-02-10,11210436000
2010-02-11,11019504000
2010-02-12,10992228000
2010-02-16,11251350000
2010-02-17,11183159999
2010-02-18,11224074000
2010-02-19,11149065000
2010-02-22,11033142000
2010-02-23,10937676000
2010-02-24,10910400000
2010-02-25,10883124000
2010-02-26,10760382000
2010-03-01,10910400000
2010-03-02,10801296000
2010-03-03,10712649000
2010-03-04,10924038000
2010-03-05,11121789000
2010-03-08,11060418000
2010-03-09,11135426999
2010-03-10,11258169000
2010-03-11,11435463000
2010-03-12,11530929000
2010-03-15,11394549000
2010-03-16,11074055999
2010-03-17,11455920000
2010-03-18,11455920000
2010-03-19,11360454000
2010-03-22,11530929000
2010-03-23,11633214000
2010-03-24,11510472000
2010-03-25,11571843000
2010-03-26,11626395000
2010-03-29,11721861000
2010-03-30,11592300000
2010-03-31,11351328000
2010-04-01,11418258000
2010-04-05,11625741000
2010-04-06,11712750000
2010-04-07,11538731999
2010-04-08,11652513000
2010-04-09,11706056999
2010-04-12,11692671000
2010-04-13,11706056999
2010-04-14,11806452000
2010-04-15,11732829000
2010-04-16,11538731999
2010-04-19,11578890000
2010-04-20,11645820000
2010-04-21,11672592000
2010-04-22,11679285000
2010-04-23,11900154000
2010-04-26,11987163000
2010-04-27,12716700000
2010-04-28,12462366000
2010-04-29,12502524000
2010-04-30,12214725000
2010-05-03,12194646000
2010-05-04,11900154000
2010-05-05,11766293999
2010-05-06,11525346000
2010-05-07,11076915000
2010-05-10,11538731999
2010-05-11,11237547000
2010-05-12,11418258000
2010-05-13,11384793000
2010-05-14,11137152000
2010-05-17,11123766000
2010-05-18,10835967000
2010-05-19,10742265000
2010-05-20,10354071000
2010-05-21,10641870000
2010-05-24,10427694000
2010-05-25,10501317000
2010-05-26,10481238000
2010-05-27,10882818000
2010-05-28,10682028000
2010-06-01,10501317000
2010-06-02,10548168000
2010-06-03,10809195000
2010-06-04,10461159000
2010-06-07,10246983000
2010-06-08,10333992000
2010-06-09,10380843000
2010-06-10,10755651000
2010-06-11,10769037000
2010-06-14,10661949000
2010-06-15,10963134000
2010-06-16,10862739000
2010-06-17,10889511000
2010-06-18,10842660000
2010-06-21,10708800000
2010-06-22,10561554000
2010-06-23,10574940000
2010-06-24,10394229000
2010-06-25,10708800000
2010-06-28,10534782000
2010-06-29,9999342000
2010-06-30,9827181000
2010-07-01,9906273000
2010-07-02,9820590000
2010-07-06,9926046000
2010-07-07,10407189000
2010-07-08,10301733000
2010-07-09,10459917000
2010-07-12,10479690000
2010-07-13,10545600000
2010-07-14,10519236000
2010-07-15,10532418000
2010-07-16,10110594000
2010-07-19,10130367000
2010-07-20,10341279000
2010-07-21,10176504000
2010-07-22,10571964000
2010-07-23,10749921000
2010-07-26,10993788000
2010-07-27,11000379000
2010-07-28,10855377000
2010-07-29,10815831000
2010-07-30,10697193000
2010-08-02,10730148000
2010-08-03,10565373000
2010-08-04,10631283000
2010-08-05,10690602000
2010-08-06,10736739000
2010-08-09,10901514000
2010-08-10,10875150000
2010-08-11,10578555000
2010-08-12,10585146000
2010-08-13,10532418000
2010-08-16,10611510000
2010-08-17,10664238000
2010-08-18,10716966000
2010-08-19,10585146000
2010-08-20,10506054000
2010-08-23,10440144000
2010-08-24,10262187000
2010-08-25,10446735000
2010-08-26,10394007000
2010-08-27,10565373000
2010-08-30,10525827000
2010-08-31,10334688000
2010-09-01,10703783999
2010-09-02,10848786000
2010-09-03,10861968000
2010-09-07,10664238000
2010-09-08,10697193000
2010-09-09,10749921000
2010-09-10,10782876000
2010-09-13,11039925000
2010-09-14,11257427999
2010-09-15,11290383000
2010-09-16,11303565000
2010-09-17,11191518000
2010-09-20,11521068000
2010-09-21,11409021000
2010-09-22,11290383000
2010-09-23,11171745000
2010-09-24,11567205000
2010-09-27,11633115000
2010-09-28,11441976000
2010-09-29,11468340000
2010-09-30,11430723000
2010-10-01,11437192000
2010-10-04,11262529000
2010-10-05,11624793000
2010-10-06,11430723000
2010-10-07,11372501999
2010-10-08,11476005999
2010-10-11,11553634000
2010-10-12,11476005999
2010-10-13,11417785000
2010-10-14,11488944000
2010-10-15,11573041000
2010-10-18,11657138000
2010-10-19,11437192000
2010-10-20,11618324000
2010-10-21,11618324000
2010-10-22,11579510000
2010-10-25,11715359000
2010-10-26,11585979000
2010-10-27,11818863000
2010-10-28,11812394000
2010-10-29,11378971000
2010-11-01,11391909000
2010-11-02,11288405000
2010-11-03,11281936000
2010-11-04,11760642000
2010-11-05,11799455999
2010-11-08,11773580000
2010-11-09,11967650000
2010-11-10,12142313000
2010-11-11,12045278000
2010-11-12,11715359000
2010-11-15,11702421000
2010-11-16,11398378000
2010-11-17,11327219000
2010-11-18,11534226999
2010-11-19,11702421000
2010-11-22,11786518000
2010-11-23,11611855000
2010-11-24,11818863000
2010-11-26,11741235000
2010-11-29,11553634000
2010-11-30,11411316000
2010-12-01,11663607000
2010-12-02,11792987000
2010-12-03,11805925000
2010-12-06,11877084000
2010-12-07,11864146000
2010-12-08,12064685000
2010-12-09,12032340000
2010-12-10,12103499000
2010-12-13,12135844000
2010-12-14,12168189000
2010-12-15,11999995000
2010-12-16,11831801000
2010-12-17,11825332000
2010-12-20,11870615000
2010-12-21,11896491000
2010-12-22,11948243000
2010-12-23,11812394000
2010-12-27,11954712000
2010-12-28,11825332000
2010-12-29,11902960000
2010-12-30,11999995000
2010-12-31,12012933000
2011-01-03,12122905999
2011-01-04,12038809000
2011-01-05,12252286000
2011-01-06,12530453000
2011-01-07,12414011000
2011-01-10,12304038000
2011-01-11,12446355999
2011-01-12,12388135000
2011-01-13,12362259000
2011-01-14,12459294000
2011-01-18,12478701000
2011-01-19,12349321000
2011-01-20,12407542000
2011-01-21,12491639000
2011-01-24,12743930000
2011-01-25,12743930000
2011-01-26,13028566000
2011-01-27,13157946000
2011-01-28,12776275000
2011-01-31,13119132000
2011-02-01,13125601000
2011-02-02,13436113000
2011-02-03,13377892000
2011-02-04,13559024000
2011-02-07,13694873000
2011-02-08,13830722000
2011-02-09,13591369000
2011-02-10,13740155999
2011-02-11,13843660000
2011-02-14,13888943000
2011-02-15,13785439000
2011-02-16,13895412000
2011-02-17,13908350000
2011-02-18,14011854000
2011-02-22,13656059000
2011-02-23,13552555000
2011-02-24,13584900000
2011-02-25,14050668000
2011-02-28,14225330999
2011-03-01,13908350000
2011-03-02,13998916000
2011-03-03,14160641000
2011-03-04,14050668000
2011-03-07,13979509000
2011-03-08,14044199000
2011-03-09,13973040000
2011-03-10,13681935000
2011-03-11,13688404000
2011-03-14,13552555000
2011-03-15,13449051000
2011-03-16,13209698000
2011-03-17,13319671000
2011-03-18,13643121000
2011-03-21,13798376999
2011-03-22,13843660000
2011-03-23,13901880999
2011-03-24,14050668000
2011-03-25,14076544000
2011-03-28,14128296000
2011-03-29,13707811000
2011-03-30,13662528000
2011-03-31,13107947000
2011-04-01,13107947000
2011-04-04,13133191000
2011-04-05,13051148000
2011-04-06,13246788999
2011-04-07,13234167000
2011-04-08,13101636000
2011-04-11,13145812999
2011-04-12,13051148000
2011-04-13,13189990000
2011-04-14,13221545000
2011-04-15,13284655000
2011-04-18,13259411000
2011-04-19,13360387000
2011-04-20,13442430000
2011-04-21,13480296000
2011-04-25,13461362999
2011-04-26,13587583000
2011-04-27,13442430000
2011-04-28,13537095000
2011-04-29,13410875000
2011-05-02,13404563999
2011-05-03,13221545000
2011-05-04,13089013999
2011-05-05,13025904000
2011-05-06,13076392000
