,JNJ
2000-05-04,123883990000
2000-05-05,125286000000
2000-05-08,130894040000
2000-05-09,129760500000
2000-05-10,127612740000
2000-05-11,128358490000
2000-05-12,127523250000
2000-05-15,128656790000
2000-05-16,130237779999
2000-05-17,129849990000
2000-05-18,131997750000
2000-05-19,132385540000
2000-05-22,129581520000
2000-05-23,129760500000
2000-05-24,134145510000
2000-05-25,133220779999
2000-05-26,131430980000
2000-05-30,132654010000
2000-05-31,133489250000
2000-06-01,130774720000
2000-06-02,126682400000
2000-06-05,125932800000
2000-06-06,126112704000
2000-06-07,125453056000
2000-06-08,127252096000
2000-06-09,129111104000
2000-06-12,127162143999
2000-06-13,132199456000
2000-06-14,134748096000
2000-06-15,135857504000
2000-06-16,134268352000
2000-06-19,135197856000
2000-06-20,132769152000
2000-06-21,134748096000
2000-06-22,132769152000
2000-06-23,134568192000
2000-06-26,143173600000
2000-06-27,146831648000
2000-06-28,146921600000
2000-06-29,147761152000
2000-06-30,152738496000
2000-07-03,151509152000
2000-07-05,151149344000
2000-07-06,149440256000
2000-07-07,150009952000
2000-07-10,150189856000
2000-07-11,150189856000
2000-07-12,147011552000
2000-07-13,142693856000
2000-07-14,137656544000
2000-07-17,141494496000
2000-07-18,142244096000
2000-07-19,139695456000
2000-07-20,137746496000
2000-07-21,138316192000
2000-07-24,141584448000
2000-07-25,140175200000
2000-07-26,135317792000
2000-07-27,137746496000
2000-07-28,140445056000
2000-07-31,139515552000
2000-08-01,142244096000
2000-08-02,144672800000
2000-08-03,145812192000
2000-08-04,144762752000
2000-08-07,145242496000
2000-08-08,144942656000
2000-08-09,142154144000
2000-08-10,146082048000
2000-08-11,146741696000
2000-08-14,145812192000
2000-08-15,144103104000
2000-08-16,146741696000
2000-08-17,145422400000
2000-08-18,144582848000
2000-08-21,145422400000
2000-08-22,146561792000
2000-08-23,145332448000
2000-08-24,144312992000
2000-08-25,143083648000
2000-08-28,142064192000
2000-08-29,139425600000
2000-08-30,138676000000
2000-08-31,137836448000
2000-09-01,138855904000
2000-09-05,139815392000
2000-09-06,139815392000
2000-09-07,140085248000
2000-09-08,141584448000
2000-09-11,142424000000
2000-09-12,144852704000
2000-09-13,146351904000
2000-09-14,143833248000
2000-09-15,142513952000
2000-09-18,138106304000
2000-09-19,137656544000
2000-09-20,136517152000
2000-09-21,141194656000
2000-09-22,143923200000
2000-09-25,143743296000
2000-09-26,141584448000
2000-09-27,142603904000
2000-09-28,139815392000
2000-09-29,140834848000
2000-10-02,129864966000
2000-10-03,128917250000
2000-10-04,125878983999
2000-10-05,129697722000
2000-10-06,128666383999
2000-10-09,127272683999
2000-10-10,131871894000
2000-10-11,133795200000
2000-10-12,135188900000
2000-10-13,133544333999
2000-10-16,135105278000
2000-10-17,135272522000
2000-10-18,131370162000
2000-10-19,127885912000
2000-10-20,128053156000
2000-10-23,127607172000
2000-10-24,127774416000
2000-10-25,130924178000
2000-10-26,129781344000
2000-10-27,129279612000
2000-10-30,131537406000
2000-10-31,128387644000
2000-11-01,126826700000
2000-11-02,125265756000
2000-11-03,127774416000
2000-11-06,128304022000
2000-11-07,128387644000
2000-11-08,130227328000
2000-11-09,130394572000
2000-11-10,131621028000
2000-11-13,129697722000
2000-11-14,131871894000
2000-11-15,132401500000
2000-11-16,131258666000
2000-11-17,132568744000
2000-11-20,134046066000
2000-11-21,136248112000
2000-11-22,134492050000
2000-11-24,132485122000
2000-11-27,135718506000
2000-11-28,139537244000
2000-11-29,139732362000
2000-11-30,139370000000
2000-12-01,136248112000
2000-12-04,138756772000
2000-12-05,138673150000
2000-12-06,133962444000
2000-12-07,135272522000
2000-12-08,134324806000
2000-12-11,133265594000
2000-12-12,135188900000
2000-12-13,137530316000
2000-12-14,138338662000
2000-12-15,137363072000
2000-12-18,137363072000
2000-12-19,138227166000
2000-12-20,140234094000
2000-12-21,140763700000
2000-12-22,141460550000
2000-12-26,142687006000
2000-12-27,143551100000
2000-12-28,146004012000
2000-12-29,146422122000
2001-01-02,154040400000
2001-01-03,149147352000
2001-01-04,145915524000
2001-01-05,147818376000
2001-01-08,147637152000
2001-01-09,148664088000
2001-01-10,144797976000
2001-01-11,139602888000
2001-01-12,142804512000
2001-01-16,142230636000
2001-01-17,138455136000
2001-01-18,141958800000
2001-01-19,142140024000
2001-01-22,142442064000
2001-01-23,139965336000
2001-01-24,136763712000
2001-01-25,138575952000
2001-01-26,138847788000
2001-01-29,138334320000
2001-01-30,138334320000
2001-01-31,140660028000
2001-02-01,141777576000
2001-02-02,143620020000
2001-02-05,141837984000
2001-02-06,141082884000
2001-02-07,143317980000
2001-02-08,142925328000
2001-02-09,143438796000
2001-02-12,148150620000
2001-02-13,146338380000
2001-02-14,144435528000
2001-02-15,142260840000
2001-02-16,142774308000
2001-02-20,145039608000
2001-02-21,146368584000
2001-02-22,145764504000
2001-02-23,144224100000
2001-02-26,144616752000
2001-02-27,144918792000
2001-02-28,147002868000
2001-03-01,149630616000
2001-03-02,149721228000
2001-03-05,148724496000
2001-03-06,146187360000
2001-03-07,143166960000
2001-03-08,147818376000
2001-03-09,146036340000
2001-03-12,143408592000
2001-03-13,142170228000
2001-03-14,140841252000
2001-03-15,140992272000
2001-03-16,138938400000
2001-03-19,138877992000
2001-03-20,137126160000
2001-03-21,131749847999
2001-03-22,132595560000
2001-03-23,133229844000
2001-03-26,128940876000
2001-03-27,125739252000
2001-03-28,130300056000
2001-03-29,133471476000
2001-03-30,132112296000
2001-04-02,132259237999
2001-04-03,130441658000
2001-04-04,131653378000
2001-04-05,134622092000
2001-04-06,136924360000
2001-04-09,138196666000
2001-04-10,139408386000
2001-04-11,137590806000
2001-04-12,137772564000
2001-04-16,140256590000
2001-04-17,143073839000
2001-04-18,142316514000
2001-04-19,140650399000
2001-04-20,139529558000
2001-04-23,139196335000
2001-04-24,140105125000
2001-04-25,142377100000
2001-04-26,144739954000
2001-04-27,144467317000
2001-04-30,146133432000
2001-05-01,146618120000
2001-05-02,147678375000
2001-05-03,146557534000
2001-05-04,148072184000
2001-05-07,148587165000
2001-05-08,148375114000
2001-05-09,148829509000
2001-05-10,147284566000
2001-05-11,147314859000
2001-05-14,148102477000
2001-05-15,147042222000
2001-05-16,151131777000
2001-05-17,152494962000
2001-05-18,152979650000
2001-05-21,152434376000
2001-05-22,149950350000
2001-05-23,148041891000
2001-05-24,147617789000
2001-05-25,147314859000
2001-05-29,147587496000
2001-05-30,147072515000
2001-05-31,146860464000
2001-06-01,148435700000
2001-06-04,151677051000
2001-06-05,154797230000
2001-06-06,156160415000
2001-06-07,156099829000
2001-06-08,154494300000
2001-06-11,153555217000
2001-06-12,154191370000
2001-06-13,153615803000
2001-06-14,154221663000
2001-06-15,157644772000
2001-06-18,157614479000
2001-06-19,161401104000
2001-06-20,162400773000
2001-06-21,160613486000
2001-06-22,158705027000
2001-06-25,156311880000
2001-06-26,154827523000
2001-06-27,153585510000
2001-06-28,158129460000
2001-06-29,151465000000
2001-07-02,155576648000
2001-07-03,155120768000
2001-07-05,154725672000
2001-07-06,153206072000
2001-07-09,158403104000
2001-07-10,159558000000
2001-07-11,162566808000
2001-07-12,160591328000
2001-07-13,161229560000
2001-07-16,163296216000
2001-07-17,166882472000
2001-07-18,165332480000
2001-07-19,164724640000
2001-07-20,165606008000
2001-07-23,162901120000
2001-07-24,160196232000
2001-07-25,160165840000
2001-07-26,161655048000
2001-07-27,161107992000
2001-07-30,160834464000
2001-07-31,164420720000
2001-08-01,163508960000
2001-08-02,161655048000
2001-08-03,162840336000
2001-08-06,162171712000
2001-08-07,164056016000
2001-08-08,163235432000
2001-08-09,163691312000
2001-08-10,167216784000
2001-08-13,169283440000
2001-08-14,173204008000
2001-08-15,173234400000
2001-08-16,166821688000
2001-08-17,163357000000
2001-08-20,166700120000
2001-08-21,165028560000
2001-08-22,166487376000
2001-08-23,166061888000
2001-08-24,165940320000
2001-08-27,165180520000
2001-08-28,163721704000
2001-08-29,161928576000
2001-08-30,161351128000
2001-08-31,160196232000
2001-09-04,170651080000
2001-09-05,170924608000
2001-09-06,173052048000
2001-09-07,169374616000
2001-09-10,169040304000
2001-09-17,169648144000
2001-09-18,165636400000
2001-09-19,162718768000
2001-09-20,159102120000
2001-09-21,158767808000
2001-09-24,159284472000
2001-09-25,160895248000
2001-09-26,164511896000
2001-09-27,165575616000
2001-09-28,168371680000
2001-10-01,168587640000
2001-10-02,167279580000
2001-10-03,165089340000
2001-10-04,165636900000
2001-10-05,168800580000
2001-10-08,169652340000
2001-10-09,168648480000
2001-10-10,170473680000
2001-10-11,167127480000
2001-10-12,168374700000
2001-10-15,169500240000
2001-10-16,172694340000
2001-10-17,175736340000
2001-10-18,176679360000
2001-10-19,177713640000
2001-10-22,179386740000
2001-10-23,179021700000
2001-10-24,180268920000
2001-10-25,179386740000
2001-10-26,178474140000
2001-10-29,178139520000
2001-10-30,175979700000
2001-10-31,176162220000
2001-11-01,179082540000
2001-11-02,179417160000
2001-11-05,177896160000
2001-11-06,179478000000
2001-11-07,178717500000
2001-11-08,179478000000
2001-11-09,181181520000
2001-11-12,179538840000
2001-11-13,181455300000
2001-11-14,182732940000
2001-11-15,182520000000
2001-11-16,182276640000
2001-11-19,182215800000
2001-11-20,184892760000
2001-11-21,185105700000
2001-11-23,185470740000
2001-11-26,184041000000
2001-11-27,182550420000
2001-11-28,182489580000
2001-11-29,177896160000
2001-11-30,177196500000
2001-12-03,177379020000
2001-12-04,174093660000
2001-12-05,172177200000
2001-12-06,169348140000
2001-12-07,172329300000
2001-12-10,168891840000
2001-12-11,170777880000
2001-12-12,170504100000
2001-12-13,171051660000
2001-12-14,171264600000
2001-12-17,171720900000
2001-12-18,172755180000
2001-12-19,175523400000
2001-12-20,177379020000
2001-12-21,181637820000
2001-12-24,180877320000
2001-12-26,181516140000
2001-12-27,182580840000
2001-12-28,182094120000
2001-12-31,179782200000
2002-01-02,178565400000
2002-01-03,178504560000
2002-01-04,176861880000
2002-01-07,176040540000
2002-01-08,174884580000
2002-01-09,173120220000
2002-01-10,177287760000
2002-01-11,177135660000
2002-01-14,179234640000
2002-01-15,179995140000
2002-01-16,181242360000
2002-01-17,182002860000
2002-01-18,181607400000
2002-01-22,179843040000
2002-01-23,178808760000
2002-01-24,176557680000
2002-01-25,175371300000
2002-01-28,175858020000
2002-01-29,173941560000
2002-01-30,174002400000
2002-01-31,174945420000
2002-02-01,175219200000
2002-02-04,171295020000
2002-02-05,168831000000
2002-02-06,169986960000
2002-02-07,171842580000
2002-02-08,173028960000
2002-02-11,173546100000
2002-02-12,174306600000
2002-02-13,176709780000
2002-02-14,174306600000
2002-02-15,174124080000
2002-02-19,173150640000
2002-02-20,176801040000
2002-02-21,176436000000
2002-02-22,180694800000
2002-02-25,181607400000
2002-02-26,182550420000
2002-02-27,183219660000
2002-02-28,185257800000
2002-03-01,188908200000
2002-03-04,188360640000
2002-03-05,186505020000
2002-03-06,190185840000
2002-03-07,193532040000
2002-03-08,193653720000
2002-03-11,194110020000
2002-03-12,193623300000
2002-03-13,194383800000
2002-03-14,195843960000
2002-03-15,196513199999
2002-03-18,196695720000
2002-03-19,199220579999
2002-03-20,196178579999
2002-03-21,197121600000
2002-03-22,197273699999
2002-03-25,195752699999
2002-03-26,196847819999
2002-03-27,198155880000
2002-03-28,197577900000
2002-04-01,194049674000
2002-04-02,193569130000
2002-04-03,192277668000
2002-04-04,190655832000
2002-04-05,189364370000
2002-04-08,190355492000
2002-04-09,189214200000
2002-04-10,190535696000
2002-04-11,188313180000
2002-04-12,188223078000
2002-04-15,186691344000
2002-04-16,189995084000
2002-04-17,187772568000
2002-04-18,193088586000
2002-04-19,193689265999
2002-04-22,190235356000
2002-04-23,188613520000
2002-04-24,191046274000
2002-04-25,190415560000
2002-04-26,191046274000
2002-04-29,188943894000
2002-04-30,191797124000
2002-05-01,192067430000
2002-05-02,192818280000
2002-05-03,190505662000
2002-05-06,186511140000
2002-05-07,181465428000
2002-05-08,182907060000
2002-05-09,184318658000
2002-05-10,185760290000
2002-05-13,185730256000
2002-05-14,183327536000
2002-05-15,180924816000
2002-05-16,181855870000
2002-05-17,184618998000
2002-05-20,181555530000
2002-05-21,182126176000
2002-05-22,186210800000
2002-05-23,185459950000
2002-05-24,184408760000
2002-05-28,183838114000
2002-05-29,184288624000
2002-05-30,184318658000
2002-05-31,184258590000
2002-06-03,180354170000
2002-06-04,178401960000
2002-06-05,179032674000
2002-06-06,176449750000
2002-06-07,175128254000
2002-06-10,177200600000
2002-06-11,172665466000
2002-06-12,171914616000
2002-06-13,172425194000
2002-06-14,170653188000
2002-06-17,172545330000
2002-06-18,169571964000
2002-06-19,169301658000
2002-06-20,165307136000
2002-06-21,159180200000
2002-06-24,162574042000
2002-06-25,160201356000
2002-06-26,162604076000
2002-06-27,163414994000
2002-06-28,156957684000
2002-07-01,151671700000
2002-07-02,155005474000
2002-07-03,159030030000
2002-07-05,163955606000
2002-07-08,160922172000
2002-07-09,158038908000
2002-07-10,151071020000
2002-07-11,153113332000
2002-07-12,151671700000
2002-07-15,147166600000
2002-07-16,150470340000
2002-07-17,153894216000
2002-07-18,149359082000
2002-07-19,125692290000
2002-07-22,127734602000
2002-07-23,132389872000
2002-07-24,143262180000
2002-07-25,146265580000
2002-07-26,148998674000
2002-07-29,153954284000
2002-07-30,151515936000
2002-07-31,157643200000
2002-08-01,152943648000
2002-08-02,155412400000
2002-08-05,149017440000
2002-08-06,151932352000
2002-08-07,156185744000
2002-08-08,162313008000
2002-08-09,162134544000
2002-08-12,162342752000
2002-08-13,158743728000
2002-08-14,165079200000
2002-08-15,166477168000
2002-08-16,164543808000
2002-08-19,166268960000
2002-08-20,163294560000
2002-08-21,163264816000
2002-08-22,167161280000
2002-08-23,163056608000
2002-08-26,165703824000
2002-08-27,162848400000
2002-08-28,161688384000
2002-08-29,161093504000
2002-08-30,161539664000
2002-09-03,156691392000
2002-09-04,161628896000
2002-09-05,161866848000
2002-09-06,163354048000
2002-09-09,164186880000
2002-09-10,164752016000
2002-09-11,165019712000
2002-09-12,160528368000
2002-09-13,161034016000
2002-09-16,163294560000
2002-09-17,159398096000
2002-09-18,160171440000
2002-09-19,154549824000
2002-09-20,155561120000
2002-09-23,157197040000
2002-09-24,159457584000
2002-09-25,159576560000
2002-09-26,165198176000
2002-09-27,163889440000
2002-09-30,160825562206
2002-10-01,167427499116
2002-10-02,173375190026
2002-10-03,172423559480
2002-10-04,169360498662
2002-10-07,168617037298
2002-10-08,173940220662
2002-10-09,167130114571
2002-10-10,168914421844
2002-10-11,168617037298
2002-10-14,171977482662
2002-10-15,177122235299
2002-10-16,175159497299
2002-10-17,179025496391
2002-10-18,176497727754
2002-10-21,181731695755
2002-10-22,177895435118
2002-10-23,172334344117
2002-10-24,171620621208
2002-10-25,171769313480
2002-10-28,170312129207
2002-10-29,167278806843
2002-10-30,170401344571
2002-10-31,174713420481
2002-11-01,174237605208
2002-11-04,174594466663
2002-11-05,178103604299
2002-11-06,179233665572
2002-11-07,178103604299
2002-11-08,179233665572
2002-11-11,178430727300
2002-11-12,178490204209
2002-11-13,178222558118
2002-11-14,179798696209
2002-11-15,178876804118
2002-11-18,175694789481
2002-11-19,174862112754
2002-11-20,178430727300
2002-11-21,176884327663
2002-11-22,174118651390
2002-11-25,174386297481
2002-11-26,167754622116
2002-11-27,171709836571
2002-11-29,169568667844
2002-12-02,165643191843
2002-12-03,166029791752
2002-12-04,168706252662
2002-12-05,166148745570
2002-12-06,164364438297
2002-12-09,165226853479
2002-12-10,166119007116
2002-12-11,167040899207
2002-12-12,163710192297
2002-12-13,163293853934
2002-12-16,165286330388
2002-12-17,162580131024
2002-12-18,159695500933
2002-12-19,158833085751
2002-12-20,162134054206
2002-12-23,162074577297
2002-12-24,163264115479
2002-12-26,160171316206
2002-12-27,157940932115
2002-12-30,159640552000
2002-12-31,159432764000
2003-01-02,164241572000
2003-01-03,168634804000
2003-01-06,170237740000
2003-01-07,166408504000
2003-01-08,165428932000
2003-01-09,168753540000
2003-01-10,169792480000
2003-01-13,166349136000
2003-01-14,167299024000
2003-01-15,163262000000
2003-01-16,162312112000
2003-01-17,162638636000
2003-01-21,160263916000
2003-01-22,160293600000
2003-01-23,162668320000
2003-01-24,159135924000
2003-01-27,154891112000
2003-01-28,157443936000
2003-01-29,155544160000
2003-01-30,152991336000
2003-01-31,159135924000
2003-02-03,158334456000
2003-02-04,156612784000
2003-02-05,154653640000
2003-02-06,154713008000
2003-02-07,153881856000
2003-02-10,154475536000
2003-02-11,154356800000
2003-02-12,148420000000
2003-02-13,152308604000
2003-02-14,153614700000
2003-02-18,157503304000
2003-02-19,156048788000
2003-02-20,154119328000
2003-02-21,158750032000
2003-02-24,155633212000
2003-02-25,156612784000
2003-02-26,153822488000
2003-02-27,156672152000
2003-02-28,155692580000
2003-03-03,155633212000
2003-03-04,153436596000
2003-03-05,156761204000
2003-03-06,158215720000
2003-03-07,164152520000
2003-03-10,160679492000
2003-03-11,161718432000
2003-03-12,162312112000
2003-03-13,164686832000
2003-03-14,163825996000
2003-03-17,167388076000
2003-03-18,168545752000
2003-03-19,170119004000
2003-03-20,170356476000
2003-03-21,174156028000
2003-03-24,168456700000
2003-03-25,169436272000
2003-03-26,168189544000
2003-03-27,169080064000
2003-03-28,170326792000
2003-03-31,171740799000
2003-04-01,173373034000
2003-04-02,173343357000
2003-04-03,170524042000
2003-04-04,171651768000
2003-04-07,170138241000
2003-04-08,170642750000
2003-04-09,169930502000
2003-04-10,169782117000
2003-04-11,170286626000
2003-04-14,171473706000
2003-04-15,166131846000
2003-04-16,161413203000
2003-04-17,163253177000
2003-04-21,164291872000
2003-04-22,166458293000
2003-04-23,168565360000
2003-04-24,170642750000
2003-04-25,166814417000
2003-04-28,169188577000
2003-04-29,168832453000
2003-04-30,167259572000
2003-05-01,167140864000
2003-05-02,168090528000
2003-05-05,167556342000
2003-05-06,167734404000
2003-05-07,169188577000
2003-05-08,167496988000
2003-05-09,167200218000
2003-05-12,166666032000
2003-05-13,164707350000
2003-05-14,164262195000
2003-05-15,164529288000
2003-05-16,166309908000
2003-05-19,162125451000
2003-05-20,160226123000
2003-05-21,158623565000
2003-05-22,158415826000
2003-05-23,157555193000
2003-05-27,158534534000
2003-05-28,159246782000
2003-05-29,158445503000
2003-05-30,161294495000
2003-06-02,157940994000
2003-06-03,159810645000
2003-06-04,160433862000
2003-06-05,154379754000
2003-06-06,156546175000
2003-06-09,156457144000
2003-06-10,156219728000
2003-06-11,157288100000
2003-06-12,158089379000
2003-06-13,155982312000
2003-06-16,159365490000
2003-06-17,162511252000
2003-06-18,163075115000
2003-06-19,161472557000
2003-06-20,161591265000
2003-06-23,158326795000
2003-06-24,156101020000
2003-06-25,155715219000
2003-06-26,155210710000
2003-06-27,152955258000
2003-06-30,153445600000
2003-07-01,155582560000
2003-07-02,157007200000
2003-07-03,157274320000
2003-07-07,157244640000
2003-07-08,155760640000
2003-07-09,154098560000
2003-07-10,152110000000
2003-07-11,153979840000
2003-07-14,159084800000
2003-07-15,155968400000
2003-07-16,156116800000
2003-07-17,155137360000
2003-07-18,156532320000
2003-07-21,152495840000
2003-07-22,153623680000
2003-07-23,155107680000
2003-07-24,153445600000
2003-07-25,155018640000
2003-07-28,152733280000
2003-07-29,150269840000
2003-07-30,151575760000
2003-07-31,153712720000
2003-08-01,149676240000
2003-08-04,150180800000
2003-08-05,147747040000
2003-08-06,149023280000
2003-08-07,153742400000
2003-08-08,153594000000
2003-08-11,153386240000
2003-08-12,152139680000
2003-08-13,151338320000
2003-08-14,151368000000
2003-08-15,151516400000
2003-08-18,149646560000
2003-08-19,148578080000
2003-08-20,148489040000
2003-08-21,146619200000
2003-08-22,147034720000
2003-08-25,147123760000
2003-08-26,147420560000
2003-08-27,146203680000
2003-08-28,145847520000
2003-08-29,147153440000
2003-09-02,148400000000
2003-09-03,149112320000
2003-09-04,151724160000
2003-09-05,149884000000
2003-09-08,152258400000
2003-09-09,152110000000
2003-09-10,154454720000
2003-09-11,155078000000
2003-09-12,153237840000
2003-09-15,150893120000
2003-09-16,150922800000
2003-09-17,149052960000
2003-09-18,150596320000
2003-09-19,149320080000
2003-09-22,148934240000
2003-09-23,148459360000
2003-09-24,146767600000
2003-09-25,147005040000
2003-09-26,145966240000
2003-09-29,147984480000
2003-09-30,146975360000
2003-10-01,149201360000
2003-10-02,149290400000
2003-10-03,148726480000
2003-10-06,148874880000
2003-10-07,148696800000
2003-10-08,147747040000
2003-10-09,146589520000
2003-10-10,146144320000
2003-10-13,147776720000
2003-10-14,151160240000
2003-10-15,149884000000
2003-10-16,150447920000
2003-10-17,149616880000
2003-10-20,150269840000
2003-10-21,150922800000
2003-10-22,148132880000
2003-10-23,149290400000
2003-10-24,149438800000
2003-10-27,148162560000
2003-10-28,150002720000
2003-10-29,146856640000
2003-10-30,146856640000
2003-10-31,149379440000
2003-11-03,147747040000
2003-11-04,145877200000
2003-11-05,145877200000
2003-11-06,145936560000
2003-11-07,144868080000
2003-11-10,144630640000
2003-11-11,145669440000
2003-11-12,146916000000
2003-11-13,149409120000
2003-11-14,154692160000
2003-11-17,153356560000
2003-11-18,154157920000
2003-11-19,155107680000
2003-11-20,152822320000
2003-11-21,151011840000
2003-11-24,152792640000
2003-11-25,150447920000
2003-11-26,147509600000
2003-11-28,146322400000
2003-12-01,146916000000
2003-12-02,145283600000
2003-12-03,145906880000
2003-12-04,146411440000
2003-12-05,145906880000
2003-12-08,147954800000
2003-12-09,148429680000
2003-12-10,149142000000
2003-12-11,148400000000
2003-12-12,146589520000
2003-12-15,146797280000
2003-12-16,146678560000
2003-12-17,146470800000
2003-12-18,148310960000
2003-12-19,148696800000
2003-12-22,149824640000
2003-12-23,150032400000
2003-12-24,150566640000
2003-12-26,150240160000
2003-12-29,152099750000
2003-12-30,152455886000
2003-12-31,153316548000
2004-01-02,153316548000
2004-01-05,154206888000
2004-01-06,153524294000
2004-01-07,153583650000
2004-01-08,154295922000
2004-01-09,152544920000
2004-01-12,155483042000
2004-01-13,155067550000
2004-01-14,154325600000
2004-01-15,153850752000
2004-01-16,149725510000
2004-01-20,152841700000
2004-01-21,155987568000
2004-01-22,157441790000
2004-01-23,157293400000
2004-01-26,158777300000
2004-01-27,158124384000
2004-01-28,157768248000
2004-01-29,159934742000
2004-01-30,158539876000
2004-02-02,158866334000
2004-02-03,159786352000
2004-02-04,161685744000
2004-02-05,161745100000
2004-02-06,160706370000
2004-02-09,160587658000
2004-02-10,161537354000
2004-02-11,162190270000
2004-02-12,162041880000
2004-02-13,160943794000
2004-02-17,161477998000
2004-02-18,159934742000
2004-02-19,158985046000
2004-02-20,158183740000
2004-02-23,157441790000
2004-02-24,160795404000
2004-02-25,160439268000
2004-02-26,160172166000
2004-02-27,159994098000
2004-03-01,159548928000
2004-03-02,156907586000
2004-03-03,157946316000
2004-03-04,157382434000
2004-03-05,157679214000
2004-03-08,157590180000
2004-03-09,156314026000
2004-03-10,153643006000
2004-03-11,151684258000
2004-03-12,150497138000
2004-03-15,150081646000
2004-03-16,151595224000
2004-03-17,151001664000
2004-03-18,151298444000
2004-03-19,148538390000
2004-03-22,146906100000
2004-03-23,147351270000
2004-03-24,147351270000
2004-03-25,148983560000
2004-03-26,148775814000
2004-03-29,150101874000
2004-03-30,149656644000
2004-03-31,150547104000
2004-04-01,149953464000
2004-04-02,151912476000
2004-04-05,152921664000
2004-04-06,152802936000
2004-04-07,152506116000
2004-04-08,150992334000
2004-04-12,151971840000
2004-04-13,152535798000
2004-04-14,156127320000
2004-04-15,161826264000
2004-04-16,160668666000
2004-04-19,160045344000
2004-04-20,157700466000
2004-04-21,159332976000
2004-04-22,159214248000
2004-04-23,159332976000
2004-04-26,159985980000
2004-04-27,161351352000
2004-04-28,160846758000
2004-04-29,160579620000
2004-04-30,160371846000
2004-05-03,163043226000
2004-05-04,162657360000
2004-05-05,160520256000
2004-05-06,162776088000
2004-05-07,164141460000
2004-05-10,164586690000
2004-05-11,163666548000
2004-05-12,163963368000
2004-05-13,163043226000
2004-05-14,161826264000
2004-05-17,162360540000
2004-05-18,162152766000
2004-05-19,161113896000
2004-05-20,162004356000
2004-05-21,163072908000
2004-05-24,161202942000
2004-05-25,164319552000
2004-05-26,164675736000
2004-05-27,165595878000
2004-05-28,165358422000
2004-06-01,165536514000
2004-06-02,166812840000
2004-06-03,167970438000
2004-06-04,167347116000
2004-06-07,168356304000
2004-06-08,169098354000
2004-06-09,168475032000
2004-06-10,169395174000
2004-06-14,169217082000
2004-06-15,166842522000
2004-06-16,165863016000
2004-06-17,164883510000
2004-06-18,163993050000
2004-06-21,164082096000
2004-06-22,164349234000
2004-06-23,165150648000
2004-06-24,165299058000
2004-06-25,161766900000
2004-06-28,163156457000
2004-06-29,165441894000
2004-06-30,165323170000
2004-07-01,164640507000
2004-07-02,164284335000
2004-07-06,163097095000
2004-07-07,161850493000
2004-07-08,162533156000
2004-07-09,163215819000
2004-07-12,162919009000
2004-07-13,164373378000
2004-07-14,165976152000
2004-07-15,164284335000
2004-07-16,168588080000
2004-07-19,167400840000
2004-07-20,167133711000
2004-07-21,165471575000
2004-07-22,166925944000
2004-07-23,165441894000
2004-07-26,164521783000
2004-07-27,165174765000
2004-07-28,165263808000
2004-07-29,164640507000
2004-07-30,164046887000
2004-08-02,164788912000
2004-08-03,164521783000
2004-08-04,164966998000
2004-08-05,163898482000
2004-08-06,162058260000
2004-08-09,161731769000
2004-08-10,163215819000
2004-08-11,166213600000
2004-08-12,167104030000
2004-08-13,164848274000
2004-08-16,166480729000
2004-08-17,167816374000
2004-08-18,169270743000
2004-08-19,168528718000
2004-08-20,169300424000
2004-08-23,169330105000
