,CL
2000-08-04,31607446805
2000-08-07,30779906379
2000-08-08,30389123400
2000-08-09,30423604251
2000-08-10,30814387230
2000-08-11,30779906379
2000-08-14,30998285102
2000-08-15,31032765954
2000-08-16,30963804251
2000-08-17,30320161698
2000-08-18,30101782975
2000-08-21,30274187230
2000-08-22,29274242549
2000-08-23,30492565954
2000-08-24,30354642549
2000-08-25,30458085103
2000-08-28,30239706379
2000-08-29,29779961698
2000-08-30,29527102124
2000-08-31,29274242549
2000-09-01,29779961698
2000-09-05,29952365954
2000-09-06,31389068081
2000-09-07,30641982975
2000-09-08,31067246805
2000-09-11,31607446805
2000-09-12,31963748932
2000-09-13,32285570209
2000-09-14,27159417018
2000-09-15,26722659571
2000-09-18,25573297869
2000-09-19,25573297869
2000-09-20,24745757444
2000-09-21,25216995741
2000-09-22,25895119146
2000-09-25,25607778720
2000-09-26,25975574465
2000-09-27,25573297869
2000-09-28,27124936167
2000-09-29,27124936167
2000-10-02,26990552712
2000-10-03,26714787168
2000-10-04,26956082019
2000-10-05,28507263210
2000-10-06,28725577600
2000-10-09,28794518986
2000-10-10,28863460372
2000-10-11,28817499448
2000-10-12,28036163737
2000-10-13,28966872451
2000-10-16,29667776545
2000-10-17,29242637996
2000-10-18,29403501231
2000-10-19,28874950603
2000-10-20,29081774762
2000-10-23,28380870668
2000-10-24,30483582949
2000-10-25,31919861829
2000-10-26,31885391136
2000-10-27,33103355626
2000-10-30,33896181568
2000-10-31,33758298795
2000-11-01,32689707308
2000-11-02,33528494174
2000-11-03,33608925792
2000-11-06,33126336088
2000-11-07,33815749950
2000-11-08,33723828102
2000-11-09,33815749950
2000-11-10,34183437344
2000-11-13,33988103416
2000-11-14,33804259719
2000-11-15,34252378730
2000-11-16,33815749950
2000-11-17,33930652261
2000-11-20,34401751733
2000-11-21,34125986188
2000-11-22,34011083878
2000-11-24,33206767705
2000-11-27,32724178001
2000-11-28,33562964867
2000-11-29,34229398268
2000-11-30,33758298795
2000-12-01,34298339654
2000-12-04,34424732195
2000-12-05,33367630940
2000-12-06,32448412456
2000-12-07,34045554571
2000-12-08,33528494174
2000-12-11,32494373381
2000-12-12,33884691336
2000-12-13,33402101633
2000-12-14,33183787243
2000-12-15,32839080312
2000-12-18,34034064340
2000-12-19,33907671799
2000-12-20,34080025264
2000-12-21,34953282823
2000-12-22,34332810347
2000-12-26,35826540382
2000-12-27,37090465797
2000-12-28,37055995104
2000-12-29,37090465797
2001-01-02,35287500000
2001-01-03,33943752000
2001-01-04,31572432000
2001-01-05,32520960000
2001-01-08,33232356000
2001-01-09,33853416000
2001-01-10,33401735999
2001-01-11,32837135999
2001-01-12,32690340000
2001-01-16,32690340000
2001-01-17,31933776000
2001-01-18,32114448000
2001-01-19,31978944000
2001-01-22,32057988000
2001-01-23,32600004000
2001-01-24,32803260000
2001-01-25,32950056000
2001-01-26,32182200000
2001-01-29,31832148000
2001-01-30,33153312000
2001-01-31,33921168000
2001-02-01,34485768000
2001-02-02,34327680000
2001-02-05,33796956000
2001-02-06,33909876000
2001-02-07,33514656000
2001-02-08,33830832000
2001-02-09,33525948000
2001-02-12,33209772000
2001-02-13,32746800000
2001-02-14,31843440000
2001-02-15,32012820000
2001-02-16,33458196000
2001-02-20,33909876000
2001-02-21,33390444000
2001-02-22,33458196000
2001-02-23,32972640000
2001-02-26,32825844000
2001-02-27,33175896000
2001-02-28,33345276000
2001-03-01,32498376000
2001-03-02,32814552000
2001-03-05,33029100000
2001-03-06,32633880000
2001-03-07,32848428000
2001-03-08,33876000000
2001-03-09,33254940000
2001-03-12,32103156000
2001-03-13,31843440000
2001-03-14,31324008000
2001-03-15,30996540000
2001-03-16,30612612000
2001-03-19,30183516000
2001-03-20,30296435999
2001-03-21,28997856000
2001-03-22,28794600000
2001-03-23,29076900000
2001-03-26,29980260000
2001-03-27,31177212000
2001-03-28,31290132000
2001-03-29,30601320000
2001-03-30,31199796000
2001-04-02,30754516000
2001-04-03,29936040000
2001-04-04,30306036000
2001-04-05,31113300000
2001-04-06,30137856000
2001-04-09,29207260000
2001-04-10,28904536000
2001-04-11,28736356000
2001-04-12,29823920000
2001-04-16,29913616000
2001-04-17,29644528000
2001-04-18,29016656000
2001-04-19,29476348000
2001-04-20,29879980000
2001-04-23,29734224000
2001-04-24,29375440000
2001-04-25,29924828000
2001-04-26,30160280000
2001-04-27,31191784000
2001-04-30,31315116000
2001-05-01,31651476000
2001-05-02,31393600000
2001-05-03,31315116000
2001-05-04,31842080000
2001-05-07,32055108000
2001-05-08,32111168000
2001-05-09,32178440000
2001-05-10,32514800000
2001-05-11,32593284000
2001-05-14,32626920000
2001-05-15,31786020000
2001-05-16,32806312000
2001-05-17,32548436000
2001-05-18,32178440000
2001-05-21,32290560000
2001-05-22,31516932000
2001-05-23,31830868000
2001-05-24,32066320000
2001-05-25,31830868000
2001-05-29,32503588000
2001-05-30,32256924000
2001-05-31,31752384000
2001-06-01,32099956000
2001-06-04,32212076000
2001-06-05,32626920000
2001-06-06,32772676000
2001-06-07,32940856000
2001-06-08,33008128000
2001-06-11,32974492000
2001-06-12,32985704000
2001-06-13,32458740000
2001-06-14,32357832000
2001-06-15,32458740000
2001-06-18,32469952000
2001-06-19,32615708000
2001-06-20,33187520000
2001-06-21,34196600000
2001-06-22,33277216000
2001-06-25,33019340000
2001-06-26,34028420000
2001-06-27,33972360000
2001-06-28,34174176000
2001-06-29,33075400000
2001-07-02,33258910000
2001-07-03,33414170000
2001-07-05,33070380000
2001-07-06,32737680000
2001-07-09,32393890000
2001-07-10,31750670000
2001-07-11,30641670000
2001-07-12,30430960000
2001-07-13,30619490000
2001-07-16,30974370000
2001-07-17,31218350000
2001-07-18,30652760000
2001-07-19,30719300000
2001-07-20,30952190000
2001-07-23,30297880000
2001-07-24,30020630000
2001-07-25,30164800000
2001-07-26,29998450000
2001-07-27,29943000000
2001-07-30,30042810000
2001-07-31,30053900000
2001-08-01,29366320000
2001-08-02,29355230000
2001-08-03,29610300000
2001-08-06,29321960000
2001-08-07,29366320000
2001-08-08,29388500000
2001-08-09,29665750000
2001-08-10,29665750000
2001-08-13,30364420000
2001-08-14,30286790000
2001-08-15,30153710000
2001-08-16,30697120000
2001-08-17,30652760000
2001-08-20,30752570000
2001-08-21,30774750000
2001-08-22,31162900000
2001-08-23,31040910000
2001-08-24,30974370000
2001-08-27,30697120000
2001-08-28,30342240000
2001-08-29,30220250000
2001-08-30,30109350000
2001-08-31,30020630000
2001-09-04,30331150000
2001-09-05,30907830000
2001-09-06,31229440000
2001-09-07,31052000000
2001-09-10,31750670000
2001-09-17,31828300000
2001-09-18,32161000000
2001-09-19,31584320000
2001-09-20,30408780000
2001-09-21,29188880000
2001-09-24,30242430000
2001-09-25,30830200000
2001-09-26,31440150000
2001-09-27,32149910000
2001-09-28,32305170000
2001-10-01,31445140793
2001-10-02,31499923268
2001-10-03,31094532951
2001-10-04,30754881605
2001-10-05,31697140179
2001-10-08,31215054397
2001-10-09,31368445328
2001-10-10,31773835645
2001-10-11,31587575229
2001-10-12,31445140793
2001-10-15,31280793367
2001-10-16,31357488833
2001-10-17,31105489446
2001-10-18,31554705744
2001-10-19,31861487605
2001-10-22,32551746793
2001-10-23,32168269466
2001-10-24,32047748021
2001-10-25,32266877922
2001-10-26,32047748021
2001-10-29,31565662239
2001-10-30,31653314199
2001-10-31,31510879763
2001-11-01,31642357704
2001-11-02,32047748021
2001-11-05,32080617506
2001-11-06,32244964932
2001-11-07,32124443486
2001-11-08,31642357704
2001-11-09,31423227803
2001-11-12,31116445942
2001-11-13,31697140179
2001-11-14,31631401209
2001-11-15,31992965546
2001-11-16,32080617506
2001-11-19,32113486991
2001-11-20,32146356476
2001-11-21,32091574001
2001-11-23,32124443486
2001-11-26,32234008437
2001-11-27,31653314199
2001-11-28,31751922654
2001-11-29,31598531724
2001-11-30,31971052555
2001-12-03,31828618120
2001-12-04,31927226575
2001-12-05,31740966159
2001-12-06,31116445942
2001-12-07,31039750476
2001-12-10,31017837486
2001-12-11,31028793981
2001-12-12,31204097902
2001-12-13,31236967387
2001-12-14,30984968001
2001-12-17,30875403050
2001-12-18,31532792753
2001-12-19,31992965546
2001-12-20,31883400595
2001-12-21,31598531724
2001-12-24,31576618734
2001-12-26,31806705130
2001-12-27,31861487605
2001-12-28,31850531110
2001-12-31,31545846144
2002-01-02,31469384606
2002-01-03,31360153837
2002-01-04,30715692299
2002-01-07,30387999991
2002-01-08,30584615376
2002-01-09,30726615375
2002-01-10,30256923068
2002-01-11,30191384606
2002-01-14,30497230760
2002-01-15,31054307683
2002-01-16,31076153837
2002-01-17,31185384606
2002-01-18,31207230760
2002-01-22,30999692298
2002-01-23,30748461529
2002-01-24,30529999991
2002-01-25,30813999991
2002-01-28,30857692299
2002-01-29,30322461529
2002-01-30,30639230760
2002-01-31,31207230760
2002-02-01,31207230760
2002-02-04,30770307683
2002-02-05,30562769222
2002-02-06,30245999991
2002-02-07,29721692299
2002-02-08,29710769222
2002-02-11,29568769222
2002-02-12,29819999991
2002-02-13,30093076914
2002-02-14,30060307683
2002-02-15,30584615376
2002-02-19,30366153837
2002-02-20,30693846145
2002-02-21,30584615376
2002-02-22,30966923068
2002-02-25,31108923068
2002-02-26,30923230760
2002-02-27,30803076914
2002-02-28,30573692299
2002-03-01,31054307683
2002-03-04,30792153837
2002-03-05,30235076914
2002-03-06,30529999991
2002-03-07,29787230760
2002-03-08,29677999991
2002-03-11,29546923068
2002-03-12,30191384606
2002-03-13,29874615376
2002-03-14,29798153837
2002-03-15,30573692299
2002-03-18,30813999991
2002-03-19,31065230760
2002-03-20,31032461529
2002-03-21,30923230760
2002-03-22,31076153837
2002-03-25,30628307683
2002-03-26,30955999991
2002-03-27,31305538452
2002-03-28,31207230760
2002-04-01,30851796623
2002-04-02,30982616962
2002-04-03,30786386454
2002-04-04,31276962725
2002-04-05,31266061030
2002-04-08,31364176284
2002-04-09,31266061030
2002-04-10,31843850861
2002-04-11,31298766115
2002-04-12,32018277980
2002-04-15,31549505098
2002-04-16,31811145776
2002-04-17,31484094928
2002-04-18,29412772894
2002-04-19,29652610182
2002-04-22,29783430521
2002-04-23,30034169504
2002-04-24,30154088148
2002-04-25,30328515267
2002-04-26,30034169504
2002-04-29,29423674589
2002-04-30,28889491538
2002-05-01,29194738995
2002-05-02,29859742385
2002-05-03,29739823741
2002-05-06,30077776284
2002-05-07,29957857640
2002-05-08,30197694928
2002-05-09,29925152555
2002-05-10,30263105097
2002-05-13,30306711877
2002-05-14,30328515267
2002-05-15,30252203403
2002-05-16,30350318657
2002-05-17,30001464419
2002-05-20,29903349165
2002-05-21,29467281368
2002-05-22,29478183063
2002-05-23,29401871199
2002-05-24,29140230521
2002-05-28,28464325436
2002-05-29,28213586452
2002-05-30,28289898317
2002-05-31,29543593233
2002-06-03,29467281368
2002-06-04,29423674589
2002-06-05,30295810182
2002-06-06,30055972894
2002-06-07,30055972894
2002-06-10,29390969504
2002-06-11,28944000012
2002-06-12,29358264419
2002-06-13,28780474588
2002-06-14,28649654249
2002-06-17,29292854250
2002-06-18,28856786453
2002-06-19,28769572893
2002-06-20,28126372893
2002-06-21,27515877978
2002-06-24,27058006791
2002-06-25,26142264418
2002-06-26,27068908486
2002-06-27,28104569503
2002-06-28,27286942384
2002-07-01,28010560000
2002-07-02,27403520000
2002-07-03,27175880000
2002-07-05,28043080000
2002-07-08,27793760000
2002-07-09,27121680000
2002-07-10,26861520000
2002-07-11,27381840000
2002-07-12,26818160000
2002-07-15,26427920000
2002-07-16,25853400000
2002-07-17,25549880000
2002-07-18,25029560000
2002-07-19,24043120000
2002-07-22,24563440000
2002-07-23,25582400000
2002-07-24,27100000000
2002-07-25,27425200000
2002-07-26,27240920000
2002-07-29,28444160000
2002-07-30,27804600000
2002-07-31,27837120000
2002-08-01,28411640000
2002-08-02,28379120000
2002-08-05,27598640000
2002-08-06,27988880000
2002-08-07,28455000000
2002-08-08,29343880000
2002-08-09,29311360000
2002-08-12,29116240000
2002-08-13,28856080000
2002-08-14,29495640000
2002-08-15,29701600000
2002-08-16,29246320000
2002-08-19,29755800000
2002-08-20,29430600000
2002-08-21,29658240000
2002-08-22,29614880000
2002-08-23,29148760000
2002-08-26,28866920000
2002-08-27,29311360000
2002-08-28,29083720000
2002-08-29,29072880000
2002-08-30,29571520000
2002-09-03,28552560000
2002-09-04,29539000000
2002-09-05,30427880000
2002-09-06,29755800000
2002-09-09,30276120000
2002-09-10,30189400000
2002-09-11,30308640000
2002-09-12,29755800000
2002-09-13,30081000000
2002-09-16,30384520000
2002-09-17,29701600000
2002-09-18,29571520000
2002-09-19,28953640000
2002-09-20,28888600000
2002-09-23,28997000000
2002-09-24,28455000000
2002-09-25,29094560000
2002-09-26,30091840000
2002-09-27,29658240000
2002-09-30,29197475246
2002-10-01,29651994875
2002-10-02,29305694205
2002-10-03,29316516101
2002-10-04,29316516101
2002-10-07,29630351083
2002-10-08,29933364170
2002-10-09,29532954020
2002-10-10,29955007961
2002-10-11,30517746550
2002-10-14,30842403429
2002-10-15,30355418111
2002-10-16,29651994875
2002-10-17,30138980192
2002-10-18,30669253093
2002-10-21,31340210642
2002-10-22,30636787406
2002-10-23,30625965510
2002-10-24,29976651753
2002-10-25,30182267776
2002-10-28,29641172979
2002-10-29,30138980192
2002-10-30,30279664840
2002-10-31,29749391939
2002-11-01,29760213835
2002-11-04,28829530784
2002-11-05,29489666436
2002-11-06,28894462159
2002-11-07,29132543870
2002-11-08,29240762829
2002-11-11,29197475246
2002-11-12,28613092865
2002-11-13,28461586322
2002-11-14,28634736657
2002-11-15,28732133720
2002-11-18,28483230114
2002-11-19,28558983385
2002-11-20,28753777512
2002-11-21,27812272565
2002-11-22,27909669629
2002-11-25,27617478438
2002-11-26,27671587918
2002-11-27,28082819964
2002-11-29,27812272565
2002-12-02,27812272565
2002-12-03,27974601004
2002-12-04,28742955616
2002-12-05,28439942530
2002-12-06,28937749743
2002-12-09,29024324911
2002-12-10,29273228517
2002-12-11,28970215431
2002-12-12,28721311824
2002-12-13,28623914761
2002-12-16,28548161489
2002-12-17,28364189258
2002-12-18,28504873905
2002-12-19,28082819964
2002-12-20,28353367362
2002-12-23,28483230114
2002-12-24,28375011154
2002-12-26,28472408218
2002-12-27,28212682715
2002-12-30,28234326507
2002-12-31,28173528807
2003-01-02,28915220332
2003-01-03,28571247451
2003-01-06,29194698298
2003-01-07,28796979654
2003-01-08,28592745756
2003-01-09,28538999993
2003-01-10,28442257620
2003-01-13,28410010163
2003-01-14,28259522027
2003-01-15,28109033892
2003-01-16,29022711858
2003-01-17,28893722027
2003-01-21,28528250841
2003-01-22,27937047451
2003-01-23,28152030502
2003-01-24,27743562705
2003-01-27,27335094909
2003-01-28,27689816943
2003-01-29,27313596604
2003-01-30,26668647451
2003-01-31,27367342366
2003-02-03,27281349146
2003-02-04,28055288129
2003-02-05,27679067790
2003-02-06,27636071180
2003-02-07,27517830502
2003-02-10,27679067790
2003-02-11,27206105078
2003-02-12,26969623722
2003-02-13,27077115248
2003-02-14,27270599993
2003-02-18,27367342366
2003-02-19,27141610163
2003-02-20,26915877960
2003-02-21,27410338977
2003-02-24,27077115248
2003-02-25,27399589824
2003-02-26,27313596604
2003-02-27,27292098299
2003-02-28,27044867790
2003-03-03,26905128807
2003-03-04,26733142366
2003-03-05,26948125417
2003-03-06,26679396604
2003-03-07,26679396604
2003-03-10,26389169485
2003-03-11,26797637282
2003-03-12,27464084739
2003-03-13,27947796604
2003-03-14,28055288129
2003-03-17,28893722027
2003-03-18,28732484739
2003-03-19,29248444061
2003-03-20,29345186434
2003-03-21,29968637281
2003-03-24,29087206773
2003-03-25,28915220332
2003-03-26,28904471180
2003-03-27,29065708468
2003-03-28,29216196603
2003-03-31,29240878781
2003-04-01,29541666660
2003-04-02,29810227266
2003-04-03,29294590902
2003-04-04,29283848478
2003-04-07,29487954538
2003-04-08,29627606053
2003-04-09,29810227266
2003-04-10,29906909084
2003-04-11,29820969690
2003-04-14,30411803023
2003-04-15,30723333326
2003-04-16,30272151508
2003-04-17,29949878781
2003-04-21,30250666659
2003-04-22,30777045447
2003-04-23,30841499993
2003-04-24,30723333326
2003-04-25,30444030296
2003-04-28,30841499993
2003-04-29,30884469690
2003-04-30,30712590902
2003-05-01,30562196962
2003-05-02,30691106053
2003-05-05,30938181811
2003-05-06,30916696962
2003-05-07,31024121205
2003-05-08,30605166659
2003-05-09,30820015144
2003-05-12,31335651508
2003-05-13,30830757568
2003-05-14,31034863629
2003-05-15,31335651508
2003-05-16,31464560598
2003-05-19,31421590902
2003-05-20,31765348477
2003-05-21,31400106053
2003-05-22,31636439386
2003-05-23,31582727265
2003-05-27,31636439386
2003-05-28,31647181811
2003-05-29,31765348477
2003-05-30,32023166659
2003-06-02,31958712114
2003-06-03,31980196962
2003-06-04,31851287871
2003-06-05,31733121204
2003-06-06,31475303023
2003-06-09,31571984841
2003-06-10,31496787871
2003-06-11,31636439386
2003-06-12,32098363629
2003-06-13,32216530295
2003-06-16,32699939386
2003-06-17,32571030295
2003-06-18,32646227265
2003-06-19,32162818174
2003-06-20,32184303023
2003-06-23,32033909083
2003-06-24,32323954538
2003-06-25,31561242417
2003-06-26,31324909083
2003-06-27,30981151508
2003-06-30,31021576113
2003-07-01,31182143277
2003-07-02,31214256710
2003-07-03,30968053725
2003-07-07,31042985069
2003-07-08,31042985069
2003-07-09,30839599994
2003-07-10,30668328352
2003-07-11,30646919397
2003-07-14,30497056710
2003-07-15,30486352233
2003-07-16,30250853725
2003-07-17,29951128352
2003-07-18,30133104472
2003-07-21,30133104472
2003-07-22,30293671636
2003-07-23,30122399994
2003-07-24,29940423875
2003-07-25,29919014919
2003-07-28,29737038800
2003-07-29,29576471636
2003-07-30,29501540293
2003-07-31,29223223875
2003-08-01,29062656711
2003-08-04,29084065666
2003-08-05,29062656711
2003-08-06,29362382084
2003-08-07,29287450740
2003-08-08,29448017905
2003-08-11,29565767158
2003-08-12,30004650740
2003-08-13,29769152233
2003-08-14,29844083576
2003-08-15,29437313427
2003-08-18,29212519397
2003-08-19,29137588054
2003-08-20,29158997009
2003-08-21,29094770143
2003-08-22,28559546263
2003-08-25,28580955218
2003-08-26,28859271636
2003-08-27,29629994024
2003-08-28,29619289546
2003-08-29,29587176114
2003-09-02,30026059696
2003-09-03,30272262681
2003-09-04,30133104472
2003-09-05,30100991039
2003-09-08,30240149248
2003-09-09,29951128352
2003-09-10,29993946263
2003-09-11,30218740293
2003-09-12,30036764173
2003-09-15,29629994024
2003-09-16,29769152233
2003-09-17,29544358203
2003-09-18,29362382084
2003-09-19,29629994024
2003-09-22,29340973129
2003-09-23,29662107457
2003-09-24,29747743278
2003-09-25,29822674621
2003-09-26,29597880591
2003-09-29,29844083576
2003-09-30,30040068745
2003-10-01,30620449322
2003-10-02,30760170572
2003-10-03,30813909514
2003-10-06,31007369707
2003-10-07,31147090957
2003-10-08,31061108649
2003-10-09,30975126341
2003-10-10,31114847591
2003-10-13,31211577687
2003-10-14,31308307783
2003-10-15,31501767976
2003-10-16,31190082110
2003-10-17,30824657303
2003-10-20,30835405091
2003-10-21,30964378553
2003-10-22,31039613072
2003-10-23,28589117303
2003-10-24,27869015476
2003-10-27,27460599515
2003-10-28,27492842880
2003-10-29,28062475669
2003-10-30,27740042015
2003-10-31,28589117303
2003-11-03,28556873938
2003-11-04,28642856245
2003-11-05,28148457976
2003-11-06,28094719034
2003-11-07,27997988938
2003-11-10,27912006630
2003-11-11,28126962399
2003-11-12,28331170380
2003-11-13,28374161534
2003-11-14,27997988938
2003-11-17,27997988938
2003-11-18,27632564130
2003-11-19,27783033169
2003-11-20,27826024322
2003-11-21,27879763265
2003-11-24,28191449130
2003-11-25,28169953553
2003-11-26,28126962399
2003-11-28,28212944707
2003-12-01,28427900476
2003-12-02,28503134995
2003-12-03,28481639419
2003-12-04,28857812015
2003-12-05,28943794322
2003-12-08,28804073072
2003-12-09,28438648265
2003-12-10,28277431438
2003-12-11,28266683649
2003-12-12,28814820861
2003-12-15,28782577495
2003-12-16,28567621726
2003-12-17,28954542111
2003-12-18,27030687976
2003-12-19,26439559611
2003-12-22,26407316246
2003-12-23,26514794130
2003-12-24,26428811823
2003-12-26,26493298553
2003-12-29,26858723361
2003-12-30,26826479996
2003-12-31,26798248379
2004-01-02,26562706444
2004-01-05,26798248379
2004-01-06,26969551605
2004-01-07,27108735476
2004-01-08,27183680637
2004-01-09,27033790315
2004-01-12,26958845153
2004-01-13,27076616121
2004-01-14,26990964508
2004-01-15,27333570960
2004-01-16,27429929024
2004-01-20,27344277411
2004-01-21,27547699992
2004-01-22,27429929024
2004-01-23,27301451605
2004-01-26,27515580637
2004-01-27,27440635476
2004-01-28,27226506444
2004-01-29,27815361282
2004-01-30,27451341928
2004-02-02,26948138702
2004-02-03,27761829024
2004-02-04,28778941927
2004-02-05,29239319346
2004-02-06,29335677411
2004-02-09,29399916121
2004-02-10,29442741927
2004-02-11,29485567733
2004-02-12,29474861282
2004-02-13,29464154830
2004-02-17,29635458056
2004-02-18,29710403217
2004-02-19,30245725798
2004-02-20,30010183862
2004-02-23,29978064508
2004-02-24,29560512895
2004-02-25,29442741927
2004-02-26,29699696766
2004-02-27,29688990314
2004-03-01,30106541927
2004-03-02,30053009669
2004-03-03,30149367733
2004-03-04,29999477411
2004-03-05,30170780636
2004-03-08,30256432249
2004-03-09,30117248378
2004-03-10,30277845153
2004-03-11,29389209669
2004-03-12,29399916121
2004-03-15,29164374185
2004-03-16,29260732250
2004-03-17,29442741927
2004-03-18,29442741927
2004-03-19,29314264508
2004-03-22,28714703218
2004-03-23,28372096766
2004-03-24,28265032250
2004-03-25,29399916121
2004-03-26,29292851604
2004-03-29,29635458056
2004-03-30,30010183862
2004-03-31,29346739122
2004-04-01,29250869556
2004-04-02,29623695643
2004-04-05,29208260861
2004-04-06,29282826078
2004-04-07,28952608687
2004-04-08,28909999991
2004-04-12,28750217383
2004-04-13,28526521730
2004-04-14,29218913035
2004-04-15,29559782600
2004-04-16,29698260861
2004-04-19,29996521730
2004-04-20,30156304339
2004-04-21,29964565208
2004-04-22,30049782600
2004-04-23,30166956513
2004-04-26,30390652165
2004-04-27,30369347817
2004-04-28,30039130426
2004-04-29,30816739121
2004-04-30,30827391295
2004-05-03,31381304338
2004-05-04,31285434773
2004-05-05,31200217382
2004-05-06,31157608686
2004-05-07,30699565208
2004-05-10,30358695643
2004-05-11,30401304339
2004-05-12,30316086947
2004-05-13,29826086948
2004-05-14,29698260861
2004-05-17,29921956513
2004-05-18,29900652165
2004-05-19,29783478252
2004-05-20,29815434774
2004-05-21,30486521730
2004-05-24,30252173904
2004-05-25,30443913034
2004-05-26,30838043469
2004-05-27,30635652165
2004-05-28,30465217382
2004-06-01,30646304339
2004-06-02,30582391295
2004-06-03,30390652165
2004-06-04,30316086947
2004-06-07,30678260860
2004-06-08,30774130425
2004-06-09,30955217382
2004-06-10,30965869556
2004-06-14,30944565208
2004-06-15,30997826078
2004-06-16,31146956512
2004-06-17,31083043469
2004-06-18,31093695643
2004-06-21,31040434773
2004-06-22,31253478251
2004-06-23,31114999991
2004-06-24,30976521730
2004-06-25,30550434773
2004-06-28,30763478252
2004-06-29,31210869556
2004-06-30,30926298364
2004-07-01,31074422954
2004-07-02,30883977052
2004-07-06,30831075413
2004-07-07,30735852462
2004-07-08,30714691806
2004-07-09,30555986888
2004-07-12,30503085249
2004-07-13,30407862298
2004-07-14,30101032790
2004-07-15,30101032790
2004-07-16,29794203281
2004-07-19,29698980331
2004-07-20,29952908199
2004-07-21,29095901642
2004-07-22,28492822953
2004-07-23,27847422953
2004-07-26,27879163937
2004-07-27,28069609839
2004-07-28,28281216396
2004-07-29,28185993445
2004-07-30,28143672134
2004-08-02,28217734429
2004-08-03,28027288527
2004-08-04,27942645904
2004-08-05,27646396724
2004-08-06,27381888527
2004-08-09,27276085248
2004-08-10,27635816396
2004-08-11,27625236068
2004-08-12,27498272134
2004-08-13,27371308199
2004-08-16,27487691806
2004-08-17,27307826232
2004-08-18,27582914757
2004-08-19,27445370494
2004-08-20,27858003281
2004-08-23,28217734429
2004-08-24,28228314757
