,RL
2000-06-12,1371910200
2000-06-13,1359288238
2000-06-14,1371910200
2000-06-15,1383561242
2000-06-16,1365113759
2000-06-19,1359288238
2000-06-20,1335015233
2000-06-21,1353462716
2000-06-22,1359288238
2000-06-23,1402008725
2000-06-26,1462205776
2000-06-27,1486478780
2000-06-28,1510751784
2000-06-29,1553472272
2000-06-30,1383561242
2000-07-03,1504860721
2000-07-05,1517433465
2000-07-06,1571592977
2000-07-07,1589968526
2000-07-10,1625752489
2000-07-11,1619949684
2000-07-12,1644128038
2000-07-13,1656700781
2000-07-14,1662503586
2000-07-17,1649930842
2000-07-18,1619949684
2000-07-19,1668306391
2000-07-20,1638325233
2000-07-21,1601574135
2000-07-24,1625752489
2000-07-25,1680879135
2000-07-26,1644128038
2000-07-27,1662503586
2000-07-28,1571592977
2000-07-31,1565790172
2000-08-01,1571592977
2000-08-02,1619949684
2000-08-03,1589968526
2000-08-04,1656700781
2000-08-07,1662503586
2000-08-08,1831752061
2000-08-09,1740841452
2000-08-10,1874305963
2000-08-11,1928465475
2000-08-14,1922662670
2000-08-15,1915892731
2000-08-16,1850127609
2000-08-17,1922662670
2000-08-18,1843357670
2000-08-21,1910089926
2000-08-22,1861733219
2000-08-23,1807573707
2000-08-24,1874305963
2000-08-25,1891714377
2000-08-28,1850127609
2000-08-29,1861733219
2000-08-30,1891714377
2000-08-31,1874305963
2000-09-01,1874305963
2000-09-05,1837554866
2000-09-06,1819179317
2000-09-07,1855930414
2000-09-08,1855930414
2000-09-11,1861733219
2000-09-12,1837554866
2000-09-13,1837554866
2000-09-14,1874305963
2000-09-15,1837554866
2000-09-18,1753414195
2000-09-19,1722465903
2000-09-20,1729235842
2000-09-21,1716663098
2000-09-22,1692484745
2000-09-25,1632522428
2000-09-26,1601574135
2000-09-27,1559987367
2000-09-28,1595771331
2000-09-29,1559987367
2000-10-02,1592746683
2000-10-03,1568614157
2000-10-04,1557030545
2000-10-05,1834071938
2000-10-06,1761674361
2000-10-09,1822488325
2000-10-10,1846620851
2000-10-11,1822488325
2000-10-12,1743333642
2000-10-13,1750090749
2000-10-16,1815731218
2000-10-17,1804147606
2000-10-18,1834071938
2000-10-19,1876545182
2000-10-20,1852412657
2000-10-23,1815731218
2000-10-24,1828280131
2000-10-25,1815731218
2000-10-26,1804147606
2000-10-27,1852412657
2000-10-30,1858204463
2000-10-31,1894885902
2000-11-01,2032923948
2000-11-02,2238533065
2000-11-03,2171927295
2000-11-06,2184476208
2000-11-07,2177719101
2000-11-08,2201851626
2000-11-09,2142002963
2000-11-10,2051264667
2000-11-13,2027132142
2000-11-14,2093737912
2000-11-15,2045472861
2000-11-16,2087946106
2000-11-17,2093737912
2000-11-20,2117870437
2000-11-21,2081188999
2000-11-22,2045472861
2000-11-24,2160343682
2000-11-27,2220192346
2000-11-28,2208608733
2000-11-29,2087946106
2000-11-30,2021340335
2000-12-01,2087946106
2000-12-04,2117870437
2000-12-05,2087946106
2000-12-06,2051264667
2000-12-07,2027132142
2000-12-08,2099529718
2000-12-11,2081188999
2000-12-12,2069605386
2000-12-13,2063813580
2000-12-14,2069605386
2000-12-15,2069605386
2000-12-18,2220192346
2000-12-19,2129454050
2000-12-20,2045472861
2000-12-21,2075397193
2000-12-22,2099529718
2000-12-26,2142002963
2000-12-27,2190268014
2000-12-28,2220192346
2000-12-29,2153586575
2001-01-02,2171215119
2001-01-03,2225398741
2001-01-04,2394722558
2001-01-05,2364728053
2001-01-08,2364728053
2001-01-09,2407300898
2001-01-10,2388917170
2001-01-11,2400527946
2001-01-12,2431490015
2001-01-16,2413106286
2001-01-17,2461484520
2001-01-18,2491479025
2001-01-19,2316349819
2001-01-22,2467289908
2001-01-23,2515668142
2001-01-24,2564046375
2001-01-25,2569851763
2001-01-26,2485673637
2001-01-29,2489543895
2001-01-30,2481803378
2001-01-31,2456646697
2001-02-01,2474062861
2001-02-02,2351182148
2001-02-05,2405365769
2001-02-06,2368598312
2001-02-07,2442133227
2001-02-08,2571786892
2001-02-09,2610489479
2001-02-12,2711116205
2001-02-13,2810775366
2001-02-14,2834964483
2001-02-15,2885277845
2001-02-16,2870764375
2001-02-20,2854315776
2001-02-21,2696602735
2001-02-22,2902694010
2001-02-23,2823353707
2001-02-26,2946234420
2001-02-27,2830126659
2001-02-28,2834964483
2001-03-01,2825288836
2001-03-02,2776910602
2001-03-05,2743045839
2001-03-06,2866894117
2001-03-07,2865926552
2001-03-08,2863991423
2001-03-09,2802067284
2001-03-12,2727564804
2001-03-13,2625970514
2001-03-14,2506960059
2001-03-15,2554370728
2001-03-16,2566949069
2001-03-19,2684024394
2001-03-20,2613392173
2001-03-21,2550500470
2001-03-22,2444068356
2001-03-23,2504057365
2001-03-26,2443100791
2001-03-27,2573722022
2001-03-28,2535987000
2001-03-29,2535019435
2001-03-30,2660802842
2001-04-02,2597660079
2001-04-03,2549105685
2001-04-04,2553961124
2001-04-05,2568527442
2001-04-06,2524828488
2001-04-09,2602515518
2001-04-10,2612226397
2001-04-11,2544250245
2001-04-12,2378194218
2001-04-16,2228646684
2001-04-17,2351003757
2001-04-18,2549105685
2001-04-19,2524828488
2001-04-20,2443257106
2001-04-23,2464621039
2001-04-24,2403442503
2001-04-25,2505406730
2001-04-26,2549105685
2001-04-27,2571440706
2001-04-30,2524828488
2001-05-01,2572411794
2001-05-02,2655925351
2001-05-03,2635532506
2001-05-04,2669520582
2001-05-07,2670491670
2001-05-08,2660780791
2001-05-09,2617081836
2001-05-10,2657867527
2001-05-11,2653012088
2001-05-14,2625821627
2001-05-15,2641359033
2001-05-16,2714190624
2001-05-17,2754005227
2001-05-18,2757889579
2001-05-21,2835576609
2001-05-22,2783137864
2001-05-23,2854998367
2001-05-24,2888986443
2001-05-25,2908408200
2001-05-29,3008430252
2001-05-30,2947251715
2001-05-31,2908408200
2001-06-01,2708364097
2001-06-04,2801588533
2001-06-05,2782166776
2001-06-06,2720988239
2001-06-07,2777311336
2001-06-08,2689913427
2001-06-11,2621937276
2001-06-12,2550076772
2001-06-13,2485984972
2001-06-14,2546192421
2001-06-15,2538423718
2001-06-18,2568527442
2001-06-19,2564643091
2001-06-20,2563672003
2001-06-21,2669520582
2001-06-22,2562700915
2001-06-25,2553961124
2001-06-26,2515117609
2001-06-27,2515117609
2001-06-28,2590862463
2001-06-29,2505406730
2001-07-02,2548963979
2001-07-03,2574297719
2001-07-05,2531425236
2001-07-06,2435936525
2001-07-09,2441782772
2001-07-10,2427167153
2001-07-11,2435936525
2001-07-12,2524604614
2001-07-13,2494399001
2001-07-16,2523630239
2001-07-17,2518758366
2001-07-18,2509014620
2001-07-19,2433013401
2001-07-20,2526553363
2001-07-23,2576246468
2001-07-24,2504142747
2001-07-25,2526553363
2001-07-26,2497322125
2001-07-27,2314139698
2001-07-30,2241061603
2001-07-31,2387217794
2001-08-01,2289780333
2001-08-02,2393064042
2001-08-03,2432039026
2001-08-06,2387217794
2001-08-07,2255677222
2001-08-08,2445680271
2001-08-09,2394038416
2001-08-10,2387217794
2001-08-13,2350191559
2001-08-14,2400859039
2001-08-15,2400859039
2001-08-16,2351165933
2001-08-17,2426192778
2001-08-20,2429115902
2001-08-21,2362858429
2001-08-22,2311216574
2001-08-23,2281985336
2001-08-24,2319011571
2001-08-27,2328755317
2001-08-28,2341422187
2001-08-29,2338499064
2001-08-30,2248856599
2001-08-31,2311216574
2001-09-04,2289780333
2001-09-05,2280036587
2001-09-06,2256651596
2001-09-07,2241061603
2001-09-10,2210855990
2001-09-17,2007211696
2001-09-18,1948749220
2001-09-19,1987724204
2001-09-20,1924389854
2001-09-21,1826952393
2001-09-24,1900030489
2001-09-25,1924389854
2001-09-26,1890286743
2001-09-27,1793823657
2001-09-28,1826952393
2001-10-01,1809712770
2001-10-02,1852615444
2001-10-03,2076879418
2001-10-04,2116856909
2001-10-05,2057378203
2001-10-08,1995949375
2001-10-09,1998874558
2001-10-10,2145133672
2001-10-11,2124657396
2001-10-12,2156834401
2001-10-15,2135383064
2001-10-16,2147083793
2001-10-17,2191936588
2001-10-18,2188036345
2001-10-19,2138308246
2001-10-22,2086630026
2001-10-23,2105156180
2001-10-24,2135383064
2001-10-25,2130507760
2001-10-26,2218263229
2001-10-29,2076879418
2001-10-30,2053477960
2001-10-31,2147083793
2001-11-01,2145133672
2001-11-02,2174385494
2001-11-05,2140258368
2001-11-06,2227038775
2001-11-07,2325519912
2001-11-08,2305043636
2001-11-09,2262140963
2001-11-12,2330395216
2001-11-13,2457153115
2001-11-14,2603412229
2001-11-15,2689217576
2001-11-16,2635589234
2001-11-19,2724319763
2001-11-20,2598536925
2001-11-21,2593661621
2001-11-23,2619988262
2001-11-26,2622913444
2001-11-27,2569285102
2001-11-28,2437651900
2001-11-29,2340145824
2001-11-30,2351846553
2001-12-03,2400599591
2001-12-04,2457153115
2001-12-05,2494205424
2001-12-06,2469828905
2001-12-07,2459103236
2001-12-10,2442527203
2001-12-11,2444477325
2001-12-12,2418150684
2001-12-13,2415225502
2001-12-14,2466903722
2001-12-17,2378173193
2001-12-18,2462028419
2001-12-19,2497130606
2001-12-20,2462028419
2001-12-21,2488355059
2001-12-24,2447402507
2001-12-26,2532232793
2001-12-27,2547833765
2001-12-28,2520532064
2001-12-31,2617905190
2002-01-02,2554316312
2002-01-03,2603230834
2002-01-04,2779323111
2002-01-07,2759757303
2002-01-08,2740191494
2002-01-09,2719647395
2002-01-10,2733343461
2002-01-11,2729430299
2002-01-14,2641384161
2002-01-15,2660949969
2002-01-16,2604209124
2002-01-17,2568012378
2002-01-18,2626709804
2002-01-22,2641384161
2002-01-23,2660949969
2002-01-24,2665841421
2002-01-25,2710842781
2002-01-28,2763670464
2002-01-29,2729430299
2002-01-30,2683450649
2002-01-31,2702038167
2002-02-01,2701059877
2002-02-04,2585621606
2002-02-05,2538663665
2002-02-06,2503445210
2002-02-07,2550403151
2002-02-08,2603230834
2002-02-11,2739213204
2002-02-12,2757800722
2002-02-13,2775409949
2002-02-14,2722582266
2002-02-15,2714755943
2002-02-19,2743126365
2002-02-20,2725517137
2002-02-21,2709864491
2002-02-22,2709864491
2002-02-25,2760735593
2002-02-26,2753887560
2002-02-27,2706929619
2002-02-28,2671711164
2002-03-01,2763670464
2002-03-04,2789106015
2002-03-05,2813563276
2002-03-06,2803780372
2002-03-07,2757800722
2002-03-08,2758779012
2002-03-11,2802802081
2002-03-12,2829215923
2002-03-13,2827259342
2002-03-14,2818454728
2002-03-15,2838998827
2002-03-18,2837042247
2002-03-19,2901609415
2002-03-20,2888891639
2002-03-21,2851716603
2002-03-22,2792040887
2002-03-25,2791062596
2002-03-26,2826281052
2002-03-27,2836063956
2002-03-28,2854651474
2002-04-01,2768146404
2002-04-02,2721029018
2002-04-03,2682746142
2002-04-04,2761275118
2002-04-05,2711212896
2002-04-08,2735753201
2002-04-09,2836859258
2002-04-10,2882995031
2002-04-11,2812318953
2002-04-12,2890847929
2002-04-15,2900664051
2002-04-16,3007659780
2002-04-17,2993917210
2002-04-18,2979193027
2002-04-19,2932075641
2002-04-22,2880050194
2002-04-23,2915388234
2002-04-24,2945818212
2002-04-25,2841767319
2002-04-26,2794649933
2002-04-29,2849620216
2002-04-30,2822135075
2002-05-01,2835877645
2002-05-02,2852565053
2002-05-03,2784833811
2002-05-06,2734771589
2002-05-07,2738698038
2002-05-08,2601272330
2002-05-09,2807410892
2002-05-10,2799557994
2002-05-13,2807410892
2002-05-14,2836859258
2002-05-15,2861399563
2002-05-16,2895755990
2002-05-17,2801521218
2002-05-20,2806429279
2002-05-21,2828024748
2002-05-22,2614033288
2002-05-23,2649371327
2002-05-24,2709249672
2002-05-28,2689617428
2002-05-29,2613051676
2002-05-30,2576732025
2002-05-31,2541393985
2002-06-03,2473662744
2002-06-04,2444214378
2002-06-05,2466791458
2002-06-06,2424582134
2002-06-07,2454030500
2002-06-10,2477589192
2002-06-11,2415747624
2002-06-12,2441269541
2002-06-13,2425563746
2002-06-14,2375501524
2002-06-17,2363722177
2002-06-18,2400041829
2002-06-19,2390225707
2002-06-20,2351942831
2002-06-21,2287156426
2002-06-24,2324457689
2002-06-25,2178197471
2002-06-26,2188995206
2002-06-27,2194884879
2002-06-28,2198811328
2002-07-01,2176393903
2002-07-02,2164597730
2002-07-03,2025009684
2002-07-05,2147886485
2002-07-08,2257984099
2002-07-09,2202935292
2002-07-10,2133141269
2002-07-11,2021077626
2002-07-12,1964062791
2002-07-15,1985689108
2002-07-16,1943419488
2002-07-17,1961113747
2002-07-18,1926708243
2002-07-19,1877557523
2002-07-22,1803831442
2002-07-23,1798916370
2002-07-24,1844135033
2002-07-25,1923759200
2002-07-26,1956198675
2002-07-29,2054500116
2002-07-30,2068262318
2002-07-31,1971926906
2002-08-01,1991587194
2002-08-02,1971926906
2002-08-05,1836270917
2002-08-06,1956198675
2002-08-07,2070228347
2002-08-08,2123311125
2002-08-09,2182291990
2002-08-12,2171478831
2002-08-13,2172461846
2002-08-14,2256018070
2002-08-15,2339574295
2002-08-16,2286491517
2002-08-19,2348421425
2002-08-20,2338591281
2002-08-21,2335642238
2002-08-22,2352353483
2002-08-23,2344489367
2002-08-26,2350387454
2002-08-27,2201952278
2002-08-28,2182291990
2002-08-29,2142971413
2002-08-30,2129209212
2002-09-03,2167546774
2002-09-04,2231442710
2002-09-05,2116430024
2002-09-06,2251102998
2002-09-09,2291406589
2002-09-10,2301236733
2002-09-11,2281576445
2002-09-12,2328761137
2002-09-13,2322863050
2002-09-16,2369064728
2002-09-17,2261916157
2002-09-18,2285508503
2002-09-19,2216697494
2002-09-20,2228493667
2002-09-23,2113480981
2002-09-24,2029924756
2002-09-25,2078092462
2002-09-26,2135107298
2002-09-27,2049585044
2002-09-30,2045001817
2002-10-01,1963319838
2002-10-02,1915097948
2002-10-03,1839320691
2002-10-04,1871796658
2002-10-07,1723194505
2002-10-08,1766495794
2002-10-09,1740908669
2002-10-10,1630687204
2002-10-11,1745829270
2002-10-14,1721226264
2002-10-15,1855066614
2002-10-16,1741892789
2002-10-17,1805860603
2002-10-18,1817670046
2002-10-21,1800940002
2002-10-22,1816685926
2002-10-23,1811765325
2002-10-24,1831447729
2002-10-25,1909193226
2002-10-28,1904272625
2002-10-29,1864907816
2002-10-30,1791098800
2002-10-31,1873764898
2002-11-01,1933796232
2002-11-04,1830463609
2002-11-05,1870812538
2002-11-06,2106017270
2002-11-07,2096176068
2002-11-08,2115858473
2002-11-11,2072557183
2002-11-12,2106017270
2002-11-13,2115858473
2002-11-14,2153255041
2002-11-15,2189667489
2002-11-18,2204429292
2002-11-19,2179826287
2002-11-20,2281190669
2002-11-21,2400269216
2002-11-22,2341222003
2002-11-25,2375666211
2002-11-26,2327444320
2002-11-27,2371729730
2002-11-29,2335317282
2002-12-02,2420935741
2002-12-03,2314650757
2002-12-04,2425856342
2002-12-05,2337285522
2002-12-06,2337285522
2002-12-09,2214270495
2002-12-10,2228048178
2002-12-11,2233952899
2002-12-12,2245762342
2002-12-13,2148334440
2002-12-16,2258555904
2002-12-17,2169000964
2002-12-18,2145382079
2002-12-19,2150302680
2002-12-20,2170969205
2002-12-23,2124715554
2002-12-24,2086334866
2002-12-26,2120779074
2002-12-27,2071573063
2002-12-30,2132429317
2002-12-31,2142274328
2003-01-02,2185592375
2003-01-03,2152119339
2003-01-06,2189530379
2003-01-07,2168855857
2003-01-08,2172793861
2003-01-09,2176731865
2003-01-10,2185592375
2003-01-13,2201344392
2003-01-14,2191499381
2003-01-15,2141289827
2003-01-16,2166886855
2003-01-17,2102894285
2003-01-21,2057607236
2003-01-22,2058591737
2003-01-23,2123568807
2003-01-24,2069421249
2003-01-27,2030041206
2003-01-28,2008382182
2003-01-29,2061545240
2003-01-30,2025118700
2003-01-31,2009366683
2003-02-03,2080250760
2003-02-04,2076312756
2003-02-05,2037917214
2003-02-06,2077297257
2003-02-07,2037917214
2003-02-10,2004444178
2003-02-11,1970971142
2003-02-12,1958172628
2003-02-13,1944389613
2003-02-14,1969986641
2003-02-18,1964079634
2003-02-19,1969986641
2003-02-20,1990661163
2003-02-21,2003459677
2003-02-24,1972940144
2003-02-25,2011335686
2003-02-26,1998537172
2003-02-27,1985738658
2003-02-28,1987707660
2003-03-03,1988692161
2003-03-04,1978847150
2003-03-05,1955219125
2003-03-06,1969002140
2003-03-07,2015273690
2003-03-10,1969002140
2003-03-11,1968017638
2003-03-12,2027087703
2003-03-13,2051700229
2003-03-14,2031025707
2003-03-17,2064498743
2003-03-18,2085173266
2003-03-19,2087142268
2003-03-20,2057607236
2003-03-21,2111754795
2003-03-24,2032010208
2003-03-25,2011335686
2003-03-26,2071390251
2003-03-27,2190514880
2003-03-28,2200359891
2003-03-31,2252838521
2003-04-01,2218406491
2003-04-02,2254806065
2003-04-03,2313832402
2003-04-04,2292189412
2003-04-07,2259724927
2003-04-08,2237098164
2003-04-09,2204633679
2003-04-10,2262676244
2003-04-11,2232179303
2003-04-14,2276449055
2003-04-15,2275465283
2003-04-16,2213487630
2003-04-17,2246935887
2003-04-21,2233163075
2003-04-22,2253822293
2003-04-23,2260708699
2003-04-24,2231195531
2003-04-25,2221357808
2003-04-28,2281367917
2003-04-29,2302027135
2003-04-30,2306945996
2003-05-01,2274481511
2003-05-02,2261692471
2003-05-05,2263660016
2003-05-06,2287270551
2003-05-07,2278416600
2003-05-08,2252838521
2003-05-09,2248903432
2003-05-12,2274481511
2003-05-13,2272513966
2003-05-14,2302027135
2003-05-15,2313832402
2003-05-16,2312848630
2003-05-19,2248903432
2003-05-20,2297108273
2003-05-21,2263660016
2003-05-22,2375810056
2003-05-23,2483041234
2003-05-27,2577483373
2003-05-28,2550921522
2003-05-29,2529278531
2003-05-30,2604045225
2003-06-02,2664055334
2003-06-03,2557807928
2003-06-04,2639461027
2003-06-05,2623720670
2003-06-06,2571580739
2003-06-09,2495830274
2003-06-10,2571580739
2003-06-11,2587321096
2003-06-12,2587321096
2003-06-13,2550921522
2003-06-16,2632574621
2003-06-17,2614866720
2003-06-18,2577483373
2003-06-19,2556824155
2003-06-20,2539116254
2003-06-23,2474187284
2003-06-24,2488943868
2003-06-25,2488943868
2003-06-26,2520424581
2003-06-27,2498781591
2003-06-30,2545576160
2003-07-01,2571239200
2003-07-02,2581109600
2003-07-03,2566304000
2003-07-07,2633422720
2003-07-08,2630461600
2003-07-09,2595915200
2003-07-10,2577161440
2003-07-11,2608746720
2003-07-14,2688696960
2003-07-15,2623552320
2003-07-16,2796284320
2003-07-17,2704489600
2003-07-18,2679813600
2003-07-21,2655137600
2003-07-22,2665995040
2003-07-23,2622565280
2003-07-24,2681787680
2003-07-25,2665995040
2003-07-28,2642306080
2003-07-29,2521887200
2003-07-30,2610720800
2003-07-31,2606772640
2003-08-01,2586044800
2003-08-04,2543602080
2003-08-05,2473522240
2003-08-06,2723243360
2003-08-07,2714360000
2003-08-08,2720282240
2003-08-11,2796284320
2003-08-12,2808128800
2003-08-13,2789375040
2003-08-14,2848597440
2003-08-15,2832804800
2003-08-18,2828856640
2003-08-19,2832804800
2003-08-20,2836752960
2003-08-21,2847610400
2003-08-22,2824908480
2003-08-25,2830830720
2003-08-26,2824908480
2003-08-27,2827869600
2003-08-28,2911768000
2003-08-29,2892027200
2003-09-02,2907819840
2003-09-03,2967042240
2003-09-04,2857480800
2003-09-05,2809115840
2003-09-08,2781478720
2003-09-09,2743971200
2003-09-10,2684748800
2003-09-11,2684748800
2003-09-12,2666982080
2003-09-15,2771608320
2003-09-16,2777530560
2003-09-17,2763712000
2003-09-18,2740023040
2003-09-19,2765686080
2003-09-22,2697580320
2003-09-23,2696593280
2003-09-24,2560381760
2003-09-25,2625526400
2003-09-26,2605785600
2003-09-29,2652157440
2003-09-30,2657111040
2003-10-01,2778969600
2003-10-02,2727452160
2003-10-03,2788876800
2003-10-06,2774016000
2003-10-07,2798784000
2003-10-08,2776988160
2003-10-09,2844357120
2003-10-10,2833459200
2003-10-13,2982067200
2003-10-14,2972160000
2003-10-15,3041510400
2003-10-16,3026649600
2003-10-17,3031603200
2003-10-20,3008816640
2003-10-21,2991974400
2003-10-22,2917670400
2003-10-23,2870115840
2003-10-24,2837422080
2003-10-27,2902809600
2003-10-28,2991974400
2003-10-29,3016742400
2003-10-30,3002872320
2003-10-31,3011788800
2003-11-03,3003863040
2003-11-04,2977113600
2003-11-05,3044482560
2003-11-06,2969187840
2003-11-07,2989002240
2003-11-10,2935503360
2003-11-11,2866152960
2003-11-12,2910735360
2003-11-13,2859217920
2003-11-14,2821570560
2003-11-17,2803737600
2003-11-18,2774016000
2003-11-19,2748257280
2003-11-20,2758164480
2003-11-21,2863180800
2003-11-24,2873088000
2003-11-25,2910735360
2003-11-26,2932531200
2003-11-28,2940456960
2003-12-01,2987020800
2003-12-02,2980085760
2003-12-03,2871106560
2003-12-04,2788876800
2003-12-05,2825533440
2003-12-08,2764108800
2003-12-09,2745285120
2003-12-10,2750238720
2003-12-11,2843366400
2003-12-12,2853273600
2003-12-15,2789867520
2003-12-16,2769062400
2003-12-17,2750238720
2003-12-18,2774016000
2003-12-19,2765099520
2003-12-22,2774016000
2003-12-23,2793830400
2003-12-24,2780951040
2003-12-26,2814635520
2003-12-29,2881555560
2003-12-30,2844612540
2003-12-31,2875564800
2004-01-02,2864581740
2004-01-05,2891540160
2004-01-06,2899527840
2004-01-07,2862584820
2004-01-08,2857592520
2004-01-09,2793691080
2004-01-12,2778714180
2004-01-13,2743768080
2004-01-14,2770726500
2004-01-15,2845611000
2004-01-16,3005364600
2004-01-20,2997376920
2004-01-21,3050295300
2004-01-22,3056286060
2004-01-23,3091232160
2004-01-26,3107207520
2004-01-27,3106209060
2004-01-28,3054289140
2004-01-29,3033321480
2004-01-30,3015349200
2004-02-02,3037315320
2004-02-03,3022338420
2004-02-04,3000372300
2004-02-05,3054289140
2004-02-06,3072261420
2004-02-09,3046301460
2004-02-10,3045303000
2004-02-11,3065272200
2004-02-12,3065272200
2004-02-13,3064273740
2004-02-17,3225025799
2004-02-18,3165118200
2004-02-19,3146147460
2004-02-20,3098221380
2004-02-23,3095226000
2004-02-24,3128175180
2004-02-25,3145149000
2004-02-26,3349833299
2004-02-27,3351830220
2004-03-01,3389771700
2004-03-02,3342844079
2004-03-03,3320877960
2004-03-04,3419725500
2004-03-05,3425716260
2004-03-08,3434702400
2004-03-09,3376791720
2004-03-10,3340847160
2004-03-11,3268958040
2004-03-12,3326868720
2004-03-15,3249987299
2004-03-16,3306899519
2004-03-17,3384779400
2004-03-18,3359817900
2004-03-19,3344841000
2004-03-22,3277944180
2004-03-23,3338850240
2004-03-24,3355824060
2004-03-25,3434702400
2004-03-26,3455670060
2004-03-29,3445685460
2004-03-30,3449679299
2004-03-31,3422720880
2004-04-01,3500600760
2004-04-02,3507589980
2004-04-05,3516835000
2004-04-06,3650474730
2004-04-07,3642436250
2004-04-08,3529897530
2004-04-12,3546979299
2004-04-13,3530902340
2004-04-14,3491714750
2004-04-15,3507791709
2004-04-16,3537936010
2004-04-19,3570089930
2004-04-20,3607267900
2004-04-21,3623344860
2004-04-22,3606263090
2004-04-23,3628368910
2004-04-26,3619325620
2004-04-27,3712772950
2004-04-28,3653489160
2004-04-29,3519849430
2004-04-30,3476642600
2004-05-03,3420373240
2004-05-04,3408315520
2004-05-05,3386209700
2004-05-06,3316877810
2004-05-07,3224435290
2004-05-10,3189266940
2004-05-11,3208358330
2004-05-12,3230464150
2004-05-13,3212377570
2004-05-14,3215392000
2004-05-17,3148069730
2004-05-18,3186252510
2004-05-19,3227449719
2004-05-20,3220416049
2004-05-21,3325921100
2004-05-24,3396257799
2004-05-25,3376161600
2004-05-26,3315873000
2004-05-27,3305824900
2004-05-28,3335969200
2004-06-01,3260608450
2004-06-02,3290752750
2004-06-03,3282714270
2004-06-04,3290752750
2004-06-07,3310848950
2004-06-08,3329940340
2004-06-09,3299796040
2004-06-10,3366113500
2004-06-14,3358075020
2004-06-15,3388219320
2004-06-16,3517839810
2004-06-17,3484681080
2004-06-18,3509801330
2004-06-21,3494729180
2004-06-22,3513820570
2004-06-23,3611287140
2004-06-24,3557027400
2004-06-25,3502767660
2004-06-28,3474632980
2004-06-29,3435445390
2004-06-30,3461570450
2004-07-01,3446498299
2004-07-02,3424392480
2004-07-06,3366657840
2004-07-07,3493147840
2004-07-08,3419277680
2004-07-09,3441539920
2004-07-12,3418265760
2004-07-13,3419277680
2004-07-14,3420289599
2004-07-15,3393979680
2004-07-16,3356538640
2004-07-19,3314038000
2004-07-20,3400051200
2004-07-21,3319097599
2004-07-22,3251298960
2004-07-23,3230048640
2004-07-26,3140999680
2004-07-27,3239155920
2004-07-28,3216893680
2004-07-29,3288740000
2004-07-30,3335288320
2004-08-02,3379812800
2004-08-03,3351479039
2004-08-04,3497195520
2004-08-05,3426361120
2004-08-06,3439516080
2004-08-09,3451659120
2004-08-10,3556898800
2004-08-11,3517433920
2004-08-12,3431420719
2004-08-13,3396003520
2004-08-16,3494159760
2004-08-17,3663150400
2004-08-18,3710710640
2004-08-19,3768390080
2004-08-20,3739044400
2004-08-23,3673269599
2004-08-24,3695531840
