,CBH
2017-12-14,167589794
2017-12-15,168141077
2017-12-18,167406034
2017-12-19,166487230
2017-12-20,166487230
2017-12-21,166119708
2017-12-22,167038512
2017-12-26,167773555
2017-12-27,167773555
2017-12-28,166854751
2017-12-29,167222273
2018-01-02,167957316
2018-01-03,168508598
2018-01-04,171448770
2018-01-05,173470138
2018-01-08,170897488
2018-01-09,170713727
2018-01-10,169059880
2018-01-11,168692359
2018-01-12,169427402
2018-01-16,171081248
2018-01-17,171265009
2018-01-18,170346205
2018-01-19,168876120
2018-01-22,169059880
2018-01-23,170529966
2018-01-24,170346205
2018-01-25,170346205
2018-01-26,171265009
2018-01-29,170346205
2018-01-30,166854751
2018-01-31,167038512
2018-02-01,166854751
2018-02-02,167038512
2018-02-05,162444494
2018-02-06,165384666
2018-02-07,166487230
2018-02-08,167589794
2018-02-09,166303469
2018-02-12,167222273
2018-02-13,166487230
2018-02-14,167222273
2018-02-15,167406034
2018-02-16,169059880
2018-02-20,167957316
2018-02-21,170346205
2018-02-22,169243641
2018-02-23,168876120
2018-02-26,169794923
2018-02-27,168876120
2018-02-28,169427402
2018-03-01,170346205
2018-03-02,170897488
2018-03-05,170713727
2018-03-06,170713727
2018-03-07,171265009
2018-03-08,171448770
2018-03-09,171081248
2018-03-12,170346205
2018-03-13,168141077
2018-03-14,170897488
2018-03-15,169794923
2018-03-16,170529966
2018-03-19,168508598
2018-03-20,168692359
2018-03-21,169794923
2018-03-22,169243641
2018-03-23,169427402
2018-03-26,169611163
2018-03-27,169611163
2018-03-28,169427402
2018-03-29,169427402
2018-04-02,168692359
2018-04-03,169427402
2018-04-04,169243641
2018-04-05,170162445
2018-04-06,169243641
2018-04-09,169427402
2018-04-10,169243641
2018-04-11,169059880
2018-04-12,168692359
2018-04-13,168692359
2018-04-16,169243641
2018-04-17,169427402
2018-04-18,169427402
2018-04-19,168508598
2018-04-20,169978684
2018-04-23,170162445
2018-04-24,169794923
2018-04-25,168508598
2018-04-26,168692359
2018-04-27,168876120
2018-04-30,169794923
2018-05-01,169978684
2018-05-02,169978684
2018-05-03,170162445
2018-05-04,169059880
2018-05-07,169059880
2018-05-08,169794923
2018-05-09,170713727
2018-05-10,169611163
2018-05-11,170162445
2018-05-14,171081248
2018-05-15,169978684
2018-05-16,170897488
2018-05-17,171081248
2018-05-18,171448770
2018-05-21,172551334
2018-05-22,172183813
2018-05-23,171265009
2018-05-24,171632531
2018-05-25,170897488
2018-05-29,170897488
2018-05-30,170713727
2018-05-31,170713727
2018-06-01,171816291
2018-06-04,171816291
2018-06-05,172183813
2018-06-06,172183813
2018-06-07,172000052
2018-06-08,170713727
2018-06-11,170529966
2018-06-12,171081248
2018-06-13,172735095
2018-06-14,172735095
2018-06-15,172000052
2018-06-18,173102617
2018-06-19,171632531
2018-06-20,172183813
2018-06-21,172367574
2018-06-22,172551334
2018-06-25,170346205
2018-06-26,170346205
2018-06-27,170713727
2018-06-28,169978684
2018-06-29,169978684
2018-07-02,169243641
2018-07-03,169978684
2018-07-05,168692359
2018-07-06,168876120
2018-07-09,169427402
2018-07-10,170713727
2018-07-11,169059880
2018-07-12,169059880
2018-07-13,168692359
2018-07-16,168141077
2018-07-17,168508598
2018-07-18,168324837
2018-07-19,169059880
2018-07-20,169978684
2018-07-23,170162445
2018-07-24,168692359
2018-07-25,169427402
2018-07-26,169243641
2018-07-27,169611163
2018-07-30,168508598
2018-07-31,169427402
2018-08-01,168692359
2018-08-02,169794923
2018-08-03,170346205
2018-08-06,170529966
2018-08-07,170346205
2018-08-08,170897488
2018-08-09,170162445
2018-08-10,170162445
2018-08-13,171081248
2018-08-14,171816291
2018-08-15,170529966
2018-08-16,169978684
2018-08-17,170346205
2018-08-20,170346205
2018-08-21,169427402
2018-08-22,169427402
2018-08-23,170162445
2018-08-24,170529966
2018-08-27,169978684
2018-08-28,170162445
2018-08-29,170346205
2018-08-30,170529966
2018-08-31,171081248
2018-09-04,169978684
2018-09-05,169427402
2018-09-06,170713727
2018-09-07,170529966
2018-09-10,171265009
2018-09-11,171448770
2018-09-12,171448770
2018-09-13,171632531
2018-09-14,170713727
2018-09-17,169243641
2018-09-18,169427402
2018-09-19,169427402
2018-09-20,169059880
2018-09-21,169059880
2018-09-24,168692359
2018-09-25,168692359
2018-09-26,167957316
2018-09-27,167957316
2018-09-28,169059880
2018-10-01,169059880
2018-10-02,168876120
2018-10-03,168508598
2018-10-04,167773555
2018-10-05,167589794
2018-10-08,166487230
2018-10-09,167773555
2018-10-10,162628254
2018-10-11,163547058
2018-10-12,165384666
2018-10-15,165384666
2018-10-16,165752187
2018-10-17,165384666
2018-10-18,164649623
2018-10-19,163914580
2018-10-22,165568426
2018-10-23,163363297
2018-10-24,162628254
2018-10-25,162628254
2018-10-26,162444494
2018-10-29,162628254
2018-10-30,160239365
2018-10-31,162995776
2018-11-01,163914580
2018-11-02,163914580
2018-11-05,165017144
2018-11-06,163547058
2018-11-07,165200905
2018-11-08,165200905
2018-11-09,162444494
2018-11-12,161893211
2018-11-13,161525690
2018-11-14,158953040
2018-11-15,158953040
2018-11-16,158401757
2018-11-19,158034236
2018-11-20,155094064
2018-11-21,155094064
2018-11-23,156747911
2018-11-26,157115432
2018-11-27,156564150
2018-11-28,157666714
2018-11-29,157115432
2018-11-30,157299193
2018-12-03,157482954
2018-12-04,156931671
2018-12-06,155461586
2018-12-07,155094064
2018-12-10,155277825
2018-12-11,154175260
2018-12-12,153623978
2018-12-13,152888935
2018-12-14,151051328
2018-12-17,147008592
2018-12-18,147376113
2018-12-19,147192352
2018-12-20,144987223
2018-12-21,143517137
2018-12-24,142782094
2018-12-26,146273549
2018-12-27,146641070
2018-12-28,148846199
2018-12-31,146641070
2019-01-02,151602610
2019-01-03,151786371
2019-01-04,154542782
2019-01-07,156564150
2019-01-08,157666714
2019-01-09,158585518
2019-01-10,158769279
2019-01-11,158585518
2019-01-14,157666714
2019-01-15,157299193
2019-01-16,158769279
2019-01-17,160239365
2019-01-18,160055604
2019-01-22,158585518
2019-01-23,158034236
2019-01-24,158217997
2019-01-25,159871843
2019-01-28,161893211
2019-01-29,161709451
2019-01-30,161893211
2019-01-31,162812015
2019-02-01,162995776
2019-02-04,163363297
2019-02-05,163914580
2019-02-06,164098340
2019-02-07,163914580
2019-02-08,162628254
2019-02-11,163730819
2019-02-12,163730819
2019-02-13,164282101
2019-02-14,164649623
2019-02-15,164833383
2019-02-19,163914580
2019-02-20,165384666
2019-02-21,165017144
2019-02-22,166119708
2019-02-25,165384666
2019-02-26,165017144
2019-02-27,163730819
2019-02-28,165384666
2019-03-01,165935948
2019-03-04,165935948
2019-03-05,165935948
2019-03-06,165384666
2019-03-07,165384666
2019-03-08,164649623
2019-03-11,163730819
2019-03-12,165200905
2019-03-13,165935948
2019-03-14,165752187
2019-03-15,165384666
2019-03-18,166487230
2019-03-19,164098340
2019-03-20,163730819
2019-03-21,165568426
2019-03-22,165200905
2019-03-25,165384666
2019-03-26,165384666
2019-03-27,165017144
2019-03-28,164465862
2019-03-29,165384666
2019-04-01,166854751
2019-04-02,167589794
2019-04-03,167773555
2019-04-04,168876120
2019-04-05,169611163
2019-04-08,169427402
2019-04-09,169243641
2019-04-10,168141077
2019-04-11,167957316
2019-04-12,168324837
2019-04-15,168508598
2019-04-16,170162445
2019-04-17,169427402
2019-04-18,168508598
2019-04-22,168692359
2019-04-23,168692359
2019-04-24,168876120
2019-04-25,169059880
2019-04-26,168508598
2019-04-29,168876120
2019-04-30,169611163
2019-05-01,170162445
2019-05-02,169978684
2019-05-03,168876120
2019-05-06,169059880
2019-05-07,168692359
2019-05-08,169059880
2019-05-09,168876120
2019-05-10,167589794
2019-05-13,166487230
2019-05-14,168141077
2019-05-15,168324837
2019-05-16,168324837
2019-05-17,167406034
2019-05-20,167222273
2019-05-21,166670991
2019-05-22,166487230
2019-05-23,168141077
2019-05-24,166487230
2019-05-28,166670991
2019-05-29,165935948
2019-05-30,165568426
2019-05-31,165200905
2019-06-03,162995776
2019-06-04,164833383
2019-06-05,165384666
2019-06-06,166303469
2019-06-07,166670991
2019-06-10,167038512
2019-06-11,168876120
2019-06-12,165935948
2019-06-13,166670991
2019-06-14,167589794
2019-06-17,168141077
2019-06-18,168692359
2019-06-19,169243641
2019-06-20,169059880
2019-06-21,168692359
2019-06-24,168692359
2019-06-25,166670991
2019-06-26,167957316
2019-06-27,168141077
2019-06-28,169611163
2019-07-01,170162445
2019-07-02,170162445
2019-07-03,172551334
2019-07-05,171816291
2019-07-08,171632531
2019-07-09,171816291
2019-07-10,172000052
2019-07-11,172367574
2019-07-12,169978684
2019-07-15,169611163
2019-07-16,170897488
2019-07-17,170897488
2019-07-18,171632531
2019-07-19,170897488
2019-07-22,170529966
2019-07-23,171448770
2019-07-24,170897488
2019-07-25,170529966
2019-07-26,171265009
2019-07-29,171816291
2019-07-30,170713727
2019-07-31,170162445
2019-08-01,170346205
2019-08-02,169243641
2019-08-05,167038512
2019-08-06,169794923
2019-08-07,168876120
2019-08-08,169427402
2019-08-09,168324837
2019-08-12,172367574
2019-08-13,170897488
2019-08-14,168324837
2019-08-15,169059880
2019-08-16,169611163
2019-08-19,169978684
2019-08-20,169978684
2019-08-21,169794923
2019-08-22,170162445
2019-08-23,170162445
2019-08-26,169978684
2019-08-27,169059880
2019-08-28,169611163
2019-08-29,172183813
2019-08-30,172183813
2019-09-03,172551334
2019-09-04,173653899
2019-09-05,172367574
2019-09-06,174205181
2019-09-09,174021420
2019-09-10,172367574
2019-09-11,173470138
2019-09-12,174756463
2019-09-13,173837660
2019-09-16,173653899
2019-09-17,174388942
2019-09-18,174572703
2019-09-19,176042788
2019-09-20,174940224
2019-09-23,174572703
2019-09-24,174205181
2019-09-25,174756463
2019-09-26,174572703
2019-09-27,174572703
2019-09-30,172183813
2019-10-01,174205181
2019-10-02,172551334
2019-10-03,172918856
2019-10-04,172551334
2019-10-07,173653899
2019-10-08,172918856
2019-10-09,173653899
2019-10-10,172000052
2019-10-11,172551334
2019-10-14,172183813
2019-10-15,172551334
2019-10-16,173102617
2019-10-17,172551334
2019-10-18,172735095
2019-10-21,173470138
2019-10-22,174021420
2019-10-23,174940224
2019-10-24,173837660
2019-10-25,174572703
2019-10-28,173653899
2019-10-29,174021420
2019-10-30,174756463
2019-10-31,174940224
2019-11-01,177145353
2019-11-04,176961592
2019-11-05,176961592
2019-11-06,178615439
2019-11-07,178064157
2019-11-08,176777831
2019-11-11,177880396
2019-11-12,178247917
2019-11-13,178982960
2019-11-14,177329114
2019-11-15,178615439
2019-11-18,178799200
2019-11-19,178982960
2019-11-20,178982960
2019-11-21,175307745
2019-11-22,176961592
2019-11-25,178247917
2019-11-26,179718003
2019-11-27,178431678
2019-11-29,180085525
2019-12-02,178247917
2019-12-03,178982960
2019-12-04,179901764
2019-12-05,180085525
2019-12-06,180085525
2019-12-09,181004328
2019-12-10,179350482
2019-12-11,176961592
2019-12-12,177512874
2019-12-13,178247917
2019-12-16,178615439
2019-12-17,176594071
2019-12-18,177145353
2019-12-19,176777831
2019-12-20,177329114
2019-12-23,177880396
2019-12-24,177145353
2019-12-26,178064157
2019-12-27,178064157
2019-12-30,176777831
2019-12-31,177329114
2020-01-02,178064157
2020-01-03,177696635
2020-01-06,177880396
2020-01-07,179166721
2020-01-08,180269285
2020-01-09,179166721
2020-01-10,180269285
2020-01-13,181371850
2020-01-14,182290654
2020-01-15,179901764
2020-01-16,179901764
2020-01-17,179166721
2020-01-21,181188089
2020-01-22,181004328
2020-01-23,179901764
2020-01-24,182841936
2020-01-27,181555611
2020-01-28,180085525
2020-01-29,179718003
2020-01-30,178799200
2020-01-31,177696635
2020-02-03,178799200
2020-02-04,179718003
2020-02-05,180820568
2020-02-06,182841936
2020-02-07,183576979
2020-02-10,182841936
2020-02-11,182474414
2020-02-12,181004328
2020-02-13,181923132
2020-02-14,181004328
2020-02-18,181004328
2020-02-19,182658175
2020-02-20,181371850
2020-02-21,183025697
2020-02-24,181004328
2020-02-25,175859028
2020-02-26,176042788
2020-02-27,172735095
2020-02-28,167957316
2020-03-02,172711333
2020-03-03,174537034
2020-03-04,176910446
2020-03-05,175449885
2020-03-06,171615912
2020-03-09,162669976
2020-03-10,163217687
2020-03-11,155184602
2020-03-12,144047824
2020-03-13,150437778
2020-03-16,136562449
2020-03-17,140578992
2020-03-18,104064968
2020-03-19,128529364
2020-03-20,131450486
2020-03-23,115749456
2020-03-24,133641327
2020-03-25,131085346
2020-03-26,133823897
2020-03-27,134371608
2020-03-30,143317544
2020-03-31,140031282
2020-04-01,135467029
2020-04-02,133641327
2020-04-03,131085346
2020-04-06,138753291
2020-04-07,141126702
2020-04-08,146056096
2020-04-09,152628620
2020-04-13,144230394
2020-04-14,148429507
2020-04-15,147334086
2020-04-16,143134974
2020-04-17,146421236
2020-04-20,145508385
2020-04-21,140944132
2020-04-22,142039553
2020-04-23,142404693
2020-04-24,144230394
2020-04-27,146238666
2020-04-28,143682684
2020-04-29,144778105
2020-04-30,143134974
2020-05-01,139848711
2020-05-04,139666141
2020-05-05,142769833
2020-05-06,144595535
2020-05-07,145690955
2020-05-08,146421236
2020-05-11,147881797
2020-05-12,147699227
2020-05-13,145690955
2020-05-14,144230394
2020-05-15,142952403
2020-05-18,144960675
2020-05-19,145143245
2020-05-20,148429507
2020-05-21,148064367
2020-05-22,148977217
2020-05-26,151350629
2020-05-27,155002031
2020-05-28,159748855
2020-05-29,159201144
2020-06-01,164313108
2020-06-02,163400257
2020-06-03,164678248
2020-06-04,164860818
2020-06-05,165043388
2020-06-08,163947967
2020-06-09,161939696
2020-06-10,164313108
2020-06-11,157375443
2020-06-12,161026845
2020-06-15,159566284
2020-06-16,160479135
2020-06-17,159383714
2020-06-18,159201144
2020-06-19,159383714
2020-06-22,160296565
2020-06-23,161026845
2020-06-24,158105723
2020-06-25,159383714
2020-06-26,157558013
2020-06-29,158836004
2020-06-30,162122266
2020-07-01,163582827
2020-07-02,162487406
2020-07-06,158836004
2020-07-07,158653434
2020-07-08,161026845
2020-07-09,161026845
2020-07-10,160844275
2020-07-13,160479135
2020-07-14,164313108
2020-07-15,162487406
2020-07-16,163217687
2020-07-17,162487406
2020-07-20,163400257
2020-07-21,165773668
2020-07-22,167964510
2020-07-23,166503949
2020-07-24,164495678
2020-07-27,165591098
2020-07-28,164130537
2020-07-29,165225958
2020-07-30,167964510
2020-07-31,168877361
2020-08-03,169425071
2020-08-04,167781940
2020-08-05,169607641
2020-08-06,170885632
2020-08-07,168147080
2020-08-10,167964510
2020-08-11,170155351
2020-08-12,168512220
2020-08-13,168147080
2020-08-14,169242501
2020-08-17,170337921
2020-08-18,168147080
2020-08-19,167051659
2020-08-20,166138809
2020-08-21,166138809
2020-08-24,166503949
2020-08-25,165408528
2020-08-26,166138809
2020-08-27,166138809
2020-08-28,164860818
2020-08-31,167416800
2020-09-01,167964510
2020-09-02,169242501
2020-09-03,165408528
2020-09-04,167416800
2020-09-08,165225958
2020-09-09,166869089
2020-09-10,167599370
2020-09-11,165773668
2020-09-14,166869089
2020-09-15,165956239
2020-09-16,165408528
2020-09-17,165043388
2020-09-18,165408528
2020-09-21,165773668
2020-09-22,165956239
2020-09-23,163400257
2020-09-24,161574556
2020-09-25,161391986
2020-09-28,162122266
2020-09-29,160844275
2020-09-30,160661705
2020-10-01,163217687
2020-10-02,164860818
2020-10-05,165043388
2020-10-06,165408528
2020-10-07,165225958
2020-10-08,165773668
2020-10-09,163947967
2020-10-12,164860818
2020-10-13,166503949
2020-10-14,166686519
2020-10-15,166503949
2020-10-16,165591098
2020-10-19,164313108
2020-10-20,165591098
2020-10-21,165591098
2020-10-22,165043388
2020-10-23,164130537
2020-10-26,163035117
2020-10-27,163947967
2020-10-28,162122266
2020-10-29,161757126
2020-10-30,161574556
2020-11-02,163765397
2020-11-03,165956239
2020-11-04,166503949
2020-11-05,167416800
2020-11-06,167051659
2020-11-09,167234229
2020-11-10,166869089
2020-11-11,169059931
2020-11-12,169607641
2020-11-13,169059931
2020-11-16,169972781
2020-11-17,169425071
2020-11-18,171798482
2020-11-19,176910446
2020-11-20,176727876
2020-11-23,174719604
2020-11-24,176545306
2020-11-25,176545306
2020-11-27,177640726
2020-11-30,180379278
2020-12-01,177458156
2020-12-02,176545306
2020-12-03,178005867
2020-12-04,178918717
2020-12-07,177640726
2020-12-08,180379278
2020-12-09,182022409
2020-12-10,179101287
2020-12-11,179648998
2020-12-14,179648998
2020-12-15,182022409
2020-12-16,181839839
2020-12-17,180744418
2020-12-18,181474699
2020-12-21,180014138
2020-12-22,180014138
2020-12-23,180196708
2020-12-24,180744418
2020-12-28,182204979
2020-12-29,181657269
2020-12-30,182204979
2020-12-31,182387549
2021-01-04,180926988
2021-01-05,180014138
2021-01-06,181474699
2021-01-07,182022409
2021-01-08,181839839
2021-01-11,181839839
2021-01-12,181109559
2021-01-13,182752690
2021-01-14,182022409
2021-01-15,182022409
2021-01-19,181657269
2021-01-20,182204979
2021-01-21,182570120
2021-01-22,181474699
2021-01-25,182387549
2021-01-26,182022409
2021-01-27,181657269
2021-01-28,182387549
2021-01-29,181474699
2021-02-01,182935260
2021-02-02,183848110
2021-02-03,182387549
2021-02-04,182387549
2021-02-05,185856382
2021-02-08,184395821
2021-02-09,184943531
2021-02-10,185126101
2021-02-11,184943531
2021-02-12,184395821
2021-02-16,183848110
2021-02-17,184030680
2021-02-18,183117830
2021-02-19,184760961
2021-02-22,182935260
2021-02-23,182935260
2021-02-24,183665540
2021-02-25,182204979
2021-02-26,183300400
2021-03-01,185639770
2021-03-02,186005203
2021-03-03,186370636
2021-03-04,183629891
2021-03-05,186187919
2021-03-08,186187919
2021-03-09,189111380
2021-03-10,189294097
2021-03-11,188380515
2021-03-12,186187919
2021-03-15,188015082
2021-03-16,188015082
2021-03-17,189111380
2021-03-18,186370636
2021-03-19,188015082
2021-03-22,186370636
2021-03-23,185457054
2021-03-24,187101501
2021-03-25,187284217
2021-03-26,187101501
2021-03-29,186370636
2021-03-30,186736068
2021-03-31,189294097
2021-04-01,188380515
2021-04-05,187649650
2021-04-06,190207678
2021-04-07,189842246
2021-04-08,190938543
2021-04-09,190390395
2021-04-12,190938543
2021-04-13,190024962
2021-04-14,191486692
2021-04-15,189842246
2021-04-16,189842246
2021-04-19,189111380
2021-04-20,189659529
2021-04-21,190938543
2021-04-22,190390395
2021-04-23,191486692
2021-04-26,190207678
2021-04-27,190755827
2021-04-28,191121260
2021-04-29,190755827
2021-04-30,190755827
2021-05-03,189659529
2021-05-04,189294097
2021-05-05,188563231
2021-05-06,189659529
2021-05-07,190024962
2021-05-10,189294097
2021-05-11,188380515
2021-05-12,183264458
2021-05-13,184360756
2021-05-14,184908905
2021-05-17,186736068
2021-05-18,185822487
2021-05-19,185639770
2021-05-20,189659529
2021-05-21,187649650
2021-05-24,187832366
2021-05-25,187649650
2021-05-26,189476813
2021-05-27,187832366
2021-05-28,189476813
2021-06-01,188928664
2021-06-02,188380515
2021-06-03,187832366
2021-06-04,188745948
2021-06-07,190573111
2021-06-08,188745948
2021-06-09,189842246
2021-06-10,191669409
2021-06-11,190938543
2021-06-14,191303976
2021-06-15,190207678
2021-06-16,190390395
2021-06-17,190024962
2021-06-18,189476813
2021-06-21,189659529
2021-06-22,189476813
2021-06-23,188745948
2021-06-24,189294097
2021-06-25,189476813
2021-06-28,191852125
2021-06-29,191121260
2021-06-30,190755827
2021-07-01,192217558
2021-07-02,191852125
2021-07-06,191852125
2021-07-07,192948423
2021-07-08,191486692
2021-07-09,190207678
2021-07-12,189476813
2021-07-13,191121260
2021-07-14,189294097
2021-07-15,192034841
2021-07-16,188745948
2021-07-19,188928664
2021-07-20,189842246
2021-07-21,190390395
2021-07-22,191852125
2021-07-23,191852125
2021-07-26,194410153
2021-07-27,191121260
2021-07-28,190938543
2021-07-29,190024962
2021-07-30,188563231
2021-08-02,189659529
2021-08-03,189476813
2021-08-04,189659529
2021-08-05,189111380
2021-08-06,189294097
2021-08-09,189842246
2021-08-10,189659529
2021-08-11,192034841
2021-08-12,193862004
2021-08-13,190573111
2021-08-16,188197799
2021-08-17,188380515
2021-08-18,188015082
2021-08-19,187832366
2021-08-20,188015082
2021-08-23,188015082
2021-08-24,187832366
2021-08-25,188197799
2021-08-26,188380515
2021-08-27,188197799
2021-08-30,187466934
2021-08-31,188745948
2021-09-01,193679288
2021-09-02,191669409
2021-09-03,191121260
2021-09-07,190938543
2021-09-08,189294097
2021-09-09,188563231
2021-09-10,188015082
2021-09-13,189476813
2021-09-14,188197799
2021-09-15,191121260
2021-09-16,191303976
2021-09-17,189294097
2021-09-20,188015082
2021-09-21,187466934
2021-09-22,188380515
2021-09-23,187649650
2021-09-24,187466934
2021-09-27,188015082
2021-09-28,186918785
2021-09-29,186918785
2021-09-30,188745948
2021-10-01,189294097
2021-10-04,187832366
2021-10-05,189659529
2021-10-06,188015082
2021-10-07,188015082
2021-10-08,189294097
2021-10-11,189476813
2021-10-12,189476813
2021-10-13,187832366
2021-10-14,188380515
2021-10-15,189476813
2021-10-18,189659529
2021-10-19,189111380
2021-10-20,189659529
2021-10-21,190207678
2021-10-22,189294097
2021-10-25,189476813
2021-10-26,191669409
2021-10-27,189842246
2021-10-28,191852125
2021-10-29,196968182
2021-11-01,191486692
2021-11-02,192765707
2021-11-03,193313855
2021-11-04,194227437
2021-11-05,194227437
2021-11-08,195141019
2021-11-09,195689168
2021-11-10,193679288
2021-11-11,196785465
2021-11-12,199343494
2021-11-15,197150898
2021-11-16,194958302
2021-11-17,192400274
2021-11-18,195871884
2021-11-19,194592870
2021-11-22,189294097
2021-11-23,188380515
2021-11-24,187466934
2021-11-26,185822487
2021-11-29,186370636
2021-11-30,185457054
2021-12-01,183264458
2021-12-02,183812607
2021-12-03,182716310
2021-12-06,184178040
2021-12-07,188197799
2021-12-08,189111380
2021-12-09,194044721
2021-12-10,193679288
2021-12-13,198064480
2021-12-14,185457054
2021-12-15,184543473
2021-12-16,184178040
2021-12-17,184543473
2021-12-20,183812607
2021-12-21,184360756
2021-12-22,185274338
2021-12-23,181802728
2021-12-27,180706430
2021-12-28,180340997
2021-12-29,179610132
2021-12-30,180158281
2021-12-31,180340997
2022-01-03,178513834
2022-01-04,179610132
2022-01-05,178879267
2022-01-06,183812607
2022-01-07,184360756
2022-01-10,184178040
2022-01-11,184908905
2022-01-12,185274338
2022-01-13,183629891
2022-01-14,182533593
2022-01-18,181071863
2022-01-19,179061983
2022-01-20,179610132
2022-01-21,178148402
2022-01-24,178696551
2022-01-25,179244700
2022-01-26,179427416
2022-01-27,180523714
2022-01-28,179792849
2022-01-31,180523714
2022-02-01,180340997
2022-02-02,179427416
2022-02-03,178331118
2022-02-04,178331118
2022-02-07,180340997
2022-02-08,179792849
2022-02-09,183629891
2022-02-10,178513834
2022-02-11,178879267
2022-02-14,174676792
2022-02-15,177965685
2022-02-16,178879267
2022-02-17,175407657
2022-02-18,175590373
2022-02-22,173032345
2022-02-23,168099005
2022-02-24,169378019
2022-02-25,171022466
2022-02-28,173032345
2022-03-01,174859508
2022-03-02,173763210
2022-03-03,176138522
2022-03-04,176503955
2022-03-07,172484196
2022-03-08,170657033
2022-03-09,171205182
2022-03-10,170839749
2022-03-11,169560735
2022-03-14,168829870
2022-03-15,168829870
2022-03-16,167185423
2022-03-17,168829870
2022-03-18,175224941
2022-03-21,169926168
2022-03-22,170108884
2022-03-23,168829870
2022-03-24,169743451
2022-03-25,169378019
2022-03-28,168829870
2022-03-29,170839749
2022-03-30,173032345
2022-03-31,170657033
2022-04-01,169378019
2022-04-04,171387898
2022-04-05,169743451
2022-04-06,168281721
2022-04-07,169743451
2022-04-08,169012586
2022-04-11,168464437
2022-04-12,170839749
2022-04-13,169926168
2022-04-14,170108884
2022-04-18,170839749
2022-04-19,170657033
2022-04-20,170108884
2022-04-21,169560735
2022-04-22,169195303
2022-04-25,169195303
2022-04-26,174311359
2022-04-27,174128643
2022-04-28,171936047
2022-04-29,168829870
2022-05-02,167368139
2022-05-03,168281721
2022-05-04,168281721
2022-05-05,168099005
2022-05-06,167733572
2022-05-09,167368139
2022-05-10,167002707
2022-05-11,164261962
2022-05-12,162617515
2022-05-13,162069366
2022-05-16,159694054
2022-05-17,159511338
2022-05-18,159145906
2022-05-19,161886650
2022-05-20,159511338
2022-05-23,160790352
2022-05-24,159145906
2022-05-25,160607636
2022-05-26,161886650
2022-05-27,162252083
2022-05-31,162252083
2022-06-01,162069366
2022-06-02,162982948
2022-06-03,162252083
2022-06-06,162800232
2022-06-07,163348381
2022-06-08,162800232
2022-06-09,167368139
2022-06-10,169012586
2022-06-13,162617515
2022-06-14,161155785
2022-06-15,162252083
2022-06-16,160607636
2022-06-17,160424920
2022-06-21,160973069
2022-06-22,161338501
2022-06-23,158232324
2022-06-24,159694054
2022-06-27,158597757
2022-06-28,156405161
2022-06-29,157684175
2022-06-30,157318742
2022-07-01,159328622
2022-07-05,158597757
2022-07-06,158049608
2022-07-07,158597757
2022-07-08,157136026
2022-07-11,157318742
2022-07-12,157318742
2022-07-13,156587877
2022-07-14,156222445
2022-07-15,157684175
