,THC
2000-12-27,13940171437
2000-12-28,14563757428
2000-12-29,14302253812
2001-01-02,13980403134
2001-01-03,13336700812
2001-01-04,12552189000
2001-01-05,13296469115
2001-01-08,13638436125
2001-01-09,13859709009
2001-01-10,14282138446
2001-01-11,14000518500
2001-01-12,13477510303
2001-01-16,13779245615
2001-01-17,13216006687
2001-01-18,13034965500
2001-01-19,12230338321
2001-01-22,13135544259
2001-01-23,14020633865
2001-01-24,13839592678
2001-01-25,14040750196
2001-01-26,13980403134
2001-01-29,13800970558
2001-01-30,13710852358
2001-01-31,14039140620
2001-02-01,14193628858
2001-02-02,14190410670
2001-02-05,14248343246
2001-02-06,14364210451
2001-02-07,14531572891
2001-02-08,14196847167
2001-02-09,14006954996
2001-02-12,14737557330
2001-02-13,14679623667
2001-02-14,14711809169
2001-02-15,14631346741
2001-02-16,14612035319
2001-02-20,14563757428
2001-02-21,14676405358
2001-02-22,14708590981
2001-02-23,14776179329
2001-02-26,14274092252
2001-02-27,14830893717
2001-02-28,15054295176
2001-03-01,14848697826
2001-03-02,14848697826
2001-03-05,14750793959
2001-03-06,14669208035
2001-03-07,14623519286
2001-03-08,14408131342
2001-03-09,14192744253
2001-03-12,13771758959
2001-03-13,13540053927
2001-03-14,13233289464
2001-03-15,13083171457
2001-03-16,13161494135
2001-03-19,13360564136
2001-03-20,13383408572
2001-03-21,13380145326
2001-03-22,12890627826
2001-03-23,13491102055
2001-03-26,13934931785
2001-03-27,13396462290
2001-03-28,13461731250
2001-03-29,14401604850
2001-03-30,14359180326
2001-04-02,14359180326
2001-04-03,14359180326
2001-04-04,15051031073
2001-04-05,15109773540
2001-04-06,15011869673
2001-04-09,14685525000
2001-04-10,14865014790
2001-04-11,14705106189
2001-04-12,14868278036
2001-04-16,15321897382
2001-04-17,15331687977
2001-04-18,14734476994
2001-04-19,14009991217
2001-04-20,13882716544
2001-04-23,13934931785
2001-04-24,14186216905
2001-04-25,14359180326
2001-04-26,14404868096
2001-04-27,14496244614
2001-04-30,14568040922
2001-05-01,15011869673
2001-05-02,14577831517
2001-05-03,14512562557
2001-05-04,14571304168
2001-05-07,14277593423
2001-05-08,14049152617
2001-05-09,14036098776
2001-05-10,13983883657
2001-05-11,14019780955
2001-05-14,14081786668
2001-05-15,14290647264
2001-05-16,14819326042
2001-05-17,14754057205
2001-05-18,14678998630
2001-05-21,14277593423
2001-05-22,14189481130
2001-05-23,14029571427
2001-05-24,14512562557
2001-05-25,14581094640
2001-05-29,14770375026
2001-05-30,14917229909
2001-05-31,14845433723
2001-06-01,14822590267
2001-06-04,15191359464
2001-06-05,15445908809
2001-06-06,15827731847
2001-06-07,15755937497
2001-06-08,15902792380
2001-06-11,15540548573
2001-06-12,16258507859
2001-06-13,16150813397
2001-06-14,16300932382
2001-06-15,16672966661
2001-06-18,16676229051
2001-06-19,16591379881
2001-06-20,16914461309
2001-06-21,16823083934
2001-06-22,16633804405
2001-06-25,16513057081
2001-06-26,16382519285
2001-06-27,16610960948
2001-06-28,16761080056
2001-06-29,16839402734
2001-07-02,16545691132
2001-07-03,16539164640
2001-07-05,16317249347
2001-07-06,16317249347
2001-07-09,16366202198
2001-07-10,16888353750
2001-07-11,17945711427
2001-07-12,17609575302
2001-07-13,17475775117
2001-07-16,17687899815
2001-07-17,17851071785
2001-07-18,18193734402
2001-07-19,17877179344
2001-07-20,17900022801
2001-07-23,17988136073
2001-07-24,17609575302
2001-07-25,17769484882
2001-07-26,18046877684
2001-07-27,17818437734
2001-07-30,17652001661
2001-07-31,18115411602
2001-08-01,18128464464
2001-08-02,17704216902
2001-08-03,17655264051
2001-08-06,17668318748
2001-08-07,17864124647
2001-08-08,17671581015
2001-08-09,17727060359
2001-08-10,18079513448
2001-08-13,18063196484
2001-08-14,18118673869
2001-08-15,18063196484
2001-08-16,18161098515
2001-08-17,17746641426
2001-08-20,18037088925
2001-08-21,18239421193
2001-08-22,18696304764
2001-08-23,18823580293
2001-08-24,18764836847
2001-08-27,18617981964
2001-08-28,18461336609
2001-08-29,18337325060
2001-08-30,18582083810
2001-08-31,18060325060
2001-09-04,18666464576
2001-09-05,19028191386
2001-09-06,19109662288
2001-09-07,18819627750
2001-09-10,18500265143
2001-09-17,17890866166
2001-09-18,17923455651
2001-09-19,17760513848
2001-09-20,18249335348
2001-09-21,17688821576
2001-09-24,17881091325
2001-09-25,18620840788
2001-09-26,19086849477
2001-09-27,19552860000
2001-09-28,19438801568
2001-10-01,19301932159
2001-10-02,19259567833
2001-10-03,19031450848
2001-10-04,19624554227
2001-10-05,19878741651
2001-10-08,19764683098
2001-10-09,19513753424
2001-10-10,19960210598
2001-10-11,19409471545
2001-10-12,19455095333
2001-10-15,20269798485
2001-10-16,20005834386
2001-10-17,20025387735
2001-10-18,19842894538
2001-10-19,19878741651
2001-10-22,20279575159
2001-10-23,19813564514
2001-10-24,19158543704
2001-10-25,19064038500
2001-10-26,18927169091
2001-10-29,19240014484
2001-10-30,19220461257
2001-10-31,18744675893
2001-11-01,18712086408
2001-11-02,18470935120
2001-11-05,18314512485
2001-11-06,18640394014
2001-11-07,18223264908
2001-11-08,17630161651
2001-11-09,17965819855
2001-11-12,18356876689
2001-11-13,18558923235
2001-11-14,18770746333
2001-11-15,18884804764
2001-11-16,18933686181
2001-11-19,19152026492
2001-11-20,19683212318
2001-11-21,19572413348
2001-11-23,19663658969
2001-11-26,19530049022
2001-11-27,19187873605
2001-11-28,19129215514
2001-11-29,19357330666
2001-11-30,19591920000
2001-12-03,19627838724
2001-12-04,19794370166
2001-12-05,19820492685
2001-12-06,19608246314
2001-12-07,19542940934
2001-12-10,19288245729
2001-12-11,19575593685
2001-12-12,19418858448
2001-12-13,19493960032
2001-12-14,19869471751
2001-12-17,19523348524
2001-12-18,19441714994
2001-12-19,19046610866
2001-12-20,19102122000
2001-12-21,18749466827
2001-12-24,19036814783
2001-12-26,18919264243
2001-12-27,19102122000
2001-12-28,19147836928
2001-12-31,19173959448
2002-01-02,19396000065
2002-01-03,19591920000
2002-01-04,20244983346
2002-01-07,20408250653
2002-01-08,20222126800
2002-01-09,20277637934
2002-01-10,20440903281
2002-01-11,20620495065
2002-01-14,21149477762
2002-01-15,21296416795
2002-01-16,21423765377
2002-01-17,21005802866
2002-01-18,21061314000
2002-01-22,21159273967
2002-01-23,20767435934
2002-01-24,20787026507
2002-01-25,20496414415
2002-01-28,20440903281
2002-01-29,20215596691
2002-01-30,20506208783
2002-01-31,20829477177
2002-02-01,20672740103
2002-02-04,20568250026
2002-02-05,21175600281
2002-02-06,21338865751
2002-02-07,21306213000
2002-02-08,21289886685
2002-02-11,20832741314
2002-02-12,21041721590
2002-02-13,20813149026
2002-02-14,20261309783
2002-02-15,19755185346
2002-02-19,19591920000
2002-02-20,19631104697
2002-02-21,20179677967
2002-02-22,20166615789
2002-02-25,20215596691
2002-02-26,19591920000
2002-02-27,19363347314
2002-02-28,18806557000
2002-03-01,18936818785
2002-03-04,18448336785
2002-03-05,19161520016
2002-03-06,19145237568
2002-03-07,19415530901
2002-03-08,19640232132
2002-03-11,19864935317
2002-03-12,19962630252
2002-03-13,20659532867
2002-03-14,20434829682
2002-03-15,20835384799
2002-03-18,20643248465
2002-03-19,20460882014
2002-03-20,20880976901
2002-03-21,21157782797
2002-03-22,21066600549
2002-03-25,21232684551
2002-03-26,21340151202
2002-03-27,21626726983
2002-03-28,21825375882
2002-04-01,21936097898
2002-04-02,22225931000
2002-04-03,21949124981
2002-04-04,21949124981
2002-04-05,22164056450
2002-04-08,22574381452
2002-04-09,22812109766
2002-04-10,23092172983
2002-04-11,23199637802
2002-04-12,22795827317
2002-04-15,22698130551
2002-04-16,22779544747
2002-04-17,23108455431
2002-04-18,23482958216
2002-04-19,24134266898
2002-04-22,23808613534
2002-04-23,23727199216
2002-04-24,23756508747
2002-04-25,24056109901
2002-04-26,24254758799
2002-04-29,23349439233
2002-04-30,23893283218
2002-05-01,23987722665
2002-05-02,23886770532
2002-05-03,23968183018
2002-05-06,24352455566
2002-05-07,23942130564
2002-05-08,24134266898
2002-05-09,23658811981
2002-05-10,23284309317
2002-05-13,22965166564
2002-05-14,23294079202
2002-05-15,23235460018
2002-05-16,23382004252
2002-05-17,23642529532
2002-05-20,23121480682
2002-05-21,23251742467
2002-05-22,22978193768
2002-05-23,23225690134
2002-05-24,22984706332
2002-05-28,23456905884
2002-05-29,23766276799
2002-05-30,24163576551
2002-05-31,24261273317
2002-06-03,24101702002
2002-06-04,23287564684
2002-06-05,23890025898
2002-06-06,23870486252
2002-06-07,24365482648
2002-06-10,24779063016
2002-06-11,24814885233
2002-06-12,24782320214
2002-06-13,24795345465
2002-06-14,24394790469
2002-06-17,24326403233
2002-06-18,24925609082
2002-06-19,25433629018
2002-06-20,24554361785
2002-06-21,24342685682
2002-06-24,23251742467
2002-06-25,23124738002
2002-06-26,23398288532
2002-06-27,23609962682
2002-06-28,23300591766
2002-07-01,23154047532
2002-07-02,22763260467
2002-07-03,23251742467
2002-07-05,23784187969
2002-07-08,23559486615
2002-07-09,23193125115
2002-07-10,22352935465
2002-07-11,23544832766
2002-07-12,23764650032
2002-07-15,23398288532
2002-07-16,22587408534
2002-07-17,23202895000
2002-07-18,22924460382
2002-07-19,22323627766
2002-07-22,20242693469
2002-07-23,20350159997
2002-07-24,21615328500
2002-07-25,22050077235
2002-07-26,21859569500
2002-07-29,21932842532
2002-07-30,21791182264
2002-07-31,23276168032
2002-08-01,23290821882
2002-08-02,23383632851
2002-08-05,23368979002
2002-08-06,23447136000
2002-08-07,23618103967
2002-08-08,24301979500
2002-08-09,23325015500
2002-08-12,22631371914
2002-08-13,22387130914
2002-08-14,23300591766
2002-08-15,23373862967
2002-08-16,23408056585
2002-08-19,23715800733
2002-08-20,23232204530
2002-08-21,23666953266
2002-08-22,23715800733
2002-08-23,23344555268
2002-08-26,23579026384
2002-08-27,23139391851
2002-08-28,22816993731
2002-08-29,22890266764
2002-08-30,23041695085
2002-09-03,22041205113
2002-09-04,22162443863
2002-09-05,22671646250
2002-09-06,22904424407
2002-09-09,23331185292
2002-09-10,23447573522
2002-09-11,24068317134
2002-09-12,24368988750
2002-09-13,24819997021
2002-09-16,25023677272
2002-09-17,24344741363
2002-09-18,24116811907
2002-09-19,23583362134
2002-09-20,23544564886
2002-09-23,23205096022
2002-09-24,23006264593
2002-09-25,23277840000
2002-09-26,23811289772
2002-09-27,24029519886
2002-09-30,24005272500
2002-10-01,24296244772
2002-10-02,24999429886
2002-10-03,25314651363
2002-10-04,24509626184
2002-10-07,24655112321
2002-10-08,24499926842
2002-10-09,24393236136
2002-10-10,24053767272
2002-10-11,23956777727
2002-10-14,23767643701
2002-10-15,24441732727
2002-10-16,24519325406
2002-10-17,23690051022
2002-10-18,24262298043
2002-10-21,24514474886
2002-10-22,24213803271
2002-10-23,24514474886
2002-10-24,23539716184
2002-10-25,23913131656
2002-10-28,20610587500
2002-10-29,19034483750
2002-10-30,18898696956
2002-10-31,13942456250
2002-11-01,12851307500
2002-11-04,13093785000
2002-11-05,12715519736
2002-11-06,12744617763
2002-11-07,13554492613
2002-11-08,7225829257
2002-11-11,6789370000
2002-11-12,7264625657
2002-11-13,7177334121
2002-11-14,7545900042
2002-11-15,7919315149
2002-11-18,9092906250
2002-11-19,8491562171
2002-11-20,8656446992
2002-11-21,8370323421
2002-11-22,7953261757
2002-11-25,8011456842
2002-11-26,8486712500
2002-11-27,8801933007
2002-11-29,8947420113
2002-12-02,8356275477
2002-12-03,8393916357
2002-12-04,8822081250
2002-12-05,8807965567
2002-12-06,8657402164
2002-12-09,8186891164
2002-12-10,8262172924
2002-12-11,8139839947
2002-12-12,8469198000
2002-12-13,8408031922
2002-12-16,8417441554
2002-12-17,8106904294
2002-12-18,8069263414
2002-12-19,8017507910
2002-12-20,7222344085
2002-12-23,7316446167
2002-12-24,7335266607
2002-12-26,7236459180
2002-12-27,7118831430
2002-12-30,7434073917
2002-12-31,7716380164
2003-01-02,7984571317
2003-01-03,7895174932
2003-01-06,7848123597
2003-01-07,7993981772
2003-01-08,7951635664
2003-01-09,7975161802
2003-01-10,7928110585
2003-01-13,8323339825
2003-01-14,8478608455
2003-01-15,8864427357
2003-01-16,8704453500
2003-01-17,8845606447
2003-01-21,8770324804
2003-01-22,8727978697
2003-01-23,8930298544
2003-01-24,8615056174
2003-01-27,8497428424
2003-01-28,8492723197
2003-01-29,8516249335
2003-01-30,8210417302
2003-01-31,8464492772
2003-02-03,8422146664
2003-02-04,8422146664
2003-02-05,8403326695
2003-02-06,8210417302
2003-02-07,8422146664
2003-02-10,8657402164
2003-02-11,8492723197
2003-02-12,8201006847
2003-02-13,8012802682
2003-02-14,8149250402
2003-02-18,8290404172
2003-02-19,8248058182
2003-02-20,8186891164
2003-02-21,8351570250
2003-02-24,8177480827
2003-02-25,8153955629
2003-02-26,8116314750
2003-02-27,8351570250
2003-02-28,8549184870
2003-03-03,8539774414
2003-03-04,8290404172
2003-03-05,8257467697
2003-03-06,7956340892
2003-03-07,8097493839
2003-03-10,7979866089
2003-03-11,7834007914
2003-03-12,7810482835
2003-03-13,7998687000
2003-03-14,7881059250
2003-03-17,8092789552
2003-03-18,8469198000
2003-03-19,8257467697
2003-03-20,7998687000
2003-03-21,7881059250
2003-03-24,7782252410
2003-03-25,7852828825
2003-03-26,7857534052
2003-03-27,7763431500
2003-03-28,7843418370
2003-03-31,7767337348
2003-04-01,7799894932
2003-04-02,7711523799
2003-04-03,7604548732
2003-04-04,7330133716
2003-04-07,7106880683
2003-04-08,7055718700
2003-04-09,7004556832
2003-04-10,7023161232
2003-04-11,7139438732
2003-04-14,7418504383
2003-04-15,7116183116
2003-04-16,6697583767
2003-04-17,6855721283
2003-04-21,6423169332
2003-04-22,6599910667
2003-04-23,6627817500
2003-04-24,6697583767
2003-04-25,6772001832
2003-04-28,6665026300
2003-04-29,6827814916
2003-04-30,6902232516
2003-05-01,6841768100
2003-05-02,7251065016
2003-05-05,7255716232
2003-05-06,7339435683
2003-05-07,7325482500
2003-05-08,7367342516
2003-05-09,7441760000
2003-05-12,7465015151
2003-05-13,7474317583
2003-05-14,7674315000
2003-05-15,7441760000
2003-05-16,7478968799
2003-05-19,7423155600
2003-05-20,7488271232
2003-05-21,7348738116
2003-05-22,7302226883
2003-05-23,7232460616
2003-05-27,7506875167
2003-05-28,7832452516
2003-05-29,7799894932
2003-05-30,7762686132
2003-06-02,7753383700
2003-06-03,7692919865
2003-06-04,7534782348
2003-06-05,7441760000
2003-06-06,7567339932
2003-06-09,7441760000
2003-06-10,7539432634
2003-06-11,7534782348
2003-06-12,7390598016
2003-06-13,7144089483
2003-06-16,7348738116
2003-06-17,7544083851
2003-06-18,7720826232
2003-06-19,7571991148
2003-06-20,7548735067
2003-06-23,5585971216
2003-06-24,5581320000
2003-06-25,5558064383
2003-06-26,5451089316
2003-06-27,5418531267
2003-06-30,5401277618
2003-07-01,5308551934
2003-07-02,5327097094
2003-07-03,5317824745
2003-07-07,5392005270
2003-07-08,5633092118
2003-07-09,5609911131
2003-07-10,5438367938
2003-07-11,5494003881
2003-07-14,5470822315
2003-07-15,5772180934
2003-07-16,5623819770
2003-07-17,5494003881
2003-07-18,5591365971
2003-07-21,5596001914
2003-07-22,5656273684
2003-07-23,5660910090
2003-07-24,5554275188
2003-07-25,5735090730
2003-07-28,6156993004
2003-07-29,6351717184
2003-07-30,6384171561
2003-07-31,6388807504
2003-08-01,6370262344
2003-08-04,6203356020
2003-08-05,6101357524
2003-08-06,6050358565
2003-08-07,6755074414
2003-08-08,6671621425
2003-08-11,6833891344
2003-08-12,6819982590
2003-08-13,6750438471
2003-08-14,6717984094
2003-08-15,6620622004
2003-08-18,6629894815
2003-08-19,6704075340
2003-08-20,6731893311
2003-08-21,6792164618
2003-08-22,6806073835
2003-08-25,6949798594
2003-08-26,7200158254
2003-08-27,7302156750
2003-08-28,7510790147
2003-08-29,7441245102
2003-09-02,7506153741
2003-09-03,7487608118
2003-09-04,7408791188
2003-09-05,7260430024
2003-09-08,7306793155
2003-09-09,7135250425
2003-09-10,7139886600
2003-09-11,7093523700
2003-09-12,7074978540
2003-09-15,6945162420
2003-09-16,7005434190
2003-09-17,7070342250
2003-09-18,7153795470
2003-09-19,7167704340
2003-09-22,7028615640
2003-09-23,6815346300
2003-09-24,6898799520
2003-09-25,6870981780
2003-09-26,6787528560
2003-09-29,6852436620
2003-09-30,6737486080
2003-10-01,6872421920
2003-10-02,6932910400
2003-10-03,6960828160
2003-10-06,7077152160
2003-10-07,7119028800
2003-10-08,7114375840
2003-10-09,7137640640
2003-10-10,7165558400
2003-10-13,7165558400
2003-10-14,7216740960
2003-10-15,7142293600
2003-10-16,7370288640
2003-10-17,7328412000
2003-10-20,7258617600
2003-10-21,7165558400
2003-10-22,6318719680
2003-10-23,5839464800
2003-10-24,5834811840
2003-10-27,5909259200
2003-10-28,5979053600
2003-10-29,6449002560
2003-10-30,6411778880
2003-10-31,6421084800
2003-11-03,6276843040
2003-11-04,5993012480
2003-11-05,5909259200
2003-11-06,6100030560
2003-11-07,6239619360
2003-11-10,6165172000
2003-11-11,6062806880
2003-11-12,6039542080
2003-11-13,6146560160
2003-11-14,6165172000
2003-11-17,6188436800
2003-11-18,6351290400
2003-11-19,6379208160
2003-11-20,6281496000
2003-11-21,6397820000
2003-11-24,6663038720
2003-11-25,6700262400
2003-11-26,6784015680
2003-11-28,6797974560
2003-12-01,6998051840
2003-12-02,7235352800
2003-12-03,7081805120
2003-12-04,7025969600
2003-12-05,6993398880
2003-12-08,6891033760
2003-12-09,6839851200
2003-12-10,6746792000
2003-12-11,6858463040
2003-12-12,6863116000
2003-12-15,6853810080
2003-12-16,6904992640
2003-12-17,6863116000
2003-12-18,7114375840
2003-12-19,7063193280
2003-12-22,7295841280
2003-12-23,7240005760
2003-12-24,7188823200
2003-12-26,7253964640
2003-12-29,7398206400
2003-12-30,7402859360
2003-12-31,7468000800
2004-01-02,7458694880
2004-01-05,7509877440
2004-01-06,7598283679
2004-01-07,7584324800
2004-01-08,7588977759
2004-01-09,7593630720
2004-01-12,7626201440
2004-01-13,7612242560
2004-01-14,7886767200
2004-01-15,7886767200
2004-01-16,7882114240
2004-01-20,8468387200
2004-01-21,8398592800
2004-01-22,8375328000
2004-01-23,8110109280
2004-01-26,7910032000
2004-01-27,7514530399
2004-01-28,6132601280
2004-01-29,5713834880
2004-01-30,5769670400
2004-02-02,5676611200
2004-02-03,5816200000
2004-02-04,5755711520
2004-02-05,5667305280
2004-02-06,5960441760
2004-02-09,5653346400
2004-02-10,5746405600
2004-02-11,5806894080
2004-02-12,5816200000
2004-02-13,5685917120
2004-02-17,5797588160
2004-02-18,5895300320
2004-02-19,5820852960
2004-02-20,5709181920
2004-02-23,5741752640
2004-02-24,5681264160
2004-02-25,5732446720
2004-02-26,5657999360
2004-02-27,5592857920
2004-03-01,5639387520
2004-03-02,5583552000
2004-03-03,5588204960
2004-03-04,5592857920
2004-03-05,5620775680
2004-03-08,5555634240
2004-03-09,5453269120
2004-03-10,4680877760
2004-03-11,4894913920
2004-03-12,4629695200
2004-03-15,4564553760
2004-03-16,4787895840
2004-03-17,5025196800
2004-03-18,5202009280
2004-03-19,4978667200
2004-03-22,4941443520
2004-03-23,4946096480
2004-03-24,4783242880
2004-03-25,4848384320
2004-03-26,4792548800
2004-03-29,4997279040
2004-03-30,5020543840
2004-03-31,5199689520
2004-04-01,5125142000
2004-04-02,5125142000
2004-04-05,5241622500
2004-04-06,5199689520
2004-04-07,5218326400
2004-04-08,5241622500
2004-04-12,5218326400
2004-04-13,5115823560
2004-04-14,5059912920
2004-04-15,5055253700
2004-04-16,5022639160
2004-04-19,4985365400
2004-04-20,4901499440
2004-04-21,5316170020
2004-04-22,5288214700
2004-04-23,5311510800
2004-04-26,5311510800
2004-04-27,5414013640
2004-04-28,5283555480
2004-04-29,5185711860
2004-04-30,5479242720
2004-05-03,5544471800
2004-05-04,5637656200
2004-05-05,5716862940
2004-05-06,5684248400
2004-05-07,5637656200
2004-05-10,5469924280
2004-05-11,5591064000
2004-05-12,5544471800
2004-05-13,5572427120
2004-05-14,5586404780
2004-05-17,5493220380
2004-05-18,5544471800
2004-05-19,5418672860
2004-05-20,5404695200
2004-05-21,5465265060
2004-05-24,5493220380
2004-05-25,5572427120
2004-05-26,5572427120
2004-05-27,5553790240
2004-05-28,5553790240
2004-06-01,5660952300
2004-06-02,5782092020
2004-06-03,5824025000
2004-06-04,5996416140
2004-06-07,6005734580
2004-06-08,5982438480
2004-06-09,5870617200
2004-06-10,5884594860
2004-06-14,5800728900
2004-06-15,5819365780
2004-06-16,5730840600
2004-06-17,5828684220
2004-06-18,5917209400
2004-06-21,5768114360
2004-06-22,5819365780
2004-06-23,5810047340
2004-06-24,5889254080
2004-06-25,5982438480
2004-06-28,5917209400
2004-06-29,5973120040
2004-06-30,6257722860
2004-07-01,6066398000
2004-07-02,6117729060
2004-07-06,5828408540
2004-07-07,5763078100
2004-07-08,5697747660
2004-07-09,5711747040
2004-07-12,5707080580
2004-07-13,5814409160
2004-07-14,6033732780
2004-07-15,5977735260
2004-07-16,5917071280
2004-07-19,5865740220
2004-07-20,5977735260
2004-07-21,5791076860
2004-07-22,5711747040
2004-07-23,5548420940
2004-07-26,5515755720
2004-07-27,5366429000
2004-07-28,5245101040
2004-07-29,5231101660
2004-07-30,5217102280
2004-08-02,5217102280
2004-08-03,5044443260
2004-08-04,4946447600
2004-08-05,4811120260
2004-08-06,4671126460
2004-08-09,4619795400
2004-08-10,4736456900
2004-08-11,4881117160
2004-08-12,4783121500
2004-08-13,4787787960
2004-08-16,4909115920
2004-08-17,4890450080
2004-08-18,4965113440
2004-08-19,4904449460
2004-08-20,4937114680
2004-08-23,4867117780
2004-08-24,4801787340
