,SUB
2010-09-16,8818779628
2010-09-17,8822109354
2010-09-20,8823774218
2010-09-21,8827103944
2010-09-22,8827936375
2010-09-23,8831266101
2010-09-24,8825439081
2010-09-27,8832098533
2010-09-28,8827103944
2010-09-29,8828768807
2010-09-30,8827103944
2010-10-01,8805460724
2010-10-04,8796303977
2010-10-05,8802963429
2010-10-06,8811287745
2010-10-07,8814617471
2010-10-08,8809622881
2010-10-11,8810455313
2010-10-12,8810455313
2010-10-13,8807958018
2010-10-14,8813785039
2010-10-15,8815449902
2010-10-18,8812952608
2010-10-19,8814617471
2010-10-20,8815449902
2010-10-21,8807125587
2010-10-22,8812120176
2010-10-25,8814617471
2010-10-26,8814617471
2010-10-27,8805460724
2010-10-28,8807125587
2010-10-29,8802963429
2010-11-01,8801298566
2010-11-02,8805460724
2010-11-03,8805460724
2010-11-04,8807958018
2010-11-05,8800466135
2010-11-08,8800466135
2010-11-09,8798801272
2010-11-10,8802130998
2010-11-11,8782985073
2010-11-12,8773828326
2010-11-15,8533255614
2010-11-16,8584033937
2010-11-17,8674768974
2010-11-18,8683093289
2010-11-19,8738866201
2010-11-22,8748855380
2010-11-23,8753017537
2010-11-24,8746358085
2010-11-26,8757179695
2010-11-29,8731374318
2010-11-30,8745525654
2010-12-01,8727212160
2010-12-02,8703071646
2010-12-03,8722217571
2010-12-06,8707233803
2010-12-07,8688920310
2010-12-08,8661450069
2010-12-09,8672271679
2010-12-10,8642304144
2010-12-13,8658952775
2010-12-14,8636477123
2010-12-15,8657287912
2010-12-16,8665612227
2010-12-17,8688920310
2010-12-20,8659785206
2010-12-21,8661450069
2010-12-22,8642304144
2010-12-23,8652293322
2010-12-27,8640639281
2010-12-28,8618996061
2010-12-29,8657287912
2010-12-30,8686423015
2010-12-31,8665612227
2011-01-03,8665612227
2011-01-04,8681428426
2011-01-05,8707233803
2011-01-06,8667277090
2011-01-07,8658120343
2011-01-10,8652293322
2011-01-11,8651460891
2011-01-12,8644801439
2011-01-13,8585698800
2011-01-14,8602347431
2011-01-18,8615666335
2011-01-19,8564888012
2011-01-20,8623990650
2011-01-21,8621493356
2011-01-24,8642304144
2011-01-25,8640639281
2011-01-26,8644801439
2011-01-27,8648131165
2011-01-28,8648131165
2011-01-31,8663114932
2011-02-01,8658952775
2011-02-02,8665612227
2011-02-03,8673104111
2011-02-04,8686423015
2011-02-07,8677266268
2011-02-08,8673936542
2011-02-09,8670606816
2011-02-10,8684758152
2011-02-11,8661450069
2011-02-14,8698077056
2011-02-15,8695579762
2011-02-16,8707233803
2011-02-17,8713893256
2011-02-18,8716390550
2011-02-22,8698077056
2011-02-23,8719720276
2011-02-24,8724714865
2011-02-25,8723882434
2011-02-28,8693082467
2011-03-01,8709731098
2011-03-02,8725547297
2011-03-03,8701406783
2011-03-04,8731374318
2011-03-07,8740531065
2011-03-08,8729709455
2011-03-09,8733871612
2011-03-10,8735536475
2011-03-11,8756347264
2011-03-14,8743860791
2011-03-15,8745525654
2011-03-16,8761341853
2011-03-17,8770498600
2011-03-18,8750520243
2011-03-21,8764671579
2011-03-22,8743028359
2011-03-23,8748855380
2011-03-24,8758844558
2011-03-25,8736368907
2011-03-28,8752185106
2011-03-29,8730541886
2011-03-30,8743028359
2011-03-31,8729709455
2011-04-01,8757179695
2011-04-04,8753849969
2011-04-05,8745525654
2011-04-06,8730541886
2011-04-07,8763006716
2011-04-08,8732206749
2011-04-11,8750520243
2011-04-12,8737201338
2011-04-13,8740531065
2011-04-14,8744693222
2011-04-15,8747190517
2011-04-18,8756347264
2011-04-19,8771331031
2011-04-20,8764671579
2011-04-21,8763839147
2011-04-25,8770498600
2011-04-26,8766336442
2011-04-27,8771331031
2011-04-28,8765504010
2011-04-29,8773828326
2011-05-02,8763839147
2011-05-03,8780487778
2011-05-04,8781320209
2011-05-05,8784649936
2011-05-06,8786314799
2011-05-09,8785482367
2011-05-10,8791309388
2011-05-11,8793806682
2011-05-12,8796303977
2011-05-13,8817947197
2011-05-16,8802130998
2011-05-17,8816282334
2011-05-18,8822109354
2011-05-19,8797136409
2011-05-20,8815449902
2011-05-23,8793806682
2011-05-24,8798801272
2011-05-25,8817114765
2011-05-26,8824606649
2011-05-27,8825439081
2011-05-31,8822109354
2011-06-01,8833763396
2011-06-02,8825439081
2011-06-03,8830433670
2011-06-06,8835428259
2011-06-07,8819612060
2011-06-08,8827936375
2011-06-09,8816282334
2011-06-10,8824606649
2011-06-13,8842087711
2011-06-14,8841255280
2011-06-15,8848747163
2011-06-16,8832930964
2011-06-17,8831266101
2011-06-20,8831266101
2011-06-21,8824606649
2011-06-22,8823774218
2011-06-23,8836260690
2011-06-24,8830433670
2011-06-27,8831266101
2011-06-28,8823774218
2011-06-29,8830433670
2011-06-30,8827936375
2011-07-01,8827936375
2011-07-05,8824606649
2011-07-06,8824606649
2011-07-07,8815449902
2011-07-08,8826271512
2011-07-11,8857903910
2011-07-12,8875384972
2011-07-13,8849579595
2011-07-14,8858736342
2011-07-15,8852076890
2011-07-18,8867060657
2011-07-19,8863730931
2011-07-20,8852909321
2011-07-21,8865395794
2011-07-22,8873720109
2011-07-25,8876217404
2011-07-26,8854574184
2011-07-27,8846249869
2011-07-28,8823774218
2011-07-29,8823774218
2011-08-01,8846249869
2011-08-02,8853741753
2011-08-03,8852909321
2011-08-04,8851244458
2011-08-05,8848747163
2011-08-08,8772163463
2011-08-09,8753017537
2011-08-10,8766336442
2011-08-11,8760509421
2011-08-12,8761341853
2011-08-15,8794639114
2011-08-16,8813785039
2011-08-17,8812120176
2011-08-18,8782152641
2011-08-19,8782985073
2011-08-22,8788812093
2011-08-23,8837093122
2011-08-24,8821276923
2011-08-25,8827103944
2011-08-26,8832098533
2011-08-29,8833763396
2011-08-30,8830433670
2011-08-31,8838757985
2011-09-01,8850412026
2011-09-02,8853741753
2011-09-06,8857071479
2011-09-07,8860401205
2011-09-08,8860401205
2011-09-09,8867060657
2011-09-12,8875384972
2011-09-13,8856239047
2011-09-14,8855406616
2011-09-15,8857071479
2011-09-16,8861233636
2011-09-19,8872887678
2011-09-20,8873720109
2011-09-21,8863730931
2011-09-22,8865395794
2011-09-23,8845417437
2011-09-26,8839590417
2011-09-27,8857071479
2011-09-28,8871222815
2011-09-29,8867893089
2011-09-30,8874552541
2011-10-03,8849579595
2011-10-04,8865395794
2011-10-05,8833763396
2011-10-06,8846249869
2011-10-07,8819612060
2011-10-10,8813785039
2011-10-11,8798801272
2011-10-12,8825439081
2011-10-13,8818779628
2011-10-14,8805460724
2011-10-17,8831266101
2011-10-18,8834595827
2011-10-19,8836260690
2011-10-20,8837093122
2011-10-21,8838757985
2011-10-24,8835428259
2011-10-25,8834595827
2011-10-26,8817947197
2011-10-27,8810455313
2011-10-28,8839590417
2011-10-31,8840422848
2011-11-01,8842087711
2011-11-02,8819612060
2011-11-03,8838757985
2011-11-04,8832098533
2011-11-07,8840422848
2011-11-08,8840422848
2011-11-09,8840422848
2011-11-10,8825439081
2011-11-11,8842920143
2011-11-14,8827936375
2011-11-15,8829601238
2011-11-16,8837093122
2011-11-17,8832098533
2011-11-18,8836260690
2011-11-21,8833763396
2011-11-22,8830433670
2011-11-23,8846249869
2011-11-25,8827936375
2011-11-28,8834595827
2011-11-29,8840422848
2011-11-30,8851244458
2011-12-01,8846249869
2011-12-02,8849579595
2011-12-05,8854574184
2011-12-06,8858736342
2011-12-07,8861233636
2011-12-08,8862066068
2011-12-09,8860401205
2011-12-12,8864563362
2011-12-13,8866228226
2011-12-14,8871222815
2011-12-15,8871222815
2011-12-16,8872055246
2011-12-19,8868725520
2011-12-20,8877882267
2011-12-21,8881211993
2011-12-22,8884541719
2011-12-23,8882044425
2011-12-27,8873720109
2011-12-28,8877049835
2011-12-29,8882044425
2011-12-30,8884541719
2012-01-03,8893698466
2012-01-04,8866228226
2012-01-05,8873720109
2012-01-06,8905352507
2012-01-09,8925330864
2012-01-10,8902022781
2012-01-11,8947806515
2012-01-12,8948638947
2012-01-13,8971114598
2012-01-17,8985265934
2012-01-18,8965287578
2012-01-19,8928660590
2012-01-20,8868725520
2012-01-23,8881211993
2012-01-24,8871222815
2012-01-25,8867893089
2012-01-26,8857071479
2012-01-27,8883709288
2012-01-30,8882044425
2012-01-31,8887039014
2012-02-01,8881211993
2012-02-02,8845417437
2012-02-03,8874552541
2012-02-06,8874552541
2012-02-07,8875384972
2012-02-08,8877049835
2012-02-09,8877049835
2012-02-10,8877049835
2012-02-13,8880379562
2012-02-14,8882044425
2012-02-15,8872055246
2012-02-16,8872055246
2012-02-17,8887039014
2012-02-21,8890368740
2012-02-22,8886206582
2012-02-23,8895363329
2012-02-24,8897028192
2012-02-27,8894530898
2012-02-28,8909514665
2012-02-29,8911179528
2012-03-01,8902022781
2012-03-02,8902855213
2012-03-05,8875384972
2012-03-06,8895363329
2012-03-07,8870390383
2012-03-08,8895363329
2012-03-09,8895363329
2012-03-12,8890368740
2012-03-13,8891201171
2012-03-14,8888703877
2012-03-15,8882876856
2012-03-16,8867893089
2012-03-19,8865395794
2012-03-20,8868725520
2012-03-21,8882044425
2012-03-22,8858736342
2012-03-23,8885374151
2012-03-26,8879547130
2012-03-27,8882876856
2012-03-28,8885374151
2012-03-29,8890368740
2012-03-30,8873720109
2012-04-02,8859568773
2012-04-03,8881211993
2012-04-04,8877882267
2012-04-05,8877049835
2012-04-09,8888703877
2012-04-10,8884541719
2012-04-11,8893698466
2012-04-12,8893698466
2012-04-13,8887039014
2012-04-16,8863730931
2012-04-17,8889536308
2012-04-18,8897028192
2012-04-19,8890368740
2012-04-20,8884541719
2012-04-23,8902022781
2012-04-24,8902022781
2012-04-25,8892866034
2012-04-26,8902022781
2012-04-27,8886206582
2012-04-30,8882876856
2012-05-01,8903687644
2012-05-02,8908682234
2012-05-03,8892033603
2012-05-04,8886206582
2012-05-07,8885374151
2012-05-08,8903687644
2012-05-09,8902855213
2012-05-10,8881211993
2012-05-11,8908682234
2012-05-14,8909514665
2012-05-15,8912011960
2012-05-16,8910347097
2012-05-17,8912011960
2012-05-18,8911179528
2012-05-21,8905352507
2012-05-22,8905352507
2012-05-23,8903687644
2012-05-24,8905352507
2012-05-25,8893698466
2012-05-29,8886206582
2012-05-30,8897860624
2012-05-31,8886206582
2012-06-01,8894530898
2012-06-04,8901190350
2012-06-05,8902022781
2012-06-06,8884541719
2012-06-07,8887039014
2012-06-08,8899525487
2012-06-11,8897860624
2012-06-12,8892866034
2012-06-13,8877049835
2012-06-14,8872887678
2012-06-15,8893698466
2012-06-18,8892033603
2012-06-19,8868725520
2012-06-20,8873720109
2012-06-21,8892033603
2012-06-22,8890368740
2012-06-25,8894530898
2012-06-26,8894530898
2012-06-27,8890368740
2012-06-28,8888703877
2012-06-29,8895363329
2012-07-02,8882876856
2012-07-03,8882876856
2012-07-05,8890368740
2012-07-06,8897028192
2012-07-09,8895363329
2012-07-10,8889536308
2012-07-11,8899525487
2012-07-12,8908682234
2012-07-13,8893698466
2012-07-16,8895363329
2012-07-17,8897028192
2012-07-18,8895363329
2012-07-19,8894530898
2012-07-20,8906184939
2012-07-23,8906184939
2012-07-24,8910347097
2012-07-25,8914509254
2012-07-26,8914509254
2012-07-27,8915341686
2012-07-30,8920336275
2012-07-31,8919503843
2012-08-01,8887871445
2012-08-02,8867060657
2012-08-03,8919503843
2012-08-06,8911179528
2012-08-07,8910347097
2012-08-08,8891201171
2012-08-09,8896195761
2012-08-10,8902855213
2012-08-13,8898693055
2012-08-14,8894530898
2012-08-15,8885374151
2012-08-16,8891201171
2012-08-17,8883709288
2012-08-20,8887871445
2012-08-21,8886206582
2012-08-22,8897028192
2012-08-23,8893698466
2012-08-24,8911179528
2012-08-27,8907849802
2012-08-28,8893698466
2012-08-29,8909514665
2012-08-30,8906184939
2012-08-31,8895363329
2012-09-04,8896195761
2012-09-05,8892033603
2012-09-06,8892866034
2012-09-07,8893698466
2012-09-10,8892866034
2012-09-11,8883709288
2012-09-12,8891201171
2012-09-13,8885374151
2012-09-14,8889536308
2012-09-17,8887871445
2012-09-18,8882876856
2012-09-19,8891201171
2012-09-20,8875384972
2012-09-21,8885374151
2012-09-24,8897860624
2012-09-25,8892866034
2012-09-26,8897028192
2012-09-27,8901190350
2012-09-28,8898693055
2012-10-01,8893698466
2012-10-02,8894530898
2012-10-03,8891201171
2012-10-04,8899525487
2012-10-05,8894530898
2012-10-08,8893698466
2012-10-09,8893698466
2012-10-10,8892866034
2012-10-11,8890368740
2012-10-12,8893698466
2012-10-15,8882876856
2012-10-16,8887039014
2012-10-17,8887039014
2012-10-18,8882876856
2012-10-19,8879547130
2012-10-22,8882876856
2012-10-23,8888703877
2012-10-24,8888703877
2012-10-25,8881211993
2012-10-26,8887039014
2012-10-31,8885374151
2012-11-01,8881211993
2012-11-02,8881211993
2012-11-05,8882044425
2012-11-06,8879547130
2012-11-07,8880379562
2012-11-08,8882044425
2012-11-09,8888703877
2012-11-12,8888703877
2012-11-13,8887039014
2012-11-14,8885374151
2012-11-15,8883709288
2012-11-16,8891201171
2012-11-19,8889536308
2012-11-20,8889536308
2012-11-21,8892866034
2012-11-23,8892033603
2012-11-26,8897028192
2012-11-27,8883709288
2012-11-28,8882876856
2012-11-29,8886206582
2012-11-30,8890368740
2012-12-03,8883709288
2012-12-04,8877049835
2012-12-05,8877049835
2012-12-06,8879547130
2012-12-07,8879547130
2012-12-10,8887871445
2012-12-11,8867893089
2012-12-12,8844585006
2012-12-13,8841255280
2012-12-14,8817947197
2012-12-17,8790476956
2012-12-18,8807958018
2012-12-19,8822109354
2012-12-20,8835428259
2012-12-21,8845417437
2012-12-24,8840422848
2012-12-26,8846249869
2012-12-27,8845417437
2012-12-28,8847082300
2012-12-31,8842920143
2013-01-02,8848747163
2013-01-03,8852076890
2013-01-04,8860401205
2013-01-07,8855406616
2013-01-08,8852909321
2013-01-09,8860401205
2013-01-10,8865395794
2013-01-11,8886206582
2013-01-14,8878714698
2013-01-15,8875384972
2013-01-16,8865395794
2013-01-17,8872055246
2013-01-18,8879547130
2013-01-22,8863730931
2013-01-23,8872055246
2013-01-24,8870390383
2013-01-25,8859568773
2013-01-28,8862898499
2013-01-29,8870390383
2013-01-30,8870390383
2013-01-31,8867893089
2013-02-01,8868725520
2013-02-04,8867893089
2013-02-05,8872055246
2013-02-06,8876217404
2013-02-07,8872055246
2013-02-08,8860401205
2013-02-11,8863730931
2013-02-12,8862898499
2013-02-13,8860401205
2013-02-14,8858736342
2013-02-15,8872055246
2013-02-19,8865395794
2013-02-20,8866228226
2013-02-21,8876217404
2013-02-22,8876217404
2013-02-25,8877049835
2013-02-26,8878714698
2013-02-27,8882044425
2013-02-28,8890368740
2013-03-01,8888703877
2013-03-04,8881211993
2013-03-05,8884541719
2013-03-06,8883709288
2013-03-07,8873720109
2013-03-08,8871222815
2013-03-11,8869557952
2013-03-12,8857903910
2013-03-13,8862898499
2013-03-14,8860401205
2013-03-15,8861233636
2013-03-18,8866228226
2013-03-19,8857071479
2013-03-20,8855406616
2013-03-21,8847914732
2013-03-22,8856239047
2013-03-25,8862898499
2013-03-26,8849579595
2013-03-27,8850412026
2013-03-28,8849579595
2013-04-01,8837093122
2013-04-02,8835428259
2013-04-03,8843752574
2013-04-04,8860401205
2013-04-05,8857071479
2013-04-08,8848747163
2013-04-09,8842087711
2013-04-10,8853741753
2013-04-11,8856239047
2013-04-12,8854574184
2013-04-15,8857903910
2013-04-16,8846249869
2013-04-17,8841255280
2013-04-18,8829601238
2013-04-19,8832930964
2013-04-22,8821276923
2013-04-23,8818779628
2013-04-24,8830433670
2013-04-25,8842920143
2013-04-26,8832930964
2013-04-29,8845417437
2013-04-30,8842920143
2013-05-01,8851244458
2013-05-02,8852076890
2013-05-03,8851244458
2013-05-06,8851244458
2013-05-07,8852076890
2013-05-08,8854574184
2013-05-09,8852909321
2013-05-10,8847914732
2013-05-13,8852076890
2013-05-14,8829601238
2013-05-15,8838757985
2013-05-16,8852909321
2013-05-17,8852076890
2013-05-20,8838757985
2013-05-21,8850412026
2013-05-22,8841255280
2013-05-23,8848747163
2013-05-24,8847082300
2013-05-28,8820444491
2013-05-29,8827936375
2013-05-30,8834595827
2013-05-31,8822941786
2013-06-03,8820444491
2013-06-04,8820444491
2013-06-05,8832930964
2013-06-06,8842087711
2013-06-07,8841255280
2013-06-10,8833763396
2013-06-11,8832098533
2013-06-12,8832930964
2013-06-13,8832930964
2013-06-14,8831266101
2013-06-17,8825439081
2013-06-18,8829601238
2013-06-19,8832098533
2013-06-20,8817114765
2013-06-21,8663114932
2013-06-24,8653958185
2013-06-25,8738866201
2013-06-26,8733871612
