,CSGP
2001-04-20,301273000
2001-04-23,285663000
2001-04-24,288785000
2001-04-25,280980000
2001-04-26,341859000
2001-04-27,349664000
2001-04-30,363713000
2001-05-01,374640000
2001-05-02,390250000
2001-05-03,404299000
2001-05-04,388689000
2001-05-07,393372000
2001-05-08,360591000
2001-05-09,368396000
2001-05-10,374640000
2001-05-11,369957000
2001-05-14,376201000
2001-05-15,382445000
2001-05-16,388689000
2001-05-17,430835999
2001-05-18,427714000
2001-05-21,435519000
2001-05-22,451129000
2001-05-23,435519000
2001-05-24,399616000
2001-05-25,407421000
2001-05-29,387128000
2001-05-30,388689000
2001-05-31,391810999
2001-06-01,391810999
2001-06-04,405860000
2001-06-05,426153000
2001-06-06,396494000
2001-06-07,427714000
2001-06-08,394932999
2001-06-11,419909000
2001-06-12,404299000
2001-06-13,401177000
2001-06-14,385567000
2001-06-15,402738000
2001-06-18,391810999
2001-06-19,393372000
2001-06-20,394932999
2001-06-21,416787000
2001-06-22,391810999
2001-06-25,393372000
2001-06-26,412104000
2001-06-27,410543000
2001-06-28,410543000
2001-06-29,410543000
2001-07-02,410213400
2001-07-03,402384900
2001-07-05,414910500
2001-07-06,414910500
2001-07-09,411779100
2001-07-10,378899400
2001-07-11,363242400
2001-07-12,369505200
2001-07-13,385162200
2001-07-16,385162200
2001-07-17,392990699
2001-07-18,397687800
2001-07-19,411779100
2001-07-20,403950600
2001-07-23,388293600
2001-07-24,396122099
2001-07-25,396122099
2001-07-26,405516300
2001-07-27,405516300
2001-07-30,407082000
2001-07-31,424304700
2001-08-01,421173300
2001-08-02,435264599
2001-08-03,422739000
2001-08-06,402384900
2001-08-07,403950600
2001-08-08,385162200
2001-08-09,388293600
2001-08-10,388293600
2001-08-13,392990699
2001-08-14,397687800
2001-08-15,391425000
2001-08-16,407082000
2001-08-17,391425000
2001-08-20,396122099
2001-08-21,392990699
2001-08-22,399253500
2001-08-23,391425000
2001-08-24,400819200
2001-08-27,391425000
2001-08-28,388293600
2001-08-29,391425000
2001-08-30,392990699
2001-08-31,391425000
2001-09-04,377333700
2001-09-05,346019700
2001-09-06,317837099
2001-09-07,316271400
2001-09-10,300614400
2001-09-17,277128900
2001-09-18,261471900
2001-09-19,311574300
2001-09-20,286523100
2001-09-21,280260300
2001-09-24,299048700
2001-09-25,294351600
2001-09-26,267734700
2001-09-27,272431800
2001-09-28,281826000
2001-10-01,284957400
2001-10-02,273997500
2001-10-03,286523100
2001-10-04,272431800
2001-10-05,288088800
2001-10-08,289654500
2001-10-09,275563200
2001-10-10,295917300
2001-10-11,320968500
2001-10-12,322534200
2001-10-15,344454000
2001-10-16,353848199
2001-10-17,324099900
2001-10-18,319402800
2001-10-19,330362700
2001-10-22,331928400
2001-10-23,339756900
2001-10-24,338191200
2001-10-25,333494100
2001-10-26,313140000
2001-10-29,299048700
2001-10-30,272431800
2001-10-31,289654500
2001-11-01,297483000
2001-11-02,295917300
2001-11-05,286523100
2001-11-06,297483000
2001-11-07,288088800
2001-11-08,278694600
2001-11-09,273997500
2001-11-12,278694600
2001-11-13,277128900
2001-11-14,303745800
2001-11-15,278694600
2001-11-16,283391700
2001-11-19,286523100
2001-11-20,280260300
2001-11-21,283391700
2001-11-23,284957400
2001-11-26,291220200
2001-11-27,284957400
2001-11-28,283391700
2001-11-29,305311500
2001-11-30,303745800
2001-12-03,302180100
2001-12-04,305311500
2001-12-05,313140000
2001-12-06,320968500
2001-12-07,322534200
2001-12-10,313140000
2001-12-11,324099900
2001-12-12,325665600
2001-12-13,308442900
2001-12-14,319402800
2001-12-17,313140000
2001-12-18,317837099
2001-12-19,313140000
2001-12-20,311574300
2001-12-21,322534200
2001-12-24,324099900
2001-12-26,338191200
2001-12-27,349151100
2001-12-28,364808100
2001-12-31,377280000
2002-01-02,363132000
2002-01-03,361560000
2002-01-04,363132000
2002-01-07,361560000
2002-01-08,367848000
2002-01-09,377280000
2002-01-10,383568000
2002-01-11,372564000
2002-01-14,388284000
2002-01-15,404004000
2002-01-16,375708000
2002-01-17,386712000
2002-01-18,367848000
2002-01-22,353700000
2002-01-23,370992000
2002-01-24,370992000
2002-01-25,366276000
2002-01-28,364704000
2002-01-29,352128000
2002-01-30,361560000
2002-01-31,366276000
2002-02-01,369420000
2002-02-04,385140000
2002-02-05,383568000
2002-02-06,370992000
2002-02-07,367848000
2002-02-08,369420000
2002-02-11,370992000
2002-02-12,367848000
2002-02-13,314400000
2002-02-14,308112000
2002-02-15,306540000
2002-02-19,279816000
2002-02-20,270384000
2002-02-21,253092000
2002-02-22,270384000
2002-02-25,292392000
2002-02-26,289248000
2002-02-27,290820000
2002-02-28,282960000
2002-03-01,289248000
2002-03-04,319115999
2002-03-05,303396000
2002-03-06,309684000
2002-03-07,323832000
2002-03-08,353700000
2002-03-11,326976000
2002-03-12,326976000
2002-03-13,312828000
2002-03-14,319115999
2002-03-15,312828000
2002-03-18,320688000
2002-03-19,328548000
2002-03-20,319115999
2002-03-21,337980000
2002-03-22,337980000
2002-03-25,334836000
2002-03-26,347412000
2002-03-27,361560000
2002-03-28,358415999
2002-04-01,355769199
2002-04-02,346324000
2002-04-03,346324000
2002-04-04,346324000
2002-04-05,357343400
2002-04-08,363640200
2002-04-09,357343400
2002-04-10,373085400
2002-04-11,357343400
2002-04-12,374659600
2002-04-15,373085400
2002-04-16,380956400
2002-04-17,382530600
2002-04-18,393550000
2002-04-19,385679000
2002-04-22,384104800
2002-04-23,368362800
2002-04-24,398272599
2002-04-25,391975800
2002-04-26,374659600
2002-04-29,363640200
2002-04-30,374659600
2002-05-01,365214400
2002-05-02,362066000
2002-05-03,368362800
2002-05-06,366788600
2002-05-07,362066000
2002-05-08,374659600
2002-05-09,365214400
2002-05-10,343175600
2002-05-13,341601400
2002-05-14,373085400
2002-05-15,371511200
2002-05-16,363640200
2002-05-17,379382200
2002-05-20,379382200
2002-05-21,368362800
2002-05-22,349472400
2002-05-23,354195000
2002-05-24,341601400
2002-05-28,327433600
2002-05-29,332156200
2002-05-30,333730400
2002-05-31,333730400
2002-06-03,311691600
2002-06-04,319562599
2002-06-05,317988400
2002-06-06,321136800
2002-06-07,332156200
2002-06-10,338453000
2002-06-11,330582000
2002-06-12,332156200
2002-06-13,330582000
2002-06-14,332156200
2002-06-17,330582000
2002-06-18,330582000
2002-06-19,330582000
2002-06-20,329007800
2002-06-21,336878800
2002-06-24,330582000
2002-06-25,327433600
2002-06-26,327433600
2002-06-27,314840000
2002-06-28,322711000
2002-07-01,302918400
2002-07-02,283986000
2002-07-03,274519800
2002-07-05,290296800
2002-07-08,283986000
2002-07-09,291874500
2002-07-10,293452200
2002-07-11,299763000
2002-07-12,304496100
2002-07-15,318695400
2002-07-16,318695400
2002-07-17,325006200
2002-07-18,315540000
2002-07-19,296607600
2002-07-22,302918400
2002-07-23,299763000
2002-07-24,336050100
2002-07-25,334472400
2002-07-26,340783200
2002-07-29,340783200
2002-07-30,347094000
2002-07-31,331317000
2002-08-01,326583900
2002-08-02,306073800
2002-08-05,310806900
2002-08-06,310806900
2002-08-07,309229200
2002-08-08,326583900
2002-08-09,340783200
2002-08-12,340783200
2002-08-13,329739300
2002-08-14,342360900
2002-08-15,336050100
2002-08-16,328161600
2002-08-19,351827100
2002-08-20,354982500
2002-08-21,373914900
2002-08-22,377070300
2002-08-23,362871000
2002-08-26,378648000
2002-08-27,375492600
2002-08-28,369181800
2002-08-29,378648000
2002-08-30,380225700
2002-09-03,377070300
2002-09-04,383381100
2002-09-05,378648000
2002-09-06,386536500
2002-09-09,361293300
2002-09-10,356560199
2002-09-11,350249400
2002-09-12,328161600
2002-09-13,325006200
2002-09-16,318695400
2002-09-17,306073800
2002-09-18,287141400
2002-09-19,272942100
2002-09-20,280830600
2002-09-23,283986000
2002-09-24,283986000
2002-09-25,282408300
2002-09-26,285563700
2002-09-27,285563700
2002-09-30,284310000
2002-10-01,266935500
2002-10-02,263776500
2002-10-03,263776500
2002-10-04,257458499
2002-10-07,262197000
2002-10-08,265356000
2002-10-09,255879000
2002-10-10,263776500
2002-10-11,260617500
2002-10-14,271674000
2002-10-15,268515000
2002-10-16,270094500
2002-10-17,282730500
2002-10-18,290628000
2002-10-21,287469000
2002-10-22,281151000
2002-10-23,279571500
2002-10-24,276412500
2002-10-25,273253500
2002-10-28,260617500
2002-10-29,252720000
2002-10-30,251140500
2002-10-31,259037999
2002-11-01,259037999
2002-11-04,255879000
2002-11-05,254299500
2002-11-06,263776500
2002-11-07,257458499
2002-11-08,265356000
2002-11-11,257458499
2002-11-12,270094500
2002-11-13,266935500
2002-11-14,274833000
2002-11-15,274833000
2002-11-18,268515000
2002-11-19,268515000
2002-11-20,273253500
2002-11-21,290628000
2002-11-22,298525500
2002-11-25,304843500
2002-11-26,277992000
2002-11-27,277992000
2002-11-29,284310000
2002-12-02,289048500
2002-12-03,292207500
2002-12-04,300105000
2002-12-05,289048500
2002-12-06,284310000
2002-12-09,273253500
2002-12-10,277992000
2002-12-11,285889500
2002-12-12,300105000
2002-12-13,293787000
2002-12-16,293787000
2002-12-17,290628000
2002-12-18,282730500
2002-12-19,276412500
2002-12-20,273253500
2002-12-23,270094500
2002-12-24,270094500
2002-12-26,273253500
2002-12-27,279571500
2002-12-30,277992000
2002-12-31,292559000
2003-01-02,281489200
2003-01-03,281489200
2003-01-06,286233400
2003-01-07,283070600
2003-01-08,283070600
2003-01-09,292559000
2003-01-10,308373000
2003-01-13,316280000
2003-01-14,319442800
2003-01-15,321024199
2003-01-16,321024199
2003-01-17,319442800
2003-01-21,317861399
2003-01-22,316280000
2003-01-23,321024199
2003-01-24,308373000
2003-01-27,313117200
2003-01-28,321024199
2003-01-29,330512600
2003-01-30,325768400
2003-01-31,319442800
2003-02-03,317861399
2003-02-04,317861399
2003-02-05,298884600
2003-02-06,300466000
2003-02-07,289396200
2003-02-10,294140400
2003-02-11,290977600
2003-02-12,297303200
2003-02-13,292559000
2003-02-14,306791600
2003-02-18,317861399
2003-02-19,316280000
2003-02-20,317861399
2003-02-21,317861399
2003-02-24,316280000
2003-02-25,317861399
2003-02-26,319442800
2003-02-27,327349800
2003-02-28,325768400
2003-03-03,325768400
2003-03-04,322605600
2003-03-05,322605600
2003-03-06,322605600
2003-03-07,325768400
2003-03-10,325768400
2003-03-11,321024199
2003-03-12,322605600
2003-03-13,332094000
2003-03-14,332094000
2003-03-17,316280000
2003-03-18,336838200
2003-03-19,341582400
2003-03-20,352652200
2003-03-21,357396399
2003-03-24,355815000
2003-03-25,357396399
2003-03-26,357396399
2003-03-27,355815000
2003-03-28,358977800
2003-03-31,350417600
2003-04-01,348832000
2003-04-02,363102400
2003-04-03,367859200
2003-04-04,380544000
2003-04-07,382129600
2003-04-08,356760000
2003-04-09,345660800
2003-04-10,347246400
2003-04-11,337732800
2003-04-14,361516799
2003-04-15,369444800
2003-04-16,371030400
2003-04-17,366273600
2003-04-21,371030400
2003-04-22,378958400
2003-04-23,386886400
2003-04-24,388472000
2003-04-25,363102400
2003-04-28,356760000
2003-04-29,356760000
2003-04-30,353588800
2003-05-01,347246400
2003-05-02,364688000
2003-05-05,371030400
2003-05-06,383715200
2003-05-07,380544000
2003-05-08,377372800
2003-05-09,382129600
2003-05-12,383715200
2003-05-13,378958400
2003-05-14,375787200
2003-05-15,377372800
2003-05-16,361516799
2003-05-19,356760000
2003-05-20,372616000
2003-05-21,386886400
2003-05-22,386886400
2003-05-23,385300800
2003-05-27,399571200
2003-05-28,439211200
2003-05-29,459824000
2003-05-30,447139200
2003-06-02,436040000
2003-06-03,443968000
2003-06-04,451896000
2003-06-05,455067200
2003-06-06,456652800
2003-06-09,443968000
2003-06-10,461409600
2003-06-11,474094400
2003-06-12,478851200
2003-06-13,469337600
2003-06-16,477265599
2003-06-17,459824000
2003-06-18,483608000
2003-06-19,459824000
2003-06-20,459824000
2003-06-23,445553600
2003-06-24,458238400
2003-06-25,469337600
2003-06-26,474094400
2003-06-27,472508800
2003-06-30,474635700
2003-07-01,481028099
2003-07-02,474635700
2003-07-03,482626200
2003-07-07,501803400
2003-07-08,501803400
2003-07-09,509793900
2003-07-10,490616700
2003-07-11,490616700
2003-07-14,495411000
2003-07-15,493812900
2003-07-16,484224299
2003-07-17,469841400
2003-07-18,476233800
2003-07-21,452262300
2003-07-22,461850900
2003-07-23,481028099
2003-07-24,481028099
2003-07-25,481028099
2003-07-28,500205300
2003-07-29,508195800
2003-07-30,469841400
2003-07-31,484224299
2003-08-01,473037600
2003-08-04,463449000
2003-08-05,453860400
2003-08-06,471439500
2003-08-07,479430000
2003-08-08,479430000
2003-08-11,484224299
2003-08-12,503401500
2003-08-13,495411000
2003-08-14,501803400
2003-08-15,493812900
2003-08-18,504999600
2003-08-19,495411000
2003-08-20,482626200
2003-08-21,479430000
2003-08-22,479430000
2003-08-25,477831900
2003-08-26,473037600
2003-08-27,476233800
2003-08-28,482626200
2003-08-29,476233800
2003-09-02,497009100
2003-09-03,497009100
2003-09-04,481028099
2003-09-05,473037600
2003-09-08,487420500
2003-09-09,474635700
2003-09-10,463449000
2003-09-11,466645200
2003-09-12,444271799
2003-09-15,455458500
2003-09-16,473037600
2003-09-17,461850900
2003-09-18,452262300
2003-09-19,468243300
2003-09-22,450664200
2003-09-23,450664200
2003-09-24,431487000
2003-09-25,420300300
2003-09-26,417104100
2003-09-29,423496500
2003-09-30,449487200
2003-10-01,468358800
2003-10-02,461496400
2003-10-03,471790000
2003-10-06,466643200
2003-10-07,475221200
2003-10-08,492377200
2003-10-09,480367999
2003-10-10,500955200
2003-10-13,512964400
2003-10-14,509533200
2003-10-15,521542400
2003-10-16,533551600
2003-10-17,545560800
2003-10-20,540414000
2003-10-21,538698400
2003-10-22,531836000
2003-10-23,535267200
2003-10-24,550707600
2003-10-27,566148000
2003-10-28,595313200
2003-10-29,667368400
2003-10-30,663937200
2003-10-31,645065600
2003-11-03,663937200
2003-11-04,660506000
2003-11-05,662221600
2003-11-06,691386800
2003-11-07,722267600
2003-11-10,711974000
2003-11-11,711974000
2003-11-12,713689600
2003-11-13,727414400
2003-11-14,735992400
2003-11-17,718836400
2003-11-18,713689600
2003-11-19,713689600
2003-11-20,715405200
2003-11-21,720552000
2003-11-24,720552000
2003-11-25,723983200
2003-11-26,723983200
2003-11-28,720552000
2003-12-01,722267600
2003-12-02,720552000
2003-12-03,705111600
2003-12-04,689671199
2003-12-05,686240000
2003-12-08,672515200
2003-12-09,670799600
2003-12-10,667368400
2003-12-11,669084000
2003-12-12,684524400
2003-12-15,669084000
2003-12-16,667368400
2003-12-17,663937200
2003-12-18,672515200
2003-12-19,662221600
2003-12-22,672515200
2003-12-23,687955600
2003-12-24,694818000
2003-12-26,691386800
2003-12-29,723983200
2003-12-30,720552000
2003-12-31,748973700
2004-01-02,757954200
2004-01-05,757954200
2004-01-06,750769800
2004-01-07,745381500
2004-01-08,752565900
2004-01-09,736400999
2004-01-12,743585400
2004-01-13,741789300
2004-01-14,741789300
2004-01-15,739993200
2004-01-16,741789300
2004-01-20,738197100
2004-01-21,736400999
2004-01-22,725624400
2004-01-23,736400999
2004-01-26,738197100
2004-01-27,743585400
2004-01-28,743585400
2004-01-29,745381500
2004-01-30,741789300
2004-02-02,745381500
2004-02-03,718440000
2004-02-04,680721900
2004-02-05,678925800
2004-02-06,714847800
2004-02-09,696886800
2004-02-10,725624400
2004-02-11,741789300
2004-02-12,720236100
2004-02-13,695090700
2004-02-17,741789300
2004-02-18,711255600
2004-02-19,714847800
2004-02-20,691498500
2004-02-23,686110200
2004-02-24,682518000
2004-02-25,689702400
2004-02-26,700479000
2004-02-27,700479000
2004-03-01,700479000
2004-03-02,693294600
2004-03-03,695090700
2004-03-04,691498500
2004-03-05,684314100
2004-03-08,684314100
2004-03-09,669945300
2004-03-10,664557000
2004-03-11,713051700
2004-03-12,709459500
2004-03-15,700479000
2004-03-16,659168700
2004-03-17,671741400
2004-03-18,686110200
2004-03-19,657372600
2004-03-22,651984300
2004-03-23,643003800
2004-03-24,660964800
2004-03-25,648392100
2004-03-26,646596000
2004-03-29,662760900
2004-03-30,668149200
2004-03-31,669771900
2004-04-01,684292700
2004-04-02,707889000
2004-04-05,707889000
2004-04-06,706073900
2004-04-07,711519200
2004-04-08,704258800
2004-04-12,713334300
2004-04-13,695183300
2004-04-14,704258800
2004-04-15,711519200
2004-04-16,707889000
2004-04-19,700628600
2004-04-20,702443700
2004-04-21,695183300
2004-04-22,707889000
2004-04-23,718779600
2004-04-26,715149400
2004-04-27,713334300
2004-04-28,707889000
2004-04-29,713334300
2004-04-30,715149400
2004-05-03,696998400
2004-05-04,715149400
2004-05-05,716964500
2004-05-06,707889000
2004-05-07,680662500
2004-05-10,673402100
2004-05-11,691553100
2004-05-12,695183300
2004-05-13,693368200
2004-05-14,687922900
2004-05-17,677032300
2004-05-18,687922900
2004-05-19,707889000
2004-05-20,715149400
2004-05-21,731485300
2004-05-24,749636300
2004-05-25,758711800
2004-05-26,760526900
2004-05-27,758711800
2004-05-28,751451400
2004-06-01,765972200
2004-06-02,762342000
2004-06-03,735115500
2004-06-04,749636300
2004-06-07,753266500
2004-06-08,765972200
2004-06-09,746006100
2004-06-10,742375900
2004-06-14,738745700
2004-06-15,749636300
2004-06-16,751451400
2004-06-17,733300400
2004-06-18,744190999
2004-06-21,747821200
2004-06-22,782308099
2004-06-23,807719500
2004-06-24,818610100
2004-06-25,824055400
2004-06-28,824055400
2004-06-29,838576200
2004-06-30,837537300
2004-07-01,830238500
2004-07-02,837537300
2004-07-06,815640900
2004-07-07,815640900
2004-07-08,788270400
2004-07-09,801043300
2004-07-12,784621000
2004-07-13,782796300
2004-07-14,770023400
2004-07-15,760899900
2004-07-16,724405900
2004-07-19,715282400
2004-07-20,744477600
2004-07-21,780971600
2004-07-22,799218600
2004-07-23,790095100
2004-07-26,788270400
2004-07-27,802868000
2004-07-28,790095100
2004-07-29,782796300
2004-07-30,775497500
2004-08-02,770023400
2004-08-03,755425800
2004-08-04,746302300
2004-08-05,729880000
2004-08-06,695210700
2004-08-09,702509500
2004-08-10,733529399
2004-08-11,749951700
2004-08-12,735354100
2004-08-13,729880000
2004-08-16,739003500
2004-08-17,749951700
2004-08-18,784621000
2004-08-19,773672800
2004-08-20,777322200
2004-08-23,786445699
2004-08-24,788270400
2004-08-25,780971600
2004-08-26,770023400
2004-08-27,770023400
2004-08-30,764549300
2004-08-31,771848100
2004-09-01,790095100
2004-09-02,801043300
2004-09-03,793744499
2004-09-07,804692700
2004-09-08,815640900
2004-09-09,819290300
2004-09-10,835712600
2004-09-13,830238500
2004-09-14,843011400
2004-09-15,853959600
2004-09-16,855784300
2004-09-17,866732500
2004-09-20,864907800
2004-09-21,866732500
2004-09-22,859433700
2004-09-23,857609000
2004-09-24,853959600
2004-09-27,839361999
2004-09-28,857609000
2004-09-29,868557200
2004-09-30,900360000
2004-10-01,883890000
2004-10-04,880229999
2004-10-05,874740000
2004-10-06,893040000
2004-10-07,872909999
2004-10-08,858270000
2004-10-11,856440000
2004-10-12,847290000
2004-10-13,828990000
2004-10-14,838140000
2004-10-15,832650000
2004-10-18,849120000
2004-10-19,854610000
2004-10-20,761280000
2004-10-21,805200000
2004-10-22,797880000
2004-10-25,750299999
2004-10-26,744810000
2004-10-27,752130000
2004-10-28,728340000
2004-10-29,739320000
2004-11-01,726510000
2004-11-02,732000000
2004-11-03,750299999
2004-11-04,750299999
2004-11-05,761280000
2004-11-08,746640000
2004-11-09,761280000
2004-11-10,774090000
2004-11-11,774090000
2004-11-12,788729999
2004-11-15,781409999
2004-11-16,792390000
2004-11-17,779580000
2004-11-18,768600000
2004-11-19,774090000
2004-11-22,779580000
2004-11-23,792390000
2004-11-24,808860000
2004-11-26,801540000
2004-11-29,818010000
2004-11-30,801540000
2004-12-01,827159999
2004-12-02,830820000
2004-12-03,810690000
2004-12-06,807030000
2004-12-07,775920000
2004-12-08,786900000
2004-12-09,777750000
2004-12-10,777750000
2004-12-13,775920000
2004-12-14,785070000
2004-12-15,783240000
2004-12-16,774090000
2004-12-17,772260000
2004-12-20,757620000
2004-12-21,781409999
2004-12-22,772260000
2004-12-23,779580000
2004-12-27,764940000
2004-12-28,816180000
2004-12-29,816180000
2004-12-30,843630000
2004-12-31,846291600
2005-01-03,846291600
2005-01-04,816982800
2005-01-05,807823800
2005-01-06,805992000
2005-01-07,774851400
2005-01-10,804160200
2005-01-11,796832999
2005-01-12,796832999
2005-01-13,791337600
2005-01-14,798664800
2005-01-18,800496600
2005-01-19,800496600
2005-01-20,800496600
2005-01-21,804160200
2005-01-24,800496600
