,NCR
2000-05-12,3428437500
2000-05-15,3535762500
2000-05-16,3571537500
2000-05-17,3601350000
2000-05-18,3589425000
2000-05-19,3529800000
2000-05-22,3559612500
2000-05-23,3514893750
2000-05-24,3535762500
2000-05-25,3655012500
2000-05-26,3893512500
2000-05-30,4078350000
2000-05-31,4024687500
2000-06-01,4018725000
2000-06-02,4185675000
2000-06-05,4197600000
2000-06-06,4120087500
2000-06-07,4120087500
2000-06-08,4006800000
2000-06-09,3982950000
2000-06-12,3851775000
2000-06-13,3821962500
2000-06-14,3827925000
2000-06-15,3833887500
2000-06-16,3863700000
2000-06-19,3953137500
2000-06-20,3911400000
2000-06-21,3893512500
2000-06-22,3816000000
2000-06-23,3786187500
2000-06-26,3821962500
2000-06-27,3756375000
2000-06-28,3729543750
2000-06-29,3696750000
2000-06-30,3741893750
2000-07-03,3735887500
2000-07-05,3621768750
2000-07-06,3615762500
2000-07-07,3645793750
2000-07-10,3609756250
2000-07-11,3657806250
2000-07-12,3753906250
2000-07-13,3837993750
2000-07-14,3819975000
2000-07-17,3822978125
2000-07-18,3699850000
2000-07-19,3519662500
2000-07-20,3375512500
2000-07-21,3417556250
2000-07-24,3459600000
2000-07-25,3477618750
2000-07-26,3435575000
2000-07-27,3423562500
2000-07-28,3381518750
2000-07-31,3405543750
2000-08-01,3465606250
2000-08-02,3363500000
2000-08-03,3291425000
2000-08-04,3309443750
2000-08-07,3345481250
2000-08-08,3363500000
2000-08-09,3345481250
2000-08-10,3249381250
2000-08-11,3267400000
2000-08-14,3291425000
2000-08-15,3309443750
2000-08-16,3369506250
2000-08-17,3423562500
2000-08-18,3408546875
2000-08-21,3495637500
2000-08-22,3603750000
2000-08-23,3831987500
2000-08-24,3711862500
2000-08-25,3729881250
2000-08-28,3759912500
2000-08-29,3741893750
2000-08-30,3825981250
2000-08-31,3881539158
2000-09-01,3940100000
2000-09-05,3958118750
2000-09-06,3765918750
2000-09-07,3783937500
2000-09-08,3807962500
2000-09-11,3693843750
2000-09-12,3645793750
2000-09-13,3603750000
2000-09-14,3543687500
2000-09-15,3597743750
2000-09-18,3579725000
2000-09-19,3555700000
2000-09-20,3615762500
2000-09-21,3603750000
2000-09-22,3621768750
2000-09-25,3555700000
2000-09-26,3591737500
2000-09-27,3561706250
2000-09-28,3609756250
2000-09-29,3621768750
2000-10-02,3672487500
2000-10-03,3672487500
2000-10-04,3750243750
2000-10-05,3720337500
2000-10-06,3845943750
2000-10-09,3851925000
2000-10-10,3833981250
2000-10-11,3798093750
2000-10-12,3851925000
2000-10-13,3923700000
2000-10-16,3917718750
2000-10-17,3750243750
2000-10-18,3798093750
2000-10-19,3977531250
2000-10-20,4097156250
2000-10-23,4061268750
2000-10-24,4109118750
2000-10-25,4055287500
2000-10-26,4013418750
2000-10-27,3929681250
2000-10-30,4037343750
2000-10-31,4127062500
2000-11-01,4210800000
2000-11-02,4270612500
2000-11-03,4228743750
2000-11-06,4294537500
2000-11-07,4366312500
2000-11-08,4545750000
2000-11-09,4569675000
2000-11-10,4414162500
2000-11-13,4569675000
2000-11-14,4557712500
2000-11-15,4689300000
2000-11-16,4623506250
2000-11-17,4641450000
2000-11-20,4647431250
2000-11-21,4659393750
2000-11-22,4653412500
2000-11-24,4653412500
2000-11-27,4755093750
2000-11-28,4731168750
2000-11-29,4713225000
2000-11-30,4521825000
2000-12-01,4593600000
2000-12-04,4719206250
2000-12-05,4940512500
2000-12-06,5072100000
2000-12-07,4808925000
2000-12-08,4773037500
2000-12-11,4862756250
2000-12-12,4820887500
2000-12-13,4737150000
2000-12-14,4701262500
2000-12-15,4372293750
2000-12-18,4557712500
2000-12-19,4599581250
2000-12-20,4503881250
2000-12-21,4210800000
2000-12-22,4707243750
2000-12-26,4605562500
2000-12-27,4581637500
2000-12-28,4695281250
2000-12-29,4701262500
2001-01-02,4450050000
2001-01-03,4581637500
2001-01-04,4641450000
2001-01-05,4276593750
2001-01-08,4270612500
2001-01-09,4509862500
2001-01-10,4671356250
2001-01-11,4695281250
2001-01-12,4109118750
2001-01-16,3995475000
2001-01-17,3989493750
2001-01-18,3923700000
2001-01-19,3989493750
2001-01-22,4127062500
2001-01-23,4234725000
2001-01-24,4300518750
2001-01-25,4342387500
2001-01-26,4270612500
2001-01-29,4390716191
2001-01-30,4473975000
2001-01-31,4570631808
2001-02-01,4642406808
2001-02-02,4536180191
2001-02-05,4526610000
2001-02-06,4562018808
2001-02-07,4637622000
2001-02-08,4702698000
2001-02-09,4593600000
2001-02-12,4473975000
2001-02-13,4627094808
2001-02-14,4627094808
2001-02-15,4722794808
2001-02-16,4752462000
2001-02-20,4657718808
2001-02-21,4632837000
2001-02-22,4670160000
2001-02-23,4435694808
2001-02-26,4488330191
2001-02-27,4351479191
2001-02-28,4210800000
2001-03-01,4185918191
2001-03-02,4225155191
2001-03-05,4240467191
2001-03-06,4486416191
2001-03-07,4510341191
2001-03-08,4543836000
2001-03-09,4427081808
2001-03-12,4283531808
2001-03-13,4295973000
2001-03-14,4164864000
2001-03-15,4152423000
2001-03-16,3952409999
2001-03-19,4002174000
2001-03-20,3891161999
2001-03-21,3761967191
2001-03-22,3780150000
2001-03-23,3827043191
2001-03-26,3853839000
2001-03-27,3826085999
2001-03-28,3667224000
2001-03-29,3603105191
2001-03-30,3735170808
2001-04-02,3745190999
2001-04-03,3480233193
2001-04-04,3447355193
2001-04-05,3664930193
2001-04-06,3568230193
2001-04-09,3661062000
2001-04-10,3803211193
2001-04-11,3873802193
2001-04-12,3994677193
2001-04-16,3854462000
2001-04-17,4229658193
2001-04-18,4491715000
2001-04-19,4738300000
2001-04-20,4543933193
2001-04-23,4516857000
2001-04-24,4593250000
2001-04-25,4573910000
2001-04-26,4542966000
2001-04-27,4576811193
2001-04-30,4545866806
2001-05-01,4569075000
2001-05-02,4515890000
2001-05-03,4496550000
2001-05-04,4516857000
2001-05-07,4477210000
2001-05-08,4479144000
2001-05-09,4456903000
2001-05-10,4458837000
2001-05-11,4535230193
2001-05-14,4569075000
2001-05-15,4610656000
2001-05-16,4784716000
2001-05-17,4749903806
2001-05-18,4727663000
2001-05-21,4832099193
2001-05-22,4775046193
2001-05-23,4707356000
2001-05-24,4747969806
2001-05-25,4632897000
2001-05-29,4490747806
2001-05-30,4364071193
2001-05-31,4534263000
2001-06-01,4611622806
2001-06-04,4483012000
2001-06-05,4677378806
2001-06-06,4679313000
2001-06-07,4726696193
2001-06-08,4681247000
2001-06-11,4634831000
2001-06-12,4638699193
2001-06-13,4667709000
2001-06-14,4443365000
2001-06-15,4546834000
2001-06-18,4516857000
2001-06-19,4399850000
2001-06-20,4416288806
2001-06-21,4530394806
2001-06-22,4483978806
2001-06-25,4507187000
2001-06-26,4517824193
2001-06-27,4550702193
2001-06-28,4611622806
2001-06-29,4544900000
2001-07-02,4676292000
2001-07-03,4589784194
2001-07-05,4526604000
2001-07-06,4351644000
2001-07-09,3761640000
2001-07-10,3702348000
2001-07-11,3744144000
2001-07-12,3881196000
2001-07-13,3915215805
2001-07-16,3825792000
2001-07-17,3939515805
2001-07-18,3917159999
2001-07-19,3906467805
2001-07-20,3885084194
2001-07-23,3722759999
2001-07-24,3620700000
2001-07-25,3703319805
2001-07-26,3761640000
2001-07-27,3779136194
2001-07-30,3800519805
2001-07-31,3825792000
2001-08-01,3889944000
2001-08-02,3927851999
2001-08-03,3883140000
2001-08-06,3827736194
2001-08-07,3847176194
2001-08-08,3795659999
2001-08-09,3794688000
2001-08-10,3756780194
2001-08-13,3743171805
2001-08-14,3742200000
2001-08-15,3714012000
2001-08-16,3776219805
2001-08-17,3705263805
2001-08-20,3703319805
2001-08-21,3714012000
2001-08-22,3685823805
2001-08-23,3700404000
2001-08-24,3664440000
2001-08-27,3690684194
2001-08-28,3670271805
2001-08-29,3711096000
2001-08-30,3604176194
2001-08-31,3679019805
2001-09-04,3645000000
2001-09-05,3624588000
2001-09-06,3535163805
2001-09-07,3499200000
2001-09-10,3542940000
2001-09-17,3333959999
2001-09-18,3321323805
2001-09-19,3312576194
2001-09-20,3168719805
2001-09-21,2993760000
2001-09-24,3015144000
2001-09-25,2988900000
2001-09-26,2905308000
2001-09-27,2846988000
2001-09-28,2881980000
2001-10-01,2834205000
2001-10-02,2837142000
2001-10-03,3095598000
2001-10-04,3142589804
2001-10-05,3180771195
2001-10-08,3143569000
2001-10-09,3061333000
2001-10-10,3135736804
2001-10-11,3268881000
2001-10-12,3392235195
2001-10-15,3352096195
2001-10-16,3407899195
2001-10-17,3329578804
2001-10-18,3327621195
2001-10-19,3352096195
2001-10-22,3402025000
2001-10-23,3449016999
2001-10-24,3498946195
2001-10-25,3608594000
2001-10-26,3597825000
2001-10-29,3449996195
2001-10-30,3389297804
2001-10-31,3470555000
2001-11-01,3562581000
2001-11-02,3572371195
2001-11-05,3641880000
2001-11-06,3714325804
2001-11-07,3764255000
2001-11-08,3721178804
2001-11-09,3744675000
2001-11-12,3753486000
2001-11-13,3773066000
2001-11-14,3829847804
2001-11-15,3816141999
2001-11-16,3850407195
2001-11-19,3860197000
2001-11-20,3778939804
2001-11-21,3723136804
2001-11-23,3780897804
2001-11-26,3818100000
2001-11-27,3760338999
2001-11-28,3721178804
2001-11-29,3731947804
2001-11-30,3762297000
2001-12-03,3682019000
2001-12-04,3746633000
2001-12-05,3815163195
2001-12-06,3817121195
2001-12-07,3769150000
2001-12-10,3722158000
2001-12-11,3636985195
2001-12-12,3620341999
2001-12-13,3565517804
2001-12-14,3584119000
2001-12-17,3557686000
2001-12-18,3648733000
2001-12-19,3644816999
2001-12-20,3582161000
2001-12-21,3646775000
2001-12-24,3640900804
2001-12-26,3613488999
2001-12-27,3636985195
2001-12-28,3646775000
2001-12-31,3608594000
2002-01-02,3744675000
2002-01-03,3816141999
2002-01-04,4004110195
2002-01-07,4078513999
2002-01-08,4253755000
2002-01-09,4327180000
2002-01-10,4256691999
2002-01-11,4190119999
2002-01-14,4228300804
2002-01-15,4177392804
2002-01-16,4029563999
2002-01-17,4115716000
2002-01-18,4137253804
2002-01-22,3847469999
2002-01-23,3914041999
2002-01-24,4097114804
2002-01-25,4087325000
2002-01-28,4114736804
2002-01-29,4004110195
2002-01-30,4116694999
2002-01-31,4164666000
2002-02-01,4157813195
2002-02-04,4089283000
2002-02-05,4062850000
2002-02-06,4058934000
2002-02-07,3899357195
2002-02-08,3923832195
2002-02-11,4087325000
2002-02-12,4065786804
2002-02-13,4105925804
2002-02-14,4090261804
2002-02-15,3981592804
2002-02-19,3901314804
2002-02-20,3995299195
2002-02-21,3945369999
2002-02-22,3827889804
2002-02-25,4013900000
2002-02-26,4097114804
2002-02-27,3986488195
2002-02-28,4092219999
2002-03-01,4214594999
2002-03-04,4349697000
2002-03-05,4155855000
2002-03-06,4293894000
2002-03-07,4208721195
2002-03-08,4353613195
2002-03-11,4383961804
2002-03-12,4387878000
2002-03-13,4406478804
2002-03-14,4303684000
2002-03-15,4296831000
2002-03-18,4376130000
2002-03-19,4448575804
2002-03-20,4363403000
2002-03-21,4420185195
2002-03-22,4395710195
2002-03-25,4278230000
2002-03-26,4256691999
2002-03-27,4342844000
2002-03-28,4381025000
2002-04-01,4398480000
2002-04-02,4345344000
2002-04-03,4231200000
2002-04-04,4240056000
2002-04-05,4205616196
2002-04-08,4244976000
2002-04-09,4230216196
2002-04-10,4339439803
2002-04-11,4225295803
2002-04-12,4228248196
2002-04-15,4168224000
2002-04-16,4262688000
2002-04-17,4140672196
2002-04-18,3980280000
2002-04-19,4063919999
2002-04-22,3886800000
2002-04-23,3878927803
2002-04-24,3807095803
2002-04-25,3796272196
2002-04-26,3671304196
2002-04-29,3677207803
2002-04-30,3823824000
2002-05-01,3806112000
2002-05-02,3788400000
2002-05-03,3724439803
2002-05-06,3655560196
2002-05-07,3575856000
2002-05-08,3770688000
2002-05-09,3732312000
2002-05-10,3628007803
2002-05-13,3655560196
2002-05-14,3808080000
2002-05-15,3779543999
2002-05-16,3759864000
2002-05-17,3824807803
2002-05-20,3734280000
2002-05-21,3667368000
2002-05-22,3668351803
2002-05-23,3652607803
2002-05-24,3628007803
2002-05-28,3611280000
2002-05-29,3608327803
2002-05-30,3631943999
2002-05-31,3596519999
2002-06-03,3567000000
2002-06-04,3573888000
2002-06-05,3572904196
2002-06-06,3559127803
2002-06-07,3591600000
2002-06-10,3596519999
2002-06-11,3631943999
2002-06-12,3569951803
2002-06-13,3513864000
2002-06-14,3621119999
2002-06-17,3704760196
2002-06-18,3707712000
2002-06-19,3560112000
2002-06-20,3472536000
2002-06-21,3366264000
2002-06-24,3479424000
2002-06-25,3346583803
2002-06-26,3345600000
2002-06-27,3445968000
2002-06-28,3404639803
2002-07-01,3272388000
2002-07-02,3129600000
2002-07-03,3325200000
2002-07-05,3515910000
2002-07-08,3358452000
2002-07-09,3288035804
2002-07-10,3094392000
2002-07-11,3207839999
2002-07-12,3139379804
2002-07-15,3176543999
2002-07-16,3168720195
2002-07-17,3178500000
2002-07-18,3130577804
2002-07-19,3038646000
2002-07-22,2849892000
2002-07-23,2874342000
2002-07-24,3023976000
2002-07-25,2544756000
2002-07-26,2249400000
2002-07-29,2598546000
2002-07-30,2605392000
2002-07-31,2573118000
2002-08-01,2488032000
2002-08-02,2448912000
2002-08-05,2368716000
2002-08-06,2453802000
2002-08-07,2521284000
2002-08-08,2640600000
2002-08-09,2640600000
2002-08-12,2711994000
2002-08-13,2690478000
2002-08-14,2802948000
2002-08-15,2877276000
2002-08-16,2932044000
2002-08-19,3011262000
2002-08-20,2932044000
2002-08-21,2978010000
2002-08-22,3014196000
2002-08-23,2925198000
2002-08-26,2956494000
2002-08-27,2904660000
2002-08-28,2773608000
2002-08-29,2853804000
2002-08-30,2748180000
2002-09-03,2648424000
2002-09-04,2682654000
2002-09-05,2666028000
2002-09-06,2696346000
2002-09-09,2740356000
2002-09-10,2729598000
2002-09-11,2736444000
2002-09-12,2638644000
2002-09-13,2575074000
2002-09-16,2514438000
2002-09-17,2477274000
2002-09-18,2389254000
2002-09-19,2313948000
2002-09-20,2190720000
2002-09-23,2117369999
2002-09-24,2105634000
2002-09-25,2142798000
2002-09-26,2106612000
2002-09-27,2021526000
2002-09-30,1938420000
2002-10-01,2041215000
2002-10-02,2006950000
2002-10-03,1967790000
2002-10-04,1918840000
2002-10-07,1869890000
2002-10-08,1896323000
2002-10-09,1851289000
2002-10-10,1948209999
2002-10-11,2164569000
2002-10-14,2217435000
2002-10-15,2359390000
2002-10-16,2288902000
2002-10-17,2416172000
2002-10-18,2359390000
2002-10-21,2484702000
2002-10-22,2515051000
2002-10-23,2492534000
2002-10-24,2374075000
2002-10-25,2153800000
2002-10-28,2164569000
2002-10-29,2094081000
2002-10-30,2163590000
2002-10-31,2177296000
2002-11-01,2251700000
2002-11-04,2349600000
2002-11-05,2335894000
2002-11-06,2386802000
2002-11-07,2240931000
2002-11-08,2281070000
2002-11-11,2241910000
2002-11-12,2262469000
2002-11-13,2253658000
2002-11-14,2371138000
2002-11-15,2367222000
2002-11-18,2349600000
2002-11-19,2330020000
2002-11-20,2432815000
2002-11-21,2606098000
2002-11-22,2637426000
2002-11-25,2741200000
2002-11-26,2751969000
2002-11-27,2714767000
2002-11-29,2702040000
2002-12-02,2640363000
2002-12-03,2559106000
2002-12-04,2451416000
2002-12-05,2396592000
2002-12-06,2406382000
2002-12-09,2317293000
2002-12-10,2414214000
2002-12-11,2424983000
2002-12-12,2402466000
2002-12-13,2334915000
2002-12-16,2445542000
2002-12-17,2393655000
2002-12-18,2344705000
2002-12-19,2294776000
2002-12-20,2345684000
2002-12-23,2344705000
2002-12-24,2320230000
2002-12-26,2337852000
2002-12-27,2338831000
2002-12-30,2336873000
2002-12-31,2279040000
2003-01-02,2365440000
2003-01-03,2356800000
2003-01-06,2421120000
2003-01-07,2440320000
2003-01-08,2393280000
2003-01-09,2492160000
2003-01-10,2512320000
2003-01-13,2476800000
2003-01-14,2169600000
2003-01-15,2001600000
2003-01-16,1894080000
2003-01-17,1831679999
2003-01-21,1905600000
2003-01-22,1887360000
2003-01-23,1896960000
2003-01-24,1872000000
2003-01-27,1780800000
2003-01-28,1887360000
2003-01-29,1867200000
2003-01-30,1828800000
2003-01-31,1851840000
2003-02-03,1824000000
2003-02-04,1792320000
2003-02-05,1790399999
2003-02-06,1769280000
2003-02-07,1760640000
2003-02-10,1723200000
2003-02-11,1696320000
2003-02-12,1660800000
2003-02-13,1652160000
2003-02-14,1676160000
2003-02-18,1689600000
2003-02-19,1689600000
2003-02-20,1893120000
2003-02-21,1874880000
2003-02-24,1814399999
2003-02-25,1859520000
2003-02-26,1848000000
2003-02-27,1867200000
2003-02-28,1867200000
2003-03-03,1872000000
2003-03-04,1822080000
2003-03-05,1804800000
2003-03-06,1780800000
2003-03-07,1785600000
2003-03-10,1766399999
2003-03-11,1746240000
2003-03-12,1720320000
2003-03-13,1757759999
2003-03-14,1738560000
2003-03-17,1852800000
2003-03-18,1840320000
2003-03-19,1856640000
2003-03-20,1854720000
2003-03-21,1925759999
2003-03-24,1806720000
2003-03-25,1833600000
2003-03-26,1835520000
2003-03-27,1824000000
2003-03-28,1825920000
2003-03-31,1738632000
2003-04-01,1739580000
2003-04-02,1801200000
2003-04-03,1827744000
2003-04-04,1807836000
2003-04-07,1802148000
2003-04-08,1741476000
2003-04-09,1933919999
2003-04-10,1882728000
2003-04-11,1900740000
2003-04-14,1927283999
2003-04-15,1934868000
2003-04-16,1948140000
2003-04-17,1984164000
2003-04-21,2006916000
2003-04-22,2060951999
2003-04-23,2115936000
2003-04-24,2052419999
2003-04-25,1985112000
2003-04-28,2091287999
2003-04-29,2121624000
2003-04-30,2078016000
2003-05-01,2114987999
2003-05-02,2181348000
2003-05-05,2157648000
2003-05-06,2179452000
2003-05-07,2156700000
2003-05-08,2133948000
2003-05-09,2180400000
2003-05-12,2239176000
2003-05-13,2214528000
2003-05-14,2209788000
2003-05-15,2272356000
2003-05-16,2230644000
2003-05-19,2196516000
2003-05-20,2171868000
2003-05-21,2227800000
2003-05-22,2242020000
2003-05-23,2220216000
2003-05-27,2292264000
2003-05-28,2311224000
2003-05-29,2324496000
2003-05-30,2376636000
2003-06-02,2419296000
2003-06-03,2266668000
2003-06-04,2355780000
2003-06-05,2356728000
2003-06-06,2448684000
2003-06-09,2333028000
2003-06-10,2353884000
2003-06-11,2416452000
2003-06-12,2608896000
2003-06-13,2530212000
2003-06-16,2595624000
2003-06-17,2573820000
2003-06-18,2586144000
2003-06-19,2544432000
2003-06-20,2497980000
2003-06-23,2426880000
2003-06-24,2391804000
2003-06-25,2384220000
2003-06-26,2404128000
2003-06-27,2390856000
2003-06-30,2423652000
2003-07-01,2566498000
2003-07-02,2591094000
2003-07-03,2584472000
2003-07-07,2724480000
2003-07-08,2687586000
2003-07-09,3050850000
2003-07-10,2967602000
2003-07-11,2979900000
2003-07-14,2960034000
2003-07-15,2962872000
2003-07-16,2889084000
2003-07-17,2789754000
2003-07-18,2833270000
2003-07-21,2821918000
2003-07-22,2853136000
2003-07-23,2869218000
2003-07-24,2749076000
2003-07-25,2664882000
2003-07-28,2610960000
2003-07-29,2546632000
2003-07-30,2531496000
2003-07-31,2608122000
2003-08-01,2587310000
2003-08-04,2612852000
2003-08-05,2563660000
2003-08-06,2540956000
2003-08-07,2462438000
2003-08-08,2502170000
2003-08-11,2508792000
2003-08-12,2538118000
2003-08-13,2535280000
2003-08-14,2592040000
2003-08-15,2585418000
2003-08-18,2643124000
2003-08-19,2692316000
2003-08-20,2704614000
2003-08-21,2728264000
2003-08-22,2700830000
2003-08-25,2684748000
2003-08-26,2689478000
2003-08-27,2705560000
2003-08-28,2710290000
2003-08-29,2744346000
2003-09-02,2827594000
2003-09-03,2860704000
2003-09-04,2923140000
2003-09-05,2884354000
2003-09-08,2875840000
2003-09-09,2838000000
2003-09-10,2745292000
2003-09-11,2758536000
2003-09-12,2752860000
2003-09-15,2755698000
2003-09-16,2796376000
2003-09-17,2809620000
2003-09-18,2885300000
2003-09-19,2904220000
2003-09-22,2834216000
2003-09-23,2869218000
2003-09-24,2808674000
2003-09-25,3074500000
2003-09-26,2985576000
2003-09-29,3078284000
2003-09-30,3010550000
2003-10-01,3115999999
2003-10-02,3176800000
2003-10-03,3256600000
2003-10-06,3291750000
2003-10-07,3277500000
2003-10-08,3287000000
2003-10-09,3252800000
2003-10-10,3307900000
2003-10-13,3288899999
2003-10-14,3320250000
2003-10-15,3282249999
2003-10-16,3317400000
2003-10-17,3227150000
2003-10-20,3258499999
2003-10-21,3262300000
2003-10-22,3262300000
2003-10-23,3221449999
2003-10-24,3319300000
2003-10-27,3310750000
2003-10-28,3412400000
2003-10-29,3382950000
2003-10-30,3432350000
2003-10-31,3414300000
2003-11-03,3427600000
2003-11-04,3421900000
2003-11-05,3441849999
2003-11-06,3439000000
2003-11-07,3398150000
2003-11-10,3290800000
2003-11-11,3310750000
2003-11-12,3380100000
2003-11-13,3416200000
2003-11-14,3303150000
2003-11-17,3225250000
2003-11-18,3130250000
2003-11-19,3120750000
2003-11-20,3083700000
2003-11-21,3104600000
2003-11-24,3225250000
2003-11-25,3256600000
2003-11-26,3295550000
2003-11-28,3315500000
2003-12-01,3335450000
2003-12-02,3327850000
2003-12-03,3296500000
2003-12-04,3325000000
2003-12-05,3296500000
2003-12-08,3374400000
2003-12-09,3377249999
2003-12-10,3357300000
2003-12-11,3377249999
2003-12-12,3368700000
2003-12-15,3387699999
2003-12-16,3393400000
2003-12-17,3373450000
2003-12-18,3438050000
2003-12-19,3458949999
2003-12-22,3730650000
2003-12-23,3681250000
2003-12-24,3685999999
2003-12-26,3690750000
2003-12-29,3709749999
2003-12-30,3703099999
2003-12-31,3670479999
2004-01-02,3672372000
2004-01-05,3725348000
2004-01-06,3792514000
2004-01-07,3801974000
2004-01-08,3814272000
2004-01-09,3819001999
2004-01-12,3833192000
2004-01-13,3812379999
2004-01-14,3793460000
2004-01-15,3877654000
2004-01-16,3862518000
2004-01-20,3854950000
2004-01-21,3841706000
2004-01-22,3854950000
2004-01-23,3848328000
2004-01-26,3878600000
2004-01-27,3760350000
2004-01-28,3731970000
2004-01-29,3866301999
2004-01-30,3930629999
2004-02-02,4004418000
2004-02-03,3967524000
2004-02-04,4014824000
2004-02-05,4101856000
2004-02-06,4176590000
2004-02-09,4151994000
2004-02-10,4233350000
2004-02-11,4315652000
2004-02-12,4310922000
2004-02-13,4312814000
2004-02-17,4308084000
2004-02-18,4286326000
2004-02-19,4258892000
2004-02-20,4279704000
2004-02-23,4134020000
2004-02-24,4138750000
2004-02-25,4162400000
2004-02-26,4195510000
2004-02-27,4234296000
2004-03-01,4327004000
2004-03-02,4293894000
2004-03-03,4327950000
2004-03-04,4342140000
2004-03-05,4309976000
2004-03-08,4269298000
2004-03-09,4134966000
2004-03-10,4006310000
2004-03-11,3954279999
2004-03-12,4034690000
2004-03-15,3988335999
2004-03-16,3905088000
2004-03-17,3958064000
2004-03-18,3932522000
2004-03-19,3916440000
2004-03-22,3879546000
2004-03-23,3855896000
2004-03-24,3881438000
2004-03-25,3975092000
2004-03-26,4021446000
2004-03-29,4095234000
2004-03-30,4096179999
2004-03-31,4146046000
2004-04-01,4242969000
2004-04-02,4289078000
2004-04-05,4342715000
2004-04-06,4338010000
2004-04-07,4352125000
2004-04-08,4328600000
2004-04-12,4398234000
2004-04-13,4361535000
2004-04-14,4410467000
2004-04-15,4382237000
2004-04-16,4387883000
2004-04-19,4375650000
2004-04-20,4338010000
2004-04-21,4389765000
2004-04-22,4464104000
2004-04-23,4446225000
2004-04-26,4408585000
2004-04-27,4397293000
2004-04-28,4328600000
2004-04-29,4304134000
2004-04-30,4205329000
2004-05-03,4266494000
2004-05-04,4305075000
2004-05-05,4354007000
2004-05-06,4282491000
2004-05-07,4260848000
2004-05-10,4274022000
2004-05-11,4342715000
2004-05-12,4321072000
2004-05-13,4359653000
2004-05-14,4324836000
2004-05-17,4268376000
2004-05-18,4353066000
2004-05-19,4337069000
2004-05-20,4325777000
2004-05-21,4339892000
2004-05-24,4374709000
2004-05-25,4489511000
2004-05-26,4493275000
2004-05-27,4500803000
2004-05-28,4539384000
2004-06-01,4543148000
2004-06-02,4593962000
2004-06-03,4552558000
2004-06-04,4560086000
2004-06-07,4634425000
2004-06-08,4634425000
2004-06-09,4611841000
2004-06-10,4601490000
2004-06-14,4536561000
2004-06-15,4600549000
2004-06-16,4620310000
2004-06-17,4593021000
2004-06-18,4616546000
2004-06-21,4546912000
2004-06-22,4578906000
2004-06-23,4696531000
2004-06-24,4660773000
2004-06-25,4659832000
2004-06-28,4558204000
2004-06-29,4592080000
2004-06-30,4626747000
2004-07-01,4609020000
2004-07-02,4552107000
2004-07-06,4473735000
2004-07-07,4460673000
2004-07-08,4419621000
2004-07-09,4386966000
2004-07-12,4833873000
2004-07-13,4728444000
2004-07-14,4790955000
2004-07-15,4759233000
2004-07-16,4648206000
2004-07-19,4671531000
2004-07-20,4701387000
2004-07-21,4539045000
2004-07-22,4517586000
2004-07-23,4553040000
2004-07-26,4550241000
2004-07-27,4566102000
2004-07-28,4571700000
2004-07-29,4241418000
2004-07-30,4331919000
2004-08-02,4303929000
2004-08-03,4190102999
2004-08-04,4203164999
2004-08-05,4109864999
2004-08-06,4018431000
2004-08-09,4014699000
2004-08-10,4088406000
2004-08-11,4062282000
2004-08-12,4009101000
2004-08-13,3942858000
2004-08-16,3957786000
2004-08-17,4046420999
2004-08-18,4123860000
2004-08-19,4100535000
2004-08-20,4176108000
2004-08-23,4145319000
