,VRTX
2001-07-16,2958900765
2001-07-17,2950685670
2001-07-18,2969356170
2001-07-19,3218794050
2001-07-20,3287501640
2001-07-23,3281527005
2001-07-24,3097062614
2001-07-25,3103037025
2001-07-26,3118720170
2001-07-27,3197136494
2001-07-30,3088100550
2001-07-31,2983545974
2001-08-01,3014912265
2001-08-02,2964875474
2001-08-03,2982052260
2001-08-06,2915585354
2001-08-07,2717677905
2001-08-08,2661666405
2001-08-09,2605654905
2001-08-10,2661666405
2001-08-13,2814764505
2001-08-14,2863307880
2001-08-15,2846131094
2001-08-16,2789372550
2001-08-17,2688552000
2001-08-20,2688552000
2001-08-21,2601920880
2001-08-22,2693779740
2001-08-23,2861067494
2001-08-24,2920066050
2001-08-27,2906623290
2001-08-28,2842396994
2001-08-29,2897661525
2001-08-30,2796840974
2001-08-31,2755018905
2001-09-04,2773689405
2001-09-05,2701994760
2001-09-06,2553377505
2001-09-07,2426418329
2001-09-10,2305433414
2001-09-17,2135905200
2001-09-18,1915593300
2001-09-19,1982807025
2001-09-20,1941732000
2001-09-21,1752786465
2001-09-24,1324858680
2001-09-25,1287517680
2001-09-26,1230759360
2001-09-27,1284530474
2001-09-28,1347263354
2001-10-01,1276976725
2001-10-02,1350374954
2001-10-03,1415534400
2001-10-04,1417781280
2001-10-05,1431262634
2001-10-08,1360111360
2001-10-09,1345881045
2001-10-10,1490430400
2001-10-11,1545853365
2001-10-12,1552594080
2001-10-15,1613259914
2001-10-16,1788516405
2001-10-17,1662691274
2001-10-18,1681415274
2001-10-19,1711373600
2001-10-22,1817725920
2001-10-23,1844688405
2001-10-24,1855922954
2001-10-25,1876893685
2001-10-26,1928572000
2001-10-29,1896366720
2001-10-30,1801248725
2001-10-31,1834952000
2001-11-01,1857420725
2001-11-02,1810236320
2001-11-05,1950291914
2001-11-06,2041664960
2001-11-07,1971262720
2001-11-08,1982497045
2001-11-09,1951789685
2001-11-12,1904605280
2001-11-13,2033426400
2001-11-14,2033426400
2001-11-15,2005714954
2001-11-16,1962275274
2001-11-19,2063384725
2001-11-20,1953287679
2001-11-21,1975756405
2001-11-23,2022192000
2001-11-26,2019196085
2001-11-27,2024438954
2001-11-28,1915090720
2001-11-29,1882885365
2001-11-30,1894868725
2001-12-03,1847684320
2001-12-04,1899362634
2001-12-05,2018447274
2001-12-06,2061886954
2001-12-07,2043911914
2001-12-10,1843939594
2001-12-11,1816976960
2001-12-12,1819972725
2001-12-13,1853676000
2001-12-14,1807989365
2001-12-17,1833454080
2001-12-18,1789265365
2001-12-19,1685908960
2001-12-20,1673925600
2001-12-21,1715867360
2001-12-24,1729348640
2001-12-26,1795257045
2001-12-27,1849182314
2001-12-28,1912843914
2001-12-31,1848208990
2002-01-02,1844451015
2002-01-03,1816641370
2002-01-04,1800106025
2002-01-07,1788080265
2002-01-08,1749748155
2002-01-09,1748244860
2002-01-10,1771544770
2002-01-11,1785825360
2002-01-14,1683606400
2002-01-15,1684358010
2002-01-16,1611451915
2002-01-17,1630993775
2002-01-18,1573119730
2002-01-22,1569361604
2002-01-23,1604687350
2002-01-24,1576877780
2002-01-25,1609948620
2002-01-28,1556584234
2002-01-29,1537042525
2002-01-30,1507729584
2002-01-31,1483678140
2002-02-01,1525768224
2002-02-04,1488939334
2002-02-05,1413026724
2002-02-06,1389726890
2002-02-07,1423549415
2002-02-08,1555832775
2002-02-11,1635503360
2002-02-12,1779812480
2002-02-13,1759519010
2002-02-14,1734715879
2002-02-15,1704651480
2002-02-19,1646777510
2002-02-20,1679096740
2002-02-21,1591158370
2002-02-22,1605439035
2002-02-25,1556584234
2002-02-26,1652038780
2002-02-27,1655045220
2002-02-28,1639261334
2002-03-01,1653542000
2002-03-04,1686612915
2002-03-05,1743735275
2002-03-06,1882031515
2002-03-07,1799354415
2002-03-08,1863992724
2002-03-11,1976734224
2002-03-12,1962453785
2002-03-13,2039117854
2002-03-14,2003792260
2002-03-15,2185681880
2002-03-18,2214994594
2002-03-19,2113527395
2002-03-20,2009053530
2002-03-21,2125553155
2002-03-22,2168394850
2002-03-25,2081959775
2002-03-26,2054150129
2002-03-27,2061666230
2002-03-28,2093985535
2002-04-01,2148744000
2002-04-02,2167659000
2002-04-03,2029957799
2002-04-04,2012556000
2002-04-05,1981535475
2002-04-08,2031471000
2002-04-09,1959594000
2002-04-10,2061735000
2002-04-11,2020122075
2002-04-12,2129829000
2002-04-15,2331841200
2002-04-16,2302333800
2002-04-17,2300064000
2002-04-18,2340920475
2002-04-19,2391612675
2002-04-22,2270556600
2002-04-23,2175981600
2002-04-24,1771200600
2002-04-25,1551030000
2002-04-26,1529845124
2002-04-29,1520766000
2002-04-30,1609288200
2002-05-01,1569945000
2002-05-02,1454185124
2002-05-03,1376255475
2002-05-06,1286220000
2002-05-07,1277897324
2002-05-08,1429217324
2002-05-09,1303621800
2002-05-10,1296812324
2002-05-13,1390630724
2002-05-14,1480666200
2002-05-15,1473856800
2002-05-16,1401979875
2002-05-17,1476126600
2002-05-20,1403492924
2002-05-21,1392144000
2002-05-22,1431487200
2002-05-23,1622907075
2002-05-24,1477639875
2002-05-28,1561622324
2002-05-29,1519252799
2002-05-30,1515469875
2002-05-31,1492771800
2002-06-03,1386847799
2002-06-04,1378525124
2002-06-05,1399710000
2002-06-06,1305135000
2002-06-07,1317997200
2002-06-10,1337668800
2002-06-11,1218126000
2002-06-12,1227205124
2002-06-13,1256712675
2002-06-14,1349017799
2002-06-17,1402736475
2002-06-18,1420138200
2002-06-19,1368689400
2002-06-20,1271087924
2002-06-21,1237797675
2002-06-24,1242337200
2002-06-25,1210560000
2002-06-26,1202994000
2002-06-27,1229475000
2002-06-28,1231744875
2002-07-01,1167797230
2002-07-02,1118410880
2002-07-03,1148042690
2002-07-05,1198948620
2002-07-08,1145003530
2002-07-09,1131327310
2002-07-10,983928050
2002-07-11,1086499700
2002-07-12,1100175920
2002-07-15,1127528360
2002-07-16,1185272400
2002-07-17,1251374054
2002-07-18,1192870300
2002-07-19,1196669250
2002-07-22,1202747570
2002-07-23,1185272400
2002-07-24,1265050350
2002-07-25,1287844125
2002-07-26,1328112920
2002-07-29,1405611500
2002-07-30,1500585250
2002-07-31,1499825460
2002-08-01,1410930030
2002-08-02,1400292970
2002-08-05,1300760555
2002-08-06,1386616750
2002-08-07,1396493944
2002-08-08,1483869945
2002-08-09,1466394624
2002-08-12,1538574750
2002-08-13,1482350290
2002-08-14,1587961100
2002-08-15,1698890515
2002-08-16,1649504014
2002-08-19,1616833195
2002-08-20,1673057580
2002-08-21,1799182720
2002-08-22,1747517000
2002-08-23,1702689390
2002-08-26,1700409944
2002-08-27,1613034170
2002-08-28,1565167400
2002-08-29,1618352624
2002-08-30,1511982100
2002-09-03,1409410374
2002-09-04,1466394624
2002-09-05,1379018850
2002-09-06,1448159664
2002-09-09,1518820210
2002-09-10,1534775875
2002-09-11,1543133414
2002-09-12,1486149164
2002-09-13,1499065670
2002-09-16,1484629735
2002-09-17,1433723805
2002-09-18,1436003100
2002-09-19,1360783890
2002-09-20,1328112920
2002-09-23,1241496860
2002-09-24,1353945780
2002-09-25,1418527930
2002-09-26,1459556514
2002-09-27,1410170164
2002-09-30,1408864040
2002-10-01,1490393683
2002-10-02,1390577000
2002-10-03,1385243280
2002-10-04,1324286403
2002-10-07,1338763720
2002-10-08,1350955080
2002-10-09,1238185000
2002-10-10,1270949280
2002-10-11,1270949280
2002-10-14,1321238640
2002-10-15,1411911956
2002-10-16,1375337723
2002-10-17,1436294600
2002-10-18,1427151080
2002-10-21,1434770679
2002-10-22,1398958636
2002-10-23,1443914276
2002-10-24,1470582723
2002-10-25,1472106720
2002-10-28,1489631723
2002-10-29,1475154636
2002-10-30,1509442683
2002-10-31,1494203636
2002-11-01,1494965596
2002-11-04,1587924640
2002-11-05,1451533723
2002-11-06,1463725083
2002-11-07,1447724000
2002-11-08,1402006400
2002-11-11,1363146363
2002-11-12,1344859400
2002-11-13,1341049600
2002-11-14,1330382083
2002-11-15,1305237403
2002-11-18,1363908400
2002-11-19,1334953920
2002-11-20,1370004080
2002-11-21,1424865276
2002-11-22,1426389043
2002-11-25,1450009956
2002-11-26,1341049600
2002-11-27,1400482403
2002-11-29,1414959720
2002-12-02,1452295683
2002-12-03,1391338960
2002-12-04,1353240960
2002-12-05,1321238640
2002-12-06,1328096280
2002-12-09,1268663400
2002-12-10,1261043723
2002-12-11,1264853600
2002-12-12,1267139403
2002-12-13,1232089320
2002-12-16,1279330916
2002-12-17,1291522276
2002-12-18,1286188403
2002-12-19,1265615636
2002-12-20,1270187320
2002-12-23,1280854683
2002-12-24,1274759080
2002-12-26,1264853600
2002-12-27,1222945723
2002-12-30,1200848960
2002-12-31,1211114350
2003-01-02,1250084036
2003-01-03,1221811890
2003-01-06,1209586130
2003-01-07,1207293800
2003-01-08,1163739530
2003-01-09,1169852410
2003-01-10,1178257620
2003-01-13,1214170790
2003-01-14,1197360370
2003-01-15,1173672960
2003-01-16,1222576000
2003-01-17,1179021730
2003-01-21,1146165000
2003-01-22,1158390760
2003-01-23,1169088300
2003-01-24,1142344450
2003-01-27,1107959500
2003-01-28,1098026070
2003-01-29,1089620860
2003-01-30,1058292350
2003-01-31,1057528240
2003-02-03,1059056460
2003-02-04,1029256170
2003-02-05,1049887140
2003-02-06,1059056460
2003-02-07,1087328530
2003-02-10,1091149080
2003-02-11,1065933450
2003-02-12,1049123030
2003-02-13,1007096980
2003-02-14,962014490
2003-02-18,976532580
2003-02-19,952081060
2003-02-20,934506530
2003-02-21,947496400
2003-02-24,894008700
2003-02-25,864208410
2003-02-26,864972520
2003-02-27,842049220
2003-02-28,844341550
2003-03-03,839756890
2003-03-04,815305370
2003-03-05,771751100
2003-03-06,783212750
2003-03-07,794674400
2003-03-10,793146180
2003-03-11,770986990
2003-03-12,742714920
2003-03-13,787797410
2003-03-14,769458770
2003-03-17,828295240
2003-03-18,856567310
2003-03-19,843577439
2003-03-20,845105660
2003-03-21,871085400
2003-03-24,836700450
2003-03-25,854274980
2003-03-26,858859640
2003-03-27,878726500
2003-03-28,880254720
2003-03-31,855150960
2003-04-01,844404000
2003-04-02,906582840
2003-04-03,939591360
2003-04-04,915026880
2003-04-07,930379679
2003-04-08,899674080
2003-04-09,849777480
2003-04-10,845939280
2003-04-11,816001320
2003-04-14,843636360
2003-04-15,797577960
2003-04-16,789133920
2003-04-17,806022000
2003-04-21,817536600
2003-04-22,847474559
2003-04-23,885088920
2003-04-24,898138800
2003-04-25,896603520
2003-04-28,913491600
2003-04-29,920400360
2003-04-30,925773840
2003-05-01,952641240
2003-05-02,978741000
2003-05-05,999467280
2003-05-06,1005608400
2003-05-07,947267760
2003-05-08,931147320
2003-05-09,931147320
2003-05-12,967226400
2003-05-13,970296960
2003-05-14,1009446600
2003-05-15,1073160720
2003-05-16,1036314000
2003-05-19,1002537840
2003-05-20,997932000
2003-05-21,1001002559
2003-05-22,1025567040
2003-05-23,1051666800
2003-05-27,1110007440
2003-05-28,1081604760
2003-05-29,1076998920
2003-05-30,1113078000
2003-06-02,1115380920
2003-06-03,1067787240
2003-06-04,1151460000
2003-06-05,1248950280
2003-06-06,1219779960
2003-06-09,1156065840
2003-06-10,1189074360
2003-06-11,1258929600
2003-06-12,1223618160
2003-06-13,1188306720
2003-06-16,1243576876
2003-06-17,1244344363
2003-06-18,1192144920
2003-06-19,1122289680
2003-06-20,1152995280
2003-06-23,1104633960
2003-06-24,1110775080
2003-06-25,1168348080
2003-06-26,1195215480
2003-06-27,1175256840
2003-06-30,1127490210
2003-07-01,1109764800
2003-07-02,1142903610
2003-07-03,1125178200
2003-07-07,1166023710
2003-07-08,1198391850
2003-07-09,1232301330
2003-07-10,1209181230
2003-07-11,1250026662
2003-07-14,1254650837
2003-07-15,1241549447
2003-07-16,1199933190
2003-07-17,1146756960
2003-07-18,1213805250
2003-07-21,1187602470
2003-07-22,1202245200
2003-07-23,1240778700
2003-07-24,1166794380
2003-07-25,1063524600
2003-07-28,1141362270
2003-07-29,1102058100
2003-07-30,1104370110
2003-07-31,1119783510
2003-08-01,1072772640
2003-08-04,1057359240
2003-08-05,993393630
2003-08-06,960254820
2003-08-07,964108170
2003-08-08,951777450
2003-08-11,985686929
2003-08-12,1021908420
2003-08-13,1011889710
2003-08-14,1025761770
2003-08-15,992622960
2003-08-18,1009577700
2003-08-19,994164300
2003-08-20,1022679090
2003-08-21,1027303110
2003-08-22,980292240
2003-08-25,984145590
2003-08-26,973356210
2003-08-27,954860130
2003-08-28,967190850
2003-08-29,971044200
2003-09-02,1001871000
2003-09-03,996476310
2003-09-04,1020367080
2003-09-05,1072001970
2003-09-08,1119012840
2003-09-09,1113618150
2003-09-10,1064295270
2003-09-11,1084332690
2003-09-12,1112847480
2003-09-15,1088956710
2003-09-16,1091268720
2003-09-17,1095122070
2003-09-18,1122095520
2003-09-19,1152922320
2003-09-22,1095892740
2003-09-23,1115159490
2003-09-24,1047340530
2003-09-25,1003412340
2003-09-26,938676060
2003-09-29,940217400
2003-09-30,956521800
2003-10-01,957299460
2003-10-02,999293100
2003-10-03,1042842060
2003-10-06,1038953760
2003-10-07,1059950580
2003-10-08,1038176100
2003-10-09,1031177160
2003-10-10,1042064400
2003-10-13,1073170800
2003-10-14,1053651534
2003-10-15,1026511200
2003-10-16,1026511200
2003-10-17,1001626080
2003-10-20,1013290980
2003-10-21,1055284620
2003-10-22,972075000
2003-10-23,973630320
2003-10-24,988405860
2003-10-27,970519680
2003-10-28,987628200
2003-10-29,1007847360
2003-10-30,989961180
2003-10-31,1020289919
2003-11-03,1007069700
2003-11-04,1011735660
2003-11-05,1000848419
2003-11-06,1012513320
2003-11-07,1015623960
2003-11-10,983739900
2003-11-11,622128000
2003-11-12,644680139
2003-11-13,648568440
2003-11-14,696783360
2003-11-17,684340800
2003-11-18,688229100
2003-11-19,699894000
2003-11-20,684340800
2003-11-21,675008880
2003-11-24,700671660
2003-11-25,700671660
2003-11-26,684340800
2003-11-28,679674840
2003-12-01,727889760
2003-12-02,716224860
2003-12-03,689784419
2003-12-04,707670600
2003-12-05,716224860
2003-12-08,718557840
2003-12-09,692117400
2003-12-10,701449320
2003-12-11,716224860
2003-12-12,712336560
2003-12-15,694450380
2003-12-16,703782300
2003-12-17,700671660
2003-12-18,709225919
2003-12-19,707670600
2003-12-22,724779120
2003-12-23,749664240
2003-12-24,752774880
2003-12-26,773771700
2003-12-29,794768520
2003-12-30,803322780
2003-12-31,808272900
2004-01-02,819987000
2004-01-05,790311279
2004-01-06,787187520
2004-01-07,812177600
2004-01-08,818425120
2004-01-09,788749400
2004-01-12,738769240
2004-01-13,741893000
2004-01-14,755949920
2004-01-15,772349660
2004-01-16,785625640
2004-01-20,785625640
2004-01-21,802025380
2004-01-22,804368200
2004-01-23,816082300
2004-01-26,818425120
2004-01-27,770787779
2004-01-28,790701750
2004-01-29,787968460
2004-01-30,773911540
2004-02-02,764540259
2004-02-03,762197440
2004-02-04,735645480
2004-02-05,752045220
2004-02-06,761416500
2004-02-09,780159060
2004-02-10,794215980
2004-02-11,794996920
2004-02-12,791873160
2004-02-13,805149140
2004-02-17,837167680
2004-02-18,852005540
2004-02-19,826234520
2004-02-20,797339740
2004-02-23,856691180
2004-02-24,859034000
2004-02-25,870748100
2004-02-26,881681259
2004-02-27,880119380
2004-03-01,856691180
2004-03-02,871529040
2004-03-03,866843400
2004-03-04,887928779
2004-03-05,883243140
2004-03-08,859814940
2004-03-09,821548880
2004-03-10,794215980
2004-03-11,780940000
2004-03-12,798120680
2004-03-15,749702400
2004-03-16,738769240
2004-03-17,741893000
2004-03-18,753607100
2004-03-19,741893000
2004-03-22,708312580
2004-03-23,712217279
2004-03-24,695036600
2004-03-25,730178900
2004-03-26,718464800
2004-03-29,745797700
2004-03-30,755168980
2004-03-31,742361940
2004-04-01,755759130
2004-04-02,776248950
2004-04-05,781765440
2004-04-06,741573870
2004-04-07,770732460
2004-04-08,745514220
2004-04-12,755759130
2004-04-13,706898790
2004-04-14,721872120
2004-04-15,698230020
2004-04-16,680892480
2004-04-19,714779490
2004-04-20,674587920
2004-04-21,730540890
2004-04-22,728964750
2004-04-23,711627210
2004-04-26,721872120
2004-04-27,742361940
2004-04-28,718719839
2004-04-29,717143700
2004-04-30,680892480
2004-05-03,710839140
2004-05-04,728176680
2004-05-05,732905100
2004-05-06,702170370
2004-05-07,673799850
2004-05-10,684044760
2004-05-11,691137390
2004-05-12,706110720
2004-05-13,669859500
2004-05-14,654886170
2004-05-17,647793540
2004-05-18,664343010
2004-05-19,654098100
2004-05-20,643853190
2004-05-21,684832830
2004-05-24,692713529
2004-05-25,681680550
2004-05-26,704534580
2004-05-27,691137390
2004-05-28,693501600
2004-06-01,730540890
2004-06-02,720295980
2004-06-03,693501600
2004-06-04,728964750
2004-06-07,724236330
2004-06-08,726600540
2004-06-09,707686860
2004-06-10,728964750
2004-06-14,747090360
2004-06-15,760487550
2004-06-16,760487550
2004-06-17,752606850
2004-06-18,782553510
2004-06-21,766792110
2004-06-22,799891050
2004-06-23,826685430
2004-06-24,844811040
2004-06-25,833778060
2004-06-28,827473500
2004-06-29,846387180
2004-06-30,853563280
2004-07-01,845689080
2004-07-02,833877780
2004-07-06,814192280
2004-07-07,845689080
2004-07-08,790569679
2004-07-09,788994840
2004-07-12,800018720
2004-07-13,794506780
2004-07-14,792144520
2004-07-15,779545800
2004-07-16,773246440
2004-07-19,789782260
2004-07-20,792144520
2004-07-21,709465420
2004-07-22,729938340
2004-07-23,708678000
2004-07-26,708678000
2004-07-27,740174800
2004-07-28,728363500
2004-07-29,727576080
2004-07-30,726788660
2004-08-02,701591220
2004-08-03,692929600
2004-08-04,709465420
2004-08-05,677181200
2004-08-06,659070539
2004-08-09,643322140
2004-08-10,670094420
2004-08-11,696079280
2004-08-12,692929600
2004-08-13,676393780
2004-08-16,729150920
2004-08-17,708678000
2004-08-18,744111900
2004-08-19,740174800
2004-08-20,782695480
2004-08-23,773246440
2004-08-24,764584820
2004-08-25,787420000
2004-08-26,768521920
2004-08-27,784270320
2004-08-30,761435140
2004-08-31,766159660
2004-09-01,802380980
2004-09-02,814192280
2004-09-03,807105500
2004-09-07,814192280
2004-09-08,807105500
2004-09-09,819704220
2004-09-10,846476500
2004-09-13,850413600
2004-09-14,795294200
2004-09-15,831515520
2004-09-16,831515520
2004-09-17,856712960
2004-09-20,819704220
2004-09-21,831515520
2004-09-22,790569679
2004-09-23,789782260
2004-09-24,774821280
2004-09-27,759860300
2004-09-28,780333220
2004-09-29,785845160
2004-09-30,830287500
