,MSFT
2000-05-31,323247520000
2000-06-01,333581520000
2000-06-02,342675439999
2000-06-05,345568960000
2000-06-06,359726540000
2000-06-07,364273500000
2000-06-08,355592939999
2000-06-09,355592939999
2000-06-12,345568960000
2000-06-13,350735960000
2000-06-14,364273500000
2000-06-15,373987460000
2000-06-16,374917520000
2000-06-19,380704560000
2000-06-20,387214980000
2000-06-21,416873560000
2000-06-22,412739960000
2000-06-23,401372560000
2000-06-26,410776500000
2000-06-27,407262939999
2000-06-28,407882980000
2000-06-29,398789060000
2000-06-30,423920000000
2000-07-03,423920000000
2000-07-05,415971500000
2000-07-06,428901060000
2000-07-07,434518000000
2000-07-10,420952560000
2000-07-11,419256880000
2000-07-12,425615679999
2000-07-13,423602060000
2000-07-14,418303060000
2000-07-17,414275820000
2000-07-18,415971500000
2000-07-19,387462880000
2000-07-20,396471179999
2000-07-21,383223679999
2000-07-24,373897440000
2000-07-25,365631000000
2000-07-26,359378179999
2000-07-27,367644620000
2000-07-28,369234320000
2000-07-31,369976179999
2000-08-01,363935320000
2000-08-02,367644620000
2000-08-03,372307740000
2000-08-04,366266880000
2000-08-07,370930000000
2000-08-08,392761880000
2000-08-09,393503740000
2000-08-10,384813380000
2000-08-11,383859560000
2000-08-14,382481820000
2000-08-15,379514380000
2000-08-16,376229000000
2000-08-17,379196440000
2000-08-18,376229000000
2000-08-21,374215380000
2000-08-22,377606740000
2000-08-23,374957240000
2000-08-24,376864880000
2000-08-25,374215380000
2000-08-28,377924679999
2000-08-29,375911060000
2000-08-30,370930000000
2000-08-31,369976179999
2000-09-01,371883820000
2000-09-05,371565880000
2000-09-06,367962560000
2000-09-07,371247940000
2000-09-08,367326679999
2000-09-11,364677179999
2000-09-12,360967880000
2000-09-13,361709740000
2000-09-14,348780179999
2000-09-15,340089820000
2000-09-18,333837000000
2000-09-19,344435000000
2000-09-20,340513740000
2000-09-21,340089820000
2000-09-22,335214740000
2000-09-25,324616740000
2000-09-26,332141320000
2000-09-27,321225380000
2000-09-28,324934680000
2000-09-29,319635680000
2000-10-02,315109600000
2000-10-03,301464800000
2000-10-04,295495200000
2000-10-05,295175400000
2000-10-06,296134800000
2000-10-09,288779400000
2000-10-10,290804800000
2000-10-11,297200800000
2000-10-12,289845400000
2000-10-13,286540800000
2000-10-16,268525400000
2000-10-17,268845200000
2000-10-18,275880800000
2000-10-19,329820400000
2000-10-20,347409400000
2000-10-23,331099600000
2000-10-24,327795000000
2000-10-25,326515800000
2000-10-26,343465200000
2000-10-27,360734400000
2000-10-30,368089800000
2000-10-31,367130400000
2000-11-01,371074600000
2000-11-02,374805599999
2000-11-03,363825800000
2000-11-06,370435000000
2000-11-07,375765000000
2000-11-08,370115200000
2000-11-09,377790400000
2000-11-10,359135400000
2000-11-13,354125200000
2000-11-14,366810599999
2000-11-15,373419800000
2000-11-16,367450200000
2000-11-17,368089800000
2000-11-20,358069400000
2000-11-21,361160800000
2000-11-22,363825800000
2000-11-24,372780200000
2000-11-27,376724400000
2000-11-28,357110000000
2000-11-29,346769800000
2000-11-30,305835400000
2000-12-01,301784600000
2000-12-04,300825200000
2000-12-05,319160400000
2000-12-06,302104400000
2000-12-07,283129600000
2000-12-08,290165200000
2000-12-11,309459800000
2000-12-12,311165400000
2000-12-13,305195800000
2000-12-14,295815000000
2000-12-15,262129400000
2000-12-18,254880600000
2000-12-19,238890600000
2000-12-20,221195000000
2000-12-21,231535200000
2000-12-22,247525200000
2000-12-26,249870400000
2000-12-27,247525200000
2000-12-28,237504800000
2000-12-29,231215400000
2001-01-02,231475680000
2001-01-03,255807840000
2001-01-04,258475840000
2001-01-05,262104320000
2001-01-08,261143840000
2001-01-09,276511520000
2001-01-10,282167680000
2001-01-11,293480000000
2001-01-12,285476000000
2001-01-16,280460160000
2001-01-17,282487840000
2001-01-18,296148000000
2001-01-19,325496000000
2001-01-22,320800320000
2001-01-23,323148160000
2001-01-24,335847840000
2001-01-25,329871520000
2001-01-26,341504000000
2001-01-29,344172000000
2001-01-30,338195680000
2001-01-31,325816160000
2001-02-01,332859680000
2001-02-02,324535520000
2001-02-05,330511840000
2001-02-06,333820160000
2001-02-07,345132480000
2001-02-08,332219360000
2001-02-09,315464320000
2001-02-12,313543360000
2001-02-13,310448480000
2001-02-14,311515680000
2001-02-15,313863520000
2001-02-16,305859520000
2001-02-20,298175680000
2001-02-21,300203360000
2001-02-22,294440480000
2001-02-23,302871360000
2001-02-26,317812160000
2001-02-27,316851680000
2001-02-28,314824000000
2001-03-01,316744960000
2001-03-02,302444480000
2001-03-05,306499840000
2001-03-06,317171840000
2001-03-07,323788480000
2001-03-08,316211360000
2001-03-09,302444480000
2001-03-12,277151840000
2001-03-13,289104480000
2001-03-14,288144000000
2001-03-15,286436480000
2001-03-16,291132160000
2001-03-19,289851520000
2001-03-20,281100480000
2001-03-21,267120160000
2001-03-22,288144000000
2001-03-23,301804160000
2001-03-26,299136160000
2001-03-27,310875360000
2001-03-28,296468160000
2001-03-29,295507680000
2001-03-30,291772480000
2001-04-02,300311600000
2001-04-03,287184400000
2001-04-04,279437200000
2001-04-05,305368800000
2001-04-06,302248400000
2001-04-09,307413200000
2001-04-10,321078400000
2001-04-11,323015200000
2001-04-12,334528400000
2001-04-16,326996400000
2001-04-17,330762400000
2001-04-18,351959600000
2001-04-19,366055200000
2001-04-20,371220000000
2001-04-23,367238800000
2001-04-24,363472800000
2001-04-25,374986000000
2001-04-26,371973200000
2001-04-27,361105600000
2001-04-30,364548800000
2001-05-01,377568400000
2001-05-02,375308800000
2001-05-03,368745200000
2001-05-04,380688800000
2001-05-07,384024400000
2001-05-08,387682800000
2001-05-09,378752000000
2001-05-10,376600000000
2001-05-11,373372000000
2001-05-14,369713600000
2001-05-15,367346400000
2001-05-16,372080800000
2001-05-17,366700800000
2001-05-18,366377999999
2001-05-21,370036400000
2001-05-22,378321599999
2001-05-23,374986000000
2001-05-24,385853600000
2001-05-25,381549600000
2001-05-29,378429200000
2001-05-30,372296000000
2001-05-31,372188400000
2001-06-01,378429200000
2001-06-04,380796400000
2001-06-05,390587999999
2001-06-06,389296800000
2001-06-07,396398400000
2001-06-08,393816000000
2001-06-11,388005600000
2001-06-12,387790400000
2001-06-13,380366000000
2001-06-14,370682000000
2001-06-15,365947600000
2001-06-18,359814400000
2001-06-19,362181599999
2001-06-20,373479600000
2001-06-21,375739200000
2001-06-22,370359200000
2001-06-25,370466800000
2001-06-26,377353200000
2001-06-27,382733200000
2001-06-28,391341200000
2001-06-29,392740000000
2001-07-02,381098799999
2001-07-03,380451040000
2001-07-05,369763000000
2001-07-06,356591880000
2001-07-09,354648600000
2001-07-10,348063040000
2001-07-11,358967000000
2001-07-12,386496799999
2001-07-13,385093320000
2001-07-16,384229640000
2001-07-17,387684359999
2001-07-18,380990840000
2001-07-19,391786840000
2001-07-20,373433640000
2001-07-23,362205799999
2001-07-24,357995359999
2001-07-25,364257040000
2001-07-26,359506799999
2001-07-27,353461040000
2001-07-30,355188400000
2001-07-31,357347600000
2001-08-01,358859040000
2001-08-02,364149079999
2001-08-03,361126200000
2001-08-06,357023720000
2001-08-07,358211280000
2001-08-08,350114280000
2001-08-09,350870000000
2001-08-10,353676960000
2001-08-13,355404320000
2001-08-14,349250600000
2001-08-15,341153600000
2001-08-16,348818760000
2001-08-17,334028240000
2001-08-20,338454600000
2001-08-21,328090440000
2001-08-22,327442680000
2001-08-23,319129760000
2001-08-24,334999880000
2001-08-27,336403360000
2001-08-28,327874520000
2001-08-29,325283480000
2001-08-30,307362120000
2001-08-31,308009880000
2001-09-04,302827800000
2001-09-05,311680520000
2001-09-06,302395960000
2001-09-07,299049200000
2001-09-10,310816840000
2001-09-17,285662160000
2001-09-18,293219360000
2001-09-19,290844240000
2001-09-20,274002480000
2001-09-21,268388560000
2001-09-24,280696000000
2001-09-25,276917400000
2001-09-26,271411440000
2001-09-27,269684080000
2001-09-28,276269640000
2001-10-01,279353100000
2001-10-02,286258700000
2001-10-03,303414800000
2001-10-04,304493800000
2001-10-05,311399400000
2001-10-08,313125800000
2001-10-09,294351200000
2001-10-10,299422500000
2001-10-11,303846400000
2001-10-12,304170100000
2001-10-15,313233700000
2001-10-16,315391700000
2001-10-17,302335800000
2001-10-18,306220200000
2001-10-19,312370500000
2001-10-22,324563200000
2001-10-23,325965900000
2001-10-24,330821400000
2001-10-25,337511200000
2001-10-26,335569000000
2001-10-29,321757800000
2001-10-30,317657600000
2001-10-31,313665300000
2001-11-01,333626800000
2001-11-02,331253000000
2001-11-05,341395600000
2001-11-06,349488100000
2001-11-07,346682700000
2001-11-08,347545900000
2001-11-09,351861900000
2001-11-12,354883100000
2001-11-13,366320500000
2001-11-14,355854199999
2001-11-15,356717400000
2001-11-16,354775200000
2001-11-19,358983300000
2001-11-20,352833000000
2001-11-21,345603700000
2001-11-23,349164400000
2001-11-26,351430300000
2001-11-27,343877300000
2001-11-28,338806000000
2001-11-29,349811800000
2001-11-30,346466900000
2001-12-03,349488100000
2001-12-04,356070000000
2001-12-05,367399499999
2001-12-06,370312800000
2001-12-07,365996800000
2001-12-10,361788700000
2001-12-11,363191399999
2001-12-12,366644199999
2001-12-13,357580600000
2001-12-14,363838800000
2001-12-17,372147100000
2001-12-18,373765600000
2001-12-19,374952500000
2001-12-20,360170200000
2001-12-21,364378300000
2001-12-24,362975600000
2001-12-26,365133600000
2001-12-27,366104700000
2001-12-28,366212600000
2001-12-31,358797900000
2002-01-02,363021600000
2002-01-03,374934600000
2002-01-04,373093500000
2002-01-07,371252400000
2002-01-08,375692700000
2002-01-09,372118800000
2002-01-10,375151200000
2002-01-11,371577300000
2002-01-14,370819200000
2002-01-15,376667400000
2002-01-16,367570200000
2002-01-17,378291900000
2002-01-18,357931499999
2002-01-22,349050899999
2002-01-23,345152100000
2002-01-24,349808999999
2002-01-25,345477000000
2002-01-28,345585300000
2002-01-29,337462800000
2002-01-30,340386900000
2002-01-31,345043800000
2002-02-01,339303900000
2002-02-04,330964800000
2002-02-05,331073100000
2002-02-06,327066000000
2002-02-07,323817000000
2002-02-08,328365600000
2002-02-11,331073100000
2002-02-12,325658100000
2002-02-13,334755300000
2002-02-14,333997200000
2002-02-15,326199600000
2002-02-19,319051800000
2002-02-20,324358500000
2002-02-21,314394900000
2002-02-22,314070000000
2002-02-25,319918200000
2002-02-26,317102400000
2002-02-27,316236000000
2002-02-28,315911100000
2002-03-01,332372700000
2002-03-04,342769500000
2002-03-05,341578200000
2002-03-06,344610600000
2002-03-07,339628800000
2002-03-08,346343400000
2002-03-11,348401100000
2002-03-12,338654100000
2002-03-13,336271500000
2002-03-14,331506300000
2002-03-15,338437500000
2002-03-18,336488100000
2002-03-19,337029600000
2002-03-20,325441500000
2002-03-21,332264400000
2002-03-22,327390900000
2002-03-25,320784600000
2002-03-26,319918200000
2002-03-27,321867600000
2002-03-28,326632800000
2002-04-01,326927510000
2002-04-02,310250850000
2002-04-03,305052930000
2002-04-04,305702670000
2002-04-05,302562260000
2002-04-08,309817690000
2002-04-09,297147760000
2002-04-10,304836350000
2002-04-11,296606310000
2002-04-12,302778840000
2002-04-15,301587650000
2002-04-16,313066390000
2002-04-17,306677280000
2002-04-18,305269510000
2002-04-19,309709400000
2002-04-22,301046200000
2002-04-23,292383000000
2002-04-24,287076790000
2002-04-25,290975230000
2002-04-26,278846750000
2002-04-29,282853480000
2002-04-30,282961770000
2002-05-01,285669020000
2002-05-02,277330690000
2002-05-03,268342620000
2002-05-06,263252990000
2002-05-07,267909459999
2002-05-08,297689210000
2002-05-09,282203740000
2002-05-10,271049870000
2002-05-13,285344150000
2002-05-14,297147760000
2002-05-15,296498020000
2002-05-16,301804230000
2002-05-17,303428580000
2002-05-20,292383000000
2002-05-21,282636900000
2002-05-22,290758650000
2002-05-23,296822890000
2002-05-24,288376270000
2002-05-28,283286640000
2002-05-29,281878870000
2002-05-30,285019280000
2002-05-31,275706340000
2002-06-03,267584590000
2002-06-04,270616709999
2002-06-05,279713070000
2002-06-06,281012550000
2002-06-07,281445710000
2002-06-10,285993890000
2002-06-11,284694410000
2002-06-12,300721330000
2002-06-13,293574190000
2002-06-14,299205270000
2002-06-17,301479360000
2002-06-18,303212000000
2002-06-19,294332220000
2002-06-20,292924450000
2002-06-21,283070060000
2002-06-24,293249320000
2002-06-25,286751920000
2002-06-26,293141030000
2002-06-27,297364340000
2002-06-28,296173150000
2002-07-01,282757870000
2002-07-02,276207080000
2002-07-03,281791360000
2002-07-05,294570770000
2002-07-08,284153940000
2002-07-09,285764790000
2002-07-10,280502680000
2002-07-11,284153940000
2002-07-12,278462270000
2002-07-15,278140100000
2002-07-16,275240570000
2002-07-17,279214000000
2002-07-18,274488840000
2002-07-19,266112420000
2002-07-22,248715240000
2002-07-23,230888500000
2002-07-24,248285680000
2002-07-25,230029380000
2002-07-26,243560520000
2002-07-29,259132070000
2002-07-30,258272950000
2002-07-31,257628609999
2002-08-01,245708320000
2002-08-02,238513190000
2002-08-05,236258000000
2002-08-06,245278760000
2002-08-07,252903450000
2002-08-08,262675940000
2002-08-09,258380340000
2002-08-12,260313359999
2002-08-13,252688670000
2002-08-14,266971540000
2002-08-15,267293710000
2002-08-16,268475000000
2002-08-19,279214000000
2002-08-20,274059280000
2002-08-21,280717460000
2002-08-22,285872180000
2002-08-23,280395290000
2002-08-26,279750950000
2002-08-27,272985380000
2002-08-28,265145910000
2002-08-29,271589310000
2002-08-30,263535060000
2002-09-03,252473890000
2002-09-04,258917290000
2002-09-05,246567440000
2002-09-06,256769490000
2002-09-09,261494650000
2002-09-10,267293710000
2002-09-11,260850310000
2002-09-12,253118230000
2002-09-13,257306440000
2002-09-16,256554710000
2002-09-17,253869960000
2002-09-18,256447320000
2002-09-19,253440400000
2002-09-20,254836470000
2002-09-23,242916180000
2002-09-24,245278760000
2002-09-25,249681750000
2002-09-26,248070900000
2002-09-27,243023570000
2002-09-30,234074610000
2002-10-01,247453360000
2002-10-02,244135430000
2002-10-03,239319080000
2002-10-04,234288670000
2002-10-07,235787090000
2002-10-08,240817500000
2002-10-09,235466000000
2002-10-10,248202570000
2002-10-11,261581320000
2002-10-14,263721920000
2002-10-15,279776420000
2002-10-16,269822630000
2002-10-17,271749170000
2002-10-18,284378710000
2002-10-21,280953750000
2002-10-22,276565520000
2002-10-23,284699800000
2002-10-24,274210860000
2002-10-25,281917020000
2002-10-28,278063940000
2002-10-29,278706120000
2002-10-30,284271680000
2002-10-31,286198220000
2002-11-01,283629500000
2002-11-04,300219150000
2002-11-05,303323020000
2002-11-06,305249560000
2002-11-07,299684000000
2002-11-08,294867650000
2002-11-11,288231790000
2002-11-12,291656750000
2002-11-13,296259040000
2002-11-14,305035500000
2002-11-15,303430050000
2002-11-18,298934790000
2002-11-19,293583290000
2002-11-20,303001930000
2002-11-21,309530760000
2002-11-22,311564330000
2002-11-25,311671360000
2002-11-26,304500350000
2002-11-27,310815120000
2002-11-29,308674520000
2002-12-02,308781550000
2002-12-03,303537080000
2002-12-04,302573810000
2002-12-05,296152010000
2002-12-06,296901220000
2002-12-09,286519310000
2002-12-10,288981000000
2002-12-11,292512990000
2002-12-12,289944270000
2002-12-13,280953750000
2002-12-16,291549720000
2002-12-17,290907540000
2002-12-18,286519310000
2002-12-19,284271680000
2002-12-20,283843560000
2002-12-23,288981000000
2002-12-24,288017730000
2002-12-26,285770100000
2002-12-27,283522470000
2002-12-30,282345140000
2002-12-31,276982750000
2003-01-02,287804900000
2003-01-03,288126350000
2003-01-06,293483850000
2003-01-07,298948500000
2003-01-08,290590800000
2003-01-09,299055650000
2003-01-10,299591400000
2003-01-13,302163000000
2003-01-14,305270350000
2003-01-15,301520100000
2003-01-16,296591200000
2003-01-17,275696950000
2003-01-21,275054050000
2003-01-22,273232500000
2003-01-23,280090100000
2003-01-24,267124950000
2003-01-27,263481850000
2003-01-28,261553150000
2003-01-29,267446400000
2003-01-30,258445800000
2003-01-31,254266950000
2003-02-03,260160200000
2003-02-04,253516900000
2003-02-05,251588200000
2003-02-06,254052650000
2003-02-07,249552350000
2003-02-10,253838350000
2003-02-11,248802300000
2003-02-12,248802300000
2003-02-13,251802500000
2003-02-14,258767250000
2003-02-18,267446400000
2003-02-19,262838950000
2003-02-20,258767250000
2003-02-21,263696150000
2003-02-24,257910050000
2003-02-25,259195850000
2003-02-26,252874000000
2003-02-27,252659699999
2003-02-28,253945500000
2003-03-03,252231100000
2003-03-04,247195050000
2003-03-05,251159600000
2003-03-06,249338050000
2003-03-07,252445400000
2003-03-10,245909250000
2003-03-11,244194850000
2003-03-12,250623850000
2003-03-13,264339050000
2003-03-14,266374900000
2003-03-17,277839950000
2003-03-18,279018600000
2003-03-19,282018800000
2003-03-20,281268750000
2003-03-21,284697550000
2003-03-24,270982350000
2003-03-25,273125349999
2003-03-26,270553750000
2003-03-27,268303600000
2003-03-28,264339050000
2003-03-31,259821720000
2003-04-01,261324200000
2003-04-02,276027040000
2003-04-03,276134360000
2003-04-04,269265880000
2003-04-07,270124440000
2003-04-08,274524559999
2003-04-09,263685240000
2003-04-10,263899880000
2003-04-11,259714400000
2003-04-14,265617000000
2003-04-15,264114520000
2003-04-16,267441440000
2003-04-17,273666000000
2003-04-21,270553720000
2003-04-22,276241680000
2003-04-23,276027040000
2003-04-24,273558679999
2003-04-25,270553720000
2003-04-28,276241680000
2003-04-29,276992920000
2003-04-30,274309920000
2003-05-01,275919720000
2003-05-02,280427160000
2003-05-05,277529520000
2003-05-06,283110160000
2003-05-07,278924680000
2003-05-08,276349000000
2003-05-09,282788200000
2003-05-12,281285720000
2003-05-13,278924680000
2003-05-14,275061160000
2003-05-15,276778280000
2003-05-16,274417240000
2003-05-19,266153600000
2003-05-20,264329160000
2003-05-21,257889960000
2003-05-22,259285120000
2003-05-23,259929040000
2003-05-27,266046280000
2003-05-28,261968120000
2003-05-29,261860800000
2003-05-30,264114520000
2003-06-02,264436480000
2003-06-03,267012160000
2003-06-04,266904840000
2003-06-05,258533880000
2003-06-06,254026440000
2003-06-09,254885000000
2003-06-10,264865760000
2003-06-11,267012160000
2003-06-12,268192679999
2003-06-13,264543800000
2003-06-16,272485480000
2003-06-17,278602720000
2003-06-18,279783240000
2003-06-19,279783240000
2003-06-20,282573560000
2003-06-23,276670960000
2003-06-24,275812400000
2003-06-25,271090320000
2003-06-26,276349000000
2003-06-27,275061160000
2003-06-30,277194040000
2003-07-01,282707650000
2003-07-02,290599680000
2003-07-03,286491500000
2003-07-07,296437620000
2003-07-08,299464700000
2003-07-09,296978170000
2003-07-10,290924010000
2003-07-11,295248410000
2003-07-14,296221400000
2003-07-15,294815970000
2003-07-16,297518720000
2003-07-17,288545590000
2003-07-18,290707790000
2003-07-21,281518440000
2003-07-22,285194180000
2003-07-23,285950950000
2003-07-24,281086000000
2003-07-25,290707790000
2003-07-28,287680710000
2003-07-29,286167170000
2003-07-30,283572530000
2003-07-31,285518510000
2003-08-01,282923870000
2003-08-04,283031980000
2003-08-05,277410260000
2003-08-06,277302150000
2003-08-07,277950810000
2003-08-08,276545380000
2003-08-11,276869710000
2003-08-12,278167030000
2003-08-13,276761600000
2003-08-14,277085930000
2003-08-15,276112940000
2003-08-18,277842700000
2003-08-19,287788820000
2003-08-20,285950950000
2003-08-21,283680640000
2003-08-22,283464420000
2003-08-25,286491500000
2003-08-26,287248270000
2003-08-27,285626620000
2003-08-28,286599610000
2003-08-29,286707720000
2003-09-02,294707860000
2003-09-03,305951300000
2003-09-04,307356730000
2003-09-05,306816180000
2003-09-08,311789240000
2003-09-09,306708070000
2003-09-10,297843050000
2003-09-11,300978240000
2003-09-12,306383740000
2003-09-15,306599960000
2003-09-16,312437900000
2003-09-17,308113500000
2003-09-18,318924500000
2003-09-19,323897560000
2003-09-22,314275770000
2003-09-23,320005600000
2003-09-24,307681060000
2003-09-25,305302640000
2003-09-26,304762090000
2003-09-29,311681130000
2003-09-30,300518000000
2003-10-01,308301200000
2003-10-02,308085000000
2003-10-03,314354800000
2003-10-06,315543900000
2003-10-07,315003400000
2003-10-08,311544200000
2003-10-09,312841400000
2003-10-10,312517100000
2003-10-13,311111800000
2003-10-14,310030800000
2003-10-15,314246700000
2003-10-16,315976300000
2003-10-17,312733300000
2003-10-20,317273500000
2003-10-21,317273500000
2003-10-22,312300900000
2003-10-23,312517100000
2003-10-24,287654100000
2003-10-27,290897100000
2003-10-28,294032000000
2003-10-29,289059400000
2003-10-30,282357200000
2003-10-31,282573400000
2003-11-03,288410800000
2003-11-04,281816700000
2003-11-05,282141000000
2003-11-06,283546300000
2003-11-07,282141000000
2003-11-10,281060000000
2003-11-11,278898000000
2003-11-12,280843800000
2003-11-13,277708900000
2003-11-14,275655000000
2003-11-17,271871499999
2003-11-18,271871499999
2003-11-19,274033500000
2003-11-20,271331000000
2003-11-21,271439100000
2003-11-24,278141300000
2003-11-25,274573999999
2003-11-26,275114500000
2003-11-28,277925100000
2003-12-01,279330400000
2003-12-02,277384600000
2003-12-03,277492700000
2003-12-04,283222000000
2003-12-05,280843800000
2003-12-08,283654400000
2003-12-09,285167800000
2003-12-10,287437900000
2003-12-11,287654100000
2003-12-12,288086500000
2003-12-15,289059400000
2003-12-16,292518600000
2003-12-17,292302400000
2003-12-18,296194000000
2003-12-19,295761600000
2003-12-22,293815800000
2003-12-23,293491500000
2003-12-24,292302400000
2003-12-26,294140100000
2003-12-29,296842600000
2003-12-30,297491200000
2003-12-31,295185450000
2004-01-02,296048250000
2004-01-05,303489900000
2004-01-06,304568400000
2004-01-07,304244850000
2004-01-08,303705600000
2004-01-09,298313100000
2004-01-12,297342450000
2004-01-13,295832550000
2004-01-14,298744500000
2004-01-15,297018900000
2004-01-16,299930850000
2004-01-20,303058500000
2004-01-21,305215500000
2004-01-22,302087850000
2004-01-23,307156800000
2004-01-26,310608000000
2004-01-27,304676250000
2004-01-28,298852350000
2004-01-29,301009350000
2004-01-30,298205250000
2004-02-02,295509000000
2004-02-03,294322650000
2004-02-04,291302850000
2004-02-05,290763600000
2004-02-06,292057800000
2004-02-09,290116500000
2004-02-10,291410700000
2004-02-11,292812750000
2004-02-12,290655750000
2004-02-13,286773150000
2004-02-17,291087150000
2004-02-18,288714450000
2004-02-19,285371100000
2004-02-20,286557450000
2004-02-23,286988850000
2004-02-24,289900800000
2004-02-25,287959500000
2004-02-26,285802500000
2004-02-27,286126050000
2004-03-01,287959500000
2004-03-02,284616150000
2004-03-03,284400450000
2004-03-04,284400450000
2004-03-05,284184750000
2004-03-08,278576550000
2004-03-09,277390200000
2004-03-10,273615450000
2004-03-11,270595650000
2004-03-12,273723300000
2004-03-15,271350600000
2004-03-16,271566300000
2004-03-17,271027050000
2004-03-18,268438650000
2004-03-19,265634550000
2004-03-22,264232500000
2004-03-23,260457749999
2004-03-24,263261850000
2004-03-25,271674150000
2004-03-26,269948550000
2004-03-29,272968350000
2004-03-30,271782000000
2004-03-31,269842320000
2004-04-01,271465919999
2004-04-02,279800400000
2004-04-05,280882800000
2004-04-06,279259200000
2004-04-07,276986160000
2004-04-08,275795520000
2004-04-12,277202640000
2004-04-13,275470800000
2004-04-14,276120240000
2004-04-15,272981280000
2004-04-16,272331840000
2004-04-19,276336720000
2004-04-20,274171919999
2004-04-21,275470800000
2004-04-22,280882800000
2004-04-23,298092960000
2004-04-26,294845760000
2004-04-27,294629280000
2004-04-28,287485440000
2004-04-29,286619520000
2004-04-30,282831120000
2004-05-03,285212400000
2004-05-04,284995920000
2004-05-05,284671200000
2004-05-06,282722880000
2004-05-07,279042720000
2004-05-10,280666320000
2004-05-11,280774560000
2004-05-12,280774560000
2004-05-13,282506400000
2004-05-14,279908640000
2004-05-17,276444960000
2004-05-18,279583920000
2004-05-19,277310880000
2004-05-20,278501520000
2004-05-21,280233360000
2004-05-24,278826240000
2004-05-25,282506400000
2004-05-26,282939360000
2004-05-27,283480560000
2004-05-28,283913520000
2004-06-01,282614640000
2004-06-02,282831120000
2004-06-03,280233360000
2004-06-04,280882800000
2004-06-07,286078320000
2004-06-08,287918400000
2004-06-09,286511280000
2004-06-10,289758480000
2004-06-14,291165600000
2004-06-15,296685840000
2004-06-16,295711680000
2004-06-17,300582480000
2004-06-18,306860400000
2004-06-21,306860400000
2004-06-22,306210960000
2004-06-23,306319200000
2004-06-24,307293360000
2004-06-25,309241680000
2004-06-28,306102720000
2004-06-29,308484000000
2004-06-30,310532880000
2004-07-01,311293990000
2004-07-02,310641610000
2004-07-06,304661460000
2004-07-07,305531300000
2004-07-08,300529720000
2004-07-09,302921780000
2004-07-12,303247970000
2004-07-13,300094800000
2004-07-14,305857490000
2004-07-15,303030510000
2004-07-16,298790040000
2004-07-19,303900350000
2004-07-20,307923360000
2004-07-21,313794780000
2004-07-22,315317000000
2004-07-23,304770190000
2004-07-26,311620180000
2004-07-27,309228120000
2004-07-28,310750340000
2004-07-29,309663040000
2004-07-30,309771770000
2004-08-02,310097960000
2004-08-03,305205110000
2004-08-04,305096380000
2004-08-05,299333690000
2004-08-06,295093220000
2004-08-09,295528140000
2004-08-10,301399560000
2004-08-11,298028930000
2004-08-12,292266240000
2004-08-13,293788460000
2004-08-16,294549570000
2004-08-17,294114650000
2004-08-18,298572580000
2004-08-19,294875760000
2004-08-20,295745600000
2004-08-23,296180520000
