,PAYX
2000-08-18,16439342850
2000-08-21,16647671250
2000-08-22,16904361600
2000-08-23,16576988400
2000-08-24,16417021950
2000-08-25,15952003200
2000-08-28,14902920900
2000-08-29,15416301600
2000-08-30,16346339100
2000-08-31,16629941340
2000-09-01,16302037500
2000-09-05,16208883000
2000-09-06,15951776580
2000-09-07,15929419500
2000-09-08,15512087340
2000-09-11,15556801500
2000-09-12,16044931080
2000-09-13,16279680420
2000-09-14,16000216920
2000-09-15,16443632340
2000-09-18,16093371420
2000-09-19,16697012580
2000-09-20,16231240080
2000-09-21,17326737000
2000-09-22,17513046000
2000-09-25,18094330080
2000-09-26,19167469920
2000-09-27,19890348840
2000-09-28,19540087920
2000-09-29,19562445000
2000-10-02,19238267340
2000-10-03,19051958340
2000-10-04,19260624420
2000-10-05,19167469920
2000-10-06,18981160920
2000-10-09,19145112840
2000-10-10,18466948080
2000-10-11,18537745500
2000-10-12,18049615920
2000-10-13,17840949840
2000-10-16,18932720580
2000-10-17,18865649340
2000-10-18,18444591000
2000-10-19,18865649340
2000-10-20,18630900000
2000-10-23,18560102580
2000-10-24,19748754000
2000-10-25,20423192580
2000-10-26,19096672500
2000-10-27,20005860420
2000-10-30,21704998500
2000-10-31,21123714420
2000-11-01,20099014920
2000-11-02,20844250920
2000-11-03,20516347080
2000-11-06,20400835500
2000-11-07,20959762500
2000-11-08,20099014920
2000-11-09,20542430340
2000-11-10,20564787420
2000-11-13,21123714420
2000-11-14,21123714420
2000-11-15,21310023420
2000-11-16,21354737580
2000-11-17,20844250920
2000-11-20,22148413920
2000-11-21,22241568420
2000-11-22,21567129840
2000-11-24,21962104920
2000-11-27,21891307500
2000-11-28,21391999380
2000-11-29,22126056840
2000-11-30,21685803410
2000-12-01,19607875920
2000-12-04,17369533920
2000-12-05,16463005410
2000-12-06,16321243750
2000-12-07,16742798160
2000-12-08,17488912160
2000-12-11,16298860330
2000-12-12,15739274830
2000-12-13,16089948410
2000-12-14,15388601250
2000-12-15,14549223000
2000-12-18,15224456170
2000-12-19,15623627160
2000-12-20,15690777420
2000-12-21,17488912160
2000-12-22,18861761920
2000-12-26,18861761920
2000-12-27,19048290420
2000-12-28,18981140160
2000-12-29,18141761910
2001-01-02,17044974330
2001-01-03,18141761910
2001-01-04,16903212670
2001-01-05,16671917330
2001-01-08,17324767080
2001-01-09,18115647920
2001-01-10,17675440660
2001-01-11,17884352580
2001-01-12,18093264500
2001-01-16,17675440660
2001-01-17,17813471750
2001-01-18,18141761910
2001-01-19,17347150500
2001-01-22,17067357750
2001-01-23,17347150500
2001-01-24,16996476920
2001-01-25,16601036500
2001-01-26,17044974330
2001-01-29,17115855160
2001-01-30,16880829250
2001-01-31,16836062410
2001-02-01,15459482080
2001-02-02,14784248910
2001-02-05,14877513160
2001-02-06,15202072750
2001-02-07,15716891410
2001-02-08,15530362910
2001-02-09,15761658250
2001-02-12,16063834420
2001-02-13,15388601250
2001-02-14,16157098670
2001-02-15,15948186750
2001-02-16,15530362910
2001-02-20,15552746330
2001-02-21,15739274830
2001-02-22,16436891420
2001-02-23,16276476910
2001-02-26,15996684160
2001-02-27,15388601250
2001-02-28,14914714320
2001-03-01,14728000320
2001-03-02,14563692000
2001-03-05,14866168680
2001-03-06,15239596680
2001-03-07,15194785320
2001-03-08,14959525680
2001-03-09,14518880640
2001-03-12,13118525640
2001-03-13,13678667640
2001-03-14,13327645320
2001-03-15,13092385680
2001-03-16,12610663560
2001-03-19,13585310640
2001-03-20,12812314680
2001-03-21,13585310640
2001-03-22,14283621000
2001-03-23,14332166640
2001-03-26,14167858320
2001-03-27,14306026680
2001-03-28,14354572320
2001-03-29,14052095640
2001-03-30,13839241680
2001-04-02,13865381640
2001-04-03,13256694000
2001-04-04,13723479000
2001-04-05,13723479000
2001-04-06,13514359320
2001-04-09,14156655479
2001-04-10,14414320800
2001-04-11,13962472920
2001-04-12,12737629080
2001-04-16,13088651399
2001-04-17,13465813680
2001-04-18,14141718359
2001-04-19,13760821800
2001-04-20,13443408000
2001-04-23,12883266000
2001-04-24,12696552000
2001-04-25,13630122000
2001-04-26,12864594600
2001-04-27,12711489120
2001-04-30,12905671680
2001-05-01,12528509399
2001-05-02,12147612840
2001-05-03,11740576320
2001-05-04,12416481000
2001-05-07,12513572280
2001-05-08,12883266000
2001-05-09,12980357280
2001-05-10,13204414080
2001-05-11,13364988120
2001-05-14,13514359320
2001-05-15,13794430320
2001-05-16,14526349200
2001-05-17,14362040880
2001-05-18,14429257920
2001-05-21,15232128120
2001-05-22,15967781280
2001-05-23,14843763000
2001-05-24,15220925280
2001-05-25,15093959760
2001-05-29,14918448600
2001-05-30,14716797479
2001-05-31,14371974540
2001-06-01,15011476920
2001-06-04,14888064180
2001-06-05,14955380220
2001-06-06,14506606620
2001-06-07,14712294520
2001-06-08,14540264640
2001-06-11,14177505979
2001-06-12,14106450160
2001-06-13,13672635680
2001-06-14,13612799200
2001-06-15,13724992600
2001-06-18,13919461160
2001-06-19,14061572800
2001-06-20,14256041359
2001-06-21,14319617620
2001-06-22,13825966660
2001-06-25,13728732380
2001-06-26,14248561800
2001-06-27,14229862899
2001-06-28,15217164820
2001-06-29,14959120000
2001-07-02,15258302399
2001-07-03,15127410100
2001-07-05,14873105060
2001-07-06,14615060240
2001-07-09,14802049240
2001-07-10,14383193880
2001-07-11,14510346399
2001-07-12,15280741080
2001-07-13,15482689200
2001-07-16,15411633380
2001-07-17,15508867660
2001-07-18,15609841720
2001-07-19,15707076000
2001-07-20,15333098000
2001-07-23,14697335399
2001-07-24,14697335399
2001-07-25,14600101120
2001-07-26,14734733200
2001-07-27,14506606620
2001-07-30,14428071240
2001-07-31,14697335399
2001-08-01,14618800020
2001-08-02,14585142000
2001-08-03,14113929720
2001-08-06,14244822020
2001-08-07,14398153000
2001-08-08,14401892780
2001-08-09,14600101120
2001-08-10,14630019359
2001-08-13,14903023300
2001-08-14,14633759140
2001-08-15,14532785080
2001-08-16,14787090120
2001-08-17,14401892780
2001-08-20,14637498920
2001-08-21,14342056300
2001-08-22,14435550800
2001-08-23,14289699380
2001-08-24,14764651439
2001-08-27,14652458040
2001-08-28,14285959600
2001-08-29,14184985540
2001-08-30,13889542920
2001-08-31,13883159840
2001-09-04,13594785599
2001-09-05,13115410240
2001-09-06,12096737599
2001-09-07,11677284160
2001-09-10,11823343840
2001-09-17,11074319840
2001-09-18,11868285280
2001-09-19,11778402400
2001-09-20,11403890400
2001-09-21,11100535680
2001-09-24,11310262400
2001-09-25,11235360000
2001-09-26,10965711360
2001-09-27,11377674560
2001-09-28,11800873120
2001-10-01,11381419680
2001-10-02,11287791680
2001-10-03,11546204960
2001-10-04,11890756000
2001-10-05,11950677920
2001-10-08,11905736480
2001-10-09,11534969600
2001-10-10,12422563040
2001-10-11,12856996960
2001-10-12,12714682400
2001-10-15,12336425280
2001-10-16,12497465439
2001-10-17,12044305919
2001-10-18,11834579200
2001-10-19,12160404640
2001-10-22,12265268000
2001-10-23,12152914400
2001-10-24,12508700800
2001-10-25,12669740960
2001-10-26,13104174880
2001-10-29,12115463200
2001-10-30,12141679040
2001-10-31,12006854720
2001-11-01,12767114080
2001-11-02,12557387360
2001-11-05,13253979680
2001-11-06,13126645599
2001-11-07,12961860320
2001-11-08,13175332160
2001-11-09,13036762720
2001-11-12,12961860320
2001-11-13,13392549120
2001-11-14,13714629439
2001-11-15,13519883200
2001-11-16,13441235680
2001-11-19,13538608800
2001-11-20,13242744320
2001-11-21,13400039360
2001-11-23,13489922240
2001-11-26,13553589280
2001-11-27,13392549120
2001-11-28,13066723680
2001-11-29,13051743200
2001-11-30,13126019220
2001-12-03,13062282480
2001-12-04,13470947460
2001-12-05,14753180700
2001-12-06,14070822660
2001-12-07,14067073440
2001-12-10,13898358540
2001-12-11,14217042240
2001-12-12,14625707220
2001-12-13,14284528200
2001-12-14,14168302380
2001-12-17,14325769620
2001-12-18,14014584360
2001-12-19,13350972420
2001-12-20,12934809000
2001-12-21,13118520780
2001-12-24,13167260639
2001-12-26,13320978660
2001-12-27,13395963059
2001-12-28,13422207599
2001-12-31,13066031700
2002-01-02,12972301200
2002-01-03,13201003620
2002-01-04,13350972420
2002-01-07,13043536380
2002-01-08,12957304320
2002-01-09,13268489580
2002-01-10,13830872580
2002-01-11,13879612440
2002-01-14,13812126480
2002-01-15,14172051599
2002-01-16,13890860099
2002-01-17,14100816420
2002-01-18,13587173280
2002-01-22,13253492700
2002-01-23,13437204480
2002-01-24,13587173280
2002-01-25,13519687320
2002-01-28,13253492700
2002-01-29,12803586300
2002-01-30,13455950580
2002-01-31,13759637400
2002-02-01,13422207599
2002-02-04,13174759080
2002-02-05,13178508300
2002-02-06,13073530139
2002-02-07,13103523900
2002-02-08,13493442780
2002-02-11,13609668599
2002-02-12,13272238800
2002-02-13,13324727880
2002-02-14,13272238800
2002-02-15,13534684200
2002-02-19,13422207599
2002-02-20,13527185760
2002-02-21,13234746599
2002-02-22,13624665480
2002-02-25,13954596840
2002-02-26,13924603080
2002-02-27,13789631160
2002-02-28,13878715600
2002-03-01,14423347200
2002-03-04,15501342160
2002-03-05,15084417279
2002-03-06,15264709120
2002-03-07,15272221279
2002-03-08,15542659040
2002-03-11,15610268480
2002-03-12,15606512399
2002-03-13,15129490240
2002-03-14,14855296399
2002-03-15,15230904399
2002-03-18,15384903680
2002-03-19,15550171200
2002-03-20,14877832880
2002-03-21,14836516000
2002-03-22,14746370080
2002-03-25,14329445200
2002-03-26,14415835040
2002-03-27,14393298560
2002-03-28,14911637600
2002-04-01,14746370080
2002-04-02,14569834320
2002-04-03,14494712720
2002-04-04,14498468800
2002-04-05,14626175520
2002-04-08,14855296399
2002-04-09,14798955200
2002-04-10,15253440880
2002-04-11,15009295680
2002-04-12,15306026000
2002-04-15,15212124000
2002-04-16,15535146880
2002-04-17,15103197680
2002-04-18,15024320000
2002-04-19,14750126160
2002-04-22,14596126880
2002-04-23,14445883680
2002-04-24,14310664800
2002-04-25,14310664800
2002-04-26,14021446640
2002-04-29,13593253520
2002-04-30,14021446640
2002-05-01,13912520320
2002-05-02,13717204160
2002-05-03,13349108320
2002-05-06,12939695600
2002-05-07,13127499600
2002-05-08,13615790000
2002-05-09,13168816480
2002-05-10,12744379440
2002-05-13,12823257120
2002-05-14,13356620480
2002-05-15,13781057520
2002-05-16,13987641920
2002-05-17,14134129040
2002-05-20,13675887279
2002-05-21,13540668399
2002-05-22,13443010320
2002-05-23,13559448800
2002-05-24,13349108320
2002-05-28,13281498880
2002-05-29,13213889440
2002-05-30,12977256399
2002-05-31,13026840750
2002-06-03,12741114950
2002-06-04,12959168850
2002-06-05,13158425000
2002-06-06,12925332900
2002-06-07,12974207050
2002-06-10,12797508200
2002-06-11,12707278999
2002-06-12,12752393600
2002-06-13,12395236350
2002-06-14,12387717250
2002-06-17,12936611549
2002-06-18,12812546400
2002-06-19,12462908250
2002-06-20,12124548750
2002-06-21,11553097150
2002-06-24,11722276900
2002-06-25,10966607350
2002-06-26,11383917400
2002-06-27,11485425250
2002-06-28,11763631950
2002-07-01,11177142150
2002-07-02,10741034350
2002-07-03,11120748900
2002-07-05,11695960050
2002-07-08,11075634300
2002-07-09,10812465800
2002-07-10,10387636650
2002-07-11,10579373700
2002-07-12,10654564700
2002-07-15,11019241050
2002-07-16,10492904050
2002-07-17,10609450100
2002-07-18,9210897500
2002-07-19,8752232400
2002-07-22,8357479650
2002-07-23,8421391999
2002-07-24,8932690800
2002-07-25,8677041400
2002-07-26,8955248100
2002-07-29,9827463700
2002-07-30,9778589550
2002-07-31,9891376050
2002-08-01,9560535650
2002-08-02,8970286300
2002-08-05,8417632450
2002-08-06,8616888600
2002-08-07,8500342550
2002-08-08,8466506600
2002-08-09,8169502150
2002-08-12,7725875250
2002-08-13,8109349350
2002-08-14,8771030150
2002-08-15,8639445900
2002-08-16,9086832350
2002-08-19,9146985150
2002-08-20,9011641350
2002-08-21,9286088500
2002-08-22,9496623300
2002-08-23,9169542450
2002-08-26,9402634550
2002-08-27,9248493000
2002-08-28,8943969450
2002-08-29,8951488550
2002-08-30,8797347000
2002-09-03,8464297500
2002-09-04,8671202550
2002-09-05,8313821100
2002-09-06,8772774120
2002-09-09,8863059960
2002-09-10,8994726810
2002-09-11,9145203210
2002-09-12,8802869400
2002-09-13,8806631310
2002-09-16,8641107270
2002-09-17,8742678840
2002-09-18,8806631310
2002-09-19,9318251070
2002-09-20,9069965010
2002-09-23,9152727030
2002-09-24,9160250850
2002-09-25,9389727360
2002-09-26,9528918030
2002-09-27,9457441740
2002-09-30,9130155570
2002-10-01,9457441740
2002-10-02,9077488830
2002-10-03,8878107600
2002-10-04,8738916930
2002-10-07,8723869290
2002-10-08,8945821980
2002-10-09,8652393000
2002-10-10,9397251180
2002-10-11,9908870940
2002-10-14,10217347560
2002-10-15,10495728900
2002-10-16,10168442730
2002-10-17,10627395750
2002-10-18,10728967320
2002-10-21,11082586860
2002-10-22,10830538890
2002-10-23,10996062930
2002-10-24,10514538450
2002-10-25,11312063370
2002-10-28,10819253160
2002-10-29,10386633510
2002-10-30,10601062380
2002-10-31,10841824620
2002-11-01,10905777090
2002-11-04,10766586420
2002-11-05,10589776650
2002-11-06,10439300250
2002-11-07,10051823520
2002-11-08,9938966220
2002-11-11,9630489600
2002-11-12,9796013640
2002-11-13,9890061390
2002-11-14,10454347890
2002-11-15,10518300360
2002-11-18,10360300140
2002-11-19,10258728570
2002-11-20,10563443280
2002-11-21,10823015070
2002-11-22,10962205740
2002-11-25,10811729340
2002-11-26,10529586090
2002-11-27,11063777310
2002-11-29,10984777200
2002-12-02,11106265560
2002-12-03,10801417200
2002-12-04,10921851120
2002-12-05,10519150200
2002-12-06,10613239200
2002-12-09,10244410320
2002-12-10,10338499320
2002-12-11,10349790000
2002-12-12,10293336600
2002-12-13,9943325520
2002-12-16,10218065400
2002-12-17,10127739960
2002-12-18,9875581440
2002-12-19,9992251800
2002-12-20,10451406120
2002-12-23,10654638360
2002-12-24,10545495120
2002-12-26,10515386640
2002-12-27,10297100160
2002-12-30,10470223920
2002-12-31,10500332400
2003-01-02,10884215520
2003-01-03,10925614680
2003-01-06,11283152880
2003-01-07,11083684200
2003-01-08,10714855320
2003-01-09,10936905360
2003-01-10,10865397720
2003-01-13,10605712080
2003-01-14,10598184960
2003-01-15,10361080680
2003-01-16,10368607800
2003-01-17,9913217040
2003-01-21,9702457680
2003-01-22,9521806800
2003-01-23,9612132240
2003-01-24,9457826280
2003-01-27,9288466080
2003-01-28,9585787320
2003-01-29,9706221240
2003-01-30,9318574560
2003-01-31,9476644080
2003-02-03,9668585640
2003-02-04,9484171200
2003-02-05,9427717800
2003-02-06,9367500840
2003-02-07,9533097480
2003-02-10,9563205960
2003-02-11,9412663560
2003-02-12,9292229640
2003-02-13,9164268600
2003-02-14,9536861040
2003-02-18,9706221240
2003-02-19,9657294960
2003-02-20,9472880520
2003-02-21,9728802600
2003-02-24,9627186480
2003-02-25,9533097480
2003-02-26,9375027960
2003-02-27,9521806800
2003-02-28,9881170560
2003-03-03,9896233320
2003-03-04,9866107800
2003-03-05,9990375570
2003-03-06,9922593150
2003-03-07,9907530390
2003-03-10,9414225000
2003-03-11,9289957230
2003-03-12,9425522070
2003-03-13,9553555530
2003-03-14,9459413280
2003-03-17,9956484360
2003-03-18,10012969710
2003-03-19,10167363000
2003-03-20,10325521980
2003-03-21,11078659980
2003-03-24,10604183040
2003-03-25,10751044950
2003-03-26,10720919430
2003-03-27,10566526140
2003-03-28,10389538710
2003-03-31,10344350430
2003-04-01,10532634930
2003-04-02,10864015650
2003-04-03,10728450810
2003-04-04,10683262530
2003-04-07,10762342020
2003-04-08,10762342020
2003-04-09,10532634930
2003-04-10,10720919430
2003-04-11,10694559600
2003-04-14,10980752040
2003-04-15,11052300150
2003-04-16,10897906860
2003-04-17,11368618110
2003-04-21,11169036540
2003-04-22,11571965370
2003-04-23,11730124350
2003-04-24,11571965370
2003-04-25,11093722740
2003-04-28,11620919340
2003-04-29,11643513480
2003-04-30,11730124350
2003-05-01,11624685030
2003-05-02,11880751950
2003-05-05,11843095050
2003-05-06,11997488340
2003-05-07,11801672460
2003-05-08,11605856580
2003-05-09,11575731060
2003-05-12,11598325200
2003-05-13,11575731060
2003-05-14,11353555350
2003-05-15,11387446560
2003-05-16,11123848260
2003-05-19,10799998920
2003-05-20,10973220660
2003-05-21,10905438240
2003-05-22,10950626520
2003-05-23,10939329450
2003-05-27,11191630680
2003-05-28,11319664140
2003-05-29,11330961210
2003-05-30,11492885880
2003-06-02,11572633560
2003-06-03,11380447200
2003-06-04,11444509320
2003-06-05,11267396400
2003-06-06,11614085520
2003-06-09,11399289000
2003-06-10,11482192920
2003-06-11,11338995240
2003-06-12,11395520640
2003-06-13,11101588560
2003-06-16,11629158960
2003-06-17,11614085520
2003-06-18,11779893360
2003-06-19,11474656200
2003-06-20,11361605400
2003-06-23,11180724120
2003-06-24,11467119480
2003-06-25,11082746760
2003-06-26,11361605400
2003-06-27,11033758080
2003-06-30,11075210040
2003-07-01,11026221360
2003-07-02,10984769400
2003-07-03,10867950240
2003-07-07,11124198720
2003-07-08,11290006560
2003-07-09,11338995240
2003-07-10,11135503800
2003-07-11,11391752280
2003-07-14,11297543280
2003-07-15,11380447200
2003-07-16,11323921800
2003-07-17,11045063160
2003-07-18,11101588560
2003-07-21,10928244000
2003-07-22,11192029200
2003-07-23,11192029200
2003-07-24,11271164760
2003-07-25,11583938640
2003-07-28,11889175800
2003-07-29,11791198440
2003-07-30,11738441400
2003-07-31,12209486400
2003-08-01,12122814120
2003-08-04,12232096560
2003-08-05,11960774640
2003-08-06,12036141840
2003-08-07,12363989160
2003-08-08,12499650120
2003-08-11,12812424000
2003-08-12,12842570880
2003-08-13,12914169720
2003-08-14,13177954920
2003-08-15,13343762759
2003-08-18,13486960440
2003-08-19,13520875680
2003-08-20,13370141279
2003-08-21,13765819080
2003-08-22,13486960440
2003-08-25,13573632720
2003-08-26,13441740120
2003-08-27,13385214720
2003-08-28,13558559279
2003-08-29,13581169440
2003-09-02,14019093079
2003-09-03,13841779470
2003-09-04,13875733140
2003-09-05,13551286960
2003-09-08,13528651180
2003-09-09,13502242770
2003-09-10,13147615550
2003-09-11,13023118760
2003-09-12,13151388180
2003-09-15,12992937720
2003-09-16,13143842920
2003-09-17,12940120899
2003-09-18,13260794450
2003-09-19,13200432370
2003-09-22,12981619829
2003-09-23,13049527170
2003-09-24,12864668300
2003-09-25,12962756680
2003-09-26,12913712489
2003-09-29,13041981910
2003-09-30,12864668300
2003-10-01,13034436649
2003-10-02,13113661880
2003-10-03,13479606989
2003-10-06,13634284820
2003-10-07,13928549960
2003-10-08,13728600570
2003-10-09,13830461579
2003-10-10,14015320450
2003-10-13,14087000420
2003-10-14,14279404550
2003-10-15,14260541399
2003-10-16,14071909899
2003-10-17,14034183600
2003-10-20,14102090940
2003-10-21,14087000420
2003-10-22,13962503630
2003-10-23,14136044610
2003-10-24,14173770910
2003-10-27,14113408829
2003-10-28,14377492930
2003-10-29,14460490790
2003-10-30,14396356079
2003-10-31,14683075960
2003-11-03,14758528559
2003-11-04,14630259140
2003-11-05,14777391710
2003-11-06,14690621220
2003-11-07,14996204250
2003-11-10,14762301190
2003-11-11,14833981160
2003-11-12,15143336820
2003-11-13,15128246300
2003-11-14,14656667550
2003-11-17,14362402410
2003-11-18,14169998280
2003-11-19,14151135130
2003-11-20,14124726720
2003-11-21,14139817239
2003-11-24,14588760210
2003-11-25,14486899200
2003-11-26,14509534980
2003-11-28,14501989720
2003-12-01,14771751119
2003-12-02,14824615260
2003-12-03,14783079150
2003-12-04,14941671570
2003-12-05,14477222340
2003-12-08,14628262740
2003-12-09,14390374110
2003-12-10,14462118299
2003-12-11,14775527130
2003-12-12,14579174610
2003-12-15,14261989770
2003-12-16,14397926130
2003-12-17,14405478150
2003-12-18,14718886979
2003-12-19,13789988520
2003-12-22,14027877150
2003-12-23,13948580940
2003-12-24,13941028920
2003-12-26,13857956700
2003-12-29,13971237000
2003-12-30,13918372860
2003-12-31,14046757200
2004-01-02,13910820840
2004-01-05,13873060740
2004-01-06,13688036250
2004-01-07,13593636000
2004-01-08,13654052159
2004-01-09,13521891810
2004-01-12,13435043580
2004-01-13,13310435250
2004-01-14,13268899140
2004-01-15,13333091310
2004-01-16,13431267570
2004-01-20,13404835500
2004-01-21,13484131710
2004-01-22,13601188020
2004-01-23,13857956700
2004-01-26,13899492810
2004-01-27,13801316549
2004-01-28,13910820840
2004-01-29,14092069320
2004-01-30,14152485479
2004-02-02,13918372860
2004-02-03,13748452409
2004-02-04,13672932210
2004-02-05,13521891810
2004-02-06,13733348369
2004-02-09,13748452409
2004-02-10,13703140290
2004-02-11,13839076650
2004-02-12,13604964030
2004-02-13,13170722880
2004-02-17,13284003180
2004-02-18,13053666570
2004-02-19,12951714299
2004-02-20,12853538040
2004-02-23,12649633500
2004-02-24,12725153700
2004-02-25,12426848909
2004-02-26,12045471900
2004-02-27,12102112049
2004-03-01,12180562960
2004-03-02,12176790720
2004-03-03,12565331440
2004-03-04,12787893600
2004-03-05,12478569920
2004-03-08,12308819120
2004-03-09,12614370560
2004-03-10,12391808400
2004-03-11,12433303040
2004-03-12,12527609040
2004-03-15,12263552240
2004-03-16,12399352879
2004-03-17,12561559199
2004-03-18,12372947199
2004-03-19,12829388240
2004-03-22,12765260160
2004-03-23,12802982560
2004-03-24,12784121360
2004-03-25,13278284800
2004-03-26,13259423600
2004-03-29,13470669040
2004-03-30,13561202800
2004-03-31,13429174400
2004-04-01,13663053280
2004-04-02,14474084879
2004-04-05,14436362480
2004-04-06,14383551120
2004-04-07,14308106320
2004-04-08,14228889280
2004-04-12,14594796560
2004-04-13,14391095600
2004-04-14,14523124000
2004-04-15,14636291199
2004-04-16,14575935360
2004-04-19,14700419280
2004-04-20,14330739760
2004-04-21,14342056480
2004-04-22,14511807280
2004-04-23,14277928400
2004-04-26,13904476640
2004-04-27,14051594000
2004-04-28,13998782640
2004-04-29,13904476640
2004-04-30,14021416080
2004-05-03,14160988960
2004-05-04,13968604720
2004-05-05,13942199040
2004-05-06,13976149199
2004-05-07,14183622400
2004-05-10,14270383920
2004-05-11,14225117040
2004-05-12,14104405360
2004-05-13,14210028080
2004-05-14,14119494320
2004-05-17,13738498080
2004-05-18,13881843199
2004-05-19,13832804080
2004-05-20,13640419839
2004-05-21,13723409120
2004-05-24,13651736560
2004-05-25,14006327120
2004-05-26,14104405360
2004-05-27,14304334080
2004-05-28,14149672240
2004-06-01,14424782050
2004-06-02,14523089869
2004-06-03,14432344190
2004-06-04,14337817440
2004-06-07,14572243780
2004-06-08,14685675880
2004-06-09,14473935960
2004-06-10,14462592750
2004-06-14,14182793570
2004-06-15,14356722790
2004-06-16,14394533490
2004-06-17,14133639660
2004-06-18,14258414970
2004-06-21,13918118670
2004-06-22,13986177930
2004-06-23,13967272580
2004-06-24,13872745830
2004-06-25,12825389440
2004-06-28,12481312070
2004-06-29,12780016599
2004-06-30,12810265160
2004-07-01,12632554869
2004-07-02,12606087380
2004-07-06,12383004250
2004-07-07,12129672560
2004-07-08,12020021530
2004-07-09,12099424000
2004-07-12,12054051160
2004-07-13,11895246220
2004-07-14,11687287370
2004-07-15,11596541690
2004-07-16,11418831400
2004-07-19,11452861030
2004-07-20,11505796010
2004-07-21,11271369670
2004-07-22,11331866790
2004-07-23,11392363910
2004-07-26,11520920290
2004-07-27,11362115350
2004-07-28,11263807530
2004-07-29,11335647860
2004-07-30,11611665970
2004-08-02,11747784490
2004-08-03,11721317000
2004-08-04,11762908770
2004-08-05,11441517820
2004-08-06,11048286540
2004-08-09,10980227280
2004-08-10,11301618230
2004-08-11,11411269260
2004-08-12,11316742510
2004-08-13,11271369670
2004-08-16,11331866790
2004-08-17,11399926050
2004-08-18,11445298890
2004-08-19,11350772140
2004-08-20,11328085720
2004-08-23,11362115350
