,GEN
2000-09-25,2625913440
2000-09-26,2601509040
2000-09-27,2664960480
2000-09-28,2899242720
2000-09-29,2684484000
2000-10-02,2588433840
2000-10-03,2633844960
2000-10-04,2714575840
2000-10-05,2770078320
2000-10-06,2800352400
2000-10-09,2840717840
2000-10-10,2840717840
2000-10-11,2855854880
2000-10-12,2633844960
2000-10-13,2759986960
2000-10-16,2714575840
2000-10-17,2593479520
2000-10-18,2497611600
2000-10-19,2139368320
2000-10-20,2275601680
2000-10-23,2386606640
2000-10-24,2255418960
2000-10-25,2240281920
2000-10-26,2411835040
2000-10-27,2396698000
2000-10-30,2341195520
2000-10-31,2462291840
2000-11-01,2336149840
2000-11-02,2411835040
2000-11-03,2381560960
2000-11-06,2315967120
2000-11-07,2356332560
2000-11-08,2336149840
2000-11-09,2245327600
2000-11-10,2129276959
2000-11-13,2255418960
2000-11-14,2341195520
2000-11-15,2462291840
2000-11-16,2331104160
2000-11-17,2336149840
2000-11-20,2295784400
2000-11-21,2235236240
2000-11-22,2265510320
2000-11-24,2401743680
2000-11-27,2295784400
2000-11-28,2215053520
2000-11-29,2174688080
2000-11-30,2270556000
2000-12-01,2285693040
2000-12-04,2280647360
2000-12-05,2341195520
2000-12-06,2366423920
2000-12-07,2341195520
2000-12-08,2406789360
2000-12-11,2532931360
2000-12-12,2593479520
2000-12-13,2406789360
2000-12-14,2336149840
2000-12-15,2179733760
2000-12-18,2250373280
2000-12-19,2083865840
2000-12-20,1993043600
2000-12-21,1882038640
2000-12-22,2063683120
2000-12-26,2028363359
2000-12-27,1952678160
2000-12-28,2225144880
2000-12-29,2104048560
2001-01-02,2462880000
2001-01-03,2879224000
2001-01-04,2697440000
2001-01-05,2609480000
2001-01-08,2650527999
2001-01-09,2773672000
2001-01-10,2896816000
2001-01-11,3025824000
2001-01-12,3119648000
2001-01-16,3107920000
2001-01-17,3225200000
2001-01-18,3665000000
2001-01-19,3618088000
2001-01-22,3618088000
2001-01-23,3618088000
2001-01-24,3864376000
2001-01-25,3711912000
2001-01-26,3641544000
2001-01-29,3665000000
2001-01-30,3788144000
2001-01-31,3764688000
2001-02-01,3840920000
2001-02-02,3530127999
2001-02-05,3307296000
2001-02-06,3518400000
2001-02-07,3477352000
2001-02-08,3582904000
2001-02-09,3606360000
2001-02-12,3653272000
2001-02-13,3647408000
2001-02-14,3688456000
2001-02-15,3758824000
2001-02-16,3717776000
2001-02-20,3659136000
2001-02-21,3594632000
2001-02-22,3577040000
2001-02-23,3635680000
2001-02-26,3682592000
2001-02-27,3647408000
2001-02-28,3342480000
2001-03-01,3629816000
2001-03-02,3518400000
2001-03-05,3489080000
2001-03-06,3571176000
2001-03-07,3741232000
2001-03-08,3524264000
2001-03-09,3266248000
2001-03-12,3201744000
2001-03-13,3342480000
2001-03-14,3266248000
2001-03-15,3131376000
2001-03-16,3037552000
2001-03-19,3160696000
2001-03-20,3113784000
2001-03-21,3090327999
2001-03-22,3201744000
2001-03-23,3236927999
2001-03-26,3178288000
2001-03-27,3266248000
2001-03-28,3043416000
2001-03-29,2949592000
2001-03-30,3066872000
2001-04-02,3014096000
2001-04-03,2873360000
2001-04-04,2961320000
2001-04-05,3248656000
2001-04-06,3342480000
2001-04-09,3512536000
2001-04-10,3653272000
2001-04-11,3829192000
2001-04-12,3817464000
2001-04-16,3758824000
2001-04-17,3823327999
2001-04-18,4057888000
2001-04-19,4644288000
2001-04-20,4362816000
2001-04-23,4392136000
2001-04-24,4222080000
2001-04-25,4198624000
2001-04-26,4761568000
2001-04-27,4673608000
2001-04-30,4749840000
2001-05-01,4673608000
2001-05-02,4896440000
2001-05-03,4697064000
2001-05-04,4914032000
2001-05-07,4773296000
2001-05-08,4884712000
2001-05-09,4925760000
2001-05-10,4843664000
2001-05-11,4820208000
2001-05-14,4732248000
2001-05-15,4767432000
2001-05-16,4966808000
2001-05-17,4984400000
2001-05-18,5013720000
2001-05-21,5383152000
2001-05-22,5236552000
2001-05-23,4960944000
2001-05-24,5125136000
2001-05-25,5166184000
2001-05-29,5119272000
2001-05-30,4972672000
2001-05-31,5177912000
2001-06-01,4925760000
2001-06-04,4691200000
2001-06-05,4919896000
2001-06-06,4884712000
2001-06-07,4884712000
2001-06-08,4808480000
2001-06-11,4738112000
2001-06-12,4779160000
2001-06-13,4415592000
2001-06-14,4122392000
2001-06-15,3817464000
2001-06-18,3794008000
2001-06-19,3981656000
2001-06-20,4257264000
2001-06-21,4491824000
2001-06-22,2849904000
2001-06-25,2984776000
2001-06-26,3002368000
2001-06-27,3037552000
2001-06-28,3078600000
2001-06-29,3201744000
2001-07-02,3184272000
2001-07-03,3166776000
2001-07-05,3149280000
2001-07-06,2921832000
2001-07-09,3096792000
2001-07-10,2956824000
2001-07-11,2869344000
2001-07-12,3050136000
2001-07-13,2950992000
2001-07-16,2881008000
2001-07-17,2886840000
2001-07-18,2729376000
2001-07-19,3219263999
2001-07-20,3347568000
2001-07-23,3522528000
2001-07-24,3417552000
2001-07-25,3458376000
2001-07-26,3569184000
2001-07-27,3586680000
2001-07-30,3528360000
2001-07-31,3516696000
2001-08-01,3569184000
2001-08-02,3668328000
2001-08-03,3621672000
2001-08-06,3528360000
2001-08-07,3370896000
2001-08-08,3370896000
2001-08-09,3499200000
2001-08-10,3475872000
2001-08-13,3435048000
2001-08-14,3458376000
2001-08-15,3295080000
2001-08-16,3306744000
2001-08-17,3131784000
2001-08-20,3085128000
2001-08-21,2962656000
2001-08-22,3038472000
2001-08-23,2886840000
2001-08-24,3055968000
2001-08-27,3178440000
2001-08-28,3131784000
2001-08-29,3096792000
2001-08-30,3102624000
2001-08-31,3131784000
2001-09-04,3032640000
2001-09-05,3125952000
2001-09-06,3085128000
2001-09-07,3032640000
2001-09-10,3026808000
2001-09-17,2764368000
2001-09-18,2589408000
2001-09-19,2688552000
2001-09-20,2636063999
2001-09-21,2694384000
2001-09-24,2735208000
2001-09-25,2805192000
2001-09-26,2531088000
2001-09-27,2536920000
2001-09-28,2525256000
2001-10-01,2431476000
2001-10-02,2660649600
2001-10-03,2945719200
2001-10-04,2968077600
2001-10-05,3063100800
2001-10-08,3348170400
2001-10-09,3214020000
2001-10-10,3275505600
2001-10-11,3236378400
2001-10-12,3364939200
2001-10-15,3566164800
2001-10-16,3527037600
2001-10-17,3336991200
2001-10-18,3672367200
2001-10-19,3767390400
2001-10-22,3789748800
2001-10-23,3946257600
2001-10-24,4030101600
2001-10-25,4141893600
2001-10-26,4018922400
2001-10-29,3868003200
2001-10-30,3812107200
2001-10-31,3840055200
2001-11-01,4058049600
2001-11-02,4007743200
2001-11-05,4153072800
2001-11-06,4331940000
2001-11-07,4276044000
2001-11-08,4136304000
2001-11-09,4030101600
2001-11-12,4147483200
2001-11-13,4287223200
2001-11-14,4287223200
2001-11-15,4264864800
2001-11-16,4264864800
2001-11-19,4477269600
2001-11-20,4354298400
2001-11-21,4393425600
2001-11-23,4415784000
2001-11-26,4583472000
2001-11-27,4549934400
2001-11-28,4488448800
2001-11-29,4661726400
2001-11-30,4538755200
2001-12-03,4521986400
2001-12-04,4589061600
2001-12-05,4835004000
2001-12-06,4835004000
2001-12-07,4667316000
2001-12-10,4672905600
2001-12-11,4723212000
2001-12-12,4672905600
2001-12-13,4589061600
2001-12-14,4695264000
2001-12-17,4700853600
2001-12-18,4874131200
2001-12-19,4807056000
2001-12-20,4482859200
2001-12-21,4605830400
2001-12-24,4494038400
2001-12-26,4561113600
2001-12-27,4544344800
2001-12-28,4712032800
2001-12-31,4633778400
2002-01-02,4829720280
2002-01-03,4990902840
2002-01-04,4956363720
2002-01-07,4979389800
2002-01-08,5036955000
2002-01-09,5272972320
2002-01-10,5180868000
2002-01-11,5088763680
2002-01-14,5065737600
2002-01-15,5065737600
2002-01-16,4818207240
2002-01-17,5422641840
2002-01-18,5457180960
2002-01-22,5474450520
2002-01-23,5336294040
2002-01-24,5543528760
2002-01-25,5485963560
2002-01-28,5555041800
2002-01-29,5451424440
2002-01-30,5532015720
2002-01-31,5658659160
2002-02-01,5422641840
2002-02-04,5249946240
2002-02-05,5192381040
2002-02-06,5129059320
2002-02-07,4783668120
2002-02-08,4967876760
2002-02-11,5042711520
2002-02-12,5054224560
2002-02-13,5278728840
2002-02-14,5336294040
2002-02-15,5031198480
2002-02-19,4898798520
2002-02-20,4582189920
2002-02-21,4616729040
2002-02-22,4720346400
2002-02-25,5025441960
2002-02-26,5077250640
2002-02-27,5209650600
2002-02-28,5192381040
2002-03-01,5439911400
2002-03-04,5998293840
2002-03-05,5745006960
2002-03-06,5871650400
2002-03-07,5710467840
2002-03-08,6038589480
2002-03-11,6015563400
2002-03-12,6004050360
2002-03-13,6078885120
2002-03-14,5894676480
2002-03-15,5969511240
2002-03-18,6050102520
2002-03-19,6101911200
2002-03-20,5992537320
2002-03-21,5877406920
2002-03-22,6009806880
2002-03-25,5779546079
2002-03-26,5733493920
2002-03-27,5842867800
2002-03-28,5929215600
2002-04-01,5981024280
2002-04-02,5750763480
2002-04-03,5664415680
2002-04-04,5319024480
2002-04-05,5077250640
2002-04-08,5324781000
2002-04-09,5083007160
2002-04-10,5186624520
2002-04-11,4904555040
2002-04-12,5163598440
2002-04-15,5175111480
2002-04-16,5376589680
2002-04-17,5365076640
2002-04-18,5382346200
2002-04-19,5399615760
2002-04-22,5393859240
2002-04-23,5071494120
2002-04-24,5002415880
2002-04-25,5169354960
2002-04-26,4916068079
2002-04-29,4864259400
2002-04-30,5094520200
2002-05-01,5111789760
2002-05-02,4852746360
2002-05-03,4875772440
2002-05-06,4662781200
2002-05-07,4841233320
2002-05-08,5399615760
2002-05-09,5111789760
2002-05-10,4858502880
2002-05-13,5042711520
2002-05-14,5457180960
2002-05-15,5491720079
2002-05-16,5480207040
2002-05-17,5635633079
2002-05-20,5370833160
2002-05-21,5238433200
2002-05-22,4823963760
2002-05-23,5031198480
2002-05-24,4841233320
2002-05-28,4893042000
2002-05-29,4841233320
2002-05-30,4864259400
2002-05-31,4944850680
2002-06-03,4766398560
2002-06-04,4881528960
2002-06-05,4754885520
2002-06-06,4374955200
2002-06-07,4564920360
2002-06-10,4593702960
2002-06-11,4369198680
2002-06-12,4484329080
2002-06-13,4536137760
2002-06-14,4426763880
2002-06-17,4628242079
2002-06-18,4852746360
2002-06-19,4685807280
2002-06-20,4633998600
2002-06-21,4386468240
2002-06-24,4490085600
2002-06-25,4426763880
2002-06-26,4455546480
2002-06-27,4633998600
2002-06-28,4726102920
2002-07-01,4480647000
2002-07-02,4550024760
2002-07-03,4850661720
2002-07-05,4983635760
2002-07-08,4983635760
2002-07-09,4914258000
2002-07-10,4908476520
2002-07-11,4752376560
2002-07-12,4492209960
2002-07-15,4555806240
2002-07-16,4735032120
2002-07-17,4787065440
2002-07-18,4561587720
2002-07-19,4555806240
2002-07-22,4555806240
2002-07-23,4445958120
2002-07-24,4914258000
2002-07-25,4613621040
2002-07-26,4694561760
2002-07-29,4908476520
2002-07-30,5220676440
2002-07-31,4850661720
2002-08-01,4573150680
2002-08-02,4503772920
2002-08-05,4474865520
2002-08-06,4706124720
2002-08-07,4596276600
2002-08-08,4567369200
2002-08-09,4457521080
2002-08-12,4428613680
2002-08-13,4405487760
2002-08-14,4792846919
2002-08-15,4711906200
2002-08-16,4758158040
2002-08-19,4960509840
2002-08-20,4850661720
2002-08-21,4966291320
2002-08-22,4943165400
2002-08-23,4561587720
2002-08-26,4584713640
2002-08-27,4428613680
2002-08-28,4336110000
2002-08-29,4417050720
2002-08-30,4133758200
2002-09-03,4000784160
2002-09-04,4445958120
2002-09-05,4312984080
2002-09-06,4717687680
2002-09-09,4752376560
2002-09-10,4844880240
2002-09-11,4839098760
2002-09-12,4833317280
2002-09-13,4908476520
2002-09-16,4850661720
2002-09-17,4700343240
2002-09-18,4781283960
2002-09-19,4642528440
2002-09-20,4746595080
2002-09-23,4480647000
2002-09-24,4630965480
2002-09-25,4839098760
2002-09-26,4943165400
2002-09-27,4954728360
2002-09-30,4868006160
2002-10-01,4807301760
2002-10-02,4598288640
2002-10-03,4296380800
2002-10-04,4360245920
2002-10-07,4366051840
2002-10-08,4551841280
2002-10-09,4638930080
2002-10-10,4830525440
2002-10-11,4993091200
2002-10-14,5161462880
2002-10-15,5376281920
2002-10-16,5161462880
2002-10-17,5695607520
2002-10-18,5660772000
2002-10-21,5689801600
2002-10-22,5631742400
2002-10-23,5840755520
2002-10-24,5649160160
2002-10-25,5771084480
2002-10-28,5782696320
2002-10-29,5666577920
2002-10-30,5805920000
2002-10-31,5805920000
2002-11-01,5945262080
2002-11-04,6096216000
2002-11-05,6096216000
2002-11-06,6078798240
2002-11-07,5881396960
2002-11-08,5747860800
2002-11-11,5631742400
2002-11-12,5817531840
2002-11-13,5951068000
2002-11-14,6148469280
2002-11-15,6299423200
2002-11-18,6113633760
2002-11-19,5945262080
2002-11-20,6340064640
2002-11-21,6647778400
2002-11-22,6607136960
2002-11-25,6508436320
2002-11-26,6241364000
2002-11-27,6386512000
2002-11-29,6345870560
2002-12-02,6403929760
2002-12-03,6334258720
2002-12-04,6160081120
2002-12-05,6009127200
2002-12-06,5980097600
2002-12-09,5747860800
2002-12-10,5933650240
2002-12-11,6177498880
2002-12-12,6171692960
2002-12-13,5991709440
2002-12-16,6287811360
2002-12-17,6270393600
2002-12-18,6403929760
2002-12-19,6009127200
2002-12-20,6113633760
2002-12-23,6270393600
2002-12-24,6206528480
2002-12-26,6194916640
2002-12-27,6078798240
2002-12-30,5939456160
2002-12-31,5881396960
2003-01-02,6391073920
2003-01-03,6564776960
2003-01-06,6726500480
2003-01-07,6678582400
2003-01-08,6492899840
2003-01-09,6750459520
2003-01-10,6906193280
2003-01-13,6990049920
2003-01-14,7091875840
2003-01-15,6894213760
2003-01-16,7133804160
2003-01-17,6744469760
2003-01-21,6864264960
2003-01-22,6822336640
2003-01-23,6888224000
2003-01-24,6576756480
2003-01-27,6618684800
2003-01-28,6906193280
2003-01-29,7008019200
2003-01-30,6948121600
2003-01-31,6990049920
2003-02-03,7085886080
2003-02-04,7025988480
2003-02-05,7019998720
2003-02-06,6966090880
2003-02-07,6900203520
2003-02-10,6648633600
2003-02-11,6768428800
2003-02-12,6774418560
2003-02-13,6696551680
2003-02-14,6708531200
2003-02-18,6942131840
2003-02-19,6876244480
2003-02-20,7008019200
2003-02-21,7157763200
2003-02-24,7157763200
2003-02-25,7175732480
2003-02-26,7103855360
2003-02-27,7091875840
2003-02-28,6061637120
2003-03-03,6283258240
2003-03-04,6223360640
2003-03-05,6205391360
2003-03-06,6427012480
2003-03-07,6522848640
2003-03-10,6564776960
2003-03-11,6337166080
2003-03-12,6391073920
2003-03-13,6660613120
2003-03-14,6738480000
2003-03-17,7037968000
2003-03-18,6930152320
2003-03-19,6510869120
2003-03-20,6594725760
2003-03-21,6373104640
2003-03-24,5851995520
2003-03-25,6103565440
2003-03-26,6319196800
2003-03-27,6289248000
2003-03-28,6025698560
2003-03-31,5869964800
2003-04-01,5816056960
2003-04-02,6007729280
2003-04-03,6025698560
2003-04-04,5935852160
2003-04-07,5959811200
2003-04-08,5977780480
2003-04-09,5875954560
2003-04-10,5636364160
2003-04-11,5953821440
2003-04-14,5989760000
2003-04-15,6007729280
2003-04-16,6049657600
2003-04-17,6283258240
2003-04-21,6193411840
2003-04-22,6468940800
2003-04-23,6415032960
2003-04-24,6510869120
2003-04-25,6433002240
2003-04-28,6588736000
2003-04-29,6630664320
2003-04-30,6582746240
2003-05-01,6498889600
2003-05-02,6810357120
2003-05-05,6804367360
2003-05-06,7031978240
2003-05-07,7031978240
2003-05-08,6762439039
2003-05-09,6774418560
2003-05-12,6906193280
2003-05-13,6894213760
2003-05-14,6786398080
2003-05-15,6846295680
2003-05-16,6744469760
2003-05-19,6534828160
2003-05-20,6504879360
2003-05-21,6486910080
2003-05-22,6690561920
2003-05-23,6660613120
2003-05-27,6996039680
2003-05-28,7097865600
2003-05-29,6660613120
2003-05-30,6792387840
2003-06-02,6642643840
2003-06-03,6774418560
2003-06-04,7169742720
2003-06-05,7127814400
2003-06-06,7307507200
2003-06-09,7271568640
2003-06-10,7157763200
2003-06-11,6966090880
2003-06-12,6900203520
2003-06-13,6774418560
2003-06-16,7025988480
2003-06-17,7049947520
2003-06-18,7223650560
2003-06-19,7025988480
2003-06-20,6912183039
2003-06-23,6816346880
2003-06-24,6738480000
2003-06-25,6834316160
2003-06-26,6630664320
2003-06-27,6702541440
2003-06-30,6576756480
2003-07-01,6749379000
2003-07-02,6737185000
2003-07-03,6682312000
2003-07-07,6920095000
2003-07-08,6956677000
2003-07-09,6999356000
2003-07-10,6840834000
2003-07-11,6956677000
2003-07-14,7139587000
2003-07-15,7060326000
2003-07-16,6853028000
2003-07-17,6688409000
2003-07-18,6676215000
2003-07-21,6584760000
2003-07-22,6554275000
2003-07-23,6493305000
2003-07-24,7103005000
2003-07-25,7139587000
2003-07-28,7157878000
2003-07-29,7188362999
2003-07-30,7127393000
2003-07-31,7127393000
2003-08-01,7103005000
2003-08-04,7182266000
2003-08-05,7042035000
2003-08-06,7048132000
2003-08-07,7133490000
2003-08-08,7127393000
2003-08-11,7218848000
2003-08-12,7267624000
2003-08-13,7316400000
2003-08-14,7371273000
2003-08-15,7426146000
2003-08-18,7493212999
2003-08-19,7657832000
2003-08-20,7676123000
2003-08-21,8115107000
2003-08-22,8346793000
2003-08-25,8279726000
2003-08-26,8261435000
2003-08-27,8584576000
2003-08-28,8615061000
2003-08-29,8755292000
2003-09-02,8779680000
2003-09-03,8913814000
2003-09-04,9139403000
2003-09-05,9060142000
2003-09-08,9175985000
2003-09-09,9072336000
2003-09-10,8773583000
2003-09-11,8980881000
2003-09-12,9066239000
2003-09-15,9035754000
2003-09-16,9310119000
2003-09-17,9352798000
2003-09-18,9743006000
2003-09-19,9675939000
2003-09-22,9572290000
2003-09-23,10029565000
2003-09-24,9718618000
2003-09-25,9663745000
2003-09-26,9450350000
2003-09-29,9712521000
2003-09-30,9633260000
2003-10-01,10173835299
2003-10-02,10075120099
2003-10-03,10093629200
2003-10-06,10118308000
2003-10-07,10099798900
2003-10-08,10013423100
2003-10-09,10050441300
2003-10-10,10013423100
2003-10-13,10130647400
2003-10-14,10112138300
2003-10-15,10254041400
2003-10-16,10210853500
2003-10-17,10019592799
2003-10-20,10093629200
2003-10-21,10389774800
2003-10-22,9945556400
2003-10-23,10075120099
2003-10-24,10118308000
2003-10-27,10093629200
2003-10-28,10395944500
2003-10-29,10371265700
2003-10-30,10247871700
2003-10-31,10278720200
2003-11-03,10537847599
2003-11-04,10513168800
2003-11-05,10611884000
2003-11-06,10611884000
2003-11-07,10414453600
2003-11-10,10291059600
2003-11-11,10235532300
2003-11-12,10291059600
2003-11-13,10241702000
2003-11-14,10075120099
2003-11-17,10186174700
2003-11-18,9464319800
2003-11-19,9310077300
2003-11-20,9266889400
2003-11-21,9168174200
2003-11-24,9846841200
2003-11-25,10118308000
2003-11-26,10038101900
2003-11-28,10130647400
2003-12-01,10432962700
2003-12-02,10173835299
2003-12-03,10038101900
2003-12-04,10192344400
2003-12-05,10001083700
2003-12-08,10087459500
2003-12-09,9927047300
2003-12-10,9883859400
2003-12-11,10180005000
2003-12-12,10247871700
2003-12-15,9914707900
2003-12-16,9883859400
2003-12-17,10025762500
2003-12-18,10291059600
2003-12-19,10365096000
2003-12-22,10457641500
2003-12-23,10519338500
2003-12-24,10451471800
2003-12-26,10562526400
2003-12-29,10642732500
2003-12-30,10716768900
2003-12-31,10642732500
2004-01-02,10847912400
2004-01-05,11072739600
2004-01-06,11197643600
2004-01-07,11291321599
2004-01-08,11247605200
2004-01-09,11241360000
2004-01-12,11434961200
2004-01-13,11054004000
2004-01-14,11210134000
2004-01-15,11191398400
2004-01-16,11553620000
2004-01-20,11722240400
2004-01-21,11815918400
2004-01-22,11909596400
2004-01-23,12071971599
2004-01-26,12440438400
2004-01-27,12390476800
2004-01-28,12190630400
2004-01-29,12321779600
2004-01-30,12109442800
2004-02-02,12159404400
2004-02-03,12384231599
2004-02-04,12128178400
2004-02-05,12415457600
2004-02-06,12477909600
2004-02-09,12627794400
2004-02-10,12609058800
2004-02-11,13046222800
2004-02-12,12696491599
2004-02-13,12690246400
2004-02-17,12696491599
2004-02-18,13089939200
2004-02-19,12752698400
2004-02-20,12646530000
2004-02-23,12284308400
2004-02-24,12434193200
2004-02-25,12396722000
2004-02-26,12821395600
2004-02-27,12790169600
2004-03-01,13114920000
2004-03-02,13071203600
2004-03-03,13427180000
2004-03-04,13627026400
2004-03-05,13770666000
2004-03-08,13664497600
2004-03-09,13502122400
2004-03-10,13002506400
2004-03-11,13345992400
2004-03-12,13939286400
2004-03-15,13614536000
2004-03-16,13427180000
2004-03-17,13652007200
2004-03-18,13676988000
2004-03-19,13364728000
2004-03-22,12846376400
2004-03-23,13114920000
2004-03-24,13433425200
2004-03-25,14132887600
2004-03-26,14445147600
2004-03-29,14713691200
2004-03-30,14757407600
2004-03-31,14457638000
2004-04-01,14563806400
2004-04-02,14663729600
2004-04-05,15194571599
2004-04-06,14926028000
2004-04-07,14832350000
2004-04-08,14938518400
2004-04-12,15238288000
2004-04-13,15094648400
2004-04-14,15013460800
2004-04-15,14701200800
2004-04-16,14257791599
2004-04-19,14832350000
2004-04-20,14732426800
2004-04-21,14769898000
2004-04-22,15406908400
2004-04-23,15213307200
2004-04-26,15275759200
2004-04-27,15250778400
2004-04-28,14713691200
2004-04-29,14751162400
2004-04-30,14070435600
2004-05-03,14682465200
2004-05-04,15350701599
2004-05-05,15313230400
2004-05-06,15288249600
2004-05-07,15069667600
2004-05-10,14651239200
2004-05-11,14857330800
2004-05-12,14707446000
2004-05-13,14957254000
2004-05-14,14988480000
2004-05-17,14751162400
2004-05-18,14563806400
2004-05-19,14701200800
2004-05-20,14551316000
2004-05-21,14613768000
2004-05-24,14420166800
2004-05-25,14463883200
2004-05-26,14051700000
2004-05-27,14257791599
2004-05-28,14270282000
2004-06-01,13845608400
2004-06-02,14089171200
2004-06-03,14320243600
2004-06-04,14482618800
2004-06-07,14463883200
2004-06-08,14363960000
2004-06-09,13689478400
2004-06-10,13814382400
2004-06-14,13427180000
2004-06-15,13246069200
2004-06-16,12733962800
2004-06-17,12771434000
2004-06-18,12490400000
2004-06-21,12715227200
2004-06-22,12540361599
2004-06-23,12896338000
2004-06-24,13033732400
2004-06-25,13158636400
2004-06-28,13445915600
2004-06-29,13552084000
2004-06-30,13670742800
2004-07-01,13514005800
2004-07-02,13520303100
2004-07-06,13104681300
2004-07-07,13299897600
2004-07-08,12940951500
2004-07-09,12940951500
2004-07-12,12953546100
2004-07-13,12783519000
2004-07-14,12752032500
2004-07-15,13123573200
2004-07-16,12770924400
2004-07-19,12833897400
2004-07-20,13570681500
2004-07-21,13558086900
2004-07-22,13514005800
2004-07-23,13545492300
2004-07-26,13545492300
2004-07-27,14143735800
2004-07-28,14156330400
2004-07-29,14584546800
2004-07-30,14723087400
2004-08-02,14622330600
2004-08-03,14307465600
2004-08-04,14483790000
2004-08-05,14301168300
2004-08-06,14326357500
2004-08-09,14351546700
2004-08-10,14571952200
2004-08-11,14534168399
2004-08-12,14395627800
2004-08-13,14238195300
2004-08-16,14250789900
2004-08-17,14250789900
2004-08-18,14704195500
2004-08-19,15037952400
2004-08-20,15126114600
2004-08-23,15264655199
