,AYI
2002-05-15,718759200
2002-05-16,696039800
2002-05-17,698105200
2002-05-20,690256680
2002-05-21,700583680
2002-05-22,693148240
2002-05-23,731564680
2002-05-24,702236000
2002-05-28,699344440
2002-05-29,679103520
2002-05-30,697279040
2002-05-31,699507900
2002-06-03,680054130
2002-06-04,690401880
2002-06-05,666395100
2002-06-06,653977800
2002-06-07,687090600
2002-06-10,639490950
2002-06-11,632040570
2002-06-12,635351850
2002-06-13,631212750
2002-06-14,618795450
2002-06-17,620865000
2002-06-18,604308600
2002-06-19,608033790
2002-06-20,653977800
2002-06-21,693299250
2002-06-24,705716550
2002-06-25,665567279
2002-06-26,669292470
2002-06-27,722272950
2002-06-28,753316200
2002-07-01,742968450
2002-07-02,740484990
2002-07-03,715650390
2002-07-05,757455300
2002-07-08,709855650
2002-07-09,707786100
2002-07-10,680881950
2002-07-11,625831920
2002-07-12,605964240
2002-07-15,619623270
2002-07-16,607619880
2002-07-17,622520640
2002-07-18,589821750
2002-07-19,571195800
2002-07-22,571195800
2002-07-23,494622450
2002-07-24,570781890
2002-07-25,591891300
2002-07-26,545119470
2002-07-29,633282300
2002-07-30,615898080
2002-07-31,544291650
2002-08-01,598099950
2002-08-02,577404450
2002-08-05,546361200
2002-08-06,564987150
2002-08-07,562917600
2002-08-08,585682650
2002-08-09,602239050
2002-08-12,589821750
2002-08-13,561675870
2002-08-14,641146590
2002-08-15,606378150
2002-08-16,627487560
2002-08-19,632454480
2002-08-20,615484170
2002-08-21,632454480
2002-08-22,620865000
2002-08-23,618795450
2002-08-26,643630050
2002-08-27,610517250
2002-08-28,577404450
2002-08-29,567056700
2002-08-30,579474000
2002-09-03,567056700
2002-09-04,617139810
2002-09-05,568298430
2002-09-06,576576630
2002-09-09,613828530
2002-09-10,615070260
2002-09-11,599341680
2002-09-12,595616490
2002-09-13,633282300
2002-09-16,632454480
2002-09-17,629143200
2002-09-18,632868390
2002-09-19,622934550
2002-09-20,635351850
2002-09-23,562917600
2002-09-24,560020230
2002-09-25,558778500
2002-09-26,543049920
2002-09-27,502900650
2002-09-30,507453660
2002-10-01,562917600
2002-10-02,565814970
2002-10-03,558778500
2002-10-04,542636010
2002-10-07,494622450
2002-10-08,538083000
2002-10-09,523596150
2002-10-10,533529990
2002-10-11,517801410
2002-10-14,506625840
2002-10-15,513248400
2002-10-16,496692000
2002-10-17,498761550
2002-10-18,507039750
2002-10-21,511178850
2002-10-22,490483350
2002-10-23,541394280
2002-10-24,523596150
2002-10-25,527321340
2002-10-28,491725080
2002-10-29,480135600
2002-10-30,478066050
2002-10-31,496278090
2002-11-01,511178850
2002-11-04,515317950
2002-11-05,517387500
2002-11-06,516973590
2002-11-07,506625840
2002-11-08,518215320
2002-11-11,504970200
2002-11-12,507039750
2002-11-13,519457050
2002-11-14,525665700
2002-11-15,521940510
2002-11-18,509109300
2002-11-19,517387500
2002-11-20,538083000
2002-11-21,536013450
2002-11-22,548430750
2002-11-25,564159330
2002-11-26,569540160
2002-11-27,579474000
2002-11-29,562089780
2002-12-02,559480500
2002-12-03,538344570
2002-12-04,529227110
2002-12-05,555336200
2002-12-06,559480500
2002-12-09,560309360
2002-12-10,580202000
2002-12-11,575228840
2002-12-12,609212100
2002-12-13,613356400
2002-12-16,598851350
2002-12-17,579373140
2002-12-18,611284250
2002-12-19,619572850
2002-12-20,607554380
2002-12-23,589733890
2002-12-24,588490600
2002-12-26,573985550
2002-12-27,542903300
2002-12-30,541245580
2002-12-31,561138220
2003-01-02,585175160
2003-01-03,578129850
2003-01-06,615014120
2003-01-07,606725520
2003-01-08,576057700
2003-01-09,603410080
2003-01-10,596779200
2003-01-13,580202000
2003-01-14,573571120
2003-01-15,578544280
2003-01-16,580202000
2003-01-17,569841250
2003-01-21,578958710
2003-01-22,566525810
2003-01-23,580202000
2003-01-24,559480500
2003-01-27,556165060
2003-01-28,555336200
2003-01-29,549119750
2003-01-30,542903300
2003-01-31,549119750
2003-02-03,549948610
2003-02-04,557408350
2003-02-05,552849620
2003-02-06,535857990
2003-02-07,512235480
2003-02-10,533785840
2003-02-11,536272420
2003-02-12,519695219
2003-02-13,530055969
2003-02-14,540416720
2003-02-18,556993920
2003-02-19,537930140
2003-02-20,532542550
2003-02-21,534614700
2003-02-24,513478770
2003-02-25,521767370
2003-02-26,509748900
2003-02-27,524253950
2003-02-28,551684000
2003-03-03,557491200
2003-03-04,538825200
2003-03-05,561224400
2003-03-06,540484400
2003-03-07,547536000
2003-03-10,543388000
2003-03-11,535506800
2003-03-12,543388000
2003-03-13,549610000
2003-03-14,548780400
2003-03-17,559980000
2003-03-18,546706400
2003-03-19,543388000
2003-03-20,547536000
2003-03-21,580720000
2003-03-24,549610000
2003-03-25,574912800
2003-03-26,567861200
2003-03-27,557076400
2003-03-28,563713200
2003-03-31,557906000
2003-04-01,608926400
2003-04-02,594823200
2003-04-03,591919600
2003-04-04,582379200
2003-04-07,593993600
2003-04-08,600215600
2003-04-09,584453200
2003-04-10,599800800
2003-04-11,600630400
2003-04-14,605608000
2003-04-15,605608000
2003-04-16,611830000
2003-04-17,599386000
2003-04-21,591090000
2003-04-22,589016000
2003-04-23,586942000
2003-04-24,590675200
2003-04-25,604363600
2003-04-28,625103600
2003-04-29,623859200
2003-04-30,631740400
2003-05-01,622200000
2003-05-02,626348000
2003-05-05,629251600
2003-05-06,632570000
2003-05-07,636303200
2003-05-08,630496000
2003-05-09,647088000
2003-05-12,651236000
2003-05-13,650821200
2003-05-14,647088000
2003-05-15,664924400
2003-05-16,642940000
2003-05-19,647088000
2003-05-20,638377200
2003-05-21,636718000
2003-05-22,642525200
2003-05-23,644599200
2003-05-27,654969200
2003-05-28,665754000
2003-05-29,653310000
2003-05-30,687323600
2003-06-02,696065939
2003-06-03,715193200
2003-06-04,725172640
2003-06-05,725588450
2003-06-06,718935490
2003-06-09,707708620
2003-06-10,732657220
2003-06-11,708956050
2003-06-12,706877000
2003-06-13,692323650
2003-06-16,701055660
2003-06-17,702718900
2003-06-18,687333930
2003-06-19,669454100
2003-06-20,681096780
2003-06-23,623715000
2003-06-24,669454100
2003-06-25,699392420
2003-06-26,760932300
2003-06-27,751368670
2003-06-30,755526770
2003-07-01,729330740
2003-07-02,735567890
2003-07-03,747626380
2003-07-07,769248500
2003-07-08,764674590
2003-07-09,779643750
2003-07-10,761763920
2003-07-11,781722800
2003-07-14,753447720
2003-07-15,737646939
2003-07-16,733904650
2003-07-17,726420070
2003-07-18,736815320
2003-07-21,713114150
2003-07-22,739310180
2003-07-23,753031910
2003-07-24,731825600
2003-07-25,730993979
2003-07-28,740141800
2003-07-29,734736270
2003-07-30,758853250
2003-07-31,754695150
2003-08-01,723509400
2003-08-04,715193200
2003-08-05,717688060
2003-08-06,723509400
2003-08-07,726420070
2003-08-08,729330740
2003-08-11,731825600
2003-08-12,752200290
2003-08-13,748458000
2003-08-14,758437439
2003-08-15,749705430
2003-08-18,772574979
2003-08-19,789623189
2003-08-20,788791570
2003-08-21,783386040
2003-08-22,773406600
2003-08-25,751784479
2003-08-26,750537050
2003-08-27,750537050
2003-08-28,754695150
2003-08-29,744715710
2003-09-02,782970229
2003-09-03,773406600
2003-09-04,769248500
2003-09-05,769248500
2003-09-08,775069840
2003-09-09,773406600
2003-09-10,758021630
2003-09-11,783386040
2003-09-12,782138610
2003-09-15,761763920
2003-09-16,792118050
2003-09-17,790454810
2003-09-18,795028720
2003-09-19,785880900
2003-09-22,792118050
2003-09-23,790454810
2003-09-24,790454810
2003-09-25,765090400
2003-09-26,737231130
2003-09-29,773406600
2003-09-30,750952860
2003-10-01,773406600
2003-10-02,796276150
2003-10-03,836193910
2003-10-06,868211280
2003-10-07,891912450
2003-10-08,879438150
2003-10-09,877359100
2003-10-10,883596250
2003-10-13,881517200
2003-10-14,888170160
2003-10-15,883596250
2003-10-16,879853960
2003-10-17,873201000
2003-10-20,881517200
2003-10-21,883596250
2003-10-22,870290330
2003-10-23,869042900
2003-10-24,872369380
2003-10-27,874448430
2003-10-28,881101390
2003-10-29,889001780
2003-10-30,880685580
2003-10-31,893991500
2003-11-03,918940100
2003-11-04,935572500
2003-11-05,935572500
2003-11-06,935156689
2003-11-07,932661830
2003-11-10,921434960
2003-11-11,919355910
2003-11-12,938898979
2003-11-13,924761439
2003-11-14,889833400
2003-11-17,919771720
2003-11-18,929335350
2003-11-19,951789090
2003-11-20,945967750
2003-11-21,951373280
2003-11-24,977153500
2003-11-25,992954280
2003-11-26,996696570
2003-11-28,991706850
2003-12-01,1008488600
2003-12-02,1021042400
2003-12-03,985473300
2003-12-04,976685640
2003-12-05,976685640
2003-12-08,1001374780
2003-12-09,960784160
2003-12-10,959110320
2003-12-11,1001374780
2003-12-12,1014765500
2003-12-15,975011800
2003-12-16,997190179
2003-12-17,988820980
2003-12-18,991331740
2003-12-19,987565600
2003-12-22,1007233220
2003-12-23,1056611500
2003-12-24,1041546940
2003-12-26,1039873100
2003-12-29,1093854440
2003-12-30,1055774580
2003-12-31,1079626800
2004-01-02,1058285340
2004-01-05,1061633020
2004-01-06,1059959179
2004-01-07,1085485240
2004-01-08,1085066780
2004-01-09,1049916140
2004-01-12,1046150000
2004-01-13,1054937660
2004-01-14,1049916140
2004-01-15,1046150000
2004-01-16,1053682280
2004-01-20,1072094520
2004-01-21,1080045260
2004-01-22,1083811400
2004-01-23,1072512980
2004-01-26,1071676060
2004-01-27,1055774580
2004-01-28,1039036179
2004-01-29,1036525420
2004-01-30,1016857800
2004-02-02,1017276260
2004-02-03,1021042400
2004-02-04,959947240
2004-02-05,1003048620
2004-02-06,1061633020
2004-02-09,1048242300
2004-02-10,1085903700
2004-02-11,1093435980
2004-02-12,1066654539
2004-02-13,1050334600
2004-02-17,1073349900
2004-02-18,1055356120
2004-02-19,1052008440
2004-02-20,1054519200
2004-02-23,1032759280
2004-02-24,1049916140
2004-02-25,1023134700
2004-02-26,1056193039
2004-02-27,1022297780
2004-03-01,1079022240
2004-03-02,1033642800
2004-03-03,1075660800
2004-03-04,1082383680
2004-03-05,1060954500
2004-03-08,1044147300
2004-03-09,1018936500
2004-03-10,991624800
2004-03-11,966834180
2004-03-12,1029441000
2004-03-15,969355260
2004-03-16,970615800
2004-03-17,1002549480
2004-03-18,972716699
2004-03-19,958010400
2004-03-22,923135460
2004-03-23,948346260
2004-03-24,925656540
2004-03-25,976918500
2004-03-26,951287520
2004-03-29,1004230199
2004-03-30,1007171460
2004-03-31,1003389840
2004-04-01,1015995240
2004-04-02,1047508740
2004-04-05,1037844600
2004-04-06,1008432000
2004-04-07,1040365680
2004-04-08,1022297939
2004-04-12,1054231620
2004-04-13,1030281360
2004-04-14,999608220
2004-04-15,1023978660
2004-04-16,1019356680
2004-04-19,1038684960
2004-04-20,1031541900
2004-04-21,1036584060
2004-04-22,1063055400
2004-04-23,1072719540
2004-04-26,1093728540
2004-04-27,1104233040
2004-04-28,1092468000
2004-04-29,1039105140
2004-04-30,1028180460
2004-05-03,1067677380
2004-05-04,1045828020
2004-05-05,1034062980
2004-05-06,1023558480
2004-05-07,1002129300
2004-05-10,1001288939
2004-05-11,1020617220
2004-05-12,1025659380
2004-05-13,1007591640
2004-05-14,1009272360
2004-05-17,1000868760
2004-05-18,1023978660
2004-05-19,992465160
2004-05-20,997507319
2004-05-21,1029441000
2004-05-24,1026919920
2004-05-25,1043306939
2004-05-26,1030701540
2004-05-27,1048349100
2004-05-28,1036163880
2004-06-01,1085328720
2004-06-02,1089574920
2004-06-03,1055180700
2004-06-04,1071316260
2004-06-07,1104012000
2004-06-08,1103587380
2004-06-09,1098067320
2004-06-10,1092971880
2004-06-14,1060700760
2004-06-15,1085328720
2004-06-16,1091273400
2004-06-17,1097642700
2004-06-18,1104012000
2004-06-21,1109956680
2004-06-22,1148597100
2004-06-23,1180868220
2004-06-24,1145200140
2004-06-25,1114627500
2004-06-28,1135858500
2004-06-29,1143501660
2004-06-30,1146474000
2004-07-01,1118873700
2004-07-02,1102738140
2004-07-06,1080657900
2004-07-07,1048811400
2004-07-08,1059851520
2004-07-09,1052208360
2004-07-12,1044565200
2004-07-13,1042866720
2004-07-14,1019088000
2004-07-15,1008472500
2004-07-16,1016540280
2004-07-19,1012718700
2004-07-20,1025457299
2004-07-21,1018663379
2004-07-22,990638459
2004-07-23,978324480
2004-07-26,978749100
2004-07-27,989364600
2004-07-28,980872200
2004-07-29,999555480
2004-07-30,1012718700
2004-08-02,1007198640
2004-08-03,982995299
2004-08-04,985118400
2004-08-05,974927520
2004-08-06,930342420
2004-08-09,918028440
2004-08-10,940108680
2004-08-11,949025700
2004-08-12,920576160
2004-08-13,926945459
2004-08-16,938834820
2004-08-17,937136340
2004-08-18,960065820
2004-08-19,953271900
2004-08-20,967284360
2004-08-23,970256700
2004-08-24,969407459
2004-08-25,980022959
2004-08-26,969832080
2004-08-27,982995299
2004-08-30,965161260
2004-08-31,977050620
2004-09-01,980872200
2004-09-02,992761560
2004-09-03,995733900
2004-09-07,1016964900
2004-09-08,977475240
2004-09-09,976201379
2004-09-10,989789220
2004-09-13,1012294080
2004-09-14,1004226299
2004-09-15,987241500
2004-09-16,1004226299
2004-09-17,1006349400
2004-09-20,992761560
2004-09-21,1014417180
2004-09-22,977475240
2004-09-23,992761560
2004-09-24,993610799
2004-09-27,982995299
2004-09-28,991487700
2004-09-29,1016540280
2004-09-30,1009321740
2004-10-01,1064946959
2004-10-04,1073863980
2004-10-05,1116750600
2004-10-06,1140104700
2004-10-07,1104012000
2004-10-08,1079384040
2004-10-11,1093396500
2004-10-12,1083630240
2004-10-13,1067919299
2004-10-14,1073439360
2004-10-15,1079808660
2004-10-18,1073863980
2004-10-19,1085753340
2004-10-20,1089574920
2004-10-21,1122270660
2004-10-22,1083630240
2004-10-25,1098916560
2004-10-26,1097642700
2004-10-27,1134584640
2004-10-28,1127366100
2004-10-29,1126516860
2004-11-01,1142227800
2004-11-02,1134160020
2004-11-03,1153692540
2004-11-04,1159637220
2004-11-05,1184689800
2004-11-08,1189360620
2004-11-09,1184689800
2004-11-10,1179169740
2004-11-11,1252204380
2004-11-12,1252629000
2004-11-15,1262395260
2004-11-16,1260696780
2004-11-17,1273860000
2004-11-18,1256875200
2004-11-19,1228850280
2004-11-22,1233521100
2004-11-23,1242013500
2004-11-24,1245410460
2004-11-26,1249656660
2004-11-29,1247958180
2004-11-30,1263312180
2004-12-01,1304950400
2004-12-02,1305808920
2004-12-03,1315681900
2004-12-06,1314823380
2004-12-07,1289926300
2004-12-08,1323837840
2004-12-09,1303662620
2004-12-10,1301945580
2004-12-13,1295506680
2004-12-14,1322979320
2004-12-15,1298511500
2004-12-16,1322120800
2004-12-17,1307096700
2004-12-20,1300657800
2004-12-21,1327271920
2004-12-22,1328559700
2004-12-23,1311818560
2004-12-27,1319115980
2004-12-28,1356032340
2004-12-29,1352169000
2004-12-30,1362900500
2004-12-31,1365046800
2005-01-03,1313106340
2005-01-04,1286492220
2005-01-05,1227683600
2005-01-06,1172309060
2005-01-07,1254726980
2005-01-10,1234122500
2005-01-11,1230259160
2005-01-12,1230259160
2005-01-13,1217810620
2005-01-14,1225966560
2005-01-18,1232405460
2005-01-19,1208796160
2005-01-20,1189908720
2005-01-21,1176172400
2005-01-24,1141831600
2005-01-25,1141831600
2005-01-26,1167157940
2005-01-27,1156426440
2005-01-28,1154280140
2005-01-31,1179177220
2005-02-01,1187333160
2005-02-02,1194630580
2005-02-03,1181752780
2005-02-04,1195059840
2005-02-07,1185616120
2005-02-08,1159002000
2005-02-09,1126807500
2005-02-10,1126807500
2005-02-11,1140973080
2005-02-14,1177460180
2005-02-15,1190767240
2005-02-16,1205791340
2005-02-17,1198064660
2005-02-18,1201928000
2005-02-22,1053833300
2005-02-23,1103198200
2005-02-24,1150846060
2005-02-25,1172309060
2005-02-28,1199097550
2005-03-01,1203867920
2005-03-02,1209939300
2005-03-03,1217311690
2005-03-04,1234224820
2005-03-07,1240296200
2005-03-08,1242464550
2005-03-09,1240296200
2005-03-10,1243331890
2005-03-11,1244632900
2005-03-14,1252438960
2005-03-15,1246367580
2005-03-16,1246801250
2005-03-17,1229454450
2005-03-18,1230321790
2005-03-21,1226852430
2005-03-22,1196061860
2005-03-23,1192592500
2005-03-24,1183485430
2005-03-28,1182618090
2005-03-29,1168306980
2005-03-30,1180016070
2005-03-31,1170909000
2005-04-01,1170909000
2005-04-04,1203434250
2005-04-05,1154429540
2005-04-06,1172643680
2005-04-07,1170909000
2005-04-08,1158766240
2005-04-11,1132312370
2005-04-12,1148358160
2005-04-13,1124072640
2005-04-14,1092414730
2005-04-15,1078970960
2005-04-18,1068562880
2005-04-19,1095016750
2005-04-20,1071164900
2005-04-21,1086777020
2005-04-22,1061624160
2005-04-25,1082440320
2005-04-26,1055986450
2005-04-27,1048614060
2005-04-28,1027797900
2005-04-29,1036904970
2005-05-02,1034302950
2005-05-03,1035603960
2005-05-04,1049481400
2005-05-05,1051649750
2005-05-06,1061190490
2005-05-09,1070731230
2005-05-10,1062491500
2005-05-11,1063792510
2005-05-12,1051649750
2005-05-13,1034302950
2005-05-16,1041675340
2005-05-17,1037338640
2005-05-18,1068129210
2005-05-19,1079404630
2005-05-20,1066828200
2005-05-23,1056853790
2005-05-24,1052950760
2005-05-25,1039073320
2005-05-26,1047746720
2005-05-27,1066828200
2005-05-31,1086853050
2005-06-01,1105004160
2005-06-02,1107660420
2005-06-03,1081540530
2005-06-06,1073129039
2005-06-07,1071358200
2005-06-08,1063389420
2005-06-09,1087738470
2005-06-10,1069587360
2005-06-13,1071358200
2005-06-14,1101905190
2005-06-15,1120499010
2005-06-16,1141306380
2005-06-17,1170967950
2005-06-20,1159900200
2005-06-21,1158129360
2005-06-22,1159900200
2005-06-23,1124483400
2005-06-24,1104118740
2005-06-27,1105004160
2005-06-28,1122712560
2005-06-29,1153259550
2005-06-30,1137321990
2005-07-01,1133337600
2005-07-05,1154587680
2005-07-06,1113415650
2005-07-07,1119170880
2005-07-08,1135551150
2005-07-11,1157686650
2005-07-12,1160342910
2005-07-13,1175837760
2005-07-14,1161228330
2005-07-15,1185577380
2005-07-18,1186020090
2005-07-19,1227192120
2005-07-20,1226306700
2005-07-21,1231176510
2005-07-22,1251098460
2005-07-25,1240473420
2005-07-26,1240916130
2005-07-27,1270577700
2005-07-28,1298911140
2005-07-29,1291827780
2005-08-01,1294041330
2005-08-02,1305994500
2005-08-03,1307322630
2005-08-04,1302895530
2005-08-05,1284744420
2005-08-08,1284301710
2005-08-09,1283859000
2005-08-10,1280317320
2005-08-11,1279431900
2005-08-12,1275447510
2005-08-15,1271463120
2005-08-16,1270134990
2005-08-17,1275004800
2005-08-18,1270134990
2005-08-19,1268806860
2005-08-22,1283416290
2005-08-23,1270134990
2005-08-24,1276775640
2005-08-25,1277218350
2005-08-26,1251541170
2005-08-29,1246228650
2005-08-30,1275004800
2005-08-31,1307322630
2005-09-01,1329015420
2005-09-02,1321932060
2005-09-06,1336984200
2005-09-07,1321489350
2005-09-08,1325473740
2005-09-09,1327244580
2005-09-12,1328130000
2005-09-13,1317062250
2005-09-14,1320161220
2005-09-15,1314405990
2005-09-16,1308208050
2005-09-19,1295812170
2005-09-20,1266150600
2005-09-21,1245785940
2005-09-22,1262166210
2005-09-23,1270577700
2005-09-26,1278103770
2005-09-27,1276332930
2005-09-28,1290942360
2005-09-29,1304666370
2005-09-30,1313520570
2005-10-03,1343624850
2005-10-04,1331228970
2005-10-05,1283859000
2005-10-06,1278989190
2005-10-07,1295369460
2005-10-10,1283859000
2005-10-11,1275004800
2005-10-12,1254197430
2005-10-13,1243572390
2005-10-14,1251541170
2005-10-17,1258181820
2005-10-18,1227192120
2005-10-19,1235160900
2005-10-20,1210811850
2005-10-21,1217452500
2005-10-24,1239145290
2005-10-25,1228520250
2005-10-26,1218337920
2005-10-27,1198415970
2005-10-28,1216567080
2005-10-31,1231176510
2005-11-01,1220108760
2005-11-02,1265265180
2005-11-03,1268364150
2005-11-04,1275447510
2005-11-07,1291827780
2005-11-08,1259509950
2005-11-09,1274119380
2005-11-10,1286957970
2005-11-11,1309093470
2005-11-14,1332557100
2005-11-15,1321046640
2005-11-16,1324145610
2005-11-17,1366203060
2005-11-18,1360005120
2005-11-21,1375499970
2005-11-22,1406489670
2005-11-23,1398078180
2005-11-25,1406046960
2005-11-28,1375499970
2005-11-29,1387010430
2005-11-30,1380986710
2005-12-01,1420963810
2005-12-02,1429403420
2005-12-05,1397421740
2005-12-06,1390758890
2005-12-07,1394756600
2005-12-08,1414745150
2005-12-09,1425849900
2005-12-12,1432512750
2005-12-13,1425405710
2005-12-14,1439175600
2005-12-15,1421408000
2005-12-16,1411191630
2005-12-19,1400086880
2005-12-20,1385872800
2005-12-21,1412524200
2005-12-22,1413412580
2005-12-23,1439175600
2005-12-27,1423628949
2005-12-28,1429403420
2005-12-29,1428515039
2005-12-30,1412524200
2006-01-03,1416521910
2006-01-04,1443173310
2006-01-05,1551111480
2006-01-06,1564437180
2006-01-09,1609744560
2006-01-10,1619072550
2006-01-11,1617739980
2006-01-12,1600860760
2006-01-13,1605746850
2006-01-17,1607079420
2006-01-18,1611077130
2006-01-19,1615963220
2006-01-20,1601304949
2006-01-23,1634175010
2006-01-24,1680370770
2006-01-25,1679038199
2006-01-26,1696805800
2006-01-27,1723457199
2006-01-30,1685256860
2006-01-31,1683035910
2006-02-01,1685701050
2006-02-02,1675484680
2006-02-03,1680814960
2006-02-06,1719015300
2006-02-07,1696805800
2006-02-08,1720792060
2006-02-09,1724345580
2006-02-10,1727899100
2006-02-13,1717682730
2006-02-14,1754106310
2006-02-15,1765211060
2006-02-16,1783422850
2006-02-17,1782534470
2006-02-21,1763434300
2006-02-22,1772318100
2006-02-23,1771429720
2006-02-24,1773206480
2006-02-27,1774539050
2006-02-28,1739692460
2006-03-01,1784187000
2006-03-02,1783305919
2006-03-03,1778459980
2006-03-06,1756873520
2006-03-07,1750705960
2006-03-08,1715462760
2006-03-09,1708854660
2006-03-10,1730000580
2006-03-13,1727357340
2006-03-14,1762160000
2006-03-15,1797843740
2006-03-16,1785508620
2006-03-17,1799605900
2006-03-20,1807535620
2006-03-21,1784187000
2006-03-22,1784187000
2006-03-23,1786830240
2006-03-24,1793438340
2006-03-27,1750705960
2006-03-28,1732643820
2006-03-29,1757754600
2006-03-30,1744097860
2006-03-31,1762160000
2006-04-03,1797403199
2006-04-04,1796081580
2006-04-05,1857757180
2006-04-06,1828241000
2006-04-07,1815024800
2006-04-10,1781984300
2006-04-11,1747181639
2006-04-12,1766124860
2006-04-13,1748943800
2006-04-17,1765684320
2006-04-18,1824716680
2006-04-19,1809297780
2006-04-20,1871413919
2006-04-21,1824716680
2006-04-24,1831324780
2006-04-25,1818989660
2006-04-26,1830003160
2006-04-27,1809738320
2006-04-28,1818549120
2006-05-01,1843219360
2006-05-02,1868330139
2006-05-03,1878022020
2006-05-04,1907097660
2006-05-05,1918992240
2006-05-08,1945424639
2006-05-09,1928684120
2006-05-10,1951151660
2006-05-11,1902251720
2006-05-12,1865246360
2006-05-15,1840576120
2006-05-16,1837492340
2006-05-17,1767446480
2006-05-18,1754230280
2006-05-19,1754230280
2006-05-22,1763481620
2006-05-23,1730441120
2006-05-24,1740133000
2006-05-25,1759076220
2006-05-26,1784627540
2006-05-30,1737489760
2006-05-31,1683939600
2006-06-01,1727409720
2006-06-02,1740070919
2006-06-05,1657773120
2006-06-06,1670434320
2006-06-07,1641313560
2006-06-08,1603329960
2006-06-09,1586448360
2006-06-12,1533271320
2006-06-13,1497397919
2006-06-14,1517233800
2006-06-15,1569988800
2006-06-16,1555639440
2006-06-19,1535381520
2006-06-20,1521454199
2006-06-21,1521454199
2006-06-22,1533271320
2006-06-23,1561125960
2006-06-26,1589824680
2006-06-27,1559859840
2006-06-28,1573787160
2006-06-29,1657351080
2006-06-30,1642157639
2006-07-03,1662837600
2006-07-05,1667480040
2006-07-06,1814772000
2006-07-07,1811817720
2006-07-10,1818570360
2006-07-11,1855709880
2006-07-12,1759062720
2006-07-13,1746401520
2006-07-14,1710106080
2006-07-17,1712216280
2006-07-18,1732474199
2006-07-19,1793670000
2006-07-20,1724455440
2006-07-21,1715170560
2006-07-24,1776788400
2006-07-25,1793670000
2006-07-26,1807597320
2006-07-27,1777210440
2006-07-28,1824900960
2006-07-31,1845580919
2006-08-01,1856976000
2006-08-02,1842204600
2006-08-03,1878500040
2006-08-04,1878078000
2006-08-07,1873435560
2006-08-08,1849801320
2006-08-09,1811817720
2006-08-10,1814349960
2006-08-11,1796624280
2006-08-14,1795358160
2006-08-15,1839250320
2006-08-16,1878078000
2006-08-17,1873435560
2006-08-18,1879344120
2006-08-21,1841360520
2006-08-22,1865416800
2006-08-23,1809285480
2006-08-24,1795780199
2006-08-25,1776788400
2006-08-28,1782696960
2006-08-29,1784385120
2006-08-30,1813927919
2006-08-31,1803376919
2006-09-01,1825323000
2006-09-05,1884408600
2006-09-06,1822368720
2006-09-07,1818570360
2006-09-08,1846002960
2006-09-11,1839250320
2006-09-12,1892427360
2006-09-13,1909308960
2006-09-14,1906354680
2006-09-15,1886518800
2006-09-18,1892849400
2006-09-19,1886096760
2006-09-20,1916061600
2006-09-21,1889473080
2006-09-22,1873857600
2006-09-25,1906776720
2006-09-26,1943494199
