,ZTS
2014-08-28,17716334490
2014-08-29,17771494320
2014-09-02,17791552440
2014-09-03,17931959280
2014-09-04,17806596030
2014-09-05,18072366120
2014-09-08,18192714840
2014-09-09,18142569540
2014-09-10,18172656720
2014-09-11,18187700310
2014-09-12,18142569540
2014-09-15,18187700310
2014-09-16,18298019970
2014-09-17,18378252450
2014-09-18,18403325100
2014-09-19,18654051600
2014-09-22,18363208860
2014-09-23,17992133640
2014-09-24,18343150740
2014-09-25,18202743900
2014-09-26,18368223390
2014-09-29,18452392400
2014-09-30,18532642000
2014-10-01,18281862000
2014-10-02,18512579600
2014-10-03,18893765200
2014-10-06,18888749600
2014-10-07,18412267600
2014-10-08,18833578000
2014-10-09,18567751200
2014-10-10,18397220800
2014-10-13,17840489200
2014-10-14,17990957200
2014-10-15,17685005600
2014-10-16,17589709200
2014-10-17,17740177200
2014-10-20,17760239600
2014-10-21,18101300400
2014-10-22,18000988400
2014-10-23,18111331600
2014-10-24,18347064800
2014-10-27,18342049200
2014-10-28,18562735600
2014-10-29,18367127200
2014-10-30,18718219200
2014-10-31,18637969600
2014-11-03,18918843200
2014-11-04,19621027200
2014-11-05,19696261200
2014-11-06,19916947600
2014-11-07,20177758800
2014-11-10,20142649600
2014-11-11,21928203200
2014-11-12,21386518400
2014-11-13,21687454400
2014-11-14,21637298400
2014-11-17,22183998800
2014-11-18,22163936400
2014-11-19,21767704000
2014-11-20,21642314000
2014-11-21,22003437200
2014-11-24,22359544800
2014-11-25,22023499600
2014-11-26,22404685200
2014-11-28,22535090800
2014-12-01,22254217200
2014-12-02,22439794400
2014-12-03,22510012800
2014-12-04,22068640000
2014-12-05,22058608800
2014-12-08,22118796000
2014-12-09,21978359200
2014-12-10,21451721200
2014-12-11,21506892800
2014-12-12,20950161200
2014-12-15,20935114400
2014-12-16,20488726000
2014-12-17,20629162800
2014-12-18,21642314000
2014-12-19,21822875600
2014-12-22,21772719600
2014-12-23,21552033200
2014-12-24,21988390400
2014-12-26,22168952000
2014-12-29,22073655600
2014-12-30,21742626000
2014-12-31,21564312380
2015-01-02,21704633260
2015-01-05,21574335300
2015-01-06,21363853980
2015-01-07,21804862460
2015-01-08,22140630280
2015-01-09,22175710500
2015-01-12,21759759320
2015-01-13,21454060260
2015-01-14,21564312380
2015-01-15,21519209240
2015-01-16,22160676120
2015-01-20,21829919760
2015-01-21,22175710500
2015-01-22,22306008460
2015-01-23,22110561520
2015-01-26,22095527140
2015-01-27,21699621800
2015-01-28,21604404060
2015-01-29,21709644720
2015-01-30,21413968580
2015-02-02,21739713480
2015-02-03,21799851000
2015-02-04,21779805160
2015-02-05,21749736400
2015-02-06,21880034360
2015-02-09,21484129020
2015-02-10,22005320860
2015-02-11,22937452420
2015-02-12,22947475340
2015-02-13,22782097160
2015-02-17,23152945200
2015-02-18,22977544100
2015-02-19,22877314900
2015-02-20,22852257600
2015-02-23,22842234680
2015-02-24,22752028400
2015-02-25,22912395120
2015-02-26,23363426520
2015-02-27,23097819140
2015-03-02,23709217260
2015-03-03,23323334840
2015-03-04,23167979580
2015-03-05,23283243160
2015-03-06,22942463880
2015-03-09,23198048340
2015-03-10,22902372200
2015-03-11,23057727460
2015-03-12,23473678640
2015-03-13,23278231700
2015-03-16,23543839080
2015-03-17,23629033900
2015-03-18,23809446460
2015-03-19,23759331860
2015-03-20,23724251640
2015-03-23,23629033900
2015-03-24,23563884920
2015-03-25,23188025420
2015-03-26,23107842060
2015-03-27,23162968120
2015-03-30,23468117160
2015-03-31,23153008170
2015-04-01,23143004710
2015-04-02,23258044500
2015-04-06,23173015090
2015-04-07,23188020280
2015-04-08,23112994330
2015-04-09,23283053150
2015-04-10,23593160410
2015-04-13,23338072180
2015-04-14,23458113700
2015-04-15,23508131000
2015-04-16,23578155220
2015-04-17,23393091210
2015-04-20,23528137920
2015-04-21,23778224420
2015-04-22,23523136190
2015-04-23,23533139650
2015-04-24,23963288430
2015-04-27,23423101590
2015-04-28,22872911290
2015-04-29,22617823060
2015-04-30,22217684660
2015-05-01,22312717530
2015-05-04,22707854200
2015-05-05,22847902640
2015-05-06,22652835170
2015-05-07,22787881880
2015-05-08,22957940700
2015-05-11,23052973570
2015-05-12,22797885340
2015-05-13,22817892260
2015-05-14,23148006440
2015-05-15,23253042770
2015-05-18,23373084290
2015-05-19,23733208850
2015-05-20,23648179440
2015-05-21,23908269400
2015-05-22,23823239990
2015-05-26,23983295350
2015-05-27,24733554850
