,SBAC
2003-04-28,92039400
2003-04-29,86926100
2003-04-30,85392110
2003-05-01,82835460
2003-05-02,81812800
2003-05-05,89994080
2003-05-06,98175360
2003-05-07,95618710
2003-05-08,93062060
2003-05-09,114537920
2003-05-12,112492600
2003-05-13,107379300
2003-05-14,112492600
2003-05-15,121185210
2003-05-16,125787180
2003-05-19,138570430
2003-05-20,138059100
2003-05-21,133968460
2003-05-22,133457130
2003-05-23,127832500
2003-05-27,150331020
2003-05-28,158512300
2003-05-29,155955650
2003-05-30,155955650
2003-06-02,166182250
2003-06-03,154421660
2003-06-04,154421660
2003-06-05,163114270
2003-06-06,160046290
2003-06-09,150842350
2003-06-10,155444320
2003-06-11,152376340
2003-06-12,158512300
2003-06-13,155444320
2003-06-16,157489640
2003-06-17,150842350
2003-06-18,151865010
2003-06-19,150331020
2003-06-20,151865010
2003-06-23,136525110
2003-06-24,142661070
2003-06-25,149819690
2003-06-26,144706390
2003-06-27,153399000
2003-06-30,157705940
2003-07-01,155086240
2003-07-02,158229880
2003-07-03,167660800
2003-07-07,180759300
2003-07-08,196477500
2003-07-09,203812660
2003-07-10,196477500
2003-07-11,185998700
2003-07-14,196477500
2003-07-15,184950820
2003-07-16,189666280
2003-07-17,174472020
2003-07-18,176567780
2003-07-21,174472020
2003-07-22,174995960
2003-07-23,184950820
2003-07-24,191762040
2003-07-25,189666280
2003-07-28,191238100
2003-07-29,201716900
2003-07-30,195429620
2003-07-31,202240840
2003-08-01,201716900
2003-08-04,209576000
2003-08-05,205908420
2003-08-06,209052060
2003-08-07,207480240
2003-08-08,200669020
2003-08-11,209576000
2003-08-12,173948080
2003-08-13,183379000
2003-08-14,171852320
2003-08-15,167136860
2003-08-18,152466540
2003-08-19,141463800
2003-08-20,159801700
2003-08-21,171328380
2003-08-22,167660800
2003-08-25,165565040
2003-08-26,167136860
2003-08-27,171852320
2003-08-28,172900200
2003-08-29,175519900
2003-09-02,172900200
2003-09-03,170804440
2003-09-04,174472020
2003-09-05,171852320
2003-09-08,177615660
2003-09-09,190190220
2003-09-10,175519900
2003-09-11,176567780
2003-09-12,178139600
2003-09-15,178139600
2003-09-16,177091720
2003-09-17,171852320
2003-09-18,174995960
2003-09-19,170280500
2003-09-22,173948080
2003-09-23,172900200
2003-09-24,172900200
2003-09-25,166612920
2003-09-26,165041100
2003-09-29,167136860
2003-09-30,170556750
2003-10-01,173264000
2003-10-02,184093000
2003-10-03,189507500
2003-10-06,190590400
2003-10-07,192214750
2003-10-08,197087800
2003-10-09,199795050
2003-10-10,190590400
2003-10-13,202502300
2003-10-14,207916800
2003-10-15,206833900
2003-10-16,218204350
2003-10-17,226867550
2003-10-20,223618850
2003-10-21,222535950
2003-10-22,223077400
2003-10-23,214955650
2003-10-24,204668100
2003-10-27,216580000
2003-10-28,216038550
2003-10-29,227409000
2003-10-30,227409000
2003-10-31,220370150
2003-11-03,221453050
2003-11-04,212789850
2003-11-05,214414200
2003-11-06,216580000
2003-11-07,214955650
2003-11-10,206833900
2003-11-11,189507500
2003-11-12,195463450
2003-11-13,200336500
2003-11-14,187883150
2003-11-17,182468650
2003-11-18,179761400
2003-11-19,178678500
2003-11-20,179219950
2003-11-21,182468650
2003-11-24,188966050
2003-11-25,189507500
2003-11-26,188424600
2003-11-28,186800250
2003-12-01,187341700
2003-12-02,184093000
2003-12-03,184093000
2003-12-04,181385750
2003-12-05,171639650
2003-12-08,183010100
2003-12-09,186258800
2003-12-10,191673300
2003-12-11,197087800
2003-12-12,199795050
2003-12-15,191131850
2003-12-16,189507500
2003-12-17,187883150
2003-12-18,191131850
2003-12-19,188966050
2003-12-22,188424600
2003-12-23,197629250
2003-12-24,197087800
2003-12-26,197087800
2003-12-29,198170700
2003-12-30,196004900
2003-12-31,209371840
2004-01-02,227747560
2004-01-05,253362200
2004-01-06,247793800
2004-01-07,250578000
2004-01-08,261714800
2004-01-09,270067400
2004-01-12,275635800
2004-01-13,292341000
2004-01-14,287886280
2004-01-15,272851600
2004-01-16,281204200
2004-01-20,276192640
2004-01-21,266169520
2004-01-22,256146399
2004-01-23,250021160
2004-01-26,250578000
2004-01-27,252248520
2004-01-28,246680119
2004-01-29,242225399
2004-01-30,247793800
2004-02-02,247236960
2004-02-03,229418080
2004-02-04,219951800
2004-02-05,222736000
2004-02-06,232202280
2004-02-09,232202280
2004-02-10,236657000
2004-02-11,240554880
2004-02-12,231088600
2004-02-13,219951800
2004-02-17,233872800
2004-02-18,231088600
2004-02-19,233872800
2004-02-20,239441200
2004-02-23,219951800
2004-02-24,222179160
2004-02-25,223292840
2004-02-26,229974920
2004-02-27,247793800
2004-03-01,246123280
2004-03-02,246123280
2004-03-03,250021160
2004-03-04,258373759
2004-03-05,260044280
2004-03-08,246123280
2004-03-09,237770679
2004-03-10,231088600
2004-03-11,220508640
2004-03-12,225520200
2004-03-15,220508640
2004-03-16,219951800
2004-03-17,220508640
2004-03-18,217724440
2004-03-19,214383400
2004-03-22,201576080
2004-03-23,192666640
2004-03-24,192109800
2004-03-25,204917120
2004-03-26,211599200
2004-03-29,219394960
2004-03-30,212712880
2004-03-31,220900040
2004-04-01,201542820
2004-04-02,208944110
