,BK
2001-01-12,39081480000
2001-01-16,40245360000
2001-01-17,39323040000
2001-01-18,38408040000
2001-01-19,36753720000
2001-01-22,39132720000
2001-01-23,40296600000
2001-01-24,40391760000
2001-01-25,40684560000
2001-01-26,41460480000
2001-01-29,41928960000
2001-01-30,42865920000
2001-01-31,42463320000
2001-02-01,42038760000
2001-02-02,41665440000
2001-02-05,42639000000
2001-02-06,41702040000
2001-02-07,41833800000
2001-02-08,41284800000
2001-02-09,41855760000
2001-02-12,42126600000
2001-02-13,41914320000
2001-02-14,41738640000
2001-02-15,41665440000
2001-02-16,41892360000
2001-02-20,39301080000
2001-02-21,39066840000
2001-02-22,38986320000
2001-02-23,39345000000
2001-02-26,39645120000
2001-02-27,40303920000
2001-02-28,40172160000
2001-03-01,39915960000
2001-03-02,39842760000
2001-03-05,39454800000
2001-03-06,39366960000
2001-03-07,39930600000
2001-03-08,39293760000
2001-03-09,38173800000
2001-03-12,36468240000
2001-03-13,36775680000
2001-03-14,34601640000
2001-03-15,36621960000
2001-03-16,35143320000
2001-03-19,35260440000
2001-03-20,34308840000
2001-03-21,33166920000
2001-03-22,33357240000
2001-03-23,35077440000
2001-03-26,35831400000
2001-03-27,37471080000
2001-03-28,38173800000
2001-03-29,37632120000
2001-03-30,38203080000
2001-04-02,38231300000
2001-04-03,37653810000
2001-04-04,36995910000
2001-04-05,38194750000
2001-04-06,37456440000
2001-04-09,37566090000
2001-04-10,38304400000
2001-04-11,38209370000
2001-04-12,38355570000
2001-04-16,38465220000
2001-04-17,38933060000
2001-04-18,39788330000
2001-04-19,40446230000
2001-04-20,40314650000
2001-04-23,40036870000
2001-04-24,38779550000
2001-04-25,38852650000
2001-04-26,38640660000
2001-04-27,38743000000
2001-04-30,38896510000
2001-05-01,39305870000
2001-05-02,38838030000
2001-05-03,39430140000
2001-05-04,40058800000
2001-05-07,39788330000
2001-05-08,39357040000
2001-05-09,39393590000
2001-05-10,39210840000
2001-05-11,38743000000
2001-05-14,39320490000
2001-05-15,40307340000
2001-05-16,41462320000
2001-05-17,41871680000
2001-05-18,41221090000
2001-05-21,41491560000
2001-05-22,42339520000
2001-05-23,42427240000
2001-05-24,42339520000
2001-05-25,41783960000
2001-05-29,42010570000
2001-05-30,41915540000
2001-05-31,42310280000
2001-06-01,42887770000
2001-06-04,42821980000
2001-06-05,42200630000
2001-06-06,41783960000
2001-06-07,41104130000
2001-06-08,40592430000
2001-06-11,40585120000
2001-06-12,40380440000
2001-06-13,39978390000
2001-06-14,39532480000
2001-06-15,39086570000
2001-06-18,39291250000
2001-06-19,39590960000
2001-06-20,39824880000
2001-06-21,40833660000
2001-06-22,39474000000
2001-06-25,37851180000
2001-06-26,38128960000
2001-06-27,38012000000
2001-06-28,38041240000
2001-06-29,37193280000
2001-07-02,37778080000
2001-07-03,37368720000
2001-07-05,36491520000
2001-07-06,36096780000
2001-07-09,37149420000
2001-07-10,36257600000
2001-07-11,36886260000
2001-07-12,37149420000
2001-07-13,38275160000
2001-07-16,33318980000
2001-07-17,32931549999
2001-07-18,33881850000
2001-07-19,33677170000
2001-07-20,32931549999
2001-07-23,32653770000
2001-07-24,32990030000
2001-07-25,33355530000
2001-07-26,33947640000
2001-07-27,35022210000
2001-07-30,34722500000
2001-07-31,34759050000
2001-08-01,34400860000
2001-08-02,35044140000
2001-08-03,34963730000
2001-08-06,34883320000
2001-08-07,34978350000
2001-08-08,35095310000
2001-08-09,35095310000
2001-08-10,35212270000
2001-08-13,34868700000
2001-08-14,34810220000
2001-08-15,34452030000
2001-08-16,34495890000
2001-08-17,34093840000
2001-08-20,33933020000
2001-08-21,34093840000
2001-08-22,34006120000
2001-08-23,32653770000
2001-08-24,32683010000
2001-08-27,32522190000
2001-08-28,31798500000
2001-08-29,31104049999
2001-08-30,30694690000
2001-08-31,30760480000
2001-09-04,30526560000
2001-09-05,29605500000
2001-09-06,28604030000
2001-09-07,27894959999
2001-09-10,28684440000
2001-09-17,26016290000
2001-09-18,25182950000
2001-09-19,24598150000
2001-09-20,23823290000
2001-09-21,23720950000
2001-09-24,26111320000
2001-09-25,25256049999
2001-09-26,25460730000
2001-09-27,25818920000
2001-09-28,27120100000
2001-10-01,25963120000
2001-10-02,26201380000
2001-10-03,26966700000
2001-10-04,26497400000
2001-10-05,25717640000
2001-10-08,24909000000
2001-10-09,25306099999
2001-10-10,25992000000
2001-10-11,27197740000
2001-10-12,27103880000
2001-10-15,26721220000
2001-10-16,26786200000
2001-10-17,26533500000
2001-10-18,25941460000
2001-10-19,25695980000
2001-10-22,26973920000
2001-10-23,26822300000
2001-10-24,27233840000
2001-10-25,27602059999
2001-10-26,27537080000
2001-10-29,26627360000
2001-10-30,26410760000
2001-10-31,26028099999
2001-11-01,26020880000
2001-11-02,25984780000
2001-11-05,26966700000
2001-11-06,28049700000
2001-11-07,28591200000
2001-11-08,28815019999
2001-11-09,28872780000
2001-11-12,28526220000
2001-11-13,29529800000
2001-11-14,29219340000
2001-11-15,29277099999
2001-11-16,28973860000
2001-11-19,30583920000
2001-11-20,30612800000
2001-11-21,30367320000
2001-11-23,30930480000
2001-11-26,30923260000
2001-11-27,31132640000
2001-11-28,29645320000
2001-11-29,30107400000
2001-11-30,30027980000
2001-12-03,29233780000
2001-12-04,30367320000
2001-12-05,31197620000
2001-12-06,31883519999
2001-12-07,31854640000
2001-12-10,31183180000
2001-12-11,31175960000
2001-12-12,31089320000
2001-12-13,30562260000
2001-12-14,30035200000
2001-12-17,30035200000
2001-12-18,30417860000
2001-12-19,31226500000
2001-12-20,31168740000
2001-12-21,31378120000
2001-12-24,31190400000
2001-12-26,31067660000
2001-12-27,31226500000
2001-12-28,31327580000
2001-12-31,31219280000
2002-01-02,31370900000
2002-01-03,32064019999
2002-01-04,32605519999
2002-01-07,33630760000
2002-01-08,33161460000
2002-01-09,33255320000
2002-01-10,34706540000
2002-01-11,34359980000
2002-01-14,33681300000
2002-01-15,33479140000
2002-01-16,33082040000
2002-01-17,32721040000
2002-01-18,32793240000
2002-01-22,32728260000
2002-01-23,32706599999
2002-01-24,32908760000
2002-01-25,32583860000
2002-01-28,32533320000
2002-01-29,30627240000
2002-01-30,30786080000
2002-01-31,31356460000
2002-02-01,31067660000
2002-02-04,29623660000
2002-02-05,28851120000
2002-02-06,28266300000
2002-02-07,28634519999
2002-02-08,29176019999
2002-02-11,29580340000
2002-02-12,29529800000
2002-02-13,29840260000
2002-02-14,29919680000
2002-02-15,29616440000
2002-02-19,28020820000
2002-02-20,28576760000
2002-02-21,28352940000
2002-02-22,28410700000
2002-02-25,29082160000
2002-02-26,29147140000
2002-02-27,29407059999
2002-02-28,28800580000
2002-03-01,29522580000
2002-03-04,30887160000
2002-03-05,31009900000
2002-03-06,31717460000
2002-03-07,31486420000
2002-03-08,31443099999
2002-03-11,32295059999
2002-03-12,32027920000
2002-03-13,32136220000
2002-03-14,32143440000
2002-03-15,33219220000
2002-03-18,33197559999
2002-03-19,33529680000
2002-03-20,32656059999
2002-03-21,32403360000
2002-03-22,32446680000
2002-03-25,32085680000
2002-03-26,32497220000
2002-03-27,33110920000
2002-03-28,32157880000
2002-04-01,31601940000
2002-04-02,31378120000
2002-04-03,30230140000
2002-04-04,29999099999
2002-04-05,29869140000
2002-04-08,29919680000
2002-04-09,29731960000
2002-04-10,29342080000
2002-04-11,28035260000
2002-04-12,29038840000
2002-04-15,28641740000
2002-04-16,29435940000
2002-04-17,29255440000
2002-04-18,28815019999
2002-04-19,28692280000
2002-04-22,28490120000
2002-04-23,28331280000
2002-04-24,27883640000
2002-04-25,28352940000
2002-04-26,28186880000
2002-04-29,27652599999
2002-04-30,27999160000
2002-05-01,27876420000
2002-05-02,28316840000
2002-05-03,27717580000
2002-05-06,26735660000
2002-05-07,26786200000
2002-05-08,27847540000
2002-05-09,27334920000
2002-05-10,26663460000
2002-05-13,26945040000
2002-05-14,27226620000
2002-05-15,28316840000
2002-05-16,28641740000
2002-05-17,28764480000
2002-05-20,28468460000
2002-05-21,28345720000
2002-05-22,28114680000
2002-05-23,28237420000
2002-05-24,27926960000
2002-05-28,27602059999
2002-05-29,27681480000
2002-05-30,27667040000
2002-05-31,27775340000
2002-06-03,27125540000
2002-06-04,26519059999
2002-06-05,26786200000
2002-06-06,25941460000
2002-06-07,25927019999
2002-06-10,26028099999
2002-06-11,25443280000
2002-06-12,25768180000
2002-06-13,25291660000
2002-06-14,25674320000
2002-06-17,27031680000
2002-06-18,27010019999
2002-06-19,26497400000
2002-06-20,25811500000
2002-06-21,25789840000
2002-06-24,25919800000
2002-06-25,25681540000
2002-06-26,25031740000
2002-06-27,25941460000
2002-06-28,25825940000
2002-07-01,25299890000
2002-07-02,24975440000
2002-07-03,24117450000
2002-07-05,25617130000
2002-07-08,25307100000
2002-07-09,24463530000
2002-07-10,23829049999
2002-07-11,24514000000
2002-07-12,24485160000
2002-07-15,23886730000
2002-07-16,23598329999
2002-07-17,23288299999
2002-07-18,22754760000
2002-07-19,22423100000
2002-07-22,21839090000
2002-07-23,21319970000
2002-07-24,22812440000
2002-07-25,22415890000
2002-07-26,22639400000
2002-07-29,24449109999
2002-07-30,24477950000
2002-07-31,24470740000
2002-08-01,23612750000
2002-08-02,23490180000
2002-08-05,22661030000
2002-08-06,23425290000
2002-08-07,23598329999
2002-08-08,25465720000
2002-08-09,25508980000
2002-08-12,25465720000
2002-08-13,24643780000
2002-08-14,25631549999
2002-08-15,25847850000
2002-08-16,25645970000
2002-08-19,26489540000
2002-08-20,26366970000
2002-08-21,26749100000
2002-08-22,27131230000
2002-08-23,26626530000
2002-08-26,27066340000
2002-08-27,26950980000
2002-08-28,26633740000
2002-08-29,26511170000
2002-08-30,26864460000
2002-09-03,24643780000
2002-09-04,25357570000
2002-09-05,24968230000
2002-09-06,25458510000
2002-09-09,25754120000
2002-09-10,25552240000
2002-09-11,25508980000
2002-09-12,24492370000
2002-09-13,24888920000
2002-09-16,24737510000
2002-09-17,24413060000
2002-09-18,23735320000
2002-09-19,22704290000
2002-09-20,22177960000
2002-09-23,22199590000
2002-09-24,21233450000
2002-09-25,22235640000
2002-09-26,22617770000
2002-09-27,22069810000
2002-09-30,21961660000
2002-10-01,22252040000
2002-10-02,20475920000
2002-10-03,18324360000
2002-10-04,17277460000
2002-10-07,15956200000
2002-10-08,17450740000
2002-10-09,16454380000
2002-10-10,17638460000
2002-10-11,18179960000
2002-10-14,17840620000
2002-10-15,19118560000
2002-10-16,19176320000
2002-10-17,20461480000
2002-10-18,20678080000
2002-10-21,20988540000
2002-10-22,20793600000
2002-10-23,20952440000
2002-10-24,20266540000
2002-10-25,20829700000
2002-10-28,20880240000
2002-10-29,20021060000
2002-10-30,20237660000
2002-10-31,19898320000
2002-11-01,20280980000
2002-11-04,20468700000
2002-11-05,20389280000
2002-11-06,20353180000
2002-11-07,19652840000
2002-11-08,19133000000
2002-11-11,18952500000
2002-11-12,19587860000
2002-11-13,19667280000
2002-11-14,20743060000
2002-11-15,20938000000
2002-11-18,20526460000
2002-11-19,20584220000
2002-11-20,21313440000
2002-11-21,22807980000
2002-11-22,22706900000
2002-11-25,22620260000
2002-11-26,22461420000
2002-11-27,23161760000
2002-11-29,23226740000
2002-12-02,23053460000
2002-12-03,22382000000
2002-12-04,22042660000
2002-12-05,21277340000
2002-12-06,21031860000
2002-12-09,20403720000
2002-12-10,20338740000
2002-12-11,20107700000
2002-12-12,19587860000
2002-12-13,19378480000
2002-12-16,20165460000
2002-12-17,20280980000
2002-12-18,17133060000
2002-12-19,18194400000
2002-12-20,18577060000
2002-12-23,18389340000
2002-12-24,18295480000
2002-12-26,18432660000
2002-12-27,18143860000
2002-12-30,18338800000
2002-12-31,18338800000
2003-01-02,19299060000
2003-01-03,19429020000
2003-01-06,20403720000
2003-01-07,20309860000
2003-01-08,19515660000
2003-01-09,20483140000
2003-01-10,20584220000
2003-01-13,20649200000
2003-01-14,20836920000
2003-01-15,20685300000
2003-01-16,20706960000
2003-01-17,20764720000
2003-01-21,20136580000
2003-01-22,19710600000
2003-01-23,20013840000
2003-01-24,19450680000
2003-01-27,19327940000
2003-01-28,19436240000
2003-01-29,19486780000
2003-01-30,19133000000
2003-01-31,19364040000
2003-02-03,19306280000
2003-02-04,18858640000
2003-02-05,18555400000
2003-02-06,18021120000
2003-02-07,17941700000
2003-02-10,18050000000
2003-02-11,17703440000
2003-02-12,17378540000
2003-02-13,17248580000
2003-02-14,17522940000
2003-02-18,17790080000
2003-02-19,17660120000
2003-02-20,17616800000
2003-02-21,17725100000
2003-02-24,17169160000
2003-02-25,17414640000
2003-02-26,17284680000
2003-02-27,17501280000
2003-02-28,17429080000
2003-03-03,17378540000
2003-03-04,17024759999
2003-03-05,17024759999
2003-03-06,16490480000
2003-03-07,16454380000
2003-03-10,15754040000
2003-03-11,15421920000
2003-03-12,15291960000
2003-03-13,15977860000
2003-03-14,15912880000
2003-03-17,16569900000
2003-03-18,17060860000
2003-03-19,16981440000
2003-03-20,17154720000
2003-03-21,16988660000
2003-03-24,16389400000
2003-03-25,16562680000
2003-03-26,16548240000
2003-03-27,16360520000
2003-03-28,16367740000
2003-03-31,15689060000
2003-04-01,16724770000
2003-04-02,17468260000
2003-04-03,17588420000
2003-04-04,17580910000
2003-04-07,17926370000
2003-04-08,17956410000
2003-04-09,17731110000
2003-04-10,18054040000
2003-04-11,17978940000
2003-04-14,18384480000
2003-04-15,19045360000
2003-04-16,19240620000
2003-04-17,19661180000
2003-04-21,19796360000
2003-04-22,20637480000
2003-04-23,20614950000
2003-04-24,20517320000
2003-04-25,20231940000
2003-04-28,20757640000
2003-04-29,20982940000
2003-04-30,21050530000
2003-05-01,20855270000
2003-05-02,21441050000
2003-05-05,21411010000
2003-05-06,21681370000
2003-05-07,21373460000
2003-05-08,20539850000
2003-05-09,20885310000
2003-05-12,21448560000
2003-05-13,21388480000
2003-05-14,21230770000
2003-05-15,21733940000
2003-05-16,21651330000
2003-05-19,20877800000
2003-05-20,21020490000
2003-05-21,21478600000
2003-05-22,21598760000
2003-05-23,21561210000
2003-05-27,22229600000
2003-05-28,22777830000
2003-05-29,22530000000
2003-05-30,23033170000
2003-06-02,23513810000
2003-06-03,23761640000
2003-06-04,24092080000
2003-06-05,23919350000
2003-06-06,23386140000
2003-06-09,22687710000
2003-06-10,22988110000
2003-06-11,23566380000
2003-06-12,23468750000
2003-06-13,23138310000
2003-06-16,23784170000
2003-06-17,23904330000
2003-06-18,23461240000
2003-06-19,23281000000
2003-06-20,23265980000
2003-06-23,22462410000
2003-06-24,22672690000
2003-06-25,22387310000
2003-06-26,22747790000
2003-06-27,22770320000
2003-06-30,22882970000
2003-07-01,23317040000
2003-07-02,23301720000
2003-07-03,23125540000
2003-07-07,24052400000
2003-07-08,24389440000
2003-07-09,24443060000
2003-07-10,24044740000
2003-07-11,24220920000
2003-07-14,25048200000
2003-07-15,25523120000
2003-07-16,25331620000
2003-07-17,24979260000
2003-07-18,25362260000
2003-07-21,25132460000
2003-07-22,25216720000
2003-07-23,24795419999
2003-07-24,24381780000
2003-07-25,24787760000
2003-07-28,24420080000
2003-07-29,24213260000
2003-07-30,24450720000
2003-07-31,24450720000
2003-08-01,23975800000
2003-08-04,23960480000
2003-08-05,23462580000
2003-08-06,23470240000
2003-08-07,23546840000
2003-08-08,23715360000
2003-08-11,23500880000
2003-08-12,24052400000
2003-08-13,23906860000
2003-08-14,24282200000
2003-08-15,24113680000
2003-08-18,24251560000
2003-08-19,24358800000
2003-08-20,24358800000
2003-08-21,24397100000
2003-08-22,24067720000
2003-08-25,24129000000
2003-08-26,23998780000
2003-08-27,23799620000
2003-08-28,23876220000
2003-08-29,23883880000
2003-09-02,24412420000
2003-09-03,24680520000
2003-09-04,24787760000
2003-09-05,24803080000
2003-09-08,24833720000
2003-09-09,25109480000
2003-09-10,24197940000
2003-09-11,24489020000
2003-09-12,24335820000
2003-09-15,24106020000
2003-09-16,24649880000
2003-09-17,24688179999
2003-09-18,25507799999
2003-09-19,25530780000
2003-09-22,25032880000
2003-09-23,24933299999
2003-09-24,24534980000
2003-09-25,23738340000
2003-09-26,23539180000
2003-09-29,23960480000
2003-09-30,23631100000
2003-10-01,24872460000
2003-10-02,24517800000
2003-10-03,24756810000
2003-10-06,25126890000
2003-10-07,25165440000
2003-10-08,25273380000
2003-10-09,25774530000
2003-10-10,25458420000
2003-10-13,25982700000
2003-10-14,26545530000
2003-10-15,26661180000
2003-10-16,26368200000
2003-10-17,25404450000
2003-10-20,25203990000
2003-10-21,25072920000
2003-10-22,24972690000
2003-10-23,24841620000
2003-10-24,24810780000
2003-10-27,25211700000
2003-10-28,25196280000
2003-10-29,25396740000
2003-10-30,25597200000
2003-10-31,25489260000
2003-11-03,25867049999
2003-11-04,25882470000
2003-11-05,25535519999
2003-11-06,25628040000
2003-11-07,25743690000
2003-11-10,25435290000
2003-11-11,25412160000
2003-11-12,25535519999
2003-11-13,25088340000
2003-11-14,24579480000
2003-11-17,24394440000
2003-11-18,24070620000
2003-11-19,24232530000
2003-11-20,23901000000
2003-11-21,24325050000
2003-11-24,24864750000
2003-11-25,24911010000
2003-11-26,25057500000
2003-11-28,25072920000
2003-12-01,25250250000
2003-12-02,25743690000
2003-12-03,25743690000
2003-12-04,25789950000
2003-12-05,25574070000
2003-12-08,26090640000
2003-12-09,25797660000
2003-12-10,25974990000
2003-12-11,26391329999
2003-12-12,26267970000
2003-12-15,25936440000
2003-12-16,25774530000
2003-12-17,25604910000
2003-12-18,26414460000
2003-12-19,26568660000
2003-12-22,26861640000
2003-12-23,27038970000
2003-12-24,26892480000
2003-12-26,26985000000
2003-12-29,27062100000
2003-12-30,27193170000
2003-12-31,27062100000
2004-01-02,26815380000
2004-01-05,27933329999
2004-01-06,28365090000
2004-01-07,27385920000
2004-01-08,27347370000
2004-01-09,27031260000
2004-01-12,27131490000
2004-01-13,27123780000
2004-01-14,27455310000
2004-01-15,27817680000
2004-01-16,27995010000
2004-01-20,28025850000
2004-01-21,27632640000
2004-01-22,27663480000
2004-01-23,27092940000
2004-01-26,27038970000
2004-01-27,25735980000
2004-01-28,25165440000
2004-01-29,24988109999
2004-01-30,25944150000
2004-02-02,25944150000
2004-02-03,25813079999
2004-02-04,25404450000
2004-02-05,25373609999
2004-02-06,25620329999
2004-02-09,25735980000
2004-02-10,26044380000
2004-02-11,26044380000
2004-02-12,26391329999
2004-02-13,26630340000
2004-02-17,26846220000
2004-02-18,26761410000
2004-02-19,26591790000
2004-02-20,26214000000
2004-02-23,26229420000
2004-02-24,26291100000
2004-02-25,26799960000
2004-02-26,27046680000
2004-02-27,26969579999
2004-03-01,27038970000
2004-03-02,26969579999
2004-03-03,27131490000
2004-03-04,27038970000
2004-03-05,27308820000
2004-03-08,27046680000
2004-03-09,26846220000
2004-03-10,26198579999
2004-03-11,25635750000
2004-03-12,26214000000
2004-03-15,25674299999
2004-03-16,26468430000
2004-03-17,26915609999
2004-03-18,26684310000
2004-03-19,26722859999
2004-03-22,26152320000
2004-03-23,25797660000
2004-03-24,25558650000
2004-03-25,26028960000
2004-03-26,25805370000
2004-03-29,25974990000
2004-03-30,26028960000
2004-03-31,25743690000
2004-04-01,26055000000
2004-04-02,26379240000
2004-04-05,26695760000
2004-04-06,26664880000
2004-04-07,26510480000
2004-04-08,26525920000
2004-04-12,27012280000
2004-04-13,26248000000
2004-04-14,25607240000
2004-04-15,25120880000
2004-04-16,25468280000
2004-04-19,25167200000
2004-04-20,24858400000
2004-04-21,24263960000
2004-04-22,24788920000
2004-04-23,24788920000
2004-04-26,24758040000
2004-04-27,24881559999
2004-04-28,24148160000
2004-04-29,24032360000
2004-04-30,23847080000
2004-05-03,23800760000
2004-05-04,24132720000
2004-05-05,24572760000
2004-05-06,24665400000
2004-05-07,24070960000
2004-05-10,23684960000
2004-05-11,23646360000
2004-05-12,23515120000
2004-05-13,23816200000
2004-05-14,23932000000
2004-05-17,23476520000
2004-05-18,24016920000
2004-05-19,24001480000
2004-05-20,23777600000
2004-05-21,24001480000
2004-05-24,24040080000
2004-05-25,24565040000
2004-05-26,24588200000
2004-05-27,24549600000
2004-05-28,24603640000
2004-06-01,24557320000
2004-06-02,24765760000
2004-06-03,24318000000
2004-06-04,24557320000
2004-06-07,24873840000
2004-06-08,24827519999
2004-06-09,24418360000
2004-06-10,24310280000
2004-06-14,23885680000
2004-06-15,23870240000
2004-06-16,23769880000
2004-06-17,23546000000
2004-06-18,23692680000
2004-06-21,23515120000
2004-06-22,24086400000
2004-06-23,24040080000
2004-06-24,24040080000
2004-06-25,24070960000
2004-06-28,23901120000
2004-06-29,23955160000
2004-06-30,24125000000
2004-07-01,23777600000
2004-07-02,23978320000
2004-07-06,23507400000
2004-07-07,23437920000
2004-07-08,23283520000
2004-07-09,23275800000
2004-07-12,23183160000
2004-07-13,22951560000
2004-07-14,22542400000
2004-07-15,22997880000
2004-07-16,23553720000
2004-07-19,23499680000
2004-07-20,23569160000
2004-07-21,22974720000
2004-07-22,23044200000
2004-07-23,22990160000
2004-07-26,23059640000
2004-07-27,23368440000
2004-07-28,23160000000
2004-07-29,23661800000
2004-07-30,23507400000
2004-08-02,23592320000
2004-08-03,23600040000
2004-08-04,23569160000
2004-08-05,23059640000
2004-08-06,22951560000
2004-08-09,22905240000
2004-08-10,23167720000
2004-08-11,23214040000
2004-08-12,22835760000
2004-08-13,22542400000
2004-08-16,23306680000
2004-08-17,23491960000
2004-08-18,24117280000
2004-08-19,23947440000
2004-08-20,24186760000
2004-08-23,24094120000
2004-08-24,24132720000
