,EA
2001-02-28,6786500000
2001-03-01,7101393600
2001-03-02,7033528600
2001-03-05,6786500000
2001-03-06,6957519800
2001-03-07,7413572600
2001-03-08,7169258600
2001-03-09,6802787600
2001-03-12,6778356200
2001-03-13,7161114800
2001-03-14,7142112600
2001-03-15,7014526400
2001-03-16,6430887400
2001-03-19,6838077400
2001-03-20,6558473600
2001-03-21,6821789800
2001-03-22,6922230000
2001-03-23,7057960000
2001-03-26,7025384800
2001-03-27,7432574800
2001-03-28,7584592400
2001-03-29,7617167600
2001-03-30,7364709800
2001-04-02,7253411200
2001-04-03,7201833800
2001-04-04,6566617400
2001-04-05,6886940200
2001-04-06,7169258600
2001-04-09,7261555000
2001-04-10,7562875600
2001-04-11,7600880000
2001-04-12,7839764800
2001-04-16,7826191800
2001-04-17,7571019400
2001-04-18,8008070000
2001-04-19,8165516800
2001-04-20,7709464000
2001-04-23,7554731800
2001-04-24,7533015000
2001-04-25,7742039200
2001-04-26,7598165400
2001-04-27,7733895400
2001-04-30,7685032600
2001-05-01,8439691400
2001-05-02,7872340000
2001-05-03,7419001800
2001-05-04,8048789000
2001-05-07,7888627600
2001-05-08,7549302600
2001-05-09,7609023800
2001-05-10,7399999600
2001-05-11,7228979800
2001-05-14,7435289400
2001-05-15,7565590200
2001-05-16,8176375200
2001-05-17,7980924000
2001-05-18,8043359800
2001-05-21,8409830800
2001-05-22,8382684800
2001-05-23,8111224800
2001-05-24,8559133800
2001-05-25,8388114000
2001-05-29,7970065600
2001-05-30,7869625400
2001-05-31,7994497000
2001-06-01,8184519000
2001-06-04,8130227000
2001-06-05,8464122800
2001-06-06,8325678200
2001-06-07,8369111800
2001-06-08,7929346600
2001-06-11,7774614400
2001-06-12,8008070000
2001-06-13,7815333400
2001-06-14,7579163200
2001-06-15,7731180800
2001-06-18,7690461800
2001-06-19,7872340000
2001-06-20,8293103000
2001-06-21,7845194000
2001-06-22,7495010600
2001-06-25,7283271800
2001-06-26,7315847000
2001-06-27,7478723000
2001-06-28,7666030400
2001-06-29,7858767000
2001-07-02,7412004480
2001-07-03,7302682880
2001-07-05,7242556000
2001-07-06,7431135760
2001-07-09,7239822960
2001-07-10,6969252000
2001-07-11,7371008880
2001-07-12,7939481200
2001-07-13,8057001920
2001-07-16,7852023920
2001-07-17,7745435360
2001-07-18,7647045920
2001-07-19,7674376320
2001-07-20,7458466160
2001-07-23,7256221200
2001-07-24,7258954240
2001-07-25,7614249440
2001-07-26,7983209840
2001-07-27,8333038960
2001-07-30,8204586080
2001-07-31,7778231840
2001-08-01,8179988720
2001-08-02,8158124400
2001-08-03,8051535840
2001-08-06,8037870640
2001-08-07,8024205440
2001-08-08,7690774560
2001-08-09,7934015120
2001-08-10,7912150800
2001-08-13,8035137600
2001-08-14,8081599280
2001-08-15,8010540240
2001-08-16,7712638880
2001-08-17,7682575440
2001-08-20,7868422160
2001-08-21,7709905840
2001-08-22,7838358720
2001-08-23,7923082960
2001-08-24,7950413360
2001-08-27,7925816000
2001-08-28,7865689120
2001-08-29,7882087360
2001-08-30,7698973680
2001-08-31,7887553440
2001-09-04,7775498800
2001-09-05,7600584240
2001-09-06,7584186000
2001-09-07,7671643280
2001-09-10,7417470560
2001-09-17,6728744480
2001-09-18,6649486320
2001-09-19,6239530320
2001-09-20,6326987600
2001-09-21,6654952400
2001-09-24,6537431680
2001-09-25,6072814880
2001-09-26,6212199920
2001-09-27,6154806080
2001-09-28,6239530320
2001-10-01,5865266340
2001-10-02,5887202820
2001-10-03,6317706240
2001-10-04,6619332840
2001-10-05,6380773620
2001-10-08,6487713960
2001-10-09,6992253000
2001-10-10,7129356000
2001-10-11,7675025940
2001-10-12,7702446540
2001-10-15,7461145260
2001-10-16,7441950840
2001-10-17,7225328100
2001-10-18,7441950840
2001-10-19,7321300200
2001-10-22,7576311780
2001-10-23,7532438820
2001-10-24,7518728520
2001-10-25,7891648680
2001-10-26,7483081740
2001-10-29,7225328100
2001-10-30,7022415660
2001-10-31,7055320380
2001-11-01,7266459000
2001-11-02,7526954700
2001-11-05,7584537960
2001-11-06,7584537960
2001-11-07,7335010500
2001-11-08,7016931540
2001-11-09,7088225100
2001-11-12,7269201060
2001-11-13,7515986460
2001-11-14,7677768000
2001-11-15,7590022080
2001-11-16,7420014360
2001-11-19,7787450400
2001-11-20,7617442680
2001-11-21,7403562000
2001-11-23,7362431100
2001-11-26,7450177020
2001-11-27,7491307920
2001-11-28,7351462860
2001-11-29,7951974000
2001-11-30,8289247380
2001-12-03,8234406180
2001-12-04,8834917320
2001-12-05,9054282120
2001-12-06,8656683420
2001-12-07,8629262820
2001-12-10,8566195440
2001-12-11,8662167540
2001-12-12,8612810460
2001-12-13,8379735360
2001-12-14,8385219480
2001-12-17,8610068400
2001-12-18,8547001020
2001-12-19,8514096300
2001-12-20,8256342660
2001-12-21,8171338800
2001-12-24,8165854680
2001-12-26,8097303180
2001-12-27,8111013480
2001-12-28,8464739220
2001-12-31,8271901720
2002-01-02,8293974840
2002-01-03,8412617860
2002-01-04,8685772720
2002-01-07,8197404940
2002-01-08,8084280200
2002-01-09,8020819980
2002-01-10,7946323200
2002-01-11,7518656500
2002-01-14,7215151100
2002-01-15,7526933920
2002-01-16,7383458640
2002-01-17,7604189840
2002-01-18,7422086600
2002-01-22,7540729620
2002-01-23,7587635000
2002-01-24,7990469440
2002-01-25,7717314580
2002-01-28,7954600620
2002-01-29,7858030720
2002-01-30,7849753300
2002-01-31,7322757560
2002-02-01,7273093040
2002-02-04,7060639260
2002-02-05,7239983360
2002-02-06,7366903800
2002-02-07,7306202720
2002-02-08,7468991980
2002-02-11,7422086600
2002-02-12,7460714560
2002-02-13,7518656500
2002-02-14,7824921040
2002-02-15,7540729620
2002-02-19,7176523140
2002-02-20,7535211340
2002-02-21,7350348960
2002-02-22,7267574760
2002-02-25,7446918860
2002-02-26,7173764000
2002-02-27,7311721000
2002-02-28,7424845740
2002-03-01,7733869420
2002-03-04,7971155460
2002-03-05,8012542560
2002-03-06,8109112460
2002-03-07,8040133960
2002-03-08,8216718920
2002-03-11,8509187760
2002-03-12,8269142580
2002-03-13,8349157640
2002-03-14,8216718920
2002-03-15,8277420000
2002-03-18,8451245820
2002-03-19,8423654420
2002-03-20,8081521060
2002-03-21,8385026460
2002-03-22,8208441500
2002-03-25,8106353320
2002-03-26,8169813540
2002-03-27,8122908160
2002-03-28,8387785600
2002-04-01,8535776960
2002-04-02,8188906960
2002-04-03,8050158960
2002-04-04,8022409360
2002-04-05,8061258800
2002-04-08,8383154160
2002-04-09,8172257200
2002-04-10,8347079680
2002-04-11,8066808720
2002-04-12,8311005200
2002-04-15,8286030560
2002-04-16,8463628000
2002-04-17,8410903760
2002-04-18,8699499600
2002-04-19,8638450480
2002-04-22,8360954480
2002-04-23,8244406160
2002-04-24,8249956080
2002-04-25,8197231840
2002-04-26,7986334880
2002-04-29,8000209680
2002-04-30,8194456880
2002-05-01,8244406160
2002-05-02,8102883200
2002-05-03,7964135200
2002-05-06,7853136800
2002-05-07,7489617040
2002-05-08,8344304720
2002-05-09,8180582080
2002-05-10,8200006800
2002-05-13,8483052720
2002-05-14,8372054320
2002-05-15,8521902160
2002-05-16,8804948080
2002-05-17,8841022560
2002-05-20,8868772160
2002-05-21,8549651760
2002-05-22,8771648560
2002-05-23,9013070080
2002-05-24,8854897360
2002-05-28,8730024160
2002-05-29,8666200080
2002-05-30,8921496400
2002-05-31,8879872000
2002-06-03,8732799120
2002-06-04,8918721440
2002-06-05,8893746800
2002-06-06,8735574080
2002-06-07,8777198480
2002-06-10,8827147760
2002-06-11,8696724640
2002-06-12,8782748400
2002-06-13,8613475840
2002-06-14,8646775360
2002-06-17,9046369600
2002-06-18,9104643760
2002-06-19,8999195280
2002-06-20,8791073280
2002-06-21,8602376000
2002-06-24,8552426720
2002-06-25,8649550320
2002-06-26,8846572480
2002-06-27,9279466240
2002-06-28,9165692880
2002-07-01,9000295480
2002-07-02,9148529060
2002-07-03,8857655620
2002-07-05,9182091380
2002-07-08,8849265040
2002-07-09,8499657540
2002-07-10,8835280740
2002-07-11,8782140400
2002-07-12,8921983400
2002-07-15,8874436780
2002-07-16,8885624220
2002-07-17,8810109000
2002-07-18,8611531940
2002-07-19,7915113800
2002-07-22,7473209920
2002-07-23,7551522000
2002-07-24,7996222740
2002-07-25,7792051960
2002-07-26,8161237480
2002-07-29,8591953920
2002-07-30,8608735080
2002-07-31,8415751740
2002-08-01,8225565260
2002-08-02,7973847860
2002-08-05,7722130460
2002-08-06,8200393520
2002-08-07,8379392560
2002-08-08,8334642800
2002-08-09,8435329760
2002-08-12,8594750780
2002-08-13,8289893040
2002-08-14,8317861640
2002-08-15,8670266000
2002-08-16,8765359240
2002-08-19,9193278820
2002-08-20,9047842100
2002-08-21,9187685100
2002-08-22,9442199360
2002-08-23,9316340660
2002-08-26,9210059980
2002-08-27,8983514320
2002-08-28,8681453440
2002-08-29,8849265040
2002-08-30,8846468180
2002-09-03,8572375900
2002-09-04,8407361160
2002-09-05,8382189420
2002-09-06,8779343540
2002-09-09,8891217940
2002-09-10,9045045240
2002-09-11,8832483880
2002-09-12,8695437740
2002-09-13,8787734120
2002-09-16,8874436780
2002-09-17,8857655620
2002-09-18,8846468180
2002-09-19,8787734120
2002-09-20,8927577120
2002-09-23,8857655620
2002-09-24,8986311180
2002-09-25,9190481960
2002-09-26,9380668440
2002-09-27,9472964820
2002-09-30,9358965460
2002-10-01,9446936330
2002-10-02,9432747480
2002-10-03,9364641000
2002-10-04,8933299960
2002-10-07,8887895640
2002-10-08,9174510410
2002-10-09,9191537030
2002-10-10,9438423020
2002-10-11,9591662600
2002-10-14,9620040300
2002-10-15,9656931310
2002-10-16,9671120160
2002-10-17,9835710819
2002-10-18,9952059390
2002-10-21,10235836390
2002-10-22,9449774100
2002-10-23,9639904690
2002-10-24,9341938840
2002-10-25,9594500370
2002-10-28,8947488810
2002-10-29,9004244210
2002-10-30,9290858980
2002-10-31,9239779120
2002-11-01,9375992080
2002-11-04,9330587760
2002-11-05,9251130200
2002-11-06,9469638490
2002-11-07,9154646020
2002-11-08,9097890620
2002-11-11,9012757520
2002-11-12,9341938840
2002-11-13,9256805740
2002-11-14,9537744970
2002-11-15,9478151800
2002-11-18,9228428040
2002-11-19,9041135220
2002-11-20,9302210060
2002-11-21,9577473750
2002-11-22,9532069430
2002-11-25,9690984550
2002-11-26,9614364760
2002-11-27,9671120160
2002-11-29,9628553610
2002-12-02,9588824830
2002-12-03,9458287410
2002-12-04,9299372290
2002-12-05,9305047830
2002-12-06,9367478770
2002-12-09,9075188460
2002-12-10,8938975500
2002-12-11,8609794180
2002-12-12,8703440590
2002-12-13,8045077950
2002-12-16,8232370770
2002-12-17,8467905680
2002-12-18,8025213560
2002-12-19,7327122140
2002-12-20,7451984020
2002-12-23,7406579700
2002-12-24,7497388340
2002-12-26,7332797680
2002-12-27,7307257750
2002-12-30,7233475730
2002-12-31,7139497380
2003-01-02,7489444620
2003-01-03,7825049760
2003-01-06,7457892000
2003-01-07,7019023740
2003-01-08,7090734240
2003-01-09,7282918380
2003-01-10,7440681480
2003-01-13,7165313160
2003-01-14,7182523680
2003-01-15,7251365760
2003-01-16,7133760540
2003-01-17,6878471160
2003-01-21,7116550020
2003-01-22,7102207920
2003-01-23,7248497340
2003-01-24,7148102640
2003-01-27,7090734240
2003-01-28,7282918380
2003-01-29,7311602580
2003-01-30,7443549900
2003-01-31,7426339380
2003-02-03,7472234100
2003-02-04,7397655180
2003-02-05,7145234220
2003-02-06,7225549980
2003-02-07,7211207880
2003-02-10,7171050000
2003-02-11,7168181580
2003-02-12,7053444780
2003-02-13,6921497460
2003-02-14,7168181580
2003-02-18,7500918300
2003-02-19,7443549900
2003-02-20,7411997280
2003-02-21,7684497180
2003-02-24,7483707780
2003-02-25,7569760380
2003-02-26,7420602540
2003-02-27,7575497220
2003-02-28,7572628800
2003-03-03,7472234100
2003-03-04,7518128820
2003-03-05,7572628800
2003-03-06,7736128740
2003-03-07,7767681359
2003-03-10,7664418240
2003-03-11,7612786680
2003-03-12,7710312960
2003-03-13,8137707540
2003-03-14,8100418080
2003-03-17,8392996920
2003-03-18,8381523240
2003-03-19,8390128500
2003-03-20,8456102160
2003-03-21,8493391620
2003-03-24,8246707500
2003-03-25,8413075859
2003-03-26,8542154760
2003-03-27,8573707380
2003-03-28,8570838960
2003-03-31,8500161200
2003-04-01,8540748600
2003-04-02,8763979300
2003-04-03,8650914400
2003-04-04,8537849500
2003-04-07,8601629700
2003-04-08,8404490900
2003-04-09,8285627799
2003-04-10,8343609800
2003-04-11,8427683700
2003-04-14,8526253100
2003-04-15,8569739600
2003-04-16,8543647700
2003-04-17,8697300000
2003-04-21,8769777500
2003-04-22,8932127100
2003-04-23,8842255000
2003-04-24,8697300000
2003-04-25,8621923400
2003-04-28,8824860400
2003-04-29,8627721600
2003-04-30,8572638700
2003-05-01,8546546800
2003-05-02,8955319900
2003-05-05,9007503700
2003-05-06,8949521700
2003-05-07,9074183000
2003-05-08,8958219000
2003-05-09,8923429800
2003-05-12,8929228000
2003-05-13,8732089200
2003-05-14,8958219000
2003-05-15,9085779400
2003-05-16,9010402800
2003-05-19,8755282000
2003-05-20,8790071200
2003-05-21,9033595600
2003-05-22,9201743400
2003-05-23,9158256900
2003-05-27,9509048000
2003-05-28,9845343600
2003-05-29,9874334600
2003-05-30,9938114800
2003-06-02,9749673300
2003-06-03,9746774200
2003-06-04,9880132800
2003-06-05,10091767100
2003-06-06,10486044700
2003-06-09,10262814000
2003-06-10,10361383400
2003-06-11,10552724000
2003-06-12,10691880800
2003-06-13,10512136600
2003-06-16,11089057500
2003-06-17,11178929600
2003-06-18,10836835800
2003-06-19,10755661000
2003-06-20,10836835800
2003-06-23,10700578099
2003-06-24,10610706000
2003-06-25,10831037600
2003-06-26,10909313300
2003-06-27,11019479100
2003-06-30,10894190200
2003-07-01,11130059000
2003-07-02,11330547480
2003-07-03,11168387680
2003-07-07,11937909640
2003-07-08,11958548160
2003-07-09,11749214600
2003-07-10,11646022000
2003-07-11,11306960600
2003-07-14,11489758920
2003-07-15,11675505600
2003-07-16,11590003160
2003-07-17,11283373720
2003-07-18,11265683560
2003-07-21,11327599120
2003-07-22,11153645880
2003-07-23,11448481880
2003-07-24,12017515360
2003-07-25,12179675160
2003-07-28,12391957080
2003-07-29,12238642360
2003-07-30,12338886600
2003-07-31,12383112000
2003-08-01,12306454640
2003-08-04,12521684920
2003-08-05,12256332520
2003-08-06,12173778440
2003-08-07,12153139920
2003-08-08,12300557920
2003-08-11,12571807040
2003-08-12,12707431600
2003-08-13,12527581640
2003-08-14,12754605360
2003-08-15,12692689800
2003-08-18,12807675840
2003-08-19,13090718400
2003-08-20,13117253640
2003-08-21,13102511840
2003-08-22,13096615120
2003-08-25,13028802840
2003-08-26,13049441360
2003-08-27,12807675840
2003-08-28,13129047080
2003-08-29,13264671640
2003-09-02,13417986360
2003-09-03,13432728160
2003-09-04,13291206880
2003-09-05,13084821680
2003-09-08,13367864240
2003-09-09,13282361800
2003-09-10,13244033120
2003-09-11,13255826560
2003-09-12,13158530680
2003-09-15,13090718400
2003-09-16,13730512520
2003-09-17,13895620680
2003-09-18,13981123120
2003-09-19,13969329680
2003-09-22,13886775600
2003-09-23,14166869800
2003-09-24,13801273160
2003-09-25,13801273160
2003-09-26,13530024040
2003-09-29,13745254320
2003-09-30,13725002830
2003-10-01,14129993150
2003-10-02,14371200620
2003-10-03,14633253180
2003-10-06,14826814730
2003-10-07,14853615560
2003-10-08,14868504910
2003-10-09,14868504910
2003-10-10,15127579600
2003-10-13,15240738660
2003-10-14,15344964110
2003-10-15,15422388730
2003-10-16,15609994540
2003-10-17,15341986240
2003-10-20,15455145300
2003-10-21,15580215840
2003-10-22,15178203390
2003-10-23,14594540870
2003-10-24,14529027730
2003-10-27,14555828560
2003-10-28,14657076140
2003-10-29,14963796750
2003-10-30,14776190940
2003-10-31,14731522890
2003-11-03,14725567150
2003-11-04,14788102419
2003-11-05,14934018050
2003-11-06,14916150830
2003-11-07,14904239350
2003-11-10,14758323720
2003-11-11,14782146680
2003-11-12,15279450970
2003-11-13,15225849310
2003-11-14,14901261480
2003-11-17,14427780150
2003-11-18,13674379040
2003-11-19,13132406700
2003-11-20,13177074750
2003-11-21,13150273919
2003-11-24,13010314030
2003-11-25,12992446810
2003-11-26,13513574060
2003-11-28,13171119010
2003-12-01,13456994530
2003-12-02,13072849300
2003-12-03,12587456490
2003-12-04,12510031870
2003-12-05,12590434360
2003-12-08,12649991760
2003-12-09,12337315410
2003-12-10,12313492450
2003-12-11,12992446810
2003-12-12,13180052620
2003-12-15,12879287750
2003-12-16,13242587890
2003-12-17,13206853450
2003-12-18,13355746950
2003-12-19,13725002830
2003-12-22,13704157740
2003-12-23,14064480010
2003-12-24,13936431600
2003-12-26,13981099650
2003-12-29,14070435750
2003-12-30,14255063690
2003-12-31,14208496960
2004-01-02,14193597110
2004-01-05,14253196510
2004-01-06,14563113390
2004-01-07,14497554050
2004-01-08,14640592610
2004-01-09,14342595610
2004-01-12,14589933120
2004-01-13,13961159450
2004-01-14,14357495460
2004-01-15,14426034769
2004-01-16,14202537019
2004-01-20,14259156450
2004-01-21,14229356750
2004-01-22,14434974680
2004-01-23,14640592610
2004-01-26,14727011740
2004-01-27,14461794410
2004-01-28,13800241070
2004-01-29,13987979180
2004-01-30,13964139420
2004-02-02,13535023740
2004-02-03,13269806410
2004-02-04,13162527490
2004-02-05,13141667700
2004-02-06,13299606110
2004-02-09,13365165450
2004-02-10,13344305660
2004-02-11,13535023740
2004-02-12,13424764850
2004-02-13,13240006710
2004-02-17,13380065300
2004-02-18,13904540019
2004-02-19,13734681730
2004-02-20,13612502960
2004-02-23,13687002210
2004-02-24,13910499960
2004-02-25,13880700260
2004-02-26,13952219540
2004-02-27,14053538519
2004-03-01,14199557050
2004-03-02,13922419840
2004-03-03,14160817440
2004-03-04,14166777380
2004-03-05,14163797410
2004-03-08,13853880530
2004-03-09,13821100860
2004-03-10,13704882030
2004-03-11,13636342720
2004-03-12,13982019240
2004-03-15,14080358250
2004-03-16,14303856000
2004-03-17,14333655700
2004-03-18,14420074830
2004-03-19,14542253600
2004-03-22,14399215040
2004-03-23,14265116390
2004-03-24,14244256600
2004-03-25,14908789910
2004-03-26,15430284660
2004-03-29,16053098390
2004-03-30,16020318720
2004-03-31,16242270120
2004-04-01,16145553960
2004-04-02,16375254840
2004-04-05,16731895680
2004-04-06,16583799060
2004-04-07,16027681140
2004-04-08,16039770660
2004-04-12,16063949700
2004-04-13,15677085060
2004-04-14,15791935500
2004-04-15,15589436040
2004-04-16,15831226440
2004-04-19,15764734079
2004-04-20,15704286480
2004-04-21,15779845980
2004-04-22,16154621100
2004-04-23,15976300680
2004-04-26,15595480800
2004-04-27,15474585600
2004-04-28,15356712780
2004-04-29,15096788100
2004-04-30,15299287560
2004-05-03,15078653820
2004-05-04,15166302840
2004-05-05,15389958960
2004-05-06,15538055579
2004-05-07,15680107440
2004-05-10,15707308860
2004-05-11,15223728060
2004-05-12,15317421840
2004-05-13,15329511360
2004-05-14,15426227520
2004-05-17,15172347600
2004-05-18,14991004800
2004-05-19,14501379240
2004-05-20,14598095400
2004-05-21,14725035360
2004-05-24,14652498240
2004-05-25,15151190940
2004-05-26,15130034280
2004-05-27,15396003720
2004-05-28,15362757540
2004-06-01,15483652740
2004-06-02,15284175660
2004-06-03,15522943680
2004-06-04,15568279380
2004-06-07,15915853079
2004-06-08,15988390200
2004-06-09,15912830700
2004-06-10,15788913120
2004-06-14,15477607980
2004-06-15,15649883640
2004-06-16,15797980260
2004-06-17,15610592700
2004-06-18,15622682220
2004-06-21,15489697500
2004-06-22,15402048480
2004-06-23,15613615079
2004-06-24,15507831780
2004-06-25,16094173500
2004-06-28,16103240640
2004-06-29,16320852000
2004-06-30,16587345800
2004-07-01,16268066000
2004-07-02,16179883960
2004-07-06,16058253560
2004-07-07,16122109520
2004-07-08,15839318840
2004-07-09,16350166520
2004-07-12,16395777920
2004-07-13,16094742680
2004-07-14,15963990000
2004-07-15,16079538880
2004-07-16,15827155800
2004-07-19,15684240080
2004-07-20,15954867720
2004-07-21,16082579640
2004-07-22,16009601400
2004-07-23,15152107080
2004-07-26,15316308120
2004-07-27,15437938520
2004-07-28,15246370640
2004-07-29,15301104320
2004-07-30,15243329880
2004-08-02,14899724000
2004-08-03,14902764760
2004-08-04,14927090840
2004-08-05,14586525720
2004-08-06,14315898080
2004-08-09,14416243159
2004-08-10,14793297400
2004-08-11,14838908800
2004-08-12,14632137120
2004-08-13,14692952320
2004-08-16,14820664240
2004-08-17,14708156120
2004-08-18,15051762000
2004-08-19,14917968560
2004-08-20,15206840760
2004-08-23,15440979280
2004-08-24,15422734720
