,SNPS
2000-09-27,2475077500
2000-09-28,2645772500
2000-09-29,2586029250
2000-10-02,2526286000
2000-10-03,2560425000
2000-10-04,2534820750
2000-10-05,2624435625
2000-10-06,2696981000
2000-10-09,2650039875
2000-10-10,2520951849
2000-10-11,2479344875
2000-10-12,2364125750
2000-10-13,2428136375
2000-10-16,2355591000
2000-10-17,2210500250
2000-10-18,2176361250
2000-10-19,2389730000
2000-10-20,2428136375
2000-10-23,2372660500
2000-10-24,2287313000
2000-10-25,2172093875
2000-10-26,2325719375
2000-10-27,2253174000
2000-10-30,2338521500
2000-10-31,2158797375
2000-11-01,2174272625
2000-11-02,2259386500
2000-11-03,2197485500
2000-11-06,2189747875
2000-11-07,2263255312
2000-11-08,2247780062
2000-11-09,2228436000
2000-11-10,2147190937
2000-11-13,2112371625
2000-11-14,2220698375
2000-11-15,2232304812
2000-11-16,2185879062
2000-11-17,2228436000
2000-11-20,2228436000
2000-11-21,2209091937
2000-11-22,2205223125
2000-11-24,2224567187
2000-11-27,2259386500
2000-11-28,2203288718
2000-11-29,2158797375
2000-11-30,2414139000
2000-12-01,2607579625
2000-12-04,2692693500
2000-12-05,2951903937
2000-12-06,2847446000
2000-12-07,2893871750
2000-12-08,3098918812
2000-12-11,3040886625
2000-12-12,2959641562
2000-12-13,2812626687
2000-12-14,2704299937
2000-12-15,2491515250
2000-12-18,2770069750
2000-12-19,2700431125
2000-12-20,2615317250
2000-12-21,2717840781
2000-12-22,2944166312
2000-12-26,2913215812
2000-12-27,2975116812
2000-12-28,3009936125
2000-12-29,2936428687
2001-01-02,2735250437
2001-01-03,3110525250
2001-01-04,2944166312
2001-01-05,2971248000
2001-01-08,2978985625
2001-01-09,3048624250
2001-01-10,3098918812
2001-01-11,3184032687
2001-01-12,3191770312
2001-01-16,3110525250
2001-01-17,3145344562
2001-01-18,3091181187
2001-01-19,3292359437
2001-01-22,3408423812
2001-01-23,3412292625
2001-01-24,3326211608
2001-01-25,3222720812
2001-01-26,3203376750
2001-01-29,3307834687
2001-01-30,3396817375
2001-01-31,3160352000
2001-02-01,3365471000
2001-02-02,3279055185
2001-02-05,3175546000
2001-02-06,3243919000
2001-02-07,3118568500
2001-02-08,3080583500
2001-02-09,3008412000
2001-02-12,3031203000
2001-02-13,3084382000
2001-02-14,3059691750
2001-02-15,3152755000
2001-02-16,3191689685
2001-02-20,3072986500
2001-02-21,2978024000
2001-02-22,3213531000
2001-02-23,3213531000
2001-02-26,3502217000
2001-02-27,3411053000
2001-02-28,3300896500
2001-03-01,3270508500
2001-03-02,3279055185
2001-03-05,3388262000
2001-03-06,3589582500
2001-03-07,3760515000
2001-03-08,3657955500
2001-03-09,3525008000
2001-03-12,3342680000
2001-03-13,3198337000
2001-03-14,3145158000
2001-03-15,3084382000
2001-03-16,2993218000
2001-03-19,2928643500
2001-03-20,2940039000
2001-03-21,2769106500
2001-03-22,2723524500
2001-03-23,2814688500
2001-03-26,2734920000
2001-03-27,2871666000
2001-03-28,2620965000
2001-03-29,2826084000
2001-03-30,2852673500
2001-04-02,2795696000
2001-04-03,2693136500
2001-04-04,2772905000
2001-04-05,2913449500
2001-04-06,2898255500
2001-04-09,2852217680
2001-04-10,3145765638
2001-04-11,3191347638
2001-04-12,3235106480
2001-04-16,3018136160
2001-04-17,2728234640
2001-04-18,3156705318
2001-04-19,3222343520
2001-04-20,3166429478
2001-04-23,3080735318
2001-04-24,3099576000
2001-04-25,3151843360
2001-04-26,3180408201
2001-04-27,3339033318
2001-04-30,3448556640
2001-05-01,3408324359
2001-05-02,3380101920
2001-05-03,3244993920
2001-05-04,3309845639
2001-05-07,3330862680
2001-05-08,3396915360
2001-05-09,3290630400
2001-05-10,3293632679
2001-05-11,3287628000
2001-05-14,3258204359
2001-05-15,3405922680
2001-05-16,3542832000
2001-05-17,3632904000
2001-05-18,3601078680
2001-05-21,3651519000
2001-05-22,3727179360
2001-05-23,3602880000
2001-05-24,3768012000
2001-05-25,3685145639
2001-05-29,3551839320
2001-05-30,3434144999
2001-05-31,3415530360
2001-06-01,3383704679
2001-06-04,3383104320
2001-06-05,3566851320
2001-06-06,3536226720
2001-06-07,3662327640
2001-06-08,3587267640
2001-06-11,3497796000
2001-06-12,3497796000
2001-06-13,3500197920
2001-06-14,3339269280
2001-06-15,3290630400
2001-06-18,3291831360
2001-06-19,3479781600
2001-06-20,3293632679
2001-06-21,3144113280
2001-06-22,3111687360
2001-06-25,3152520000
2001-06-26,3050438400
2001-06-27,2764009319
2001-06-28,2759205600
2001-06-29,2905722720
2001-07-02,2792232000
2001-07-03,2759205600
2001-07-05,2706363360
2001-07-06,2723777280
2001-07-09,2729782080
2001-07-10,2717172000
2001-07-11,2645114400
2001-07-12,2902720320
2001-07-13,2930342400
2001-07-16,2900318400
2001-07-17,2941751640
2001-07-18,3017412000
2001-07-19,3134505600
2001-07-20,3071455320
2001-07-23,3024017280
2001-07-24,3017412000
2001-07-25,2966371320
2001-07-26,3005402400
2001-07-27,3034225319
2001-07-30,3059445600
2001-07-31,3107484000
2001-08-01,3249797639
2001-08-02,3213768960
2001-08-03,3315250080
2001-08-06,3217371960
2001-08-07,3244393319
2001-08-08,3223376640
2001-08-09,3211967640
2001-08-10,3140510400
2001-08-13,3141111000
2001-08-14,3212568000
2001-08-15,3263608679
2001-08-16,3188548679
2001-08-17,3125498400
2001-08-20,3135706680
2001-08-21,3067251960
2001-08-22,3071455320
2001-08-23,2777220000
2001-08-24,2873296679
2001-08-27,2863688999
2001-08-28,2848676999
2001-08-29,2774818080
2001-08-30,2729782080
2001-08-31,2770614720
2001-09-04,2730983040
2001-09-05,2795234400
2001-09-06,2612088000
2001-09-07,2627100000
2001-09-10,2642112000
2001-09-17,2549037600
2001-09-18,2440951320
2001-09-19,2341872000
2001-09-20,2251800000
2001-09-21,2224177920
2001-09-24,2378501280
2001-09-25,2419934400
2001-09-26,2336467680
2001-09-27,2386908000
2001-09-28,2408525280
2001-10-01,2331663960
2001-10-02,2411527680
2001-10-03,2611487640
2001-10-04,2523216960
2001-10-05,2458364999
2001-10-08,2532224039
2001-10-09,2543032679
2001-10-10,2552640359
2001-10-11,2544233639
2001-10-12,2532824640
2001-10-15,2600679000
2001-10-16,2667932640
2001-10-17,2748997319
2001-10-18,2747196000
2001-10-19,2831863680
2001-10-22,2952560039
2001-10-23,2988588960
2001-10-24,2936347320
2001-10-25,2944153319
2001-10-26,2966371320
2001-10-29,2840871000
2001-10-30,2857083960
2001-10-31,2826392000
2001-11-01,2912987719
2001-11-02,2878108960
2001-11-05,3001387760
2001-11-06,3160146800
2001-11-07,3065733280
2001-11-08,3001387760
2001-11-09,2974326560
2001-11-12,2995975520
2001-11-13,3027246240
2001-11-14,3058516960
2001-11-15,3070544280
2001-11-16,3098206720
2001-11-19,3149322199
2001-11-20,3177586240
2001-11-21,3216674760
2001-11-23,3253357479
2001-11-26,3502922000
2001-11-27,3417529000
2001-11-28,3316500520
2001-11-29,3322514000
2001-11-30,3309283959
2001-12-03,3330933040
2001-12-04,3189011959
2001-12-05,3307480000
2001-12-06,3344162960
2001-12-07,3338750720
2001-12-10,3373629479
2001-12-11,3325520800
2001-12-12,3287033760
2001-12-13,3271398520
2001-12-14,3305676040
2001-12-17,3377838999
2001-12-18,3466840520
2001-12-19,3482475760
2001-12-20,3453008999
2001-12-21,3516753280
2001-12-24,3488489239
2001-12-26,3529381719
2001-12-27,3524570960
2001-12-28,3590119200
2001-12-31,3552233520
2002-01-02,3539604960
2002-01-03,3520962800
2002-01-04,3487286760
2002-01-07,3482475760
2002-01-08,3505928800
2002-01-09,3504124720
2002-01-10,3475860800
2002-01-11,3400089440
2002-01-14,3320108560
2002-01-15,3348372480
2002-01-16,3210661040
2002-01-17,3245540040
2002-01-18,3204647440
2002-01-22,3146917000
2002-01-23,3237121000
2002-01-24,3317702999
2002-01-25,3239526199
2002-01-28,3244337200
2002-01-29,3167964480
2002-01-30,3234113959
2002-01-31,3119855800
2002-02-01,3003793200
2002-02-04,3187738042
2002-02-05,3059150720
2002-02-06,2983223162
2002-02-07,2910969280
2002-02-08,3022411520
2002-02-11,3097726880
2002-02-12,3129567520
2002-02-13,3150386400
2002-02-14,3150386400
2002-02-15,3048128837
2002-02-19,2972201280
2002-02-20,3064049280
2002-02-21,2797077760
2002-02-22,2847900197
2002-02-25,2979549120
2002-02-26,3024860922
2002-02-27,2945871520
2002-02-28,2884027077
2002-03-01,3029147162
2002-03-04,3225089317
2002-03-05,3235498880
2002-03-06,3218966240
2002-03-07,3160795717
2002-03-08,3219578682
2002-03-11,3380618720
2002-03-12,3242846720
2002-03-13,3171817600
2002-03-14,3173654682
2002-03-15,3147324922
2002-03-18,3248357600
2002-03-19,3288770720
2002-03-20,3257542400
2002-03-21,3290607802
2002-03-22,3244683802
2002-03-25,3173654682
2002-03-26,3199372000
2002-03-27,3264890240
2002-03-28,3377557120
2002-04-01,3304078720
2002-04-02,3223864922
2002-04-03,3116708922
2002-04-04,3133241317
2002-04-05,3067723077
2002-04-08,3048741280
2002-04-09,2992407717
2002-04-10,3013226720
2002-04-11,2894436640
2002-04-12,3054252282
2002-04-15,3048741280
2002-04-16,3150998720
2002-04-17,3175491520
2002-04-18,3159571077
2002-04-19,3103237760
2002-04-22,3054252282
2002-04-23,3002817280
2002-04-24,2940360640
2002-04-25,2917704922
2002-04-26,2792179077
2002-04-29,2706454400
2002-04-30,2762175520
2002-05-01,2677063162
2002-05-02,2615831162
2002-05-03,2553986720
2002-05-06,3278202990
2002-05-07,3382092067
2002-05-08,3549311302
2002-05-09,3524406067
2002-05-10,3470326890
2002-05-13,3526541062
2002-05-14,3735031072
2002-05-15,3740723490
2002-05-16,3669566490
2002-05-17,3727915230
2002-05-20,3638257552
2002-05-21,3621891442
2002-05-22,3639680692
2002-05-23,3712260547
2002-05-24,3749973900
2002-05-28,3662450932
2002-05-29,3600544057
2002-05-30,3628295572
2002-05-31,3589158937
2002-06-03,3485269860
2002-06-04,3545753452
2002-06-05,3532233480
2002-06-06,3575639250
2002-06-07,3589158937
2002-06-10,3612640890
2002-06-11,3548599447
2002-06-12,3635411130
2002-06-13,3565677270
2002-06-14,3623314297
2002-06-17,3778436557
2002-06-18,3820419187
2002-06-19,3934270530
2002-06-20,3855286260
2002-06-21,3870229230
2002-06-24,3780571552
2002-06-25,3762782302
2002-06-26,3806188072
2002-06-27,3892287900
2002-06-28,3900115312
2002-07-01,3774878850
2002-07-02,3716530110
2002-07-03,3788398822
2002-07-05,3846035850
2002-07-08,3727203802
2002-07-09,3452537640
2002-07-10,3389919480
2002-07-11,3198507150
2002-07-12,3231950797
2002-07-15,3131619427
2002-07-16,3238354927
2002-07-17,3273933427
2002-07-18,3209180557
2002-07-19,3185698890
2002-07-22,3125215297
2002-07-23,2975785740
2002-07-24,3055481437
2002-07-25,2885416350
2002-07-26,2948034510
2002-07-29,3049077307
2002-07-30,3065443702
2002-07-31,3043384890
2002-08-01,2914590720
2002-08-02,2863357822
2002-08-05,2744525490
2002-08-06,2912456010
2002-08-07,2895378187
2002-08-08,2940918952
2002-08-09,2931668400
2002-08-12,2910321442
2002-08-13,2782238557
2002-08-14,2929533547
2002-08-15,2999979119
2002-08-16,3061174140
2002-08-19,3234797220
2002-08-20,3178583047
2002-08-21,3130908000
2002-08-22,3362168250
2002-08-23,3258279030
2002-08-26,3312358350
2002-08-27,3170756062
2002-08-28,3051923730
2002-08-29,3122369302
2002-08-30,3070424692
2002-09-03,2958708202
2002-09-04,3017056942
2002-09-05,2916013860
2002-09-06,3023461072
2002-09-09,3146562682
2002-09-10,3232662510
2002-09-11,3273933427
2002-09-12,3166486500
2002-09-13,3185698890
2002-09-16,3167197927
2002-09-17,3124503869
2002-09-18,3058327860
2002-09-19,2998555980
2002-09-20,3005671822
2002-09-23,2923129702
2002-09-24,2952304072
2002-09-25,3039827182
2002-09-26,2888262630
2002-09-27,2804297369
2002-09-30,2714639692
2002-10-01,2694004020
2002-10-02,2462032057
2002-10-03,2427876697
2002-10-04,2481244447
2002-10-07,2321853052
2002-10-08,2364547110
2002-10-09,2448512369
2002-10-10,2612173470
2002-10-11,2770142010
2002-10-14,2768718869
2002-10-15,2720332110
2002-10-16,2619289312
2002-10-17,2632809000
2002-10-18,2573037119
2002-10-21,2672657062
2002-10-22,2533189057
2002-10-23,2601500062
2002-10-24,2560940572
2002-10-25,2652021390
2002-10-28,2661983369
2002-10-29,2615019750
2002-10-30,2666964360
2002-10-31,2803360101
2002-11-01,2935936600
2002-11-04,3081844650
2002-11-05,3572895748
2002-11-06,3506977601
2002-11-07,3407730501
2002-11-08,3444022500
2002-11-11,3314408750
2002-11-12,3366254250
2002-11-13,3344034898
2002-11-14,3624740951
2002-11-15,3697324651
2002-11-18,3618075101
2002-11-19,3553638700
2002-11-20,3655848400
2002-11-21,3869896250
2002-11-22,3830641948
2002-11-25,3915075900
2002-11-26,3712137651
2002-11-27,3766205101
2002-11-29,3849898700
2002-12-02,3769908648
2002-12-03,3755095500
2002-12-04,3562526351
2002-12-05,3255897400
2002-12-06,3360328901
2002-12-09,3218124250
2002-12-10,3317371350
2002-12-11,3349219448
2002-12-12,3358107100
2002-12-13,3287004848
2002-12-16,3389214251
2002-12-17,3367735698
2002-12-18,3300336548
2002-12-19,3274413650
2002-12-20,3330703198
2002-12-23,3384029701
2002-12-24,3389955050
2002-12-26,3419580901
2002-12-27,3424765748
2002-12-30,3418099898
2002-12-31,3418099898
2003-01-02,3475129651
2003-01-03,3129246250
2003-01-06,3231456098
2003-01-07,3087769701
2003-01-08,3118136351
2003-01-09,3232196600
2003-01-10,3204792550
2003-01-13,3093695050
2003-01-14,3182573198
2003-01-15,3147762500
2003-01-16,3009261098
2003-01-17,2962600000
2003-01-21,2903348000
2003-01-22,2901125901
2003-01-23,2980375748
2003-01-24,2900385399
2003-01-27,2850021200
2003-01-28,2857427848
2003-01-29,2918901649
2003-01-30,2850761998
2003-01-31,2864093401
2003-02-03,2880387850
2003-02-04,2827060901
2003-02-05,2792250500
2003-02-06,2782622050
2003-02-07,2738923700
2003-02-10,2713741600
2003-02-11,2761883850
2003-02-12,2763365298
2003-02-13,2703372500
2003-02-14,2841133400
2003-02-18,2930011548
2003-02-19,2944083750
2003-02-20,2996669900
2003-02-21,3047774898
2003-02-24,3017408248
2003-02-25,3030739651
2003-02-26,2996669900
2003-02-27,3013704701
2003-02-28,3020370551
2003-03-03,3039469028
2003-03-04,3011215500
2003-03-05,2991884388
2003-03-06,3015676708
2003-03-07,3042442771
2003-03-10,2975527020
2003-03-11,2974783361
2003-03-12,2988166541
2003-03-13,3137612200
2003-03-14,3148764701
2003-03-17,3300440890
2003-03-18,3359178180
2003-03-19,3394123298
2003-03-20,3345051638
2003-03-21,3365869770
2003-03-24,3226833548
2003-03-25,3291518770
2003-03-26,3333155478
2003-03-27,3333155478
2003-03-28,3247651680
2003-03-31,3165122070
2003-04-01,3206758778
2003-04-02,3313080708
2003-04-03,3289288388
2003-04-04,3367356790
2003-04-07,3473678868
2003-04-08,3430555140
2003-04-09,3320515659
2003-04-10,3312337050
2003-04-11,3297466701
2003-04-14,3427580951
2003-04-15,3413454409
2003-04-16,3431298798
2003-04-17,3527954950
2003-04-21,3506393159
2003-04-22,3596357721
2003-04-23,3613458451
2003-04-24,3607510520
2003-04-25,3509367200
2003-04-28,3578513778
2003-04-29,3612715090
2003-04-30,3614202110
2003-05-01,3695244700
2003-05-02,3717550000
2003-05-05,3882335246
2003-05-06,3897659246
2003-05-07,3915281846
2003-05-08,3884634000
2003-05-09,3941332646
2003-05-12,3998797646
2003-05-13,3940566600
2003-05-14,3926008953
2003-05-15,3981175200
2003-05-16,3953591846
2003-05-19,3831000000
2003-05-20,3867011553
2003-05-21,3899958153
2003-05-22,4514450246
2003-05-23,4493763153
2003-05-27,4486867353
2003-05-28,4589538153
2003-05-29,4673053953
2003-05-30,4696039800
2003-06-02,4692208953
2003-06-03,4742778153
2003-06-04,4820164200
2003-06-05,4896018153
2003-06-06,4905212093
2003-06-09,4873031846
2003-06-10,4679949753
2003-06-11,4669222646
2003-06-12,4677651000
2003-06-13,4565785800
2003-06-16,4729752600
2003-06-17,4735116000
2003-06-18,4770361046
2003-06-19,4699870800
2003-06-20,4741245753
2003-06-23,4727454000
2003-06-24,4744310246
2003-06-25,4872265800
2003-06-26,4853876846
2003-06-27,4781088153
2003-06-30,4745076600
2003-07-01,4784152646
2003-07-02,4851578400
2003-07-03,4802541600
2003-07-07,4966508399
2003-07-08,4987195493
2003-07-09,4933561800
2003-07-10,4888356000
2003-07-11,4938925199
2003-07-14,5020908446
2003-07-15,5050024506
2003-07-16,4873798200
2003-07-17,4650067646
2003-07-18,4632445200
2003-07-21,4610225246
2003-07-22,4676884800
2003-07-23,4667690246
2003-07-24,4598732400
2003-07-25,4608693153
2003-07-28,4669989000
2003-07-29,4652366553
2003-07-30,4597200000
2003-07-31,4795645800
2003-08-01,4813268400
2003-08-04,4830891000
2003-08-05,4841617646
2003-08-06,4642405800
2003-08-07,4728220200
2003-08-08,4630912646
2003-08-11,4931263200
2003-08-12,4973404506
2003-08-13,4983364800
2003-08-14,5076075000
2003-08-15,5105190446
2003-08-18,5187940199
2003-08-19,5286780000
2003-08-20,5224717953
2003-08-21,5276819553
2003-08-22,5172616353
2003-08-25,5089866600
2003-08-26,5102125493
2003-08-27,5168018693
2003-08-28,5240041800
2003-08-29,5226250199
2003-09-02,5246937906
2003-09-03,5239275446
2003-09-04,5282948693
2003-09-05,5191005000
2003-09-08,5197900493
2003-09-09,5117449800
2003-09-10,4913640600
2003-09-11,4910575800
2003-09-12,4944288600
2003-09-15,4930497000
2003-09-16,5125878000
2003-09-17,5156526000
2003-09-18,5208627600
2003-09-19,5253833399
2003-09-22,5171850000
2003-09-23,5125878000
2003-09-24,4951184400
2003-09-25,4857708000
2003-09-26,4750440000
2003-09-29,4804074000
2003-09-30,4736648400
2003-10-01,4706000400
2003-10-02,4488399600
2003-10-03,4422506400
2003-10-06,4229424000
2003-10-07,4301446800
2003-10-08,4387261200
2003-10-09,4152804000
2003-10-10,4148206800
2003-10-13,4319835600
2003-10-14,4376534400
2003-10-15,4381131600
2003-10-16,4543566000
2003-10-17,4508320800
2003-10-20,4767296400
2003-10-21,4811736000
2003-10-22,4732051200
2003-10-23,4715194800
2003-10-24,4733583600
2003-10-27,4813268400
2003-10-28,4977235199
2003-10-29,4948119600
2003-10-30,4900615200
2003-10-31,4958343520
2003-11-03,5000548840
2003-11-04,4927080320
2003-11-05,4967722480
2003-11-06,4948964560
2003-11-07,4836417040
2003-11-10,4736374800
2003-11-11,4698858960
2003-11-12,4825474920
2003-11-13,4809843320
2003-11-14,4733248480
2003-11-17,4683227360
2003-11-18,4517532400
2003-11-19,4556611400
2003-11-20,4556611400
2003-11-21,4545669280
2003-11-24,4641022040
2003-11-25,4578495640
2003-11-26,4622264120
2003-11-28,4683227360
2003-12-01,4822348600
2003-12-02,4845796000
2003-12-03,4884875000
2003-12-04,4877059200
2003-12-05,4787959080
2003-12-08,4969285640
2003-12-09,4969285640
2003-12-10,5106843720
2003-12-11,5228770200
2003-12-12,5356949320
2003-12-15,5281917640
2003-12-16,5227207040
2003-12-17,5144359559
2003-12-18,5275665000
2003-12-19,5214701760
2003-12-22,5294422920
2003-12-23,5349133520
2003-12-24,5252217600
2003-12-26,5335065080
2003-12-29,5431981000
2003-12-30,5356949320
2003-12-31,5292859760
2004-01-02,5263159720
2004-01-05,5422602040
2004-01-06,5586733840
2004-01-07,5655512880
2004-01-08,5594549640
2004-01-09,5574228559
2004-01-12,5732107720
2004-01-13,5607054920
2004-01-14,5580481200
2004-01-15,5653949720
2004-01-16,5791507800
2004-01-20,5800886760
2004-01-21,5655512880
2004-01-22,5721165600
2004-01-23,5783692000
2004-01-26,5839965760
2004-01-27,5833713120
2004-01-28,5511702160
2004-01-29,5547654840
2004-01-30,5502323200
2004-02-02,5498709120
2004-02-03,5472392100
2004-02-04,5343903120
2004-02-05,5447623140
2004-02-06,5586948540
2004-02-09,5627198100
2004-02-10,5523478080
2004-02-11,5551343160
2004-02-12,5531218379
2004-02-13,5472392100
2004-02-17,5557535400
2004-02-18,5489420760
2004-02-19,5464651800
2004-02-20,5506449420
2004-02-23,5329970580
2004-02-24,4625603280
2004-02-25,4617862980
2004-02-26,4662756720
2004-02-27,4585353720
2004-03-01,4597738200
2004-03-02,4648824180
2004-03-03,4619411040
2004-03-04,4689073740
2004-03-05,4698362100
2004-03-08,4616314920
2004-03-09,4569873120
2004-03-10,4484729820
2004-03-11,4333019940
2004-03-12,4377913680
2004-03-15,4268001420
2004-03-16,4266453360
2004-03-17,4407326820
2004-03-18,4430547720
2004-03-19,4336116060
2004-03-22,4271097540
2004-03-23,4331471880
2004-03-24,4354692780
2004-03-25,4442932200
2004-03-26,4407326820
2004-03-29,4504854600
2004-03-30,4490922060
2004-03-31,4447576380
2004-04-01,4529623560
2004-04-02,4730871360
2004-04-05,4764928680
2004-04-06,4622507160
2004-04-07,4600834320
2004-04-08,4554392520
2004-04-12,4586901780
2004-04-13,4535815800
2004-04-14,4497114300
2004-04-15,4512594900
2004-04-16,4439836080
2004-04-19,4551296400
2004-04-20,4427451600
2004-04-21,4390298160
2004-04-22,4396490400
2004-04-23,4453768620
2004-04-26,4377913680
2004-04-27,4377913680
2004-04-28,4281933960
2004-04-29,4168925580
2004-04-30,4148469270
2004-05-03,4157781210
2004-05-04,4205892900
2004-05-05,4216756830
2004-05-06,4162437180
2004-05-07,4143813300
2004-05-10,4131397380
2004-05-11,4123637430
2004-05-12,4101909570
2004-05-13,4025862060
2004-05-14,3999478230
2004-05-17,3909462810
2004-05-18,3926534700
2004-05-19,3929638680
2004-05-20,4387475730
2004-05-21,4612514280
2004-05-24,4558194630
2004-05-25,4579922490
2004-05-26,4635794130
2004-05-27,4598546370
2004-05-28,4593890400
2004-06-01,4614066270
2004-06-02,4601650350
2004-06-03,4586130450
2004-06-04,4620274230
2004-06-07,4733569500
2004-06-08,4725809550
2004-06-09,4604754330
2004-06-10,4674593880
2004-06-14,4587682440
2004-06-15,4679249850
2004-06-16,4707185670
2004-06-17,4646658060
2004-06-18,4638898110
2004-06-21,4556642640
2004-06-22,4575266520
2004-06-23,4587682440
2004-06-24,4558194630
2004-06-25,4548882690
2004-06-28,4387475730
2004-06-29,4416963540
2004-06-30,4412307570
2004-07-01,4362643890
2004-07-02,4289700360
2004-07-06,4129845390
2004-07-07,4118981460
2004-07-08,4081733700
2004-07-09,4129845390
2004-07-12,4084837680
2004-07-13,4143813300
2004-07-14,4060005840
2004-07-15,3982406340
2004-07-16,3867559080
2004-07-19,3912566790
2004-07-20,3987062310
2004-07-21,3825655350
2004-07-22,3833415300
2004-07-23,3743399880
2004-07-26,3710808090
2004-07-27,3726327990
2004-07-28,3856695150
2004-07-29,3878423009
2004-07-30,3918774750
2004-08-02,3266938950
2004-08-03,3232795169
2004-08-04,3297978750
2004-08-05,3200203380
2004-08-06,3135019800
2004-08-09,3189339450
2004-08-10,3223483230
2004-08-11,3144331740
2004-08-12,3097772040
2004-08-13,3107083980
2004-08-16,3170715570
2004-08-17,3150539700
2004-08-18,3302634720
2004-08-19,2273665350
2004-08-20,2296945200
2004-08-23,2355920820
