,USB
2000-06-16,41343582000
2000-06-19,42528650000
2000-06-20,41821432000
2000-06-21,41458266000
2000-06-22,41821432000
2000-06-23,41343582000
2000-06-26,41706748000
2000-06-27,42280168000
2000-06-28,42165484000
2000-06-29,40751048000
2000-06-30,11884824775
2000-07-03,12022155442
2000-07-05,12130875553
2000-07-06,12657309775
2000-07-07,12909082664
2000-07-10,12697364553
2000-07-11,12697364553
2000-07-12,12519979108
2000-07-13,12165208219
2000-07-14,12376926330
2000-07-17,12096542886
2000-07-18,11776104664
2000-07-19,11884824775
2000-07-20,12062210219
2000-07-21,11816159442
2000-07-24,11919157442
2000-07-25,12130875553
2000-07-26,11604441331
2000-07-27,11461388553
2000-07-28,11140950331
2000-07-31,11140950331
2000-08-01,11884824775
2000-08-02,11776104664
2000-08-03,12411258997
2000-08-04,13012080664
2000-08-07,13189466108
2000-08-08,13578569664
2000-08-09,13715900330
2000-08-10,13435516886
2000-08-11,13681567664
2000-08-14,14070671219
2000-08-15,13893285775
2000-08-16,13401184219
2000-08-17,13366851552
2000-08-18,13292464108
2000-08-21,13578569664
2000-08-22,13858953108
2000-08-23,13681567664
2000-08-24,13681567664
2000-08-25,13578569664
2000-08-28,13578569664
2000-08-29,13223798775
2000-08-30,13155133441
2000-08-31,13469849552
2000-09-01,13401184219
2000-09-05,13258131441
2000-09-06,13750232997
2000-09-07,13858953108
2000-09-08,13647234997
2000-09-11,13578569664
2000-09-12,13504182219
2000-09-13,13893285775
2000-09-14,13927618441
2000-09-15,13080745997
2000-09-18,12834695219
2000-09-19,12869027886
2000-09-20,12342593664
2000-09-21,12165208219
2000-09-22,12485646442
2000-09-25,12445591664
2000-09-26,12485646442
2000-09-27,12657309775
2000-09-28,12834695219
2000-09-29,12622977108
2000-10-02,42299475000
2000-10-03,41710134000
2000-10-04,37489692000
2000-10-05,36082878000
2000-10-06,35607603000
2000-10-09,33630459000
2000-10-10,31976502000
2000-10-11,31273095000
2000-10-12,29295951000
2000-10-13,31748370000
2000-10-16,33630459000
2000-10-17,31976502000
2000-10-18,31862436000
2000-10-19,32812986000
2000-10-20,32565843000
2000-10-23,32451777000
2000-10-24,34086723000
2000-10-25,33269250000
2000-10-26,32812986000
2000-10-27,33383315999
2000-10-30,35968812000
2000-10-31,36900351000
2000-11-01,37014417000
2000-11-02,36900351000
2000-11-03,37014417000
2000-11-06,37261560000
2000-11-07,36311010000
2000-11-08,36082878000
2000-11-09,36196944000
2000-11-10,35968812000
2000-11-13,35607603000
2000-11-14,35379471000
2000-11-15,34676064000
2000-11-16,33516393000
2000-11-17,33516393000
2000-11-20,33383315999
2000-11-21,34333865999
2000-11-22,33972657000
2000-11-24,33516393000
2000-11-27,33269250000
2000-11-28,35037273000
2000-11-29,36311010000
2000-11-30,36311010000
2000-12-01,36444087000
2000-12-04,36082878000
2000-12-05,38193099000
2000-12-06,37717824000
2000-12-07,39124638000
2000-12-08,39828045000
2000-12-11,40778595000
2000-12-12,40189254000
2000-12-13,39828045000
2000-12-14,39828045000
2000-12-15,39828045000
2000-12-18,43706289000
2000-12-19,42641673000
2000-12-20,43459146000
2000-12-21,44980026000
2000-12-22,44523762000
2000-12-26,44751894000
2000-12-27,45455301000
2000-12-28,44865960000
2000-12-29,43592223000
2001-01-02,43231014000
2001-01-03,46272774000
2001-01-04,48040797000
2001-01-05,46044642000
2001-01-08,45113103000
2001-01-09,45113103000
2001-01-10,45227169000
2001-01-11,45113103000
2001-01-12,43231014000
2001-01-16,43002882000
2001-01-17,41596068000
2001-01-18,41006727000
2001-01-19,39713979000
2001-01-22,41482002000
2001-01-23,43116948000
2001-01-24,43116948000
2001-01-25,43231014000
2001-01-26,44295630000
2001-01-29,44352663000
2001-01-30,44580795000
2001-01-31,44238597000
2001-02-01,43630245000
2001-02-02,44162553000
2001-02-05,44999037000
2001-02-06,44504751000
2001-02-07,44542773000
2001-02-08,44618817000
2001-02-09,44732883000
2001-02-12,45455301000
2001-02-13,45132114000
2001-02-14,43725300000
2001-02-15,43668267000
2001-02-16,43858377000
2001-02-20,43135959000
2001-02-21,42584640000
2001-02-22,42147387000
2001-02-23,42546618000
2001-02-26,43744311000
2001-02-27,43953432000
2001-02-28,43497168000
2001-03-01,43592223000
2001-03-02,44580795000
2001-03-05,43116948000
2001-03-06,42280464000
2001-03-07,42926838000
2001-03-08,42869805000
2001-03-09,43154970000
2001-03-12,40493430000
2001-03-13,40873650000
2001-03-14,38801451000
2001-03-15,40170243000
2001-03-16,39276726000
2001-03-19,41234859000
2001-03-20,39314748000
2001-03-21,37394637000
2001-03-22,36082878000
2001-03-23,38877495000
2001-03-26,40664529000
2001-03-27,43839366000
2001-03-28,43231014000
2001-03-29,42242442000
2001-03-30,43497168000
2001-04-02,43936218000
2001-04-03,43078833000
2001-04-04,42735879000
2001-04-05,43688529000
2001-04-06,43288416000
2001-04-09,43497999000
2001-04-10,43840953000
2001-04-11,43193151000
2001-04-12,44126748000
2001-04-16,43917165000
2001-04-17,42030918000
2001-04-18,42278607000
2001-04-19,41707017000
2001-04-20,40582890000
2001-04-23,39935088000
2001-04-24,40392360000
2001-04-25,40182777000
2001-04-26,39192021000
2001-04-27,40354254000
2001-04-30,39782664000
2001-05-01,39344445000
2001-05-02,40049406000
2001-05-03,41516487000
2001-05-04,42602508000
2001-05-07,39896982000
2001-05-08,39820770000
2001-05-09,40106565000
2001-05-10,39592134000
2001-05-11,39363498000
2001-05-14,39725505000
2001-05-15,40392360000
2001-05-16,41211639000
2001-05-17,40697208000
2001-05-18,41040162000
2001-05-21,41135427000
2001-05-22,41783229000
2001-05-23,41954706000
2001-05-24,42469137000
2001-05-25,41764176000
2001-05-29,41554593000
2001-05-30,41516487000
2001-05-31,41897547000
2001-06-01,42278607000
2001-06-04,42735879000
2001-06-05,42907356000
2001-06-06,43402734000
2001-06-07,43212204000
2001-06-08,42716826000
2001-06-11,42716826000
2001-06-12,42469137000
2001-06-13,42278607000
2001-06-14,40678155000
2001-06-15,40392360000
2001-06-18,40963950000
2001-06-19,41897547000
2001-06-20,42278607000
2001-06-21,43688529000
2001-06-22,43212204000
2001-06-25,42831144000
2001-06-26,42183342000
2001-06-27,41859441000
2001-06-28,42735879000
2001-06-29,42812091000
2001-07-02,44873046000
2001-07-03,44580141000
2001-07-05,44853519000
2001-07-06,44189601000
2001-07-09,45244059000
2001-07-10,44267709000
2001-07-11,44345817000
2001-07-12,45205005000
2001-07-13,46025139000
2001-07-16,45361221000
2001-07-17,46122774000
2001-07-18,45536964000
2001-07-19,43896696000
2001-07-20,43232778000
2001-07-23,43193724000
2001-07-24,42510279000
2001-07-25,42842238000
2001-07-26,43935750000
2001-07-27,45244059000
2001-07-30,45497910000
2001-07-31,45712707000
2001-08-01,45810342000
2001-08-02,45829869000
2001-08-03,46103247000
2001-08-06,47040543000
2001-08-07,48153582000
2001-08-08,48134055000
2001-08-09,47470137000
2001-08-10,47450610000
2001-08-13,47626353000
2001-08-14,47938785000
2001-08-15,47645880000
2001-08-16,48173109000
2001-08-17,47587299000
2001-08-20,48055947000
2001-08-21,47352975000
2001-08-22,48114528000
2001-08-23,47802096000
2001-08-24,47841150000
2001-08-27,47177232000
2001-08-28,46728111000
2001-08-29,46493787000
2001-08-30,46259463000
2001-08-31,46669530000
2001-09-04,47235813000
2001-09-05,46591422000
2001-09-06,46591422000
2001-09-07,45810342000
2001-09-10,45712707000
2001-09-17,45068316000
2001-09-18,44326290000
2001-09-19,41416767000
2001-09-20,37843326000
2001-09-21,37316097000
2001-09-24,40440417000
2001-09-25,41104335000
2001-09-26,40909065000
2001-09-27,42139266000
2001-09-28,42705549000
2001-10-01,41678858000
2001-10-02,42869134000
2001-10-03,42965124000
2001-10-04,41544472000
2001-10-05,34901964000
2001-10-08,31945472000
2001-10-09,33423718000
2001-10-10,33807678000
2001-10-11,33270133999
2001-10-12,31830283999
2001-10-15,31868680000
2001-10-16,32943768000
2001-10-17,33865272000
2001-10-18,33596500000
2001-10-19,32674996000
2001-10-22,32905372000
2001-10-23,33462114000
2001-10-24,34460410000
2001-10-25,35746676000
2001-10-26,35055548000
2001-10-29,33692490000
2001-10-30,33596500000
2001-10-31,33654094000
2001-11-01,34076450000
2001-11-02,34076450000
2001-11-05,34748380000
2001-11-06,35305122000
2001-11-07,34690786000
2001-11-08,34364420000
2001-11-09,34268430000
2001-11-12,34018855999
2001-11-13,34460410000
2001-11-14,34537202000
2001-11-15,34326023999
2001-11-16,34786776000
2001-11-19,35324320000
2001-11-20,34479608000
2001-11-21,34268430000
2001-11-23,35209132000
2001-11-26,34518004000
2001-11-27,34633192000
2001-11-28,34825172000
2001-11-29,35017152000
2001-11-30,35938656000
2001-12-03,35593092000
2001-12-04,36015448000
2001-12-05,36706576000
2001-12-06,37762466000
2001-12-07,37973644000
2001-12-10,38012040000
2001-12-11,36956150000
2001-12-12,37301714000
2001-12-13,36284220000
2001-12-14,35938656000
2001-12-17,35957854000
2001-12-18,37071338000
2001-12-19,38338406000
2001-12-20,38587980000
2001-12-21,39183118000
2001-12-24,38818356000
2001-12-26,38818356000
2001-12-27,39240712000
2001-12-28,39701464000
2001-12-31,39624672000
2002-01-02,38895148000
2002-01-03,39087128000
2002-01-04,39835850000
2002-01-07,39739860000
2002-01-08,39643870000
2002-01-09,39259910000
2002-01-10,39759058000
2002-01-11,38568782000
2002-01-14,38530386000
2002-01-15,39183118000
2002-01-16,38146426000
2002-01-17,38645574000
2002-01-18,38645574000
2002-01-22,38760762000
2002-01-23,39605474000
2002-01-24,40219810000
2002-01-25,40565374000
2002-01-28,40699760000
2002-01-29,38453594000
2002-01-30,38530386000
2002-01-31,39413494000
2002-02-01,38165624000
2002-02-04,37532090000
2002-02-05,37532090000
2002-02-06,36917754000
2002-02-07,37013744000
2002-02-08,37301714000
2002-02-11,37570486000
2002-02-12,37474496000
2002-02-13,37858456000
2002-02-14,37935248000
2002-02-15,37877654000
2002-02-19,36265022000
2002-02-20,37052140000
2002-02-21,36495398000
2002-02-22,37724070000
2002-02-25,38971940000
2002-02-26,38895148000
2002-02-27,39471088000
2002-02-28,39471088000
2002-03-01,39970236000
2002-03-04,41179710000
2002-03-05,40104622000
2002-03-06,41525274000
2002-03-07,40968532000
2002-03-08,41640462000
2002-03-11,42197204000
2002-03-12,41736452000
2002-03-13,41659660000
2002-03-14,41390888000
2002-03-15,42581164000
2002-03-18,42830738000
2002-03-19,43541064000
2002-03-20,42581164000
2002-03-21,42158808000
2002-03-22,42773144000
2002-03-25,42830738000
2002-03-26,43349084000
2002-03-27,42926728000
2002-03-28,42715550000
2002-04-01,42587832000
2002-04-02,43047000000
2002-04-03,42281720000
2002-04-04,42262588000
2002-04-05,42205192000
2002-04-08,42568700000
2002-04-09,42951340000
2002-04-10,43257452000
2002-04-11,42243456000
2002-04-12,42874812000
2002-04-15,42262588000
2002-04-16,43372244000
2002-04-17,44539296000
2002-04-18,44520164000
2002-04-19,44941068000
2002-04-22,43601828000
2002-04-23,43774016000
2002-04-24,44290580000
2002-04-25,44596692000
2002-04-26,43927072000
2002-04-29,43831412000
2002-04-30,44711484000
2002-05-01,44711484000
2002-05-02,45266312000
2002-05-03,44921936000
2002-05-06,44137524000
2002-05-07,44539296000
2002-05-08,45113256000
2002-05-09,45094124000
2002-05-10,44654088000
2002-05-13,45361972000
2002-05-14,45916800000
2002-05-15,45285444000
2002-05-16,45361972000
2002-05-17,45113256000
2002-05-20,45113256000
2002-05-21,45476764000
2002-05-22,45304576000
2002-05-23,46127252000
2002-05-24,45361972000
2002-05-28,44424504000
2002-05-29,44367108000
2002-05-30,44386240000
2002-05-31,44615824000
2002-06-03,44099260000
2002-06-04,43735752000
2002-06-05,43831412000
2002-06-06,42721756000
2002-06-07,43200056000
2002-06-10,43410508000
2002-06-11,42626096000
2002-06-12,43142660000
2002-06-13,42205192000
2002-06-14,43276584000
2002-06-17,44807144000
2002-06-18,44807144000
2002-06-19,43907940000
2002-06-20,43888808000
2002-06-21,42817416000
2002-06-24,43161792000
2002-06-25,42683492000
2002-06-26,42358248000
2002-06-27,43353112000
2002-06-28,44041864000
2002-07-01,42857700000
2002-07-02,42398100000
2002-07-03,41095900000
2002-07-05,42398100000
2002-07-08,42455550000
2002-07-09,41919350000
2002-07-10,40866100000
2002-07-11,41268250000
2002-07-12,39985200000
2002-07-15,40061800000
2002-07-16,38242550000
2002-07-17,38836200000
2002-07-18,36806300000
2002-07-19,34910450000
2002-07-22,34738100000
2002-07-23,34833850000
2002-07-24,35197700000
2002-07-25,34910450000
2002-07-26,37151000000
2002-07-29,39180900000
2002-07-30,38836200000
2002-07-31,40387350000
2002-08-01,38740450000
2002-08-02,38683000000
2002-08-05,37782950000
2002-08-06,39219200000
2002-08-07,39468150000
2002-08-08,40961850000
2002-08-09,41134200000
2002-08-12,40521400000
2002-08-13,40119250000
2002-08-14,41344850000
2002-08-15,41632100000
2002-08-16,41670400000
2002-08-19,42359800000
2002-08-20,41632100000
2002-08-21,41536350000
2002-08-22,41593800000
2002-08-23,40712900000
2002-08-26,41000150000
2002-08-27,40387350000
2002-08-28,39832000000
2002-08-29,40253300000
2002-08-30,40578850000
2002-09-03,38893650000
2002-09-04,39678800000
2002-09-05,39046850000
2002-09-06,39851150000
2002-09-09,40138400000
2002-09-10,39544750000
2002-09-11,39449000000
2002-09-12,38510650000
2002-09-13,38625550000
2002-09-16,38204250000
2002-09-17,37591450000
2002-09-18,37342500000
2002-09-19,36250950000
2002-09-20,36404150000
2002-09-23,35274300000
2002-09-24,34029550000
2002-09-25,34546600000
2002-09-26,34891300000
2002-09-27,34757250000
2002-09-30,35156080000
2002-10-01,36844800000
2002-10-02,36844800000
2002-10-03,33659260000
2002-10-04,32930040000
2002-10-07,31222130000
2002-10-08,32450290000
2002-10-09,30742380000
2002-10-10,32853280000
2002-10-11,34887420000
2002-10-14,35194460000
2002-10-15,36614520000
2002-10-16,37458880000
2002-10-17,38360810000
2002-10-18,38648660000
2002-10-21,39090030000
2002-10-22,39070840000
2002-10-23,39550590000
2002-10-24,39550590000
2002-10-25,39800060000
2002-10-28,40203050000
2002-10-29,39512210000
2002-10-30,40145480000
2002-10-31,39915200000
2002-11-01,40778750000
2002-11-04,40107100000
2002-11-05,40145480000
2002-11-06,40260620000
2002-11-07,38667850000
2002-11-08,38149720000
2002-11-11,37938630000
2002-11-12,39013270000
2002-11-13,39090030000
2002-11-14,39991960000
2002-11-15,41047410000
2002-11-18,40183860000
2002-11-19,40490900000
2002-11-20,41584730000
2002-11-21,42006910000
2002-11-22,41623110000
2002-11-25,41354450000
2002-11-26,40913080000
2002-11-27,41891770000
2002-11-29,41431210000
2002-12-02,41719060000
2002-12-03,40433330000
2002-12-04,40663610000
2002-12-05,40030340000
2002-12-06,40299000000
2002-12-09,39761680000
2002-12-10,40606040000
2002-12-11,40625230000
2002-12-12,40260620000
2002-12-13,39454640000
2002-12-16,40951460000
2002-12-17,40625230000
2002-12-18,39800060000
2002-12-19,39704110000
2002-12-20,41431210000
2002-12-23,41104980000
2002-12-24,40701990000
2002-12-26,40759560000
2002-12-27,39512210000
2002-12-30,40107100000
2002-12-31,40145480000
2003-01-02,40548470000
2003-01-03,40644420000
2003-01-06,42851270000
2003-01-07,42544230000
2003-01-08,42294760000
2003-01-09,43235070000
2003-01-10,43791580000
2003-01-13,43465350000
2003-01-14,44041050000
2003-01-15,43369400000
2003-01-16,42716940000
2003-01-17,42448280000
2003-01-21,41815010000
2003-01-22,41603920000
2003-01-23,41181740000
2003-01-24,39953580000
2003-01-27,39435450000
2003-01-28,39531400000
2003-01-29,39473830000
2003-01-30,39166790000
2003-01-31,39934390000
2003-02-03,39991960000
2003-02-04,39742490000
2003-02-05,38782990000
2003-02-06,38763800000
2003-02-07,38303240000
2003-02-10,38782990000
2003-02-11,38245670000
2003-02-12,37842680000
2003-02-13,38130530000
2003-02-14,38591090000
2003-02-18,39166790000
2003-02-19,39070840000
2003-02-20,39224360000
2003-02-21,39780870000
2003-02-24,38840560000
2003-02-25,38974890000
2003-02-26,38322430000
2003-02-27,39339500000
2003-02-28,39588970000
2003-03-03,39205170000
2003-03-04,38917320000
2003-03-05,39262740000
2003-03-06,38341620000
2003-03-07,39128410000
2003-03-10,38015390000
2003-03-11,36365050000
2003-03-12,35942870000
2003-03-13,36902370000
2003-03-14,36883180000
2003-03-17,37612400000
2003-03-18,37804300000
2003-03-19,38782990000
2003-03-20,39128410000
2003-03-21,39915200000
2003-03-24,38495140000
2003-03-25,39070840000
2003-03-26,38514330000
2003-03-27,37458880000
2003-03-28,37420500000
2003-03-31,35985456000
2003-04-01,36581369000
2003-04-02,37523296000
2003-04-03,36946606000
2003-04-04,37215728000
2003-04-07,37350289000
2003-04-08,37350289000
2003-04-09,36600592000
2003-04-10,37158059000
2003-04-11,37792418000
2003-04-14,38772791000
2003-04-15,40003063000
2003-04-16,40464415000
2003-04-17,41233335000
2003-04-21,41425565000
2003-04-22,42694283000
2003-04-23,43328642000
2003-04-24,42463607000
2003-04-25,42059924000
2003-04-28,42386715000
2003-04-29,42079147000
2003-04-30,41983032000
2003-05-01,42578945000
2003-05-02,43713102000
2003-05-05,42598168000
2003-05-06,42886513000
2003-05-07,43270973000
2003-05-08,42059924000
2003-05-09,41963809000
2003-05-12,42463607000
2003-05-13,42694283000
2003-05-14,42771175000
2003-05-15,43520872000
2003-05-16,44212900000
2003-05-19,43021074000
2003-05-20,42848067000
2003-05-21,43155635000
2003-05-22,43405534000
2003-05-23,43982224000
2003-05-27,44693475000
2003-05-28,44597360000
2003-05-29,43674656000
2003-05-30,44924151000
2003-06-02,44808813000
2003-06-03,44924151000
2003-06-04,45827632000
2003-06-05,45712294000
2003-06-06,46519660000
2003-06-09,45942970000
2003-06-10,45827632000
2003-06-11,46673444000
2003-06-12,46942566000
2003-06-13,46692667000
2003-06-16,47192465000
2003-06-17,47250134000
2003-06-18,47327026000
2003-06-19,47000235000
2003-06-20,46808005000
2003-06-23,45904524000
2003-06-24,46538883000
2003-06-25,46731113000
2003-06-26,47154019000
2003-06-27,46615775000
2003-06-30,46532160000
2003-07-01,46936620000
2003-07-02,47032920000
2003-07-03,46320300000
2003-07-07,47225520000
2003-07-08,47321820000
2003-07-09,47206260000
2003-07-10,46763280000
2003-07-11,47187000000
2003-07-14,48227040000
2003-07-15,47514420000
2003-07-16,47649240000
2003-07-17,46859580000
2003-07-18,47572200000
2003-07-21,46917360000
2003-07-22,47572200000
2003-07-23,47360340000
2003-07-24,46782540000
2003-07-25,47668500000
2003-07-28,47090700000
2003-07-29,47244780000
2003-07-30,46936620000
2003-07-31,46570680000
2003-08-01,45626940000
2003-08-04,45935100000
2003-08-05,44432820000
2003-08-06,44933580000
2003-08-07,45126180000
2003-08-08,45415080000
2003-08-11,45049140000
2003-08-12,46050660000
2003-08-13,45241740000
2003-08-14,45569160000
2003-08-15,45338040000
2003-08-18,45607680000
2003-08-19,45492120000
2003-08-20,45684720000
2003-08-21,45665460000
2003-08-22,44914320000
2003-08-25,44895060000
2003-08-26,44740980000
2003-08-27,44529120000
2003-08-28,44972100000
2003-08-29,45395820000
2003-09-02,45800280000
2003-09-03,45761760000
2003-09-04,45684720000
2003-09-05,45607680000
2003-09-08,45761760000
2003-09-09,45569160000
2003-09-10,44933580000
2003-09-11,45280260000
2003-09-12,45299520000
2003-09-15,45029880000
2003-09-16,45819540000
2003-09-17,45858060000
2003-09-18,47052180000
2003-09-19,46975140000
2003-09-22,46185480000
2003-09-23,46647720000
2003-09-24,46301040000
2003-09-25,46301040000
2003-09-26,45588420000
2003-09-29,46146960000
2003-09-30,45318364000
2003-10-01,46850684000
2003-10-02,46467604000
2003-10-03,46697452000
2003-10-06,46984762000
2003-10-07,47137994000
2003-10-08,47195456000
2003-10-09,47942462000
2003-10-10,47597690000
2003-10-13,47846692000
2003-10-14,48440466000
2003-10-15,48517082000
2003-10-16,48689468000
2003-10-17,48153156000
2003-10-20,48210618000
2003-10-21,49532244000
2003-10-22,48727776000
2003-10-23,49647168000
2003-10-24,49666322000
2003-10-27,50394174000
2003-10-28,51409336000
2003-10-29,52003110000
2003-10-30,52022264000
2003-10-31,51409336000
2003-11-03,51007102000
2003-11-04,50662330000
2003-11-05,50853870000
2003-11-06,51371028000
2003-11-07,51198642000
2003-11-10,51122026000
2003-11-11,51945648000
2003-11-12,52156342000
2003-11-13,52309574000
2003-11-14,52213804000
2003-11-17,51734954000
2003-11-18,51064564000
2003-11-19,51294412000
2003-11-20,51256104000
2003-11-21,51160334000
2003-11-24,51907340000
2003-11-25,52309574000
2003-11-26,52367036000
2003-11-28,52328728000
2003-12-01,52577730000
2003-12-02,52635192000
2003-12-03,52788424000
2003-12-04,52807578000
2003-12-05,52616038000
2003-12-08,53171504000
2003-12-09,52596884000
2003-12-10,52462806000
2003-12-11,52654346000
2003-12-12,52845886000
2003-12-15,52367036000
2003-12-16,53114042000
2003-12-17,53554584000
2003-12-18,54608054000
2003-12-19,54608054000
2003-12-22,54416514000
2003-12-23,55220982000
2003-12-24,55431676000
2003-12-26,55623216000
2003-12-29,55910526000
2003-12-30,56216990000
2003-12-31,56236144000
2004-01-02,55833910000
2004-01-05,55278444000
2004-01-06,54454822000
2004-01-07,54416514000
2004-01-08,54052588000
2004-01-09,53343890000
2004-01-12,53228966000
2004-01-13,52616038000
2004-01-14,52807578000
2004-01-15,54550592000
2004-01-16,54588900000
2004-01-20,54014280000
2004-01-21,53535430000
2004-01-22,53363044000
2004-01-23,53746124000
2004-01-26,54014280000
2004-01-27,54684670000
2004-01-28,54627208000
2004-01-29,54282436000
2004-01-30,54148358000
2004-02-02,54722978000
2004-02-03,53535430000
2004-02-04,53516276000
2004-02-05,52903348000
2004-02-06,53363044000
2004-02-09,53133196000
2004-02-10,53343890000
2004-02-11,53688662000
2004-02-12,53267274000
2004-02-13,52673500000
2004-02-17,53209812000
2004-02-18,52673500000
2004-02-19,52960810000
2004-02-20,53688662000
2004-02-23,53343890000
2004-02-24,53343890000
2004-02-25,53899356000
2004-02-26,54397360000
2004-02-27,54646362000
2004-03-01,54991134000
2004-03-02,54837902000
2004-03-03,55086904000
2004-03-04,55412522000
2004-03-05,56236144000
2004-03-08,54780440000
2004-03-09,54416514000
2004-03-10,53650354000
2004-03-11,52922502000
2004-03-12,54052588000
2004-03-15,52960810000
2004-03-16,53439660000
2004-03-17,54205820000
2004-03-18,53861048000
2004-03-19,52979964000
2004-03-22,52194650000
2004-03-23,52826732000
2004-03-24,52118034000
2004-03-25,52826732000
2004-03-26,52865040000
2004-03-29,53075734000
2004-03-30,53324736000
2004-03-31,52302740000
2004-04-01,52227076000
2004-04-02,51092116000
2004-04-05,51262360000
2004-04-06,50902956000
2004-04-07,50713796000
2004-04-08,50354392000
2004-04-12,50240896000
2004-04-13,50013904000
2004-04-14,48803280000
2004-04-15,49124852000
2004-04-16,49749080000
2004-04-19,49162684000
2004-04-20,48860028000
2004-04-21,48954608000
2004-04-22,49635584000
2004-04-23,49446424000
2004-04-26,49181600000
2004-04-27,49522088000
2004-04-28,48727616000
2004-04-29,48406044000
2004-04-30,48500624000
2004-05-03,48897860000
2004-05-04,49541004000
2004-05-05,50108484000
2004-05-06,49711248000
2004-05-07,48141220000
2004-05-10,47535908000
2004-05-11,48027724000
2004-05-12,48897860000
2004-05-13,49730164000
2004-05-14,49957156000
2004-05-17,49143768000
2004-05-18,50108484000
2004-05-19,50221980000
2004-05-20,50278728000
2004-05-21,50959704000
2004-05-24,51527184000
2004-05-25,52397320000
2004-05-26,53116128000
2004-05-27,53494448000
2004-05-28,53153960000
2004-06-01,53229624000
2004-06-02,53967348000
2004-06-03,53248540000
2004-06-04,53664692000
2004-06-07,53702524000
2004-06-08,53702524000
2004-06-09,52870220000
2004-06-10,53229624000
2004-06-14,52699976000
2004-06-15,53229624000
2004-06-16,53153960000
2004-06-17,52775640000
2004-06-18,53570112000
2004-06-21,53437700000
2004-06-22,54024096000
2004-06-23,53797104000
2004-06-24,53513364000
2004-06-25,52567564000
2004-06-28,52681060000
2004-06-29,51924420000
2004-06-30,51730120000
2004-07-01,51842740000
2004-07-02,52762470000
2004-07-06,52143060000
2004-07-07,52293220000
2004-07-08,52086750000
2004-07-09,52293220000
2004-07-12,52875090000
2004-07-13,53550810000
2004-07-14,53494500000
2004-07-15,53100330000
2004-07-16,52537230000
2004-07-19,52480920000
2004-07-20,52875090000
2004-07-21,52124290000
2004-07-22,52462150000
2004-07-23,52180600000
2004-07-26,52405840000
2004-07-27,53194180000
2004-07-28,53100330000
2004-07-29,53813590000
2004-07-30,53119100000
2004-08-02,53231720000
2004-08-03,53325570000
2004-08-04,54076370000
2004-08-05,53381880000
2004-08-06,52837550000
2004-08-09,52743700000
2004-08-10,53700970000
2004-08-11,53832360000
2004-08-12,53344340000
2004-08-13,53982520000
2004-08-16,54057600000
2004-08-17,54151450000
2004-08-18,54451770000
2004-08-19,53907440000
2004-08-20,54151450000
2004-08-23,54170220000
2004-08-24,54038830000
