,CINF
2001-06-15,6649243650
2001-06-18,6569367525
2001-06-19,6599542950
2001-06-20,6617293200
2001-06-21,6585342750
2001-06-22,6464641050
2001-06-25,6432690600
2001-06-26,6555167325
2001-06-27,6496591500
2001-06-28,6526766925
2001-06-29,6359914575
2001-07-02,6428826562
2001-07-03,6465703196
2001-07-05,6400730079
2001-07-06,6200542636
2001-07-09,6304148418
2001-07-10,6202298666
2001-07-11,6193518515
2001-07-12,6244443391
2001-07-13,6244443391
2001-07-16,6309416508
2001-07-17,6304148418
2001-07-18,6330488870
2001-07-19,6330488870
2001-07-20,6158397911
2001-07-23,6110985095
2001-07-24,6112741126
2001-07-25,6235663240
2001-07-26,6265515753
2001-07-27,6184738364
2001-07-30,6177714243
2001-07-31,6276051934
2001-08-01,6286588115
2001-08-02,6116253186
2001-08-03,6212834847
2001-08-06,6140837609
2001-08-07,6284832085
2001-08-08,6283076055
2001-08-09,6328732840
2001-08-10,6353317263
2001-08-13,6342781082
2001-08-14,6456923045
2001-08-15,6425314501
2001-08-16,6509603951
2001-08-17,6569308978
2001-08-20,6639550186
2001-08-21,6634282095
2001-08-22,6648330337
2001-08-23,6607941642
2001-08-24,6709791394
2001-08-27,6636038125
2001-08-28,6542968525
2001-08-29,6470971287
2001-08-30,6472727317
2001-08-31,6370877565
2001-09-04,6372633595
2001-09-05,6455167015
2001-09-06,6235663240
2001-09-07,6207566757
2001-09-10,6355073293
2001-09-17,6233907210
2001-09-18,6226883089
2001-09-19,6163666002
2001-09-20,6110985095
2001-09-21,5938894136
2001-09-24,6016159465
2001-09-25,6023183585
2001-09-26,6023183585
2001-09-27,6355073293
2001-09-28,6629014005
2001-10-01,6452931720
2001-10-02,6477527703
2001-10-03,6661997572
2001-10-04,6756867791
2001-10-05,6535503948
2001-10-08,6322924384
2001-10-09,6219269886
2001-10-10,6229811021
2001-10-11,6264948139
2001-10-12,6203458182
2001-10-15,6279002986
2001-10-16,6287787266
2001-10-17,6178862200
2001-10-18,6105074252
2001-10-19,6027772592
2001-10-22,6305355825
2001-10-23,6064666566
2001-10-24,6159536785
2001-10-25,6206971894
2001-10-26,6198187615
2001-10-29,6127913379
2001-10-30,5985608051
2001-10-31,5927631806
2001-11-01,6189403335
2001-11-02,6315896960
2001-11-05,6447661153
2001-11-06,6470500279
2001-11-07,6551315651
2001-11-08,6236838445
2001-11-09,6157779929
2001-11-12,6212242462
2001-11-13,6194673903
2001-11-14,6150752505
2001-11-15,6127913379
2001-11-16,6156023073
2001-11-19,6393198620
2001-11-20,6326438095
2001-11-21,6421308314
2001-11-23,6484555126
2001-11-26,6431849449
2001-11-27,6366845781
2001-11-28,6298328401
2001-11-29,6245622724
2001-11-30,6148995650
2001-12-03,6168321064
2001-12-04,6168321064
2001-12-05,6178862200
2001-12-06,6127913379
2001-12-07,6083991981
2001-12-10,6006690322
2001-12-11,5953984645
2001-12-12,6011960889
2001-12-13,5897765256
2001-12-14,5901278968
2001-12-17,5862628138
2001-12-18,6003176610
2001-12-19,5941686653
2001-12-20,5945200365
2001-12-21,5922361238
2001-12-24,5957498356
2001-12-26,5976823771
2001-12-27,6038313728
2001-12-28,6076964558
2001-12-31,6087207444
2002-01-02,6041465423
2002-01-03,6022113029
2002-01-04,6041465423
2002-01-07,5946462763
2002-01-08,5862015955
2002-01-09,5858497338
2002-01-10,5913035902
2002-01-11,5913035902
2002-01-14,5865534572
2002-01-15,5981648934
2002-01-16,5942944146
2002-01-17,5969333774
2002-01-18,5946462763
2002-01-22,5925351061
2002-01-23,5946462763
2002-01-24,6073132976
2002-01-25,6152301859
2002-01-28,6083688827
2002-01-29,5979889625
2002-01-30,6001001327
2002-01-31,6143505316
2002-02-01,6152301859
2002-02-04,6080170210
2002-02-05,6076651593
2002-02-06,6073132976
2002-02-07,6122393614
2002-02-08,6178691487
2002-02-11,6175172870
2002-02-12,6150542550
2002-02-13,6286009306
2002-02-14,6329992018
2002-02-15,6256101061
2002-02-19,6182210104
2002-02-20,6322954784
2002-02-21,6145264625
2002-02-22,6191006646
2002-02-25,6277212763
2002-02-26,6312398933
2002-02-27,6410920210
2002-02-28,6416198135
2002-03-01,6467218082
2002-03-04,6549905582
2002-03-05,6657223401
2002-03-06,6702965423
2002-03-07,6604444146
2002-03-08,6604444146
2002-03-11,6658982710
2002-03-12,6694168880
2002-03-13,6660742018
2002-03-14,6718799199
2002-03-15,6796208774
2002-03-18,6775097072
2002-03-19,6812042550
2002-03-20,6753985369
2002-03-21,6782134306
2002-03-22,6775097072
2002-03-25,6646667550
2002-03-26,6736392284
2002-03-27,6808523933
2002-03-28,6966861699
2002-04-01,6905408511
2002-04-02,6989599420
2002-04-03,6910670443
2002-04-04,7019417034
2002-04-05,7047480670
2002-04-08,7058004534
2002-04-09,7142195443
2002-04-10,7296545443
2002-04-11,7210600556
2002-04-12,7279005670
2002-04-15,7212354534
2002-04-16,7282513625
2002-04-17,7363196579
2002-04-18,7340394874
2002-04-19,7308823284
2002-04-22,7266727829
2002-04-23,7270235784
2002-04-24,7279005670
2002-04-25,7328117034
2002-04-26,7349164761
2002-04-29,7294791465
2002-04-30,7454403397
2002-05-01,7484221011
2002-05-02,7475451124
2002-05-03,7429847715
2002-05-06,7431601692
2002-05-07,7319347147
2002-05-08,7449141465
2002-05-09,7412307943
2002-05-10,7291283511
2002-05-13,7279005670
2002-05-14,7257957943
2002-05-15,7229894306
2002-05-16,7170259079
2002-05-17,7184290897
2002-05-20,7107115898
2002-05-21,7052742602
2002-05-22,7126409648
2002-05-23,7159735216
2002-05-24,7156227261
2002-05-28,7159735216
2002-05-29,7175521011
2002-05-30,7224632375
2002-05-31,7219370443
2002-06-03,7086068170
2002-06-04,7110623852
2002-06-05,7163243170
2002-06-06,7136933511
2002-06-07,7163243170
2002-06-10,7196568738
2002-06-11,7077298284
2002-06-12,7091330102
2002-06-13,6931718171
2002-06-14,6996615330
2002-06-17,7273743738
2002-06-18,7289529534
2002-06-19,7205338625
2002-06-20,7284267602
2002-06-21,7298299420
2002-06-24,7286021579
2002-06-25,7263219875
2002-06-26,7179028966
2002-06-27,7247434079
2002-06-28,7401784079
2002-07-01,7595222731
2002-07-02,7355278640
2002-07-03,7214559549
2002-07-05,7196518639
2002-07-08,7183890003
2002-07-09,6960182730
2002-07-10,6770753185
2002-07-11,6626425912
2002-07-12,6593952276
2002-07-15,6538025457
2002-07-16,6422563639
2002-07-17,6379265457
2002-07-18,6133909094
2002-07-19,6094219093
2002-07-22,6031075912
2002-07-23,5834430002
2002-07-24,5976953184
2002-07-25,5812780912
2002-07-26,6216897275
2002-07-29,6543437730
2002-07-30,6501943639
2002-07-31,6559674548
2002-08-01,6505551821
2002-08-02,6289060912
2002-08-05,6103239548
2002-08-06,6157362275
2002-08-07,6265607730
2002-08-08,6505551821
2002-08-09,6501943639
2002-08-12,6474882275
2002-08-13,6292669094
2002-08-14,6480294548
2002-08-15,6568695003
2002-08-16,6527200912
2002-08-19,6633642276
2002-08-20,6565086821
2002-08-21,6556066366
2002-08-22,6731063185
2002-08-23,6655291366
2002-08-26,6666115912
2002-08-27,6556066366
2002-08-28,6473078185
2002-08-29,6431584094
2002-08-30,6501943639
2002-09-03,6281844548
2002-09-04,6447820912
2002-09-05,6363028639
2002-09-06,6310710003
2002-09-09,6328750912
2002-09-10,6222309548
2002-09-11,6135713184
2002-09-12,6016643184
2002-09-13,6029271821
2002-09-16,6007622730
2002-09-17,6011230912
2002-09-18,6052725003
2002-09-19,5973345003
2002-09-20,5939067275
2002-09-23,5912005912
2002-09-24,5787523639
2002-09-25,5910201821
2002-09-26,6119476366
2002-09-27,5890356821
2002-09-30,5762351765
2002-10-01,6062344048
2002-10-02,5783779785
2002-10-03,5678425353
2002-10-04,5553428568
2002-10-07,5458788145
2002-10-08,5587356267
2002-10-09,5294506657
2002-10-10,5426646115
2002-10-11,5480216166
2002-10-14,5498072849
2002-10-15,5762351765
2002-10-16,5728424066
2002-10-17,5931990258
2002-10-18,5944489937
2002-10-21,6081986400
2002-10-22,5949846942
2002-10-23,5923061916
2002-10-24,6053415706
2002-10-25,6387335687
2002-10-28,6248053556
2002-10-29,6156984470
2002-10-30,6149841797
2002-10-31,6153413134
2002-11-01,6158770139
2002-11-04,6231982541
2002-11-05,6262338903
2002-11-06,6348050984
2002-11-07,6178412491
2002-11-08,6101628751
2002-11-11,6033773354
2002-11-12,6105200088
2002-11-13,6115914098
2002-11-14,6219482863
2002-11-15,5989131645
2002-11-18,5931990258
2002-11-19,6019488007
2002-11-20,6064129716
2002-11-21,6139127787
2002-11-22,6205197516
2002-11-25,6189126501
2002-11-26,6106985757
2002-11-27,6228411204
2002-11-29,6235553878
2002-12-02,6228411204
2002-12-03,6192697837
2002-12-04,6174841154
2002-12-05,6114128430
2002-12-06,6160555807
2002-12-09,6048058701
2002-12-10,6183769496
2002-12-11,6271267245
2002-12-12,6237339546
2002-12-13,6180198159
2002-12-16,6315908953
2002-12-17,6215911526
2002-12-18,6164127144
2002-12-19,6081986400
2002-12-20,6181983827
2002-12-23,6174841154
2002-12-24,6173055485
2002-12-26,6164127144
2002-12-27,6089129073
2002-12-30,6144484792
2002-12-31,6115473000
2003-01-02,6295023000
2003-01-03,6260908500
2003-01-06,6402752999
2003-01-07,6304000500
2003-01-08,6237567000
2003-01-09,6399162000
2003-01-10,6363252000
2003-01-13,6368638500
2003-01-14,6402752999
2003-01-15,6248339999
2003-01-16,6172929000
2003-01-17,6099313500
2003-01-21,5986197000
2003-01-22,5987992500
2003-01-23,6043652999
2003-01-24,5858716500
2003-01-27,5838966000
2003-01-28,5871285000
2003-01-29,5878467000
2003-01-30,5783305500
2003-01-31,5828193000
2003-02-03,5829988500
2003-02-04,5614528500
2003-02-05,5589391500
2003-02-06,5650438500
2003-02-07,5628892500
2003-02-10,5718667500
2003-02-11,5670189000
2003-02-12,5643256500
2003-02-13,5689939500
2003-02-14,5797669500
2003-02-18,5821011000
2003-02-19,5772532500
2003-02-20,5738418000
2003-02-21,5855125500
2003-02-24,5743804500
2003-02-25,5752782000
2003-02-26,5679166500
2003-02-27,5788692000
2003-02-28,5772532500
2003-03-03,5779714500
2003-03-04,5697121500
2003-03-05,5781510000
2003-03-06,5689939500
2003-03-07,5752782000
2003-03-10,5630688000
2003-03-11,5598369000
2003-03-12,5479866000
2003-03-13,5646847500
2003-03-14,5704303500
2003-03-17,5876671499
2003-03-18,5831783999
2003-03-19,5905399500
2003-03-20,5887444500
2003-03-21,6022107000
2003-03-24,5779714500
2003-03-25,5865898500
2003-03-26,5812033500
2003-03-27,5840761500
2003-03-28,5781510000
2003-03-31,5611284000
2003-04-01,5731236000
2003-04-02,5856480000
2003-04-03,5782392000
2003-04-04,5830019999
2003-04-07,5826492000
2003-04-08,5794740000
2003-04-09,5775336000
2003-04-10,5784156000
2003-04-11,5764752000
2003-04-14,5860008000
2003-04-15,5902344000
2003-04-16,5858244000
2003-04-17,5900580000
2003-04-21,5884704000
2003-04-22,6080508000
2003-04-23,6076980000
2003-04-24,5967612000
2003-04-25,5893523999
2003-04-28,5942916000
2003-04-29,5886468000
2003-04-30,5897052000
2003-05-01,5957028000
2003-05-02,6039936000
2003-05-05,6027588000
2003-05-06,6045228000
2003-05-07,5990544000
2003-05-08,5900580000
2003-05-09,5907636000
2003-05-12,5997600000
2003-05-13,5946444000
2003-05-14,5911164000
2003-05-15,5919984000
2003-05-16,5958792000
2003-05-19,5824728000
2003-05-20,5755932000
2003-05-21,5740056000
2003-05-22,5764752000
2003-05-23,5770044000
2003-05-27,5824728000
2003-05-28,5838840000
2003-05-29,5803560000
2003-05-30,5934096000
2003-06-02,6015240000
2003-06-03,5944680000
2003-06-04,6020532000
2003-06-05,5992308000
2003-06-06,5960556000
2003-06-09,5912928000
2003-06-10,5964084000
2003-06-11,6099912000
2003-06-12,6145776000
2003-06-13,6126371999
2003-06-16,6290423999
2003-06-17,6221628000
2003-06-18,6188112000
2003-06-19,5983488000
2003-06-20,6002892000
2003-06-23,5946444000
2003-06-24,5976432000
2003-06-25,5969376000
2003-06-26,6024060000
2003-06-27,6025823999
2003-06-30,5917935475
2003-07-01,6016567733
2003-07-02,6071167733
2003-07-03,5990148378
2003-07-07,6145141926
2003-07-08,6122245152
2003-07-09,6076451604
2003-07-10,5960206442
2003-07-11,5977819346
2003-07-14,6182129023
2003-07-15,6268432248
2003-07-16,6291329023
2003-07-17,6192696765
2003-07-18,6298374184
2003-07-21,6259625797
2003-07-22,6263148377
2003-07-23,6143380636
2003-07-24,6125767732
2003-07-25,6229683861
2003-07-28,6307180635
2003-07-29,6247296765
2003-07-30,6212070958
2003-07-31,6278999990
2003-08-01,6219116119
2003-08-04,6175083861
2003-08-05,6090541926
2003-08-06,6212070958
2003-08-07,6233206442
2003-08-08,6263148377
2003-08-11,6226161281
2003-08-12,6268432248
2003-08-13,6231445152
2003-08-14,6298374184
2003-08-15,6266670958
2003-08-18,6349451603
2003-08-19,6349451603
2003-08-20,6354735474
2003-08-21,6370587087
2003-08-22,6323032248
2003-08-25,6324793539
2003-08-26,6351212893
2003-08-27,6331838700
2003-08-28,6400529022
2003-08-29,6446322571
2003-09-02,6529103216
2003-09-03,6603077409
2003-09-04,6596032248
2003-09-05,6515012893
2003-09-08,6566090312
2003-09-09,6559045151
2003-09-10,6490354829
2003-09-11,6555522571
2003-09-12,6518535474
2003-09-15,6439277409
2003-09-16,6551999990
2003-09-17,6504445151
2003-09-18,6634780635
2003-09-19,6599554829
2003-09-22,6470980635
2003-09-23,6580180635
2003-09-24,6539670958
2003-09-25,6455129022
2003-09-26,6400529022
2003-09-29,6470980635
2003-09-30,6399792000
2003-10-01,6528564000
2003-10-02,6496812000
2003-10-03,6572664000
2003-10-06,6567371999
2003-10-07,6607944000
2003-10-08,6585012000
2003-10-09,6498576000
2003-10-10,6472116000
2003-10-13,6551496000
2003-10-14,6599123999
2003-10-15,6586776000
2003-10-16,6616764000
2003-10-17,6525036000
2003-10-20,6519744000
2003-10-21,6509160000
2003-10-22,6447419999
2003-10-23,6465060000
2003-10-24,6445656000
2003-10-27,6461532000
2003-10-28,6461532000
2003-10-29,6549732000
2003-10-30,6547968000
2003-10-31,6562080000
2003-11-03,6622056000
2003-11-04,6549732000
2003-11-05,6463296000
2003-11-06,6525036000
2003-11-07,6463296000
2003-11-10,6477408000
2003-11-11,6493284000
2003-11-12,6498576000
2003-11-13,6519744000
2003-11-14,6489756000
2003-11-17,6480936000
2003-11-18,6403319999
2003-11-19,6415668000
2003-11-20,6371568000
2003-11-21,6378623999
2003-11-24,6461532000
2003-11-25,6452712000
2003-11-26,6533856000
2003-11-28,6512688000
2003-12-01,6630876000
2003-12-02,6627348000
2003-12-03,6600888000
2003-12-04,6555023999
2003-12-05,6590304000
2003-12-08,6646752000
2003-12-09,6618528000
2003-12-10,6581484000
2003-12-11,6659100000
2003-12-12,6599123999
2003-12-15,6540912000
2003-12-16,6576192000
2003-12-17,6560316000
2003-12-18,6655571999
2003-12-19,6637932000
2003-12-22,6616764000
2003-12-23,6604416000
2003-12-24,6618528000
2003-12-26,6607944000
2003-12-29,6687323999
2003-12-30,6643223999
2003-12-31,6661469862
2004-01-02,6694891548
2004-01-05,6735349380
2004-01-06,6700168657
2004-01-07,6682578295
2004-01-08,6649156609
2004-01-09,6617493958
2004-01-12,6657951789
2004-01-13,6606939741
2004-01-14,6775807211
2004-01-15,6763493958
2004-01-16,6826819259
2004-01-20,6821542150
2004-01-21,6902457813
2004-01-22,6872554198
2004-01-23,6819783114
2004-01-26,6956987933
2004-01-27,6939397572
2004-01-28,6821542150
2004-01-29,6893662632
2004-01-30,6911252994
2004-02-02,6909493957
2004-02-03,6941156608
2004-02-04,7048457812
2004-02-05,6979855403
2004-02-06,6995686728
2004-02-09,6988650584
2004-02-10,7029108415
2004-02-11,6990409620
2004-02-12,6979855403
2004-02-13,6932361427
2004-02-17,7018554198
2004-02-18,6983373475
2004-02-19,6939397572
2004-02-20,6928843355
2004-02-23,6965783114
2004-02-24,7044939740
2004-02-25,7036144560
2004-02-26,7074843355
2004-02-27,7180385523
2004-03-01,7164554198
2004-03-02,7143445764
2004-03-03,7217325282
2004-03-04,7254265041
2004-03-05,7257783113
2004-03-08,7175108415
2004-03-09,7095951788
2004-03-10,7025590343
2004-03-11,6895421668
2004-03-12,6969301186
2004-03-15,6844409620
2004-03-16,6860240946
2004-03-17,6949951789
2004-03-18,6941156608
2004-03-19,6904216849
2004-03-22,6819783114
2004-03-23,6758216849
2004-03-24,6756457813
2004-03-25,6786361428
2004-03-26,6730072271
2004-03-29,6814506006
2004-03-30,6818024078
2004-03-31,6941534105
2004-04-01,7050738650
2004-04-02,7101818196
2004-04-05,7189886378
2004-04-06,7174034105
2004-04-07,7077159105
2004-04-08,7091250014
2004-04-12,7107102287
2004-04-13,7029602287
2004-04-14,6996136378
2004-04-15,6918636377
2004-04-16,6973238650
2004-04-19,6922159105
2004-04-20,6823522741
2004-04-21,6821761377
2004-04-22,6994375014
2004-04-23,6908068196
2004-04-26,6876363650
2004-04-27,6960909105
2004-04-28,6904545468
2004-04-29,6871079559
2004-04-30,6849943195
2004-05-03,6929204559
2004-05-04,6881647741
2004-05-05,6856988650
2004-05-06,6841136377
2004-05-07,6760113650
2004-05-10,6768920468
2004-05-11,6834090923
2004-05-12,6897500014
2004-05-13,6927443196
2004-05-14,6960909105
2004-05-17,6846420468
2004-05-18,6948579559
2004-05-19,6925681832
2004-05-20,6967954559
2004-05-21,7024318196
2004-05-24,6978522741
2004-05-25,7029602287
2004-05-26,7085965923
2004-05-27,7184602287
2004-05-28,7170511378
2004-06-01,7142329560
2004-06-02,7269147742
2004-06-03,7212784105
2004-06-04,7246250014
2004-06-07,7320227287
2004-06-08,7348409106
2004-06-09,7209261378
2004-06-10,7285000015
2004-06-14,7193409105
2004-06-15,7186363651
2004-06-16,7203977287
2004-06-17,7209261378
2004-06-18,7152897742
2004-06-21,7121193196
2004-06-22,7144090923
2004-06-23,7082443196
2004-06-24,7068352287
2004-06-25,7140568196
2004-06-28,7142329560
2004-06-29,7168750014
2004-06-30,7314705872
2004-07-01,7289999990
2004-07-02,7323529402
2004-07-06,7300588225
2004-07-07,7265294107
2004-07-08,7221176460
2004-07-09,7288235284
2004-07-12,7341176460
2004-07-13,7318235284
2004-07-14,7244117637
2004-07-15,7109999990
2004-07-16,7090588225
2004-07-19,7152352931
2004-07-20,7120588225
2004-07-21,7018235284
2004-07-22,6944117637
2004-07-23,6801176461
2004-07-26,6781764696
2004-07-27,6758823520
2004-07-28,6718235285
2004-07-29,6707647049
2004-07-30,6702352932
2004-08-02,6711176461
2004-08-03,6744705873
2004-08-04,6785294108
2004-08-05,6682941167
2004-08-06,6637058814
2004-08-09,6675882344
2004-08-10,6737647049
2004-08-11,6771176461
2004-08-12,6730588226
2004-08-13,6684705873
2004-08-16,6769411755
2004-08-17,6749999991
2004-08-18,6746470579
2004-08-19,6723529402
2004-08-20,6712941167
2004-08-23,6732352932
