,YUM
2000-06-26,2879120000
2000-06-27,2873280000
2000-06-28,2867440000
2000-06-29,2820720000
2000-06-30,2966720000
2000-07-03,3001760000
2000-07-05,3048480000
2000-07-06,3124400000
2000-07-07,3358000000
2000-07-10,3299600000
2000-07-11,3293760000
2000-07-12,3188640000
2000-07-13,3030960000
2000-07-14,3066000000
2000-07-17,3019280000
2000-07-18,2884960000
2000-07-19,2943360000
2000-07-20,2920000000
2000-07-21,2826560000
2000-07-24,2779840000
2000-07-25,2733120000
2000-07-26,2663040000
2000-07-27,2517040000
2000-07-28,2493679999
2000-07-31,2546240000
2000-08-01,2709760000
2000-08-02,2879120000
2000-08-03,2879120000
2000-08-04,2914160000
2000-08-07,2908320000
2000-08-08,2990080000
2000-08-09,2937520000
2000-08-10,3042640000
2000-08-11,3147760000
2000-08-14,3130240000
2000-08-15,3136080000
2000-08-16,3042640000
2000-08-17,3042640000
2000-08-18,3241200000
2000-08-21,3398880000
2000-08-22,3282080000
2000-08-23,3305440000
2000-08-24,3176960000
2000-08-25,3153600000
2000-08-28,3118560000
2000-08-29,3124400000
2000-08-30,3089360000
2000-08-31,3060160000
2000-09-01,3136080000
2000-09-05,3163440000
2000-09-06,3175200000
2000-09-07,3381000000
2000-09-08,3298680000
2000-09-11,3281040000
2000-09-12,3234000000
2000-09-13,3245759999
2000-09-14,3204600000
2000-09-15,3263400000
2000-09-18,3198720000
2000-09-19,3075240000
2000-09-20,3087000000
2000-09-21,3128160000
2000-09-22,3075240000
2000-09-25,3139920000
2000-09-26,3139920000
2000-09-27,3087000000
2000-09-28,3139920000
2000-09-29,3234000000
2000-10-02,3257520000
2000-10-03,3122280000
2000-10-04,3169320000
2000-10-05,3286920000
2000-10-06,3163440000
2000-10-09,3222240000
2000-10-10,3181080000
2000-10-11,3151680000
2000-10-12,2822400000
2000-10-13,2910600000
2000-10-16,2951759999
2000-10-17,2904720000
2000-10-18,2992920000
2000-10-19,2957640000
2000-10-20,2928240000
2000-10-23,2887080000
2000-10-24,2857680000
2000-10-25,2834160000
2000-10-26,2804759999
2000-10-27,2798880000
2000-10-30,3051720000
2000-10-31,3169320000
2000-11-01,3204600000
2000-11-02,3175200000
2000-11-03,3169320000
2000-11-06,3228120000
2000-11-07,3222240000
2000-11-08,3198720000
2000-11-09,3210480000
2000-11-10,3163440000
2000-11-13,3192840000
2000-11-14,3251640000
2000-11-15,3492720000
2000-11-16,3575040000
2000-11-17,3698520000
2000-11-20,3757320000
2000-11-21,3751440000
2000-11-22,3763200000
2000-11-24,3757320000
2000-11-27,3757320000
2000-11-28,3874920000
2000-11-29,3951360000
2000-11-30,3804360000
2000-12-01,3622080000
2000-12-04,3657360000
2000-12-05,3610320000
2000-12-06,3592680000
2000-12-07,3663240000
2000-12-08,3663240000
2000-12-11,3704400000
2000-12-12,3769080000
2000-12-13,3651480000
2000-12-14,3557400000
2000-12-15,3533880000
2000-12-18,3704400000
2000-12-19,3739680000
2000-12-20,3586800000
2000-12-21,3398640000
2000-12-22,3375120000
2000-12-26,3351600000
2000-12-27,3416280000
2000-12-28,3533880000
2000-12-29,3486840000
2001-01-02,3375120000
2001-01-03,3569160000
2001-01-04,3575040000
2001-01-05,3463320000
2001-01-08,3439800000
2001-01-09,3422160000
2001-01-10,3451560000
2001-01-11,3375120000
2001-01-12,3451560000
2001-01-16,3575040000
2001-01-17,3710280000
2001-01-18,3710280000
2001-01-19,3592680000
2001-01-22,3604440000
2001-01-23,3675000000
2001-01-24,3569160000
2001-01-25,3545640000
2001-01-26,3651480000
2001-01-29,3710280000
2001-01-30,3798480000
2001-01-31,3804360000
2001-02-01,3798480000
2001-02-02,3727920000
2001-02-05,3669120000
2001-02-06,3792600000
2001-02-07,3792600000
2001-02-08,3774960000
2001-02-09,3698520000
2001-02-12,3704400000
2001-02-13,3804360000
2001-02-14,3692640000
2001-02-15,3727920000
2001-02-16,3910200000
2001-02-20,4051320000
2001-02-21,3916080000
2001-02-22,3921960000
2001-02-23,3898440000
2001-02-26,3933720000
2001-02-27,4039560000
2001-02-28,4068960000
2001-03-01,4121880000
2001-03-02,4068960000
2001-03-05,4039560000
2001-03-06,3974880000
2001-03-07,4021920000
2001-03-08,4198320000
2001-03-09,4221840000
2001-03-12,4104240000
2001-03-13,3980759999
2001-03-14,3880800000
2001-03-15,3833759999
2001-03-16,3798480000
2001-03-19,3916080000
2001-03-20,3904320000
2001-03-21,3927840000
2001-03-22,3804360000
2001-03-23,3739680000
2001-03-26,3741367087
2001-03-27,3706126581
2001-03-28,3835341771
2001-03-29,3964556961
2001-03-30,4029164555
2001-04-02,4035037973
2001-04-03,3923443036
2001-04-04,3988050631
2001-04-05,4017417720
2001-04-06,3917569619
2001-04-09,3993924049
2001-04-10,3982177214
2001-04-11,3923443036
2001-04-12,3952810125
2001-04-16,4017417720
2001-04-17,4005670885
2001-04-18,4123139239
2001-04-19,4222987340
2001-04-20,4222987340
2001-04-23,4328708859
2001-04-24,4410936707
2001-04-25,4528405062
2001-04-26,4593012657
2001-04-27,4610632910
2001-04-30,4733974682
2001-05-01,4722227846
2001-05-02,4457924049
2001-05-03,4334582277
2001-05-04,4428556960
2001-05-07,4399189872
2001-05-08,4375696201
2001-05-09,4358075948
2001-05-10,4375696201
2001-05-11,4440303796
2001-05-14,4457924049
2001-05-15,4481417720
2001-05-16,4446177214
2001-05-17,4434430378
2001-05-18,4534278479
2001-05-21,4522531644
2001-05-22,4587139239
2001-05-23,4569518986
2001-05-24,4710481011
2001-05-25,4751594935
2001-05-29,4810329112
2001-05-30,4886683543
2001-05-31,4822075948
2001-06-01,4886683543
2001-06-04,4863189872
2001-06-05,4816202530
2001-06-06,4692860758
2001-06-07,4775088606
2001-06-08,4833822783
2001-06-11,4880810125
2001-06-12,5027645568
2001-06-13,5045265821
2001-06-14,4957164555
2001-06-15,4951291137
2001-06-18,4886280000
2001-06-19,4856880000
2001-06-20,4886280000
2001-06-21,4868640000
2001-06-22,4768680000
2001-06-25,4686360000
2001-06-26,4615800000
2001-06-27,4586400000
2001-06-28,4639320000
2001-06-29,4639320000
2001-07-02,4633440000
2001-07-03,4627560000
2001-07-05,4651080000
2001-07-06,4533480000
2001-07-09,4609920000
2001-07-10,4545240000
2001-07-11,4521720000
2001-07-12,4492320000
2001-07-13,4627560000
2001-07-16,4780440000
2001-07-17,4692240000
2001-07-18,4639320000
2001-07-19,4651080000
2001-07-20,4756920000
2001-07-23,4780440000
2001-07-24,4762800000
2001-07-25,4774560000
2001-07-26,4721640000
2001-07-27,4598160000
2001-07-30,4798080000
2001-07-31,4833360000
2001-08-01,4833360000
2001-08-02,4803960000
2001-08-03,4768680000
2001-08-06,4692240000
2001-08-07,4586400000
2001-08-08,4598160000
2001-08-09,4633440000
2001-08-10,4609920000
2001-08-13,4586400000
2001-08-14,4609920000
2001-08-15,4598160000
2001-08-16,4633440000
2001-08-17,4656960000
2001-08-20,4698120000
2001-08-21,4680480000
2001-08-22,4680480000
2001-08-23,4698120000
2001-08-24,4698120000
2001-08-27,4662840000
2001-08-28,4645200000
2001-08-29,4651080000
2001-08-30,4668720000
2001-08-31,4504080000
2001-09-04,4445280000
2001-09-05,4433520000
2001-09-06,4310040000
2001-09-07,4298280000
2001-09-10,4254600001
2001-09-17,4092520001
2001-09-18,4127251429
2001-09-19,4046211429
2001-09-20,4104097143
2001-09-21,4011480000
2001-09-24,4069365715
2001-09-25,4080942858
2001-09-26,4075154286
2001-09-27,4080942858
2001-09-28,4080942858
2001-10-01,3965171429
2001-10-02,4052000001
2001-10-03,4329851429
2001-10-04,4376160001
2001-10-05,4399314286
2001-10-08,4341428572
2001-10-09,4353005715
2001-10-10,4399314286
2001-10-11,4613491429
2001-10-12,4642434286
2001-10-15,4682954286
2001-10-16,4839245715
2001-10-17,4949228572
2001-10-18,5047634286
2001-10-19,5203925715
2001-10-22,5169194286
2001-10-23,4891342858
2001-10-24,4966594286
2001-10-25,5059211429
2001-10-26,5146040001
2001-10-29,5192348572
2001-10-30,5174982858
2001-10-31,5261811429
2001-11-01,5325485715
2001-11-02,5313908572
2001-11-05,5331274287
2001-11-06,5452834287
2001-11-07,5261811429
2001-11-08,5308120001
2001-11-09,5296542858
2001-11-12,5284965715
2001-11-13,5331274287
2001-11-14,5313908572
2001-11-15,5308120001
2001-11-16,5250234287
2001-11-19,5140251429
2001-11-20,5088154286
2001-11-21,5036057144
2001-11-23,5082365715
2001-11-26,5117097144
2001-11-27,5065000001
2001-11-28,5024480001
2001-11-29,5007114286
2001-11-30,4937651429
2001-12-03,4989748572
2001-12-04,5140251429
2001-12-05,5157617144
2001-12-06,5192348572
2001-12-07,5128674286
2001-12-10,5163405715
2001-12-11,5203925715
2001-12-12,5261811429
2001-12-13,5261811429
2001-12-14,5383371429
2001-12-17,5522297144
2001-12-18,5470200001
2001-12-19,5354428572
2001-12-20,5325485715
2001-12-21,5273388572
2001-12-24,5273388572
2001-12-26,5203925715
2001-12-27,5157617144
2001-12-28,5122885715
2001-12-31,5241306720
2002-01-02,5116796040
2002-01-03,5223519480
2002-01-04,5425108200
2002-01-07,5525902560
2002-01-08,5632626000
2002-01-09,5638555080
2002-01-10,5685987720
2002-01-11,5662271400
2002-01-14,5620767840
2002-01-15,5680058640
2002-01-16,5656342319
2002-01-17,5656342319
2002-01-18,5668200480
2002-01-22,5597051520
2002-01-23,5727491280
2002-01-24,5644484160
2002-01-25,5543689800
2002-01-28,5656342319
2002-01-29,5685987720
2002-01-30,5786782080
2002-01-31,5946867240
2002-02-01,5881647360
2002-02-04,5881647360
2002-02-05,5952796319
2002-02-06,5857931040
2002-02-07,5810498400
2002-02-08,5810498400
2002-02-11,5786782080
2002-02-12,5721562200
2002-02-13,5917221840
2002-02-14,5970583560
2002-02-15,5917221840
2002-02-19,5946867240
2002-02-20,5964654480
2002-02-21,5863860120
2002-02-22,6029874360
2002-02-25,6201817680
2002-02-26,6172172280
2002-02-27,6219604920
2002-02-28,6302612040
2002-03-01,6302612040
2002-03-04,6373761000
2002-03-05,6326328360
2002-03-06,6385619160
2002-03-07,6338186520
2002-03-08,6195888600
2002-03-11,6130668720
2002-03-12,5923150920
2002-03-13,6029874360
2002-03-14,6124739640
2002-03-15,6231463080
2002-03-18,6207746760
2002-03-19,6231463080
2002-03-20,6284824800
2002-03-21,6195888600
2002-03-22,6154385040
2002-03-25,6165720000
2002-03-26,6284520000
2002-03-27,6379560000
2002-03-28,6272640000
2002-04-01,6207300000
2002-04-02,6272640000
2002-04-03,6213240000
2002-04-04,6242940000
2002-04-05,6314220000
2002-04-08,6403320000
2002-04-09,6528060000
2002-04-10,6652800000
2002-04-11,6599340000
2002-04-12,6652800000
2002-04-15,6575580000
2002-04-16,6539940000
2002-04-17,6391440000
2002-04-18,6498360000
2002-04-19,6563700000
2002-04-22,6682500000
2002-04-23,6712200000
2002-04-24,6765660000
2002-04-25,6783480000
2002-04-26,6575580000
2002-04-29,6539940000
2002-04-30,6730020000
2002-05-01,6593400000
2002-05-02,6735960000
2002-05-03,6706259999
2002-05-06,6718140000
2002-05-07,6759720000
2002-05-08,6795360000
2002-05-09,6795360000
2002-05-10,6747840000
2002-05-13,6807240000
2002-05-14,6848820000
2002-05-15,6926040000
2002-05-16,6896340000
2002-05-17,6943860000
2002-05-20,6973560000
2002-05-21,6931980000
2002-05-22,6884460000
2002-05-23,6890400000
2002-05-24,6801300000
2002-05-28,6777540000
2002-05-29,6866640000
2002-05-30,6789420000
2002-05-31,6819120000
2002-06-03,6771600000
2002-06-04,6712200000
2002-06-05,6931980000
2002-06-06,6955740000
2002-06-07,6967620000
2002-06-10,7003259999
2002-06-11,6896340000
2002-06-12,6878520000
2002-06-13,6831000000
2002-06-14,6688440000
2002-06-17,6842880000
2002-06-18,6937920000
2002-06-19,6926040000
2002-06-20,7021080000
2002-06-21,6931980000
2002-06-24,6813180000
2002-06-25,6545880000
2002-06-26,6510240000
2002-06-27,6581520000
2002-06-28,6242940000
2002-07-01,6242940000
2002-07-02,6177600000
2002-07-03,6029100000
2002-07-05,6106320000
2002-07-08,6064740000
2002-07-09,5839020000
2002-07-10,5880600000
2002-07-11,5732100000
2002-07-12,5654880000
2002-07-15,5458860000
2002-07-16,5547960000
2002-07-17,5637060000
2002-07-18,5506380000
2002-07-19,5286600000
2002-07-22,5114340000
2002-07-23,5369759999
2002-07-24,6165720000
2002-07-25,6082560000
2002-07-26,6237000000
2002-07-29,6337980000
2002-07-30,6314220000
2002-07-31,6599340000
2002-08-01,6023160000
2002-08-02,5654880000
2002-08-05,5749920000
2002-08-06,5963759999
2002-08-07,6094440000
2002-08-08,6219180000
2002-08-09,6260759999
2002-08-12,6242940000
2002-08-13,6005340000
2002-08-14,6231060000
2002-08-15,6510240000
2002-08-16,6385500000
2002-08-19,6563700000
2002-08-20,6421140000
2002-08-21,6444900000
2002-08-22,6539940000
2002-08-23,6516180000
2002-08-26,6510240000
2002-08-27,6629040000
2002-08-28,6617160000
2002-08-29,6575580000
2002-08-30,6474600000
2002-09-03,6373620000
2002-09-04,6456780000
2002-09-05,6605280000
2002-09-06,6724080000
2002-09-09,6610080000
2002-09-10,6322939999
2002-09-11,6153000000
2002-09-12,6299500000
2002-09-13,6176439999
2002-09-16,6182300000
2002-09-17,5742800000
2002-09-18,5912740000
2002-09-19,5871720000
2002-09-20,5918600000
2002-09-23,5854140000
2002-09-24,5754520000
2002-09-25,5947900000
2002-09-26,6012360000
2002-09-27,5901020000
2002-09-30,5836560000
2002-10-01,6188160000
2002-10-02,6223320000
2002-10-03,6229180000
2002-10-04,6147140000
2002-10-07,6111980000
2002-10-08,6223320000
2002-10-09,6264340000
2002-10-10,4963420000
2002-10-11,4805200000
2002-10-14,4875520000
2002-10-15,4629400000
2002-10-16,4488760000
2002-10-17,4723160000
2002-10-18,4922400000
2002-10-21,5162660000
2002-10-22,5186100000
2002-10-23,5162660000
2002-10-24,4904820000
2002-10-25,4986860000
2002-10-28,4969280000
2002-10-29,4975140000
2002-10-30,4863800000
2002-10-31,4746600000
2002-11-01,4846220000
2002-11-04,4781760000
2002-11-05,4729020000
2002-11-06,4711439999
2002-11-07,4805200000
2002-11-08,4664560000
2002-11-11,4529780000
2002-11-12,4582520000
2002-11-13,4582520000
2002-11-14,4670420000
2002-11-15,4770040000
2002-11-18,4816920000
2002-11-19,4811060000
2002-11-20,4928260000
2002-11-21,4998580000
2002-11-22,5004439999
2002-11-25,5051320000
2002-11-26,4969280000
2002-11-27,5039600000
2002-11-29,5033740000
2002-12-02,5045460000
2002-12-03,4934120000
2002-12-04,5022020000
2002-12-05,5016160000
2002-12-06,5027880000
2002-12-09,4834500000
2002-12-10,4740740000
2002-12-11,4729020000
2002-12-12,4898960000
2002-12-13,4898960000
2002-12-16,4922400000
2002-12-17,4887240000
2002-12-18,5022020000
2002-12-19,4928260000
2002-12-20,5039600000
2002-12-23,4945840000
2002-12-24,5004439999
2002-12-26,5074760000
2002-12-27,5080620000
2002-12-30,5104060000
2002-12-31,5104060000
2003-01-02,5291580000
2003-01-03,5168520000
2003-01-06,5262280000
2003-01-07,5297439999
2003-01-08,5320880000
2003-01-09,5274000000
2003-01-10,5367760000
2003-01-13,5221260000
2003-01-14,5344320000
2003-01-15,5338460000
2003-01-16,5227120000
2003-01-17,5268140000
2003-01-21,5203680000
2003-01-22,5209540000
2003-01-23,5115780000
2003-01-24,5145080000
2003-01-27,4981000000
2003-01-28,4969280000
2003-01-29,5063040000
2003-01-30,4916540000
2003-01-31,4881380000
2003-02-03,5004439999
2003-02-04,4881380000
2003-02-05,4729020000
2003-02-06,4693860000
2003-02-07,4646980000
2003-02-10,4723160000
2003-02-11,5010300000
2003-02-12,4869660000
2003-02-13,4787620000
2003-02-14,4969280000
2003-02-18,4893100000
2003-02-19,4857939999
2003-02-20,4857939999
2003-02-21,4975140000
2003-02-24,4852080000
2003-02-25,4828640000
2003-02-26,4764180000
2003-02-27,4951700000
2003-02-28,5016160000
2003-03-03,4916540000
2003-03-04,4875520000
2003-03-05,4852080000
2003-03-06,4764180000
2003-03-07,4846220000
2003-03-10,4705580000
2003-03-11,4723160000
2003-03-12,4682140000
2003-03-13,4963420000
2003-03-14,4998580000
2003-03-17,5215400000
2003-03-18,5203680000
2003-03-19,5227120000
2003-03-20,5250560000
2003-03-21,5426360000
2003-03-24,5145080000
2003-03-25,5168520000
2003-03-26,5150939999
2003-03-27,5174380000
2003-03-28,5186100000
2003-03-31,5127500000
2003-04-01,5045460000
2003-04-02,5180240000
2003-04-03,5086480000
2003-04-04,5080620000
2003-04-07,5121640000
2003-04-08,5180240000
2003-04-09,5109920000
2003-04-10,5209540000
2003-04-11,5227120000
2003-04-14,5180240000
2003-04-15,5279860000
2003-04-16,5127500000
2003-04-17,5221260000
2003-04-21,5186100000
2003-04-22,5074760000
2003-04-23,4928260000
2003-04-24,5244700000
2003-04-25,5162660000
2003-04-28,5268140000
2003-04-29,5215400000
2003-04-30,5203680000
2003-05-01,5156800000
2003-05-02,5262280000
2003-05-05,5250560000
2003-05-06,5426360000
2003-05-07,5402920000
2003-05-08,5291580000
2003-05-09,5326740000
2003-05-12,5461520000
2003-05-13,5449800000
2003-05-14,5479100000
2003-05-15,5555280000
2003-05-16,5531840000
2003-05-19,5567000000
2003-05-20,5537700000
2003-05-21,5596300000
2003-05-22,5537700000
2003-05-23,5584580000
2003-05-27,5649040000
2003-05-28,5643180000
2003-05-29,5772100000
2003-05-30,5889300000
2003-06-02,5865860000
2003-06-03,5824840000
2003-06-04,5912740000
2003-06-05,5983060000
2003-06-06,5994780000
2003-06-09,5977200000
2003-06-10,5988920000
2003-06-11,6012360000
2003-06-12,5959620000
2003-06-13,5965480000
2003-06-16,6032880000
2003-06-17,6074040000
2003-06-18,6091680000
2003-06-19,6185760000
2003-06-20,6226920000
2003-06-23,6144600000
2003-06-24,6185760000
2003-06-25,6085800000
2003-06-26,6103440000
2003-06-27,6185760000
2003-06-30,6250440000
2003-07-01,6315120000
2003-07-02,6373920000
2003-07-03,6338640000
2003-07-07,6438600000
2003-07-08,6515040000
2003-07-09,6379800000
2003-07-10,6344519999
2003-07-11,6356280000
2003-07-14,6415080000
2003-07-15,6268080000
2003-07-16,6262200000
2003-07-17,6115200000
2003-07-18,6179880000
2003-07-21,6115200000
2003-07-22,6091680000
2003-07-23,6091680000
2003-07-24,6038760000
2003-07-25,6138720000
2003-07-28,6174000000
2003-07-29,6197519999
2003-07-30,6268080000
2003-07-31,6326880000
2003-08-01,6321000000
2003-08-04,6297480000
2003-08-05,6244560000
2003-08-06,6144600000
2003-08-07,6085800000
2003-08-08,6150480000
2003-08-11,6121080000
2003-08-12,6250440000
2003-08-13,6221040000
2003-08-14,6226920000
2003-08-15,6197519999
2003-08-18,6185760000
2003-08-19,6156360000
2003-08-20,6162240000
2003-08-21,6144600000
2003-08-22,6068160000
2003-08-25,6085800000
2003-08-26,6121080000
2003-08-27,6209280000
2003-08-28,6256320000
2003-08-29,6268080000
2003-09-02,6426840000
2003-09-03,6468000000
2003-09-04,6420960000
2003-09-05,6332760000
2003-09-08,6303360000
2003-09-09,6291600000
2003-09-10,6268080000
2003-09-11,6262200000
2003-09-12,6268080000
2003-09-15,6338640000
2003-09-16,6391560000
2003-09-17,6368040000
2003-09-18,6456240000
2003-09-19,6444480000
2003-09-22,6403320000
2003-09-23,6520920000
2003-09-24,6420960000
2003-09-25,6291600000
2003-09-26,6215160000
2003-09-29,6256320000
2003-09-30,6262200000
2003-10-01,6620880000
2003-10-02,6626760000
2003-10-03,6567960000
2003-10-06,6535860000
2003-10-07,6605700000
2003-10-08,6693000000
2003-10-09,6786120000
2003-10-10,6710460000
2003-10-13,6791940000
2003-10-14,6826860000
2003-10-15,6855960000
2003-10-16,6925800000
2003-10-17,6972360000
2003-10-20,6989820000
2003-10-21,6879240000
2003-10-22,6879240000
2003-10-23,6919980000
2003-10-24,6902520000
2003-10-27,6925800000
2003-10-28,7001460000
2003-10-29,7094580000
2003-10-30,7106220000
2003-10-31,7141140000
2003-11-03,7123680000
2003-11-04,7065480000
2003-11-05,7088760000
2003-11-06,7170240000
2003-11-07,7176060000
2003-11-10,7146960000
2003-11-11,7146960000
2003-11-12,7228440000
2003-11-13,7257540000
2003-11-14,7210980000
2003-11-17,7065480000
2003-11-18,6931620000
2003-11-19,6850140000
2003-11-20,6821040000
2003-11-21,6803580000
2003-11-24,7042200000
2003-11-25,7082940000
2003-11-26,7181880000
2003-11-28,7216800000
2003-12-01,7350660000
2003-12-02,7321560000
2003-12-03,7304100000
2003-12-04,7275000000
2003-12-05,7094580000
2003-12-08,7304100000
2003-12-09,7164420000
2003-12-10,7170240000
2003-12-11,7152779999
2003-12-12,7018920000
2003-12-15,7071300000
2003-12-16,6966540000
2003-12-17,6861779999
2003-12-18,6896700000
2003-12-19,6861779999
2003-12-22,6966540000
2003-12-23,7065480000
2003-12-24,7053840000
2003-12-26,7036380000
2003-12-29,7141140000
2003-12-30,7205160000
2003-12-31,7199340000
2004-01-02,7013100000
2004-01-05,7117860000
2004-01-06,7333200000
2004-01-07,7205160000
2004-01-08,7228440000
2004-01-09,7146960000
2004-01-12,7216800000
2004-01-13,7146960000
2004-01-14,7240080000
2004-01-15,7234260000
2004-01-16,7193520000
2004-01-20,7152779999
2004-01-21,7292460000
2004-01-22,7292460000
2004-01-23,7339020000
2004-01-26,7362300000
2004-01-27,7106220000
2004-01-28,6984000000
2004-01-29,6809400000
2004-01-30,7094580000
2004-02-02,7059660000
2004-02-03,6995640000
2004-02-04,6925800000
2004-02-05,6908340000
2004-02-06,6954900000
2004-02-09,6914160000
2004-02-10,6943260000
2004-02-11,7053840000
2004-02-12,7379760000
2004-02-13,7385580000
2004-02-17,7432140000
2004-02-18,7397220000
2004-02-19,7449600000
2004-02-20,7455420000
2004-02-23,7432140000
2004-02-24,7420500000
2004-02-25,7542720000
2004-02-26,7746420000
2004-02-27,7746420000
2004-03-01,7792980000
2004-03-02,7775520000
2004-03-03,7857000000
2004-03-04,7973400000
2004-03-05,8008320000
2004-03-08,7926840000
2004-03-09,7967580000
2004-03-10,7763880000
2004-03-11,7787160000
2004-03-12,7775520000
2004-03-15,7746420000
2004-03-16,7723140000
2004-03-17,7880279999
2004-03-18,7798800000
2004-03-19,7763880000
2004-03-22,7680262290
2004-03-23,7796983601
2004-03-24,7756131142
2004-03-25,7855344257
2004-03-26,7861180322
2004-03-29,7972065568
2004-03-30,8106295076
2004-03-31,7972065568
2004-04-01,7983737699
2004-04-02,8077114748
2004-04-05,8281377043
2004-04-06,8182163929
2004-04-07,8135475404
2004-04-08,8187999994
2004-04-12,8205508191
2004-04-13,8007081962
2004-04-14,7931213109
2004-04-15,7867016388
2004-04-16,8053770486
2004-04-19,7919540978
2004-04-20,7680262290
2004-04-21,7575213109
2004-04-22,8287213109
2004-04-23,8193836060
2004-04-26,8170491798
2004-04-27,8135475404
2004-04-28,8112131142
2004-04-29,8106295076
2004-04-30,8135475404
2004-05-03,8240524584
2004-05-04,8129639339
2004-05-05,8199672125
2004-05-06,8141311470
2004-05-07,7919540978
2004-05-10,7878688519
2004-05-11,7919540978
2004-05-12,7826163929
2004-05-13,7616065568
2004-05-14,7621901634
2004-05-17,7604393437
2004-05-18,7680262290
2004-05-19,7592721306
2004-05-20,7493508191
2004-05-21,7627737699
2004-05-24,7656918027
2004-05-25,7703606552
2004-05-26,7721114749
2004-05-27,7662754093
2004-05-28,7867016388
2004-06-01,7773639339
2004-06-02,7785311470
2004-06-03,7767803273
2004-06-04,7773639339
2004-06-07,7761967208
2004-06-08,7972065568
2004-06-09,7896196716
2004-06-10,7855344257
2004-06-14,7665937500
2004-06-15,7770000000
2004-06-16,7827812499
2004-06-17,7850937500
2004-06-18,7897187500
2004-06-21,7775781250
2004-06-22,7781562500
2004-06-23,7775781250
2004-06-24,7822031250
2004-06-25,7816250000
2004-06-28,7729531250
2004-06-29,7735312500
2004-06-30,7735312500
2004-07-01,7694843750
2004-07-02,7608125000
2004-07-06,7457812500
2004-07-07,7538749999
2004-07-08,7469375000
2004-07-09,7486718750
2004-07-12,7625468750
2004-07-13,7689062500
2004-07-14,7885625000
2004-07-15,8082187500
2004-07-16,8001250000
2004-07-19,8122656250
2004-07-20,8157343750
2004-07-21,7978125000
2004-07-22,7931875000
2004-07-23,7879843750
2004-07-26,7920312500
2004-07-27,8111093750
2004-07-28,8001250000
2004-07-29,7983906250
2004-07-30,7978125000
2004-08-02,8018593750
2004-08-03,7949218750
2004-08-04,7920312500
2004-08-05,7717968750
2004-08-06,7642812500
2004-08-09,7717968750
2004-08-10,7845156250
2004-08-11,7712187500
2004-08-12,7700625000
2004-08-13,7781562500
2004-08-16,7770000000
2004-08-17,7874062500
2004-08-18,7989687500
2004-08-19,7972343749
2004-08-20,8111093750
2004-08-23,8064843750
