,FFIV
2001-06-26,378185760
2001-06-27,392611860
2001-06-28,406150200
2001-06-29,389948580
2001-07-02,440305920
2001-07-03,444768480
2001-07-05,434851680
2001-07-06,418984799
2001-07-09,428901600
2001-07-10,419976480
2001-07-11,372127920
2001-07-12,399151200
2001-07-13,402870000
2001-07-16,379813440
2001-07-17,378573840
2001-07-18,360723600
2001-07-19,366673680
2001-07-20,354525600
2001-07-23,364938240
2001-07-24,342625440
2001-07-25,324775200
2001-07-26,379813440
2001-07-27,384276000
2001-07-30,365929920
2001-07-31,362211120
2001-08-01,354525600
2001-08-02,342377520
2001-08-03,353781840
2001-08-06,343617120
2001-08-07,344360880
2001-08-08,323535600
2001-08-09,310147920
2001-08-10,294776880
2001-08-13,315602160
2001-08-14,302462400
2001-08-15,334692000
2001-08-16,325766880
2001-08-17,361715280
2001-08-20,358244400
2001-08-21,363202800
2001-08-22,384028080
2001-08-23,391217760
2001-08-24,415513920
2001-08-27,426670320
2001-08-28,381796800
2001-08-29,367417440
2001-08-30,371880000
2001-08-31,392209440
2001-09-04,349815120
2001-09-05,331221120
2001-09-06,322296000
2001-09-07,359484000
2001-09-10,345600480
2001-09-17,334692000
2001-09-18,319816800
2001-09-19,306677040
2001-09-20,283620480
2001-09-21,281389200
2001-09-24,322048080
2001-09-25,299983200
2001-09-26,257836800
2001-09-27,220896720
2001-09-28,230069759
2001-10-01,180650580
2001-10-02,212251989
2001-10-03,231163069
2001-10-04,273464170
2001-10-05,263510970
2001-10-08,270727040
2001-10-09,302328450
2001-10-10,319000060
2001-10-11,367024250
2001-10-12,393151400
2001-10-15,394644380
2001-10-16,398376830
2001-10-17,366277760
2001-10-18,366775420
2001-10-19,383944690
2001-10-22,383198200
2001-10-23,374240320
2001-10-24,376230960
2001-10-25,395390870
2001-10-26,411813650
2001-10-29,377972770
2001-10-30,367024250
2001-10-31,375484470
2001-11-01,416790250
2001-11-02,420771530
2001-11-05,447147510
2001-11-06,495420530
2001-11-07,529012580
2001-11-08,464814440
2001-11-09,477504770
2001-11-12,508110860
2001-11-13,547674830
2001-11-14,575792620
2001-11-15,529261410
2001-11-16,535233330
2001-11-19,581515710
2001-11-20,561609310
2001-11-21,547923660
2001-11-23,565341760
2001-11-26,586243480
2001-11-27,587487630
2001-11-28,545435360
2001-11-29,576787940
2001-11-30,555637390
2001-12-03,550909620
2001-12-04,599680300
2001-12-05,624563300
2001-12-06,624563300
2001-12-07,633272350
2001-12-10,625807450
2001-12-11,683038350
2001-12-12,634516500
2001-12-13,661887800
2001-12-14,625558620
2001-12-17,635511820
2001-12-18,597192000
2001-12-19,546430680
2001-12-20,505622560
2001-12-21,530256729
2001-12-24,523040660
2001-12-26,539961100
2001-12-27,529261410
2001-12-28,541702910
2001-12-31,542872620
2002-01-02,536571870
2002-01-03,606888240
2002-01-04,619489740
2002-01-07,574376370
2002-01-08,528758940
2002-01-09,481629330
2002-01-10,470035949
2002-01-11,460206780
2002-01-14,474572489
2002-01-15,495743010
2002-01-16,500027520
2002-01-17,540604350
2002-01-18,491962560
2002-01-22,482133390
2002-01-23,479361060
2002-01-24,460206780
2002-01-25,494230830
2002-01-28,518677739
2002-01-29,545140890
2002-01-30,558750510
2002-01-31,589246140
2002-02-01,549425400
2002-02-04,522458190
2002-02-05,491458500
2002-02-06,482133390
2002-02-07,527498790
2002-02-08,509856690
2002-02-11,518929770
2002-02-12,583701480
2002-02-13,591514410
2002-02-14,573872310
2002-02-15,583449450
2002-02-19,517669620
2002-02-20,550181490
2002-02-21,576140580
2002-02-22,571099980
2002-02-25,580425090
2002-02-26,623018160
2002-02-27,619237710
2002-02-28,550685550
2002-03-01,540604350
2002-03-04,606888240
2002-03-05,604872000
2002-03-06,560262690
2002-03-07,543124650
2002-03-08,573368250
2002-03-11,641416350
2002-03-12,636375750
2002-03-13,643180560
2002-03-14,633351390
2002-03-15,637635900
2002-03-18,660570630
2002-03-19,650237400
2002-03-20,603611850
2002-03-21,657798300
2002-03-22,657042210
2002-03-25,631083120
2002-03-26,606384180
2002-03-27,597311100
2002-03-28,585717720
2002-04-01,585308040
2002-04-02,537553850
2002-04-03,549300870
2002-04-04,437959549
2002-04-05,430043080
2002-04-08,420339020
2002-04-09,410379590
2002-04-10,402973860
2002-04-11,382033520
2002-04-12,377181490
2002-04-15,383055000
2002-04-16,394291280
2002-04-17,378713710
2002-04-18,373861680
2002-04-19,365434470
2002-04-22,334023960
2002-04-23,339386730
2002-04-24,333768590
2002-04-25,321510830
2002-04-26,309763810
2002-04-29,306444000
2002-04-30,332491740
2002-05-01,311551400
2002-05-02,302613450
2002-05-03,326107490
2002-05-06,283971440
2002-05-07,285503660
2002-05-08,328661190
2002-05-09,300570490
2002-05-10,293675500
2002-05-13,302102710
2002-05-14,345515610
2002-05-15,345260240
2002-05-16,341429690
2002-05-17,336577660
2002-05-20,324319900
2002-05-21,314360470
2002-05-22,322787680
2002-05-23,336577660
2002-05-24,328405820
2002-05-28,319467870
2002-05-29,318957130
2002-05-30,306444000
2002-05-31,301591970
2002-06-03,296229200
2002-06-04,304656410
2002-06-05,323043050
2002-06-06,304145670
2002-06-07,310529920
2002-06-10,307976220
2002-06-11,307210110
2002-06-12,296995310
2002-06-13,281162370
2002-06-14,280396260
2002-06-17,289078840
2002-06-18,284992920
2002-06-19,283716070
2002-06-20,257668330
2002-06-21,236217250
2002-06-24,235961880
2002-06-25,212978580
2002-06-26,224725600
2002-06-27,229833000
2002-06-28,249751859
2002-07-01,230552520
2002-07-02,188190420
2002-07-03,201027420
2002-07-05,204365040
2002-07-08,194095440
2002-07-09,220026180
2002-07-10,240051900
2002-07-11,248781060
2002-07-12,256740000
2002-07-15,258280440
2002-07-16,289859460
2002-07-17,294994260
2002-07-18,282414000
2002-07-19,273684840
2002-07-22,275738760
2002-07-23,262645020
2002-07-24,279846600
2002-07-25,282927480
2002-07-26,286008360
2002-07-29,305263860
2002-07-30,325289580
2002-07-31,321438480
2002-08-01,312966060
2002-08-02,290116200
2002-08-05,267266340
2002-08-06,303209940
2002-08-07,302182980
2002-08-08,310655400
2002-08-09,302696460
2002-08-12,306804300
2002-08-13,285494880
2002-08-14,305007120
2002-08-15,311939100
2002-08-16,360462960
2002-08-19,381772380
2002-08-20,372786480
2002-08-21,380745420
2002-08-22,379718460
2002-08-23,351733800
2002-08-26,344031600
2002-08-27,319898040
2002-08-28,313222800
2002-08-29,326316540
2002-08-30,320925000
2002-09-03,285494880
2002-09-04,288319020
2002-09-05,272914620
2002-09-06,290629680
2002-09-09,293710560
2002-09-10,300385800
2002-09-11,303466680
2002-09-12,282670740
2002-09-13,274198320
2002-09-16,272401140
2002-09-17,258023700
2002-09-18,251348459
2002-09-19,238768200
2002-09-20,252888900
2002-09-23,220796400
2002-09-24,223363799
2002-09-25,243389520
2002-09-26,212323980
2002-09-27,212067240
2002-09-30,195416650
2002-10-01,205769850
2002-10-02,214570069
2002-10-03,206028680
2002-10-04,206028680
2002-10-07,194640160
2002-10-08,175486740
2002-10-09,177039720
2002-10-10,190757710
2002-10-11,193087180
2002-10-14,201110910
2002-10-15,219229010
2002-10-16,199040270
2002-10-17,207064000
2002-10-18,210169959
2002-10-21,223887950
2002-10-22,235535300
2002-10-23,242264880
2002-10-24,248994459
2002-10-25,268924370
2002-10-28,267112560
2002-10-29,271771500
2002-10-30,246664989
2002-10-31,243041370
2002-11-01,246406160
2002-11-04,273324480
2002-11-05,266336069
2002-11-06,293513220
2002-11-07,287301300
2002-11-08,292477900
2002-11-11,285748320
2002-11-12,301019290
2002-11-13,321466860
2002-11-14,336479000
2002-11-15,339843790
2002-11-18,327678780
2002-11-19,317584410
2002-11-20,338031980
2002-11-21,363397320
2002-11-22,364432640
2002-11-25,364432640
2002-11-26,334926020
2002-11-27,350455820
2002-11-29,362879660
2002-12-02,371679880
2002-12-03,334149530
2002-12-04,296619180
2002-12-05,293772050
2002-12-06,308525360
2002-12-09,279018740
2002-12-10,300501630
2002-12-11,315254940
2002-12-12,302572270
2002-12-13,291183750
2002-12-16,304125250
2002-12-17,301019290
2002-12-18,278759910
2002-12-19,271253840
2002-12-20,276948100
2002-12-23,281348210
2002-12-24,273583310
2002-12-26,285230660
2002-12-27,284713000
2002-12-30,281607040
2002-12-31,281001360
2003-01-02,316061120
2003-01-03,310828320
2003-01-06,328358200
2003-01-07,331497880
2003-01-08,324171960
2003-01-09,346149720
2003-01-10,353214000
2003-01-13,343010040
2003-01-14,343271680
2003-01-15,336207400
2003-01-16,327050000
2003-01-17,317369320
2003-01-21,307427000
2003-01-22,316846040
2003-01-23,365772720
2003-01-24,364726160
2003-01-27,352952360
2003-01-28,352952360
2003-01-29,351644160
2003-01-30,340132000
2003-01-31,339085440
2003-02-03,346411360
2003-02-04,338562160
2003-02-05,343010040
2003-02-06,345626440
2003-02-07,343010040
2003-02-10,348766120
2003-02-11,348242840
2003-02-12,335945760
2003-02-13,334637560
2003-02-14,340132000
2003-02-18,355307120
2003-02-19,350074320
2003-02-20,361063200
2003-02-21,365249440
2003-02-24,360801560
2003-02-25,360801560
2003-02-26,364987800
2003-02-27,371528800
2003-02-28,365511080
2003-03-03,357138600
2003-03-04,351120880
2003-03-05,340916920
2003-03-06,340393640
2003-03-07,333591000
2003-03-10,315276200
2003-03-11,304287320
2003-03-12,308211920
2003-03-13,322078840
2003-03-14,312921440
2003-03-17,317369320
2003-03-18,365511080
2003-03-19,367604200
2003-03-20,354522200
2003-03-21,352690720
2003-03-24,343010040
2003-03-25,361063200
2003-03-26,375453400
2003-03-27,396122960
2003-03-28,343271680
2003-03-31,336437940
2003-04-01,328979300
2003-04-02,338302600
2003-04-03,337769840
2003-04-04,334040520
2003-04-07,347625900
2003-04-08,344429340
2003-04-09,336437940
2003-04-10,334573280
2003-04-11,347625900
2003-04-14,365473360
2003-04-15,355350920
2003-04-16,365739740
2003-04-17,368137160
2003-04-21,371067340
2003-04-22,376927700
2003-04-23,378525980
2003-04-24,375595800
2003-04-25,353219880
2003-04-28,364940600
2003-04-29,364141460
2003-04-30,367071640
2003-05-01,363875080
2003-05-02,392111360
2003-05-05,405430360
2003-05-06,397438960
2003-05-07,394508780
2003-05-08,389713940
2003-05-09,411290720
2003-05-12,438461480
2003-05-13,432334740
2003-05-14,439793380
2003-05-15,452046859
2003-05-16,444321840
2003-05-19,420614020
2003-05-20,408626920
2003-05-21,418749360
2003-05-22,423544200
2003-05-23,426474380
2003-05-27,447518400
2003-05-28,453378760
2003-05-29,460038260
2003-05-30,461370160
2003-06-02,426740760
2003-06-03,453112380
2003-06-04,462169300
2003-06-05,475754680
2003-06-06,462968440
2003-06-09,450448580
2003-06-10,460038260
2003-06-11,452846000
2003-06-12,451780480
2003-06-13,447252020
2003-06-16,431269220
2003-06-17,444588220
2003-06-18,477352960
2003-06-19,461636539
2003-06-20,456042560
2003-06-23,452846000
2003-06-24,444854600
2003-06-25,445120980
2003-06-26,450981340
2003-06-27,437662340
2003-06-30,501242580
2003-07-01,500036219
2003-07-02,501845760
2003-07-03,500036219
2003-07-07,516925260
2003-07-08,527480909
2003-07-09,532607940
2003-07-10,509988690
2003-07-11,518433210
2003-07-14,542862000
2003-07-15,529290450
2003-07-16,532306349
2003-07-17,506671200
2003-07-18,517528440
2003-07-21,495210780
2003-07-22,510893460
2003-07-23,512703000
2003-07-24,525068190
2003-07-25,532004760
2003-07-28,550703340
2003-07-29,538036560
2003-07-30,550401750
2003-07-31,565481250
2003-08-01,544671540
2003-08-04,540449280
2003-08-05,515718900
2003-08-06,512703000
2003-08-07,513306180
2003-08-08,515417310
2003-08-11,527782500
2003-08-12,544973130
2003-08-13,542258820
2003-08-14,529290450
2003-08-15,531401580
2003-08-18,560354220
2003-08-19,566989200
2003-08-20,589306860
2003-08-21,591417990
2003-08-22,573021000
2003-08-25,567290790
2003-08-26,562465350
2003-08-27,572116230
2003-08-28,582068700
2003-08-29,591417990
2003-09-02,620973810
2003-09-03,616751550
2003-09-04,621275400
2003-09-05,611322930
2003-09-08,632132640
2003-09-09,624894480
2003-09-10,612227700
2003-09-11,591116400
2003-09-12,616148370
2003-09-15,600767280
2003-09-16,637259670
2003-09-17,624894480
2003-09-18,627307200
2003-09-19,622783350
2003-09-22,610116570
2003-09-23,630926280
2003-09-24,603180000
2003-09-25,580560750
2003-09-26,561560580
2003-09-29,582671880
2003-09-30,580259160
2003-10-01,595941840
2003-10-02,599259330
2003-10-03,630323100
2003-10-06,657466200
2003-10-07,661386870
2003-10-08,651735990
2003-10-09,657164610
2003-10-10,693958590
2003-10-13,725927130
2003-10-14,763324290
2003-10-15,734974830
2003-10-16,728339850
2003-10-17,694561770
2003-10-20,714466710
2003-10-21,734974830
2003-10-22,709641270
2003-10-23,702704700
2003-10-24,682196580
2003-10-27,692149050
2003-10-28,728641440
2003-10-29,732260520
2003-10-30,760006800
2003-10-31,754276590
2003-11-03,776292660
2003-11-04,763022700
2003-11-05,766641780
2003-11-06,758800440
2003-11-07,768752910
2003-11-10,740403450
2003-11-11,709038090
2003-11-12,763625880
2003-11-13,779308560
2003-11-14,756086130
2003-11-17,761213160
2003-11-18,728339850
2003-11-19,716879430
2003-11-20,717784200
2003-11-21,706926960
2003-11-24,740101860
2003-11-25,749451150
2003-11-26,753371820
2003-11-28,778705380
2003-12-01,786848310
2003-12-02,776292660
2003-12-03,753975000
2003-12-04,760308390
2003-12-05,752467050
2003-12-08,720498510
2003-12-09,685212480
2003-12-10,675260010
2003-12-11,720800100
2003-12-12,728339850
2003-12-15,734974830
2003-12-16,725022360
2003-12-17,721403280
2003-12-18,742816170
2003-12-19,734673240
2003-12-22,751260690
2003-12-23,760911570
2003-12-24,749149560
2003-12-26,752768640
2003-12-29,770562450
2003-12-30,770260860
2003-12-31,847576800
2004-01-02,879656400
2004-01-05,911736000
2004-01-06,919502640
2004-01-07,923554800
2004-01-08,961712640
2004-01-09,933685200
2004-01-12,986025600
2004-01-13,1011351600
2004-01-14,1001558880
2004-01-15,1013040000
2004-01-16,1068081840
2004-01-20,1112317920
2004-01-21,1048496400
2004-01-22,1217336400
2004-01-23,1266300000
2004-01-26,1290275280
2004-01-27,1230168240
2004-01-28,1215648000
2004-01-29,1175801760
2004-01-30,1148112000
2004-02-02,1112317920
2004-02-03,1061328240
2004-02-04,1109954160
2004-02-05,1127851200
2004-02-06,1188633600
2004-02-09,1220037840
2004-02-10,1206192960
2004-02-11,1212946560
2004-02-12,1209232080
2004-02-13,1222063920
2004-02-17,1246039200
2004-02-18,1265286960
2004-02-19,1199777040
2004-02-20,1199101680
2004-02-23,1165333680
2004-02-24,1131903360
2004-02-25,1110967200
2004-02-26,1137981600
2004-02-27,1114344000
2004-03-01,1115357040
2004-03-02,1141020720
2004-03-03,1110967200
2004-03-04,1108265760
2004-03-05,1104551280
2004-03-08,1064705040
2004-03-09,1024858800
2004-03-10,1006624080
2004-03-11,972180720
2004-03-12,998182080
2004-03-15,945166320
2004-03-16,922541760
2004-03-17,967115520
2004-03-18,959686560
2004-03-19,942464880
2004-03-22,952257600
2004-03-23,951582240
2004-03-24,961712640
2004-03-25,1078549920
2004-03-26,1076186160
2004-03-29,1121097600
2004-03-30,1163645280
2004-03-31,1162799240
2004-04-01,1199931800
2004-04-02,1194430680
2004-04-05,1187210460
2004-04-06,1156610480
2004-04-07,1163830700
2004-04-08,1175176760
2004-04-12,1173113840
2004-04-13,1146295880
2004-04-14,1124635220
2004-04-15,1101599280
2004-04-16,1058965600
2004-04-19,1071686940
2004-04-20,1036273480
2004-04-21,1094379060
2004-04-22,1068248740
2004-04-23,1086471200
2004-04-26,1057246500
2004-04-27,1031460000
2004-04-28,992952160
2004-04-29,966134200
2004-04-30,876397180
2004-05-03,937253320
2004-05-04,948255560
2004-05-05,942754440
2004-05-06,924875800
2004-05-07,941379160
2004-05-10,899776940
2004-05-11,960289260
2004-05-12,942410620
2004-05-13,944473540
2004-05-14,929001640
2004-05-17,904934240
2004-05-18,916280300
2004-05-19,943785900
2004-05-20,950662300
2004-05-21,947911740
2004-05-24,968884760
2004-05-25,1012893720
2004-05-26,1027334160
2004-05-27,1013237540
2004-05-28,1020457760
2004-06-01,1030428540
2004-06-02,1034554380
2004-06-03,969572400
2004-06-04,969572400
2004-06-07,966134200
2004-06-08,966821840
2004-06-09,925563440
2004-06-10,919718500
2004-06-14,895307280
2004-06-15,922812880
2004-06-16,832388220
2004-06-17,816572500
2004-06-18,810039920
2004-06-21,771188260
2004-06-22,804538800
2004-06-23,839608440
2004-06-24,853705060
2004-06-25,875365720
2004-06-28,870896060
2004-06-29,897370200
2004-06-30,920762560
2004-07-01,881817920
2004-07-02,879383880
2004-07-06,843916440
2004-07-07,836614320
2004-07-08,817142000
2004-07-09,842873280
2004-07-12,794540200
2004-07-13,791063000
2004-07-14,802885480
2004-07-15,816098840
2004-07-16,802190040
2004-07-19,770895240
2004-07-20,805667240
2004-07-21,778892800
2004-07-22,892944960
2004-07-23,857477520
2004-07-26,857129800
2004-07-27,937105400
2004-07-28,911026400
2004-07-29,928760120
2004-07-30,910678680
2004-08-02,882165640
2004-08-03,851914000
2004-08-04,868952280
2004-08-05,834528000
2004-08-06,805667240
2004-08-09,809492160
2004-08-10,829659920
2004-08-11,792801600
2004-08-12,780283680
2004-08-13,757334160
2004-08-16,793149320
2004-08-17,813664800
2004-08-18,848784520
2004-08-19,829312200
2004-08-20,865822800
2004-08-23,867213680
2004-08-24,839743800
2004-08-25,863041040
2004-08-26,857129800
2004-08-27,870343160
2004-08-30,846698200
2004-08-31,854348040
2004-09-01,861997880
2004-09-02,889815480
2004-09-03,848784520
2004-09-07,857825240
2004-09-08,850870840
2004-09-09,893292680
2004-09-10,961445800
2004-09-13,1011865200
2004-09-14,1032728400
2004-09-15,1007344840
2004-09-16,1036205600
2004-09-17,1044898600
2004-09-20,1060372140
2004-09-21,1051853000
2004-09-22,1046289480
2004-09-23,1079322880
2004-09-24,1037596480
2004-09-27,1017081000
2004-09-28,995870080
2004-09-29,1037944200
2004-09-30,1083675420
2004-10-01,1125300510
2004-10-04,1166214060
2004-10-05,1170483300
2004-10-06,1161944819
2004-10-07,1119252420
2004-10-08,1103598540
2004-10-11,1127079360
2004-10-12,1131704370
2004-10-13,1141665930
2004-10-14,1148781330
2004-10-15,1115338950
2004-10-18,1130992830
2004-10-19,1154473650
2004-10-20,1171906380
2004-10-21,1228118040
2004-10-22,1178310240
2004-10-25,1172262150
2004-10-26,1167992910
2004-10-27,1424858850
2004-10-28,1426104045
2004-10-29,1421301150
2004-11-01,1418454990
2004-11-02,1489608990
2004-11-03,1466128170
2004-11-04,1498147470
2004-11-05,1511310960
2004-11-08,1513801350
2004-11-09,1497080160
2004-11-10,1475733960
2004-11-11,1493166690
2004-11-12,1515935970
2004-11-15,1556849520
2004-11-16,1575705330
2004-11-17,1500637860
2004-11-18,1508820569
2004-11-19,1444070430
2004-11-22,1428772319
2004-11-23,1424858850
2004-11-24,1475022420
2004-11-26,1485339750
2004-11-29,1494589770
2004-11-30,1531589850
2004-12-01,1653618960
2004-12-02,1670340150
2004-12-03,1672119000
2004-12-06,1665715140
2004-12-07,1598118840
2004-12-08,1589224590
2004-12-09,1584243810
2004-12-10,1669272840
2004-12-13,1686349800
2004-12-14,1678878630
2004-12-15,1736157600
2004-12-16,1683147870
2004-12-17,1681369020
2004-12-20,1665715140
