,MUR
2001-06-27,2905880505
2001-06-28,2824508617
2001-06-29,2873331750
2001-07-02,2863381796
2001-07-03,2896002602
2001-07-05,2924998873
2001-07-06,2912313004
2001-07-09,2819887389
2001-07-10,2848883661
2001-07-11,2812638321
2001-07-12,2789078851
2001-07-13,2839822326
2001-07-16,2760082580
2001-07-17,2691216435
2001-07-18,2698465503
2001-07-19,2729274041
2001-07-20,2787266584
2001-07-23,2812638321
2001-07-24,2765519380
2001-07-25,2926811140
2001-07-26,3030110357
2001-07-27,3068167963
2001-07-30,3055482094
2001-07-31,2995677284
2001-08-01,2981179149
2001-08-02,3011987687
2001-08-03,2963056479
2001-08-06,2915937538
2001-08-07,2944933810
2001-08-08,2939497009
2001-08-09,2966681013
2001-08-10,3024673556
2001-08-13,3008363153
2001-08-14,3066355696
2001-08-15,3276578663
2001-08-16,3238521057
2001-08-17,3209524786
2001-08-20,3144283175
2001-08-21,3176903980
2001-08-22,3285639998
2001-08-23,3260268261
2001-08-24,3222210654
2001-08-27,3200463451
2001-08-28,3133409573
2001-08-29,3289264532
2001-08-30,3175091713
2001-08-31,2953995144
2001-09-04,2964868746
2001-09-05,3004738619
2001-09-06,3021049022
2001-09-07,3010175420
2001-09-10,2997489551
2001-09-17,3026485823
2001-09-18,2886941267
2001-09-19,2781829783
2001-09-20,2763707114
2001-09-21,2857944995
2001-09-24,2738335376
2001-09-25,2665844698
2001-09-26,2703902304
2001-09-27,2734710842
2001-09-28,2830760991
2001-10-01,2798178670
2001-10-02,2872290637
2001-10-03,2863252592
2001-10-04,2989785219
2001-10-05,2997015655
2001-10-08,3006053700
2001-10-09,3031360225
2001-10-10,3119933064
2001-10-11,3127163500
2001-10-12,3119933064
2001-10-15,3087396103
2001-10-16,3128971109
2001-10-17,3172353724
2001-10-18,3045821097
2001-10-19,3118125456
2001-10-22,3175968942
2001-10-23,3150662417
2001-10-24,3157892853
2001-10-25,3235620038
2001-10-26,3203083077
2001-10-29,3244658083
2001-10-30,3132586327
2001-10-31,3101856975
2001-11-01,3114510238
2001-11-02,3051243924
2001-11-05,3018706963
2001-11-06,2984362392
2001-11-07,3006053700
2001-11-08,2997015655
2001-11-09,3054859142
2001-11-12,3024129790
2001-11-13,3112702629
2001-11-14,2946402604
2001-11-15,2731297138
2001-11-16,2805409105
2001-11-19,2801793888
2001-11-20,2865060201
2001-11-21,2825292804
2001-11-23,2843368894
2001-11-26,2821677586
2001-11-27,2839753676
2001-11-28,2783717798
2001-11-29,2821677586
2001-11-30,2805409105
2001-12-03,2912058034
2001-12-04,2984362392
2001-12-05,3101856975
2001-12-06,3013284136
2001-12-07,3065704796
2001-12-10,3011476527
2001-12-11,3006053700
2001-12-12,2986170001
2001-12-13,2966286303
2001-12-14,3034975443
2001-12-17,2998823264
2001-12-18,3025937399
2001-12-19,3081973276
2001-12-20,3121740673
2001-12-21,3208505904
2001-12-24,3232004820
2001-12-26,3280810262
2001-12-27,3248273301
2001-12-28,3295271134
2001-12-31,3302129629
2002-01-02,3218393156
2002-01-03,3180165635
2002-01-04,3251159602
2002-01-07,3282105690
2002-01-08,3251159602
2002-01-09,3242057811
2002-01-10,3198369216
2002-01-11,3100069878
2002-01-14,3060021999
2002-01-15,3163782412
2002-01-16,3087327371
2002-01-17,3112812385
2002-01-18,3078225580
2002-01-22,3052740567
2002-01-23,3140117757
2002-01-24,3178345277
2002-01-25,3212932081
2002-01-28,3156500980
2002-01-29,3134656682
2002-01-30,3176524919
2002-01-31,3105530952
2002-02-01,3100069878
2002-02-04,3043638776
2002-02-05,3090968087
2002-02-06,3121914175
2002-02-07,3096429162
2002-02-08,3138297398
2002-02-11,3163782412
2002-02-12,3147399189
2002-02-13,3147399189
2002-02-14,3191087784
2002-02-15,3183806351
2002-02-19,3183806351
2002-02-20,3180165635
2002-02-21,3187447068
2002-02-22,3251159602
2002-02-25,3313051778
2002-02-26,3358560731
2002-02-27,3374943954
2002-02-28,3387686461
2002-03-01,3389506819
2002-03-04,3402249326
2002-03-05,3371303238
2002-03-06,3447758279
2002-03-07,3518752245
2002-03-08,3422273265
2002-03-11,3427734339
2002-03-12,3462321144
2002-03-13,3440476846
2002-03-14,3456860069
2002-03-15,3473243292
2002-03-18,3536955827
2002-03-19,3589746212
2002-03-20,3615231226
2002-03-21,3638895881
2002-03-22,3651638388
2002-03-25,3624333016
2002-03-26,3647997672
2002-03-27,3760859875
2002-03-28,3773602382
2002-04-01,3818385600
2002-04-02,3805566080
2002-04-03,3681033600
2002-04-04,3677370879
2002-04-05,3638912320
2002-04-08,3741468480
2002-04-09,3670045440
2002-04-10,3668214080
2002-04-11,3640743680
2002-04-12,3538187520
2002-04-15,3668214080
2002-04-16,3699347200
2002-04-17,3878820480
2002-04-18,3886145920
2002-04-19,3926435840
2002-04-22,3871495040
2002-04-23,3920941760
2002-04-24,3827542399
2002-04-25,3820216960
2002-04-26,3796409280
2002-04-29,3779927040
2002-04-30,3730480320
2002-05-01,3682864960
2002-05-02,3717660800
2002-05-03,3752456639
2002-05-06,3627924160
2002-05-07,3638912320
2002-05-08,3761613440
2002-05-09,3730480320
2002-05-10,3730480320
2002-05-13,3776264320
2002-05-14,3781758399
2002-05-15,3745131200
2002-05-16,3692021760
2002-05-17,3633418240
2002-05-20,3681033600
2002-05-21,3657225920
2002-05-22,3657225920
2002-05-23,3703009920
2002-05-24,3697515840
2002-05-28,3692021760
2002-05-29,3703009920
2002-05-30,3629755520
2002-05-31,3655394560
2002-06-03,3576646080
2002-06-04,3549175680
2002-06-05,3512548480
2002-06-06,3463101760
2002-06-07,3518042560
2002-06-10,3472258560
2002-06-11,3382521920
2002-06-12,3406329600
2002-06-13,3459439040
2002-06-14,3470427200
2002-06-17,3507054399
2002-06-18,3501560320
2002-06-19,3479584000
2002-06-20,3486909440
2002-06-21,3439294080
2002-06-24,3399004160
2002-06-25,3345894720
2002-06-26,3312930240
2002-06-27,3248832639
2002-06-28,3261652160
2002-07-01,3200033880
2002-07-02,3084568739
2002-07-03,3086401520
2002-07-05,3088234300
2002-07-08,3053411480
2002-07-09,3036916460
2002-07-10,2952608580
2002-07-11,2804153400
2002-07-12,2761999460
2002-07-15,2730842200
2002-07-16,2829812320
2002-07-17,2912287420
2002-07-18,2897625180
2002-07-19,2807818960
2002-07-22,2653865440
2002-07-23,2569557560
2002-07-24,2648367100
2002-07-25,2642868760
2002-07-26,2619042620
2002-07-29,2824313980
2002-07-30,2813317300
2002-07-31,3289840100
2002-08-01,3102896540
2002-08-02,3071739280
2002-08-05,2967270820
2002-08-06,3093732640
2002-08-07,3154214380
2002-08-08,3190869980
2002-08-09,3284341760
2002-08-12,3335659600
2002-08-13,3264181180
2002-08-14,3288007320
2002-08-15,3361318520
2002-08-16,3432796940
2002-08-19,3350321840
2002-08-20,3297171219
2002-08-21,3352154620
2002-08-22,3452957520
2002-08-23,3412636360
2002-08-26,3438295280
2002-08-27,3405305239
2002-08-28,3278843420
2002-08-29,3293505660
2002-08-30,3388810219
2002-09-03,3271512300
2002-09-04,3311833460
2002-09-05,3308167900
2002-09-06,3330161260
2002-09-09,3328328480
2002-09-10,3440128060
2002-09-11,3460288640
2002-09-12,3333826820
2002-09-13,3394308560
2002-09-16,3390643000
2002-09-17,3260515620
2002-09-18,3299004000
2002-09-19,3310000680
2002-09-20,3306335120
2002-09-23,3233023920
2002-09-24,3146883260
2002-09-25,3262348400
2002-09-26,3366816860
2002-09-27,3289840100
2002-09-30,3248336271
2002-10-01,3350992496
2002-10-02,3294164943
2002-10-03,3274000327
2002-10-04,3219005921
2002-10-07,3202507599
2002-10-08,3407820049
2002-10-09,3270334033
2002-10-10,3418818931
2002-10-11,3389488581
2002-10-14,3534307184
2002-10-15,3545306065
2002-10-16,3459148162
2002-10-17,3594801031
2002-10-18,3662627466
2002-10-21,3649795438
2002-10-22,3589301591
2002-10-23,3611299353
2002-10-24,3453648721
2002-10-25,3442649840
2002-10-28,3429817812
2002-10-29,3268500887
2002-10-30,3383989140
2002-10-31,3317995852
2002-11-01,3339993615
2002-11-04,3281332915
2002-11-05,3284999208
2002-11-06,3281332915
2002-11-07,3283166062
2002-11-08,3241003683
2002-11-11,3167677808
2002-11-12,3121849136
2002-11-13,3019192911
2002-11-14,3121849136
2002-11-15,3094351933
2002-11-18,3118182842
2002-11-19,3116349696
2002-11-20,3244669977
2002-11-21,3235504243
2002-11-22,3224505361
2002-11-25,3526974597
2002-11-26,3435317253
2002-11-27,3415152637
2002-11-29,3393154874
2002-12-02,3378489699
2002-12-03,3442649840
2002-12-04,3382155993
2002-12-05,3376656552
2002-12-06,3393154874
2002-12-09,3321662146
2002-12-10,3363824524
2002-12-11,3363824524
2002-12-12,3391321728
2002-12-13,3259335152
2002-12-16,3328994734
2002-12-17,3297831237
2002-12-18,3295998090
2002-12-19,3270334033
2002-12-20,3316162705
2002-12-23,3365657671
2002-12-24,3350992496
2002-12-26,3372990259
2002-12-27,3321662146
2002-12-30,3363824524
2002-12-31,3394320023
2003-01-02,3493397472
2003-01-03,3425511071
2003-01-06,3449363050
2003-01-07,3291573038
2003-01-08,3291573038
2003-01-09,3320929319
2003-01-10,3256712454
2003-01-13,3234695243
2003-01-14,3260381989
2003-01-15,3251208151
2003-01-16,3260381989
2003-01-17,3240199546
2003-01-21,3247538616
2003-01-22,3269555827
2003-01-23,3245703849
2003-01-24,3164974075
2003-01-27,3076905231
2003-01-28,3152130702
2003-01-29,3308085946
2003-01-30,3304416411
2003-01-31,3342946530
2003-02-03,3331937925
2003-02-04,3394320023
2003-02-05,3377807114
2003-02-06,3465875958
2003-02-07,3410832931
2003-02-10,3436519677
2003-02-11,3460371655
2003-02-12,3324598854
2003-02-13,3379641882
2003-02-14,3385146185
2003-02-18,3396154790
2003-02-19,3381476649
2003-02-20,3392485255
2003-02-21,3333772692
2003-02-24,3460371655
2003-02-25,3487893169
2003-02-26,3489727937
2003-02-27,3405328628
2003-02-28,3408998163
2003-03-03,3410832931
2003-03-04,3407163396
2003-03-05,3478719331
2003-03-06,3524588521
2003-03-07,3539266661
2003-03-10,3506240845
2003-03-11,3388815720
2003-03-12,3304416411
2003-03-13,3313590249
2003-03-14,3309920714
2003-03-17,3344781298
2003-03-18,3394320023
2003-03-19,3431015374
2003-03-20,3504406077
2003-03-21,3423676304
2003-03-24,3423676304
2003-03-25,3487893169
2003-03-26,3495232239
2003-03-27,3548440499
2003-03-28,3583301083
2003-03-31,3501906673
2003-04-01,3558833315
2003-04-02,3534960852
2003-04-03,3476197866
2003-04-04,3498233986
2003-04-07,3433961971
2003-04-08,3393562418
2003-04-09,3402744134
2003-04-10,3468852493
2003-04-11,3443143687
2003-04-14,3472525180
2003-04-15,3433961971
2003-04-16,3450489060
2003-04-17,3511088389
2003-04-21,3505579359
2003-04-22,3509252046
2003-04-23,3448652717
2003-04-24,3433961971
2003-04-25,3389889731
2003-04-28,3366017268
2003-04-29,3241145924
2003-04-30,3301745253
2003-05-01,3404580478
2003-05-02,3505579359
2003-05-05,3465179807
2003-05-06,3446816374
2003-05-07,3465179807
2003-05-08,3472525180
2003-05-09,3575360405
2003-05-12,3615759957
2003-05-13,3694722719
2003-05-14,3758994735
2003-05-15,3786539884
2003-05-16,3804903317
2003-05-19,3742467645
2003-05-20,3808576004
2003-05-21,3898556825
2003-05-22,3927938318
2003-05-23,3933447348
2003-05-27,4021591826
2003-05-28,3964665184
2003-05-29,3826939437
2003-05-30,3920592945
2003-06-02,3948138095
2003-06-03,3972010557
2003-06-04,4060155036
2003-06-05,4098718245
2003-06-06,4043627946
2003-06-09,4049136976
2003-06-10,4155644887
2003-06-11,4221753246
2003-06-12,4229098619
2003-06-13,4197880783
2003-06-16,4218080560
2003-06-17,4212571530
2003-06-18,4159317574
2003-06-19,4179517350
2003-06-20,4172171977
2003-06-23,4164826604
2003-06-24,4148299514
2003-06-25,4148299514
2003-06-26,4117081678
2003-06-27,4120754365
2003-06-30,4171836856
2003-07-01,4136933773
2003-07-02,4085497652
2003-07-03,4072638621
2003-07-07,4037735539
2003-07-08,4048757565
2003-07-09,4045083556
2003-07-10,4024876508
2003-07-11,4046920561
2003-07-14,4002832456
2003-07-15,3940374309
2003-07-16,3929352283
2003-07-17,3978951400
2003-07-18,4000995452
2003-07-21,3977114396
2003-07-22,3966092370
2003-07-23,3947722326
2003-07-24,3907308231
2003-07-25,3887101183
2003-07-28,3808109996
2003-07-29,3896286205
2003-07-30,3977114396
2003-07-31,3916493252
2003-08-01,3848524092
2003-08-04,3800761979
2003-08-05,3741977840
2003-08-06,3773206914
2003-08-07,3922004265
2003-08-08,3914656248
2003-08-11,4054268578
2003-08-12,4063453600
2003-08-13,4105704699
2003-08-14,4149792804
2003-08-15,4199391921
2003-08-18,4138770778
2003-08-19,4127748751
2003-08-20,4157140821
2003-08-21,4199391921
2003-08-22,4267361081
2003-08-25,4269198086
2003-08-26,4239806016
2003-08-27,4252665047
2003-08-28,4612717897
2003-08-29,4579651819
2003-09-02,4519030676
2003-09-03,4555770763
2003-09-04,4528215698
2003-09-05,4557607767
2003-09-08,4575977810
2003-09-09,4544748737
2003-09-10,4480453585
2003-09-11,4557607767
2003-09-12,4555770763
2003-09-15,4502497637
2003-09-16,4566792789
2003-09-17,4498823628
2003-09-18,4452898520
2003-09-19,4487801602
2003-09-22,4537400719
2003-09-23,4559444771
2003-09-24,4744982210
2003-09-25,4678850053
2003-09-26,4610880893
2003-09-29,4610880893
2003-09-30,4657909217
2003-10-01,4747872777
2003-10-02,4735020840
2003-10-03,4813968454
2003-10-06,4819476427
2003-10-07,4911275978
2003-10-08,4880064131
2003-10-09,4753380750
2003-10-10,4810296472
2003-10-13,4815804445
2003-10-14,4801116517
2003-10-15,4742364804
2003-10-16,4802952508
2003-10-17,4744200795
2003-10-20,4729512867
2003-10-21,4768068678
2003-10-22,4747872777
2003-10-23,4795608544
2003-10-24,4793772553
2003-10-27,4784592598
2003-10-28,4784592598
2003-10-29,4793772553
2003-10-30,4676269127
2003-10-31,4676269127
2003-11-03,4645057280
2003-11-04,4573453630
2003-11-05,4560601693
2003-11-06,4617517415
2003-11-07,4635877325
2003-11-10,4619353406
2003-11-11,4575289621
2003-11-12,4652401244
2003-11-13,4784592598
2003-11-14,4810296472
2003-11-17,4731348858
2003-11-18,4694629038
2003-11-19,4727676876
2003-11-20,4678105118
2003-11-21,4681777101
2003-11-24,4670761154
2003-11-25,4667089172
2003-11-26,4701973002
2003-11-28,4751544759
2003-12-01,4790100571
2003-12-02,4769904669
2003-12-03,4755216741
2003-12-04,4788264580
2003-12-05,4815804445
2003-12-08,4810296472
2003-12-09,4826820391
2003-12-10,4843344310
2003-12-11,4874556158
2003-12-12,5019599448
2003-12-15,4909439987
2003-12-16,5032451385
2003-12-17,5083859134
2003-12-18,5188510622
2003-12-19,5223394451
2003-12-22,5234410398
2003-12-23,5252770308
2003-12-24,5326209949
2003-12-26,5355585805
2003-12-29,5410665535
2003-12-30,5392305625
2003-12-31,5184608239
2004-01-02,5074297425
2004-01-05,5123937291
2004-01-06,5179092698
2004-01-07,5177254184
2004-01-08,5184608239
2004-01-09,5316981215
2004-01-12,5239763646
2004-01-13,5212185942
2004-01-14,5134968373
2004-01-15,5017303505
2004-01-16,4969502152
2004-01-20,5089005534
2004-01-21,5035688640
2004-01-22,5043042695
2004-01-23,5109229183
2004-01-26,5037527154
2004-01-27,5061427830
2004-01-28,4945601476
2004-01-29,4818744040
2004-01-30,4807712959
2004-02-02,4800358905
2004-02-03,4787489310
2004-02-04,4756234579
2004-02-05,4610992008
2004-02-06,4778296742
2004-02-09,4886769042
2004-02-10,4890446069
2004-02-11,4835290662
2004-02-12,4861029852
2004-02-13,4873899447
2004-02-17,4952955530
2004-02-18,4894123096
2004-02-19,4901477150
2004-02-20,4901477150
2004-02-23,4925377827
2004-02-24,4987887288
2004-02-25,4993402828
2004-02-26,4998918369
2004-02-27,4980533234
2004-03-01,5140483913
2004-03-02,5105552156
2004-03-03,5127614318
2004-03-04,5147837968
2004-03-05,5138645400
2004-03-08,5221378510
2004-03-09,5208508915
2004-03-10,5131291345
2004-03-11,5006272423
2004-03-12,5055912290
2004-03-15,5066943371
2004-03-16,4993402828
2004-03-17,5022819045
2004-03-18,5037527154
2004-03-19,4986048774
2004-03-22,4973179179
2004-03-23,4925377827
2004-03-24,4800358905
2004-03-25,4770942688
2004-03-26,4840806203
2004-03-29,4906992691
2004-03-30,5008110937
2004-03-31,5002671786
2004-04-01,4969553694
2004-04-02,4987952634
2004-04-05,5026590408
2004-04-06,5046829242
2004-04-07,5067068076
2004-04-08,5133304260
2004-04-12,5153543094
2004-04-13,5015551044
2004-04-14,5024750514
2004-04-15,5059708500
2004-04-16,5133304260
2004-04-19,5182981398
2004-04-20,5015551044
2004-04-21,4997152104
2004-04-22,5131464366
2004-04-23,5102026062
2004-04-26,5109385638
2004-04-27,5269456416
2004-04-28,5521521894
2004-04-29,5282335674
2004-04-30,5442406452
2004-05-03,5576718714
2004-05-04,5438726664
2004-05-05,5560159668
2004-05-06,5492083590
2004-05-07,5306254296
2004-05-10,5171942034
2004-05-11,5304414402
2004-05-12,5332012812
2004-05-13,5346731964
2004-05-14,5245537794
2004-05-17,5230818642
2004-05-18,5160902670
2004-05-19,5100186168
2004-05-20,5122264896
2004-05-21,5065228182
2004-05-24,5219779278
2004-05-25,5263936734
2004-05-26,5192180868
2004-05-27,5129624472
2004-05-28,5184821292
2004-06-01,5298894720
2004-06-02,5328333024
2004-06-03,5284175568
2004-06-04,5240018112
2004-06-07,5363291010
2004-06-08,5254737264
2004-06-09,5223459066
2004-06-10,5508642636
2004-06-14,5420327724
2004-06-15,5510482530
2004-06-16,5617196382
2004-06-17,5683432566
2004-06-18,5666873520
2004-06-21,5600637336
2004-06-22,5574878820
2004-06-23,5760708114
2004-06-24,5740469280
2004-06-25,5755188432
2004-06-28,5578558608
2004-06-29,5716550658
2004-06-30,5855249939
2004-07-01,5995098775
2004-07-02,6020860402
2004-07-06,6088944704
2004-07-07,6177270284
2004-07-08,6162549354
2004-07-09,6201191796
2004-07-12,6133107494
2004-07-13,6083424355
2004-07-14,6221433075
2004-07-15,6195671447
2004-07-16,6239834237
2004-07-19,6311598771
2004-07-20,6287677260
2004-07-21,6162549354
2004-07-22,6133107494
2004-07-23,6083424355
2004-07-26,5995098775
2004-07-27,6144148192
2004-07-28,6061342960
2004-07-29,6131267378
2004-07-30,6144148192
2004-08-02,6131267378
2004-08-03,6228793540
2004-08-04,5950935984
2004-08-05,5868130753
2004-08-06,5676758662
2004-08-09,5776124940
2004-08-10,5785325521
2004-08-11,5700680173
2004-08-12,5649156918
2004-08-13,5737482498
2004-08-16,5741162731
2004-08-17,5603154011
2004-08-18,5676758662
2004-08-19,5689639475
2004-08-20,5704360406
2004-08-23,5625235406
