,NVR
2000-11-21,730153854
2000-11-22,682484316
2000-11-24,722139368
2000-11-27,752026771
2000-11-28,744680109
2000-11-29,778908730
2000-11-30,759707312
2000-12-01,771228123
2000-12-04,769308025
2000-12-05,868069984
2000-12-06,818146336
2000-12-07,843191632
2000-12-08,899543548
2000-12-11,915405585
2000-12-12,830668984
2000-12-13,888273181
2000-12-14,853877616
2000-12-15,866149820
2000-12-18,909895586
2000-12-19,885351238
2000-12-20,844861293
2000-12-21,880425630
2000-12-22,893282224
2000-12-26,943790262
2000-12-27,1021848093
2000-12-28,1040214610
2000-12-29,1031866178
2001-01-02,973427154
2001-01-03,998472450
2001-01-04,1010160272
2001-01-05,1039379784
2001-01-08,1110174453
2001-01-09,1097818808
2001-01-10,1066512188
2001-01-11,1044388826
2001-01-12,1064592023
2001-01-16,1043554000
2001-01-17,1066512188
2001-01-18,1066512188
2001-01-19,989289192
2001-01-22,913318477
2001-01-23,953808356
2001-01-24,962824679
2001-01-25,966748450
2001-01-26,952556074
2001-01-29,949634140
2001-01-30,950468966
2001-01-31,960069680
2001-02-01,985114976
2001-02-02,954810192
2001-02-05,1026857136
2001-02-06,1113680778
2001-02-07,1114599114
2001-02-08,1097818808
2001-02-09,1080287050
2001-02-12,1160432048
2001-02-13,1154170724
2001-02-14,1202174208
2001-02-15,1233480828
2001-02-16,1190486453
2001-02-20,1157927493
2001-02-21,1145822292
2001-02-22,1127038320
