,BEAM
2022-11-10,3125536254
2022-11-11,3604700214
2022-11-14,3520474939
2022-11-15,3480839515
2022-11-16,3382458732
2022-11-17,3350608838
2022-11-18,3318051168
2022-11-21,3214008182
2022-11-22,3214715957
2022-11-23,3234533669
2022-11-25,3134029559
2022-11-28,3056174263
2022-11-29,3086608606
2022-11-30,3269214664
2022-12-01,3243734749
2022-12-02,3313804516
2022-12-05,3140399538
2022-12-06,3056174263
2022-12-07,3121289602
2022-12-08,3163048351
2022-12-09,2981150069
2022-12-12,3135445110
2022-12-13,3237364771
2022-12-14,3176496084
2022-12-15,2994597802
2022-12-16,3010876636
2022-12-19,2838179434
2022-12-20,2943637971
2022-12-21,3059713140
2022-12-22,2969825662
2022-12-23,2856581595
2022-12-27,2695208799
2022-12-28,2599659117
2022-12-29,2739798650
2022-12-30,2768109667
2023-01-03,2697259298
2023-01-04,2977681754
2023-01-05,2973345325
2023-01-06,2918417215
2023-01-09,2795551705
2023-01-10,2851202554
2023-01-11,2954554129
2023-01-12,3134515963
2023-01-13,3125120365
2023-01-17,3212571699
2023-01-18,3216908128
2023-01-19,3065133087
2023-01-20,3219076343
2023-01-23,3208235269
2023-01-24,3219799081
2023-01-25,3211848960
2023-01-26,3169207401
2023-01-27,3274004453
2023-01-30,3042728200
2023-01-31,3140297870
2023-02-01,3322427919
2023-02-02,3526240116
2023-02-03,3501667015
2023-02-06,3462639147
2023-02-07,3443847951
2023-02-08,3182216690
2023-02-09,3073805947
2023-02-10,3003700333
2023-02-13,3111388338
2023-02-14,3101992740
2023-02-15,3175712046
2023-02-16,3011650454
2023-02-17,3120061197
2023-02-21,2843975171
2023-02-22,2950217699
2023-02-23,2925644597
2023-02-24,2812897424
2023-02-27,2817956592
2023-02-28,2908298878
2023-03-01,2782542416
2023-03-02,2804947303
2023-03-03,2825906713
2023-03-06,2755801099
2023-03-07,2718941446
2023-03-08,2702318466
2023-03-09,2515851987
2023-03-10,2322880864
2023-03-13,2439964467
2023-03-14,2467428522
2023-03-15,2536811397
2023-03-16,2566443667
2023-03-17,2400936599
2023-03-20,2329385508
2023-03-21,2341672059
2023-03-22,2216638335
2023-03-23,2192787971
2023-03-24,2196401663
2023-03-27,2207242737
2023-03-28,2179778682
2023-03-29,2241934175
2023-03-30,2179055944
2023-03-31,2337383058
2023-04-03,2299978822
2023-04-04,2257231124
2023-04-05,2238147331
2023-04-06,2270208104
2023-04-10,2296925415
2023-04-11,2296925415
2023-04-12,2270971456
2023-04-13,2461046042
2023-04-14,2387000922
2023-04-17,2431275323
2023-04-18,2374023942
2023-04-19,2399977902
2023-04-20,2296925415
2023-04-21,2378604053
2023-04-24,2328986189
2023-04-25,2323642727
2023-04-26,2332039596
2023-04-27,2328222837
2023-04-28,2344253224
2023-05-01,2345779927
2023-05-02,2302268878
2023-05-03,2415244937
2023-05-04,2539671272
2023-05-05,2567915287
2023-05-08,2545778086
2023-05-09,2634326889
2023-05-10,2736616023
2023-05-11,2685471456
2023-05-12,2544251382
2023-05-15,2747302948
2023-05-16,2584709025
2023-05-17,2668677718
2023-05-18,2663334255
2023-05-19,2636616944
2023-05-22,2683181401
2023-05-23,2634326889
2023-05-24,2548068141
2023-05-25,2458755986
2023-05-26,2470969614
2023-05-30,2435092082
2023-05-31,2435092082
2023-06-01,2481656539
2023-06-02,2597686005
2023-06-05,2590815839
2023-06-06,2620586557
2023-06-07,2622876613
2023-06-08,2553411603
2023-06-09,2458755986
2023-06-12,2517534071
2023-06-13,2580892266
2023-06-14,2578602211
2023-06-15,2595395950
2023-06-16,2571732045
2023-06-20,2544251382
2023-06-21,2493106815
2023-06-22,2483183242
2023-06-23,2428221916
2023-06-26,2440435544
2023-06-27,2444252303
2023-06-28,2525167589
2023-06-29,2428221916
2023-06-30,2523256978
2023-07-03,2523256978
2023-07-05,2516144760
2023-07-06,2403139515
2023-07-07,2407090747
2023-07-10,2530369196
2023-07-11,2525627718
2023-07-12,2539852154
2023-07-13,2535900922
2023-07-14,2438700606
2023-07-17,2435539620
2023-07-18,2396027297
2023-07-19,2449764057
2023-07-20,2448183564
2023-07-21,2534320429
2023-07-24,2493227612
2023-07-25,2565140041
