,IQV
2015-02-02,7539962240
2015-02-03,7503856080
2015-02-04,7563618000
2015-02-05,7620889840
2015-02-06,7527511840
2015-02-09,7375616960
2015-02-10,7483935440
2015-02-11,7554902720
2015-02-12,7874878000
2015-02-13,7882348240
2015-02-17,7969501040
2015-02-18,8044203440
2015-02-19,8032998079
2015-02-20,8111435600
2015-02-23,8091514959
2015-02-24,8029262959
2015-02-25,8096495120
2015-02-26,8086534800
2015-02-27,8090269920
2015-03-02,8159992160
2015-03-03,8159992160
2015-03-04,8084044720
2015-03-05,8179912800
2015-03-06,8130111200
2015-03-09,8135091360
2015-03-10,8023037760
2015-03-11,8090269920
2015-03-12,8135091360
2015-03-13,8223489200
2015-03-16,8288231279
2015-03-17,8316867200
2015-03-18,8310642000
2015-03-19,8325582480
2015-03-20,8372894000
2015-03-23,8462536880
2015-03-24,8397794800
2015-03-25,8255860240
2015-03-26,8253370160
2015-03-27,8374139040
2015-03-30,8466272000
2015-03-31,8293162980
2015-04-01,8404613580
2015-04-02,8221339260
2015-04-06,8230007639
2015-04-07,8197810800
2015-04-08,8317929780
2015-04-09,8347649940
2015-04-10,8374893419
2015-04-13,8404613580
2015-04-14,8322883139
2015-04-15,8316691440
2015-04-16,8356318320
2015-04-17,8258489460
2015-04-20,8233722659
2015-04-21,8259727800
2015-04-22,8228769300
2015-04-23,8382323460
2015-04-24,8555691060
2015-04-27,8532162600
2015-04-28,8582934540
2015-04-29,8478913980
2015-04-30,8158183919
2015-05-01,8334028200
2015-05-04,8201525820
2015-05-05,7998438060
2015-05-06,8036826600
2015-05-07,8031873240
2015-05-08,8030634899
2015-05-11,7969956240
2015-05-12,7983577980
2015-05-13,8108650320
2015-05-14,8132178780
2015-05-15,8314214760
2015-05-18,8362510020
2015-05-19,8466530580
2015-05-20,8521017540
2015-05-21,8508634139
2015-05-22,8631229800
2015-05-26,8577981179
2015-05-27,8732773680
2015-05-28,8741442060
2015-05-29,8632468140
2015-06-01,8673333360
2015-06-02,8628753120
2015-06-03,8623799760
2015-06-04,8627514780
2015-06-05,8632468140
2015-06-08,8600271300
2015-06-09,8597794620
2015-06-10,8596556280
2015-06-11,8651043240
2015-06-12,8672095020
2015-06-15,8629991460
2015-06-16,8740203720
2015-06-17,8764970520
2015-06-18,8805835740
2015-06-19,8897472900
2015-06-22,9005208480
2015-06-23,9103037340
2015-06-24,9027498600
2015-06-25,9100560660
2015-06-26,9070840500
2015-06-29,8925954720
2015-06-30,8919993280
2015-07-01,8964218560
2015-07-02,8943334400
2015-07-06,8921221760
2015-07-07,8950705280
2015-07-08,8804516160
2015-07-09,8864711680
2015-07-10,9111636160
2015-07-13,9243083520
2015-07-14,9345047360
2015-07-15,9327848640
2015-07-16,9424898560
2015-07-17,9442097280
2015-07-20,9386815680
2015-07-21,9249225920
2015-07-22,9364703040
2015-07-23,9292222720
2015-07-24,9206229120
2015-07-27,9162003840
2015-07-28,9428584000
2015-07-29,9717276800
2015-07-30,9674280000
2015-07-31,9424898560
2015-08-03,9472809280
2015-08-04,9519491520
2015-08-05,9498607360
2015-08-06,9336448000
2015-08-07,9249225920
2015-08-10,9353646720
2015-08-11,9260282240
2015-08-12,9218513920
2015-08-13,9213600000
2015-08-14,9223427840
2015-08-17,9357332160
2015-08-18,9340133440
2015-08-19,9298365120
2015-08-20,9095665920
2015-08-21,8960533120
2015-08-24,8628843520
2015-08-25,8723436480
2015-08-26,9007215360
2015-08-27,9115321600
2015-08-28,9243083520
2015-08-31,9153404480
2015-09-01,8832771200
2015-09-02,9071096320
2015-09-03,9132520320
2015-09-04,8940877440
2015-09-08,9133748800
2015-09-09,9089523520
2015-09-10,9142348160
2015-09-11,9322934720
