,NEE
2001-10-19,8963760000
2001-10-22,9004320000
2001-10-23,8855600000
2001-10-24,8909680000
2001-10-25,9031360000
2001-10-26,8936720000
2001-10-29,9098960000
2001-10-30,9031360000
2001-10-31,8977280000
2001-11-01,9126000000
2001-11-02,9058400000
2001-11-05,9382880000
2001-11-06,9491040000
2001-11-07,9382880000
2001-11-08,9545120000
2001-11-09,9504560000
2001-11-12,9477520000
2001-11-13,9477520000
2001-11-14,9301760000
2001-11-15,9220640000
2001-11-16,9234160000
2001-11-19,9166560000
2001-11-20,9409920000
2001-11-21,9288240000
2001-11-23,9301760000
2001-11-26,9369360000
2001-11-27,9369360000
2001-11-28,9234160000
2001-11-29,9342320000
2001-11-30,9369360000
2001-12-03,9328800000
2001-12-04,9423440000
2001-12-05,9382880000
2001-12-06,9301760000
2001-12-07,9423440000
2001-12-10,9328800000
2001-12-11,9126000000
2001-12-12,9180080000
2001-12-13,9342320000
2001-12-14,9247680000
2001-12-17,9153040000
2001-12-18,9193600000
2001-12-19,9409920000
2001-12-20,9409920000
2001-12-21,9409920000
2001-12-24,9545120000
2001-12-26,9545120000
2001-12-27,9545120000
2001-12-28,9545120000
2001-12-31,9537240000
2002-01-02,9631936000
2002-01-03,9577824000
2002-01-04,9523712000
2002-01-07,9550768000
2002-01-08,9401960000
2002-01-09,9429016000
2002-01-10,9442544000
2002-01-11,9374904000
2002-01-14,9523712000
2002-01-15,9631936000
2002-01-16,9618408000
2002-01-17,9483128000
2002-01-18,9510184000
2002-01-22,9456072000
2002-01-23,9483128000
2002-01-24,9496656000
2002-01-25,9469600000
2002-01-28,9388432000
2002-01-29,8887896000
2002-01-30,8942008000
2002-01-31,9063760000
2002-02-01,9009648000
2002-02-04,8942008000
2002-02-05,8779672000
2002-02-06,8684976000
2002-02-07,8739088000
2002-02-08,8752616000
2002-02-11,8901424000
2002-02-12,9023176000
2002-02-13,9077288000
2002-02-14,9131400000
2002-02-15,9050232000
2002-02-19,8942008000
2002-02-20,8928480000
2002-02-21,8847312000
2002-02-22,8969064000
2002-02-25,8874368000
2002-02-26,8955536000
2002-02-27,8982592000
2002-02-28,8982592000
2002-03-01,9158456000
2002-03-04,9239624000
2002-03-05,9347848000
2002-03-06,9510184000
2002-03-07,9496656000
2002-03-08,9469600000
2002-03-11,9645464000
2002-03-12,9591352000
2002-03-13,9618408000
2002-03-14,9780744000
2002-03-15,9780744000
2002-03-18,9780744000
2002-03-19,9780744000
2002-03-20,9848384000
2002-03-21,10037776000
2002-03-22,10010720000
2002-03-25,9970136000
2002-03-26,9916024000
2002-03-27,10024248000
2002-03-28,10064832000
2002-04-01,20144448000
2002-04-02,20280928000
2002-04-03,20253632000
2002-04-04,20499296000
2002-04-05,20608480000
2002-04-08,20635776000
2002-04-09,20362816000
2002-04-10,20799552000
2002-04-11,20390112000
2002-04-12,20690368000
2002-04-15,20635776000
2002-04-16,20799552000
2002-04-17,20854144000
2002-04-18,21072512000
2002-04-19,21318176000
2002-04-22,21181696000
2002-04-23,21290880000
2002-04-24,21454656000
2002-04-25,21318176000
2002-04-26,21099808000
2002-04-29,21454656000
2002-04-30,21673024000
2002-05-01,21509248000
2002-05-02,21509248000
2002-05-03,21427360000
2002-05-06,21263584000
2002-05-07,21072512000
2002-05-08,21236288000
2002-05-09,21208992000
2002-05-10,21263584000
2002-05-13,21454656000
2002-05-14,21673024000
2002-05-15,21454656000
2002-05-16,21127104000
2002-05-17,21181696000
2002-05-20,21454656000
2002-05-21,21645728000
2002-05-22,22082464000
2002-05-23,22137056000
2002-05-24,22027872000
2002-05-28,21891392000
2002-05-29,21782208000
2002-05-30,21645728000
2002-05-31,21481952000
2002-06-03,20417408000
2002-06-04,20472000000
2002-06-05,20171744000
2002-06-06,19325568000
2002-06-07,19543936000
2002-06-10,19789600000
2002-06-11,20035264000
2002-06-12,20062560000
2002-06-13,20417408000
2002-06-14,20390112000
2002-06-17,20581184000
2002-06-18,20744960000
2002-06-19,20635776000
2002-06-20,20717664000
2002-06-21,20826848000
2002-06-24,20581184000
2002-06-25,20472000000
2002-06-26,20144448000
2002-06-27,20089856000
2002-06-28,20472000000
2002-07-01,10373328000
2002-07-02,10218712000
2002-07-03,10204656000
2002-07-05,10190600000
2002-07-08,10092208000
2002-07-09,9782976000
2002-07-10,9417520000
2002-07-11,9642416000
2002-07-12,9487800000
2002-07-15,9782976000
2002-07-16,9529968000
2002-07-17,9431576000
2002-07-18,9206680000
2002-07-19,8686608000
2002-07-22,8644440000
2002-07-23,8138424000
2002-07-24,8883392000
2002-07-25,8967728000
2002-07-26,8953672000
2002-07-29,9234792000
2002-07-30,9642416000
2002-07-31,9951648000
2002-08-01,9768920000
2002-08-02,9614304000
2002-08-05,9473744000
2002-08-06,9726752000
2002-08-07,9726752000
2002-08-08,9937592000
2002-08-09,9909480000
2002-08-12,10021928000
2002-08-13,9740808000
2002-08-14,9811088000
2002-08-15,9797032000
2002-08-16,9726752000
2002-08-19,9825144000
2002-08-20,9937592000
2002-08-21,10260880000
2002-08-22,10317104000
2002-08-23,10246824000
2002-08-26,10401440000
2002-08-27,10190600000
2002-08-28,10106264000
2002-08-29,10035984000
2002-08-30,10035984000
2002-09-03,9740808000
2002-09-04,9768920000
2002-09-05,9768920000
2002-09-06,9782976000
2002-09-09,9291016000
2002-09-10,8925560000
2002-09-11,9009896000
2002-09-12,8813112000
2002-09-13,9108288000
2002-09-16,9234792000
2002-09-17,9009896000
2002-09-18,9248848000
2002-09-19,9150456000
2002-09-20,9136400000
2002-09-23,9164512000
2002-09-24,8981784000
2002-09-25,9136400000
2002-09-26,9347240000
2002-09-27,9276960000
2002-09-30,9249712000
2002-10-01,9538336000
2002-10-02,9455872000
2002-10-03,9277200000
2002-10-04,9222224000
2002-10-07,9318432000
2002-10-08,9071040000
2002-10-09,8383839999
2002-10-10,9084784000
2002-10-11,9098528000
2002-10-14,9235968000
2002-10-15,9373408000
2002-10-16,9112272000
2002-10-17,9359664000
2002-10-18,9497104000
2002-10-21,9881936000
2002-10-22,9675776000
2002-10-23,9881936000
2002-10-24,9895680000
2002-10-25,10074352000
2002-10-28,10088096000
2002-10-29,10143072000
2002-10-30,10211792000
2002-10-31,10129328000
2002-11-01,10143072000
2002-11-04,10500416000
2002-11-05,10362976000
2002-11-06,10308000000
2002-11-07,9854448000
2002-11-08,9689520000
2002-11-11,9593312000
2002-11-12,9455872000
2002-11-13,9455872000
2002-11-14,9538336000
2002-11-15,9771984000
2002-11-18,9826960000
2002-11-19,9826960000
2002-11-20,10046864000
2002-11-21,10088096000
2002-11-22,10280512000
2002-11-25,10253024000
2002-11-26,9978144000
2002-11-27,10115584000
2002-11-29,10101840000
2002-12-02,9895680000
2002-12-03,10088096000
2002-12-04,9895680000
2002-12-05,9881936000
2002-12-06,9854448000
2002-12-09,10115584000
2002-12-10,10170560000
2002-12-11,10129328000
2002-12-12,10239280000
2002-12-13,10253024000
2002-12-16,10280512000
2002-12-17,10266768000
2002-12-18,10308000000
2002-12-19,10170560000
2002-12-20,10239280000
2002-12-23,10308000000
2002-12-24,10239280000
2002-12-26,10280512000
2002-12-27,10198048000
2002-12-30,10376720000
2002-12-31,10636288000
2003-01-02,10848448000
2003-01-03,10820160000
2003-01-06,11216192000
2003-01-07,10735296000
2003-01-08,10749440000
2003-01-09,10777728000
2003-01-10,10678720000
2003-01-13,10494848000
2003-01-14,10579712000
2003-01-15,10508992000
2003-01-16,10353408000
2003-01-17,10296832000
2003-01-21,10169536000
2003-01-22,10310976000
2003-01-23,10339264000
2003-01-24,10254400000
2003-01-27,10112960000
2003-01-28,10282688000
2003-01-29,10339264000
2003-01-30,10254400000
2003-01-31,10325120000
2003-02-03,10339264000
2003-02-04,10197824000
2003-02-05,10084672000
2003-02-06,10084672000
2003-02-07,9999808000
2003-02-10,10013952000
2003-02-11,9745216000
2003-02-12,9589632000
2003-02-13,9745216000
2003-02-14,10127104000
2003-02-18,10183680000
2003-02-19,10098816000
2003-02-20,10098816000
2003-02-21,10127104000
2003-02-24,10098816000
2003-02-25,10310976000
2003-02-26,9999808000
2003-02-27,9943232000
2003-02-28,9900800000
2003-03-03,10056384000
2003-03-04,10042240000
2003-03-05,10127104000
2003-03-06,10240256000
2003-03-07,10183680000
2003-03-10,10070528000
2003-03-11,10127104000
2003-03-12,10169536000
2003-03-13,10183680000
2003-03-14,10141248000
2003-03-17,10211968000
2003-03-18,10310976000
2003-03-19,10325120000
2003-03-20,10381696000
2003-03-21,10551424000
2003-03-24,10367552000
2003-03-25,10438272000
2003-03-26,10424128000
2003-03-27,10480704000
2003-03-28,10381696000
2003-03-31,10453608000
2003-04-01,10467792000
2003-04-02,10496160000
2003-04-03,10283400000
2003-04-04,10396872000
2003-04-07,10439424000
2003-04-08,10453608000
2003-04-09,10368504000
2003-04-10,10510344000
2003-04-11,10496160000
2003-04-14,10439424000
2003-04-15,10609632000
2003-04-16,10609632000
2003-04-17,10595448000
2003-04-21,10538712000
2003-04-22,10510344000
2003-04-23,10467792000
2003-04-24,10694736000
2003-04-25,10595448000
2003-04-28,10808208000
2003-04-29,10808208000
2003-04-30,10794024000
2003-05-01,10652184000
2003-05-02,10708920000
2003-05-05,10708920000
2003-05-06,10652184000
2003-05-07,10623816000
2003-05-08,10666368000
2003-05-09,10680552000
2003-05-12,10765656000
2003-05-13,10879128000
2003-05-14,10907496000
2003-05-15,10978416000
2003-05-16,11120256000
2003-05-19,11006784000
2003-05-20,11120256000
2003-05-21,11020968000
2003-05-22,11120256000
2003-05-23,11574144000
2003-05-27,11758535999
2003-05-28,11744352000
2003-05-29,11616696000
2003-05-30,11786904000
2003-06-02,11843640000
2003-06-03,12028032000
2003-06-04,11985479999
2003-06-05,11829456000
2003-06-06,11701800000
2003-06-09,11659248000
2003-06-10,11517407999
2003-06-11,11630879999
2003-06-12,11744352000
2003-06-13,11645064000
2003-06-16,11886192000
2003-06-17,11786904000
2003-06-18,11886192000
2003-06-19,11999664000
2003-06-20,11957112000
2003-06-23,11914560000
2003-06-24,11829456000
2003-06-25,11786904000
2003-06-26,11971296000
2003-06-27,11829456000
2003-06-30,11891264000
2003-07-01,11891264000
2003-07-02,11990832000
2003-07-03,11763248000
2003-07-07,11663679999
2003-07-08,11592560000
2003-07-09,11336528000
2003-07-10,11208512000
2003-07-11,11322304000
2003-07-14,11336528000
2003-07-15,11123168000
2003-07-16,10995152000
2003-07-17,11009376000
2003-07-18,11151616000
2003-07-21,11023600000
2003-07-22,11094720000
2003-07-23,11080496000
2003-07-24,11080496000
2003-07-25,11165840000
2003-07-28,11108944000
2003-07-29,11023600000
2003-07-30,11009376000
2003-07-31,10966704000
2003-08-01,10881360000
2003-08-04,10852912000
2003-08-05,10724896000
2003-08-06,10781792000
2003-08-07,10938256000
2003-08-08,10938256000
2003-08-11,10966704000
2003-08-12,11094720000
2003-08-13,11080496000
2003-08-14,11094720000
2003-08-15,11052048000
2003-08-18,11066272000
2003-08-19,11037824000
2003-08-20,11151616000
2003-08-21,11165840000
2003-08-22,11108944000
2003-08-25,11180064000
2003-08-26,11194288000
2003-08-27,11023600000
2003-08-28,10980928000
2003-08-29,10995152000
2003-09-02,11108944000
2003-09-03,11023600000
2003-09-04,10980928000
2003-09-05,10938256000
2003-09-08,10938256000
2003-09-09,10881360000
2003-09-10,10924032000
2003-09-11,10995152000
2003-09-12,11123168000
2003-09-15,11023600000
2003-09-16,11123168000
2003-09-17,11108944000
2003-09-18,11251184000
2003-09-19,11123168000
2003-09-22,10938256000
2003-09-23,10995152000
2003-09-24,10952480000
2003-09-25,11037824000
2003-09-26,11165840000
2003-09-29,11265408000
2003-09-30,11205360000
2003-10-01,11290464000
2003-10-02,11432304000
2003-10-03,11489040000
2003-10-06,11489040000
2003-10-07,11432304000
2003-10-08,11361384000
2003-10-09,11432304000
2003-10-10,11432304000
2003-10-13,11418120000
2003-10-14,11418120000
2003-10-15,11290464000
2003-10-16,11276280000
2003-10-17,11205360000
2003-10-20,11247912000
2003-10-21,11233728000
2003-10-22,11276280000
2003-10-23,11290464000
2003-10-24,11318832000
2003-10-27,11333016000
2003-10-28,11333016000
2003-10-29,11318832000
2003-10-30,11347200000
2003-10-31,11304648000
2003-11-03,11403935999
2003-11-04,11403935999
2003-11-05,11375568000
2003-11-06,11389752000
2003-11-07,11361384000
2003-11-10,11389752000
2003-11-11,11389752000
2003-11-12,11418120000
2003-11-13,11489040000
2003-11-14,11545776000
2003-11-17,11361384000
2003-11-18,11148624000
2003-11-19,11247912000
2003-11-20,11219544000
2003-11-21,11219544000
2003-11-24,11318832000
2003-11-25,11247912000
2003-11-26,11304648000
2003-11-28,11262096000
2003-12-01,11276280000
2003-12-02,11262096000
2003-12-03,11219544000
2003-12-04,11290464000
2003-12-05,11446488000
2003-12-08,11474856000
2003-12-09,11403935999
2003-12-10,11347200000
2003-12-11,11389752000
2003-12-12,11403935999
2003-12-15,11361384000
2003-12-16,11262096000
2003-12-17,11304648000
2003-12-18,11389752000
2003-12-19,11403935999
2003-12-22,11460672000
2003-12-23,11503224000
2003-12-24,11503224000
2003-12-26,11474856000
2003-12-29,11588328000
2003-12-30,11659248000
2003-12-31,23348992000
2004-01-02,23206272000
2004-01-05,22892288000
2004-01-06,22778112000
2004-01-07,22806656000
2004-01-08,22663936000
2004-01-09,22749568000
2004-01-12,22949375999
2004-01-13,23177727999
2004-01-14,23434624000
2004-01-15,23406079999
2004-01-16,23291904000
2004-01-20,23234816000
2004-01-21,23548800000
2004-01-22,23805696000
2004-01-23,23491712000
2004-01-26,23234816000
2004-01-27,23092096000
2004-01-28,23320448000
2004-01-29,23520256000
2004-01-30,23463168000
2004-02-02,23234816000
2004-02-03,23291904000
2004-02-04,23092096000
2004-02-05,22806656000
2004-02-06,22835200000
2004-02-09,22835200000
2004-02-10,23063552000
2004-02-11,23263360000
2004-02-12,23177727999
2004-02-13,23063552000
2004-02-17,23348992000
2004-02-18,23634432000
2004-02-19,23634432000
2004-02-20,23491712000
2004-02-23,23748608000
2004-02-24,23720064000
2004-02-25,23434624000
2004-02-26,23263360000
2004-02-27,23434624000
2004-03-01,23634432000
2004-03-02,23491712000
2004-03-03,23662975999
2004-03-04,23976960000
2004-03-05,24176768000
2004-03-08,24405120000
2004-03-09,24348032000
2004-03-10,24062592000
2004-03-11,23634432000
2004-03-12,23862784000
2004-03-15,23748608000
2004-03-16,23891327999
2004-03-17,24205312000
2004-03-18,24062592000
2004-03-19,24034048000
2004-03-22,23691520000
2004-03-23,23662975999
2004-03-24,23491712000
2004-03-25,23491712000
2004-03-26,23720064000
2004-03-29,23834240000
2004-03-30,23919872000
2004-03-31,11978208000
2004-04-01,11978208000
2004-04-02,11877911999
2004-04-05,11906568000
2004-04-06,11892240000
2004-04-07,11791944000
2004-04-08,11763288000
2004-04-12,11534040000
2004-04-13,11390760000
2004-04-14,11433744000
2004-04-15,11405088000
2004-04-16,11462400000
2004-04-19,11419416000
2004-04-20,11419416000
2004-04-21,11362104000
2004-04-22,11519711999
2004-04-23,11720304000
2004-04-26,11662992000
2004-04-27,11562696000
2004-04-28,11562696000
2004-04-29,11419416000
2004-04-30,11390760000
2004-05-03,11433744000
2004-05-04,11491056000
2004-05-05,11376432000
2004-05-06,11419416000
2004-05-07,11132856000
2004-05-10,10946592000
2004-05-11,10989576000
2004-05-12,10917936000
2004-05-13,10960920000
2004-05-14,11032560000
2004-05-17,11003904000
2004-05-18,11032560000
2004-05-19,10975248000
2004-05-20,11003904000
2004-05-21,11003904000
2004-05-24,11147184000
2004-05-25,11261808000
2004-05-26,11276136000
2004-05-27,11405088000
2004-05-28,11419416000
2004-06-01,11534040000
2004-06-02,11333448000
2004-06-03,11333448000
2004-06-04,11347776000
2004-06-07,11376432000
2004-06-08,11304792000
2004-06-09,11233152000
2004-06-10,11347776000
2004-06-14,11362104000
2004-06-15,11405088000
2004-06-16,11419416000
2004-06-17,11433744000
2004-06-18,11433744000
2004-06-21,11448072000
2004-06-22,11405088000
2004-06-23,11476728000
2004-06-24,11476728000
2004-06-25,11433744000
2004-06-28,11476728000
2004-06-29,11362104000
2004-06-30,11480032000
2004-07-01,11321984000
2004-07-02,11393824000
2004-07-06,11350720000
2004-07-07,11293248000
2004-07-08,11278880000
2004-07-09,11250144000
2004-07-12,11250144000
2004-07-13,11264512000
2004-07-14,11408192000
2004-07-15,11451296000
2004-07-16,11508768000
2004-07-19,11537504000
2004-07-20,11523136000
2004-07-21,11393824000
2004-07-22,11350720000
2004-07-23,11810496000
2004-07-26,11767392000
2004-07-27,11810496000
2004-07-28,11954176000
2004-07-29,12054752000
2004-07-30,12097856000
2004-08-02,12155328000
2004-08-03,12140959999
2004-08-04,12169696000
2004-08-05,12054752000
2004-08-06,12169696000
2004-08-09,12069120000
2004-08-10,12198432000
2004-08-11,12284640000
2004-08-12,12270271999
2004-08-13,12155328000
2004-08-16,12212800000
2004-08-17,12227168000
2004-08-18,12342112000
2004-08-19,12299008000
2004-08-20,12212800000
2004-08-23,12227168000
