,MIR
2022-11-07,1157473227
2022-11-08,1133888350
2022-11-09,1050434167
2022-11-10,1139331014
2022-11-11,1193757654
2022-11-14,1157473227
2022-11-15,1159287449
2022-11-16,1132074128
2022-11-17,1103046586
2022-11-18,1086718594
2022-11-21,1083090151
2022-11-22,1093975480
2022-11-23,1132074128
2022-11-25,1139331014
2022-11-28,1097603922
2022-11-29,1092161258
2022-11-30,1157473227
2022-12-01,1157473227
2022-12-02,1148402120
2022-12-05,1121188800
2022-12-06,1101232365
2022-12-07,1103046586
2022-12-08,1090347037
2022-12-09,1066762159
2022-12-12,1088532816
2022-12-13,1084904373
2022-12-14,1101232365
2022-12-15,1063133716
2022-12-16,1052248388
2022-12-19,1034106175
2022-12-20,1077647487
2022-12-21,1153844784
2022-12-22,1170172777
2022-12-23,1177429662
2022-12-27,1215528311
2022-12-28,1171986998
2022-12-29,1222785196
2022-12-30,1199200318
2023-01-03,1250090711
2023-01-04,1283876946
2023-01-05,1281999933
2023-01-06,1291384999
2023-01-09,1283876946
2023-01-10,1336433312
2023-01-11,1360834483
2023-01-12,1387112666
2023-01-13,1392743705
2023-01-17,1422775914
2023-01-18,1417144875
2023-01-19,1409636823
2023-01-20,1424652927
2023-01-23,1439669032
2023-01-24,1445300071
2023-01-25,1450931110
2023-01-26,1479086307
2023-01-27,1471578254
2023-01-30,1471578254
2023-01-31,1492225398
2023-02-01,1512872542
2023-02-02,1541027738
2023-02-03,1535396699
2023-02-06,1522257607
2023-02-07,1522257607
2023-02-08,1484717346
2023-02-09,1407759810
2023-02-10,1377727600
2023-02-13,1398374744
2023-02-14,1586076052
2023-02-15,1616108261
2023-02-16,1616108261
2023-02-17,1642386445
2023-02-21,1775654373
2023-02-22,1711835928
2023-02-23,1730606059
2023-02-24,1723098007
2023-02-27,1683680732
2023-02-28,1704327876
2023-03-01,1708081902
2023-03-02,1726852033
2023-03-03,1732483072
2023-03-06,1576690987
2023-03-07,1557920856
2023-03-08,1552289817
2023-03-09,1507241503
2023-03-10,1469701241
2023-03-13,1439669032
2023-03-14,1424652927
2023-03-15,1396497731
2023-03-16,1400251757
2023-03-17,1366465522
2023-03-20,1362711496
2023-03-21,1400251757
2023-03-22,1383358639
2023-03-23,1394620718
2023-03-24,1392743705
2023-03-27,1462193189
2023-03-28,1510995529
2023-03-29,1512872542
2023-03-30,1563551895
2023-03-31,1701005739
2023-04-03,1679095830
2023-04-04,1665153160
2023-04-05,1633284199
2023-04-06,1639259630
2023-04-10,1629300580
2023-04-11,1653202300
2023-04-12,1667144969
2023-04-13,1689054880
2023-04-14,1677104020
2023-04-17,1693038500
2023-04-18,1679095830
2023-04-19,1663161350
2023-04-20,1623325150
2023-04-21,1681087640
2023-04-24,1653202300
2023-04-25,1633284199
2023-04-26,1587472570
2023-04-27,1601415239
2023-04-28,1613366100
2023-05-01,1641251440
2023-05-02,1605398860
2023-05-03,1677104020
2023-05-04,1679095830
2023-05-05,1691046690
2023-05-08,1669136780
2023-05-09,1695030310
2023-05-10,1635276010
2023-05-11,1577513520
