,NYT
2001-02-12,6953132550
2001-02-13,7055122620
2001-02-14,6912660300
2001-02-15,7001699250
2001-02-16,7050265950
2001-02-20,7157112690
2001-02-21,7068073739
2001-02-22,7025982600
2001-02-23,6796100219
2001-02-26,7058360400
2001-02-27,7204060500
2001-02-28,7155493800
2001-03-01,7139304900
2001-03-02,7365949500
2001-03-05,6961227000
2001-03-06,6941800320
2001-03-07,6763722420
2001-03-08,6802575780
2001-03-09,6843048030
2001-03-12,6637449000
2001-03-13,6632592330
2001-03-14,6731344620
2001-03-15,6891614730
2001-03-16,6645543450
2001-03-19,6516032250
2001-03-20,6475560000
2001-03-21,6355762140
2001-03-22,6305576550
2001-03-23,6378426600
2001-03-26,6441563310
2001-03-27,6548410050
2001-03-28,6577550070
2001-03-29,6575931180
2001-03-30,6632592330
2001-04-02,6523366220
2001-04-03,6374133700
2001-04-04,6440812060
2001-04-05,6544004760
2001-04-06,6490027040
2001-04-09,6569406040
2001-04-10,6590044580
2001-04-11,6464625760
2001-04-12,6563055720
2001-04-16,6369370960
2001-04-17,6493202200
2001-04-18,6715463400
2001-04-19,6588457000
2001-04-20,6651960200
2001-04-23,6656722940
2001-04-24,6588457000
2001-04-25,6569406040
2001-04-26,6648785040
2001-04-27,6707525500
2001-04-30,6513840740
2001-05-01,6553530240
2001-05-02,6572581200
2001-05-03,6586869420
2001-05-04,6545592339
2001-05-07,6699587600
2001-05-08,6666248420
2001-05-09,6572581200
2001-05-10,6661485680
2001-05-11,6667836000
2001-05-14,6686886960
2001-05-15,6537654440
2001-05-16,6715463400
2001-05-17,6712288240
2001-05-18,6723401300
2001-05-21,6737689520
2001-05-22,6947250080
2001-05-23,6820243680
2001-05-24,6734514360
2001-05-25,6702762760
2001-05-29,6786904500
2001-05-30,6677361480
2001-05-31,6682124220
2001-06-01,6628146500
2001-06-04,6588457000
2001-06-05,6656722940
2001-06-06,6590044580
2001-06-07,6691649700
2001-06-08,6531304120
2001-06-11,6559880560
2001-06-12,6432874160
2001-06-13,6412235620
2001-06-14,6390009500
2001-06-15,6112183000
2001-06-18,6021690940
2001-06-19,6397947400
2001-06-20,6637671980
2001-06-21,6675773900
2001-06-22,6682124220
2001-06-25,6726576460
2001-06-26,6686886960
2001-06-27,6699587600
2001-06-28,6650372620
2001-06-29,6667836000
2001-07-02,6569203950
2001-07-03,6633103680
2001-07-05,6600374550
2001-07-06,6374387700
2001-07-09,6421143600
2001-07-10,6377504760
2001-07-11,6319839150
2001-07-12,6436728900
2001-07-13,6815451689
2001-07-16,6885585540
2001-07-17,7145860050
2001-07-18,7145860050
2001-07-19,7113130920
2001-07-20,7194174479
2001-07-23,7233137729
2001-07-24,7215993900
2001-07-25,7351586010
2001-07-26,7374963960
2001-07-27,7303271580
2001-07-30,7272100979
2001-07-31,7215993900
2001-08-01,7287686280
2001-08-02,7275218040
2001-08-03,7418602800
2001-08-06,7371846900
2001-08-07,7325091000
2001-08-08,7295478930
2001-08-09,7130274750
2001-08-10,7215993900
2001-08-13,7049231189
2001-08-14,6991565580
2001-08-15,6745317840
2001-08-16,6788956680
2001-08-17,6896495250
2001-08-20,7021177650
2001-08-21,7000916760
2001-08-22,6951043800
2001-08-23,6966629100
2001-08-24,6994682640
2001-08-27,6919873200
2001-08-28,6949485270
2001-08-29,6841946700
2001-08-30,6664274280
2001-08-31,6662715750
2001-09-04,6802983450
2001-09-05,6796749330
2001-09-06,6681418110
2001-09-07,6508421280
2001-09-10,6569203950
2001-09-17,6202949400
2001-09-18,6255939420
2001-09-19,6273083250
2001-09-20,5841370439
2001-09-21,6078267000
2001-09-24,6237237060
2001-09-25,5930206650
2001-09-26,5832019260
2001-09-27,5992547850
2001-09-28,6082942590
2001-10-01,5824160440
2001-10-02,5824160440
2001-10-03,5938032190
2001-10-04,6083788030
2001-10-05,6044312490
2001-10-08,5941068770
2001-10-09,5906148100
2001-10-10,6056458810
2001-10-11,6253836510
2001-10-12,6187031750
2001-10-15,6299385210
2001-10-16,6375299710
2001-10-17,6076196580
2001-10-18,6143001340
2001-10-19,6221952420
2001-10-22,6344933910
2001-10-23,6457287370
2001-10-24,6402628930
2001-10-25,6300903500
2001-10-26,6434513020
2001-10-29,6264464540
2001-10-30,6089861190
2001-10-31,6262946250
2001-11-01,6196141490
2001-11-02,6376818000
2001-11-05,6432994730
2001-11-06,6587860310
2001-11-07,6565085960
2001-11-08,6722988120
2001-11-09,6686549160
2001-11-12,6612152950
2001-11-13,6753353920
2001-11-14,6861152510
2001-11-15,6894554889
2001-11-16,6735134440
2001-11-19,6861152510
2001-11-20,6847487900
2001-11-21,6824713550
2001-11-23,6855079350
2001-11-26,6908219500
2001-11-27,6824713550
2001-11-28,6801939200
2001-11-29,6918847530
2001-11-30,6900628050
2001-12-03,6885445150
2001-12-04,6923402400
2001-12-05,7090414300
2001-12-06,6771573400
2001-12-07,6795866040
2001-12-10,6733616150
2001-12-11,6742725889
2001-12-12,6695658900
2001-12-13,6510427520
2001-12-14,6388964320
2001-12-17,6445141050
2001-12-18,6531683580
2001-12-19,6566604250
2001-12-20,6496762910
2001-12-21,6574195700
2001-12-24,6634927300
2001-12-26,6721469830
2001-12-27,6732097860
2001-12-28,6659219940
2001-12-31,6535248000
2002-01-02,6536759040
2002-01-03,6574535040
2002-01-04,6671241600
2002-01-07,6678796800
2002-01-08,6716572800
2002-01-09,6642531840
2002-01-10,6585112320
2002-01-11,6603244800
2002-01-14,6592667520
2002-01-15,6739238400
2002-01-16,6618355200
2002-01-17,6566979840
2002-01-18,6576046080
2002-01-22,6598711680
2002-01-23,6512582400
2002-01-24,6541292160
2002-01-25,6480850560
2002-01-28,6520137600
2002-01-29,6369033600
2002-01-30,6329746560
2002-01-31,6366011520
2002-02-01,6323702400
2002-02-04,6294992639
2002-02-05,6332768639
2002-02-06,6434008320
2002-02-07,6553380480
2002-02-08,6671241600
2002-02-11,6798168960
2002-02-12,6656131200
2002-02-13,6739238400
2002-02-14,6820834560
2002-02-15,6789102720
2002-02-19,6810257280
2002-02-20,7011225600
2002-02-21,6678796800
2002-02-22,6693907200
2002-02-25,6693907200
2002-02-26,6665197440
2002-02-27,6592667520
2002-02-28,6633465600
2002-03-01,6746793600
2002-03-04,6860121600
2002-03-05,6922074240
2002-03-06,7047490560
2002-03-07,7070156160
2002-03-08,7094332800
2002-03-11,7121531520
2002-03-12,7089799680
2002-03-13,7067134080
2002-03-14,7042957440
2002-03-15,7266591360
2002-03-18,7263569280
2002-03-19,7330055040
2002-03-20,7245436800
2002-03-21,7177440000
2002-03-22,7218238080
2002-03-25,7227304320
2002-03-26,7177440000
2002-03-27,7145708160
2002-03-28,7231837440
2002-04-01,7301050900
2002-04-02,7164440800
2002-04-03,7134083000
2002-04-04,7167476580
2002-04-05,7237299520
2002-04-08,7226674290
2002-04-09,7250960530
2002-04-10,7282836220
2002-04-11,7103725200
2002-04-12,7118904100
2002-04-15,7149261900
2002-04-16,7073367400
2002-04-17,7067295840
2002-04-18,7156851350
2002-04-19,7287389890
2002-04-22,7219084840
2002-04-23,7209977500
2002-04-24,7235781630
2002-04-25,7124975660
2002-04-26,7115868320
2002-04-29,7020241250
2002-04-30,7067295840
2002-05-01,7275246770
2002-05-02,7246406860
2002-05-03,7298015120
2002-05-06,7209977500
2002-05-07,7202388050
2002-05-08,7282836220
2002-05-09,7263103650
2002-05-10,7173548140
2002-05-13,7296497230
2002-05-14,7446768340
2002-05-15,7521144950
2002-05-16,7724542210
2002-05-17,7688112850
2002-05-20,7557574310
2002-05-21,7490787150
2002-05-22,7518109170
2002-05-23,7618289910
2002-05-24,7581860550
2002-05-28,7498376600
2002-05-29,7542395410
2002-05-30,7439178890
2002-05-31,7630433030
2002-06-03,7549984860
2002-06-04,7507483940
2002-06-05,7554538530
2002-06-06,7460429350
2002-06-07,7486233480
2002-06-10,7431589440
2002-06-11,7357212830
2002-06-12,7293461450
2002-06-13,7301050900
2002-06-14,7430071550
2002-06-17,7575788989
2002-06-18,7709363310
2002-06-19,7897581670
2002-06-20,8012941310
2002-06-21,7824722950
2002-06-24,7698738080
2002-06-25,7741239000
2002-06-26,7680523400
2002-06-27,7818651390
2002-06-28,7817133500
2002-07-01,7613733600
2002-07-02,7486332480
2002-07-03,7560649800
2002-07-05,7868535840
2002-07-08,7757818200
2002-07-09,7590983400
2002-07-10,7354381320
2002-07-11,7302814200
2002-07-12,7331631120
2002-07-15,7330114440
2002-07-16,6997961520
2002-07-17,6929710920
2002-07-18,6776526240
2002-07-19,6511107240
2002-07-22,6280571879
2002-07-23,6063686640
2002-07-24,6313938840
2002-07-25,6627891600
2002-07-26,6538407480
2002-07-29,6794726400
2002-07-30,6808376520
2002-07-31,6862977000
2002-08-01,6834160080
2002-08-02,6577841160
2002-08-05,6303322080
2002-08-06,6529307400
2002-08-07,6791693040
2002-08-08,6919094160
2002-08-09,6988861440
2002-08-12,6902410680
2002-08-13,6699175560
2002-08-14,7016161680
2002-08-15,7158729600
2002-08-16,7189063200
2002-08-19,7340731200
2002-08-20,7182996480
2002-08-21,7286130720
2002-08-22,7304330879
2002-08-23,7211813400
2002-08-26,7336181160
2002-08-27,7296747480
2002-08-28,7182996480
2002-08-29,7166313000
2002-08-30,7158729600
2002-09-03,6861460320
2002-09-04,7010094960
2002-09-05,6963077879
2002-09-06,7166313000
2002-09-09,7113229200
2002-09-10,7251247080
2002-09-11,7280064000
2002-09-12,7280064000
2002-09-13,7396848360
2002-09-16,7401398400
2002-09-17,7302814200
2002-09-18,7249730400
2002-09-19,6837193440
2002-09-20,7135979400
2002-09-23,6966111240
2002-09-24,6856910280
2002-09-25,7016161680
2002-09-26,7139012760
2002-09-27,6984311400
2002-09-30,6894401400
2002-10-01,7099185600
2002-10-02,6979348920
2002-10-03,6989967360
2002-10-04,6776081640
2002-10-07,6492417600
2002-10-08,6431740800
2002-10-09,6313421040
2002-10-10,6431740800
2002-10-11,6736641719
2002-10-14,6929290560
2002-10-15,7200819240
2002-10-16,6959628960
2002-10-17,7235708400
2002-10-18,7293351360
2002-10-21,7601286120
2002-10-22,7569430800
2002-10-23,7566396960
2002-10-24,7416221880
2002-10-25,7569430800
2002-10-28,7501169400
2002-10-29,7572464640
2002-10-30,7578532320
2002-10-31,7343409719
2002-11-01,7470831000
2002-11-04,7505720160
2002-11-05,7420772640
2002-11-06,7513304760
2002-11-07,7426840320
2002-11-08,7369197360
2002-11-11,7219022280
2002-11-12,7228123800
2002-11-13,7144693200
2002-11-14,7349477400
2002-11-15,7428357240
2002-11-18,7287283680
2002-11-19,7240259160
2002-11-20,7352511240
2002-11-21,7425323400
2002-11-22,7358578920
2002-11-25,7182616200
2002-11-26,7096151760
2002-11-27,7375265040
2002-11-29,7287283680
2002-12-02,7225089960
2002-12-03,7096151760
2002-12-04,7091601000
2002-12-05,7103736360
2002-12-06,7161379320
2002-12-09,6932324400
2002-12-10,7027890360
2002-12-11,7093117920
2002-12-12,6945976680
2002-12-13,6905019840
2002-12-16,6871647600
2002-12-17,6871647600
2002-12-18,6762429360
2002-12-19,6762429360
2002-12-20,6889850640
2002-12-23,6861029160
2002-12-24,6867096840
2002-12-26,6911087520
2002-12-27,6751810920
2002-12-30,6939316500
2002-12-31,6943871850
2003-01-02,7154936400
2003-01-03,7121530500
2003-01-06,7274893949
2003-01-07,7161010199
2003-01-08,7048644900
2003-01-09,7214155950
2003-01-10,7183786950
2003-01-13,7121530500
2003-01-14,7109382900
2003-01-15,7010683650
2003-01-16,7018275900
2003-01-17,6936279600
2003-01-21,6902873700
2003-01-22,6915021300
2003-01-23,7121530500
2003-01-24,7116975150
2003-01-27,7045608000
2003-01-28,7147344150
2003-01-29,7151899500
2003-01-30,7235414250
2003-01-31,7416109800
2003-02-03,7403962200
2003-02-04,7317410550
2003-02-05,7238451150
2003-02-06,7186823850
2003-02-07,7118493600
2003-02-10,7123048949
2003-02-11,7075977000
2003-02-12,6975759300
2003-02-13,6781397699
2003-02-14,6905910600
2003-02-18,7004609850
2003-02-19,6936279600
2003-02-20,6886170750
2003-02-21,7086606150
2003-02-24,6877060050
2003-02-25,7003091400
2003-02-26,6893763000
2003-02-27,6969685500
2003-02-28,7054718700
2003-03-03,6918058200
2003-03-04,6694846050
2003-03-05,6752547150
2003-03-06,6776842350
2003-03-07,6860357100
2003-03-10,6713067450
2003-03-11,6643218750
2003-03-12,6676624650
2003-03-13,6969685500
2003-03-14,6886170750
2003-03-17,7045608000
2003-03-18,6887689200
2003-03-19,6916539750
2003-03-20,6940834950
2003-03-21,7174676250
2003-03-24,6930205800
2003-03-25,6990943800
2003-03-26,6857320199
2003-03-27,6802656000
2003-03-28,6714585900
2003-03-31,6503999500
2003-04-01,6579364500
2003-04-02,6748182100
2003-04-03,6701455800
2003-04-04,6718036100
2003-04-07,6757225900
2003-04-08,6707485000
2003-04-09,6508521400
2003-04-10,6665280600
2003-04-11,6734616400
2003-04-14,7007437700
2003-04-15,6995379299
2003-04-16,6832590900
2003-04-17,6932072700
2003-04-21,6889868300
2003-04-22,6974277100
2003-04-23,6984828200
2003-04-24,6897404800
2003-04-25,6820532500
2003-04-28,6953174900
2003-04-29,7079788100
2003-04-30,6990857400
2003-05-01,6947145700
2003-05-02,7028539900
2003-05-05,7001408500
2003-05-06,7008945000
2003-05-07,6986335500
2003-05-08,6894390200
2003-05-09,6975784400
2003-05-12,6974277100
2003-05-13,7060193200
2003-05-14,6998393900
2003-05-15,7075266200
2003-05-16,6986335500
2003-05-19,6812996000
2003-05-20,6862736900
2003-05-21,6923028900
2003-05-22,7002915800
2003-05-23,6992364700
2003-05-27,7061700500
2003-05-28,7054164000
2003-05-29,7090339200
2003-05-30,7219967000
2003-06-02,7155153100
2003-06-03,7084310000
2003-06-04,7097875700
2003-06-05,7039091000
2003-06-06,6986335500
2003-06-09,7034569100
2003-06-10,7121992500
2003-06-11,7206401300
2003-06-12,7161182300
2003-06-13,7126514400
2003-06-16,7313419600
2003-06-17,7316434200
2003-06-18,6877809900
2003-06-19,6828069000
2003-06-20,6864244200
2003-06-23,6861229600
2003-06-24,6954682200
2003-06-25,6867258800
2003-06-26,6900419400
2003-06-27,6808474100
2003-06-30,6793377500
2003-07-01,6800842750
2003-07-02,6790391400
2003-07-03,6756051250
2003-07-07,6756051250
2003-07-08,6715738900
2003-07-09,6614211500
2003-07-10,6579871350
2003-07-11,6578378300
2003-07-14,6555982549
2003-07-15,6636607250
2003-07-16,6654523850
2003-07-17,6666468250
2003-07-18,6718725000
2003-07-21,6726190250
2003-07-22,6799349700
2003-07-23,6718725000
2003-07-24,6702301450
2003-07-25,6742613799
2003-07-28,6681398750
2003-07-29,6623169800
2003-07-30,6621676750
2003-07-31,6659003000
2003-08-01,6593308799
2003-08-04,6490288350
2003-08-05,6475357850
2003-08-06,6596294900
2003-08-07,6621676750
2003-08-08,6648551650
2003-08-11,6636607250
2003-08-12,6614211500
2003-08-13,6638100300
2003-08-14,6685877900
2003-08-15,6687370950
2003-08-18,6666468250
2003-08-19,6681398750
2003-08-20,6650044700
2003-08-21,6648551650
2003-08-22,6623169800
2003-08-25,6566433900
2003-08-26,6503725800
2003-08-27,6464906500
2003-08-28,6478343950
2003-08-29,6627648950
2003-09-02,6723204150
2003-09-03,6776953950
2003-09-04,6791884450
2003-09-05,6667961299
2003-09-08,6779940049
2003-09-09,6718725000
2003-09-10,6626155900
2003-09-11,6697822300
2003-09-12,6624662850
2003-09-15,6547024250
2003-09-16,6647058600
2003-09-17,6400705350
2003-09-18,6472371750
2003-09-19,6554489500
2003-09-22,6475357850
2003-09-23,6515670200
2003-09-24,6472371750
2003-09-25,6590322700
2003-09-26,6521642400
2003-09-29,6513793680
2003-09-30,6486926520
2003-10-01,6545138700
2003-10-02,6554094419
2003-10-03,6609321360
2003-10-06,6686937600
2003-10-07,6612306600
2003-10-08,6604843500
2003-10-09,6740671919
2003-10-10,6683952360
2003-10-13,6712312140
2003-10-14,6731716200
2003-10-15,6819780780
2003-10-16,7028747580
2003-10-17,6973520640
2003-10-20,6992924700
2003-10-21,7013821380
2003-10-22,6919786320
2003-10-23,6939190380
2003-10-24,6976505880
2003-10-27,6976505880
2003-10-28,7045166400
2003-10-29,7027254960
2003-10-30,7109349060
2003-10-31,7094422860
2003-11-03,7112334300
2003-11-04,7125767880
2003-11-05,7116812160
2003-11-06,7119797400
2003-11-07,7067555700
2003-11-10,7007850900
2003-11-11,7013821380
2003-11-12,7034718060
2003-11-13,7089945000
2003-11-14,7107856440
2003-11-17,7043673780
2003-11-18,6985461600
2003-11-19,6918293700
2003-11-20,6834706980
2003-11-21,6842170080
2003-11-24,6818288160
2003-11-25,6843662700
2003-11-26,6828736500
2003-11-28,6851125800
2003-12-01,6866052000
2003-12-02,6806347200
2003-12-03,6846647940
2003-12-04,6880978200
2003-12-05,6848140560
2003-12-08,6810825060
2003-12-09,6761568600
2003-12-10,6621262320
2003-12-11,6680967120
2003-12-12,6686937600
2003-12-15,6710819520
2003-12-16,6843662700
2003-12-17,6885456060
2003-12-18,6943668240
2003-12-19,6882470820
2003-12-22,6955609200
2003-12-23,7037703300
2003-12-24,6979491120
2003-12-26,7003373040
2003-12-29,7109443500
2003-12-30,7136430000
2003-12-31,7164915750
2004-01-02,7076460000
2004-01-05,7190403000
2004-01-06,7091452500
2004-01-07,7112442000
2004-01-08,7188903750
2004-01-09,7116939750
2004-01-12,7037479500
2004-01-13,7091452500
2004-01-14,7097449500
2004-01-15,7128933750
2004-01-16,7197899250
2004-01-20,7130433000
2004-01-21,7101947250
2004-01-22,7065965250
2004-01-23,7032981749
2004-01-26,7038978750
2004-01-27,7106445000
2004-01-28,7155920250
2004-01-29,7284855750
2004-01-30,7286355000
2004-02-02,7256370000
2004-02-03,7136430000
2004-02-04,7046475000
2004-02-05,6955020750
2004-02-06,6971512500
2004-02-09,7088454000
2004-02-10,7244376000
2004-02-11,7365815250
2004-02-12,7233881250
2004-02-13,7182906749
2004-02-17,7199398500
2004-02-18,7196400000
2004-02-19,7136430000
2004-02-20,7044975750
2004-02-23,6968514000
2004-02-24,7001497500
2004-02-25,6898049250
2004-02-26,6893551500
2004-02-27,6842577000
2004-03-01,6940028250
2004-03-02,6910043250
2004-03-03,6896550000
2004-03-04,6896550000
2004-03-05,6911542500
2004-03-08,6860568000
2004-03-09,6862067250
2004-03-10,6818589000
2004-03-11,6764616000
2004-03-12,6794601000
2004-03-15,6754121250
2004-03-16,6748124250
2004-03-17,6767614500
2004-03-18,6817089750
2004-03-19,6764616000
2004-03-22,6679158750
2004-03-23,6664166250
2004-03-24,6598199250
2004-03-25,6656670000
2004-03-26,6592202250
2004-03-29,6576700500
2004-03-30,6515763840
2004-03-31,6569269200
2004-04-01,6710463900
2004-04-02,6805584540
2004-04-05,6780318120
2004-04-06,6755051700
2004-04-07,6911109000
2004-04-08,6995825820
2004-04-12,6945292980
2004-04-13,6966100620
2004-04-14,6970559400
2004-04-15,6911109000
2004-04-16,6885842580
2004-04-19,6887328840
2004-04-20,6813015840
2004-04-21,6853144860
2004-04-22,6918540300
2004-04-23,6911109000
2004-04-26,6925971600
2004-04-27,6912595260
2004-04-28,6869493720
2004-04-29,6796666980
2004-04-30,6808557060
2004-05-03,6774373080
2004-05-04,6780318120
2004-05-05,6793694460
2004-05-06,6781804380
2004-05-07,6720867720
2004-05-10,6704518860
2004-05-11,6780318120
2004-05-12,6799639500
2004-05-13,6931916640
2004-05-14,6900705180
2004-05-17,6802612020
2004-05-18,6894760140
2004-05-19,6872466240
2004-05-20,6893273880
2004-05-21,6897732659
2004-05-24,6866521200
2004-05-25,6917054040
2004-05-26,6920026560
2004-05-27,6928944120
2004-05-28,6930430380
2004-06-01,6909622740
2004-06-02,6914081520
2004-06-03,6921512820
2004-06-04,6977990700
2004-06-07,6998798340
2004-06-08,6982449480
2004-06-09,6985422000
2004-06-10,6933402900
2004-06-14,6885842580
2004-06-15,6860576159
2004-06-16,6820447140
2004-06-17,6820447140
2004-06-18,6780318120
2004-06-21,6726812760
2004-06-22,6732757800
2004-06-23,6747620400
2004-06-24,6677766180
2004-06-25,6680738700
2004-06-28,6566205270
2004-06-29,6553023060
2004-06-30,6548628990
2004-07-01,6522264570
2004-07-02,6512011740
2004-07-06,6481253250
2004-07-07,6462212280
2004-07-08,6412412820
2004-07-09,6421200960
2004-07-12,6409483440
2004-07-13,6451959450
2004-07-14,6298167000
2004-07-15,6227861880
2004-07-16,6223467810
2004-07-19,6208820910
2004-07-20,6211750289
2004-07-21,6166344900
2004-07-22,6139980480
2004-07-23,6098969160
2004-07-26,6069675360
2004-07-27,6112151370
2004-07-28,6107757300
2004-07-29,6115080750
2004-07-30,6093110400
2004-08-02,6144374550
2004-08-03,6123868890
2004-08-04,6096039780
2004-08-05,6052099080
2004-08-06,5978864580
2004-08-09,5999370240
2004-08-10,6033058110
2004-08-11,6074069430
2004-08-12,6065281289
2004-08-13,6050634390
2004-08-16,6122404200
2004-08-17,6153162690
2004-08-18,6186850560
2004-08-19,6160486140
2004-08-20,6125333580
2004-08-23,6090181020
