,NDAQ
2003-04-15,412416000
2003-04-16,410072727
2003-04-17,410072727
2003-04-21,410072727
2003-04-22,414759273
2003-04-23,410072727
2003-04-24,410072727
2003-04-25,461624727
2003-04-28,447565091
2003-04-29,470997818
2003-04-30,492087273
2003-05-01,485057455
2003-05-02,503803636
2003-05-05,496773818
2003-05-06,499117091
2003-05-07,499117091
2003-05-08,499117091
2003-05-09,487400727
2003-05-12,494430546
2003-05-13,492087273
2003-05-14,496773818
2003-05-15,496773818
2003-05-16,492087273
2003-05-19,496773818
2003-05-20,485057455
2003-05-21,480370909
2003-05-22,473341091
2003-05-23,456938182
2003-05-27,461624727
2003-05-28,468654546
2003-05-29,473341091
2003-05-30,485057455
2003-06-02,494430546
2003-06-03,485057455
2003-06-04,485057455
2003-06-05,492087273
2003-06-06,499117091
2003-06-09,492087273
2003-06-10,492087273
2003-06-11,485057455
2003-06-12,487400727
2003-06-13,499117091
2003-06-16,569415273
2003-06-17,545982546
2003-06-18,555355637
2003-06-19,538952727
2003-06-20,557698909
2003-06-23,545982546
2003-06-24,557698909
2003-06-25,555355637
2003-06-26,609250909
2003-06-27,644400000
2003-06-30,626965385
2003-07-01,603571154
2003-07-02,636323077
2003-07-03,643341347
2003-07-07,624625962
2003-07-08,671414423
2003-07-09,722881731
2003-07-10,706505770
2003-07-11,713524039
2003-07-14,743936539
2003-07-15,760312501
2003-07-16,741597116
2003-07-17,706505770
2003-07-18,694808654
2003-07-21,671414423
2003-07-22,648020193
2003-07-23,659717308
2003-07-24,659717308
2003-07-25,659717308
2003-07-28,662056731
2003-07-29,666735577
2003-07-30,671414423
2003-07-31,671414423
2003-08-01,662056731
2003-08-04,643341347
2003-08-05,636323077
2003-08-06,545085577
2003-08-07,519351923
2003-08-08,545085577
2003-08-11,556782693
2003-08-12,566140385
2003-08-13,561461539
2003-08-14,577837500
2003-08-15,580176923
2003-08-18,556782693
2003-08-19,545085577
2003-08-20,545085577
2003-08-21,561461539
2003-08-22,568479808
2003-08-25,554443269
2003-08-26,563800962
2003-08-27,561461539
2003-08-28,554443269
2003-08-29,566140385
2003-09-02,584855770
2003-09-03,584855770
2003-09-04,589534616
2003-09-05,596552885
2003-09-08,596552885
2003-09-09,594213462
2003-09-10,596552885
2003-09-11,591874039
2003-09-12,603571154
2003-09-15,601231731
2003-09-16,612928846
2003-09-17,624625962
2003-09-18,643341347
2003-09-19,636323077
2003-09-22,648020193
2003-09-23,655038462
2003-09-24,655038462
2003-09-25,648020193
2003-09-26,643341347
2003-09-29,626965385
2003-09-30,736464000
2003-10-01,741960000
2003-10-02,741960000
2003-10-03,739212000
2003-10-06,741960000
2003-10-07,733716000
2003-10-08,747456000
2003-10-09,747456000
2003-10-10,744708000
2003-10-13,744708000
2003-10-14,774936000
2003-10-15,777684000
2003-10-16,791424000
2003-10-17,813408000
2003-10-20,816156000
2003-10-21,818904000
2003-10-22,807912000
2003-10-23,807912000
2003-10-24,807912000
2003-10-27,805164000
2003-10-28,805164000
2003-10-29,805164000
2003-10-30,805164000
2003-10-31,805164000
2003-11-03,802416000
2003-11-04,813408000
2003-11-05,818904000
2003-11-06,829896000
2003-11-07,838140000
2003-11-10,835392000
2003-11-11,846384000
2003-11-12,843636000
2003-11-13,843636000
2003-11-14,846384000
2003-11-17,832644000
2003-11-18,832644000
2003-11-19,829896000
2003-11-20,824400000
2003-11-21,824400000
2003-11-24,824400000
2003-11-25,824400000
2003-11-26,810660000
2003-11-28,816156000
2003-12-01,810660000
2003-12-02,810660000
2003-12-03,802416000
2003-12-04,802416000
2003-12-05,824400000
2003-12-08,810660000
2003-12-09,802416000
2003-12-10,783180000
2003-12-11,788676000
2003-12-12,788676000
2003-12-15,777684000
2003-12-16,783180000
2003-12-17,783180000
2003-12-18,783180000
2003-12-19,816156000
2003-12-22,802416000
2003-12-23,824400000
2003-12-24,824400000
2003-12-26,843636000
2003-12-29,851880000
2003-12-30,843636000
2003-12-31,865620000
2004-01-02,846384000
2004-01-05,802416000
2004-01-06,805164000
2004-01-07,802416000
2004-01-08,843636000
2004-01-09,945312000
2004-01-12,1038744000
2004-01-13,997524000
2004-01-14,970044000
2004-01-15,1003020000
2004-01-16,989280000
2004-01-20,1008516000
2004-01-21,1003020000
2004-01-22,1003020000
2004-01-23,953556000
2004-01-26,961800000
2004-01-27,939816000
2004-01-28,871116000
2004-01-29,802416000
2004-01-30,810660000
2004-02-02,821652000
2004-02-03,829896000
2004-02-04,824400000
2004-02-05,832644000
2004-02-06,832644000
2004-02-09,832644000
2004-02-10,829896000
2004-02-11,832644000
2004-02-12,832644000
2004-02-13,838140000
2004-02-17,838140000
2004-02-18,838140000
2004-02-19,832644000
2004-02-20,829896000
2004-02-23,832644000
2004-02-24,824400000
2004-02-25,824400000
2004-02-26,816156000
2004-02-27,816156000
2004-03-01,816156000
2004-03-02,818904000
2004-03-03,824400000
2004-03-04,827148000
2004-03-05,838140000
2004-03-08,829896000
2004-03-09,829896000
2004-03-10,829896000
2004-03-11,827148000
2004-03-12,824400000
2004-03-15,824400000
2004-03-16,818904000
2004-03-17,816156000
2004-03-18,802416000
2004-03-19,783180000
2004-03-22,783180000
2004-03-23,810660000
2004-03-24,813408000
2004-03-25,788676000
2004-03-26,783180000
2004-03-29,796920000
2004-03-30,788676000
2004-03-31,532959000
2004-04-01,529245000
2004-04-02,529245000
2004-04-05,529245000
2004-04-06,534816000
2004-04-07,525531000
2004-04-08,529245000
2004-04-12,523674000
2004-04-13,514389000
2004-04-14,505104000
2004-04-15,469820999
2004-04-16,477249000
2004-04-19,467964000
2004-04-20,467964000
2004-04-21,479106000
2004-04-22,479106000
2004-04-23,488391000
2004-04-26,492105000
2004-04-27,492105000
2004-04-28,464250000
2004-04-29,464250000
2004-04-30,464250000
2004-05-03,479106000
2004-05-04,479106000
2004-05-05,477249000
2004-05-06,477249000
2004-05-07,475392000
2004-05-10,469820999
2004-05-11,451251000
2004-05-12,467964000
2004-05-13,467964000
2004-05-14,449394000
2004-05-17,440109000
2004-05-18,445680000
2004-05-19,445680000
2004-05-20,441966000
2004-05-21,440109000
2004-05-24,440109000
2004-05-25,451251000
2004-05-26,449394000
2004-05-27,454965000
2004-05-28,449394000
2004-06-01,447537000
2004-06-02,447537000
2004-06-03,447537000
2004-06-04,451251000
2004-06-07,451251000
2004-06-08,451251000
2004-06-09,449394000
2004-06-10,447537000
2004-06-14,441966000
2004-06-15,427109999
2004-06-16,427109999
2004-06-17,427109999
2004-06-18,427109999
2004-06-21,425253000
2004-06-22,408540000
2004-06-23,417825000
2004-06-24,410397000
2004-06-25,408540000
2004-06-28,408540000
2004-06-29,401112000
2004-06-30,511008750
2004-07-01,511008750
2004-07-02,515875500
2004-07-06,518308875
2004-07-07,513442124
2004-07-08,506142000
2004-07-09,511008750
2004-07-12,511008750
2004-07-13,511008750
2004-07-14,511008750
2004-07-15,515875500
2004-07-16,520742250
2004-07-19,518308875
2004-07-20,520742250
2004-07-21,511008750
2004-07-22,515875500
2004-07-23,511008750
2004-07-26,511008750
2004-07-27,511008750
2004-07-28,506142000
2004-07-29,511008750
2004-07-30,511008750
2004-08-02,511008750
2004-08-03,506142000
2004-08-04,506142000
2004-08-05,511008750
2004-08-06,508575374
2004-08-09,508575374
2004-08-10,506142000
2004-08-11,503708624
2004-08-12,491541750
2004-08-13,479374875
2004-08-16,479374875
2004-08-17,479374875
2004-08-18,486675000
2004-08-19,486675000
2004-08-20,498841874
2004-08-23,493975124
2004-08-24,493975124
2004-08-25,493975124
2004-08-26,491541750
2004-08-27,493975124
2004-08-30,506142000
2004-08-31,501275250
2004-09-01,501275250
2004-09-02,491541750
2004-09-03,498841874
2004-09-07,493975124
2004-09-08,491541750
2004-09-09,493975124
2004-09-10,491541750
2004-09-13,467208000
2004-09-14,455041125
2004-09-15,457474500
2004-09-16,452607750
2004-09-17,447741000
2004-09-20,455041125
2004-09-21,455041125
2004-09-22,452607750
2004-09-23,457474500
2004-09-24,479374875
2004-09-27,491541750
2004-09-28,491541750
2004-09-29,547509375
2004-09-30,534454286
2004-10-01,573957429
2004-10-04,608813143
2004-10-05,587899715
2004-10-06,611136858
2004-10-07,611136858
2004-10-08,592547143
2004-10-11,592547143
2004-10-12,587899715
2004-10-13,580928572
2004-10-14,585576001
2004-10-15,580928572
2004-10-18,557691429
2004-10-19,511217143
2004-10-20,518188286
2004-10-21,506569715
2004-10-22,506569715
2004-10-25,499598572
2004-10-26,506569715
2004-10-27,506569715
2004-10-28,511217143
2004-10-29,527483143
2004-11-01,527483143
2004-11-02,522835715
2004-11-03,529806858
2004-11-04,527483143
2004-11-05,534454286
2004-11-08,534454286
2004-11-09,550720286
2004-11-10,550720286
2004-11-11,564662572
2004-11-12,569310001
2004-11-15,580928572
2004-11-16,583252286
2004-11-17,587899715
2004-11-18,592547143
2004-11-19,592547143
2004-11-22,597194572
2004-11-23,569310001
2004-11-24,539101715
2004-11-26,541425429
2004-11-29,543749143
2004-11-30,541425429
2004-12-01,541425429
2004-12-02,529806858
2004-12-03,534454286
2004-12-06,539101715
2004-12-07,518188286
2004-12-08,518188286
2004-12-09,504246000
2004-12-10,529806858
2004-12-13,527483143
2004-12-14,645992572
2004-12-15,708732858
2004-12-16,729646287
2004-12-17,704085429
2004-12-20,748236001
2004-12-21,755207144
2004-12-22,708732858
2004-12-23,727322572
2004-12-27,713380287
2004-12-28,720351429
2004-12-29,727322572
2004-12-30,780768001
2004-12-31,790062858
2005-01-03,785415430
2005-01-04,762178287
2005-01-05,755207144
2005-01-06,759854572
2005-01-07,706409144
2005-01-10,727322572
2005-01-11,731970001
2005-01-12,715704001
2005-01-13,673877144
2005-01-14,643668858
2005-01-18,680848286
2005-01-19,650640001
2005-01-20,671553429
2005-01-21,655287429
2005-01-24,643668858
2005-01-25,627402858
2005-01-26,641345144
2005-01-27,655287429
2005-01-28,669229715
2005-01-31,662258572
2005-02-01,643668858
2005-02-02,650640001
2005-02-03,673877144
2005-02-04,743588572
2005-02-07,776120572
2005-02-08,766825715
2005-02-09,752883429
2005-02-10,822594858
2005-02-11,813300001
2005-02-14,810976287
2005-02-15,778444287
2005-02-16,785415430
2005-02-17,762178287
2005-02-18,776120572
2005-02-22,752883429
2005-02-23,750559715
2005-02-24,748236001
2005-02-25,813300001
2005-02-28,815623715
2005-03-01,822594858
2005-03-02,841184572
2005-03-03,834213430
2005-03-04,829566001
2005-03-07,845832001
2005-03-08,829566001
2005-03-09,799357715
2005-03-10,787739144
2005-03-11,797034001
2005-03-14,808652572
2005-03-15,834213430
2005-03-16,850479430
2005-03-17,857450573
2005-03-18,880687715
2005-03-21,889982573
2005-03-22,855126858
2005-03-23,836537144
2005-03-24,859774287
2005-03-28,864421715
2005-03-29,848155715
2005-03-30,831889715
2005-03-31,837307800
2005-04-01,816199200
2005-04-04,839653200
2005-04-05,839653200
2005-04-06,841998600
2005-04-07,849034800
2005-04-08,851380200
2005-04-11,823235400
2005-04-12,839653200
2005-04-13,830271600
2005-04-14,825580800
2005-04-15,818544600
2005-04-18,832617000
2005-04-19,846689400
2005-04-20,813853800
2005-04-21,832617000
2005-04-22,1050739200
2005-04-25,1132828200
2005-04-26,1102338000
2005-04-27,1125792000
2005-04-28,1172700000
2005-04-29,1172700000
2005-05-02,1172700000
2005-05-03,1170354600
2005-05-04,1184427000
2005-05-05,1196154000
2005-05-06,1240716600
2005-05-09,1233680400
2005-05-10,1172700000
2005-05-11,1165663800
2005-05-12,1135173600
2005-05-13,1137519000
2005-05-16,1132828200
2005-05-17,1156282200
2005-05-18,1165663800
2005-05-19,1196154000
2005-05-20,1261825200
2005-05-23,1257134400
2005-05-24,1289970000
2005-05-25,1294660800
2005-05-26,1355641200
2005-05-27,1343914200
2005-05-31,1341568800
2005-06-01,1341568800
2005-06-02,1357986600
2005-06-03,1404894600
2005-06-06,1418967000
2005-06-07,1437730200
2005-06-08,1449457200
2005-06-09,1484638200
2005-06-10,1503401400
2005-06-13,1519819200
2005-06-14,1505746800
2005-06-15,1484638200
2005-06-16,1477602000
2005-06-17,1442421000
2005-06-20,1472911200
2005-06-21,1451802600
2005-06-22,1444766400
2005-06-23,1395513000
2005-06-24,1458838800
2005-06-27,1526855400
2005-06-28,1484638200
2005-06-29,1526855400
2005-06-30,1549793100
2005-07-01,1584287700
2005-07-05,1567040400
2005-07-06,1623710100
2005-07-07,1621246200
2005-07-08,1608926700
2005-07-11,1638493500
2005-07-12,1672988100
2005-07-13,1687771500
2005-07-14,1712410500
2005-07-15,1737049500
2005-07-18,1650813000
2005-07-19,1643421300
2005-07-20,1636029600
2005-07-21,1601535000
2005-07-22,1564576500
2005-07-25,1631101800
2005-07-26,1663132500
2005-07-27,1665596400
2005-07-28,1719802200
2005-07-29,1860244500
2005-08-01,1865172300
2005-08-02,1870100100
2005-08-03,1892275200
2005-08-04,1882419600
2005-08-05,1833141600
2005-08-08,1803574800
2005-08-09,1815894300
2005-08-10,1830677700
2005-08-11,1899666900
2005-08-12,1916914200
2005-08-15,1887347400
2005-08-16,1828213800
2005-08-17,1845461100
2005-08-18,1803574800
2005-08-19,1855316700
2005-08-22,1865172300
2005-08-23,1862708400
2005-08-24,1899666900
2005-08-25,1889811300
2005-08-26,1889811300
2005-08-29,1879955700
2005-08-30,1899666900
2005-08-31,1929233700
2005-09-01,1973583900
2005-09-02,2015470200
2005-09-06,2104170599
2005-09-07,2081995499
2005-09-08,2057356500
2005-09-09,2054892600
2005-09-12,2022861900
2005-09-13,2010542400
2005-09-14,1990831200
2005-09-15,1998222899
2005-09-16,2032717500
2005-09-19,2037645300
2005-09-20,2017934099
2005-09-21,2013006300
2005-09-22,2027789700
2005-09-23,2052428700
2005-09-26,2022861900
2005-09-27,2015470200
2005-09-28,2042573099
2005-09-29,2084459400
2005-09-30,2163776180
2005-10-03,2214989817
2005-10-04,2225232545
2005-10-05,2296931637
2005-10-06,2240596636
2005-10-07,2389116184
2005-10-10,2478740050
2005-10-11,2599092098
2005-10-12,2348145274
2005-10-13,2317417092
2005-10-14,2337902547
2005-10-17,2366070047
2005-10-18,2427526412
2005-10-19,2458254595
2005-10-20,2463375958
2005-10-21,2483861413
2005-10-24,2596531416
2005-10-25,2568363915
2005-10-26,2560681870
2005-10-27,2611895507
2005-10-28,2573485279
2005-10-31,2637502326
2005-11-01,2752733010
2005-11-02,2880767103
2005-11-03,2860281648
2005-11-04,2880767103
2005-11-07,2988315742
2005-11-08,3047211425
2005-11-09,3098425062
2005-11-10,3106107108
2005-11-11,3080500289
2005-11-14,3188048928
2005-11-15,3134274608
2005-11-16,3044650743
2005-11-17,3157320745
2005-11-18,3328886431
2005-11-21,3497891434
2005-11-22,3697624620
2005-11-23,3602879391
2005-11-25,3815415986
2005-11-28,3636168255
2005-11-29,3428753023
2005-11-30,3339129158
2005-12-01,3426192342
2005-12-02,3608000754
2005-12-05,3587515299
2005-12-06,3436435069
2005-12-07,3308400976
2005-12-08,3374978704
2005-12-09,3321204385
2005-12-12,3310961657
2005-12-13,3165002791
2005-12-14,3088182335
2005-12-15,3095864380
2005-12-16,3141956654
2005-12-19,3165002791
2005-12-20,3154760063
2005-12-21,3180366882
2005-12-22,3165002791
2005-12-23,3221337792
2005-12-27,3180366882
2005-12-28,3044650743
2005-12-29,3052332789
2005-12-30,3003679833
2006-01-03,3136992300
2006-01-04,3194075700
2006-01-05,3196670400
2006-01-06,3445761600
2006-01-09,3409435800
2006-01-10,3310837200
2006-01-11,3362731200
2006-01-12,3313431900
2006-01-13,3373110000
2006-01-17,3308242500
2006-01-18,3191481000
2006-01-19,3329000100
2006-01-20,3271916700
2006-01-23,3238185600
2006-01-24,3269322000
2006-01-25,3352352400
2006-01-26,3736368000
2006-01-27,3767504400
2006-01-30,4039947900
2006-01-31,3624795900
2006-02-01,3448356300
2006-02-02,3440572200
2006-02-03,3461329800
2006-02-06,3668905800
2006-02-07,3528792000
2006-02-08,3539170800
2006-02-09,3482087400
2006-02-10,3476898000
2006-02-13,3406841100
2006-02-14,3406841100
2006-02-15,3422409300
2006-02-16,3456140400
2006-02-17,3443166900
2006-02-21,3437977500
2006-02-22,3443166900
2006-02-23,3443166900
2006-02-24,3549549600
2006-02-27,3606633000
2006-02-28,3502845000
2006-03-01,3502845000
2006-03-02,3458735100
2006-03-03,3518413200
2006-03-06,3456140400
2006-03-07,3310837200
2006-03-08,3334189500
2006-03-09,3417219900
2006-03-10,3767504400
2006-03-13,3744152100
2006-03-14,3741557400
2006-03-15,3871292400
2006-03-16,3827182500
2006-03-17,3785667300
2006-03-20,3811614300
2006-03-21,3749341500
2006-03-22,3629985300
2006-03-23,3562523100
2006-03-24,3508034400
2006-03-27,3593659500
2006-03-28,3588470100
2006-03-29,3619606500
2006-03-30,3469113900
2006-03-31,4166201250
2006-04-03,4110027750
2006-04-04,4122510750
2006-04-05,4169322000
2006-04-06,4272306750
2006-04-07,4281669000
2006-04-10,4303514250
2006-04-11,4250461499
2006-04-12,4390895250
2006-04-13,4394016000
2006-04-17,4475155500
2006-04-18,4553174250
2006-04-19,4556295000
2006-04-20,4394016000
2006-04-21,4284789750
2006-04-24,4128752250
2006-04-25,4032009000
2006-04-26,4038250500
2006-04-27,3885333750
2006-04-28,3891575250
2006-05-01,3670002000
2006-05-02,3729296250
2006-05-03,3704330249
2006-05-04,3694968000
2006-05-05,3822918750
2006-05-08,4022646750
2006-05-09,3988318500
2006-05-10,3972714750
2006-05-11,3826039500
2006-05-12,3751141500
2006-05-15,3679364249
2006-05-16,3844764000
2006-05-17,3607587000
2006-05-18,3326719500
2006-05-19,3439066500
2006-05-22,3267425250
2006-05-23,3142595250
2006-05-24,2989678500
2006-05-25,3148836750
2006-05-26,3320478000
2006-05-30,3186285750
2006-05-31,3167561250
2006-06-01,3133232999
2006-06-02,3123870750
2006-06-05,3027127500
2006-06-06,2924142749
2006-06-07,2839882500
2006-06-08,2777467500
2006-06-09,2852365500
2006-06-12,2630792250
2006-06-13,2524686750
2006-06-14,2615188500
2006-06-15,2824278750
2006-06-16,2789950500
2006-06-19,2686965750
2006-06-20,2755622250
2006-06-21,2874210750
2006-06-22,2871090000
2006-06-23,2821157999
2006-06-26,2930384250
2006-06-27,2771226000
2006-06-28,2721294000
2006-06-29,2939746500
2006-06-30,3348369106
2006-07-03,3301350884
2006-07-05,3331576884
2006-07-06,3261049551
2006-07-07,3150220884
2006-07-10,3173729995
2006-07-11,3224106662
2006-07-12,3163654662
2006-07-13,2992373996
2006-07-14,2938638885
2006-07-17,2938638885
2006-07-18,2928563551
2006-07-19,3089768884
2006-07-20,3093127329
2006-07-21,3022599996
2006-07-24,3123353329
2006-07-25,3126711773
2006-07-26,3099844218
2006-07-27,3143503995
2006-07-28,3234181995
2006-07-31,3096485773
2006-08-01,2935280440
2006-08-02,2955431107
2006-08-03,2958789551
2006-08-04,3012524662
2006-08-07,3022599996
2006-08-08,2962147996
2006-08-09,2999090884
2006-08-10,3022599996
2006-08-11,2989015551
2006-08-14,3036033773
2006-08-15,3207314440
2006-08-16,3274483329
2006-08-17,3345010662
2006-08-18,3297992440
2006-08-21,3163654662
2006-08-22,3163654662
2006-08-23,3123353329
2006-08-24,3062901329
2006-08-25,3019241551
2006-08-28,3005807773
2006-08-29,3022599996
2006-08-30,3076335107
2006-08-31,3190522218
2006-09-01,3170371551
2006-09-05,3133428662
2006-09-06,3140145551
2006-09-07,3224106662
2006-09-08,3267766440
2006-09-11,3163654662
2006-09-12,3200597551
2006-09-13,3291275551
2006-09-14,3240898884
2006-09-15,3284558662
2006-09-18,3452480884
2006-09-19,3526366662
2006-09-20,3479348439
2006-09-21,3449122439
2006-09-22,3499499106
2006-09-25,3432330217
2006-09-26,3506215995
2006-09-27,3439047106
2006-09-28,3415537995
2006-09-29,3385311995
2006-10-02,3355262250
2006-10-03,3375867750
2006-10-04,3520106250
2006-10-05,3633436500
2006-10-06,3640305000
2006-10-09,3719292750
2006-10-10,3846359999
2006-10-11,3801714750
2006-10-12,3973427250
2006-10-13,4004335500
2006-10-16,3956256000
2006-10-17,4007769750
2006-10-18,4007769750
2006-10-19,4145139750
2006-10-20,4148574000
2006-10-23,4227561750
2006-10-24,4289378250
2006-10-25,4234430250
2006-10-26,4268772750
2006-10-27,4203522000
2006-10-30,4148574000
2006-10-31,4090191750
2006-11-01,4042112250
2006-11-02,4069586250
2006-11-03,4103928749
2006-11-06,4224127500
2006-11-07,4162310999
2006-11-08,4155442500
2006-11-09,4121100000
2006-11-10,4327155000
2006-11-13,4303115250
2006-11-14,4437051000
2006-11-15,4292812500
2006-11-16,4176048000
2006-11-17,4186350750
2006-11-20,4316852250
2006-11-21,4385537250
2006-11-22,4674014250
2006-11-24,4649974500
2006-11-27,4577855250
2006-11-28,4567552500
2006-11-29,4509170250
2006-11-30,4595026500
2006-12-01,4272207000
2006-12-04,4351194750
2006-12-05,4375234500
2006-12-06,4340892000
2006-12-07,4172613750
2006-12-08,4200087750
2006-12-11,4155442500
2006-12-12,4093626000
2006-12-13,4110797250
2006-12-14,4042112250
2006-12-15,4069586250
2006-12-18,4121100000
2006-12-19,3897873750
2006-12-20,3908176500
2006-12-21,3767372250
2006-12-22,3640305000
2006-12-26,3554448750
2006-12-27,3561317249
2006-12-28,3581922750
2006-12-29,3523540500
2007-01-03,3551014500
2007-01-04,3650607750
2007-01-05,3787977750
2007-01-08,3897873750
2007-01-09,3873834000
2007-01-10,4038678000
2007-01-11,3963124499
2007-01-12,3925347750
2007-01-16,3976861500
2007-01-17,4059283500
2007-01-18,3932216249
2007-01-19,3956256000
2007-01-22,3884136750
2007-01-23,3836057250
2007-01-24,3901308000
2007-01-25,3901308000
2007-01-26,3904742249
2007-01-29,3860097000
2007-01-30,3832623000
2007-01-31,3891005250
2007-02-01,3873834000
2007-02-02,3839491500
2007-02-05,3853228500
2007-02-06,3918479250
2007-02-07,4007769750
2007-02-08,4145139750
2007-02-09,4258470000
2007-02-12,4018072499
2007-02-13,3561317249
2007-02-14,3616265250
2007-02-15,3626568000
2007-02-16,3698687250
2007-02-20,3750201000
2007-02-21,3791411999
2007-02-22,3729595500
2007-02-23,3698687250
2007-02-26,3640305000
2007-02-27,3468592500
2007-02-28,3427381500
2007-03-01,3355262250
2007-03-02,3235063500
2007-03-05,3149207250
2007-03-06,3279708750
2007-03-07,3204155250
2007-03-08,3265971750
2007-03-09,3269406000
2007-03-12,3262537500
2007-03-13,3166378500
2007-03-14,3149207250
2007-03-15,3162944250
2007-03-16,3183549750
2007-03-19,3259103250
2007-03-20,3245366249
2007-03-21,3331222499
2007-03-22,3389604749
2007-03-23,3348393750
2007-03-26,3375867750
2007-03-27,3382736250
2007-03-28,3344959500
2007-03-29,3375867750
2007-03-30,3365565000
2007-04-02,3320532480
2007-04-03,3330635520
2007-04-04,3323900159
2007-04-05,3330635520
2007-04-09,3317164800
2007-04-10,3327267840
2007-04-11,3300326400
2007-04-12,3320532480
2007-04-13,3505754880
2007-04-16,3532696320
2007-04-17,3529328640
2007-04-18,3509122560
2007-04-19,3502387200
2007-04-20,3606785280
2007-04-23,3711183360
2007-04-24,3721286400
2007-04-25,3775169280
2007-04-26,3741492480
2007-04-27,3687609599
2007-04-30,3653932800
2007-05-01,3744860159
2007-05-02,3741492480
2007-05-03,3674138880
2007-05-04,3680874240
2007-05-07,3647197440
2007-05-08,3593314560
2007-05-09,3600049920
