,CVS
2001-01-16,21706128000
2001-01-17,21533296000
2001-01-18,21949664000
2001-01-19,21384032000
2001-01-22,21509728000
2001-01-23,21926096000
2001-01-24,22413168000
2001-01-25,22389600000
2001-01-26,22908096000
2001-01-29,22640992000
2001-01-30,22531008000
2001-01-31,23253760000
2001-02-01,22750976000
2001-02-02,23135920000
2001-02-05,22664560000
2001-02-06,22593856000
2001-02-07,23489440000
2001-02-08,23183056000
2001-02-09,23230192000
2001-02-12,23568000000
2001-02-13,23112352000
2001-02-14,23355888000
2001-02-15,23528720000
2001-02-16,24196480000
2001-02-20,24353600000
2001-02-21,23403024000
2001-02-22,22931664000
2001-02-23,22405312000
2001-02-26,23088784000
2001-02-27,23355888000
2001-02-28,23960800000
2001-03-01,23340176000
2001-03-02,23725120000
2001-03-05,23709408000
2001-03-06,23764400000
2001-03-07,23874384000
2001-03-08,24392880000
2001-03-09,23913664000
2001-03-12,23465872000
2001-03-13,22389600000
2001-03-14,22546720000
2001-03-15,22829536000
2001-03-16,21831824000
2001-03-19,21847536000
2001-03-20,21446880000
2001-03-21,21604000000
2001-03-22,21054080000
2001-03-23,21619712000
2001-03-26,21643280000
2001-03-27,22161776000
2001-03-28,22098928000
2001-03-29,22177488000
2001-03-30,22978800000
2001-04-02,22909570000
2001-04-03,22641990000
2001-04-04,22823000000
2001-04-05,21996650000
2001-04-06,22036000000
2001-04-09,21343440000
2001-04-10,22421630000
2001-04-11,21414270000
2001-04-12,22036000000
2001-04-16,21776290000
2001-04-17,22232750000
2001-04-18,22350800000
2001-04-19,22531810000
2001-04-20,22413760000
2001-04-23,22075350000
2001-04-24,21839250000
2001-04-25,22201270000
2001-04-26,22767910000
2001-04-27,23515560000
2001-04-30,23200760000
2001-05-01,23491950000
2001-05-02,21973040000
2001-05-03,21430010000
2001-05-04,21170300000
2001-05-07,20776800000
2001-05-08,21359180000
2001-05-09,21768420000
2001-05-10,21327700000
2001-05-11,20713840000
2001-05-14,20619400000
2001-05-15,20462000000
2001-05-16,20839760000
2001-05-17,21351310000
2001-05-18,21516580000
2001-05-21,21548060000
2001-05-22,21461490000
2001-05-23,21256870000
2001-05-24,21193910000
2001-05-25,21713330000
2001-05-29,20973550000
2001-05-30,21603150000
2001-05-31,21603150000
2001-06-01,21414270000
2001-06-04,21406400000
2001-06-05,21524450000
2001-06-06,22075350000
2001-06-07,22264230000
2001-06-08,22067480000
2001-06-11,21327700000
2001-06-12,21618890000
2001-06-13,21477230000
2001-06-14,21445750000
2001-06-15,18714860000
2001-06-18,19163450000
2001-06-19,19226410000
2001-06-20,18856520000
2001-06-21,17888510000
2001-06-22,17762590000
2001-06-25,16873280000
2001-06-26,17353350000
2001-06-27,14362750000
2001-06-28,14866430000
2001-06-29,15189100000
2001-07-02,14665590000
2001-07-03,14485500000
2001-07-05,14892660000
2001-07-06,14955300000
2001-07-09,14955300000
2001-07-10,15268500000
2001-07-11,15448590000
2001-07-12,15237180000
2001-07-13,15409440000
2001-07-16,15566040000
2001-07-17,15730470000
2001-07-18,15660000000
2001-07-19,15847919999
2001-07-20,15761790000
2001-07-23,15675660000
2001-07-24,15675660000
2001-07-25,15675660000
2001-07-26,14571630000
2001-07-27,14391540000
2001-07-30,14375880000
2001-07-31,14094000000
2001-08-01,13725990000
2001-08-02,14446350000
2001-08-03,14094000000
2001-08-06,14078340000
2001-08-07,14125320000
2001-08-08,14039190000
2001-08-09,14148810000
2001-08-10,14109660000
2001-08-13,14054850000
2001-08-14,14399370000
2001-08-15,14642100000
2001-08-16,14399370000
2001-08-17,14328900000
2001-08-20,14877000000
2001-08-21,14555970000
2001-08-22,14681250000
2001-08-23,14485500000
2001-08-24,14869169999
2001-08-27,14485500000
2001-08-28,14595120000
2001-08-29,14399370000
2001-08-30,14352389999
2001-08-31,14140979999
2001-09-04,14485500000
2001-09-05,14877000000
2001-09-06,14344560000
2001-09-07,14007870000
2001-09-10,14187960000
2001-09-17,13953060000
2001-09-18,14195790000
2001-09-19,14250600000
2001-09-20,13843440000
2001-09-21,12629790000
2001-09-24,12574979999
2001-09-25,12293100000
2001-09-26,12402720000
2001-09-27,12684600000
2001-09-28,12997800000
2001-10-01,12626199214
2001-10-02,12857166273
2001-10-03,13296003684
2001-10-04,12803273959
2001-10-05,12757080547
2001-10-08,12787876155
2001-10-09,12472221175
2001-10-10,12503016783
2001-10-11,12541511292
2001-10-12,12656994822
2001-10-15,12626199214
2001-10-16,12787876155
2001-10-17,12549210194
2001-10-18,12372135449
2001-10-19,12402931057
2001-10-22,12410629959
2001-10-23,12526113488
2001-10-24,12372135449
2001-10-25,12318243136
2001-10-26,12318243136
2001-10-29,12171963998
2001-10-30,9377262587
2001-10-31,9200187842
2001-11-01,9238682352
2001-11-02,8961521881
2001-11-05,9015414195
2001-11-06,9138596626
2001-11-07,9454251606
2001-11-08,9377262587
2001-11-09,9292574665
2001-11-12,9277176861
2001-11-13,9261779057
2001-11-14,9307972469
2001-11-15,9323370273
2001-11-16,9300273567
2001-11-19,9608229646
2001-11-20,9500445018
2001-11-21,9562036234
2001-11-23,9754508783
2001-11-26,10355023136
2001-11-27,10362722038
2001-11-28,10585990195
2001-11-29,10501302273
2001-11-30,10378119842
2001-12-03,10393517646
2001-12-04,10208743998
2001-12-05,10439711057
2001-12-06,10555194587
2001-12-07,10532097881
2001-12-10,10239539606
2001-12-11,10293431920
2001-12-12,10047067057
2001-12-13,10254937410
2001-12-14,10501302273
2001-12-17,11186504547
2001-12-18,11163407842
2001-12-19,11294289175
2001-12-20,11363579292
2001-12-21,11509858430
2001-12-24,11479062822
2001-12-26,11378977096
2001-12-27,11548352940
2001-12-28,11548352940
2001-12-31,11591360000
2002-01-02,11591360000
2002-01-03,11591360000
2002-01-04,11607024000
2002-01-07,11567864000
2002-01-08,11567864000
2002-01-09,11473880000
2002-01-10,11356400000
2002-01-11,11262416000
2002-01-14,11270248000
2002-01-15,11074448000
2002-01-16,11003960000
2002-01-17,10964800000
2002-01-18,10933472000
2002-01-22,10870816000
2002-01-23,10949136000
2002-01-24,10792496000
2002-01-25,10980464000
2002-01-28,10917808000
2002-01-29,10471384000
2002-01-30,10534040000
2002-01-31,10651520000
2002-02-01,10103280000
2002-02-04,10408728000
2002-02-05,10581032000
2002-02-06,10236424000
2002-02-07,10534040000
2002-02-08,10502712000
2002-02-11,10753336000
2002-02-12,10925640000
2002-02-13,10941304000
2002-02-14,10996128000
2002-02-15,10956968000
2002-02-19,10729840000
2002-02-20,10761168000
2002-02-21,10729840000
2002-02-22,10635856000
2002-02-25,11019624000
2002-02-26,11270248000
2002-02-27,10761168000
2002-02-28,10698512000
2002-03-01,10980464000
2002-03-04,11497376000
2002-03-05,11708840000
2002-03-06,12194424000
2002-03-07,11912472000
2002-03-08,12084776000
2002-03-11,12178760000
2002-03-12,12781824000
2002-03-13,12828816000
2002-03-14,13071608000
2002-03-15,13439712000
2002-03-18,13862640000
2002-03-19,13792152000
2002-03-20,13565024000
2002-03-21,13494536000
2002-03-22,13502367999
2002-03-25,13424048000
2002-03-26,13314400000
2002-03-27,13228248000
2002-03-28,13447544000
2002-04-01,13524000000
2002-04-02,13186880000
2002-04-03,13108480000
2002-04-04,13147680000
2002-04-05,13226080000
2002-04-08,13257440000
2002-04-09,13947360000
2002-04-10,13814080000
2002-04-11,13578880000
2002-04-12,13720000000
2002-04-15,13610240000
2002-04-16,13806240000
2002-04-17,13476960000
2002-04-18,13500480000
2002-04-19,13484800000
2002-04-22,13461280000
2002-04-23,13414240000
2002-04-24,13296640000
2002-04-25,13092800000
2002-04-26,12724320000
2002-04-29,13061440000
2002-04-30,13124159999
2002-05-01,13030080000
2002-05-02,12834080000
2002-05-03,12794880000
2002-05-06,12732159999
2002-05-07,13179039999
2002-05-08,13931680000
2002-05-09,13563200000
2002-05-10,13484800000
2002-05-13,13445599999
2002-05-14,13586719999
2002-05-15,13382880000
2002-05-16,13320159999
2002-05-17,13398560000
2002-05-20,13241760000
2002-05-21,12951680000
2002-05-22,12951680000
2002-05-23,13037920000
2002-05-24,13014400000
2002-05-28,12787039999
2002-05-29,12810560000
2002-05-30,12630240000
2002-05-31,12559680000
2002-06-03,12379360000
2002-06-04,12152000000
2002-06-05,12449920000
2002-06-06,12598880000
2002-06-07,12841920000
2002-06-10,12990880000
2002-06-11,12928159999
2002-06-12,13132000000
2002-06-13,12936000000
2002-06-14,12888960000
2002-06-17,13186880000
2002-06-18,13132000000
2002-06-19,12936000000
2002-06-20,12936000000
2002-06-21,12771360000
2002-06-24,12442080000
2002-06-25,12293120000
2002-06-26,12222560000
2002-06-27,12152000000
2002-06-28,11995200000
2002-07-01,11828124000
2002-07-02,11545380000
2002-07-03,11513964000
2002-07-05,11608212000
2002-07-08,11545380000
2002-07-09,11191950000
2002-07-10,10862082000
2002-07-11,10634316000
2002-07-12,10728564000
2002-07-15,10571484000
2002-07-16,10288740000
2002-07-17,10288740000
2002-07-18,10241616000
2002-07-19,10131660000
2002-07-22,9817500000
2002-07-23,9589734000
2002-07-24,10178784000
2002-07-25,10092390000
2002-07-26,10178784000
2002-07-29,10437966000
2002-07-30,10304448000
2002-07-31,11231220000
2002-08-01,11246928000
2002-08-02,10877790000
2002-08-05,10390842000
2002-08-06,11011308000
2002-08-07,11537526000
2002-08-08,11537526000
2002-08-09,11553234000
2002-08-12,11294052000
2002-08-13,11270490000
2002-08-14,11781000000
2002-08-15,11843832000
2002-08-16,11851686000
2002-08-19,12291510000
2002-08-20,11828124000
2002-08-21,11945934000
2002-08-22,12220824000
2002-08-23,12260094000
2002-08-26,12126576000
2002-08-27,12032328000
2002-08-28,11796708000
2002-08-29,11529672000
2002-08-30,11545380000
2002-09-03,11231220000
2002-09-04,11191950000
2002-09-05,10948476000
2002-09-06,11427570000
2002-09-09,11568942000
2002-09-10,11655336000
2002-09-11,11584650000
2002-09-12,11616066000
2002-09-13,11671044000
2002-09-16,11616066000
2002-09-17,11152680000
2002-09-18,10885644000
2002-09-19,10736418000
2002-09-20,10807104000
2002-09-23,10712856000
2002-09-24,10343718000
2002-09-25,10846374000
2002-09-26,11349030000
2002-09-27,10759980000
2002-09-30,9963944000
2002-10-01,9626050000
2002-10-02,9743920000
2002-10-03,9751778000
2002-10-04,9673198000
2002-10-07,9429600000
2002-10-08,10176110000
2002-10-09,10121104000
2002-10-10,10254690000
2002-10-11,10686880000
2002-10-14,10686880000
2002-10-15,11276230000
2002-10-16,11024774000
2002-10-17,11001200000
2002-10-18,10883330000
2002-10-21,10859756000
2002-10-22,10773318000
2002-10-23,10969768000
2002-10-24,10781176000
2002-10-25,10961910000
2002-10-28,10631874000
2002-10-29,10663306000
2002-10-30,10694738000
2002-10-31,10899046000
2002-11-01,10985484000
2002-11-04,10663306000
2002-11-05,10789034000
2002-11-06,10828324000
2002-11-07,10812608000
2002-11-08,10576868000
2002-11-11,10356844000
2002-11-12,10506146000
2002-11-13,10482572000
2002-11-14,10969768000
2002-11-15,11048348000
2002-11-18,10734028000
2002-11-19,10663306000
2002-11-20,10647590000
2002-11-21,10215400000
2002-11-22,10246832000
2002-11-25,10270406000
2002-11-26,10231116000
2002-11-27,10569010000
2002-11-29,10561152000
2002-12-02,10458998000
2002-12-03,10380418000
2002-12-04,10671164000
2002-12-05,10427566000
2002-12-06,10608300000
2002-12-09,10372560000
2002-12-10,10631874000
2002-12-11,10474714000
2002-12-12,10341128000
2002-12-13,10018950000
2002-12-16,9987518000
2002-12-17,9940370000
2002-12-18,9806784000
2002-12-19,9665340000
2002-12-20,9736062000
2002-12-23,9547470000
2002-12-24,9594618000
2002-12-26,9586760000
2002-12-27,9429600000
2002-12-30,9622564000
2002-12-31,9827132000
2003-01-02,10000228000
2003-01-03,10189060000
2003-01-06,10078908000
2003-01-07,9827132000
2003-01-08,9819264000
2003-01-09,10000228000
2003-01-10,9960888000
2003-01-13,10000228000
2003-01-14,10071040000
2003-01-15,9882208000
2003-01-16,10047436000
2003-01-17,9976624000
2003-01-21,9724848000
2003-01-22,9638300000
2003-01-23,9528148000
2003-01-24,9362920000
2003-01-27,9126880000
2003-01-28,9268504000
2003-01-29,8930180000
2003-01-30,8654800000
2003-01-31,8898708000
2003-02-03,9181956000
2003-02-04,9661904000
2003-02-05,9835000000
2003-02-06,9874340000
2003-02-07,9795660000
2003-02-10,9772056000
2003-02-11,9921548000
2003-02-12,9827132000
2003-02-13,9724848000
2003-02-14,9835000000
2003-02-18,10031700000
2003-02-19,10015964000
2003-02-20,10015964000
2003-02-21,10220532000
2003-02-24,9890076000
2003-02-25,9803528000
2003-02-26,9732716000
2003-02-27,9779924000
2003-02-28,9795660000
2003-03-03,9677640000
2003-03-04,9850736000
2003-03-05,9890076000
2003-03-06,9992360000
2003-03-07,9968756000
2003-03-10,9661904000
2003-03-11,9693376000
2003-03-12,9630432000
2003-03-13,9897944000
2003-03-14,10000228000
2003-03-17,10472308000
2003-03-18,10275608000
2003-03-19,9984492000
2003-03-20,10236268000
2003-03-21,10495912000
2003-03-24,9992360000
2003-03-25,10023832000
2003-03-26,9992360000
2003-03-27,9953020000
2003-03-28,9795660000
2003-03-31,9400840000
2003-04-01,9282640000
2003-04-02,9456000000
2003-04-03,9448120000
2003-04-04,9487520000
2003-04-07,9534800000
2003-04-08,9526920000
2003-04-09,9424480000
2003-04-10,9424480000
2003-04-11,9337800000
2003-04-14,9645120000
2003-04-15,9566320000
2003-04-16,9337800000
2003-04-17,9140800000
2003-04-21,9093520000
2003-04-22,9259000000
2003-04-23,9203840000
2003-04-24,9235360000
2003-04-25,9440240000
2003-04-28,9519040000
2003-04-29,9731800000
2003-04-30,9542680000
2003-05-01,9621480000
2003-05-02,9960320000
2003-05-05,10039120000
2003-05-06,10377960000
2003-05-07,10267640000
2003-05-08,10441000000
2003-05-09,10480400000
2003-05-12,10614360000
2003-05-13,10669520000
2003-05-14,10496160000
2003-05-15,10393720000
2003-05-16,10291280000
2003-05-19,9905160000
2003-05-20,9865760000
2003-05-21,9983960000
2003-05-22,10362200000
2003-05-23,10291280000
2003-05-27,10236120000
2003-05-28,10236120000
2003-05-29,10188840000
2003-05-30,10283400000
2003-06-02,10456760000
2003-06-03,10685280000
2003-06-04,10850760000
2003-06-05,10748320000
2003-06-06,10708920000
2003-06-09,10835000000
2003-06-10,10937440000
2003-06-11,11229000000
2003-06-12,11055640000
2003-06-13,10976840000
2003-06-16,11142320000
2003-06-17,11142320000
2003-06-18,11110800000
2003-06-19,10551320000
2003-06-20,10835000000
2003-06-23,10409480000
2003-06-24,11000480000
2003-06-25,10858640000
2003-06-26,11142320000
2003-06-27,10953200000
2003-06-30,11070192000
2003-07-01,11141256000
2003-07-02,11109672000
2003-07-03,11085984000
2003-07-07,11228112000
2003-07-08,11330760000
2003-07-09,11251800000
2003-07-10,11109672000
2003-07-11,11291280000
2003-07-14,11267592000
2003-07-15,11251800000
2003-07-16,11157048000
2003-07-17,10880688000
2003-07-18,10825416000
2003-07-21,10975440000
2003-07-22,10975440000
2003-07-23,10920168000
2003-07-24,10959648000
2003-07-25,11046504000
2003-07-28,11243904000
2003-07-29,10959648000
2003-07-30,11433408000
2003-07-31,11844000000
2003-08-01,11828208000
2003-08-04,11899272000
2003-08-05,11583432000
2003-08-06,11583432000
2003-08-07,11772936000
2003-08-08,11867688000
2003-08-11,12033504000
2003-08-12,12096672000
2003-08-13,12286176000
2003-08-14,12270384000
2003-08-15,12159840000
2003-08-18,12159840000
2003-08-19,12151944000
2003-08-20,12096672000
2003-08-21,12301968000
2003-08-22,12325656000
2003-08-25,12349344000
2003-08-26,12294072000
2003-08-27,12538848000
2003-08-28,12783624000
2003-08-29,12870480000
2003-09-02,12831000000
2003-09-03,12538848000
2003-09-04,12436200000
2003-09-05,12317760000
2003-09-08,12120360000
2003-09-09,11899272000
2003-09-10,11788728000
2003-09-11,11867688000
2003-09-12,11922960000
2003-09-15,11986128000
2003-09-16,12041400000
2003-09-17,12183528000
2003-09-18,12309864000
2003-09-19,12388824000
2003-09-22,12088776000
2003-09-23,12396720000
2003-09-24,12207216000
2003-09-25,12294072000
2003-09-26,12309864000
2003-09-29,12847860000
2003-09-30,12765660000
2003-10-01,13135560000
2003-10-02,13201319999
2003-10-03,13201319999
2003-10-06,13209540000
2003-10-07,13817819999
2003-10-08,14097299999
2003-10-09,14269920000
2003-10-10,14138400000
2003-10-13,14335680000
2003-10-14,14245259999
2003-10-15,14146620000
2003-10-16,14130180000
2003-10-17,13908240000
2003-10-20,13957560000
2003-10-21,13900020000
2003-10-22,13842480000
2003-10-23,14031540000
2003-10-24,13850700000
2003-10-27,14426100000
2003-10-28,14730240000
2003-10-29,14763120000
2003-10-30,14500080000
2003-10-31,14458980000
2003-11-03,14541180000
2003-11-04,14590500000
2003-11-05,14500080000
2003-11-06,14869980000
2003-11-07,14886420000
2003-11-10,15124799999
2003-11-11,14960400000
2003-11-12,14927520000
2003-11-13,14796000000
2003-11-14,14557620000
2003-11-17,14631600000
2003-11-18,14697360000
2003-11-19,14713799999
2003-11-20,14869980000
2003-11-21,14738460000
2003-11-24,15215220000
2003-11-25,15272759999
2003-11-26,15289200000
2003-11-28,15396060000
2003-12-01,15322080000
2003-12-02,14787779999
2003-12-03,14343900000
2003-12-04,14401440000
2003-12-05,14401440000
2003-12-08,14368560000
2003-12-09,14056200000
2003-12-10,13702740000
2003-12-11,14006880000
2003-12-12,14080860000
2003-12-15,13735620000
2003-12-16,13735620000
2003-12-17,13974000000
2003-12-18,14089080000
2003-12-19,14204160000
2003-12-22,14056200000
2003-12-23,14327460000
2003-12-24,14261700000
2003-12-26,14261700000
2003-12-29,14574060000
2003-12-30,14689140000
2003-12-31,14845319999
2004-01-02,14705580000
2004-01-05,14266800000
2004-01-06,14298504000
2004-01-07,14108280000
2004-01-08,14235096000
2004-01-09,14029020000
2004-01-12,13933907999
2004-01-13,14353986000
2004-01-14,14393616000
2004-01-15,14583839999
2004-01-16,14464950000
2004-01-20,14132057999
2004-01-21,14401542000
2004-01-22,14385689999
2004-01-23,14377764000
2004-01-26,14528357999
2004-01-27,14409468000
2004-01-28,14179614000
2004-01-29,14068650000
2004-01-30,14155836000
2004-02-02,14567988000
2004-02-03,14409468000
2004-02-04,14520432000
2004-02-05,14306430000
2004-02-06,14314355999
2004-02-09,14227170000
2004-02-10,14203392000
2004-02-11,14322282000
2004-02-12,15146586000
2004-02-13,14861250000
2004-02-17,14861250000
2004-02-18,14718582000
2004-02-19,14774064000
2004-02-20,14457023999
2004-02-23,14425320000
2004-02-24,14306430000
2004-02-25,14678952000
2004-02-26,14599692000
2004-02-27,14861250000
2004-03-01,14940510000
2004-03-02,14718582000
2004-03-03,14900880000
2004-03-04,14821620000
2004-03-05,14718582000
2004-03-08,14591766000
2004-03-09,14401542000
2004-03-10,14298504000
2004-03-11,14052798000
2004-03-12,13989389999
2004-03-15,13672350000
2004-03-16,13561386000
2004-03-17,13727832000
2004-03-18,13799166000
2004-03-19,13696128000
2004-03-22,13711980000
2004-03-23,13672350000
2004-03-24,13688202000
2004-03-25,13973538000
2004-03-26,13870500000
2004-03-29,14084502000
2004-03-30,14052798000
2004-03-31,13989389999
2004-04-01,13830870000
2004-04-02,13783314000
2004-04-05,14869280000
2004-04-06,14781720000
2004-04-07,14662320000
2004-04-08,14511080000
2004-04-12,14885200000
2004-04-13,14829480000
2004-04-14,14741920000
2004-04-15,14805600000
2004-04-16,14972759999
2004-04-19,15179720000
2004-04-20,15124000000
2004-04-21,15402600000
2004-04-22,15545880000
2004-04-23,15498120000
2004-04-26,15561800000
2004-04-27,15537920000
2004-04-28,15402600000
2004-04-29,15338920000
2004-04-30,15378720000
2004-05-03,15721000000
2004-05-04,15920000000
2004-05-05,16134920000
2004-05-06,16190640000
2004-05-07,16294120000
2004-05-10,16333920000
2004-05-11,15880200000
2004-05-12,15959800000
2004-05-13,15816520000
2004-05-14,15991640000
2004-05-17,15721000000
2004-05-18,15935920000
2004-05-19,15792640000
2004-05-20,15904080000
2004-05-21,15864280000
2004-05-24,15912039999
2004-05-25,16373720000
2004-05-26,16333920000
2004-05-27,16700080000
2004-05-28,16588640000
2004-06-01,16564759999
2004-06-02,16564759999
2004-06-03,16556800000
2004-06-04,16684160000
2004-06-07,16684160000
2004-06-08,16628440000
2004-06-09,16509039999
2004-06-10,16922960000
2004-06-14,16899080000
2004-06-15,16954800000
2004-06-16,16970720000
2004-06-17,16867240000
2004-06-18,16700080000
2004-06-21,16684160000
2004-06-22,16588640000
2004-06-23,16596600000
2004-06-24,16517000000
2004-06-25,16453320000
2004-06-28,16596600000
2004-06-29,16771720000
2004-06-30,16723960000
2004-07-01,16596600000
2004-07-02,16580679999
2004-07-06,16719264000
2004-07-07,16823160000
2004-07-08,16998984000
2004-07-09,17214768000
2004-07-12,16959024000
2004-07-13,17438544000
2004-07-14,17294688000
2004-07-15,17118864000
2004-07-16,16975007999
2004-07-19,17166816000
2004-07-20,17334648000
2004-07-21,17134848000
2004-07-22,17006976000
2004-07-23,16767216000
2004-07-26,16527456000
2004-07-27,17030951999
2004-07-28,16735248000
2004-07-29,16783200000
2004-07-30,16735248000
2004-08-02,17038944000
2004-08-03,16695288000
2004-08-04,16471512000
2004-08-05,16119864000
2004-08-06,15696288000
2004-08-09,15744240000
2004-08-10,15888096000
2004-08-11,15824160000
2004-08-12,15608376000
2004-08-13,15640344000
2004-08-16,15816168000
2004-08-17,15864120000
2004-08-18,16095888000
2004-08-19,15904079999
2004-08-20,15984000000
2004-08-23,15944040000
