,AMCR
2020-11-03,17378400000
2020-11-04,17300400000
2020-11-05,17955600000
2020-11-06,17971200000
2020-11-09,18782400000
2020-11-10,18501600000
2020-11-11,18610800000
2020-11-12,18018000000
2020-11-13,18392400000
2020-11-16,18954000000
2020-11-17,18610800000
2020-11-18,18470400000
2020-11-19,18595200000
2020-11-20,18610800000
2020-11-23,18049200000
2020-11-24,18408000000
2020-11-25,18080400000
2020-11-27,17908800000
2020-11-30,17674800000
2020-12-01,17986800000
2020-12-02,17893200000
2020-12-03,17846400000
2020-12-04,18002400000
2020-12-07,17706000000
2020-12-08,18002400000
2020-12-09,18111600000
2020-12-10,17986800000
2020-12-11,17846400000
2020-12-14,17581200000
2020-12-15,18002400000
2020-12-16,17784000000
2020-12-17,18033600000
2020-12-18,18189600000
2020-12-21,17893200000
2020-12-22,17940000000
2020-12-23,18033600000
2020-12-24,18158400000
2020-12-28,18080400000
2020-12-29,18096000000
2020-12-30,18314400000
2020-12-31,18231730000
2021-01-04,17627620000
2021-01-05,17751540000
2021-01-06,18247220000
2021-01-07,18092320000
2021-01-08,17813500000
2021-01-11,17875460000
2021-01-12,18014870000
2021-01-13,17705070000
2021-01-14,17643110000
2021-01-15,17116450000
2021-01-19,16961549999
2021-01-20,17395270000
2021-01-21,17426250000
2021-01-22,17178410000
2021-01-25,16992530000
2021-01-26,17364290000
2021-01-27,17131940000
2021-01-28,17317820000
2021-01-29,16946060000
2021-02-01,16868610000
2021-02-02,16930570000
2021-02-03,17054490000
2021-02-04,17317820000
2021-02-05,17767030000
2021-02-08,17767030000
2021-02-09,17410760000
2021-02-10,17705070000
2021-02-11,17503700000
2021-02-12,17813500000
2021-02-16,17426250000
2021-02-17,17503700000
2021-02-18,17689580000
2021-02-19,17689580000
2021-02-22,17689580000
2021-02-23,17612130000
2021-02-24,17674090000
2021-02-25,17565660000
2021-02-26,16946060000
2021-03-01,17488210000
2021-03-02,17705070000
2021-03-03,17767030000
2021-03-04,17457230000
2021-03-05,17983890000
2021-03-08,18216240000
2021-03-09,18200750000
2021-03-10,18479570000
2021-03-11,18169770000
2021-03-12,18231730000
2021-03-15,18216240000
2021-03-16,17813500000
2021-03-17,18030360000
2021-03-18,17596640000
2021-03-19,17503700000
2021-03-22,17674090000
2021-03-23,17612130000
2021-03-24,17519190000
2021-03-25,17937420000
2021-03-26,18247220000
2021-03-29,18278200000
2021-03-30,18185260000
2021-03-31,17870400000
2021-04-01,17839800000
2021-04-05,18191700000
2021-04-06,18329400000
2021-04-07,17793900000
2021-04-08,17702100000
2021-04-09,17946900000
2021-04-12,17931600000
2021-04-13,18023400000
2021-04-14,17962200000
2021-04-15,18191700000
2021-04-16,18283500000
2021-04-19,18145800000
2021-04-20,18145800000
2021-04-21,18268200000
2021-04-22,17824500000
2021-04-23,17946900000
2021-04-26,17962200000
2021-04-27,17855100000
2021-04-28,17885700000
2021-04-29,18191700000
2021-04-30,17977500000
2021-05-03,18038700000
2021-05-04,19017900000
2021-05-05,18788400000
2021-05-06,19109700000
2021-05-07,19048500000
2021-05-10,19048500000
2021-05-11,18972000000
2021-05-12,18589500000
2021-05-13,18941400000
2021-05-14,18926100000
2021-05-17,18803700000
2021-05-18,18650700000
2021-05-19,18375300000
2021-05-20,18344700000
2021-05-21,18329400000
2021-05-24,18268200000
2021-05-25,17931600000
2021-05-26,18023400000
2021-05-27,18176400000
2021-05-28,18054000000
2021-06-01,18191700000
2021-06-02,18145800000
2021-06-03,18268200000
2021-06-04,18589500000
2021-06-07,18513000000
2021-06-08,18482400000
2021-06-09,18467100000
2021-06-10,18467100000
2021-06-11,18727200000
2021-06-14,18589500000
2021-06-15,18375300000
2021-06-16,18084600000
2021-06-17,17656200000
2021-06-18,17380800000
2021-06-21,17549100000
2021-06-22,17656200000
2021-06-23,17579700000
2021-06-24,17625600000
2021-06-25,17763300000
2021-06-28,17671500000
2021-06-29,17533800000
2021-06-30,17533800000
2021-07-01,17686800000
2021-07-02,17656200000
2021-07-06,17503200000
2021-07-07,17671500000
2021-07-08,17426700000
2021-07-09,17610300000
2021-07-12,17610300000
2021-07-13,17686800000
2021-07-14,17656200000
2021-07-15,17702100000
2021-07-16,17503200000
2021-07-19,17212500000
2021-07-20,17227800000
2021-07-21,17380800000
2021-07-22,17396100000
2021-07-23,17289000000
2021-07-26,17579700000
2021-07-27,17640900000
2021-07-28,17717400000
2021-07-29,17809200000
2021-07-30,17686800000
2021-08-02,17625600000
2021-08-03,17855100000
2021-08-04,17748000000
2021-08-05,17870400000
2021-08-06,17946900000
2021-08-09,18084600000
2021-08-10,18283500000
2021-08-11,18635400000
2021-08-12,18436500000
2021-08-13,18589500000
2021-08-16,18696600000
2021-08-17,18513000000
2021-08-18,18574200000
2021-08-19,18972000000
2021-08-20,19568700000
2021-08-23,19400400000
2021-08-24,19308600000
2021-08-25,19584000000
2021-08-26,19354500000
2021-08-27,19553400000
2021-08-30,19568700000
2021-08-31,19660500000
2021-09-01,19415700000
2021-09-02,19507500000
2021-09-03,19400400000
2021-09-07,18696600000
2021-09-08,18849600000
2021-09-09,18558900000
2021-09-10,18819000000
2021-09-13,18819000000
2021-09-14,18849600000
2021-09-15,18972000000
2021-09-16,18558900000
2021-09-17,18130500000
2021-09-20,18023400000
2021-09-21,17885700000
2021-09-22,17962200000
2021-09-23,18084600000
2021-09-24,18038700000
2021-09-27,18161100000
2021-09-28,17901000000
2021-09-29,17946900000
2021-09-30,17616800000
2021-10-01,17768800000
2021-10-04,17677600000
2021-10-05,17936000000
2021-10-06,17860000000
2021-10-07,17996800000
2021-10-08,17799200000
2021-10-11,17662400000
2021-10-12,17692800000
2021-10-13,17738400000
2021-10-14,18103200000
2021-10-15,18164000000
2021-10-18,18103200000
2021-10-19,18270400000
2021-10-20,18300800000
2021-10-21,18285600000
2021-10-22,18483200000
2021-10-25,18361600000
2021-10-26,18255200000
2021-10-27,18285600000
2021-10-28,18468000000
2021-10-29,18346400000
2021-11-01,18148800000
2021-11-02,18361600000
2021-11-03,18696000000
2021-11-04,18483200000
2021-11-05,18452800000
2021-11-08,18544000000
2021-11-09,18711200000
2021-11-10,18756800000
2021-11-11,18787200000
2021-11-12,18817600000
2021-11-15,18832800000
2021-11-16,18711200000
2021-11-17,18468000000
2021-11-18,18270400000
2021-11-19,18088000000
2021-11-22,18179200000
2021-11-23,17890400000
2021-11-24,17723200000
2021-11-26,17540800000
2021-11-29,17601600000
2021-11-30,17206400000
2021-12-01,17115200000
2021-12-02,17449600000
2021-12-03,17191200000
2021-12-06,17586400000
2021-12-07,17616800000
2021-12-08,17662400000
2021-12-09,17571200000
2021-12-10,17632000000
2021-12-13,17738400000
2021-12-14,17738400000
2021-12-15,18164000000
2021-12-16,18300800000
2021-12-17,17920800000
2021-12-20,17632000000
2021-12-21,17844800000
2021-12-22,17647200000
2021-12-23,17723200000
2021-12-27,17951200000
2021-12-28,18027200000
2021-12-29,18164000000
2021-12-30,18179200000
2021-12-31,18051030000
2022-01-03,17855640000
2022-01-04,18141210000
2022-01-05,18171270000
2022-01-06,18020970000
2022-01-07,18216360000
2022-01-10,18261450000
2022-01-11,18201330000
2022-01-12,18246420000
2022-01-13,18456840000
2022-01-14,18592110000
2022-01-18,18456840000
2022-01-19,18652230000
2022-01-20,18231390000
2022-01-21,17960850000
2022-01-24,17915760000
2022-01-25,17720370000
2022-01-26,17675280000
2022-01-27,17735400000
2022-01-28,17945820000
2022-01-31,18051030000
2022-02-01,18336600000
2022-02-02,18231390000
2022-02-03,17675280000
2022-02-04,17374680000
2022-02-07,17269470000
2022-02-08,17464860000
2022-02-09,17705340000
2022-02-10,17464860000
2022-02-11,17419770000
2022-02-14,17389710000
2022-02-15,17750430000
2022-02-16,17690310000
2022-02-17,17720370000
2022-02-18,17855640000
2022-02-22,17585100000
2022-02-23,17479890000
2022-02-24,17254440000
2022-02-25,17735400000
2022-02-28,17479890000
2022-03-01,16923780000
2022-03-02,17164260000
2022-03-03,17059050000
2022-03-04,16968869999
2022-03-07,16217369999
2022-03-08,16442820000
2022-03-09,16668270000
2022-03-10,16382700000
2022-03-11,16382700000
2022-03-14,16968869999
2022-03-15,16893720000
2022-03-16,17224380000
2022-03-17,17449830000
2022-03-18,17540010000
2022-03-21,17224380000
2022-03-22,17209350000
2022-03-23,16863660000
2022-03-24,16953839999
2022-03-25,17044020000
2022-03-28,17059050000
2022-03-29,17389710000
2022-03-30,17329590000
2022-03-31,16825050000
2022-04-01,17136899999
2022-04-04,17047800000
2022-04-05,17047800000
2022-04-06,17077500000
2022-04-07,17122050000
2022-04-08,17404200000
2022-04-11,17419050000
2022-04-12,17315100000
2022-04-13,17374500000
2022-04-14,17329950000
2022-04-18,17122050000
2022-04-19,17463600000
2022-04-20,17834850000
2022-04-21,17716050000
2022-04-22,17196300000
2022-04-25,17300250000
2022-04-26,17240850000
2022-04-27,17849700000
2022-04-28,18027900000
2022-04-29,17612100000
2022-05-02,17374500000
2022-05-03,17775450000
2022-05-04,19483200000
2022-05-05,18770400000
2022-05-06,19022850000
2022-05-09,18725850000
2022-05-10,18651600000
2022-05-11,18577350000
2022-05-12,18666450000
2022-05-13,18963450000
2022-05-16,19215900000
2022-05-17,19795050000
2022-05-18,18904050000
2022-05-19,19245600000
2022-05-20,19201050000
2022-05-23,19379250000
2022-05-24,19245600000
2022-05-25,19260450000
2022-05-26,19453500000
2022-05-27,19765350000
2022-05-31,19453500000
2022-06-01,19587150000
2022-06-02,19973250000
2022-06-03,19884150000
2022-06-06,20032650000
2022-06-07,20017800000
2022-06-08,19824750000
2022-06-09,19557450000
2022-06-10,18948600000
2022-06-13,18250650000
2022-06-14,17953650000
2022-06-15,17968500000
2022-06-16,17389350000
2022-06-17,17404200000
2022-06-21,17701200000
2022-06-22,17612100000
2022-06-23,17730900000
2022-06-24,18428850000
2022-06-27,18369450000
2022-06-28,18310050000
2022-06-29,18636750000
2022-06-30,18321820000
2022-07-01,18469220000
2022-07-05,18336560000
2022-07-06,18646100000
2022-07-07,18660840000
2022-07-08,18336560000
2022-07-11,18572400000
2022-07-12,18366040000
2022-07-13,18248120000
2022-07-14,18262860000
2022-07-15,18395520000
2022-07-18,18174420000
2022-07-19,18616620000
2022-07-20,18395520000
2022-07-21,18631360000
2022-07-22,18572400000
2022-07-25,18778760000
2022-07-26,19014600000
2022-07-27,18985120000
2022-07-28,19220960000
2022-07-29,19088300000
2022-08-01,19220960000
2022-08-02,18793500000
2022-08-03,18749280000
2022-08-04,18557660000
2022-08-05,18085980000
2022-08-08,18262860000
2022-08-09,18277600000
2022-08-10,18734540000
2022-08-11,18616620000
2022-08-12,18881940000
2022-08-15,19206220000
2022-08-16,19589460000
2022-08-17,19176740000
2022-08-18,18749280000
2022-08-19,18395520000
2022-08-22,18395520000
2022-08-23,18542920000
2022-08-24,18675580000
2022-08-25,19044080000
2022-08-26,18307080000
2022-08-29,18071240000
2022-08-30,17953320000
2022-08-31,17702740000
2022-09-01,17688000000
2022-09-02,17717480000
2022-09-06,17466900000
2022-09-07,17835400000
2022-09-08,17953320000
2022-09-09,18115460000
2022-09-12,18233380000
2022-09-13,17599560000
2022-09-14,17304760000
2022-09-15,17378460000
2022-09-16,17186840000
2022-09-19,17334240000
2022-09-20,16862560000
2022-09-21,16538280000
2022-09-22,16435100000
2022-09-23,16184520000
2022-09-26,15919200000
2022-09-27,15727580000
2022-09-28,16066600000
2022-09-29,15845500000
2022-09-30,15826750000
2022-10-03,16269250000
2022-10-04,16638000000
2022-10-05,16357750000
2022-10-06,16328250000
2022-10-07,15900500000
2022-10-10,16062750000
2022-10-11,15900500000
2022-10-12,15620250000
2022-10-13,16313500000
2022-10-14,15989000000
2022-10-17,16210250000
2022-10-18,16519999999
2022-10-19,16313500000
2022-10-20,16062750000
2022-10-21,16667500000
2022-10-24,16667500000
2022-10-25,16918250000
2022-10-26,16933000000
2022-10-27,17021499999
2022-10-28,17331250000
2022-10-31,17080500000
2022-11-01,17095250000
2022-11-02,15989000000
2022-11-03,15885750000
2022-11-04,16461000000
2022-11-07,16549500000
2022-11-08,16549500000
2022-11-09,16254500000
2022-11-10,17139499999
2022-11-11,17169000000
2022-11-14,17390250000
2022-11-15,17360750000
2022-11-16,17242750000
2022-11-17,17390250000
2022-11-18,17434500000
2022-11-21,17685250000
2022-11-22,17685250000
2022-11-23,17818000000
2022-11-25,17818000000
2022-11-28,17685250000
2022-11-29,17862250000
2022-11-30,18216250000
2022-12-01,18260500000
2022-12-02,18437500000
2022-12-05,18098250000
2022-12-06,17921250000
2022-12-07,17891750000
2022-12-08,18334250000
2022-12-09,18245750000
2022-12-12,18408000000
2022-12-13,18526000000
2022-12-14,18408000000
2022-12-15,18083500000
2022-12-16,17818000000
2022-12-19,17729500000
2022-12-20,17773750000
2022-12-21,17847500000
2022-12-22,17670500000
2022-12-23,17788500000
2022-12-27,17818000000
2022-12-28,17567250000
2022-12-29,17729500000
2022-12-30,17567250000
2023-01-03,17522400000
2023-01-04,17684100000
2023-01-05,17522400000
2023-01-06,17934000000
2023-01-09,17934000000
2023-01-10,17816400000
2023-01-11,17904600000
2023-01-12,17934000000
2023-01-13,17831100000
2023-01-17,17860500000
2023-01-18,17463600000
2023-01-19,17272500000
2023-01-20,17463600000
2023-01-23,17640000000
2023-01-24,17257800000
2023-01-25,17316600000
2023-01-26,17390100000
2023-01-27,17566500000
2023-01-30,17316600000
2023-01-31,17728200000
2023-02-01,17742900000
2023-02-02,17934000000
2023-02-03,17684100000
2023-02-06,17537100000
2023-02-07,17478300000
2023-02-08,16552200000
2023-02-09,16493400000
2023-02-10,16655100000
2023-02-13,16831499999
2023-02-14,16758000000
2023-02-15,16919700000
2023-02-16,16772700000
2023-02-17,16787400000
2023-02-21,16287600000
2023-02-22,16375800000
2023-02-23,16611000000
2023-02-24,16581600000
2023-02-27,16655100000
2023-02-28,16375800000
2023-03-01,16390500000
2023-03-02,16478700000
2023-03-03,16508100000
2023-03-06,16243500000
2023-03-07,16052400000
2023-03-08,16096499999
2023-03-09,15949500000
2023-03-10,15787800000
2023-03-13,15802500000
2023-03-14,16008300000
2023-03-15,15787800000
2023-03-16,15861299999
2023-03-17,15728999999
2023-03-20,16052400000
2023-03-21,16155300000
2023-03-22,15890700000
2023-03-23,15934800000
2023-03-24,16067100000
2023-03-27,16125900000
2023-03-28,16214100000
2023-03-29,16331700000
2023-03-30,16375800000
2023-03-31,16466860000
2023-04-03,16351100000
2023-04-04,16235340000
2023-04-05,16365570000
2023-04-06,16278750000
2023-04-10,16047230000
2023-04-11,15902530000
2023-04-12,15945940000
2023-04-13,16191930000
2023-04-14,16061700000
2023-04-17,16061700000
2023-04-18,16148520000
2023-04-19,16032760000
2023-04-20,15945940000
2023-04-21,16003820000
2023-04-24,16018290000
2023-04-25,15656540000
2023-04-26,15511840000
2023-04-27,15801240000
2023-04-28,15873590000
2023-05-01,16003820000
2023-05-02,15801240000
2023-05-03,14484470000
2023-05-04,14773870000
2023-05-05,15077740000
2023-05-08,15135620000
2023-05-09,14918570000
2023-05-10,15034330000
2023-05-11,14990920000
2023-05-12,14904100000
2023-05-15,14990920000
2023-05-16,14788340000
2023-05-17,14831750000
2023-05-18,14788340000
2023-05-19,14802810000
2023-05-22,14860690000
2023-05-23,14643639999
2023-05-24,14383180000
2023-05-25,14195070000
2023-05-26,14166129999
2023-05-30,14093780000
2023-05-31,13949080000
2023-06-01,14064840000
2023-06-02,14426590000
2023-06-05,14470000000
2023-06-06,14470000000
2023-06-07,14629170000
2023-06-08,14585760000
2023-06-09,14484470000
2023-06-12,14513410000
2023-06-13,14701520000
2023-06-14,14701520000
2023-06-15,14875160000
2023-06-16,14976450000
2023-06-20,14744930000
2023-06-21,14687050000
2023-06-22,14571290000
2023-06-23,14281889999
2023-06-26,14412120000
2023-06-27,14571290000
2023-06-28,14195070000
2023-06-29,14325300000
2023-06-30,14361220000
2023-07-03,14505120000
2023-07-05,14044640000
2023-07-06,14145370000
2023-07-07,14303660000
2023-07-10,13972690000
2023-07-11,14202929999
2023-07-12,14231710000
2023-07-13,14361220000
2023-07-14,14289270000
2023-07-17,14217320000
2023-07-18,14318049999
2023-07-19,14361220000
2023-07-20,14318049999
2023-07-21,14418780000
2023-07-24,14548290000
2023-07-25,14649020000
2023-07-26,14605850000
2023-07-27,14649020000
2023-07-28,14706580000
2023-07-31,14764140000
2023-08-01,14404390000
2023-08-02,14174150000
2023-08-03,14059030000
2023-08-04,14174150000
2023-08-07,14260490000
2023-08-08,13972690000
2023-08-09,13958299999
2023-08-10,13987080000
2023-08-11,13943910000
2023-08-14,13886350000
2023-08-15,13641720000
2023-08-16,13540990000
2023-08-17,13771230000
2023-08-18,13771230000
2023-08-21,13598549999
2023-08-22,13397090000
2023-08-23,13483429999
2023-08-24,13526600000
2023-08-25,13555380000
2023-08-28,13713670000
2023-08-29,13972690000
2023-08-30,14030250000
2023-08-31,14015860000
2023-09-01,14073420000
2023-09-05,13641720000
2023-09-06,13353920000
2023-09-07,13166850000
2023-09-08,13310750000
2023-09-11,13569770000
2023-09-12,13584160000
2023-09-13,13253190000
2023-09-14,13713670000
2023-09-15,13454650000
2023-09-18,13353920000
2023-09-19,13224410000
2023-09-20,13325140000
2023-09-21,13109290000
2023-09-22,13022950000
2023-09-25,13224410000
2023-09-26,13094900000
2023-09-27,12994170000
2023-09-28,13195630000
2023-09-29,13181240000
2023-10-02,13037340000
2023-10-03,12850270000
2023-10-04,13022950000
2023-10-05,12850270000
2023-10-06,12735150000
2023-10-09,12922220000
2023-10-10,12936610000
2023-10-11,12879049999
2023-10-12,12504910000
2023-10-13,12533690000
2023-10-16,12792710000
2023-10-17,12735150000
2023-10-18,12461740000
2023-10-19,12404179999
2023-10-20,12245890000
2023-10-23,12159549999
2023-10-24,12418570000
2023-10-25,12317840000
2023-10-26,12490520000
2023-10-27,12461740000
2023-10-30,12749540000
2023-10-31,12792710000
2023-11-01,12533690000
2023-11-02,12677590000
2023-11-03,13109290000
2023-11-06,13037340000
2023-11-07,13022950000
2023-11-08,13051730000
2023-11-09,12936610000
2023-11-10,13051730000
2023-11-13,12879049999
2023-11-14,13325140000
2023-11-15,13454650000
2023-11-16,13353920000
2023-11-17,13483429999
2023-11-20,13483429999
2023-11-21,13296360000
2023-11-22,13353920000
2023-11-24,13469040000
2023-11-27,13454650000
2023-11-28,13382700000
2023-11-29,13656110000
2023-11-30,13641720000
2023-12-01,13756840000
2023-12-04,13641720000
2023-12-05,13483429999
2023-12-06,13540990000
2023-12-07,13871960000
2023-12-08,13886350000
2023-12-11,13771230000
2023-12-12,13584160000
2023-12-13,14015860000
2023-12-14,13972690000
2023-12-15,13814400000
2023-12-18,13929520000
2023-12-19,14015860000
2023-12-20,13843179999
2023-12-21,13972690000
2023-12-22,13929520000
2023-12-26,13929520000
2023-12-27,13987080000
2023-12-28,13972690000
2023-12-29,13871960000
2024-01-02,14030250000
2024-01-03,13814400000
2024-01-04,13871960000
2024-01-05,14015860000
2024-01-08,14116590000
2024-01-09,14059030000
2024-01-10,14044640000
2024-01-11,14159760000
2024-01-12,14030250000
2024-01-16,13785620000
2024-01-17,13612940000
2024-01-18,13598549999
2024-01-19,13627330000
2024-01-22,13612940000
2024-01-23,13627330000
2024-01-24,13397090000
2024-01-25,13627330000
