,GWW
2001-01-12,3430810239
2001-01-16,3395460242
2001-01-17,3413135240
2001-01-18,3354528666
2001-01-19,3354528666
2001-01-22,3348947088
2001-01-23,3337783931
2001-01-24,3418716819
2001-01-25,3424298397
2001-01-26,3361040508
2001-01-29,3348947088
2001-01-30,3441973396
2001-01-31,3663376009
2001-02-01,3484765497
2001-02-02,3466160236
2001-02-05,3474532603
2001-02-06,3385227348
2001-02-07,3428019449
2001-02-08,3386157611
2001-02-09,3345226035
2001-02-12,3334993141
2001-02-13,3361970771
2001-02-14,3320108932
2001-02-15,3374994454
2001-02-16,3272665515
2001-02-20,3271735252
2001-02-21,3180569470
2001-02-22,3172197102
2001-02-23,3110799739
2001-02-26,3257781306
2001-02-27,3262432621
2001-02-28,3256851043
2001-03-01,3256851043
2001-03-02,3343365509
2001-03-05,3425228660
2001-03-06,3410344451
2001-03-07,3447554974
2001-03-08,3454066816
2001-03-09,3416856292
2001-03-12,3281968146
2001-03-13,3184290522
2001-03-14,3115451054
2001-03-15,3132195790
2001-03-16,2975911592
2001-03-19,2892187915
2001-03-20,2896839231
2001-03-21,2816836606
2001-03-22,2812185290
2001-03-23,2880094495
2001-03-26,3011261589
2001-03-27,3065216848
2001-03-28,3071728690
2001-03-29,3140568158
2001-03-30,3148940525
2001-04-02,3097742910
2001-04-03,3018986734
2001-04-04,3084616880
2001-04-05,3203688717
2001-04-06,3154934894
2001-04-09,3185874820
2001-04-10,3233691070
2001-04-11,3189625115
2001-04-12,3133370703
2001-04-16,3131495556
2001-04-17,3141808865
2001-04-18,3363076216
2001-04-19,3325573275
2001-04-20,3277757025
2001-04-23,3449332980
2001-04-24,3515900700
2001-04-25,3562779376
2001-04-26,3608720478
2001-04-27,3649036139
2001-04-30,3635910110
2001-05-01,3722166874
2001-05-02,3751231653
2001-05-03,3656536728
2001-05-04,3693102095
2001-05-07,3699665109
2001-05-08,3739980771
2001-05-09,3753106800
2001-05-10,3828112682
2001-05-11,3826237535
2001-05-14,3807486064
2001-05-15,3844051432
2001-05-16,3905931284
2001-05-17,3970623857
2001-05-18,4012814665
2001-05-21,4087820547
2001-05-22,4061568488
2001-05-23,4024065547
2001-05-24,3983749886
2001-05-25,4003438930
2001-05-29,4058755768
2001-05-30,4073756944
2001-05-31,4143137384
2001-06-01,4179702752
2001-06-04,4199391796
2001-06-05,4210642678
2001-06-06,4182515472
2001-06-07,4281898265
2001-06-08,4345653265
2001-06-11,4199391796
2001-06-12,4130011355
2001-06-13,4114072605
2001-06-14,4005314077
2001-06-15,4038129150
2001-06-18,3970623857
2001-06-19,3903118563
2001-06-20,3929370622
2001-06-21,3979062018
2001-06-22,3944371798
2001-06-25,3889992534
2001-06-26,3923745181
2001-06-27,3893742828
2001-06-28,3923745181
2001-06-29,3859052608
2001-07-02,3883792265
2001-07-03,3959414182
2001-07-05,3967816617
2001-07-06,3762423757
2001-07-09,3711075542
2001-07-10,3693337067
2001-07-11,3657860119
2001-07-12,3790431874
2001-07-13,3752154114
2001-07-16,3766158172
2001-07-17,3838045674
2001-07-18,3907132363
2001-07-19,3937941292
2001-07-20,3906198759
2001-07-23,3924870837
2001-07-24,3838979277
2001-07-25,3917402006
2001-07-26,3953812558
2001-07-27,3939808500
2001-07-30,3939808500
2001-07-31,3930472461
2001-08-01,3945410123
2001-08-02,3886593077
2001-08-03,3865120187
2001-08-06,3827776031
2001-08-07,3810037556
2001-08-08,3781095835
2001-08-09,3760556549
2001-08-10,3743751679
2001-08-13,3701739503
2001-08-14,3725079600
2001-08-15,3787631062
2001-08-16,3820307199
2001-08-17,3765224569
2001-08-20,3825908823
2001-08-21,3827776031
2001-08-22,3869788206
2001-08-23,3902464343
2001-08-24,3863252979
2001-08-27,3838979277
2001-08-28,3868854603
2001-08-29,3857651356
2001-08-30,3903397947
2001-08-31,3950078143
2001-09-04,3979019864
2001-09-05,4056508988
2001-09-06,4194682367
2001-09-07,4089185125
2001-09-10,4027567267
2001-09-17,3828709634
2001-09-18,3870721810
2001-09-19,3816572784
2001-09-20,3661594535
2001-09-21,3442197616
2001-09-24,3547694858
2001-09-25,3547694858
2001-09-26,3538358818
2001-09-27,3558898104
2001-09-28,3627051190
2001-10-01,3584102898
2001-10-02,3671158627
2001-10-03,3720243241
2001-10-04,3721169366
2001-10-05,3772106228
2001-10-08,3771180104
2001-10-09,3744322485
2001-10-10,3936030315
2001-10-11,4039756290
2001-10-12,3992523926
2001-10-15,3948069937
2001-10-16,4021233794
2001-10-17,4005489673
2001-10-18,3988819427
2001-10-19,4006415798
2001-10-22,4102732775
2001-10-23,3948996061
2001-10-24,4015677046
2001-10-25,3984188803
2001-10-26,4022159919
2001-10-29,3982336554
2001-10-30,3974927555
2001-10-31,4010120297
2001-11-01,4045313039
2001-11-02,4121255271
2001-11-05,4146260640
2001-11-06,4237020868
2001-11-07,4172192133
2001-11-08,4175896633
2001-11-09,4166635385
2001-11-12,4124033645
2001-11-13,4176822757
2001-11-14,4200902002
2001-11-15,4220350622
2001-11-16,4231464119
2001-11-19,4264804611
2001-11-20,4253691114
2001-11-21,4190714629
2001-11-23,4215719998
2001-11-26,4263878487
2001-11-27,4354638715
2001-11-28,4344451342
2001-11-29,4405575578
2001-11-30,4334263970
2001-12-03,4289809980
2001-12-04,4325002722
2001-12-05,4431507072
2001-12-06,4436137696
2001-12-07,4448177318
2001-12-10,4380570209
2001-12-11,4375013460
2001-12-12,4338894594
2001-12-13,4218498372
2001-12-14,4319445973
2001-12-17,4373161211
2001-12-18,4410206202
2001-12-19,4360195464
2001-12-20,4360195464
2001-12-21,4440768320
2001-12-24,4473182687
2001-12-26,4428728697
2001-12-27,4421319699
2001-12-28,4493557432
2001-12-31,4445705040
2002-01-02,4428107457
2002-01-03,4528135820
2002-01-04,4554995288
2002-01-07,4541102460
2002-01-08,4542954837
2002-01-09,4579076191
2002-01-10,4600378527
2002-01-11,4559626231
2002-01-14,4535545329
2002-01-15,4488309713
2002-01-16,4462376433
2002-01-17,4487383524
2002-01-18,4540176272
2002-01-22,4596673773
2002-01-23,4644835578
2002-01-24,4884718412
2002-01-25,4937511160
2002-01-28,4948625422
2002-01-29,4915282634
2002-01-30,4888423166
2002-01-31,5029203826
2002-02-01,5028277637
2002-02-04,4977337267
2002-02-05,4955108742
2002-02-06,5006975301
2002-02-07,5000491981
2002-02-08,5044949031
2002-02-11,5025499072
2002-02-12,5039391900
2002-02-13,5011606244
2002-02-14,4995861038
2002-02-15,5028277637
2002-02-19,4943994479
2002-02-20,5050506163
2002-02-21,5008827678
2002-02-22,5095889402
2002-02-25,5084775139
2002-02-26,5285758054
2002-02-27,5407088754
2002-02-28,5489519535
2002-03-01,5324657973
2002-03-04,5409867320
2002-03-05,5370967401
2002-03-06,5422833960
2002-03-07,5351517441
2002-03-08,5386712606
2002-03-11,5418203017
2002-03-12,5360779327
2002-03-13,5187582068
2002-03-14,5232965307
2002-03-15,5232965307
2002-03-18,5174615428
2002-03-19,5277422357
2002-03-20,5370041212
2002-03-21,5229260553
2002-03-22,5195917765
2002-03-25,5069956122
2002-03-26,5107003664
2002-03-27,5130158378
2002-03-28,5207958216
2002-04-01,5138460744
2002-04-02,5175561544
2002-04-03,5095794825
2002-04-04,5221010023
2002-04-05,5271096103
2002-04-08,5246980583
2002-04-09,5298921702
2002-04-10,5403731461
2002-04-11,5343442662
2002-04-12,5320254662
2002-04-15,5240487943
2002-04-16,5455672581
2002-04-17,5423209381
2002-04-18,5275733703
2002-04-19,5300776742
2002-04-22,5096722345
2002-04-23,5065186665
2002-04-24,5007680426
2002-04-25,5068896745
2002-04-26,5105997544
2002-04-29,5049418825
2002-04-30,5200604583
2002-05-01,5134750664
2002-05-02,5098577385
2002-05-03,4999332746
2002-05-06,4842581867
2002-05-07,5008607946
2002-05-08,5064259145
2002-05-09,4952956746
2002-05-10,4855567147
2002-05-13,4888030347
2002-05-14,5043853705
2002-05-15,5026230825
2002-05-16,5052201385
2002-05-17,5124547944
2002-05-20,5103214984
2002-05-21,5015100585
2002-05-22,5048491305
2002-05-23,5129185544
2002-05-24,5092084745
2002-05-28,4998405226
2002-05-29,4904725707
2002-05-30,4860204747
2002-05-31,4876900107
2002-06-03,4835161707
2002-06-04,4771162828
2002-06-05,4837016747
2002-06-06,4742409708
2002-06-07,4678410829
2002-06-10,4689541069
2002-06-11,4691396109
2002-06-12,4732206988
2002-06-13,4665425549
2002-06-14,4645947629
2002-06-17,4755394988
2002-06-18,4668208109
2002-06-19,4613484430
2002-06-20,4543920431
2002-06-21,4445603312
2002-06-24,4453023471
2002-06-25,4416850192
2002-06-26,4423342832
2002-06-27,4493834351
2002-06-28,4646875149
2002-07-01,4559599965
2002-07-02,4382287292
2002-07-03,4440166558
2002-07-05,4593592550
2002-07-08,4525607380
2002-07-09,4510907884
2002-07-10,4318895715
2002-07-11,4235292331
2002-07-12,4236211049
2002-07-15,4226105146
2002-07-16,4018474762
2002-07-17,4106671739
2002-07-18,3991831925
2002-07-19,3878829549
2002-07-22,3757558705
2002-07-23,3766745891
2002-07-24,4042361444
2002-07-25,4263772604
2002-07-26,4289496723
2002-07-29,4456703492
2002-07-30,4475077862
2002-07-31,4505395573
2002-08-01,4520095069
2002-08-02,4336351367
2002-08-05,4132395857
2002-08-06,4290415441
2002-08-07,4229780020
2002-08-08,4349213426
2002-08-09,4361156766
2002-08-12,4343701115
2002-08-13,4293171597
2002-08-14,4336351367
2002-08-15,4266528760
2002-08-16,4267447478
2002-08-19,4345538552
2002-08-20,4291334160
2002-08-21,4316139559
2002-08-22,4309708530
2002-08-23,4259179012
2002-08-26,4258260293
2002-08-27,4279390819
2002-08-28,4227942583
2002-08-29,4152607665
2002-08-30,4138826887
2002-09-03,4033174258
2002-09-04,4054304784
2002-09-05,3950489593
2002-09-06,4003775266
2002-09-09,3990913207
2002-09-10,4159957413
2002-09-11,4127802265
2002-09-12,4018474762
2002-09-13,3978969866
2002-09-16,3941302407
2002-09-17,3878829549
2002-09-18,3922928037
2002-09-19,3850349275
2002-09-20,3876992112
2002-09-23,3841162090
2002-09-24,3757558705
2002-09-25,3844836964
2002-09-26,4060735814
2002-09-27,3905472386
2002-09-30,3858732488
2002-10-01,3936723321
2002-10-02,3845129436
2002-10-03,3879590501
2002-10-04,3781648525
2002-10-07,3680985938
2002-10-08,3766231732
2002-10-09,3611156937
2002-10-10,3814295850
2002-10-11,4004738582
2002-10-14,3906796606
2002-10-15,4235083600
2002-10-16,4147117195
2002-10-17,4394692746
2002-10-18,4333025576
2002-10-21,4551581282
2002-10-22,4352976720
2002-10-23,4427340072
2002-10-24,4403761448
2002-10-25,4465428618
2002-10-28,4418271370
2002-10-29,4420991981
2002-10-30,4430967552
2002-10-31,4394692746
2002-11-01,4436408773
2002-11-04,4459987397
2002-11-05,4469056099
2002-11-06,4594204179
2002-11-07,4528002658
2002-11-08,4577880517
2002-11-11,4424619461
2002-11-12,4532537009
2002-11-13,4589669829
2002-11-14,4690332415
2002-11-15,4838152250
2002-11-18,4775578209
2002-11-19,4741117144
2002-11-20,4770136989
2002-11-21,4750185845
2002-11-22,4772857599
2002-11-25,4751999586
2002-11-26,4705749208
2002-11-27,4848127821
2002-11-29,4877147666
2002-12-02,4859917133
2002-12-03,4722979741
2002-12-04,4742930884
2002-12-05,4665846921
2002-12-06,4717538520
2002-12-09,4596017920
2002-12-10,4644082038
2002-12-11,4627758375
2002-12-12,4688518675
2002-12-13,4561556854
2002-12-16,4611434712
2002-12-17,4635920206
2002-12-18,4543419451
2002-12-19,4507144645
2002-12-20,4595111050
2002-12-23,4602366011
2002-12-24,4560649984
2002-12-26,4588762959
2002-12-27,4558836244
2002-12-30,4605993491
2002-12-31,4684108586
2003-01-02,4825858526
2003-01-03,4788603734
2003-01-06,4792238348
2003-01-07,4739536447
2003-01-08,4659574942
2003-01-09,4754983556
2003-01-10,4711368190
2003-01-13,4655940329
2003-01-14,4676839358
2003-01-15,4570526903
2003-01-16,4568709596
2003-01-17,4486022132
2003-01-21,4398791399
2003-01-22,4320647202
2003-01-23,4405151974
2003-01-24,4294296251
2003-01-27,4227964549
2003-01-28,4238868390
2003-01-29,4347906806
2003-01-30,4241594351
2003-01-31,4297930865
2003-02-03,4307017400
2003-02-04,4229781856
2003-02-05,4237051083
2003-02-06,4179805916
2003-02-07,4079854035
2003-02-10,4025334827
2003-02-11,4136190549
2003-02-12,4058955005
2003-02-13,4061680966
2003-02-14,4195253024
2003-02-18,4281575103
2003-02-19,4239777044
2003-02-20,4227964549
2003-02-21,4242503004
2003-02-24,4148003044
2003-02-25,4171628034
2003-02-26,4103479025
2003-02-27,4161632846
2003-02-28,4182531876
2003-03-03,4158906886
2003-03-04,4068041540
2003-03-05,4052594431
2003-03-06,4002618491
2003-03-07,4028969441
2003-03-10,3946281976
2003-03-11,3851782016
2003-03-12,3809983957
2003-03-13,3934469481
2003-03-14,3918113719
2003-03-17,4057137698
2003-03-18,4112565559
2003-03-19,4104387678
2003-03-20,4119834787
2003-03-21,4264310687
2003-03-24,4106204985
2003-03-25,4099844411
2003-03-26,4004435798
2003-03-27,4002618491
2003-03-28,3949916590
2003-03-31,3896778771
2003-04-01,3916762252
2003-04-02,4087530180
2003-04-03,4089346860
2003-04-04,4079355119
2003-04-07,4144755602
2003-04-08,4107513660
2003-04-09,4060279978
2003-04-10,4082988479
2003-04-11,4073905079
2003-04-14,4154747342
2003-04-15,4082988479
2003-04-16,4127497141
2003-04-17,4078446779
2003-04-21,4078446779
2003-04-22,4080263459
2003-04-23,4119322081
2003-04-24,4087530180
2003-04-25,3984887755
2003-04-28,4112055361
2003-04-29,4132947182
2003-04-30,4191989284
2003-05-01,4161105723
2003-05-02,4228322886
2003-05-05,4228322886
2003-05-06,4241039646
2003-05-07,4214697785
2003-05-08,4117505401
2003-05-09,4187447584
2003-05-12,4236497946
2003-05-13,4251939727
2003-05-14,4191989284
2003-05-15,4230139566
2003-05-16,4223781186
2003-05-19,4110238681
2003-05-20,4082988479
2003-05-21,4026671397
2003-05-22,4061188318
2003-05-23,4069363379
2003-05-27,4192897624
2003-05-28,4213789445
2003-05-29,4146572282
2003-05-30,4241947986
2003-06-02,4355490491
2003-06-03,4337323691
2003-06-04,4422707654
2003-06-05,4508091618
2003-06-06,4487199797
2003-06-09,4442691135
2003-06-10,4372748952
2003-06-11,4413624254
2003-06-12,4421799314
2003-06-13,4288273328
2003-06-16,4350948791
2003-06-17,4340048711
2003-06-18,4323698590
2003-06-19,4229231226
2003-06-20,4249214707
2003-06-23,4180180864
2003-06-24,4169280783
2003-06-25,4101155280
2003-06-26,4289181668
2003-06-27,4262839807
2003-06-30,4238831267
2003-07-01,4243363807
2003-07-02,4269652538
2003-07-03,4233392219
2003-07-07,4264213490
2003-07-08,4302286825
2003-07-09,4334014604
2003-07-10,4310445397
2003-07-11,4334014604
2003-07-14,4369368415
2003-07-15,4362116351
2003-07-16,4333108096
2003-07-17,4298660793
2003-07-18,4355770795
2003-07-21,4295941269
2003-07-22,4348518732
2003-07-23,4333108096
2003-07-24,4329482064
2003-07-25,4421039369
2003-07-28,4450047624
2003-07-29,4450954132
2003-07-30,4401096194
2003-07-31,4460019212
2003-08-01,4402002702
2003-08-04,4398376670
2003-08-05,4338547144
2003-08-06,4296847777
2003-08-07,4327669048
2003-08-08,4356677303
2003-08-11,4367555399
2003-08-12,4397470162
2003-08-13,4435543497
2003-08-14,4489933975
2003-08-15,4469084292
2003-08-18,4521661754
2003-08-19,4559735089
2003-08-20,4512596674
2003-08-21,4471803816
2003-08-22,4403815718
2003-08-25,4440982545
2003-08-26,4450047624
2003-08-27,4484494927
2003-08-28,4481775403
2003-08-29,4517129214
2003-09-02,4736504143
2003-09-03,4709308904
2003-09-04,4700243824
2003-09-05,4668516045
2003-09-08,4652198902
2003-09-09,4665796521
2003-09-10,4583304296
2003-09-11,4592369376
2003-09-12,4596901915
2003-09-15,4532539850
2003-09-16,4577865248
2003-09-17,4557015565
2003-09-18,4595995407
2003-09-19,4577865248
2003-09-22,4546137469
2003-09-23,4547950485
2003-09-24,4470897308
2003-09-25,4475429847
2003-09-26,4445515084
2003-09-29,4372994447
2003-09-30,4289927239
2003-10-01,4380146529
2003-10-02,4420745210
2003-10-03,4439691260
2003-10-06,4429767139
2003-10-07,4479387748
2003-10-08,4456832926
2003-10-09,4458637311
2003-10-10,4406310123
2003-10-13,4438789068
2003-10-14,4411723281
2003-10-15,4576824581
2003-10-16,4241208822
2003-10-17,4186175056
2003-10-20,4127532517
2003-10-21,4050846121
2003-10-22,3995812354
2003-10-23,4036411034
2003-10-24,3984986039
2003-10-27,4061672435
2003-10-28,4091444801
2003-10-29,4117608395
2003-10-30,4135652253
2003-10-31,4130239096
2003-11-03,4151891725
2003-11-04,4164522426
2003-11-05,4164522426
2003-11-06,4160011461
2003-11-07,4142869796
2003-11-10,4113999624
2003-11-11,4150989532
2003-11-12,4172642162
2003-11-13,4150087340
2003-11-14,4077911908
2003-11-17,4079716293
2003-11-18,4061672435
2003-11-19,4087836029
2003-11-20,4079716293
2003-11-21,4095955766
2003-11-24,4194294792
2003-11-25,4242111015
2003-11-26,4204218914
2003-11-28,4173544355
2003-12-01,4208729878
2003-12-02,4149185147
2003-12-03,4159109269
2003-12-04,4229480315
2003-12-05,4195196985
2003-12-08,4232186893
2003-12-09,4280003117
2003-12-10,4416234245
2003-12-11,4440593453
2003-12-12,4447810997
2003-12-15,4384657494
2003-12-16,4041824191
2003-12-17,4022878141
2003-12-18,4158207076
2003-12-19,4196099177
2003-12-22,4249328559
2003-12-23,4204218914
2003-12-24,4173544355
2003-12-26,4194294792
2003-12-29,4236697858
2003-12-30,4230382508
2003-12-31,4275492153
2004-01-02,4272785574
2004-01-05,4279100924
2004-01-06,4272785574
2004-01-07,4237600051
2004-01-08,4231284701
2004-01-09,4227675929
2004-01-12,4152793918
2004-01-13,4141065411
2004-01-14,4123923745
2004-01-15,4091444801
2004-01-16,4211436457
2004-01-20,4154598304
2004-01-21,4172642162
2004-01-22,4155500497
2004-01-23,4099564537
2004-01-26,4124825938
2004-01-27,4123021553
2004-01-28,4113999624
2004-01-29,4285416275
2004-01-30,4343156620
2004-02-02,4267372416
2004-02-03,4266470224
2004-02-04,4249328559
2004-02-05,4335036884
2004-02-06,4389168458
2004-02-09,4309775483
2004-02-10,4341352234
2004-02-11,4353080742
2004-02-12,4359396092
2004-02-13,4363907057
2004-02-17,4354885128
2004-02-18,4376537757
2004-02-19,4358493899
2004-02-20,4326917148
2004-02-23,4312482062
2004-02-24,4286318467
2004-02-25,4275492153
2004-02-26,4280905310
2004-02-27,4262861452
2004-03-01,4266470224
2004-03-02,4224969350
2004-03-03,4241208822
2004-03-04,4278198731
2004-03-05,4285416275
2004-03-08,4261959259
2004-03-09,4186175056
2004-03-10,4113097431
2004-03-11,4108586466
2004-03-12,4210534264
2004-03-15,4126630324
2004-03-16,4179859705
2004-03-17,4248426366
2004-03-18,4218654000
2004-03-19,4199707949
2004-03-22,4128434710
2004-03-23,4116706202
2004-03-24,4075205329
2004-03-25,4208729878
2004-03-26,4191588213
2004-03-29,4304362325
2004-03-30,4345863199
2004-03-31,4331343936
2004-04-01,4314199032
2004-04-02,4382778645
2004-04-05,4414361361
2004-04-06,4438725171
2004-04-07,4512718963
2004-04-08,4526254413
2004-04-12,4569567852
2004-04-13,4493769333
2004-04-14,4528059139
2004-04-15,4567763125
2004-04-16,4892613921
2004-04-19,4856519388
2004-04-20,4962998260
2004-04-21,5006311699
2004-04-22,5061355861
2004-04-23,4942243903
2004-04-26,4856519388
2004-04-27,4885395014
2004-04-28,4791549229
2004-04-29,4805987042
2004-04-30,4728383796
2004-05-03,4728383796
2004-05-04,4794256319
2004-05-05,4806889405
2004-05-06,4714848347
2004-05-07,4665218364
2004-05-10,4534375683
2004-05-11,4646268734
2004-05-12,4622807288
2004-05-13,4688679810
2004-05-14,4751845243
2004-05-17,4611076565
2004-05-18,4664316001
2004-05-19,4689582174
2004-05-20,4674241997
2004-05-21,4724774343
2004-05-24,4742821609
2004-05-25,4795158682
2004-05-26,4821327218
2004-05-27,4872761928
2004-05-28,4913368277
2004-06-01,4947658083
2004-06-02,4961193533
2004-06-03,4858324114
2004-06-04,4835765031
2004-06-07,4916075367
2004-06-08,5021651875
2004-06-09,4953072263
2004-06-10,5051429865
2004-06-14,4937732087
2004-06-15,5045113322
2004-06-16,5003604609
2004-06-17,4976533709
2004-06-18,4999092792
2004-06-21,5005409336
2004-06-22,5048722775
2004-06-23,5088426761
2004-06-24,5027066055
2004-06-25,5071281858
2004-06-28,5055039318
2004-06-29,5150689830
2004-06-30,5191966582
2004-07-01,5098962659
2004-07-02,5045688567
2004-07-06,5024920701
2004-07-07,5044785616
2004-07-08,4929207925
2004-07-09,5026726602
2004-07-12,5050203321
2004-07-13,5069165285
2004-07-14,5025823651
2004-07-15,5056523976
2004-07-16,5166683962
2004-07-19,5046591518
2004-07-20,5011376440
2004-07-21,4889478094
2004-07-22,4858777770
2004-07-23,4815436136
2004-07-26,4800988925
2004-07-27,4803697777
2004-07-28,4751326636
2004-07-29,4785638763
2004-07-30,4781124009
2004-08-02,4754938438
2004-08-03,4740491227
2004-08-04,4738685326
2004-08-05,4612272226
2004-08-06,4573445346
2004-08-09,4595116163
2004-08-10,4703470248
2004-08-11,4669158121
2004-08-12,4596922064
2004-08-13,4594213212
2004-08-16,4709790903
2004-08-17,4677284677
2004-08-18,4771191551
2004-08-19,4696246642
2004-08-20,4793765319
2004-08-23,4787444664
