,ITT
2000-06-14,554741094
2000-06-15,545949634
2000-06-16,544191343
2000-06-19,532762445
2000-06-20,494959169
2000-06-21,496717461
2000-06-22,494959169
2000-06-23,496717461
2000-06-26,497596607
2000-06-27,507267213
2000-06-28,500234045
2000-06-29,555620240
2000-06-30,511578000
2000-07-03,541464000
2000-07-05,543222000
2000-07-06,565197000
2000-07-07,561681000
2000-07-10,556407000
2000-07-11,556407000
2000-07-12,552012000
2000-07-13,554649000
2000-07-14,543222000
2000-07-17,538827000
2000-07-18,550254000
2000-07-19,543222000
2000-07-20,548496000
2000-07-21,548496000
2000-07-24,536189999
2000-07-25,535311000
2000-07-26,530037000
2000-07-27,516852000
2000-07-28,509820000
2000-07-31,553770000
2000-08-01,511578000
2000-08-02,523884000
2000-08-03,512457000
2000-08-04,520368000
2000-08-07,525642000
2000-08-08,533553000
2000-08-09,528279000
2000-08-10,527400000
2000-08-11,529157999
2000-08-14,535311000
2000-08-15,535311000
2000-08-16,544980000
2000-08-17,550254000
2000-08-18,545859000
2000-08-21,562560000
2000-08-22,554649000
2000-08-23,544101000
2000-08-24,549375000
2000-08-25,548496000
2000-08-28,549375000
2000-08-29,549375000
2000-08-30,552012000
2000-08-31,566076000
2000-09-01,548496000
2000-09-05,573108000
2000-09-06,565197000
2000-09-07,567834000
2000-09-08,559923000
2000-09-11,572229000
2000-09-12,582777000
2000-09-13,584535000
2000-09-14,577503000
2000-09-15,559044000
2000-09-18,532673999
2000-09-19,528279000
2000-09-20,515094000
2000-09-21,519489000
2000-09-22,520368000
2000-09-25,536189999
2000-09-26,551133000
2000-09-27,545859000
2000-09-28,549375000
2000-09-29,545859000
2000-10-02,544329105
2000-10-03,543451155
2000-10-04,543451155
2000-10-05,540817304
2000-10-06,530281902
2000-10-09,549596806
2000-10-10,547840906
2000-10-11,537305504
2000-10-12,532037803
2000-10-13,537305504
2000-10-16,538183454
2000-10-17,523258301
2000-10-18,514478799
2000-10-19,525014201
2000-10-20,526770102
2000-10-23,521502400
2000-10-24,526770102
2000-10-25,527648052
2000-10-26,526770102
2000-10-27,530281902
2000-10-30,532037803
2000-10-31,547840906
2000-11-01,518868550
2000-11-02,532037803
2000-11-03,533793703
2000-11-06,551352706
2000-11-07,544329105
2000-11-08,550474756
2000-11-09,539939354
2000-11-10,530281902
2000-11-13,534671653
2000-11-14,549596806
2000-11-15,555742457
2000-11-16,551352706
2000-11-17,564521959
2000-11-20,564521959
2000-11-21,570667610
2000-11-22,561010158
2000-11-24,568911710
2000-11-27,577691211
2000-11-28,561010158
2000-11-29,555742457
2000-11-30,560132208
2000-12-01,564521959
2000-12-04,583836863
2000-12-05,603151766
2000-12-06,602273816
2000-12-07,630368222
2000-12-08,634757972
2000-12-11,633002072
2000-12-12,631246172
2000-12-13,617198969
2000-12-14,607541517
2000-12-15,594372265
2000-12-18,602273816
2000-12-19,593494314
2000-12-20,582958912
2000-12-21,591738414
2000-12-22,612809218
2000-12-26,619832820
2000-12-27,627734371
2000-12-28,657584677
2000-12-29,651439026
2001-01-02,620574000
2001-01-03,647823000
2001-01-04,645186000
2001-01-05,637275000
2001-01-08,647823000
2001-01-09,647823000
2001-01-10,631122000
2001-01-11,645186000
2001-01-12,634638000
2001-01-16,647823000
2001-01-17,642549000
2001-01-18,639912000
2001-01-19,630243000
2001-01-22,623211000
2001-01-23,653976000
2001-01-24,668040000
2001-01-25,668040000
2001-01-26,661887000
2001-01-29,662766000
2001-01-30,670677000
2001-01-31,670677000
2001-02-01,670677000
2001-02-02,673314000
2001-02-05,673314000
2001-02-06,681225000
2001-02-07,693531000
2001-02-08,703200000
2001-02-09,694410000
2001-02-12,704958000
2001-02-13,723417000
2001-02-14,732207000
2001-02-15,740118000
2001-02-16,706715999
2001-02-20,673314000
2001-02-21,671556000
2001-02-22,670677000
2001-02-23,668919000
2001-02-26,687378000
2001-02-27,685620000
2001-02-28,682983000
2001-03-01,690015000
2001-03-02,707595000
2001-03-05,719022000
2001-03-06,726933000
2001-03-07,730449000
2001-03-08,732207000
2001-03-09,718143000
2001-03-12,700563000
2001-03-13,684741000
2001-03-14,675072000
2001-03-15,661887000
2001-03-16,641670000
2001-03-19,660129000
2001-03-20,663645000
2001-03-21,639033000
2001-03-22,616179000
2001-03-23,629364000
2001-03-26,643428000
2001-03-27,649581000
2001-03-28,639033000
2001-03-29,637275000
2001-03-30,652218000
2001-04-02,648702000
2001-04-03,643428000
2001-04-04,664524000
2001-04-05,688257000
2001-04-06,675072000
2001-04-09,681225000
2001-04-10,705837000
2001-04-11,698805000
2001-04-12,702321000
2001-04-16,698805000
2001-04-17,706715999
2001-04-18,728690999
2001-04-19,739239000
2001-04-20,731328000
2001-04-23,735722999
2001-04-24,748029000
2001-04-25,749787000
2001-04-26,750665999
2001-04-27,755940000
2001-04-30,741876000
2001-05-01,732207000
2001-05-02,732207000
2001-05-03,733086000
2001-05-04,740118000
2001-05-07,742754999
2001-05-08,747150000
2001-05-09,744513000
2001-05-10,755940000
2001-05-11,764729999
2001-05-14,768246000
2001-05-15,775278000
2001-05-16,804285000
2001-05-17,806922000
2001-05-18,809559000
2001-05-21,821865000
2001-05-22,817470000
2001-05-23,813075000
2001-05-24,809559000
2001-05-25,811317000
2001-05-29,804285000
2001-05-30,799890000
2001-05-31,785826000
2001-06-01,788463000
2001-06-04,791979000
2001-06-05,806043000
2001-06-06,798132000
2001-06-07,798132000
2001-06-08,781431000
2001-06-11,770004000
2001-06-12,768246000
2001-06-13,775278000
2001-06-14,757697999
2001-06-15,769125000
2001-06-18,757697999
2001-06-19,761214000
2001-06-20,764729999
2001-06-21,774399000
2001-06-22,766488000
2001-06-25,760335000
2001-06-26,769125000
2001-06-27,757697999
2001-06-28,756819000
2001-06-29,744513000
2001-07-02,761214000
2001-07-03,761214000
2001-07-05,765609000
2001-07-06,755061000
2001-07-09,760335000
2001-07-10,753303000
2001-07-11,740118000
2001-07-12,744513000
2001-07-13,740118000
2001-07-16,734844000
2001-07-17,738360000
2001-07-18,744513000
2001-07-19,749787000
2001-07-20,754182000
2001-07-23,743634000
2001-07-24,734844000
2001-07-25,733965000
2001-07-26,740997000
2001-07-27,737481000
2001-07-30,737481000
2001-07-31,747150000
2001-08-01,746271000
2001-08-02,755061000
2001-08-03,740997000
2001-08-06,739239000
2001-08-07,740997000
2001-08-08,727812000
2001-08-09,722538000
2001-08-10,731328000
2001-08-13,739239000
2001-08-14,733965000
2001-08-15,740997000
2001-08-16,758577000
2001-08-17,758577000
2001-08-20,757697999
2001-08-21,762093000
2001-08-22,760335000
2001-08-23,762093000
2001-08-24,770883000
2001-08-27,758577000
2001-08-28,757697999
2001-08-29,755940000
2001-08-30,750665999
2001-08-31,760335000
2001-09-04,770883000
2001-09-05,768246000
2001-09-06,753303000
2001-09-07,736602000
2001-09-10,746271000
2001-09-17,726054000
2001-09-18,741876000
2001-09-19,732207000
2001-09-20,723417000
2001-09-21,706715999
2001-09-24,729570000
2001-09-25,734844000
2001-09-26,718143000
2001-09-27,734844000
2001-09-28,754182000
2001-10-01,737097000
2001-10-02,779672999
2001-10-03,803622000
2001-10-04,816927000
2001-10-05,838214999
2001-10-08,826684000
2001-10-09,829345000
2001-10-10,839102000
2001-10-11,848859000
2001-10-12,845311000
2001-10-15,845311000
2001-10-16,844424000
2001-10-17,838214999
2001-10-18,800961000
2001-10-19,816039999
2001-10-22,817814000
2001-10-23,840876000
2001-10-24,863938000
2001-10-25,844424000
2001-10-26,864825000
2001-10-29,837328000
2001-10-30,811605000
2001-10-31,816927000
2001-11-01,832893000
2001-11-02,843537000
2001-11-05,849746000
2001-11-06,842650000
2001-11-07,843537000
2001-11-08,845311000
2001-11-09,844424000
2001-11-12,833780000
2001-11-13,849746000
2001-11-14,859503000
2001-11-15,840876000
2001-11-16,838214999
2001-11-19,837328000
2001-11-20,835554000
2001-11-21,825797000
2001-11-23,827571000
2001-11-26,825797000
2001-11-27,832893000
2001-11-28,829345000
2001-11-29,832893000
2001-11-30,832893000
2001-12-03,832006000
2001-12-04,848859000
2001-12-05,869260000
2001-12-06,866599000
2001-12-07,855955000
2001-12-10,855068000
2001-12-11,845311000
2001-12-12,845311000
2001-12-13,847085000
2001-12-14,832006000
2001-12-17,834667000
2001-12-18,835554000
2001-12-19,831118999
2001-12-20,841763000
2001-12-21,850633000
2001-12-24,850633000
2001-12-26,847972000
2001-12-27,870147000
2001-12-28,871034000
2001-12-31,866432000
2002-01-02,869119999
2002-01-03,870016000
2002-01-04,878080000
2002-01-07,872704000
2002-01-08,859264000
2002-01-09,868224000
2002-01-10,863744000
2002-01-11,850304000
2002-01-14,844928000
2002-01-15,832383999
2002-01-16,810880000
2002-01-17,826112000
2002-01-18,828800000
2002-01-22,819840000
2002-01-23,822528000
2002-01-24,845824000
2002-01-25,868224000
2002-01-28,890624000
2002-01-29,878080000
2002-01-30,887040000
2002-01-31,911232000
2002-02-01,909440000
2002-02-04,909440000
2002-02-05,909440000
2002-02-06,927360000
2002-02-07,937216000
2002-02-08,927360000
2002-02-11,922880000
2002-02-12,920192000
2002-02-13,920192000
2002-02-14,926464000
2002-02-15,949760000
2002-02-19,967680000
2002-02-20,960512000
2002-02-21,994560000
2002-02-22,1003519999
2002-02-25,994560000
2002-02-26,1000832000
2002-02-27,1019648000
2002-02-28,1012480000
2002-03-01,1033983999
2002-03-04,1070719999
2002-03-05,1048319999
2002-03-06,1060864000
2002-03-07,1055488000
2002-03-08,1060864000
2002-03-11,1062656000
2002-03-12,1067136000
2002-03-13,1055488000
2002-03-14,1080576000
2002-03-15,1084160000
2002-03-18,1079680000
2002-03-19,1093120000
2002-03-20,1094912000
2002-03-21,1056383999
2002-03-22,1048319999
2002-03-25,1039360000
2002-03-26,1043840000
2002-03-27,1073408000
2002-03-28,1081472000
2002-04-01,1104740000
2002-04-02,1123850000
2002-04-03,1102010000
2002-04-04,1111110000
2002-04-05,1129310000
2002-04-08,1141140000
2002-04-09,1155700000
2002-04-10,1179360000
2002-04-11,1181180000
2002-04-12,1179360000
2002-04-15,1168440000
2002-04-16,1172990000
2002-04-17,1158430000
2002-04-18,1142050000
2002-04-19,1141140000
2002-04-22,1136590000
2002-04-23,1142960000
2002-04-24,1184820000
2002-04-25,1198470000
2002-04-26,1198470000
2002-04-29,1213030000
2002-04-30,1217580000
2002-05-01,1219400000
2002-05-02,1220310000
2002-05-03,1217580000
2002-05-06,1193010000
2002-05-07,1203930000
2002-05-08,1221220000
2002-05-09,1210300000
2002-05-10,1187550000
2002-05-13,1199380000
2002-05-14,1204840000
2002-05-15,1206660000
2002-05-16,1198470000
2002-05-17,1189370000
2002-05-20,1180270000
2002-05-21,1167530000
2002-05-22,1181180000
2002-05-23,1188460000
2002-05-24,1194830000
2002-05-28,1184820000
2002-05-29,1181180000
2002-05-30,1179360000
2002-05-31,1167530000
2002-06-03,1173900000
2002-06-04,1170260000
2002-06-05,1163890000
2002-06-06,1163890000
2002-06-07,1158430000
2002-06-10,1185730000
2002-06-11,1184820000
2002-06-12,1185730000
2002-06-13,1183910000
2002-06-14,1186640000
2002-06-17,1199380000
2002-06-18,1202110000
2002-06-19,1198470000
2002-06-20,1211210000
2002-06-21,1223040000
2002-06-24,1218490000
2002-06-25,1219400000
2002-06-26,1200290000
2002-06-27,1219400000
2002-06-28,1230320000
2002-07-01,1198519000
2002-07-02,1193017000
2002-07-03,1155420000
2002-07-05,1194851000
2002-07-08,1194851000
2002-07-09,1189349000
2002-07-10,1156337000
2002-07-11,1144416000
2002-07-12,1141665000
2002-07-15,1104068000
2002-07-16,1084811000
2002-07-17,1086645000
2002-07-18,1065553999
2002-07-19,1017870000
2002-07-22,992194000
2002-07-23,984858000
2002-07-24,1103151000
2002-07-25,1105902000
2002-07-26,1077475000
2002-07-29,1129744000
2002-07-30,1116906000
2002-07-31,1121491000
2002-08-01,1125159000
2002-08-02,1104068000
2002-08-05,1087562000
2002-08-06,1127910000
2002-08-07,1148084000
2002-08-08,1171926000
2002-08-09,1191183000
2002-08-12,1182930000
2002-08-13,1151752000
2002-08-14,1176511000
2002-08-15,1194851000
2002-08-16,1196685000
2002-08-19,1215942000
2002-08-20,1204938000
2002-08-21,1213191000
2002-08-22,1215025000
2002-08-23,1177428000
2002-08-26,1170092000
2002-08-27,1189349000
2002-08-28,1178345000
2002-08-29,1169175000
2002-08-30,1193934000
2002-09-03,1151752000
2002-09-04,1171926000
2002-09-05,1181096000
2002-09-06,1185681000
2002-09-09,1187515000
2002-09-10,1202187000
2002-09-11,1221444000
2002-09-12,1219610000
2002-09-13,1166424000
2002-09-16,1151752000
2002-09-17,1120574000
2002-09-18,1101317000
2002-09-19,1084811000
2002-09-20,1127910000
2002-09-23,1109570000
2002-09-24,1092147000
2002-09-25,1105902000
2002-09-26,1126993000
2002-09-27,1092147000
2002-09-30,1096092000
2002-10-01,1129140000
2002-10-02,1100682000
2002-10-03,1099764000
2002-10-04,1071306000
2002-10-07,1041012000
2002-10-08,1061208000
2002-10-09,1023570000
2002-10-10,1051109999
2002-10-11,1085076000
2002-10-14,1078650000
2002-10-15,1102518000
2002-10-16,1079568000
2002-10-17,1118124000
2002-10-18,1126386000
2002-10-21,1151172000
2002-10-22,1118124000
2002-10-23,1155762000
2002-10-24,1166778000
2002-10-25,1157598000
2002-10-28,1124550000
2002-10-29,1142910000
2002-10-30,1131894000
2002-10-31,1141992000
2002-11-01,1156680000
2002-11-04,1120878000
2002-11-05,1138320000
2002-11-06,1166778000
2002-11-07,1135566000
2002-11-08,1133730000
2002-11-11,1127304000
2002-11-12,1130058000
2002-11-13,1116288000
2002-11-14,1126386000
2002-11-15,1139238000
2002-11-18,1120878000
2002-11-19,1120878000
2002-11-20,1121796000
2002-11-21,1144746000
2002-11-22,1130058000
2002-11-25,1084158000
2002-11-26,1058454000
2002-11-27,1064880000
2002-11-29,1059371999
2002-12-02,1048356000
2002-12-03,1012554000
2002-12-04,1001538000
2002-12-05,1000620000
2002-12-06,1055700000
2002-12-09,1052946000
2002-12-10,1084158000
2002-12-11,1075896000
2002-12-12,1058454000
2002-12-13,1037340000
2002-12-16,1061208000
2002-12-17,1042848000
2002-12-18,1056618000
2002-12-19,1072224000
2002-12-20,1083240000
2002-12-23,1080486000
2002-12-24,1068552000
2002-12-26,1070388000
2002-12-27,1053864000
2002-12-30,1073142000
2002-12-31,1066715999
2003-01-02,1086912000
2003-01-03,1081404000
2003-01-06,1076814000
2003-01-07,1052946000
2003-01-08,1042848000
2003-01-09,1040094000
2003-01-10,1055700000
2003-01-13,1051109999
2003-01-14,1057536000
2003-01-15,1054782000
2003-01-16,1051109999
2003-01-17,1043765999
2003-01-21,1029996000
2003-01-22,1021734000
2003-01-23,1035504000
2003-01-24,994194000
2003-01-27,985932000
2003-01-28,991440000
2003-01-29,986850000
2003-01-30,973998000
2003-01-31,986850000
2003-02-03,1001538000
2003-02-04,994194000
2003-02-05,989604000
2003-02-06,981342000
2003-02-07,978588000
2003-02-10,981342000
2003-02-11,979506000
2003-02-12,973080000
2003-02-13,963900000
2003-02-14,993276000
2003-02-18,1002456000
2003-02-19,996030000
2003-02-20,983178000
2003-02-21,993276000
2003-02-24,972162000
2003-02-25,975834000
2003-02-26,957474000
2003-02-27,973998000
2003-02-28,988686000
2003-03-03,973998000
2003-03-04,956556000
2003-03-05,948294000
2003-03-06,926262000
2003-03-07,929934000
2003-03-10,911574000
2003-03-11,899640000
2003-03-12,891378000
2003-03-13,921671999
2003-03-14,937278000
2003-03-17,979506000
2003-03-18,973998000
2003-03-19,968490000
2003-03-20,962982000
2003-03-21,985932000
2003-03-24,976752000
2003-03-25,940032000
2003-03-26,945540000
2003-03-27,950130000
2003-03-28,946458000
2003-03-31,941160000
2003-04-01,955880000
2003-04-02,976120000
2003-04-03,986240000
2003-04-04,994520000
2003-04-07,1011080000
2003-04-08,1010160000
2003-04-09,1012920000
2003-04-10,1023960000
2003-04-11,1016600000
2003-04-14,1019360000
2003-04-15,1022120000
2003-04-16,1011080000
2003-04-17,1025800000
2003-04-21,1022120000
2003-04-22,1038679999
2003-04-23,1035000000
2003-04-24,1010160000
2003-04-25,987160000
2003-04-28,995440000
2003-04-29,1009240000
2003-04-30,1026720000
2003-05-01,1022120000
2003-05-02,1037760000
2003-05-05,1038679999
2003-05-06,1059840000
2003-05-07,1064440000
2003-05-08,1062600000
2003-05-09,1080080000
2003-05-12,1086520000
2003-05-13,1080080000
2003-05-14,1071800000
2003-05-15,1094800000
2003-05-16,1136200000
2003-05-19,1100320000
2003-05-20,1098480000
2003-05-21,1087440000
2003-05-22,1092040000
2003-05-23,1093880000
2003-05-27,1121480000
2003-05-28,1103080000
2003-05-29,1082840000
2003-05-30,1104000000
2003-06-02,1114120000
2003-06-03,1112280000
2003-06-04,1124240000
2003-06-05,1116880000
2003-06-06,1130680000
2003-06-09,1112280000
2003-06-10,1129760000
2003-06-11,1152760000
2003-06-12,1170240000
2003-06-13,1138960000
2003-06-16,1158280000
2003-06-17,1171160000
2003-06-18,1177600000
2003-06-19,1140800000
2003-06-20,1161040000
2003-06-23,1129760000
2003-06-24,1132520000
2003-06-25,1145400000
2003-06-26,1137120000
2003-06-27,1137120000
2003-06-30,1157442000
2003-07-01,1152827000
2003-07-02,1166672000
2003-07-03,1154673000
2003-07-07,1157442000
2003-07-08,1161134000
2003-07-09,1149135000
2003-07-10,1134367000
2003-07-11,1142674000
2003-07-14,1140828000
2003-07-15,1131598000
2003-07-16,1125137000
2003-07-17,1152827000
2003-07-18,1184209000
2003-07-21,1152827000
2003-07-22,1189747000
2003-07-23,1191593000
2003-07-24,1178671000
2003-07-25,1218360000
2003-07-28,1168518000
2003-07-29,1169441000
2003-07-30,1162057000
2003-07-31,1178671000
2003-08-01,1163903000
2003-08-04,1154673000
2003-08-05,1123291000
2003-08-06,1124214000
2003-08-07,1132521000
2003-08-08,1124214000
2003-08-11,1116830000
2003-08-12,1120522000
2003-08-13,1147289000
2003-08-14,1158365000
2003-08-15,1153750000
2003-08-18,1157442000
2003-08-19,1165749000
2003-08-20,1155596000
2003-08-21,1156519000
2003-08-22,1147289000
2003-08-25,1143597000
2003-08-26,1149135000
2003-08-27,1131598000
2003-08-28,1145443000
2003-08-29,1150058000
2003-09-02,1166672000
2003-09-03,1148212000
2003-09-04,1143597000
2003-09-05,1133444000
2003-09-08,1147289000
2003-09-09,1102062000
2003-09-10,1078064000
2003-09-11,1109446000
2003-09-12,1112215000
2003-09-15,1126060000
2003-09-16,1149135000
2003-09-17,1125137000
2003-09-18,1126060000
2003-09-19,1124214000
2003-09-22,1092832000
2003-09-23,1091909000
2003-09-24,1060527000
2003-09-25,1052220000
2003-09-26,1054066000
2003-09-29,1068834000
2003-09-30,1057758000
2003-10-01,1081756000
2003-10-02,1079910000
2003-10-03,1083602000
2003-10-06,1091909000
2003-10-07,1078064000
2003-10-08,1087294000
2003-10-09,1090063000
2003-10-10,1073449000
2003-10-13,1078064000
2003-10-14,1102062000
2003-10-15,1132521000
2003-10-16,1129752000
2003-10-17,1120522000
2003-10-20,1123291000
2003-10-21,1123291000
2003-10-22,1113138000
2003-10-23,1149135000
2003-10-24,1164826000
2003-10-27,1160211000
2003-10-28,1170364000
2003-10-29,1173133000
2003-10-30,1190670000
2003-10-31,1201746000
2003-11-03,1187901000
2003-11-04,1182363000
2003-11-05,1159288000
2003-11-06,1180517000
2003-11-07,1166672000
2003-11-10,1167595000
2003-11-11,1166672000
2003-11-12,1201746000
2003-11-13,1193439000
2003-11-14,1169441000
2003-11-17,1157442000
2003-11-18,1161134000
2003-11-19,1169441000
2003-11-20,1172210000
2003-11-21,1174979000
2003-11-24,1171287000
2003-11-25,1171287000
2003-11-26,1164826000
2003-11-28,1164826000
2003-12-01,1173133000
2003-12-02,1168518000
2003-12-03,1189747000
2003-12-04,1209130000
2003-12-05,1203592000
2003-12-08,1211899000
2003-12-09,1222052000
2003-12-10,1202669000
2003-12-11,1228513000
2003-12-12,1218360000
2003-12-15,1231282000
2003-12-16,1226667000
2003-12-17,1236820000
2003-12-18,1306968000
2003-12-19,1289431000
2003-12-22,1301430000
2003-12-23,1294046000
2003-12-24,1294969000
2003-12-26,1305122000
2003-12-29,1307891000
2003-12-30,1305122000
2003-12-31,1311583000
2004-01-02,1318967000
2004-01-05,1326351000
2004-01-06,1314352000
2004-01-07,1311583000
2004-01-08,1312506000
2004-01-09,1304199000
2004-01-12,1302353000
2004-01-13,1285739000
2004-01-14,1280201000
2004-01-15,1283893000
2004-01-16,1299584000
2004-01-20,1279278000
2004-01-21,1307891000
2004-01-22,1318967000
2004-01-23,1306045000
2004-01-26,1314352000
2004-01-27,1334658000
2004-01-28,1362348000
2004-01-29,1334658000
2004-01-30,1317121000
2004-02-02,1324505000
2004-02-03,1329120000
2004-02-04,1321736000
2004-02-05,1341119000
2004-02-06,1362348000
2004-02-09,1354041000
2004-02-10,1350349000
2004-02-11,1361425000
2004-02-12,1360502000
2004-02-13,1359579000
2004-02-17,1355887000
2004-02-18,1357733000
2004-02-19,1354964000
2004-02-20,1361425000
2004-02-23,1351272000
2004-02-24,1332812000
2004-02-25,1332812000
2004-02-26,1330966000
2004-02-27,1334658000
2004-03-01,1330043000
2004-03-02,1301430000
2004-03-03,1311583000
2004-03-04,1321736000
2004-03-05,1316198000
2004-03-08,1296815000
2004-03-09,1292200000
2004-03-10,1271894000
2004-03-11,1260818000
2004-03-12,1290354000
2004-03-15,1279278000
2004-03-16,1304199000
2004-03-17,1319890000
2004-03-18,1312506000
2004-03-19,1304199000
2004-03-22,1294969000
2004-03-23,1288508000
2004-03-24,1294969000
2004-03-25,1316198000
2004-03-26,1342965000
2004-03-29,1337427000
2004-03-30,1351272000
2004-03-31,1350888000
2004-04-01,1345344000
2004-04-02,1363824000
2004-04-05,1389696000
2004-04-06,1397088000
2004-04-07,1392468000
2004-04-08,1384152000
2004-04-12,1390620000
2004-04-13,1369368000
2004-04-14,1364748000
2004-04-15,1369368000
2004-04-16,1391544000
2004-04-19,1380456000
2004-04-20,1360128000
2004-04-21,1374912000
2004-04-22,1420188000
2004-04-23,1394316000
2004-04-26,1409100000
2004-04-27,1447908000
2004-04-28,1416492000
2004-04-29,1408176000
2004-04-30,1402632000
2004-05-03,1427580000
2004-05-04,1425732000
2004-05-05,1422960000
2004-05-06,1404480000
2004-05-07,1378608000
2004-05-10,1350888000
2004-05-11,1352736000
2004-05-12,1364748000
2004-05-13,1373064000
2004-05-14,1385076000
2004-05-17,1376760000
2004-05-18,1371216000
2004-05-19,1371216000
2004-05-20,1361052000
2004-05-21,1378608000
2004-05-24,1392468000
2004-05-25,1410948000
2004-05-26,1404480000
2004-05-27,1417416000
2004-05-28,1425732000
2004-06-01,1416492000
2004-06-02,1431276000
2004-06-03,1425732000
2004-06-04,1430352000
2004-06-07,1465464000
2004-06-08,1475628000
2004-06-09,1458996000
2004-06-10,1464540000
2004-06-14,1484868000
2004-06-15,1503348000
2004-06-16,1498728000
2004-06-17,1504272000
2004-06-18,1506120000
2004-06-21,1495956000
2004-06-22,1508891999
2004-06-23,1515359999
2004-06-24,1499652000
2004-06-25,1480248000
2004-06-28,1469160000
2004-06-29,1452528000
2004-06-30,1466647000
2004-07-01,1452802000
2004-07-02,1442649000
2004-07-06,1449110000
2004-07-07,1448187000
2004-07-08,1433419000
2004-07-09,1464801000
2004-07-12,1485107000
2004-07-13,1468493000
2004-07-14,1459263000
2004-07-15,1444495000
2004-07-16,1435265000
2004-07-19,1416805000
2004-07-20,1414036000
2004-07-21,1397422000
2004-07-22,1389115000
2004-07-23,1367886000
2004-07-26,1373424000
2004-07-27,1382654000
2004-07-28,1385423000
2004-07-29,1401114000
2004-07-30,1413113000
2004-08-02,1423266000
2004-08-03,1412190000
2004-08-04,1393730000
2004-08-05,1368809000
2004-08-06,1357733000
2004-08-09,1353118000
2004-08-10,1372501000
2004-08-11,1356810000
2004-08-12,1335581000
2004-08-13,1340196000
2004-08-16,1359579000
2004-08-17,1363271000
2004-08-18,1383577000
2004-08-19,1368809000
2004-08-20,1390038000
2004-08-23,1388192000
2004-08-24,1392807000
2004-08-25,1400191000
2004-08-26,1407575000
2004-08-27,1408498000
2004-08-30,1403883000
2004-08-31,1398345000
2004-09-01,1419574000
2004-09-02,1426958000
2004-09-03,1414959000
2004-09-07,1424189000
2004-09-08,1423266000
2004-09-09,1402960000
2004-09-10,1391884000
2004-09-13,1399268000
2004-09-14,1410344000
2004-09-15,1410344000
2004-09-16,1414036000
2004-09-17,1429727000
2004-09-20,1419574000
2004-09-21,1419574000
2004-09-22,1399268000
2004-09-23,1377116000
2004-09-24,1378962000
2004-09-27,1372501000
2004-09-28,1387269000
2004-09-29,1399268000
2004-09-30,1414036000
2004-10-01,1418651000
2004-10-04,1427881000
2004-10-05,1417728000
2004-10-06,1429727000
2004-10-07,1416805000
2004-10-08,1407575000
2004-10-11,1403883000
2004-10-12,1398345000
2004-10-13,1388192000
2004-10-14,1397422000
2004-10-15,1414036000
2004-10-18,1404806000
2004-10-19,1378962000
2004-10-20,1371578000
2004-10-21,1409421000
2004-10-22,1400191000
2004-10-25,1395576000
2004-10-26,1397422000
2004-10-27,1407575000
2004-10-28,1421420000
2004-10-29,1434342000
2004-11-01,1427881000
