,CB
2001-08-28,7720837028
2001-08-29,7672408839
2001-08-30,7587082982
2001-08-31,7649347797
2001-09-04,7681633256
2001-09-05,7831530033
2001-09-06,7790020156
2001-09-07,7623980650
2001-09-10,7610144025
2001-09-17,6574703216
2001-09-18,5993564945
2001-09-19,5534650200
2001-09-20,4831288403
2001-09-21,4727513712
2001-09-24,5479303698
2001-09-25,5765260625
2001-09-26,5809076605
2001-09-27,6351011104
2001-09-28,6657722969
2001-10-01,7751817566
2001-10-02,7725087160
2001-10-03,9171202092
2001-10-04,9117741281
2001-10-05,8903898038
2001-10-08,8877167633
2001-10-09,9649676349
2001-10-10,9622945944
2001-10-11,9796693579
2001-10-12,9900942160
2001-10-15,9911634322
2001-10-16,10317936484
2001-10-17,10208341822
2001-10-18,9852827430
2001-10-19,9756597971
2001-10-22,9919653443
2001-10-23,9820750943
2001-10-24,9962422092
2001-10-25,9462563511
2001-10-26,9823423984
2001-10-29,9783328376
2001-10-30,9839462227
2001-10-31,9422467903
2001-11-01,10015882903
2001-11-02,10245764389
2001-11-05,10694835200
2001-11-06,10681469997
2001-11-07,10668104795
2001-11-08,10251110470
2001-11-09,9839462227
2001-11-12,9863519592
2001-11-13,9836789187
2001-11-14,9729867565
2001-11-15,9729867565
2001-11-16,9957076011
2001-11-19,10264475673
2001-11-20,10221707024
2001-11-21,10398127700
2001-11-23,10219033984
2001-11-26,10197649660
2001-11-27,10315263443
2001-11-28,10050632430
2001-11-29,10366051214
2001-11-30,10184284457
2001-12-03,10277840876
2001-12-04,10515741484
2001-12-05,10424858106
2001-12-06,10419512024
2001-12-07,10424858106
2001-12-10,10211014862
2001-12-11,10104093241
2001-12-12,10023902025
2001-12-13,9922326484
2001-12-14,10023902025
2001-12-17,10130823646
2001-12-18,10237745268
2001-12-19,10331301687
2001-12-20,10277840876
2001-12-21,10374070335
2001-12-24,10379416416
2001-12-26,10678796957
2001-12-27,10681469997
2001-12-28,10764334254
2001-12-31,10382228341
2002-01-02,10206389854
2002-01-03,10087440289
2002-01-04,9955561423
2002-01-07,9852127019
2002-01-08,9753864334
2002-01-09,9942632122
2002-01-10,9821096697
2002-01-11,9826268418
2002-01-14,9373742898
2002-01-15,9609056168
2002-01-16,9477177303
2002-01-17,9128086188
2002-01-18,9275480214
2002-01-22,9197904411
2002-01-23,9102227587
2002-01-24,9554753106
2002-01-25,9800409816
2002-01-28,9865056319
2002-01-29,9942632122
2002-01-30,9885743200
2002-01-31,10046066527
2002-02-01,10100369589
2002-02-04,9989177604
2002-02-05,9958147283
2002-02-06,9903844221
2002-02-07,10074510988
2002-02-08,10020207926
2002-02-11,10201218133
2002-02-12,10384814201
2002-02-13,11377784484
2002-02-14,11375198623
2002-02-15,11170915675
2002-02-19,10855440741
2002-02-20,10989905467
2002-02-21,10814066980
2002-02-22,10850269021
2002-02-25,10995077187
2002-02-26,11212289436
2002-02-27,11442430986
2002-02-28,11351925882
2002-03-01,11119198473
2002-03-04,11160572234
2002-03-05,11351925882
2002-03-06,11478633028
2002-03-07,11147642934
2002-03-08,10907157943
2002-03-11,10938188265
2002-03-12,10886471063
2002-03-13,10878713482
2002-03-14,11248491478
