,HLT
2014-06-24,15159134840
2014-06-25,15467767865
2014-06-26,15402101264
2014-06-27,15369267964
2014-06-30,15697600969
2014-07-01,15920867412
2014-07-02,16075183924
2014-07-03,16708866624
2014-07-07,16505300161
2014-07-08,16298450368
2014-07-09,16656333343
2014-07-10,16521716811
2014-07-11,16383816949
2014-07-14,16479033520
2014-07-15,16554550112
2014-07-16,16561116772
2014-07-17,16216367116
2014-07-18,16541416791
2014-07-21,16728566604
2014-07-22,16932133067
2014-07-23,17188232811
2014-07-24,17040482959
2014-07-25,17030632969
2014-07-28,17004366328
2014-07-29,16830349836
2014-07-30,16626783373
2014-07-31,16311583688
2014-08-01,16364116969
2014-08-04,16291883708
2014-08-05,15979967353
2014-08-06,15799384200
2014-08-07,15953700712
2014-08-08,15973400693
2014-08-11,16209800456
2014-08-12,16242633757
2014-08-13,16498733501
2014-08-14,16662900003
2014-08-15,16620216713
2014-08-18,16836916496
2014-08-19,16918999747
2014-08-20,17138982861
2014-08-21,17207932792
2014-08-22,17273599393
2014-08-25,17329416003
2014-08-26,17280166053
2014-08-27,17355682644
2014-08-28,17286732713
2014-08-29,17060182939
2014-09-02,17152116181
2014-09-03,17030632969
2014-09-04,17073316260
2014-09-05,17355682644
2014-09-08,17303149363
2014-09-09,17188232811
2014-09-10,17030632969
2014-09-11,16735133264
2014-09-12,16439633560
2014-09-15,16255767077
2014-09-16,16607083392
2014-09-17,16850049816
2014-09-18,16662900003
2014-09-19,16676033323
2014-09-22,16715433284
2014-09-23,16633350033
2014-09-24,16639916693
2014-09-25,16505300161
2014-09-26,16721999944
2014-09-29,16541416791
2014-09-30,16593950072
2014-10-01,16170400496
2014-10-02,16157267176
2014-10-03,16383816949
2014-10-06,16311583688
2014-10-07,16157267176
2014-10-08,16114583885
2014-10-09,15746850919
2014-10-10,15339717993
2014-10-13,14850501816
2014-10-14,14843935156
2014-10-15,14558285441
2014-10-16,14729018604
2014-10-17,15369267964
2014-10-20,15914300752
2014-10-21,16511866821
2014-10-22,16176967156
2014-10-23,16196667136
2014-10-24,16331283668
2014-10-27,16291883708
2014-10-28,16413366919
2014-10-29,16547983452
2014-10-30,16850049816
2014-10-31,17004366328
2014-11-03,17010932989
2014-11-04,16574250092
2014-11-05,16869749796
2014-11-06,16876316457
2014-11-07,16823783176
2014-11-10,16938699727
2014-11-11,16984666348
2014-11-12,17060182939
2014-11-13,17093016240
2014-11-14,17388515944
2014-11-17,17125849540
2014-11-18,17253899412
2014-11-19,17194799471
2014-11-20,17145549521
2014-11-21,17194799471
2014-11-24,17381949284
2014-11-25,17618349048
2014-11-26,17529699136
2014-11-28,17664315669
2014-12-01,17132416200
2014-12-02,17188232811
2014-12-03,17477165856
2014-12-04,17516565816
2014-12-05,17798932201
2014-12-08,17746398920
2014-12-09,17670882329
2014-12-10,17509999156
2014-12-11,17693865639
2014-12-12,17431199235
2014-12-15,17060182939
2014-12-16,16669466663
2014-12-17,17047049619
2014-12-18,17431199235
2014-12-19,17638049028
2014-12-22,17516565816
2014-12-23,17585515747
2014-12-24,17657749008
2014-12-26,17706998959
2014-12-29,17592082407
2014-12-30,17578949087
2014-12-31,17596795736
2015-01-02,17494909171
2015-01-05,16929603070
2015-01-06,16771843228
2015-01-07,17041349625
2015-01-08,17514629152
2015-01-09,17340435992
2015-01-12,17162956170
2015-01-13,17297709368
2015-01-14,17488335844
2015-01-15,17264842735
2015-01-16,17439035894
2015-01-20,17386449280
2015-01-21,17455469211
2015-01-22,18033921966
2015-01-23,17912315421
2015-01-26,18148955184
2015-01-27,17853155480
2015-01-28,17840008826
2015-01-29,17790708875
2015-01-30,17514629152
2015-02-02,17616515716
2015-02-03,17918888747
2015-02-04,17757842242
2015-02-05,18122661877
2015-02-06,17777562222
2015-02-09,17866302133
2015-02-10,18520348146
2015-02-11,18990341009
2015-02-12,19180967485
2015-02-13,19269707396
2015-02-17,19322294011
2015-02-18,19246700753
2015-02-19,19118520881
2015-02-20,19118520881
2015-02-23,18829294504
2015-02-24,18743841256
2015-02-25,18829294504
2015-02-26,18891741108
2015-02-27,19065934267
2015-03-02,19470193863
2015-03-03,19739700260
2015-03-04,19532640467
2015-03-05,19578653754
2015-03-06,19046214287
2015-03-09,19072507594
2015-03-10,18822721177
2015-03-11,18911461088
2015-03-12,19092227574
2015-03-13,18983767682
2015-03-16,19545787120
2015-03-17,19483340516
2015-03-18,19759420240
2015-03-19,19867880132
2015-03-20,19765993567
2015-03-23,19874453458
2015-03-24,19881026785
2015-03-25,19388027278
2015-03-26,19680540319
2015-03-27,20065079934
2015-03-30,19982913350
2015-03-31,19996600003
2015-04-01,19766300233
2015-04-02,19822230177
2015-04-06,19996600003
2015-04-07,19707080292
2015-04-08,20598669401
2015-04-09,20996759003
2015-04-10,20894769105
2015-04-13,20575639424
2015-04-14,20434169565
2015-04-15,20394689605
2015-04-16,20157809842
2015-04-17,19983440016
2015-04-20,20157809842
2015-04-21,20328889671
2015-04-22,20266379733
2015-04-23,20463779536
2015-04-24,20440749559
2015-04-27,20009759990
2015-04-28,19874870125
2015-04-29,20092009907
2015-04-30,19552450447
2015-05-01,20138069861
2015-05-04,19841970158
2015-05-05,19605090394
2015-05-06,19618250381
2015-05-07,19901190098
2015-05-08,20322309677
2015-05-11,20042659957
2015-05-12,19868290131
2015-05-13,19651150348
2015-05-14,19914350085
2015-05-15,19914350085
2015-05-18,19920930079
2015-05-19,19976860023
2015-05-20,19996600003
2015-05-21,19766300233
2015-05-22,19815650184
2015-05-26,19693920306
2015-05-27,19868290131
2015-05-28,19855130144
2015-05-29,19552450447
2015-06-01,19693920306
2015-06-02,19707080292
2015-06-03,19772880227
2015-06-04,19759720240
2015-06-05,19841970158
2015-06-08,19417560582
2015-06-09,19700500299
2015-06-10,19355050644
2015-06-11,19443880556
2015-06-12,19308990690
2015-06-15,19187260812
2015-06-16,18924061075
2015-06-17,18854971145
2015-06-18,19144490855
2015-06-19,18963541036
2015-06-22,18950381049
2015-06-23,18970121029
2015-06-24,18887871112
2015-06-25,18897741102
2015-06-26,18956961043
2015-06-29,18450301549
2015-06-30,18598351401
2015-07-01,18752981247
2015-07-02,18752981247
2015-07-06,18769431230
2015-07-07,18802331197
2015-07-08,18368051631
2015-07-09,18417401582
2015-07-10,18828651171
2015-07-13,19016180983
2015-07-14,19160940839
2015-07-15,18996441003
2015-07-16,19072110927
2015-07-17,19085270914
2015-07-20,19118170881
2015-07-21,18917481082
2015-07-22,18897741102
2015-07-23,18262771737
2015-07-24,18114721885
2015-07-27,17891002108
2015-07-28,17884422115
2015-07-29,18706921293
2015-07-30,17917322082
2015-07-31,18127881872
2015-08-03,17910742089
2015-08-04,17660702339
2015-08-05,17404082595
2015-08-06,17344862655
2015-08-07,17492912507
2015-08-10,17693602306
2015-08-11,17499492500
2015-08-12,17443562556
2015-08-13,17443562556
2015-08-14,17295512704
2015-08-17,17565292434
2015-08-18,17443562556
2015-08-19,17358022641
2015-08-20,16851363148
2015-08-21,16538813461
2015-08-24,15999254000
2015-08-25,15890684109
2015-08-26,16426953573
2015-08-27,16795433204
2015-08-28,16904003095
2015-08-31,16762533237
2015-09-01,16269033730
2015-09-02,16466433533
2015-09-03,16690153309
2015-09-04,16607903392
2015-09-08,17114562885
2015-09-09,17147462852
2015-09-10,17186942813
2015-09-11,17275772724
2015-09-14,17193522806
2015-09-15,16884263115
2015-09-16,17193522806
2015-09-17,17160622839
2015-09-18,16176913823
2015-09-21,16222973777
2015-09-22,15986094013
2015-09-23,15768954231
2015-09-24,15657094342
2015-09-25,15588004411
2015-09-28,14880655119
2015-09-29,14785245214
2015-09-30,15486014513
2015-10-01,15851204148
2015-10-02,15920294079
2015-10-05,16176913823
2015-10-06,16061763938
2015-10-07,16344703655
2015-10-08,16802013197
2015-10-09,17019152980
2015-10-12,17025732974
2015-10-13,16877683122
2015-10-14,16486173513
2015-10-15,16660543339
2015-10-16,16351283648
2015-10-19,16318383681
2015-10-20,16825043174
2015-10-21,16575003424
2015-10-22,17025732974
2015-10-23,16581583418
2015-10-26,16877683122
2015-10-27,17088242911
2015-10-28,16936903063
2015-10-29,16979673020
2015-10-30,16871103128
2015-11-02,17075082924
2015-11-03,17262612737
2015-11-04,17154042845
2015-11-05,17328412671
2015-11-06,17308672691
2015-11-09,17173782826
2015-11-10,17351442648
2015-11-11,17282352717
2015-11-12,16959933040
2015-11-13,16486173513
2015-11-16,16094663905
2015-11-17,15627484372
2015-11-18,15805144194
2015-11-19,15864364135
2015-11-20,15877524122
2015-11-23,15959774040
2015-11-24,15831464168
2015-11-25,15755794244
2015-11-27,15729474270
2015-11-30,15676834323
2015-12-01,15926874073
2015-12-02,15722894277
2015-12-03,15420214579
2015-12-04,15561684438
2015-12-07,15305064694
2015-12-08,15203074796
2015-12-09,14676675323
2015-12-10,14913555086
2015-12-11,14716155283
2015-12-14,14367415632
2015-12-15,14406895593
2015-12-16,15157014842
2015-12-17,14933295066
2015-12-18,14489145510
2015-12-21,14426635573
2015-12-22,14689835310
2015-12-23,14880655119
2015-12-24,14765505234
2015-12-28,14702995296
2015-12-29,14709575290
2015-12-30,14581265418
2015-12-31,14446389999
2016-01-04,14239120000
2016-01-05,14245700000
2016-01-06,13502160000
2016-01-07,12995500000
2016-01-08,12929700000
2016-01-11,12988919999
2016-01-12,13206060000
2016-01-13,12515160000
2016-01-14,12423040000
2016-01-15,11982180000
2016-01-19,11686080000
2016-01-20,11975600000
2016-01-21,12393430000
2016-01-22,12334210000
2016-01-25,11761750000
2016-01-26,12482260000
2016-01-27,12097330000
2016-01-28,11597250000
2016-01-29,12024950000
2016-02-01,12123650000
2016-02-02,11666340000
2016-02-03,11755169999
2016-02-04,12212480000
2016-02-05,11883480000
2016-02-08,11801230000
2016-02-09,11909800000
2016-02-10,12205900000
2016-02-11,12051270000
2016-02-12,12515160000
2016-02-16,12821130000
2016-02-17,13298180000
2016-02-18,13238960000
2016-02-19,13419910000
2016-02-22,13433070000
2016-02-23,13419910000
2016-02-24,13426490000
2016-02-25,13637050000
2016-02-26,13975919999
2016-02-29,14028560000
2016-03-01,14143710000
2016-03-02,14439810000
2016-03-03,14574700000
2016-03-04,14778680000
2016-03-07,14554960000
2016-03-08,14137130000
2016-03-09,14021980000
2016-03-10,13847610000
2016-03-11,14354270000
2016-03-14,14387169999
2016-03-15,14258860000
2016-03-16,14331240000
2016-03-17,14337820000
2016-03-18,14857639999
2016-03-21,15130710000
2016-03-22,15041880000
2016-03-23,14811580000
2016-03-24,14900410000
2016-03-28,15041880000
2016-03-29,15163610000
2016-03-30,15344560000
2016-03-31,15203090000
2016-04-01,14857639999
2016-04-04,14979370000
2016-04-05,14745780000
2016-04-06,15022139999
2016-04-07,14920150000
2016-04-08,15055040000
2016-04-11,15055040000
2016-04-12,15163610000
2016-04-13,15393910000
2016-04-14,15331400000
2016-04-15,15183350000
2016-04-18,15008980000
2016-04-19,15061620000
2016-04-20,14798419999
2016-04-21,14933310000
2016-04-22,14617470000
2016-04-25,14676690000
2016-04-26,14610889999
2016-04-27,15041880000
2016-04-28,15015560000
2016-04-29,14887250000
2016-05-02,15022139999
2016-05-03,14985950000
2016-05-04,14880669999
2016-05-05,14880669999
2016-05-06,14874090000
2016-05-09,14946470000
2016-05-10,15420230000
2016-05-11,15041880000
2016-05-12,14805000000
2016-05-13,14515480000
2016-05-16,14689850000
2016-05-17,14683270000
2016-05-18,14232540000
2016-05-19,13919990000
2016-05-20,13867350000
2016-05-23,13919990000
2016-05-24,14068040000
2016-05-25,14150290000
2016-05-26,13841030000
2016-05-27,14008820000
2016-05-31,14028560000
2016-06-01,14137130000
2016-06-02,14587860000
2016-06-03,14663530000
2016-06-06,14857639999
2016-06-07,14739200000
2016-06-08,14663530000
2016-06-09,14581280000
2016-06-10,14298340000
2016-06-13,14298340000
2016-06-14,14272020000
2016-06-15,14637210000
2016-06-16,14676690000
2016-06-17,15170190000
2016-06-20,15634080000
2016-06-21,15439970000
2016-06-22,15439970000
2016-06-23,15818320000
2016-06-24,14752360000
2016-06-27,14265440000
2016-06-28,14528639999
2016-06-29,15048460000
2016-06-30,15209669999
2016-07-01,15446550000
2016-07-05,15107680000
2016-07-06,15235990000
2016-07-07,15420230000
2016-07-08,15749230000
2016-07-11,15838060000
2016-07-12,16042040000
2016-07-13,15946630000
2016-07-14,16005850000
2016-07-15,16061780000
2016-07-18,16196669999
2016-07-19,16127580000
2016-07-20,16203250000
2016-07-21,16183510000
2016-07-22,16433550000
2016-07-25,16160480000
2016-07-26,16114419999
2016-07-27,15640660000
2016-07-28,15453130000
2016-07-29,15657110000
2016-08-01,15742650000
2016-08-02,15439970000
2016-08-03,15413650000
2016-08-04,15581440000
2016-08-05,15831480000
2016-08-08,16081520000
2016-08-09,15986110000
2016-08-10,15907150000
2016-08-11,15972950000
2016-08-12,16140740000
2016-08-15,16282210000
2016-08-16,16453290000
2016-08-17,16390780000
2016-08-18,16305240000
2016-08-19,16318400000
2016-08-22,16305240000
2016-08-23,16288790000
2016-08-24,16318400000
2016-08-25,16338139999
2016-08-26,16216410000
2016-08-29,16203250000
2016-08-30,16055200000
2016-08-31,16114419999
2016-09-01,16048620000
2016-09-02,16025590000
2016-09-06,15953210000
2016-09-07,15966370000
2016-09-08,15805160000
2016-09-09,15344560000
2016-09-12,15561700000
2016-09-13,15479450000
2016-09-14,15614340000
2016-09-15,15594600000
2016-09-16,15548540000
2016-09-19,15541960000
2016-09-20,15736070000
2016-09-21,15736070000
2016-09-22,15913730000
2016-09-23,15933470000
2016-09-26,15492610000
2016-09-27,15568280000
2016-09-28,15433389999
2016-09-29,15407070000
2016-09-30,15480982606
2016-10-03,15448079349
2016-10-04,15415176091
2016-10-05,15352659902
2016-10-06,15211175896
2016-10-07,15145369381
2016-10-10,15415176091
2016-10-11,15224337198
2016-10-12,15359240554
2016-10-13,15339498599
2016-10-14,15454660000
2016-10-17,15359240554
2016-10-18,15550079447
2016-10-19,15596144007
2016-10-20,15530337492
2016-10-21,15467821303
2016-10-24,15487563258
2016-10-25,15346079251
2016-10-26,15069691889
2016-10-27,15023627328
2016-10-28,15023627328
2016-10-31,15260530782
2016-11-01,15151950032
2016-11-02,15056530586
2016-11-03,15043369283
2016-11-04,15250659804
2016-11-07,15467821303
2016-11-08,15731047362
2016-11-09,15941628210
2016-11-10,15839628112
2016-11-11,16007434725
2016-11-14,16418725442
2016-11-15,16533886843
2016-11-16,16576661078
2016-11-17,16589822381
2016-11-18,16487822283
2016-11-21,16629306289
2016-11-22,16777370948
2016-11-23,16899113000
2016-11-25,17089951893
2016-11-28,16751048342
2016-11-29,16751048342
2016-11-30,16925435606
2016-12-01,17020855053
2016-12-02,17053758310
2016-12-05,17616404011
2016-12-06,17764468670
2016-12-07,18258017531
2016-12-08,17715113784
2016-12-09,17905952677
2016-12-12,17547307171
2016-12-13,17810533230
2016-12-14,18014533426
2016-12-15,18438985446
2016-12-16,18587050105
2016-12-19,18702211506
2016-12-20,18728534112
2016-12-21,18721953460
2016-12-22,18534404893
2016-12-23,18478469355
2016-12-27,18521243590
2016-12-28,18264598182
2016-12-29,18399501538
2016-12-30,18363307954
2017-01-03,18546000000
2017-01-04,19140000000
2017-01-05,18915600000
2017-01-06,18965100000
2017-01-09,18796800000
2017-01-10,18486600000
2017-01-11,18480000000
2017-01-12,18282000000
2017-01-13,18552600000
2017-01-17,18509700000
2017-01-18,18793500000
2017-01-19,18975000000
2017-01-20,19041000000
2017-01-23,19057500000
2017-01-24,19173000000
2017-01-25,19397400000
2017-01-26,19387500000
2017-01-27,19321500000
2017-01-30,19153200000
2017-01-31,19001400000
2017-02-01,18925500000
2017-02-02,18909000000
2017-02-03,19074000000
2017-02-06,19047600000
2017-02-07,19077300000
2017-02-08,19225800000
2017-02-09,19351200000
2017-02-10,19367700000
2017-02-13,19420500000
2017-02-14,19295100000
2017-02-15,19621800000
2017-02-16,19549200000
2017-02-17,19305000000
2017-02-21,19146600000
2017-02-22,19090500000
2017-02-23,18879300000
2017-02-24,19067400000
2017-02-27,19146600000
2017-02-28,18876000000
2017-03-01,19041000000
2017-03-02,19196100000
2017-03-03,19057500000
2017-03-06,18912300000
2017-03-07,18691200000
2017-03-08,18575700000
2017-03-09,18427200000
2017-03-10,18638400000
2017-03-13,18978300000
2017-03-14,18905700000
2017-03-15,19189500000
2017-03-16,19209300000
2017-03-17,19113600000
2017-03-20,18975000000
2017-03-21,18707700000
2017-03-22,19041000000
2017-03-23,19245600000
2017-03-24,19242300000
2017-03-27,19090500000
2017-03-28,19361100000
2017-03-29,19341300000
2017-03-30,19394100000
2017-03-31,19116420000
2017-04-03,18841740000
2017-04-04,18661890000
2017-04-05,18557250000
2017-04-06,18671700000
2017-04-07,18508200000
2017-04-10,18697860000
2017-04-11,18795960000
2017-04-12,18776340000
2017-04-13,18674970000
2017-04-17,18746910000
2017-04-18,18593220000
2017-04-19,18612840000
2017-04-20,18831930000
2017-04-21,18753450000
2017-04-24,18979080000
2017-04-25,19142580000
2017-04-26,19816200000
2017-04-27,19698480000
2017-04-28,19283190000
2017-05-01,19397640000
2017-05-02,20107230000
2017-05-03,19947000000
2017-05-04,19783500000
2017-05-05,19969890000
2017-05-08,19842360000
2017-05-09,20381910000
2017-05-10,20313240000
2017-05-11,20342670000
2017-05-12,20306700000
2017-05-15,20476740000
2017-05-16,20414610000
2017-05-17,20045100000
2017-05-18,20417880000
2017-05-19,20878950000
2017-05-22,21336750000
2017-05-23,21415230000
2017-05-24,21411960000
2017-05-25,21297510000
2017-05-26,21366180000
2017-05-30,21431580000
2017-05-31,21735690000
2017-06-01,21791280000
2017-06-02,22043070000
2017-06-05,21905730000
2017-06-06,21503520000
2017-06-07,21631050000
2017-06-08,21261540000
2017-06-09,21173250000
2017-06-12,21532950000
2017-06-13,21729150000
2017-06-14,21663750000
2017-06-15,21859950000
2017-06-16,21716070000
2017-06-19,21856680000
2017-06-20,21542760000
2017-06-21,21451200000
2017-06-22,21320400000
2017-06-23,21385800000
2017-06-26,21330210000
2017-06-27,20748150000
2017-06-28,20718720000
2017-06-29,20355750000
2017-06-30,19915700000
2017-07-03,19741820000
2017-07-05,19806220000
2017-07-06,19667760000
2017-07-07,19886720000
2017-07-10,20028400000
2017-07-11,20112120000
2017-07-12,19941460000
2017-07-13,19989760000
2017-07-14,20108900000
2017-07-17,20163640000
2017-07-18,20121780000
2017-07-19,20002640000
2017-07-20,19967220000
2017-07-21,20115340000
2017-07-24,19967220000
2017-07-25,20311760000
2017-07-26,20131440000
2017-07-27,20144320000
2017-07-28,20112120000
2017-07-31,20134660000
2017-08-01,20211940000
2017-08-02,19957560000
2017-08-03,20005860000
2017-08-04,20279560000
2017-08-07,20533940000
2017-08-08,19989760000
2017-08-09,19761140000
2017-08-10,19642000000
2017-08-11,19738600000
2017-08-14,19883500000
2017-08-15,20031620000
2017-08-16,20105680000
2017-08-17,19584040000
2017-08-18,19661320000
2017-08-21,19893160000
2017-08-22,20389040000
2017-08-23,20324640000
2017-08-24,20257020000
2017-08-25,20440560000
2017-08-28,20340740000
2017-08-29,20250580000
2017-08-30,20711039999
2017-08-31,20714260000
2017-09-01,20797980000
2017-09-05,20479200000
2017-09-06,20501740000
2017-09-07,20572580000
2017-09-08,20975080000
2017-09-11,21235900000
2017-09-12,21274539999
2017-09-13,21470960000
2017-09-14,21419440000
2017-09-15,21454860000
2017-09-18,21432320000
2017-09-19,21538580000
2017-09-20,21586880000
2017-09-21,21683480000
2017-09-22,21957180000
2017-09-25,22124619999
2017-09-26,22379000000
2017-09-27,22253420000
2017-09-28,22333920000
2017-09-29,22362900000
2017-10-02,21939880000
2017-10-03,21759760000
2017-10-04,21775560000
2017-10-05,21920920000
2017-10-06,21955680000
2017-10-09,22012560000
2017-10-10,22094720000
2017-10-11,22189520000
2017-10-12,22240080000
2017-10-13,22486560000
2017-10-16,22477080000
2017-10-17,22505520000
2017-10-18,22454960000
2017-10-19,22467600000
2017-10-20,22448640000
2017-10-23,22252720000
2017-10-24,22480240000
2017-10-25,22537119999
2017-10-26,22903680000
2017-10-27,22723560000
2017-10-30,22957400000
2017-10-31,22840480000
2017-11-01,22891040000
2017-11-02,22891040000
2017-11-03,23118560000
2017-11-06,23191240000
2017-11-07,22944760000
2017-11-08,23036400000
2017-11-09,22767800000
2017-11-10,22970040000
2017-11-13,22947920000
2017-11-14,23039560000
2017-11-15,23188080000
2017-11-16,23390320000
2017-11-17,23418760000
2017-11-20,23481960000
2017-11-21,23902240000
2017-11-22,23914880000
2017-11-24,23940160000
2017-11-27,24016000000
2017-11-28,24057080000
2017-11-29,24192960000
2017-11-30,24508960000
2017-12-01,24411000000
2017-12-04,24540560000
2017-12-05,24531080000
2017-12-06,24253000000
2017-12-07,24420480000
2017-12-08,24768080000
2017-12-11,24480520000
2017-12-12,24332000000
2017-12-13,24253000000
2017-12-14,24022320000
2017-12-15,24360440000
2017-12-18,24676440000
2017-12-19,24587960000
2017-12-20,24758600000
2017-12-21,25080920000
2017-12-22,25074600000
2017-12-26,25080920000
2017-12-27,25327400000
2017-12-28,25422200000
2017-12-29,25235760000
2018-01-02,25178880000
2018-01-03,25548600000
2018-01-04,25359000000
2018-01-05,25055640000
2018-01-08,25577040000
2018-01-09,25889880000
2018-01-10,25801400000
2018-01-11,26250119999
2018-01-12,26528200000
2018-01-16,26354400000
2018-01-17,26553480000
2018-01-18,26528200000
2018-01-19,27014840000
2018-01-22,27103320000
2018-01-23,27343480000
2018-01-24,27109640000
2018-01-25,27375080000
2018-01-26,27710040000
2018-01-29,27580480000
2018-01-30,27305560000
2018-01-31,27065400000
2018-02-01,27100160000
2018-02-02,26117400000
2018-02-05,25251560000
2018-02-06,25498040000
2018-02-07,25918320000
2018-02-08,24856560000
2018-02-09,25415880000
2018-02-12,25855119999
2018-02-13,26294359999
2018-02-14,27166520000
2018-02-15,26720960000
2018-02-16,26313320000
2018-02-20,26641960000
2018-02-21,26635640000
2018-02-22,26348080000
2018-02-23,26483960000
2018-02-26,25956240000
2018-02-27,25229440000
2018-02-28,25529640000
2018-03-01,25074600000
2018-03-02,24932400000
2018-03-05,24717520000
2018-03-06,24945040000
2018-03-07,25027200000
2018-03-08,25030359999
2018-03-09,25744520000
2018-03-12,25637080000
2018-03-13,25675000000
2018-03-14,25671840000
2018-03-15,25877240000
2018-03-16,25757160000
2018-03-19,25690800000
2018-03-20,25706600000
2018-03-21,25861440000
2018-03-22,25419040000
2018-03-23,24701720000
2018-03-26,25273680000
2018-03-27,24897640000
2018-03-28,24745960000
2018-03-29,24888160000
2018-04-02,23198069999
2018-04-03,23336530000
2018-04-04,23487030000
2018-04-05,23791040000
2018-04-06,23330510000
2018-04-09,22921150000
2018-04-10,22578010000
2018-04-11,23962610000
2018-04-12,24064950000
2018-04-13,23962610000
2018-04-16,24239530000
2018-04-17,24429160000
2018-04-18,24736180000
2018-04-19,24675980000
2018-04-20,24781330000
2018-04-23,24709090000
2018-04-24,24694040000
2018-04-25,24630830000
2018-04-26,24660930000
2018-04-27,24131170000
2018-04-30,23730840000
2018-05-01,24152240000
2018-05-02,23914450000
2018-05-03,24040870000
2018-05-04,24429160000
2018-05-07,24486350000
2018-05-08,24811430000
2018-05-09,24937850000
2018-05-10,24910760000
2018-05-11,25136510000
2018-05-14,24973970000
2018-05-15,24989020000
2018-05-16,25344200000
2018-05-17,25073300000
2018-05-18,25235840000
2018-05-21,25259920000
2018-05-22,24910760000
2018-05-23,24781330000
2018-05-24,24691030000
2018-05-25,24630830000
2018-05-29,24179330000
2018-05-30,24600730000
2018-05-31,24293710000
2018-06-01,24877650000
2018-06-04,25040190000
2018-06-05,25004069999
2018-06-06,25488680000
2018-06-07,25335170000
2018-06-08,25326140000
2018-06-11,25280990000
2018-06-12,25226810000
2018-06-13,24901730000
2018-06-14,24961930000
2018-06-15,25235840000
2018-06-18,25383330000
2018-06-19,24976980000
2018-06-20,24685010000
2018-06-21,24387020000
2018-06-22,24341870000
2018-06-25,23860270000
2018-06-26,23836190000
2018-06-27,23556260000
2018-06-28,23553250000
2018-06-29,23827160000
2018-07-02,23552100000
2018-07-03,23596650000
2018-07-05,23667930000
2018-07-06,23926320000
2018-07-09,24039180000
2018-07-10,24140160000
2018-07-11,23941170000
2018-07-12,24057000000
2018-07-13,24048090000
2018-07-16,23783760000
2018-07-17,24077789999
2018-07-18,24639120000
2018-07-19,24395580000
2018-07-20,24342120000
2018-07-23,24238170000
2018-07-24,23905530000
2018-07-25,23869890000
2018-07-26,23644170000
2018-07-27,23299650000
2018-07-30,22952160000
